('SL04652-2022-11-02-5533','S231-13','GFmPaTlETqHCC', 'MB')
('AC12058-2022-11-01-7712','A429-8','uYVNqXBDen', 'LB')
('AC12058-2022-11-01-7713','A429-9','lHxfunT', 'UB')
('AC22517-2022-11-02-7800','A434-6','kq', 'SU')
('SL04652-2022-11-02-7672','S320-16','YglX', 'SU')
('SL22517-2022-11-01-7582','S316-22','sFvwekUR', 'UB')
('SL04652-2022-11-01-7660','S320-4','gJuwTxzfsYmjEM', 'LB')
('SL04652-2022-11-02-7682','S321-2','jpyeiyLdWvJZyj', 'MB')
('AC12058-2022-11-01-7741','A431-1','PyzI', 'LB')
('AC22517-2022-11-02-7825','A435-13','lYvKq', 'LB')
('SL04652-2022-11-02-7687','S321-7','IuYZGNHB', 'SL')
('AC22517-2022-11-01-7759','A432-1','VoPJqebMZ', 'LB')
('AC22517-2022-11-02-7830','A435-18','tZUPnIBwDrN', 'SU')
('AC22517-2022-11-01-7760','A432-2','WIMsQom', 'LB')
('AC12058-2022-11-01-7747','A431-7','K', 'LB')
('SL12058-2022-11-01-7570','S316-10','GYADtRkDLxkMP', 'MB')
('AC04652-2022-11-02-7816','A435-4','kyEDyHOCH', 'UB')
('AC04652-2022-11-02-7817','A435-5','uIoNMwdFMLvZNVt', 'SL')
('AC04652-2022-11-02-7818','A435-6','OxLbl', 'SU')
('AC04652-2022-11-02-7820','A435-8','yIDfmBQKY', 'LB')
('AC04652-2022-11-02-7821','A435-9','ZoUh', 'UB')
('SL12058-2022-11-01-7574','S316-14','n', 'UB')
('AC22517-2022-11-01-7816','A435-4','qhvCeDoODSxUXBpC', 'UB')
('SL22517-2022-11-01-7652','S319-20','fDlYKoX', 'LB')
('SL04652-2022-11-01-7726','S322-22','oVNSBex', 'UB')
('AC22517-2022-11-02-7879','A438-13','QHckqqUjnAMGB', 'LB')
('AC04652-2022-11-01-8089','A450-7','OFCjhdAyXTt', 'LB')
('SL22517-2022-11-02-7768','S324-16','rYAagjEmGUcCqass', 'SU')
('AC22517-2022-11-01-7850','A437-2','mDLyJZdcDK', 'LB')
('SL04652-2022-11-02-7815','S326-15','MizdmmHWVHTLPjbM', 'SL')
('SL22517-2022-11-02-7800','S325-24','aYcbZbiW', 'SU')
('SL12058-2022-11-01-7635','S319-3','qqo', 'UB')
('SL22517-2022-11-01-7726','S322-22','GAGhKMNx', 'UB')
('SL22517-2022-11-02-7801','S326-1','HpSBdfEdxZsVVA', 'LB')
('AC12058-2022-11-01-7862','A437-14','zjA', 'LB')
('AC22517-2022-11-01-7873','A438-7','Cb', 'LB')
('AC04652-2022-11-02-7897','A439-13','EYmwzFnII', 'LB')
('AC04652-2022-11-02-7898','A439-14','uR', 'LB')
('AC12058-2022-11-01-7869','A438-3','y', 'UB')
('AC22517-2022-11-01-7876','A438-10','LkyxbXrnoCe', 'UB')
('AC04652-2022-11-02-7925','A441-5','JpIqPruFsBNumu', 'SL')
('AC12058-2022-11-01-7909','A440-7','FMloUEmjmEhhwO', 'LB')
('AC12058-2022-11-01-7927','A441-7','MkzvKVEhF', 'LB')
('SL04652-2022-11-01-7891','S329-19','XauS', 'UB')
('AC04652-2022-11-01-8219','A457-11','n', 'SL')
('AC22517-2022-11-01-7953','A442-15','BxxriHvHciFdpu', 'UB')
('AC04652-2022-11-02-7983','A444-9','OHcOG', 'UB')
('AC04652-2022-11-01-8230','A458-4','Ds', 'UB')
('AC22517-2022-11-01-7960','A443-4','ZrBcfDorqNq', 'UB')
('AC22517-2022-11-02-8035','A447-7','UmSL', 'LB')
('SL22517-2022-11-02-7905','S330-9','waTXke', 'LB')
('SL04652-2022-11-01-7929','S331-9','CJ', 'LB')
('SL04652-2022-11-01-7935','S331-15','L', 'SL')
('AC22517-2022-11-02-8061','A448-15','gMrbD', 'UB')
('SL22517-2022-11-02-7931','S331-11','wkBmf', 'UB')
('SL04652-2022-11-02-7943','S331-23','idGSaMVj', 'SL')
('SL22517-2022-11-02-7934','S331-14','CXlCrSj', 'UB')
('AC22517-2022-11-02-8066','A449-2','SDS', 'LB')
('SL22517-2022-11-01-7846','S327-22','tu', 'UB')
('SL04652-2022-11-01-7946','S332-2','KTHnhI', 'MB')
('SL22517-2022-11-02-7938','S331-18','WggqmxTjW', 'MB')
('SL04652-2022-11-01-7954','S332-10','XnJ', 'MB')
('SL22517-2022-11-01-7855','S328-7','maeFJGQRKrJB', 'SL')
('SL22517-2022-11-01-7856','S328-8','MIbOumuTDNkYSd', 'SU')
('SL12058-2022-11-01-7782','S325-6','ko', 'UB')
('SL22517-2022-11-02-7949','S332-5','gyurDmWUN', 'MB')
('SL12058-2022-11-01-7796','S325-20','fKMYwwdVf', 'LB')
('SL22517-2022-11-01-7869','S328-21','Rbnmgu', 'MB')
('SL12058-2022-11-01-7797','S325-21','OppbsSrzfBYDPi', 'MB')
('AC22517-2022-11-01-8014','A446-4','ZdVXtMwqMfcK', 'UB')
('SL22517-2022-11-02-7970','S333-2','frWkHFlyUwZap', 'MB')
('SL12058-2022-11-01-7802','S326-2','EbPxgHRWG', 'MB')
('AC04652-2022-11-02-8054','A448-8','Yfcs', 'LB')
('SL22517-2022-11-01-7881','S329-9','tExLYPAnzB', 'LB')
('SL22517-2022-11-01-7903','S330-7','RLyZThCYca', 'SL')
('SL22517-2022-11-02-7994','S334-2','GFUbm', 'MB')
('SL04652-2022-11-02-7995','S334-3','Q', 'UB')
('SL04652-2022-11-02-7996','S334-4','BgfOiloCPmqpfx', 'LB')
('SL12058-2022-11-01-7830','S327-6','ttOr', 'UB')
('AC22517-2022-11-01-8047','A448-1','sNOfKSxDgfLb', 'LB')
('SL22517-2022-11-01-7956','S332-12','DkuCmySks', 'LB')
('AC12058-2022-11-01-8121','A452-3','prKPfx', 'UB')
('SL22517-2022-11-01-7968','S332-24','GBGkQbflea', 'SU')
('AC04652-2022-11-02-8150','A453-14','hVeOtBviQZDLW', 'LB')
('AC22517-2022-11-01-8108','A451-8','OrnHdyz', 'LB')
('AC22517-2022-11-01-8170','A454-16','JLBBfyVOqFATATT', 'UB')
('AC12058-2022-11-01-8187','A455-15','lvYXqUWZJQqw', 'UB')
('SL04652-2022-11-01-8147','S340-11','D', 'UB')
('SL12058-2022-11-01-8002','S334-10','qhjoNgdUavIPlZvs', 'MB')
('SL04652-2022-11-01-8173','S341-13','LpAytZCkP', 'MB')
('SL04652-2022-11-02-8136','S339-24','QMTLYEdLpPChKaE', 'SU')
('SL04652-2022-11-01-8174','S341-14','sv', 'UB')
('AC04652-2022-11-02-8248','A459-4','rDugGzZBHk', 'UB')
('AC12058-2022-11-01-8215','A457-7','urVSMaqGOATSv', 'LB')
('AC22517-2022-11-01-8240','A458-14','oHgwDLKZHwyfcBn', 'LB')
('SL22517-2022-11-01-8113','S339-1','Dnodr', 'LB')
('SL22517-2022-11-01-8114','S339-2','zbNTg', 'MB')
('AC04652-2022-11-02-8292','A461-12','GaHnYhApiLKH', 'SU')
('SL22517-2022-11-01-8120','S339-8','hyvsdt', 'SU')
('SL04652-2022-11-02-8185','S342-1','ev', 'LB')
('SL22517-2022-11-02-8208','S342-24','zAgzJjVktwREW', 'SU')
('SL22517-2022-11-01-8157','S340-21','z', 'MB')
('AC04652-2022-11-02-8335','A464-1','YxdjRqbQH', 'LB')
('AC04652-2022-11-01-8560','A476-10','yvsUCEDwhbXyzN', 'UB')
('SL04652-2022-11-02-8224','S343-16','lIjdiHyIe', 'SU')
('AC04652-2022-11-02-8345','A464-11','GKoXVRnGXyXbv', 'SL')
('SL04652-2022-11-01-8273','S345-17','XfmHzVGQhcbAH', 'LB')
('AC22517-2022-11-01-8309','A462-11','jIttzFvhvXsCG', 'SL')
('AC04652-2022-11-01-8583','A477-15','cpLUTYPZ', 'UB')
('AC12058-2022-11-01-8328','A463-12','MuNMzcgvdN', 'SU')
('AC04652-2022-11-02-8363','A465-11','eQcst', 'SL')
('AC22517-2022-11-01-8312','A462-14','UEaEZyUheKt', 'LB')
('AC22517-2022-11-01-8313','A462-15','feSOaWMuz', 'UB')
('SL12058-2022-11-01-8109','S338-21','TlNZuOZqjRG', 'MB')
('SL12058-2022-11-01-8110','S338-22','IhuB', 'UB')
('AC04652-2022-11-01-8596','A478-10','JWPiKbytqBmTb', 'UB')
('AC04652-2022-11-01-8597','A478-11','k', 'SL')
('AC04652-2022-11-02-8402','A467-14','jHZw', 'LB')
('AC22517-2022-11-01-8348','A464-14','docBrveoSwcMnqH', 'LB')
('AC12058-2022-11-01-8357','A465-5','GEn', 'SL')
('AC22517-2022-11-01-8351','A464-17','ACAFbafJDFVNODbD', 'SL')
('AC12058-2022-11-01-8361','A465-9','lxXPgdQNdLRA', 'UB')
('SL22517-2022-11-01-8240','S344-8','iEkxVwgDk', 'SU')
('SL22517-2022-11-02-8302','S346-22','nrpCKMhKFzOWiDt', 'UB')
('AC04652-2022-11-02-8415','A468-9','EGwkEwphNUmUmfG', 'UB')
('SL22517-2022-11-02-8310','S347-6','pCHuvPQbodNDAVo', 'UB')
('AC04652-2022-11-01-8639','A480-17','CZPqRAdzXgQp', 'SL')
('SL04652-2022-11-02-8312','S347-8','IiDBBwABhKFEs', 'SU')
('SL04652-2022-11-02-8313','S347-9','GeFGcaWgFrIp', 'LB')
('SL22517-2022-11-02-8320','S347-16','KhtCYnWmzdZtakb', 'SU')
('SL04652-2022-11-02-8318','S347-14','aLXImz', 'UB')
('AC04652-2022-11-02-8427','A469-3','nH', 'UB')
('AC22517-2022-11-02-8474','A471-14','rydfFsb', 'LB')
('AC22517-2022-11-01-8382','A466-12','MTG', 'SU')
('SL04652-2022-11-02-8335','S348-7','SWa', 'SL')
('SL04652-2022-11-01-8347','S348-19','bgRGD', 'UB')
('AC22517-2022-11-02-8532','A474-18','GMonQrpXXq', 'SU')
('AC04652-2022-11-02-8494','A472-16','PtEaCtj', 'UB')
('SL22517-2022-11-02-8371','S349-19','CHT', 'UB')
('SL04652-2022-11-01-8395','S350-19','IoViADjFKIYLuJd', 'UB')
('AC04652-2022-11-01-8708','A484-14','U', 'LB')
('AC04652-2022-11-01-8709','A484-15','ffCshiXpYHO', 'UB')
('AC04652-2022-11-02-8509','A473-13','L', 'LB')
('AC04652-2022-11-02-8510','A473-14','ucRnb', 'LB')
('AC22517-2022-11-02-8548','A475-16','dW', 'UB')
('SL12058-2022-11-01-8254','S344-22','SpmvuWnVoygvh', 'UB')
('SL04652-2022-11-01-8414','S351-14','hpc', 'UB')
('SL22517-2022-11-02-8384','S350-8','xPduDiIagDN', 'SU')
('AC04652-2022-11-02-8516','A474-2','RlTaPWXLw', 'LB')
('AC22517-2022-11-01-8469','A471-9','TvYiudEx', 'UB')
('AC22517-2022-11-02-8559','A476-9','oKzkewhgDaxsHfAG', 'UB')
('SL12058-2022-11-01-8279','S345-23','qxlMSKCTHcayR', 'SL')
('AC12058-2022-11-01-8478','A471-18','VgdQ', 'SU')
('AC22517-2022-11-02-8575','A477-7','OGDJirViRQ', 'LB')
('AC04652-2022-11-01-8753','A487-5','GHSYulJn', 'SL')
('SL04652-2022-11-01-8477','S354-5','mXPQsnNvQfF', 'MB')
('AC04652-2022-11-01-8806','A490-4','GXvMPxlinkkblQX', 'UB')
('AC04652-2022-11-02-8615','A479-11','cKbHzAFuIxuODLTT', 'SL')
('AC12058-2022-11-01-8548','A475-16','BSMxsmSxqgzXI', 'UB')
('AC04652-2022-11-02-8621','A479-17','YPpndRDYebzwk', 'SL')
('AC04652-2022-11-01-8817','A490-15','leUMPYwlxq', 'UB')
('AC12058-2022-11-01-8561','A476-11','hOFwSdiEGOQz', 'SL')
('SL12058-2022-11-01-8359','S349-7','osGFLB', 'SL')
('SL22517-2022-11-02-8525','S356-5','PFCOGaodXI', 'MB')
('SL22517-2022-11-02-8539','S356-19','unyBLaAXdQKV', 'UB')
('AC04652-2022-11-01-8919','A496-9','OmV', 'UB')
('AC22517-2022-11-02-8735','A486-5','vfoyYaKiFpHZpFvF', 'SL')
('AC22517-2022-11-02-8743','A486-13','iLUheRuOdF', 'LB')
('SL22517-2022-11-01-8562','S357-18','pFHJnLhtWxVRQfDW', 'MB')
('AC12058-2022-11-01-8690','A483-14','Uhc', 'LB')
('AC04652-2022-11-02-8738','A486-8','qrZdmC', 'LB')
('AC22517-2022-11-02-8775','A488-9','K', 'UB')
('AC22517-2022-11-01-8704','A484-10','MdgLlJPAIo', 'UB')
('SL22517-2022-11-01-8587','S358-19','W', 'UB')
('SL04652-2022-11-01-8635','S360-19','rRSrkTttvCP', 'UB')
('SL22517-2022-11-01-8593','S359-1','mVH', 'LB')
('SL22517-2022-11-02-8607','S359-15','EDOZOCZEgXUbPY', 'SL')
('SL22517-2022-11-01-8597','S359-5','YZPkNqaUG', 'MB')
('AC04652-2022-11-01-8980','A499-16','gOy', 'UB')
('AC04652-2022-11-02-8764','A487-16','nCCaXlrpbT', 'UB')
('SL04652-2022-11-02-8653','S361-13','xFrkbQuUOaDMqNc', 'MB')
('SL12058-2022-11-01-8515','S355-19','XY', 'UB')
('SL04652-2022-11-01-8690','S363-2','wjljvWoUQ', 'MB')
('AC04652-2022-11-02-8813','A490-11','SaqAqHDsPQgcdOJM', 'SL')
('AC22517-2022-11-01-8768','A488-2','gFcTAmDhNFsz', 'LB')
('AC22517-2022-11-01-8770','A488-4','QmKXFIRPMH', 'UB')
('SL04652-2022-11-01-8693','S363-5','mKRLzZcSiDwxNm', 'MB')
('AC12058-2022-11-01-8758','A487-10','pygDlHiG', 'UB')
('AC12058-2022-11-01-8759','A487-11','lYmPNhkJjAos', 'SL')
('SL22517-2022-11-02-8682','S362-18','y', 'MB')
('AC12058-2022-11-01-8761','A487-13','hkurrf', 'LB')
('SL04652-2022-11-02-8717','S364-5','jRVIKvDEFpeEITzu', 'MB')
('AC22517-2022-11-02-8839','A492-1','XFDAjZLoL', 'LB')
('AC12058-2022-11-01-8772','A488-6','wqMMjYvlt', 'SU')
('AC22517-2022-11-02-8848','A492-10','c', 'UB')
('AC12058-2022-11-01-8776','A488-10','pIfeWPmLgwSedKr', 'UB')
('SL04652-2022-11-01-8710','S363-22','dvrIwNShbUpgdBjy', 'UB')
('AC04652-2022-11-02-8860','A493-4','XmnRIsAyXIEHS', 'UB')
('SL04652-2022-11-01-8750','S365-14','ZTLAzk', 'UB')
('SL22517-2022-11-02-8738','S365-2','isweROwhjKo', 'MB')
('SL04652-2022-11-02-8769','S366-9','Jx', 'LB')
('AC22517-2022-11-02-8880','A494-6','tVaIGK', 'SU')
('AC04652-2022-11-02-8881','A494-7','wubfAJmJNcDTl', 'LB')
('AC04652-2022-11-01-9109','A507-1','IZfQvmTt', 'LB')
('SL22517-2022-11-02-8744','S365-8','nKxLBbVsHiYxjCdx', 'SU')
('AC04652-2022-11-01-9114','A507-6','txjpwrPQqrCWKOk', 'SU')
('SL22517-2022-11-01-8730','S364-18','pYICCu', 'MB')
('AC04652-2022-11-01-9116','A507-8','cSBQNmBmDOkLPnDG', 'LB')
('SL22517-2022-11-01-8735','S364-23','xuXRhfbXezhW', 'SL')
('AC22517-2022-11-01-8838','A491-18','XimlYnxXQTKRpNmG', 'SU')
('AC22517-2022-11-02-8901','A495-9','FF', 'UB')
('SL22517-2022-11-02-8764','S366-4','K', 'LB')
('SL22517-2022-11-01-8745','S365-9','lDtw', 'LB')
('AC12058-2022-11-01-8846','A492-8','kIAqbNS', 'LB')
('SL12058-2022-11-01-8641','S361-1','qNSnkbvBwJdNvHpI', 'LB')
('SL04652-2022-11-02-8821','S368-13','TqKFakNhUup', 'MB')
('SL12058-2022-11-01-8658','S361-18','B', 'MB')
('SL04652-2022-11-01-8790','S367-6','Hi', 'UB')
('AC22517-2022-11-01-8875','A494-1','ztFHFKp', 'LB')
('SL22517-2022-11-01-8769','S366-9','fFxgnaJ', 'LB')
('SL22517-2022-11-01-8774','S366-14','PLgrGrl', 'UB')
('AC12058-2022-11-01-8878','A494-4','klJv', 'UB')
('AC04652-2022-11-02-8939','A497-11','CJsKibd', 'SL')
('AC04652-2022-11-02-8940','A497-12','WoNW', 'SU')
('SL12058-2022-11-01-8677','S362-13','GTHtdIvoZxiQihaT', 'MB')
('SL12058-2022-11-01-8678','S362-14','Uarfecv', 'UB')
('AC04652-2022-11-01-9163','A510-1','dTNI', 'LB')
('AC04652-2022-11-01-9166','A510-4','nzbwToXqXHa', 'UB')
('AC04652-2022-11-01-9167','A510-5','YUGe', 'SL')
('SL04652-2022-11-02-8847','S369-15','FqdqCwEjyRwNjxo', 'SL')
('AC22517-2022-11-02-8956','A498-10','OxQTADwJTfIcF', 'UB')
('AC12058-2022-11-01-8894','A495-2','PtzQEWaNPSvXP', 'LB')
('SL22517-2022-11-02-8825','S368-17','aUAxAQvMnkbNwuj', 'LB')
('SL22517-2022-11-02-8827','S368-19','xkOgTy', 'UB')
('SL04652-2022-11-01-8829','S368-21','pToEBJdEJGCBkHk', 'MB')
('AC22517-2022-11-01-8916','A496-6','EE', 'SU')
('SL22517-2022-11-01-8803','S367-19','oktdlEgeiXtX', 'UB')
('SL04652-2022-11-01-8858','S370-2','SGIM', 'MB')
('AC04652-2022-11-01-9210','A512-12','hryNeLy', 'SU')
('AC04652-2022-11-01-9226','A513-10','oquqSvLKTFS', 'UB')
('AC22517-2022-11-01-8963','A498-17','up', 'SL')
('SL12058-2022-11-01-8744','S365-8','LkJjJZv', 'SU')
('SL04652-2022-11-01-8886','S371-6','PXSnJUAnQhKZqxib', 'UB')
('AC04652-2022-11-02-9048','A503-12','vCBWyBGfGFL', 'SU')
('SL04652-2022-11-02-8948','S373-20','JfPA', 'LB')
('AC22517-2022-11-01-9013','A501-13','hTZW', 'LB')
('SL04652-2022-11-01-8949','S373-21','kOtTFwyxLXnx', 'MB')
('AC12058-2022-11-01-9010','A501-10','rxRpjKkp', 'UB')
('SL04652-2022-11-01-8954','S374-2','PKZ', 'MB')
('SL22517-2022-11-01-8918','S372-14','ajE', 'UB')
('SL22517-2022-11-02-8951','S373-23','MDHdC', 'SL')
('AC22517-2022-11-02-9083','A505-11','D', 'SL')
('AC04652-2022-11-01-9309','A518-3','VQddETNiBTe', 'UB')
('SL12058-2022-11-01-8830','S368-22','BujqtY', 'UB')
('AC12058-2022-11-01-9029','A502-11','csHETWXek', 'SL')
('SL22517-2022-11-02-8969','S374-17','uXAtvEPkkKLeHaZ', 'LB')
('AC04652-2022-11-02-9083','A505-11','kNeSoclV', 'SL')
('AC04652-2022-11-02-9084','A505-12','DyVzkCXUBafFF', 'SU')
('SL04652-2022-11-01-8990','S375-14','XIEpbxcrVOZakfDd', 'UB')
('SL22517-2022-11-02-9042','S377-18','YXK', 'MB')
('SL04652-2022-11-02-9037','S377-13','WpotFIrcUEUnW', 'MB')
('SL04652-2022-11-02-9038','S377-14','fntysx', 'UB')
('SL22517-2022-11-02-9044','S377-20','xTZN', 'LB')
('AC12058-2022-11-01-9104','A506-14','CUEoKamPJW', 'LB')
('AC04652-2022-11-02-9162','A509-18','nPqBkaBAjPyeO', 'SU')
('SL04652-2022-11-02-9041','S377-17','DdQnBMbOnXNnCg', 'LB')
('SL22517-2022-11-01-9016','S376-16','rAL', 'SU')
('SL04652-2022-11-01-9084','S379-12','YbzpwdrwYxId', 'LB')
('AC04652-2022-11-01-9420','A524-6','iGQAtcn', 'SU')
('AC22517-2022-11-02-9198','A511-18','IjSo', 'SU')
('SL22517-2022-11-01-9022','S376-22','ClxZMtAZ', 'UB')
('AC04652-2022-11-02-9187','A511-7','xXVilcmPUfyZruH', 'LB')
('AC12058-2022-11-01-9136','A508-10','aFrZsNRtpJtlZWAC', 'UB')
('SL12058-2022-11-01-8958','S374-6','W', 'UB')
('AC12058-2022-11-01-9139','A508-13','CdnkHpItfeQWq', 'LB')
('SL12058-2022-11-01-8961','S374-9','y', 'LB')
('AC22517-2022-11-02-9210','A512-12','MTMJtYfRhjEjQVNG', 'SU')
('AC22517-2022-11-02-9211','A512-13','IukY', 'LB')
('SL12058-2022-11-01-8966','S374-14','eiZgEOTV', 'UB')
('SL04652-2022-11-02-9086','S379-14','ZhAlWHZcNcph', 'UB')
('SL12058-2022-11-01-8973','S374-21','aGVAOHPeYMmYdxEl', 'MB')
('SL04652-2022-11-01-9097','S380-1','fslvhA', 'LB')
('AC22517-2022-11-02-9221','A513-5','GwJrxCHIPGfHgOH', 'SL')
('AC04652-2022-11-02-9196','A511-16','BohO', 'UB')
('AC04652-2022-11-01-9441','A525-9','rduSUXCOQAfhEso', 'UB')
('AC22517-2022-11-02-9225','A513-9','CVKmORcJiOqYfxMq', 'UB')
('SL12058-2022-11-01-8979','S375-3','HUJxnYEU', 'UB')
('AC22517-2022-11-02-9228','A513-12','v', 'SU')
('AC12058-2022-11-01-9165','A510-3','zDPYMu', 'UB')
('SL12058-2022-11-01-8987','S375-11','qFOn', 'UB')
('SL04652-2022-11-02-9111','S380-15','iULyaa', 'SL')
('AC22517-2022-11-01-9175','A510-13','qOykuVGjdweX', 'LB')
('SL04652-2022-11-02-9116','S380-20','UpZgLbmTEhgqCqrW', 'LB')
('SL12058-2022-11-01-8994','S375-18','ieRzDZhSfnBS', 'MB')
('AC12058-2022-11-01-9176','A510-14','ZGMYq', 'LB')
('AC22517-2022-11-02-9237','A514-3','cqHhUmuXGZR', 'UB')
('AC04652-2022-11-01-9454','A526-4','IlrjkicyZxKEq', 'UB')
('SL22517-2022-11-01-9064','S378-16','hKDHLaIzpPhlmC', 'SU')
('SL04652-2022-11-02-9117','S380-21','ZkOwRafRYh', 'MB')
('AC04652-2022-11-02-9218','A513-2','DJMlCS', 'LB')
('SL04652-2022-11-02-9123','S381-3','EMs', 'UB')
('SL04652-2022-11-02-9127','S381-7','VAOrdgJVyVoigyH', 'SL')
('SL22517-2022-11-02-9119','S380-23','myXeswXecgplV', 'SL')
('SL12058-2022-11-01-9008','S376-8','RomxBCkAjUhRiz', 'SU')
('AC04652-2022-11-01-9467','A526-17','xN', 'SL')
('SL22517-2022-11-01-9076','S379-4','Vslxut', 'LB')
('AC04652-2022-11-02-9232','A513-16','kMj', 'UB')
('AC12058-2022-11-01-9193','A511-13','KQke', 'LB')
('AC04652-2022-11-02-9233','A513-17','fX', 'SL')
('SL04652-2022-11-01-9120','S380-24','hYWIIsPVkBvFbiG', 'SU')
('AC22517-2022-11-02-9256','A515-4','PD', 'UB')
('AC04652-2022-11-01-9471','A527-3','WWkgNWEsgRmPci', 'UB')
('AC04652-2022-11-02-9238','A514-4','goEmrVBoVztrnR', 'UB')
('AC22517-2022-11-02-9264','A515-12','XRKB', 'SU')
('SL22517-2022-11-02-9134','S381-14','mvoZMKZwlFct', 'UB')
('SL04652-2022-11-02-9142','S381-22','LvwyDO', 'UB')
('AC12058-2022-11-01-9202','A512-4','skFbssgA', 'UB')
('SL04652-2022-11-01-9129','S381-9','tZ', 'LB')
('SL22517-2022-11-02-9138','S381-18','OIGpAxzJOvyOsC', 'MB')
('AC22517-2022-11-01-9220','A513-4','ltlUCb', 'UB')
('AC12058-2022-11-01-9206','A512-8','TnKQJctERtQPOGo', 'LB')
('AC04652-2022-11-02-9248','A514-14','c', 'LB')
('SL12058-2022-11-01-9027','S377-3','cRPpSrBUh', 'UB')
('SL22517-2022-11-02-9145','S382-1','yWb', 'LB')
('AC12058-2022-11-01-9217','A513-1','z', 'LB')
('AC22517-2022-11-02-9277','A516-7','zHqZ', 'LB')
('AC04652-2022-11-02-9259','A515-7','DLFGVIgBMBhSGJbL', 'LB')
('AC04652-2022-11-01-9496','A528-10','PUbHGktmWQGBaUFw', 'UB')
('AC22517-2022-11-02-9287','A516-17','pogUYmX', 'SL')
('AC04652-2022-11-01-9508','A529-4','XXZqhWIU', 'UB')
('AC04652-2022-11-01-9509','A529-5','DClI', 'SL')
('AC04652-2022-11-01-9510','A529-6','suBckDuJAoDIKK', 'SU')
('SL12058-2022-11-01-9047','S377-23','Cmpgmd', 'SL')
('SL04652-2022-11-01-9159','S382-15','aDPHfMQVj', 'SL')
('AC12058-2022-11-01-9237','A514-3','mEW', 'UB')
('SL22517-2022-11-01-9119','S380-23','g', 'SL')
('AC22517-2022-11-01-9253','A515-1','YPlON', 'LB')
('AC22517-2022-11-02-9314','A518-8','crs', 'LB')
('AC22517-2022-11-01-9279','A516-9','DPblgFyIsDpoeBr', 'UB')
('SL04652-2022-11-02-9196','S384-4','yAESpICghx', 'LB')
('SL04652-2022-11-01-9172','S383-4','BwQOkPmJiyMb', 'LB')
('AC04652-2022-11-02-9315','A518-9','IL', 'UB')
('SL22517-2022-11-01-9148','S382-4','mOxFiAPgEVpT', 'LB')
('AC12058-2022-11-01-9266','A515-14','HdjykJkfyfpK', 'LB')
('SL04652-2022-11-02-9210','S384-18','oUh', 'MB')
('SL04652-2022-11-01-9185','S383-17','SKVHIgtF', 'LB')
('SL22517-2022-11-01-9166','S382-22','MxuywBfgxL', 'UB')
('AC04652-2022-11-02-9332','A519-8','yO', 'LB')
('SL22517-2022-11-02-9211','S384-19','lYGUbjxWsAcBdGY', 'UB')
('SL22517-2022-11-02-9212','S384-20','BfIfY', 'LB')
('AC04652-2022-11-02-9342','A519-18','PkJ', 'SU')
('AC22517-2022-11-01-9309','A518-3','PdvaGXVGD', 'UB')
('SL22517-2022-11-01-9177','S383-9','sjTVFQGMOllmWBG', 'LB')
('SL22517-2022-11-01-9179','S383-11','KUVNLZPFHEDfAp', 'UB')
('SL04652-2022-11-01-9202','S384-10','ITthFoarfp', 'MB')
('SL04652-2022-11-01-9203','S384-11','Qa', 'UB')
('SL22517-2022-11-02-9221','S385-5','VJdSTM', 'MB')
('SL04652-2022-11-01-9207','S384-15','FocJeWrW', 'SL')
('AC04652-2022-11-02-9356','A520-14','ZnuP', 'LB')
('AC04652-2022-11-02-9365','A521-5','PCrWQUPT', 'SL')
('SL04652-2022-11-01-9213','S384-21','mLPoXKGXexogyn', 'MB')
('AC22517-2022-11-02-9357','A520-15','tKFfFIpGWcKr', 'UB')
('AC04652-2022-11-01-9585','A533-9','P', 'UB')
('SL12058-2022-11-01-9113','S380-17','hEYlLTKacRfIZKyo', 'LB')
('AC04652-2022-11-02-9372','A521-12','EbeLObtgbFrSkt', 'SU')
('SL12058-2022-11-01-9115','S380-19','qeuXxNTUpOadghK', 'UB')
('AC04652-2022-11-02-9375','A521-15','ty', 'UB')
('SL12058-2022-11-01-9118','S380-22','WlNVEaowqWx', 'UB')
('AC22517-2022-11-01-9331','A519-7','FCiYHmVsUSEw', 'LB')
('AC04652-2022-11-02-9400','A523-4','SAL', 'UB')
('AC12058-2022-11-01-9354','A520-12','SKjaJLCwfQzDBXMY', 'SU')
('SL22517-2022-11-01-9233','S385-17','TS', 'LB')
('SL22517-2022-11-02-9276','S387-12','qtoreUAhQdZWRim', 'LB')
('SL22517-2022-11-02-9277','S387-13','TAwCANu', 'MB')
('SL04652-2022-11-02-9278','S387-14','ZTWuHr', 'UB')
('AC12058-2022-11-01-9367','A521-7','vFnZxqDggXNqlsF', 'LB')
('AC22517-2022-11-01-9365','A521-5','drM', 'SL')
('SL04652-2022-11-02-9289','S388-1','wHlYFFmDWxlXPj', 'LB')
('SL12058-2022-11-01-9183','S383-15','PnFMZLJtnMDyDn', 'SL')
('SL22517-2022-11-02-9301','S388-13','yiakOBYosPKfQfX', 'MB')
('SL04652-2022-11-02-9310','S388-22','dAIFTwAGFjkHoP', 'UB')
('AC22517-2022-11-01-9392','A522-14','YcGEZB', 'LB')
('SL12058-2022-11-01-9224','S385-8','QcHAifrs', 'SU')
('SL22517-2022-11-02-9341','S390-5','lsbYIr', 'MB')
('SL04652-2022-11-02-9348','S390-12','enyXluPUGBN', 'LB')
('AC04652-2022-11-01-9697','A539-13','PuURNIYMUw', 'LB')
