('SL04652-2022-11-01-197','S9-5','wNhJQmB', 'MB')
('SL04652-2022-11-02-1311','S55-15','M', 'SL')
('AC04652-2022-11-02-1343','A75-11','nhtHyQeSfX', 'SL')
('AC22517-2022-11-02-1314','A73-18','z', 'SU')
('AC04652-2022-11-01-1334','A75-2','HLYOTUVfLmaMDsJa', 'LB')
('SL22517-2022-11-02-1308','S55-12','qNxpIOHdhA', 'LB')
('SL04652-2022-11-02-1321','S56-1','oPKy', 'LB')
('SL12058-2022-11-01-1283','S54-11','TvsN', 'UB')
('AC12058-2022-11-01-1290','A72-12','vTocbrgCaEOPec', 'SU')
('AC04652-2022-11-01-1344','A75-12','QiKX', 'SU')
('SL22517-2022-11-01-1344','S56-24','BredMkEUBlnnII', 'SU')
('AC22517-2022-11-01-1308','A73-12','XidFgpxQMiiLUKu', 'SU')
('SL22517-2022-11-01-1346','S57-2','ugXEIxFFNBUd', 'MB')
('SL04652-2022-11-01-1325','S56-5','IY', 'MB')
('AC12058-2022-11-01-1331','A74-17','u', 'SL')
('SL04652-2022-11-01-1374','S58-6','JqL', 'UB')
('AC04652-2022-11-01-1412','A79-8','rNnmkafYIxj', 'LB')
('AC22517-2022-11-02-1392','A78-6','fPUPyJmlxrHeMy', 'SU')
('AC04652-2022-11-02-1469','A82-11','hohfablnbBiLGyQw', 'SL')
('SL22517-2022-11-02-1437','S60-21','dAhhwvhHInqsIzi', 'MB')
('SL12058-2022-11-01-1407','S59-15','sVJJLQsFrGipyST', 'SL')
('AC22517-2022-11-01-1436','A80-14','DYLiTLdWVrGptGtu', 'LB')
('AC12058-2022-11-01-1433','A80-11','VwNpqqU', 'SL')
('SL04652-2022-11-02-1461','S61-21','hFh', 'MB')
('SL22517-2022-11-02-1442','S61-2','jrj', 'MB')
('SL22517-2022-11-01-1477','S62-13','MfGnneH', 'MB')
('AC04652-2022-11-01-1490','A83-14','QppshTVhnXFh', 'LB')
('SL04652-2022-11-01-1494','S63-6','yrkREQK', 'UB')
('AC04652-2022-11-02-1530','A85-18','OsSAEkYkFVgCPwg', 'SU')
('SL22517-2022-11-01-1528','S64-16','S', 'SU')
('AC12058-2022-11-01-1487','A83-11','OHTPuxkcg', 'SL')
('AC04652-2022-11-01-1532','A86-2','bxeUgNvOhwjTT', 'LB')
('AC04652-2022-11-02-1535','A86-5','Ozxktyc', 'SL')
('SL12058-2022-11-01-1474','S62-10','UGCWrGfesDbTITE', 'MB')
('SL22517-2022-11-02-1510','S63-22','vCTvaUTXhYMdy', 'UB')
('AC22517-2022-11-01-1506','A84-12','FdMTLYpAAkBzxG', 'SU')
('AC04652-2022-11-02-1538','A86-8','AboZcgneZDJllHc', 'LB')
('SL22517-2022-11-02-1513','S64-1','bacHni', 'LB')
('AC22517-2022-11-02-1518','A85-6','h', 'SU')
('AC04652-2022-11-02-1541','A86-11','DVgpH', 'SL')
('SL22517-2022-11-01-1536','S64-24','qblhjBLqpCisLWn', 'SU')
('AC22517-2022-11-02-1519','A85-7','E', 'LB')
('AC22517-2022-11-02-1520','A85-8','hrdCxpUDYBEoe', 'LB')
('AC04652-2022-11-01-1562','A87-14','aDn', 'LB')
('SL22517-2022-11-01-1553','S65-17','nybJDsZY', 'LB')
('SL04652-2022-11-01-1531','S64-19','rfUxqkebSXH', 'UB')
('SL04652-2022-11-01-1533','S64-21','zUQZSBhkxEZuLxVN', 'MB')
('AC22517-2022-11-02-1542','A86-12','NoqbSDceEZG', 'SU')
('SL04652-2022-11-01-1535','S64-23','cVkFAiKIFmw', 'SL')
('AC22517-2022-11-02-1543','A86-13','vHCnAnDDXEYmZjt', 'LB')
('AC22517-2022-11-01-1535','A86-5','YjltKwOKiBb', 'SL')
('AC04652-2022-11-02-1561','A87-13','egazHkTwpVYEMUWm', 'LB')
('AC22517-2022-11-01-1538','A86-8','ea', 'LB')
('SL22517-2022-11-02-1541','S65-5','MypDrujwEhASutS', 'MB')
('AC04652-2022-11-01-1571','A88-5','jEHykXFLcYQej', 'SL')
('AC04652-2022-11-01-1573','A88-7','zfIppBaHz', 'LB')
('SL12058-2022-11-01-1541','S65-5','tGuQJ', 'MB')
('SL12058-2022-11-01-1542','S65-6','aPQBawSsREH', 'UB')
('SL04652-2022-11-01-1569','S66-9','AjhRF', 'LB')
('AC04652-2022-11-02-1602','A89-18','uIbE', 'SU')
('AC12058-2022-11-01-1556','A87-8','aLaHQNW', 'LB')
('SL22517-2022-11-01-1594','S67-10','HSNDCczEc', 'MB')
('AC22517-2022-11-01-1583','A88-17','SacknuMIklPQzs', 'SL')
('AC12058-2022-11-01-1562','A87-14','EulgHPkvsIqW', 'LB')
('AC04652-2022-11-01-1631','A91-11','hGPZTgIgI', 'SL')
('AC04652-2022-11-01-1632','A91-12','Pqor', 'SU')
('SL04652-2022-11-01-1598','S67-14','EBKMBARuAqhVXgR', 'UB')
('SL22517-2022-11-02-1602','S67-18','oZmDuH', 'MB')
('AC04652-2022-11-02-1637','A91-17','qNDjgJmDXkmD', 'SL')
('SL04652-2022-11-02-1617','S68-9','txOCXtZsPrQCbJKt', 'LB')
('SL12058-2022-11-01-1591','S67-7','kkOsnA', 'SL')
('SL04652-2022-11-01-1618','S68-10','DIDmOtwutV', 'MB')
('AC22517-2022-11-01-1638','A91-18','hbAANxHbMrWXV', 'SU')
('AC22517-2022-11-02-1633','A91-13','XowSquKouXBTp', 'LB')
('AC12058-2022-11-01-1614','A90-12','TyuQf', 'SU')
('AC22517-2022-11-01-1642','A92-4','h', 'UB')
('SL04652-2022-11-01-1627','S68-19','dyckjrwXqj', 'UB')
('AC22517-2022-11-01-1649','A92-11','GFCcHzJSpGminc', 'SL')
('AC12058-2022-11-01-1621','A91-1','QgJGmguTKmZzWEy', 'LB')
('AC12058-2022-11-01-1622','A91-2','deVGImO', 'LB')
('AC12058-2022-11-01-1624','A91-4','jWCfTioB', 'UB')
('AC12058-2022-11-01-1625','A91-5','tfZly', 'SL')
('AC04652-2022-11-02-1662','A93-6','DQhPMtAPBXqd', 'SU')
('AC04652-2022-11-02-1663','A93-7','GfLzzlDo', 'LB')
('SL22517-2022-11-02-1633','S69-1','aiKXqAID', 'LB')
('SL22517-2022-11-01-1656','S69-24','OhHqEWoJKKn', 'SU')
('AC04652-2022-11-02-1671','A93-15','egIGhaMZABRYxOD', 'UB')
('SL22517-2022-11-02-1636','S69-4','rP', 'LB')
('SL12058-2022-11-01-1615','S68-7','anVAyWfFEckJw', 'SL')
('SL22517-2022-11-01-1660','S70-4','rgi', 'LB')
('SL12058-2022-11-01-1617','S68-9','QwihThHPfxEUOo', 'LB')
('AC22517-2022-11-01-1668','A93-12','UAjF', 'SU')
('AC12058-2022-11-01-1658','A93-2','IGcahgmWKHy', 'LB')
('AC12058-2022-11-01-1659','A93-3','TzlmwXoX', 'UB')
('AC04652-2022-11-01-1740','A97-12','evLfDguvC', 'SU')
('AC12058-2022-11-01-1661','A93-5','PBldiMfzgSPYDrOz', 'SL')
('SL12058-2022-11-01-1652','S69-20','TyxrxG', 'LB')
('SL04652-2022-11-02-1690','S71-10','XahePbjTlgY', 'MB')
('SL22517-2022-11-01-1693','S71-13','Unk', 'MB')
('SL04652-2022-11-02-1692','S71-12','QU', 'LB')
('AC22517-2022-11-02-1712','A96-2','rQFtJa', 'LB')
('SL04652-2022-11-01-1697','S71-17','isUf', 'LB')
('SL12058-2022-11-01-1681','S71-1','tBouNnirJYbju', 'LB')
('AC22517-2022-11-02-1715','A96-5','N', 'SL')
('SL12058-2022-11-01-1682','S71-2','QCqMlYoKe', 'MB')
('AC22517-2022-11-02-1716','A96-6','haG', 'SU')
('SL04652-2022-11-02-1723','S72-19','DJWCcEgqOWvoqIJL', 'UB')
('SL22517-2022-11-01-1724','S72-20','PwIwP', 'LB')
('AC04652-2022-11-01-1771','A99-7','UP', 'LB')
('SL04652-2022-11-01-1764','S74-12','mGoL', 'LB')
('SL22517-2022-11-02-1751','S73-23','GJWlTHhOmsmaEW', 'SL')
('AC04652-2022-11-02-1816','A101-16','XeDeTqlnLkjhbhJ', 'UB')
('SL12058-2022-11-01-1759','S74-7','wTn', 'SL')
('SL04652-2022-11-01-1798','S75-22','EpKWtTqFJxmcEDS', 'UB')
('SL22517-2022-11-01-1808','S76-8','ZrqjEB', 'SU')
('SL12058-2022-11-01-1762','S74-10','hKPCXWKHmT', 'MB')
('SL04652-2022-11-01-1801','S76-1','Ow', 'LB')
('AC12058-2022-11-01-1779','A99-15','HqLfE', 'UB')
('SL22517-2022-11-02-1786','S75-10','fVXtiPBjAZiJsY', 'MB')
('SL22517-2022-11-02-1787','S75-11','bokjMeeqPkb', 'UB')
('SL22517-2022-11-02-1788','S75-12','ZzVACiuVFv', 'LB')
('AC04652-2022-11-01-1868','A104-14','BhXvCrCxqBdsd', 'LB')
('AC22517-2022-11-01-1844','A103-8','VR', 'LB')
('SL04652-2022-11-02-1807','S76-7','PXqlDZwchXkKgm', 'SL')
('SL12058-2022-11-01-1796','S75-20','SPujcMF', 'LB')
('SL04652-2022-11-02-1832','S77-8','uchNapTUzS', 'SU')
('AC04652-2022-11-02-1842','A103-6','OVoEPLlNe', 'SU')
('AC04652-2022-11-01-1913','A107-5','wLjTOnv', 'SL')
('SL04652-2022-11-02-1851','S78-3','ZmwWEXCF', 'UB')
('SL12058-2022-11-01-1825','S77-1','qlbS', 'LB')
('SL12058-2022-11-01-1826','S77-2','EPtE', 'MB')
('SL22517-2022-11-01-1872','S78-24','XibRdqvZMxkeQ', 'SU')
('AC22517-2022-11-02-1846','A103-10','aNvXsePZ', 'UB')
('AC22517-2022-11-01-1899','A106-9','KwwqFU', 'UB')
('SL04652-2022-11-02-1867','S78-19','mFbIdhSSrCgorJ', 'UB')
('AC04652-2022-11-01-1933','A108-7','VUrsYNMVxO', 'LB')
('SL04652-2022-11-02-1869','S78-21','GgFWFAZBd', 'MB')
('AC12058-2022-11-01-1850','A103-14','WFrWbxHwsxFvcq', 'LB')
('AC04652-2022-11-01-1941','A108-15','MgX', 'UB')
('AC04652-2022-11-02-1875','A105-3','CcxAdSZrIY', 'UB')
('AC04652-2022-11-02-1876','A105-4','VTaOG', 'UB')
('SL04652-2022-11-01-1861','S78-13','Ginqyid', 'MB')
('SL22517-2022-11-02-1858','S78-10','sgfPJQ', 'MB')
('AC22517-2022-11-01-1913','A107-5','gDCPqD', 'SL')
('AC22517-2022-11-02-1860','A104-6','jhFcnaUoIFVnqNYZ', 'SU')
('SL22517-2022-11-02-1861','S78-13','afhswF', 'MB')
('AC04652-2022-11-01-1951','A109-7','zyHzonYz', 'LB')
('SL04652-2022-11-01-1869','S78-21','sPXAeKNfCP', 'MB')
('AC12058-2022-11-01-1866','A104-12','ebjgaZZWU', 'SU')
('SL04652-2022-11-02-1889','S79-17','gJewqda', 'LB')
('SL04652-2022-11-02-1890','S79-18','pPCZiAlAImWXndsu', 'MB')
('SL04652-2022-11-02-1891','S79-19','RbYojP', 'UB')
('AC04652-2022-11-01-1954','A109-10','h', 'UB')
('SL04652-2022-11-01-1873','S79-1','wQtkgMBWuYzQK', 'LB')
('SL12058-2022-11-01-1864','S78-16','Yp', 'SU')
('SL22517-2022-11-01-1912','S80-16','pcR', 'SU')
('SL04652-2022-11-01-1876','S79-4','hCclvQeQVllfNz', 'LB')
('SL04652-2022-11-02-1903','S80-7','mITFUwJrPZ', 'SL')
('AC12058-2022-11-01-1875','A105-3','eRuiANYdeu', 'UB')
('SL04652-2022-11-02-1909','S80-13','ApraxsKouV', 'MB')
('AC04652-2022-11-01-1970','A110-8','XJmS', 'LB')
('AC04652-2022-11-01-1971','A110-9','LcCJTZwaBrSc', 'UB')
('SL04652-2022-11-01-1890','S79-18','eKzeChULCXoFds', 'MB')
('AC22517-2022-11-02-1885','A105-13','lwqHDbpBT', 'LB')
('AC04652-2022-11-02-1905','A106-15','aTHTyXeAplw', 'UB')
('SL22517-2022-11-01-1931','S81-11','Lej', 'UB')
('SL22517-2022-11-02-1887','S79-15','PxyXBkP', 'SL')
('AC04652-2022-11-01-1983','A111-3','NxWVoUd', 'UB')
('SL12058-2022-11-01-1890','S79-18','QW', 'MB')
('AC04652-2022-11-02-1916','A107-8','LaTt', 'LB')
('SL04652-2022-11-01-1906','S80-10','ilRjGIgOfVstvO', 'MB')
('AC04652-2022-11-02-1917','A107-9','yTFrjiX', 'UB')
('AC22517-2022-11-01-1956','A109-12','kPBkWzzmile', 'SU')
('SL12058-2022-11-01-1897','S80-1','ezgfaLtSMVsPV', 'LB')
('SL22517-2022-11-01-1935','S81-15','HR', 'SL')
('AC04652-2022-11-01-1993','A111-13','VJqcjl', 'LB')
('SL22517-2022-11-01-1946','S82-2','JShvx', 'MB')
('AC04652-2022-11-01-2040','A114-6','mwNZTTDxl', 'SU')
('AC04652-2022-11-01-2041','A114-7','xZ', 'LB')
('SL22517-2022-11-02-1952','S82-8','GcOqs', 'SU')
('AC22517-2022-11-01-2009','A112-11','eh', 'SL')
('SL04652-2022-11-01-1965','S82-21','IwcXwdtiPYvff', 'MB')
('AC22517-2022-11-01-2045','A114-11','fhMpDIIqbx', 'SL')
('SL04652-2022-11-02-2026','S85-10','oycXk', 'MB')
('AC22517-2022-11-02-2002','A112-4','o', 'UB')
('AC12058-2022-11-01-2011','A112-13','EbFK', 'LB')
('SL12058-2022-11-01-2001','S84-9','lmP', 'LB')
('SL22517-2022-11-01-2035','S85-19','INwujNWgSBAJRt', 'UB')
('AC04652-2022-11-01-2102','A117-14','gJzVEYWPvAJoxKx', 'LB')
('SL04652-2022-11-01-2015','S84-23','p', 'SL')
('AC12058-2022-11-01-2041','A114-7','iyAZLQdJEW', 'LB')
('AC04652-2022-11-02-2044','A114-10','MfvfiuZiX', 'UB')
('SL22517-2022-11-01-2073','S87-9','Cwk', 'LB')
('SL04652-2022-11-02-2066','S87-2','wBzzmwcunV', 'MB')
('SL04652-2022-11-01-2045','S86-5','rtsuYoVybuno', 'MB')
('AC22517-2022-11-02-2101','A117-13','ZBdlJ', 'LB')
('SL22517-2022-11-02-2110','S88-22','vipzYTQfbxoIDHV', 'UB')
('SL22517-2022-11-02-2112','S88-24','VYAeAGAantQjGdO', 'SU')
('AC04652-2022-11-02-2108','A118-2','sGecRDtKSAgSgRV', 'LB')
('AC22517-2022-11-02-2106','A117-18','ExlvVuOWUtvOOb', 'SU')
('SL12058-2022-11-01-2084','S87-20','I', 'LB')
('AC04652-2022-11-01-2205','A123-9','QwNXtXWFG', 'UB')
('SL22517-2022-11-02-2118','S89-6','lnOF', 'UB')
('SL22517-2022-11-01-2138','S90-2','qMhKpSmwDNh', 'MB')
('SL04652-2022-11-01-2103','S88-15','vCVTwzmRB', 'SL')
('AC04652-2022-11-02-2148','A120-6','wOsQ', 'SU')
('AC04652-2022-11-02-2149','A120-7','OZnqEbIXDcaAMX', 'LB')
('AC22517-2022-11-02-2185','A122-7','YbQr', 'LB')
('AC22517-2022-11-02-2186','A122-8','AYnhNzZAFu', 'LB')
('AC22517-2022-11-02-2187','A122-9','CV', 'UB')
('SL12058-2022-11-01-2148','S90-12','BXjvvzULiHRee', 'LB')
('SL04652-2022-11-02-2201','S92-17','qq', 'LB')
('SL22517-2022-11-01-2203','S92-19','GVJdjRnAzlmWVLH', 'UB')
('AC22517-2022-11-01-2270','A127-2','VzE', 'LB')
('AC04652-2022-11-02-2232','A124-18','UidbZG', 'SU')
('SL22517-2022-11-01-2235','S94-3','dRoEsetSis', 'UB')
('SL04652-2022-11-01-2200','S92-16','eKzDE', 'SU')
('AC12058-2022-11-01-2204','A123-8','IdPveHejYqP', 'LB')
('SL04652-2022-11-01-2210','S93-2','B', 'MB')
('AC22517-2022-11-01-2285','A127-17','rRVFxavvJ', 'SL')
('AC12058-2022-11-01-2215','A124-1','buysEQIq', 'LB')
('AC12058-2022-11-01-2216','A124-2','nwgGJEalMdKfvhR', 'LB')
('AC12058-2022-11-01-2218','A124-4','ninsZtxES', 'UB')
('SL04652-2022-11-02-2255','S94-23','GjYwuhKH', 'SL')
('AC04652-2022-11-02-2254','A126-4','tYVrZYtmflr', 'UB')
('AC22517-2022-11-02-2249','A125-17','LMEhbUdySdpsh', 'SL')
('AC12058-2022-11-01-2224','A124-10','mry', 'UB')
('SL22517-2022-11-01-2257','S95-1','kIjLcEtEqo', 'LB')
('AC04652-2022-11-01-2348','A131-8','xibbFufVveCnm', 'LB')
('SL04652-2022-11-02-2262','S95-6','NgTbhtRsIXrlbgXR', 'UB')
('AC12058-2022-11-01-2228','A124-14','rKoEBJuyfxVNyYu', 'LB')
('SL12058-2022-11-01-2215','S93-7','NtMCDVlcUuE', 'SL')
('SL22517-2022-11-01-2261','S95-5','jvA', 'MB')
('AC04652-2022-11-01-2355','A131-15','dYcCIylddONwk', 'UB')
('SL22517-2022-11-02-2246','S94-14','fIq', 'UB')
('SL22517-2022-11-01-2263','S95-7','RPK', 'SL')
('SL04652-2022-11-01-2228','S93-20','wBnTj', 'LB')
('AC04652-2022-11-02-2262','A126-12','QUZfEp', 'SU')
