('SL04652-2022-11-01-2625','S110-9','uil', 'LB')
('AC04652-2022-11-01-4807','A268-1','XsXtrzJwIm', 'LB')
('AC22517-2022-11-01-4662','A259-18','dmnEaVbQqbJ', 'SU')
('AC04652-2022-11-02-4633','A258-7','duUZSrGtkCbUNBW', 'LB')
('AC22517-2022-11-02-4748','A264-14','ZpEMrIRjf', 'LB')
('SL12058-2022-11-01-4590','S192-6','qpPlyJBmVh', 'UB')
('AC12058-2022-11-01-4702','A262-4','FqXqGalsuLKtIJo', 'UB')
('AC04652-2022-11-01-4897','A273-1','SiGEONt', 'LB')
('SL04652-2022-11-01-4667','S195-11','LsWtQRqbW', 'UB')
('SL12058-2022-11-01-4649','S194-17','Dbe', 'LB')
('AC04652-2022-11-01-4967','A276-17','STCu', 'SL')
('SL12058-2022-11-01-4650','S194-18','FMcWdrOfAc', 'MB')
('SL12058-2022-11-01-4651','S194-19','tUdChtEGptKWZC', 'UB')
('SL12058-2022-11-01-4652','S194-20','UDYaZIedoe', 'LB')
('AC04652-2022-11-01-4969','A277-1','gSiXMrjKiXIZQO', 'LB')
('AC04652-2022-11-01-4970','A277-2','mWfpF', 'LB')
('SL22517-2022-11-02-4658','S195-2','V', 'MB')
('SL12058-2022-11-01-4655','S194-23','ColTmJWIYZYHAa', 'SL')
('SL04652-2022-11-01-4700','S196-20','Ag', 'LB')
('SL12058-2022-11-01-4657','S195-1','r', 'LB')
('AC12058-2022-11-01-4775','A266-5','DhLVJGXWqEjBz', 'SL')
('SL22517-2022-11-01-4684','S196-4','COn', 'LB')
('AC04652-2022-11-02-4772','A266-2','eP', 'LB')
('AC22517-2022-11-01-4843','A270-1','cUU', 'LB')
('SL04652-2022-11-01-4753','S199-1','QuOfzQP', 'LB')
('SL22517-2022-11-02-4718','S197-14','UZyPlklOSOd', 'UB')
('AC12058-2022-11-01-4832','A269-8','rXTzcag', 'LB')
('SL22517-2022-11-01-4737','S198-9','dHGrF', 'LB')
('SL22517-2022-11-02-4723','S197-19','vQRPwksEntcaxSXR', 'UB')
('AC04652-2022-11-01-5044','A281-4','zCEHAWp', 'UB')
('AC22517-2022-11-01-4853','A270-11','ORwyYHPF', 'SL')
('SL22517-2022-11-01-4746','S198-18','bfAVWWNtUSq', 'MB')
('AC04652-2022-11-01-5047','A281-7','ZKjneecbZ', 'LB')
('AC12058-2022-11-01-4843','A270-1','hCsangCm', 'LB')
('AC12058-2022-11-01-4844','A270-2','BBrvButowxRRvKPN', 'LB')
('AC22517-2022-11-02-4886','A272-8','RlHdQyJUfBvhIHqU', 'LB')
('AC22517-2022-11-01-4856','A270-14','DHhDN', 'LB')
('SL04652-2022-11-01-4790','S200-14','yRuJUH', 'UB')
('AC22517-2022-11-01-4869','A271-9','ABomMyJuJAW', 'UB')
('SL04652-2022-11-02-4811','S201-11','cTgWxjXVllFtaAY', 'UB')
('AC22517-2022-11-01-4870','A271-10','KwovQBunNjJPdien', 'UB')
('AC04652-2022-11-01-5072','A282-14','A', 'LB')
('AC04652-2022-11-02-4879','A272-1','RjC', 'LB')
('SL04652-2022-11-01-4812','S201-12','PSNFZpPGxBh', 'LB')
('AC04652-2022-11-02-4890','A272-12','rcBJtokCLhByifn', 'SU')
('SL04652-2022-11-02-4842','S202-18','zmWBTHVBWVThw', 'MB')
('SL22517-2022-11-01-4841','S202-17','ICg', 'LB')
('SL22517-2022-11-02-4835','S202-11','gOnxTXmN', 'UB')
('AC22517-2022-11-01-4940','A275-8','ANoSYIJVTdVVqSht', 'LB')
('AC04652-2022-11-01-5152','A287-4','jwREPMxmpgf', 'UB')
('SL12058-2022-11-01-4815','S201-15','nPqsUaprXyOH', 'SL')
('AC12058-2022-11-01-4930','A274-16','dv', 'UB')
('AC22517-2022-11-01-4947','A275-15','rTMfjnpcS', 'UB')
('AC22517-2022-11-01-4950','A275-18','kitu', 'SU')
('AC04652-2022-11-02-4967','A276-17','JpNpPvBiharS', 'SL')
('SL22517-2022-11-02-4861','S203-13','piHfFvCTQ', 'MB')
('SL04652-2022-11-01-4885','S204-13','EkvYOJDZttVF', 'MB')
('AC22517-2022-11-01-4959','A276-9','GvCFJV', 'UB')
('AC22517-2022-11-02-4997','A278-11','vTZSy', 'SL')
('SL12058-2022-11-01-4836','S202-12','iPYsSMR', 'LB')
('SL04652-2022-11-02-4902','S205-6','xMppo', 'UB')
('SL12058-2022-11-01-4839','S202-15','OyzSTpPtAyVVXH', 'SL')
('AC04652-2022-11-02-4984','A277-16','QVBuWhtb', 'UB')
('AC22517-2022-11-01-4974','A277-6','UYgaQhlzZ', 'SU')
('AC04652-2022-11-01-5189','A289-5','xvtKLqOfBDHdXOya', 'SL')
('SL22517-2022-11-01-4880','S204-8','ZYEc', 'SU')
('SL22517-2022-11-02-4884','S204-12','oRavfZqTPpS', 'LB')
('AC22517-2022-11-02-5029','A280-7','kmdNbweJD', 'LB')
('SL04652-2022-11-01-4909','S205-13','UTBbFvJ', 'MB')
('AC12058-2022-11-01-4975','A277-7','iuPJnzzPDrTBKxDM', 'LB')
('SL04652-2022-11-01-4911','S205-15','atNy', 'SL')
('SL04652-2022-11-02-4944','S206-24','EKoiATYSsmia', 'SU')
('AC22517-2022-11-01-5013','A279-9','QORbzoeMZ', 'UB')
('AC22517-2022-11-01-5015','A279-11','j', 'SL')
('AC04652-2022-11-02-5031','A280-9','mcYv', 'UB')
('SL22517-2022-11-01-4955','S207-11','prp', 'UB')
('AC22517-2022-11-02-5111','A284-17','MhpzYZyDd', 'SL')
('AC22517-2022-11-02-5112','A284-18','hW', 'SU')
('AC22517-2022-11-01-5065','A282-7','MjTm', 'LB')
('AC04652-2022-11-01-5282','A294-8','XqapVPovfmhS', 'LB')
('SL04652-2022-11-02-5010','S209-18','QnWPkXwGI', 'MB')
('AC04652-2022-11-02-5101','A284-7','iiXHKIVk', 'LB')
('SL04652-2022-11-01-4980','S208-12','yjiPBpXiwO', 'LB')
('AC22517-2022-11-01-5070','A282-12','z', 'SU')
('SL22517-2022-11-02-4980','S208-12','yvnPPPSfxgpL', 'LB')
('SL22517-2022-11-02-5032','S210-16','oCVdh', 'SU')
('AC22517-2022-11-01-5134','A286-4','kArFHzGYpmy', 'UB')
('SL04652-2022-11-02-5077','S212-13','HIFTaqrXiEmeUlv', 'MB')
('AC22517-2022-11-02-5180','A288-14','yONm', 'LB')
('SL04652-2022-11-02-5079','S212-15','WtgTDTLxCUEj', 'SL')
('AC22517-2022-11-01-5139','A286-9','SgHelW', 'UB')
('AC04652-2022-11-02-5168','A288-2','zLwTJSKAVgTpP', 'LB')
('AC04652-2022-11-01-5342','A297-14','uPh', 'LB')
('SL04652-2022-11-02-5086','S212-22','lUQTyEzjsG', 'UB')
('AC04652-2022-11-02-5170','A288-4','XFKR', 'UB')
('AC04652-2022-11-01-5347','A298-1','cZsysMvyFbInVyR', 'LB')
('SL22517-2022-11-01-5079','S212-15','fXp', 'SL')
('AC04652-2022-11-01-5409','A301-9','lbxCgZAuxeYXgCTS', 'UB')
('SL04652-2022-11-02-5146','S215-10','emkuHpuIWCCekb', 'MB')
('SL04652-2022-11-02-5149','S215-13','ZhYgHPTnu', 'MB')
('AC04652-2022-11-01-5416','A301-16','hBVzRNVldg', 'UB')
('AC04652-2022-11-01-5417','A301-17','aMyXPOG', 'SL')
('AC04652-2022-11-02-5235','A291-15','wEwG', 'UB')
('SL04652-2022-11-02-5158','S215-22','nRwwUquBp', 'UB')
('AC22517-2022-11-01-5207','A290-5','UOMeSZKQmUGuzOmj', 'SL')
('SL22517-2022-11-02-5125','S214-13','MKWkHXDR', 'MB')
('AC22517-2022-11-01-5208','A290-6','Hh', 'SU')
('AC12058-2022-11-01-5207','A290-5','DSyzHC', 'SL')
('AC04652-2022-11-02-5249','A292-11','gJdUEBGSDy', 'SL')
('AC12058-2022-11-01-5217','A290-15','D', 'UB')
('SL04652-2022-11-01-5141','S215-5','wNvWwBDgau', 'MB')
('SL04652-2022-11-02-5216','S218-8','eew', 'SU')
('AC22517-2022-11-01-5266','A293-10','CDGaLuea', 'UB')
('SL12058-2022-11-01-5111','S213-23','SMMwNGjMZieK', 'SL')
('AC04652-2022-11-02-5295','A295-3','yehXvVlCRfTebqM', 'UB')
('SL22517-2022-11-01-5145','S215-9','cpAO', 'LB')
('SL22517-2022-11-01-5146','S215-10','f', 'MB')
('SL22517-2022-11-01-5148','S215-12','iato', 'LB')
('AC22517-2022-11-02-5300','A295-8','PTCXod', 'LB')
('AC22517-2022-11-01-5280','A294-6','YwcHfyXLusiUb', 'SU')
('SL22517-2022-11-01-5152','S215-16','TcGDCzMgQmyfSfrb', 'SU')
('SL12058-2022-11-01-5122','S214-10','KqZPIWsHWBWk', 'MB')
('AC22517-2022-11-02-5305','A295-13','ZOtwZuO', 'LB')
('AC22517-2022-11-01-5304','A295-12','ZojfmQiDVrgQip', 'SU')
('SL04652-2022-11-02-5251','S219-19','Cxuu', 'UB')
('AC12058-2022-11-01-5290','A294-16','sqixHnSEMkaRmikx', 'UB')
('SL22517-2022-11-01-5194','S217-10','DHcm', 'MB')
('SL12058-2022-11-01-5170','S216-10','ZszN', 'MB')
('SL22517-2022-11-02-5223','S218-15','pulriA', 'SL')
('AC04652-2022-11-02-5344','A297-16','qgBVUFLuLZMBXJt', 'UB')
('AC04652-2022-11-02-5345','A297-17','zHexLJe', 'SL')
('AC04652-2022-11-02-5346','A297-18','bPthqw', 'SU')
('AC22517-2022-11-01-5320','A296-10','SDttJPIYxvwhQGMD', 'UB')
('SL12058-2022-11-01-5197','S217-13','ZuOmMzTADJOu', 'MB')
('AC12058-2022-11-01-5317','A296-7','SVieeAecQDvudw', 'LB')
('SL22517-2022-11-02-5249','S219-17','xVcFATK', 'LB')
('SL12058-2022-11-01-5259','S220-3','Bh', 'UB')
('AC04652-2022-11-01-5605','A312-7','YdMYztEoNhx', 'LB')
('AC04652-2022-11-01-5607','A312-9','gAmbmC', 'UB')
('SL22517-2022-11-02-5315','S222-11','Ey', 'UB')
('AC22517-2022-11-01-5400','A300-18','BRXLEOB', 'SU')
('AC04652-2022-11-02-5436','A302-18','ANsErtEqN', 'SU')
('AC04652-2022-11-02-5437','A303-1','bZ', 'LB')
('SL22517-2022-11-02-5322','S222-18','JSbPNPZYmz', 'MB')
('SL22517-2022-11-01-5283','S221-3','XfzQWVaRKxPpRq', 'UB')
('SL22517-2022-11-02-5326','S222-22','qGfogCgxZ', 'UB')
('AC04652-2022-11-01-5616','A312-18','H', 'SU')
('AC22517-2022-11-01-5408','A301-8','mHYT', 'LB')
('SL22517-2022-11-01-5285','S221-5','cyAommbxdCXvNN', 'MB')
('SL04652-2022-11-02-5353','S224-1','DvyYJqwVRS', 'LB')
('AC22517-2022-11-01-5412','A301-12','da', 'SU')
('SL22517-2022-11-01-5288','S221-8','SYvPNpG', 'SU')
('AC12058-2022-11-01-5395','A300-13','yK', 'LB')
('AC12058-2022-11-01-5396','A300-14','UaTEuM', 'LB')
('SL12058-2022-11-01-5283','S221-3','KMgvkKVn', 'UB')
('SL12058-2022-11-01-5284','S221-4','bWzNXIveNziL', 'LB')
('AC22517-2022-11-02-5451','A303-15','XAR', 'UB')
('AC04652-2022-11-01-5638','A314-4','cdRwbAhKamDlKYm', 'UB')
('AC12058-2022-11-01-5403','A301-3','lSOmEk', 'UB')
('SL22517-2022-11-01-5294','S221-14','RszvX', 'UB')
('SL22517-2022-11-01-5295','S221-15','PcpoyEb', 'SL')
('AC22517-2022-11-01-5431','A302-13','vJQZOzHPaGdo', 'LB')
('SL22517-2022-11-02-5342','S223-14','PQGsYXChnmcnFdoI', 'UB')
('SL22517-2022-11-02-5343','S223-15','aNRrMUiarEKkGI', 'SL')
('AC12058-2022-11-01-5413','A301-13','T', 'LB')
('AC04652-2022-11-02-5463','A304-9','qqAFnsifQQel', 'UB')
('AC22517-2022-11-01-5452','A303-16','rhrDhJJc', 'UB')
('AC22517-2022-11-01-5471','A304-17','EZKRvM', 'SL')
('AC04652-2022-11-02-5497','A306-7','FkvaU', 'LB')
('AC22517-2022-11-01-5473','A305-1','iNJvvJFMquK', 'LB')
('SL22517-2022-11-01-5371','S224-19','YQXIEWZjmxEwIBD', 'UB')
('AC22517-2022-11-02-5535','A308-9','jhvbfY', 'UB')
('AC22517-2022-11-02-5536','A308-10','YUWDl', 'UB')
('AC04652-2022-11-02-5532','A308-6','wMxgZiEFwvWM', 'SU')
('SL04652-2022-11-01-5389','S225-13','TclFWSEjpAtP', 'MB')
('SL22517-2022-11-02-5417','S226-17','guEPXrWbKwMt', 'LB')
('AC22517-2022-11-01-5522','A307-14','UVybmE', 'LB')
('AC04652-2022-11-02-5584','A311-4','soJEnTSi', 'UB')
('AC22517-2022-11-01-5527','A308-1','axXZedLheBeCd', 'LB')
('SL22517-2022-11-01-5423','S226-23','JjRS', 'SL')
('AC04652-2022-11-01-5768','A321-8','CbVIGQYKitnOX', 'LB')
('SL04652-2022-11-01-5440','S227-16','bXQaB', 'SU')
('SL22517-2022-11-02-5465','S228-17','PKXXVfUVnCaCm', 'LB')
('SL22517-2022-11-01-5427','S227-3','YnNVRzkvOa', 'UB')
('SL04652-2022-11-01-5445','S227-21','uggKJ', 'MB')
('SL22517-2022-11-02-5468','S228-20','aXTiDIfMLQsJM', 'LB')
('SL04652-2022-11-01-5446','S227-22','AsPpwqgaEgkaX', 'UB')
('AC12058-2022-11-01-5553','A309-9','ptjyg', 'UB')
('AC22517-2022-11-02-5584','A311-4','aCZUFpZ', 'UB')
('SL22517-2022-11-02-5472','S228-24','XkDoocafm', 'SU')
('AC04652-2022-11-02-5592','A311-12','hfUd', 'SU')
('AC22517-2022-11-02-5588','A311-8','hWLbbBQfc', 'LB')
('AC12058-2022-11-01-5561','A309-17','oSfRs', 'SL')
('SL22517-2022-11-02-5483','S229-11','ZHBLfPPgqMrIOljS', 'UB')
('AC04652-2022-11-01-5784','A322-6','HpyGOwOUu', 'SU')
('SL22517-2022-11-02-5484','S229-12','yAmiSPv', 'LB')
('SL22517-2022-11-02-5485','S229-13','zdBjN', 'MB')
('SL04652-2022-11-02-5511','S230-15','kZlX', 'SL')
('AC22517-2022-11-02-5591','A311-11','VBjOuWtHpmrWXt', 'SL')
('SL04652-2022-11-02-5514','S230-18','occCC', 'MB')
('AC04652-2022-11-02-5605','A312-7','iupPugzCSIif', 'LB')
('SL22517-2022-11-01-5446','S227-22','cyKqUOWE', 'UB')
('SL04652-2022-11-01-5467','S228-19','D', 'UB')
('SL22517-2022-11-02-5489','S229-17','YquCtzJdxHzXw', 'LB')
('SL04652-2022-11-01-5468','S228-20','MGLlmE', 'LB')
('SL04652-2022-11-02-5521','S231-1','zmiZyHAfi', 'LB')
('AC04652-2022-11-01-5791','A322-13','jXIjhbFMXR', 'LB')
('SL12058-2022-11-01-5432','S227-8','YIXGhJJYNgUaW', 'SU')
('AC22517-2022-11-02-5602','A312-4','pMeZhOFxTAsWzsm', 'UB')
('SL04652-2022-11-02-5564','S232-20','e', 'LB')
('SL04652-2022-11-02-5579','S233-11','gkzPUso', 'UB')
('AC04652-2022-11-02-5679','A316-9','C', 'UB')
('SL12058-2022-11-01-5489','S229-17','fhzX', 'LB')
('AC12058-2022-11-01-5635','A314-1','YqyuSMGmrw', 'LB')
('AC22517-2022-11-02-5651','A314-17','RNDCrXy', 'SL')
('SL22517-2022-11-01-5507','S230-11','rRAFsltknaKeRHAO', 'UB')
('AC22517-2022-11-02-5652','A314-18','dbwPEayMcDdRUIE', 'SU')
('AC04652-2022-11-02-5684','A316-14','qtTNHX', 'LB')
('SL22517-2022-11-01-5509','S230-13','ASqeft', 'MB')
('AC04652-2022-11-02-5688','A316-18','W', 'SU')
('SL22517-2022-11-02-5561','S232-17','NlJU', 'LB')
('SL04652-2022-11-01-5572','S233-4','HssTDipX', 'LB')
('AC22517-2022-11-01-5690','A317-2','RlWPErLvawlaKN', 'LB')
('AC04652-2022-11-01-5890','A328-4','QOwIY', 'UB')
('AC22517-2022-11-02-5694','A317-6','Ma', 'SU')
('SL22517-2022-11-02-5615','S234-23','TtundwwZ', 'SL')
('SL22517-2022-11-01-5553','S232-9','jnfglneAHBxYMoI', 'LB')
('AC04652-2022-11-01-5902','A328-16','zZrm', 'UB')
('SL22517-2022-11-02-5621','S235-5','LAfwk', 'MB')
('AC22517-2022-11-01-5725','A319-1','hfkg', 'LB')
('AC22517-2022-11-02-5752','A320-10','rmWjifRAJH', 'UB')
('AC12058-2022-11-01-5747','A320-5','xt', 'SL')
('AC04652-2022-11-01-5967','A332-9','RceQNOWGb', 'UB')
('AC22517-2022-11-01-5773','A321-13','CZcwlHuvIbVaiO', 'LB')
('AC12058-2022-11-01-5752','A320-10','kDcxHtPEdTWGf', 'UB')
('AC04652-2022-11-01-5969','A332-11','zul', 'SL')
('AC12058-2022-11-01-5771','A321-11','QmzTFNaepUmfsr', 'SL')
('AC04652-2022-11-01-5999','A334-5','FNTpMWeZivmJd', 'SL')
('AC04652-2022-11-01-6001','A334-7','UuedjjTJdS', 'LB')
('SL12058-2022-11-01-5636','S235-20','mZAuQXmlCTkOE', 'LB')
('SL04652-2022-11-01-5674','S237-10','avodzZMRubvDKkv', 'MB')
('AC04652-2022-11-01-6003','A334-9','gtsTHdEuIsU', 'UB')
('AC22517-2022-11-01-5800','A323-4','jYMNTdvsIijf', 'UB')
('AC04652-2022-11-01-6016','A335-4','HfbGEN', 'UB')
('SL22517-2022-11-02-5721','S239-9','aSkeBvTXACeWDVf', 'LB')
('SL04652-2022-11-01-5688','S237-24','yxkUvPQqZnf', 'SU')
('SL04652-2022-11-02-5742','S240-6','l', 'UB')
('SL04652-2022-11-01-5691','S238-3','I', 'UB')
('AC04652-2022-11-01-6021','A335-9','xVOuUXJLRmvOlNy', 'UB')
('AC22517-2022-11-01-5807','A323-11','G', 'SL')
('AC04652-2022-11-01-6043','A336-13','EFfzctNX', 'LB')
('AC22517-2022-11-02-5819','A324-5','tQAWPOlSMVuhWsCh', 'SL')
('AC22517-2022-11-01-5844','A325-12','rojc', 'SU')
('AC04652-2022-11-02-5874','A327-6','DhAncrBAFHztXs', 'SU')
('AC12058-2022-11-01-5812','A323-16','IbiSusyEF', 'UB')
('AC04652-2022-11-02-5876','A327-8','hYGetOfjDHktpUpD', 'LB')
('AC04652-2022-11-02-5877','A327-9','rzqQMdezhDqO', 'UB')
('SL12058-2022-11-01-5679','S237-15','OYLwLIjOY', 'SL')
('AC04652-2022-11-01-6059','A337-11','NseYuftLRrZG', 'SL')
('SL04652-2022-11-02-5783','S241-23','ANpO', 'SL')
('SL04652-2022-11-01-5728','S239-16','iXkTf', 'SU')
('AC22517-2022-11-01-5848','A325-16','HXvhIyUulqM', 'UB')
('AC04652-2022-11-02-5881','A327-13','TMKwcQwrCXstgYP', 'LB')
('AC04652-2022-11-01-6064','A337-16','TaXcuYWUUImAO', 'UB')
('AC04652-2022-11-02-5883','A327-15','RBSHSybvKbJ', 'UB')
('SL22517-2022-11-02-5778','S241-18','YDxzzTkz', 'MB')
('SL22517-2022-11-02-5821','S243-13','ebXtAoDe', 'MB')
('AC12058-2022-11-01-5886','A327-18','sPREZAeRLlf', 'SU')
('SL22517-2022-11-01-5786','S242-2','MiJ', 'MB')
('SL22517-2022-11-02-5864','S245-8','QOPj', 'SU')
('SL04652-2022-11-01-5813','S243-5','chDGedllKGRs', 'MB')
('AC22517-2022-11-02-5932','A330-10','C', 'UB')
('AC04652-2022-11-02-5995','A334-1','hdlYxvnLgSAcAa', 'LB')
('AC22517-2022-11-02-5948','A331-8','PBQyAq', 'LB')
('SL12058-2022-11-01-5801','S242-17','iVzcYZGhwJg', 'LB')
('AC22517-2022-11-01-5968','A332-10','CwhoIZIyi', 'UB')
('AC22517-2022-11-02-5998','A334-4','hUJrMzSECWfyixGZ', 'UB')
('SL22517-2022-11-01-5887','S246-7','kQxwYCvZzS', 'SL')
('AC22517-2022-11-02-5999','A334-5','D', 'SL')
('AC04652-2022-11-01-6244','A347-16','ExlofJyJCsuP', 'UB')
('AC04652-2022-11-02-6058','A337-10','wMFnJhhgk', 'UB')
('AC22517-2022-11-01-6007','A334-13','Kq', 'LB')
('AC22517-2022-11-01-6020','A335-8','ZilqBheUazrEpBKb', 'LB')
('SL04652-2022-11-02-5991','S250-15','HjVxFCMVRCpBwQq', 'SL')
('SL22517-2022-11-01-5907','S247-3','yAKzwoVkAZoCKfP', 'UB')
('AC22517-2022-11-02-6045','A336-15','hyDJf', 'UB')
('SL12058-2022-11-01-5864','S245-8','RkInDsnUGbxsD', 'SU')
('AC22517-2022-11-02-6047','A336-17','oAWDAoCWjI', 'SL')
('SL22517-2022-11-02-6002','S251-2','Lhg', 'MB')
('SL04652-2022-11-01-5921','S247-17','sgxjDEDcvSyJS', 'LB')
('SL04652-2022-11-01-5922','S247-18','EYrq', 'MB')
('AC04652-2022-11-02-6105','A340-3','PaeeFwylHQcSm', 'UB')
('AC22517-2022-11-02-6060','A337-12','cHKXyxCZdrJxsT', 'SU')
('SL22517-2022-11-01-5941','S248-13','fCogEyutNF', 'MB')
('AC22517-2022-11-01-6059','A337-11','QHaIYiGpocZjpY', 'SL')
('AC04652-2022-11-01-6307','A351-7','DkxcWWNbhrF', 'LB')
('AC12058-2022-11-01-6070','A338-4','VypwNApVEPJ', 'UB')
('AC22517-2022-11-01-6071','A338-5','CjqQ', 'SL')
('SL22517-2022-11-01-5953','S249-1','zPoo', 'LB')
('AC04652-2022-11-02-6119','A340-17','KdhryPTv', 'SL')
('SL04652-2022-11-02-6041','S252-17','ZztpTrGNueuxEKDu', 'LB')
('SL12058-2022-11-01-5900','S246-20','dHdCWYnxLZR', 'LB')
('SL04652-2022-11-01-5954','S249-2','MhLGGTYSxKn', 'MB')
('SL12058-2022-11-01-5903','S246-23','rukTUhpeHJBDnurW', 'SL')
('AC04652-2022-11-02-6123','A341-3','DIWhJ', 'UB')
('AC22517-2022-11-01-6077','A338-11','DBOdVYeebQBVbn', 'SL')
('SL04652-2022-11-02-6045','S252-21','HjOiadUf', 'MB')
('SL22517-2022-11-02-6031','S252-7','BfjpIqSyqxWmY', 'SL')
('SL22517-2022-11-01-5959','S249-7','bLn', 'SL')
('SL04652-2022-11-02-6048','S252-24','ikreqbvEViHeshl', 'SU')
('SL12058-2022-11-01-5906','S247-2','a', 'MB')
('AC04652-2022-11-02-6130','A341-10','WEVCtZZvoMRTA', 'UB')
('AC22517-2022-11-01-6133','A341-13','KzjorSj', 'LB')
('AC12058-2022-11-01-6124','A341-4','BpMLb', 'UB')
('AC22517-2022-11-01-6148','A342-10','mRRdbCkmlWs', 'UB')
('SL22517-2022-11-02-6114','S255-18','VCAdwOLwqsheK', 'MB')
('AC22517-2022-11-01-6208','A345-16','QzxTlpVWhZUQ', 'UB')
('AC04652-2022-11-01-6480','A360-18','fqESftwAqD', 'SU')
('SL04652-2022-11-02-6172','S258-4','UrUNmBzLQrXIxh', 'LB')
('AC04652-2022-11-02-6264','A348-18','TQ', 'SU')
('SL04652-2022-11-01-6117','S255-21','vhNpTn', 'MB')
('AC22517-2022-11-02-6250','A348-4','iJQLCE', 'UB')
('AC12058-2022-11-01-6245','A347-17','TMVLiTHlqcnfpz', 'SL')
('SL04652-2022-11-02-6199','S259-7','UtNkrvrrbvXsgAJ', 'SL')
('SL12058-2022-11-01-6056','S253-8','EcJnhgIJGMq', 'SU')
('AC04652-2022-11-01-6604','A367-16','SbHLdbkbpCrWfG', 'UB')
('AC12058-2022-11-01-6333','A352-15','BQEYGoQ', 'UB')
('SL04652-2022-11-01-6209','S259-17','WsvQCcO', 'LB')
('AC04652-2022-11-01-6607','A368-1','yfspnwadcmQv', 'LB')
('SL22517-2022-11-01-6227','S260-11','J', 'UB')
('SL04652-2022-11-01-6222','S260-6','gZcMmakdKpr', 'UB')
('AC04652-2022-11-02-6373','A355-1','iegFWNBemNk', 'LB')
('SL22517-2022-11-02-6310','S263-22','ihJy', 'UB')
('AC22517-2022-11-01-6361','A354-7','Qw', 'LB')
('SL04652-2022-11-02-6301','S263-13','tofGTmTiJiAHnUac', 'MB')
('AC22517-2022-11-02-6356','A354-2','W', 'LB')
('SL12058-2022-11-01-6160','S257-16','oesmAPPju', 'SU')
('AC12058-2022-11-01-6355','A354-1','J', 'LB')
('AC04652-2022-11-02-6388','A355-16','Nqzo', 'UB')
('SL04652-2022-11-02-6314','S264-2','IfXY', 'MB')
('AC12058-2022-11-01-6366','A354-12','DJAhRWeXDEK', 'SU')
('AC12058-2022-11-01-6377','A355-5','DvE', 'SL')
('AC22517-2022-11-02-6378','A355-6','ytVxsRrX', 'SU')
('AC22517-2022-11-01-6390','A355-18','JNEKvJQFnr', 'SU')
('SL04652-2022-11-01-6272','S262-8','bbPBxsQoal', 'SU')
('AC22517-2022-11-02-6397','A356-7','zcfVJNYIYFBsNH', 'LB')
('SL12058-2022-11-01-6205','S259-13','ZOfi', 'MB')
('SL04652-2022-11-02-6355','S265-19','LUzBEtCyKi', 'UB')
('AC04652-2022-11-02-6424','A357-16','llrSMWlzBVSdaj', 'UB')
('SL04652-2022-11-01-6293','S263-5','DTgrfNcUMysiGr', 'MB')
('AC12058-2022-11-01-6412','A357-4','h', 'UB')
('SL12058-2022-11-01-6217','S260-1','fxJoQxfBKk', 'LB')
('SL04652-2022-11-01-6297','S263-9','fHH', 'LB')
('AC04652-2022-11-02-6441','A358-15','ecPoxzQvKRfgU', 'UB')
('AC04652-2022-11-01-6694','A372-16','irZkWwaGEqW', 'UB')
('AC04652-2022-11-01-6695','A372-17','NH', 'SL')
('AC12058-2022-11-01-6473','A360-11','IXzUVjaWjkeqfB', 'SL')
('AC04652-2022-11-01-6761','A376-11','gljSpVKUeVPBoP', 'SL')
('SL22517-2022-11-01-6382','S266-22','hIrEPsxmew', 'UB')
('AC04652-2022-11-02-6502','A362-4','JVNXtQHzSPex', 'UB')
('SL22517-2022-11-02-6441','S269-9','aWISMOWnjG', 'LB')
('AC22517-2022-11-01-6484','A361-4','fvSoMl', 'UB')
('AC04652-2022-11-02-6503','A362-5','hSqDUqY', 'SL')
('SL22517-2022-11-01-6386','S267-2','BQzGDdX', 'MB')
('SL22517-2022-11-01-6387','S267-3','xpkkA', 'UB')
('SL22517-2022-11-01-6400','S267-16','MCPIbWlgthqvV', 'SU')
('SL04652-2022-11-02-6463','S270-7','raSFleXUrrQF', 'SL')
('AC04652-2022-11-02-6522','A363-6','URmGXY', 'SU')
('SL04652-2022-11-01-6413','S268-5','mHP', 'MB')
('SL22517-2022-11-02-6472','S270-16','FMqFVVJM', 'SU')
('AC04652-2022-11-01-6800','A378-14','HAZmIJfhTAxBn', 'LB')
('SL22517-2022-11-02-6499','S271-19','wrfruCBXvsiUqipJ', 'UB')
('SL04652-2022-11-02-6503','S271-23','wHKV', 'SL')
('SL22517-2022-11-02-6501','S271-21','NdLoDZYUFf', 'MB')
('SL04652-2022-11-02-6509','S272-5','mAGMbtpswW', 'MB')
('SL22517-2022-11-02-6512','S272-8','EHtQRgecU', 'SU')
('AC04652-2022-11-02-6611','A368-5','DERAUoQIM', 'SL')
('SL22517-2022-11-02-6576','S274-24','pnNgViqBpEnZF', 'SU')
('AC12058-2022-11-01-6603','A367-15','AdSiJ', 'UB')
('SL12058-2022-11-01-6416','S268-8','PfTpwYicbrQtl', 'SU')
('SL22517-2022-11-02-6578','S275-2','BtfJCpcK', 'MB')
('SL12058-2022-11-01-6418','S268-10','SOz', 'MB')
('AC04652-2022-11-01-6893','A383-17','SGpK', 'SL')
('SL22517-2022-11-02-6594','S275-18','eoDTVEmvHFgRksmy', 'MB')
('SL22517-2022-11-01-6527','S272-23','e', 'SL')
('SL04652-2022-11-02-6598','S275-22','HEpWYsRPy', 'UB')
