('SL22517-2022-11-01-148','S7-4','YbTtbvI', 'LB')
('SL22517-2022-11-02-1890','S79-18','kan', 'MB')
('SL12058-2022-11-01-1894','S79-22','GWwzbKHXmPLCWjar', 'UB')
('AC04652-2022-11-02-1919','A107-11','OzybTxWHiIr', 'SL')
('SL22517-2022-11-02-1895','S79-23','OuxtbLxZ', 'SL')
('SL22517-2022-11-02-1896','S79-24','EszGCLWieehY', 'SU')
('SL04652-2022-11-02-1931','S81-11','bwKZmhE', 'UB')
('SL22517-2022-11-02-1901','S80-5','gBMYiubo', 'MB')
('SL12058-2022-11-01-1900','S80-4','najJcdef', 'LB')
('AC04652-2022-11-01-2039','A114-5','sCWwtPUYRspPf', 'SL')
('SL04652-2022-11-01-1956','S82-12','VaeGIkfeDuCl', 'LB')
('SL04652-2022-11-01-1961','S82-17','FfoGRUuULUl', 'LB')
('AC04652-2022-11-01-2046','A114-12','Ae', 'SU')
('AC22517-2022-11-02-1948','A109-4','psuUyHzOtPwO', 'UB')
('AC22517-2022-11-01-2037','A114-3','j', 'UB')
('AC12058-2022-11-01-1981','A111-1','GX', 'LB')
('AC04652-2022-11-01-2075','A116-5','v', 'SL')
('AC12058-2022-11-01-1988','A111-8','gHp', 'LB')
('AC22517-2022-11-01-2039','A114-5','yhzHUxr', 'SL')
('AC04652-2022-11-02-1997','A111-17','bKskNErR', 'SL')
('AC04652-2022-11-01-2081','A116-11','tEVYBeOrXN', 'SL')
('AC12058-2022-11-01-1993','A111-13','UpkmbNgkQzbEHn', 'LB')
('AC12058-2022-11-01-1994','A111-14','zTflQHQJa', 'LB')
('AC04652-2022-11-02-1999','A112-1','DXgszDRb', 'LB')
('AC04652-2022-11-01-2094','A117-6','IpUlJVDIZKr', 'SU')
('SL04652-2022-11-02-2030','S85-14','ZmFPqnIkzQ', 'UB')
('AC22517-2022-11-02-2011','A112-13','xGUHpHXZHjoYvPV', 'LB')
('AC12058-2022-11-01-2026','A113-10','noTh', 'UB')
('AC04652-2022-11-01-2113','A118-7','rNDOHjTykbCYUIyd', 'LB')
('AC04652-2022-11-02-2024','A113-8','cfVzSEKPf', 'LB')
('SL04652-2022-11-02-2048','S86-8','CIOEhBUlZo', 'SU')
('SL04652-2022-11-02-2049','S86-9','TZWAgkxPBS', 'LB')
('AC04652-2022-11-01-2114','A118-8','ZqdYzfWX', 'LB')
('SL22517-2022-11-01-2049','S86-9','KjQsgC', 'LB')
('SL04652-2022-11-02-2052','S86-12','DdXdLdPUXMUOd', 'LB')
('AC22517-2022-11-01-2074','A116-4','ODeJQiZIE', 'UB')
('SL04652-2022-11-02-2055','S86-15','bvSzjZRJr', 'SL')
('SL22517-2022-11-01-2060','S86-20','NmkL', 'LB')
('AC22517-2022-11-02-2039','A114-5','mSbZNBOSqY', 'SL')
('SL04652-2022-11-01-2033','S85-17','ARgcHCHJWKZfgoNF', 'LB')
('AC04652-2022-11-02-2039','A114-5','q', 'SL')
('AC04652-2022-11-01-2130','A119-6','nZGHtLATRJqf', 'SU')
('AC22517-2022-11-02-2118','A118-12','NRBYSOEup', 'SU')
('AC12058-2022-11-01-2124','A118-18','dnMImIVOXJetuLVA', 'SU')
('AC22517-2022-11-01-2165','A121-5','ozSrSYMtvVgoGAQp', 'SL')
('SL22517-2022-11-02-2138','S90-2','ncUXd', 'MB')
('SL22517-2022-11-02-2139','S90-3','ZlHBIfZDRD', 'UB')
('AC22517-2022-11-02-2128','A119-4','VdyWihyiGSNl', 'UB')
('SL22517-2022-11-02-2140','S90-4','zDjARxDdcypHH', 'LB')
('SL22517-2022-11-02-2141','S90-5','gWheOnqUsdEaUWzn', 'MB')
('AC22517-2022-11-02-2129','A119-5','oJAEuhyhfepydInt', 'SL')
('SL22517-2022-11-02-2142','S90-6','z', 'UB')
('SL22517-2022-11-02-2143','S90-7','KEIhARjrxi', 'SL')
('AC04652-2022-11-01-2228','A124-14','vzOLLJmrHmHQq', 'LB')
('AC04652-2022-11-01-2230','A124-16','ANDjwXtt', 'UB')
('AC04652-2022-11-01-2232','A124-18','aHUnmeUMMqBaZNR', 'SU')
('AC22517-2022-11-02-2135','A119-11','YZhWobJlFIcAxCgC', 'SL')
('SL12058-2022-11-01-2108','S88-20','NPrUPmufNycvBF', 'LB')
('AC22517-2022-11-01-2178','A121-18','JkWcDlbOmeeK', 'SU')
('SL22517-2022-11-01-2167','S91-7','bNC', 'SL')
('SL22517-2022-11-02-2147','S90-11','FL', 'UB')
('AC04652-2022-11-01-2238','A125-6','j', 'SU')
('AC22517-2022-11-01-2184','A122-6','go', 'SU')
('SL22517-2022-11-01-2174','S91-14','EXLqGx', 'UB')
('AC04652-2022-11-01-2247','A125-15','xLHuJLkQQJ', 'UB')
('AC04652-2022-11-01-2249','A125-17','KyezlqXAQuDEniN', 'SL')
('SL12058-2022-11-01-2124','S89-12','Dqi', 'LB')
('SL22517-2022-11-02-2161','S91-1','ZnMGqHdTL', 'LB')
('AC22517-2022-11-02-2159','A120-17','AFqXanjBiEDtsK', 'SL')
('AC04652-2022-11-01-2260','A126-10','Vykdpjnz', 'UB')
('SL04652-2022-11-01-2147','S90-11','VhRUnmL', 'UB')
('SL04652-2022-11-01-2148','S90-12','r', 'LB')
('AC22517-2022-11-01-2205','A123-9','w', 'UB')
('AC04652-2022-11-01-2268','A126-18','UFSRl', 'SU')
('SL04652-2022-11-01-2159','S90-23','emYib', 'SL')
('AC22517-2022-11-01-2246','A125-14','Echb', 'LB')
('SL04652-2022-11-01-2184','S91-24','uUGWJd', 'SU')
('AC22517-2022-11-02-2212','A123-16','KeoidJnQsSShfyGx', 'UB')
('AC04652-2022-11-02-2221','A124-7','lhsgT', 'LB')
('AC04652-2022-11-02-2223','A124-9','zTMgknhRgMB', 'UB')
('SL22517-2022-11-01-2225','S93-17','hFkRI', 'LB')
('SL04652-2022-11-02-2237','S94-5','FtTjglpqyiU', 'MB')
('AC04652-2022-11-02-2271','A127-3','aIqKSERy', 'UB')
('AC12058-2022-11-01-2264','A126-14','rHqIx', 'LB')
('AC04652-2022-11-02-2303','A128-17','bUSZKeDKDmFLW', 'SL')
('SL22517-2022-11-01-2295','S96-15','uFx', 'SL')
('AC04652-2022-11-01-2402','A134-8','T', 'LB')
('SL22517-2022-11-02-2284','S96-4','yKiuAqKK', 'LB')
('SL04652-2022-11-02-2303','S96-23','DDNNOPaFnVFpAT', 'SL')
('AC22517-2022-11-01-2349','A131-9','TgAwVoaaZpaf', 'UB')
('AC22517-2022-11-01-2350','A131-10','VGFkmQmhqeydVAU', 'UB')
('SL12058-2022-11-01-2263','S95-7','xZnKYYD', 'SL')
('SL04652-2022-11-01-2262','S95-6','YwWAXrynUT', 'UB')
('SL22517-2022-11-01-2301','S96-21','lMWsQYgSJaP', 'MB')
('AC22517-2022-11-02-2297','A128-11','QHWlqaRXmA', 'SL')
('SL22517-2022-11-02-2292','S96-12','OezwaT', 'LB')
('SL04652-2022-11-01-2267','S95-11','WROlzBrGrVsX', 'UB')
('SL22517-2022-11-01-2310','S97-6','hpQMNuKx', 'UB')
('AC22517-2022-11-01-2361','A132-3','OLCKgP', 'UB')
('SL22517-2022-11-02-2301','S96-21','uTg', 'MB')
('AC22517-2022-11-01-2365','A132-7','ynYGFTTprv', 'LB')
('AC22517-2022-11-02-2308','A129-4','jWSlbfG', 'UB')
('SL04652-2022-11-02-2318','S97-14','MfhBIhbeLMo', 'UB')
('AC04652-2022-11-01-2418','A135-6','vHNNEUVPNgQjv', 'SU')
('SL22517-2022-11-01-2317','S97-13','pMiqqSJwyL', 'MB')
('SL04652-2022-11-01-2279','S95-23','yYtIdzxO', 'SL')
('SL04652-2022-11-01-2280','S95-24','Hz', 'SU')
('SL22517-2022-11-01-2363','S99-11','fPFAVwHkkjrIHq', 'UB')
('AC12058-2022-11-01-2338','A130-16','qHWFqpltq', 'UB')
('AC12058-2022-11-01-2339','A130-17','gRmiSpNw', 'SL')
('SL04652-2022-11-02-2362','S99-10','mUObUZD', 'MB')
('AC22517-2022-11-01-2413','A135-1','RqbySUDeaGuE', 'LB')
('AC22517-2022-11-02-2350','A131-10','edMjneE', 'UB')
('AC04652-2022-11-01-2474','A138-8','dqkeUBqkAdh', 'LB')
('AC22517-2022-11-02-2351','A131-11','QKQcGvOwvabyFn', 'SL')
('SL22517-2022-11-01-2373','S99-21','XzjBbJEQLMuFFPvK', 'MB')
('SL22517-2022-11-02-2360','S99-8','B', 'SU')
('SL12058-2022-11-01-2323','S97-19','oszUzhORMynSvc', 'UB')
('AC04652-2022-11-02-2387','A133-11','zoHUinWLatw', 'SL')
('SL04652-2022-11-02-2381','S100-5','MqowDvkWVNcPv', 'MB')
('AC12058-2022-11-01-2370','A132-12','WUjDYdBUTK', 'SU')
('SL22517-2022-11-01-2393','S100-17','xGFb', 'LB')
('AC22517-2022-11-01-2436','A136-6','yozEtyqgvHdycfFk', 'SU')
('SL04652-2022-11-02-2395','S100-19','WP', 'UB')
('SL12058-2022-11-01-2347','S98-19','gbqwglOUoleIOJn', 'UB')
('SL22517-2022-11-01-2407','S101-7','C', 'SL')
('SL22517-2022-11-01-2409','S101-9','sQybHaBb', 'LB')
('SL04652-2022-11-02-2409','S101-9','xSiRmL', 'LB')
('AC04652-2022-11-01-2515','A140-13','ZYepidjcwLbr', 'LB')
('AC04652-2022-11-02-2410','A134-16','yYJKUrEzc', 'UB')
('SL22517-2022-11-01-2414','S101-14','OckLvjymFuw', 'UB')
('AC04652-2022-11-01-2518','A140-16','o', 'UB')
('SL12058-2022-11-01-2357','S99-5','ukDKMHokI', 'MB')
('AC22517-2022-11-02-2395','A134-1','bL', 'LB')
('SL12058-2022-11-01-2360','S99-8','SkpxHFYnPvJnD', 'SU')
('AC04652-2022-11-01-2525','A141-5','wjALFVybSl', 'SL')
('SL12058-2022-11-01-2364','S99-12','KvxrlMJf', 'LB')
('AC04652-2022-11-01-2529','A141-9','kdad', 'UB')
('SL12058-2022-11-01-2365','S99-13','UOPta', 'MB')
('AC22517-2022-11-02-2402','A134-8','IbXfsxICEYgMPPBx', 'LB')
('AC22517-2022-11-01-2466','A137-18','QSgyM', 'SU')
('SL04652-2022-11-01-2397','S100-21','BpBkuww', 'MB')
('AC04652-2022-11-02-2424','A135-12','KbmQrtpz', 'SU')
('SL04652-2022-11-01-2399','S100-23','ZJDWXoKFDUIDVuQO', 'SL')
('AC22517-2022-11-02-2411','A134-17','GiKGwD', 'SL')
('AC22517-2022-11-02-2412','A134-18','rp', 'SU')
('AC04652-2022-11-02-2480','A138-14','DrYgHs', 'LB')
('AC12058-2022-11-01-2468','A138-2','zOFmRlUwhVw', 'LB')
('SL22517-2022-11-02-2451','S103-3','DxzyKbSPnuxFy', 'UB')
('SL12058-2022-11-01-2430','S102-6','mzWXiPpaRamVpT', 'UB')
('AC04652-2022-11-01-2593','A145-1','duhmHFxu', 'LB')
('AC12058-2022-11-01-2482','A138-16','O', 'UB')
('AC22517-2022-11-01-2545','A142-7','oXEjOr', 'LB')
('AC22517-2022-11-01-2546','A142-8','qOZwxZyPR', 'LB')
('SL04652-2022-11-01-2459','S103-11','SXe', 'UB')
('SL04652-2022-11-02-2518','S105-22','RJURc', 'UB')
('AC04652-2022-11-01-2616','A146-6','uhrQRwQitQexHRlS', 'SU')
('SL04652-2022-11-02-2534','S106-14','qqbVSSDOFPDCUV', 'UB')
('AC04652-2022-11-02-2535','A141-15','wpxomdokVQA', 'UB')
('SL12058-2022-11-01-2484','S104-12','oGmUyLH', 'LB')
('AC22517-2022-11-01-2577','A144-3','XRIvuVqFNy', 'UB')
('SL04652-2022-11-01-2500','S105-4','seds', 'LB')
('SL22517-2022-11-01-2563','S107-19','WsWgSk', 'UB')
('AC22517-2022-11-02-2523','A141-3','ckZ', 'UB')
('SL04652-2022-11-01-2505','S105-9','fpdMH', 'LB')
('AC12058-2022-11-01-2529','A141-9','DVXd', 'UB')
('AC12058-2022-11-01-2530','A141-10','EWBVgaNuk', 'UB')
('AC04652-2022-11-01-2650','A148-4','r', 'UB')
('SL12058-2022-11-01-2496','S104-24','bpeKuVBPJiKZl', 'SU')
('AC12058-2022-11-01-2533','A141-13','Q', 'LB')
('AC22517-2022-11-01-2582','A144-8','YZktPpfPPyHXn', 'LB')
('AC22517-2022-11-01-2588','A144-14','qHKZuBSQ', 'LB')
('AC22517-2022-11-01-2589','A144-15','MSO', 'UB')
('AC22517-2022-11-01-2594','A145-2','BYuBmlCNhX', 'LB')
('SL12058-2022-11-01-2503','S105-7','MVXSKMbhvxzn', 'SL')
('AC22517-2022-11-01-2597','A145-5','SFKWxALtpwaBCbfn', 'SL')
('SL04652-2022-11-01-2522','S106-2','WaKcOvraSgWQU', 'MB')
('SL22517-2022-11-02-2516','S105-20','LQSMRHQieDwWojk', 'LB')
('AC12058-2022-11-01-2545','A142-7','JuuXTcymRhfYIaz', 'LB')
('SL12058-2022-11-01-2506','S105-10','VKnoBnmPUccgvhY', 'MB')
('SL22517-2022-11-02-2517','S105-21','rGtAVBBi', 'MB')
('AC04652-2022-11-01-2665','A149-1','D', 'LB')
('SL04652-2022-11-02-2571','S108-3','juB', 'UB')
('AC22517-2022-11-02-2552','A142-14','GNKwnnHoWGZ', 'LB')
('AC22517-2022-11-01-2607','A145-15','XSXA', 'UB')
('SL22517-2022-11-02-2524','S106-4','wirqIcROp', 'LB')
('SL04652-2022-11-01-2539','S106-19','eepxCSuaFYfa', 'UB')
('AC04652-2022-11-02-2583','A144-9','QhGgoQiz', 'UB')
('AC12058-2022-11-01-2568','A143-12','sXHlZUiHfpCliJ', 'SU')
('SL12058-2022-11-01-2545','S107-1','HPQCEficbbr', 'LB')
('SL22517-2022-11-01-2604','S109-12','VGrZVuwr', 'LB')
('SL22517-2022-11-02-2544','S106-24','xbquOXeurX', 'SU')
('SL22517-2022-11-01-2606','S109-14','eI', 'UB')
('AC22517-2022-11-02-2571','A143-15','ISWGatCYAhGUbi', 'UB')
('AC22517-2022-11-02-2576','A144-2','gyQYLOzneon', 'LB')
('SL12058-2022-11-01-2552','S107-8','ProsbOtrGVjA', 'SU')
('AC04652-2022-11-01-2701','A151-1','QhdMyGUGr', 'LB')
('AC22517-2022-11-02-2585','A144-11','CRwhYMxzz', 'SL')
('SL04652-2022-11-02-2613','S109-21','sE', 'MB')
('SL04652-2022-11-02-2614','S109-22','BHcJnohTTjZA', 'UB')
('AC04652-2022-11-02-2599','A145-7','XrFDEEHnCFEY', 'LB')
('AC12058-2022-11-01-2579','A144-5','GCdH', 'SL')
('SL12058-2022-11-01-2566','S107-22','EJwllRZ', 'UB')
('SL22517-2022-11-02-2565','S107-21','S', 'MB')
('AC22517-2022-11-02-2593','A145-1','voioIN', 'LB')
('SL12058-2022-11-01-2569','S108-1','EW', 'LB')
('SL22517-2022-11-01-2616','S109-24','EYrTQOYeuW', 'SU')
('SL22517-2022-11-02-2568','S107-24','UCZxwKJ', 'SU')
('AC04652-2022-11-01-2713','A151-13','EMIXvbRT', 'LB')
('AC22517-2022-11-01-2672','A149-8','KefxssScxR', 'LB')
('AC22517-2022-11-01-2676','A149-12','dtdYUZJRnZhZJAzQ', 'SU')
('AC22517-2022-11-01-2677','A149-13','DAtHBGH', 'LB')
('SL22517-2022-11-01-2647','S111-7','NZdSGcRz', 'SL')
('AC22517-2022-11-01-2688','A150-6','YNHY', 'SU')
('SL04652-2022-11-01-2612','S109-20','v', 'LB')
('SL12058-2022-11-01-2602','S109-10','UJMinFBjV', 'MB')
('SL04652-2022-11-01-2616','S109-24','yVlPLbIorymLJLpJ', 'SU')
('SL22517-2022-11-01-2657','S111-17','DRMAgd', 'LB')
('SL04652-2022-11-01-2620','S110-4','iwmwWIl', 'LB')
('AC22517-2022-11-01-2698','A150-16','yhG', 'UB')
('AC12058-2022-11-01-2628','A146-18','dWwLhTje', 'SU')
('SL22517-2022-11-01-2661','S111-21','lLhCOsGxLA', 'MB')
('AC04652-2022-11-02-2652','A148-6','KVQHQkQlBIfKp', 'SU')
('SL04652-2022-11-02-2663','S111-23','VOBKM', 'SL')
('AC04652-2022-11-01-2778','A155-6','ZavkpITZpBEXdaLt', 'SU')
('SL04652-2022-11-01-2655','S111-15','fxzHcjLn', 'SL')
('AC12058-2022-11-01-2651','A148-5','ov', 'SL')
('SL22517-2022-11-02-2633','S110-17','f', 'LB')
('AC22517-2022-11-01-2733','A152-15','nzcXPeYVmeyjqqGa', 'UB')
('AC22517-2022-11-02-2678','A149-14','GqDQSvzbWiDs', 'LB')
('AC22517-2022-11-02-2679','A149-15','zwDemtUEmU', 'UB')
('SL22517-2022-11-02-2642','S111-2','zHwof', 'MB')
('AC04652-2022-11-02-2682','A149-18','qMmNh', 'SU')
('AC22517-2022-11-02-2684','A150-2','NriCoRulaFphpV', 'LB')
('AC04652-2022-11-02-2702','A151-2','M', 'LB')
('AC22517-2022-11-01-2761','A154-7','PrPboCQ', 'LB')
('SL04652-2022-11-02-2715','S114-3','YMWmJdyZ', 'UB')
('AC04652-2022-11-01-2816','A157-8','LrcE', 'LB')
('AC22517-2022-11-01-2772','A154-18','tAczQrcH', 'SU')
('AC04652-2022-11-01-2819','A157-11','YqjbhaNJeMhzTKWO', 'SL')
('SL04652-2022-11-02-2732','S114-20','dnwhYVPFhWlAlA', 'LB')
('AC04652-2022-11-02-2725','A152-7','eUjJmSSPVrWZgu', 'LB')
('SL22517-2022-11-01-2753','S115-17','dGzxmaaDGbzr', 'LB')
('AC04652-2022-11-01-2828','A158-2','ahjhfJYQNZcx', 'LB')
('AC22517-2022-11-02-2728','A152-10','RM', 'UB')
('SL12058-2022-11-01-2679','S112-15','ZguTJFmjZ', 'SL')
('SL04652-2022-11-02-2746','S115-10','TXQ', 'MB')
('SL12058-2022-11-01-2680','S112-16','xFwyrmL', 'SU')
('AC22517-2022-11-02-2730','A152-12','wvrCNeAjZVWzONKX', 'SU')
('AC22517-2022-11-02-2731','A152-13','JnVimcsrMdnjBN', 'LB')
('AC04652-2022-11-02-2733','A152-15','vUwlWs', 'UB')
('SL22517-2022-11-02-2695','S113-7','sdPd', 'SL')
('AC22517-2022-11-02-2734','A152-16','fzzgbl', 'UB')
('SL22517-2022-11-01-2765','S116-5','bgtW', 'MB')
('AC12058-2022-11-01-2703','A151-3','PzvXjKmGy', 'UB')
('AC04652-2022-11-02-2738','A153-2','QYUiNUKbk', 'LB')
('AC12058-2022-11-01-2705','A151-5','khjMzXQLz', 'SL')
('AC12058-2022-11-01-2706','A151-6','HkuZwL', 'SU')
('AC12058-2022-11-01-2707','A151-7','PaooGOYPboZx', 'LB')
('SL22517-2022-11-01-2769','S116-9','yw', 'LB')
('AC04652-2022-11-01-2853','A159-9','ovU', 'UB')
('AC04652-2022-11-02-2758','A154-4','tz', 'UB')
('AC22517-2022-11-01-2823','A157-15','NJxdWpSJRqTORLzZ', 'UB')
('AC04652-2022-11-01-2862','A159-18','BpCSSzahmVXlb', 'SU')
('AC12058-2022-11-01-2733','A152-15','gYcLgiBQWvkm', 'UB')
('AC04652-2022-11-02-2801','A156-11','eJitmwzCJDmjG', 'SL')
('AC22517-2022-11-02-2829','A158-3','NIYhSnggx', 'UB')
('AC22517-2022-11-02-2830','A158-4','jgmasnC', 'UB')
('AC22517-2022-11-01-2893','A161-13','yiRGEKxXvxINpHFb', 'LB')
('AC04652-2022-11-02-2818','A157-10','Rz', 'UB')
('AC04652-2022-11-01-3002','A167-14','Efq', 'LB')
('AC04652-2022-11-01-3003','A167-15','BLwd', 'UB')
('AC04652-2022-11-01-3004','A167-16','hi', 'UB')
('SL22517-2022-11-01-2891','S121-11','bw', 'UB')
('SL22517-2022-11-01-2892','S121-12','J', 'LB')
('SL04652-2022-11-02-2923','S122-19','DdzRkfmuzThAum', 'UB')
('SL04652-2022-11-01-2885','S121-5','YW', 'MB')
('AC22517-2022-11-02-2891','A161-11','OOGDOFZyt', 'SL')
('SL22517-2022-11-02-2859','S120-3','aUaaVQFAKq', 'UB')
('AC12058-2022-11-01-2848','A159-4','lldrE', 'UB')
('SL22517-2022-11-02-2865','S120-9','shuldtXTDI', 'LB')
('AC04652-2022-11-01-3010','A168-4','WYVAE', 'UB')
('SL12058-2022-11-01-2816','S118-8','vHdtktz', 'SU')
('AC22517-2022-11-02-2895','A161-15','jdmwcZPXYRr', 'UB')
('SL12058-2022-11-01-2819','S118-11','zGqQIsbu', 'UB')
('AC22517-2022-11-01-2964','A165-12','vNxQEvF', 'SU')
('SL12058-2022-11-01-2820','S118-12','mNGJwLou', 'LB')
('SL22517-2022-11-02-2871','S120-15','XwqaoEeEZe', 'SL')
('SL12058-2022-11-01-2822','S118-14','fCYRL', 'UB')
('SL22517-2022-11-01-2905','S122-1','nTn', 'LB')
('AC12058-2022-11-01-2865','A160-3','QRFvNSB', 'UB')
('AC04652-2022-11-01-3017','A168-11','wheFoAyMoiNK', 'SL')
('SL22517-2022-11-01-2910','S122-6','tGJlCjPfFqEo', 'UB')
('SL04652-2022-11-02-2953','S124-1','ur', 'LB')
('SL04652-2022-11-01-2910','S122-6','Q', 'UB')
('SL22517-2022-11-02-2893','S121-13','ksvzcyRHEH', 'MB')
('SL04652-2022-11-01-2916','S122-12','DNXMjxDNHmwr', 'LB')
('SL04652-2022-11-02-2960','S124-8','BEfV', 'SU')
('AC12058-2022-11-01-2886','A161-6','tHKDdGWOYCBAIkZ', 'SU')
('AC22517-2022-11-01-2986','A166-16','dADSQcjo', 'UB')
('SL22517-2022-11-02-2899','S121-19','pgr', 'UB')
('AC04652-2022-11-01-3053','A170-11','gctrDdufW', 'SL')
('AC22517-2022-11-02-2936','A164-2','DKQRiyTGIgX', 'LB')
('SL12058-2022-11-01-2860','S120-4','EXxW', 'LB')
('SL22517-2022-11-02-2908','S122-4','hSnpYfLs', 'LB')
('AC04652-2022-11-02-2921','A163-5','YbvPh', 'SL')
('SL04652-2022-11-02-2981','S125-5','VeSF', 'MB')
('SL22517-2022-11-02-2912','S122-8','rxRYahvCCMqcFDC', 'SU')
('SL22517-2022-11-02-2914','S122-10','ov', 'MB')
('SL22517-2022-11-02-2922','S122-18','X', 'MB')
('AC22517-2022-11-01-3014','A168-8','NAxh', 'LB')
('AC22517-2022-11-02-2955','A165-3','Diba', 'UB')
('SL04652-2022-11-02-3000','S125-24','eHPxnM', 'SU')
('SL04652-2022-11-01-2964','S124-12','UnZtuiWtDXneP', 'LB')
('SL04652-2022-11-02-3009','S126-9','DrlAdCPhGrHFX', 'LB')
('AC22517-2022-11-02-2966','A165-14','TnnwZSZl', 'LB')
('AC04652-2022-11-02-2951','A164-17','RKbXI', 'SL')
('AC12058-2022-11-01-2921','A163-5','VHbMKKD', 'SL')
('AC22517-2022-11-01-3031','A169-7','H', 'LB')
('SL12058-2022-11-01-2897','S121-17','SZFIlOzGShITFOtd', 'LB')
('SL22517-2022-11-01-2975','S124-23','DXSSLaL', 'SL')
('SL04652-2022-11-02-3019','S126-19','hR', 'UB')
('SL04652-2022-11-02-3020','S126-20','d', 'LB')
('AC22517-2022-11-01-3041','A169-17','nm', 'SL')
('SL04652-2022-11-01-2981','S125-5','loNiJSww', 'MB')
('AC04652-2022-11-02-2969','A165-17','yhfdTNYHvWZ', 'SL')
('AC04652-2022-11-02-2972','A166-2','odRomcztswAsrZvF', 'LB')
('AC04652-2022-11-02-2973','A166-3','pGiGkwjiSMUZr', 'UB')
('SL12058-2022-11-01-2915','S122-11','zCmvLhnxczt', 'UB')
('AC12058-2022-11-01-2936','A164-2','KYzZZhpHndji', 'LB')
('AC22517-2022-11-02-2996','A167-8','NeKXQl', 'LB')
('AC12058-2022-11-01-2937','A164-3','GWiSiv', 'UB')
('AC22517-2022-11-02-2998','A167-10','dwbghgJv', 'UB')
('AC04652-2022-11-01-3109','A173-13','HyVoYTgNhs', 'LB')
('SL04652-2022-11-01-2991','S125-15','rPUWrj', 'SL')
('AC22517-2022-11-02-3007','A168-1','LBrJKXDwb', 'LB')
('AC12058-2022-11-01-2946','A164-12','JjRaWBZYO', 'SU')
('SL04652-2022-11-02-3039','S127-15','LttwbmAGCWjbbHI', 'SL')
('SL04652-2022-11-01-3000','S125-24','McRzEPIgAskGY', 'SU')
('SL04652-2022-11-02-3041','S127-17','CyoBTWfmk', 'LB')
('SL12058-2022-11-01-2928','S122-24','ACu', 'SU')
('AC22517-2022-11-02-3013','A168-7','uCqCVQWgpAZ', 'LB')
('SL22517-2022-11-02-2978','S125-2','slYJz', 'MB')
('AC04652-2022-11-01-3132','A174-18','RQNjRdg', 'SU')
('SL22517-2022-11-01-3012','S126-12','ONZltUEtRTn', 'LB')
('SL04652-2022-11-01-3011','S126-11','ntuynGMUGSPiQF', 'UB')
('AC22517-2022-11-02-3031','A169-7','KGtv', 'LB')
('SL04652-2022-11-01-3020','S126-20','wUtllwdm', 'LB')
('AC04652-2022-11-01-3143','A175-11','yjgzokIhngyBQRWX', 'SL')
('AC04652-2022-11-02-3009','A168-3','qO', 'UB')
('SL22517-2022-11-02-2994','S125-18','jPGwCcbPpv', 'MB')
('SL22517-2022-11-01-3027','S127-3','VmnQDz', 'UB')
('AC22517-2022-11-01-3091','A172-13','bGYkijzt', 'LB')
('AC22517-2022-11-01-3093','A172-15','HjMvB', 'UB')
('AC04652-2022-11-02-3018','A168-12','FuWJQjUJpZ', 'SU')
('SL04652-2022-11-02-3073','S129-1','fAo', 'LB')
('SL04652-2022-11-02-3074','S129-2','B', 'MB')
('AC04652-2022-11-02-3021','A168-15','tfhuXx', 'UB')
('AC04652-2022-11-01-3155','A176-5','YWEtrXQM', 'SL')
('AC12058-2022-11-01-2976','A166-6','tDmWMjje', 'SU')
('AC12058-2022-11-01-2977','A166-7','VnYFKvqww', 'LB')
('AC04652-2022-11-02-3027','A169-3','ZCAzBuh', 'UB')
('AC12058-2022-11-01-2978','A166-8','L', 'LB')
('SL04652-2022-11-01-3047','S127-23','ZoIKKaIIGZV', 'SL')
('AC22517-2022-11-01-3105','A173-9','TRZhRLWxiry', 'UB')
('AC22517-2022-11-02-3054','A170-12','DoYyDhX', 'SU')
('AC04652-2022-11-02-3036','A169-12','beSbiKAVe', 'SU')
('SL04652-2022-11-02-3090','S129-18','lWiXFXfrvX', 'MB')
('SL22517-2022-11-01-3048','S127-24','PZOog', 'SU')
('AC22517-2022-11-01-3117','A174-3','IDPmuAak', 'UB')
('AC04652-2022-11-01-3174','A177-6','bWZiQpeCbhn', 'SU')
('SL22517-2022-11-02-3017','S126-17','QNzTSzLwh', 'LB')
('SL22517-2022-11-01-3060','S128-12','RcGFIygIrRlf', 'LB')
('AC22517-2022-11-02-3068','A171-8','BkmiBEePJq', 'LB')
('AC22517-2022-11-02-3069','A171-9','eHQVBQzZExVzFjHU', 'UB')
('AC04652-2022-11-02-3065','A171-5','N', 'SL')
('SL04652-2022-11-02-3117','S130-21','IDKkc', 'MB')
('SL22517-2022-11-02-3029','S127-5','xBEqlZRWrN', 'MB')
('AC22517-2022-11-02-3087','A172-9','UvRXkRxJhv', 'UB')
('SL12058-2022-11-01-3002','S126-2','lgaU', 'MB')
('AC12058-2022-11-01-3024','A168-18','vBZDuJBmuv', 'SU')
('AC04652-2022-11-02-3070','A171-10','EMpDTECUgvHnWpd', 'UB')
('AC22517-2022-11-02-3105','A173-9','oCuMX', 'UB')
('SL04652-2022-11-01-3111','S130-15','OAW', 'SL')
('SL12058-2022-11-01-3023','S126-23','nCttroZPNOpzF', 'SL')
('SL04652-2022-11-02-3147','S132-3','qf', 'UB')
('AC12058-2022-11-01-3045','A170-3','RiMZ', 'UB')
('SL04652-2022-11-01-3117','S130-21','IJoYEbx', 'MB')
('AC22517-2022-11-01-3163','A176-13','FsuypN', 'LB')
