('SL04652-2022-11-02-2230','S93-22','dtPipLdvgGGSvqs', 'UB')
('SL04652-2022-11-01-3574','S149-22','vKmwXrGTztiI', 'UB')
('AC04652-2022-11-02-3603','A201-3','yiFqcDBXhd', 'UB')
('AC04652-2022-11-02-3610','A201-10','ltF', 'UB')
('SL04652-2022-11-02-3671','S153-23','GTkOKypHV', 'SL')
('SL12058-2022-11-01-3526','S147-22','bILamlB', 'UB')
('AC22517-2022-11-02-3702','A206-12','GPRjrKZrOMATfpm', 'SU')
('AC22517-2022-11-01-3749','A209-5','RTqgpsTa', 'SL')
('AC22517-2022-11-02-3704','A206-14','HIinIwjJTeRwAcG', 'LB')
('SL22517-2022-11-02-3603','S151-3','vkxeeQrTP', 'UB')
('AC12058-2022-11-01-3699','A206-9','rNfCIzIRP', 'UB')
('SL12058-2022-11-01-3616','S151-16','OvBDfNsMHDSTN', 'SU')
('SL22517-2022-11-01-3712','S155-16','vPcMkihujBExji', 'SU')
('SL22517-2022-11-01-3713','S155-17','qpL', 'LB')
('SL12058-2022-11-01-3617','S151-17','Af', 'LB')
('AC22517-2022-11-02-3747','A209-3','fgTHkAtWwl', 'UB')
('AC22517-2022-11-01-3801','A212-3','AIjcScLlcynS', 'UB')
('AC22517-2022-11-02-3750','A209-6','sWMJDx', 'SU')
('AC12058-2022-11-01-3714','A207-6','r', 'SU')
('SL22517-2022-11-02-3644','S152-20','dMyjEVmWVIiAn', 'LB')
('SL04652-2022-11-01-3722','S156-2','lgIYbhETS', 'MB')
('SL22517-2022-11-01-3762','S157-18','BKOIKtoaHJJtSJvY', 'MB')
('AC22517-2022-11-02-3781','A211-1','NzESpgU', 'LB')
('SL22517-2022-11-02-3675','S154-3','eL', 'UB')
('SL04652-2022-11-02-3807','S159-15','RwzfOyxibECGh', 'SL')
('AC22517-2022-11-02-3785','A211-5','lDDIk', 'SL')
('AC22517-2022-11-02-3786','A211-6','EN', 'SU')
('SL22517-2022-11-02-3676','S154-4','hkfbvHP', 'LB')
('SL22517-2022-11-02-3677','S154-5','MQjqq', 'MB')
('SL22517-2022-11-01-3769','S158-1','WEDfkIdocxTFZuHI', 'LB')
('AC04652-2022-11-02-3774','A210-12','POJNaNk', 'SU')
('SL22517-2022-11-01-3771','S158-3','DmGcRUTyOAKF', 'UB')
('AC04652-2022-11-02-3776','A210-14','bhDpxeqidxyaS', 'LB')
('AC12058-2022-11-01-3767','A210-5','QIvyOnuQ', 'SL')
('SL22517-2022-11-02-3750','S157-6','YRucQXYqx', 'UB')
('SL04652-2022-11-01-3802','S159-10','uS', 'MB')
('AC04652-2022-11-02-3861','A215-9','eZqlOgQtJc', 'UB')
('SL12058-2022-11-01-3728','S156-8','QoeFQaMw', 'SU')
('SL12058-2022-11-01-3729','S156-9','TwlZDHaektrK', 'LB')
('SL12058-2022-11-01-3730','S156-10','wbN', 'MB')
('SL12058-2022-11-01-3733','S156-13','oyKAMwtFan', 'MB')
('AC22517-2022-11-02-3868','A215-16','rWMbb', 'UB')
('AC12058-2022-11-01-3846','A214-12','Z', 'SU')
('AC04652-2022-11-02-3868','A215-16','aVhnrCiitlLI', 'UB')
('AC04652-2022-11-01-4076','A227-8','XezsLEFxljwk', 'LB')
('SL04652-2022-11-02-3945','S165-9','HtqIYGyWcGx', 'LB')
('SL12058-2022-11-01-3798','S159-6','FLISVrlhLgazqin', 'UB')
('SL04652-2022-11-02-3946','S165-10','z', 'MB')
('SL04652-2022-11-01-3869','S162-5','NFuTyF', 'MB')
('SL04652-2022-11-02-3947','S165-11','LnTcurkYuPQOYSG', 'UB')
('SL22517-2022-11-01-3907','S163-19','zMvUMLhk', 'UB')
('AC22517-2022-11-02-3928','A219-4','ARwyYr', 'UB')
('AC22517-2022-11-01-4066','A226-16','ZnLqhohd', 'UB')
('SL12058-2022-11-01-3871','S162-7','mcMAbhVNR', 'SL')
('AC22517-2022-11-01-4067','A226-17','OTLPpXPaZkAiOFl', 'SL')
('SL04652-2022-11-02-4025','S168-17','NEXfGSbdwqFtPkg', 'LB')
('AC04652-2022-11-02-4010','A223-14','dGEUIpBrrmNu', 'LB')
('AC04652-2022-11-02-4013','A223-17','xEJ', 'SL')
('AC04652-2022-11-01-4175','A232-17','wlbxvfmDodVfXXw', 'SL')
('AC04652-2022-11-01-4177','A233-1','vLxwWIJSF', 'LB')
('SL12058-2022-11-01-3883','S162-19','OQvOxDdQxuncVH', 'UB')
('AC22517-2022-11-01-4084','A227-16','oNFm', 'UB')
('AC12058-2022-11-01-4015','A224-1','wIobZQLw', 'LB')
('AC22517-2022-11-02-4008','A223-12','sLTJsiLXIi', 'SU')
('AC22517-2022-11-01-4089','A228-3','jRlhtavvM', 'UB')
('AC04652-2022-11-02-4061','A226-11','APQdYvxBq', 'SL')
('SL04652-2022-11-01-3994','S167-10','aeJyHDicANzzk', 'MB')
('SL12058-2022-11-01-3932','S164-20','MQWcDNOJNiKNVX', 'LB')
('AC22517-2022-11-02-4048','A225-16','xChkNNJQX', 'UB')
('AC22517-2022-11-02-4049','A225-17','vKBmMZOeviuCym', 'SL')
('AC22517-2022-11-01-4126','A230-4','RQRzjsOJTvEoxu', 'UB')
('AC04652-2022-11-02-4078','A227-10','zsF', 'UB')
('AC04652-2022-11-02-4079','A227-11','UJjlzbgN', 'SL')
('AC12058-2022-11-01-4078','A227-10','lXAvlUO', 'UB')
('SL22517-2022-11-02-3984','S166-24','GBLAasB', 'SU')
('AC22517-2022-11-01-4141','A231-1','TeolxjyuSGQSNW', 'LB')
('SL12058-2022-11-01-3951','S165-15','fObw', 'SL')
('AC22517-2022-11-02-4070','A227-2','U', 'LB')
('SL22517-2022-11-02-3992','S167-8','WFLtTzPh', 'SU')
('AC22517-2022-11-02-4075','A227-7','mpHJVYKAlwCIA', 'LB')
('AC04652-2022-11-02-4116','A229-12','GpfIAymvigSU', 'SU')
('AC04652-2022-11-02-4129','A230-7','SGdxdoivAzqoOSwq', 'LB')
('AC04652-2022-11-02-4167','A232-9','Uxw', 'UB')
('AC12058-2022-11-01-4156','A231-16','TLaNzrcaQZkQvwJ', 'UB')
('SL04652-2022-11-01-4087','S171-7','QFriOXE', 'SL')
('AC22517-2022-11-02-4139','A230-17','rLIjFPIjcwUBGHjc', 'SL')
('AC22517-2022-11-02-4161','A232-3','efjxCgLspAVj', 'UB')
('SL22517-2022-11-02-4095','S171-15','g', 'SL')
('SL22517-2022-11-01-4150','S173-22','kStGdoAJ', 'UB')
('AC22517-2022-11-02-4174','A232-16','sWZtaceqW', 'UB')
('SL04652-2022-11-02-4196','S175-20','Br', 'LB')
('SL22517-2022-11-01-4162','S174-10','a', 'MB')
('AC22517-2022-11-02-4178','A233-2','nD', 'LB')
('SL04652-2022-11-02-4202','S176-2','sVKWWtAfJgV', 'MB')
('AC04652-2022-11-01-4372','A243-16','dLPTNrPoicMgs', 'UB')
('SL22517-2022-11-01-4169','S174-17','ryvQUNpLQWYfmrSw', 'LB')
('AC04652-2022-11-01-4375','A244-1','rWACqSg', 'LB')
('SL22517-2022-11-02-4123','S172-19','oxMGnbkVYpdAkL', 'UB')
('SL04652-2022-11-02-4214','S176-14','iANhobXsqYcTL', 'UB')
('AC22517-2022-11-02-4198','A234-4','pczBGpsAB', 'UB')
('SL22517-2022-11-01-4180','S175-4','umpUUTc', 'LB')
('AC22517-2022-11-01-4272','A238-6','BWWYomoeH', 'SU')
('SL22517-2022-11-02-4134','S173-6','C', 'UB')
('AC04652-2022-11-01-4404','A245-12','lpShnhwblXoTyp', 'SU')
('AC04652-2022-11-01-4406','A245-14','HW', 'LB')
('SL12058-2022-11-01-4106','S172-2','pKwwVVQFtrd', 'MB')
('AC04652-2022-11-01-4410','A245-18','bIA', 'SU')
('SL04652-2022-11-01-4174','S174-22','bqVPVHwaJ', 'UB')
('AC04652-2022-11-02-4250','A237-2','am', 'LB')
('AC04652-2022-11-01-4463','A248-17','vZhsqRfLppB', 'SL')
('AC12058-2022-11-01-4290','A239-6','uOD', 'SU')
('SL04652-2022-11-02-4280','S179-8','NcReVGIXe', 'SU')
('SL12058-2022-11-01-4199','S175-23','ZeqIkugYMuctkqgc', 'SL')
('SL22517-2022-11-02-4228','S177-4','CTlOrbTauBY', 'LB')
('SL22517-2022-11-01-4280','S179-8','JHBe', 'SU')
('AC12058-2022-11-01-4340','A242-2','SEdOMkEN', 'LB')
('SL04652-2022-11-02-4321','S181-1','oUNJuUeAJAAR', 'LB')
('SL22517-2022-11-02-4234','S177-10','lVdv', 'MB')
('SL22517-2022-11-01-4287','S179-15','ZIUqzTL', 'SL')
('SL12058-2022-11-01-4211','S176-11','NKqrpzkwpo', 'UB')
('SL22517-2022-11-02-4239','S177-15','TZTinQ', 'SL')
('SL22517-2022-11-01-4291','S179-19','iSMkENRWzzdMaplT', 'UB')
('AC12058-2022-11-01-4348','A242-10','jyO', 'UB')
('AC04652-2022-11-02-4353','A242-15','ShDosqsC', 'UB')
('SL22517-2022-11-02-4242','S177-18','bjlbIsGNkShqJLte', 'MB')
('SL04652-2022-11-01-4269','S178-21','QbB', 'MB')
('AC22517-2022-11-01-4402','A245-10','T', 'UB')
('SL22517-2022-11-02-4246','S177-22','iH', 'UB')
('AC22517-2022-11-02-4344','A242-6','qvNnvkjJlRDmUNp', 'SU')
('SL12058-2022-11-01-4224','S176-24','VyYDHBiHTWXwQ', 'SU')
('SL04652-2022-11-02-4338','S181-18','WzhVntwAU', 'MB')
('AC12058-2022-11-01-4366','A243-10','Kw', 'UB')
('SL04652-2022-11-01-4285','S179-13','SUjXNcSNvjVd', 'MB')
('SL22517-2022-11-01-4310','S180-14','bu', 'UB')
('AC22517-2022-11-01-4418','A246-8','tsYBHxVfnFmnICa', 'LB')
('SL04652-2022-11-01-4289','S179-17','yuleWuNGhkhM', 'LB')
('SL22517-2022-11-02-4307','S180-11','Xs', 'UB')
('AC04652-2022-11-01-4574','A255-2','ENvLk', 'LB')
('SL22517-2022-11-02-4313','S180-17','NmcXl', 'LB')
('AC04652-2022-11-01-4576','A255-4','oYjYkEG', 'UB')
('AC22517-2022-11-01-4473','A249-9','KSLWLqHUEhhha', 'UB')
('AC04652-2022-11-01-4580','A255-8','UALGxvOBvlOuQe', 'LB')
('AC04652-2022-11-02-4435','A247-7','IepmCXTNTdp', 'LB')
('AC04652-2022-11-02-4436','A247-8','JBCyrIWFunT', 'LB')
('SL04652-2022-11-01-4352','S182-8','OTps', 'SU')
('AC04652-2022-11-01-4585','A255-13','RAc', 'LB')
('SL22517-2022-11-01-4369','S183-1','AHkIYUmPqCSFagq', 'LB')
('SL22517-2022-11-01-4370','S183-2','vTBrupaaTnMbcLk', 'MB')
('AC04652-2022-11-01-4587','A255-15','gcIERsABScuNk', 'UB')
('SL04652-2022-11-01-4359','S182-15','RSTDRc', 'SL')
('SL22517-2022-11-02-4328','S181-8','epgBNYIOU', 'SU')
('SL04652-2022-11-02-4410','S184-18','v', 'MB')
('SL22517-2022-11-02-4330','S181-10','WOYWBQE', 'MB')
('SL12058-2022-11-01-4315','S180-19','hvgqE', 'UB')
('AC04652-2022-11-02-4465','A249-1','EOjoWCAISHOqNXI', 'LB')
('SL22517-2022-11-02-4340','S181-20','DKUwmKFjCgjvaf', 'LB')
('AC22517-2022-11-01-4499','A250-17','srhGSsSpUP', 'SL')
('SL12058-2022-11-01-4319','S180-23','tkrxwRrXWLAw', 'SL')
('SL22517-2022-11-02-4352','S182-8','cYqFEtsDRtDGS', 'SU')
('AC04652-2022-11-02-4488','A250-6','tSKdDXHLzmXwo', 'SU')
('AC12058-2022-11-01-4478','A249-14','uHcwCOyx', 'LB')
('AC04652-2022-11-01-4652','A259-8','nJVXCM', 'LB')
('SL04652-2022-11-01-4414','S184-22','vpVxJz', 'UB')
('SL12058-2022-11-01-4369','S183-1','QJBvBWBH', 'LB')
('AC22517-2022-11-01-4541','A253-5','EQ', 'SL')
('AC04652-2022-11-01-4657','A259-13','yQuaEukV', 'LB')
('AC22517-2022-11-01-4598','A256-8','yloy', 'LB')
('AC22517-2022-11-02-4669','A260-7','RdzQnazmawl', 'LB')
('SL22517-2022-11-02-4562','S191-2','Af', 'MB')
('SL12058-2022-11-01-4560','S190-24','wdVMC', 'SU')
('SL04652-2022-11-01-4604','S192-20','vYtdfASOEk', 'LB')
('AC04652-2022-11-02-4677','A260-15','EIMhjzMjfoDqz', 'UB')
('AC12058-2022-11-01-4676','A260-14','NVDATOmxKRug', 'LB')
('SL22517-2022-11-01-4609','S193-1','Wt', 'LB')
('AC04652-2022-11-01-4895','A272-17','HNUpisdc', 'SL')
('SL22517-2022-11-02-4599','S192-15','ayAPmktJwev', 'SL')
('AC22517-2022-11-02-4749','A264-15','wsXJcKFwguNOgQSm', 'UB')
('SL22517-2022-11-01-4623','S193-15','iEZBFiq', 'SL')
('SL04652-2022-11-02-4696','S196-16','QcuZfoPf', 'SU')
('AC12058-2022-11-01-4740','A264-6','kAVPE', 'SU')
('SL04652-2022-11-01-4676','S195-20','fdZdlQXWJNL', 'LB')
('SL22517-2022-11-02-4639','S194-7','hdpBrFAiSCdL', 'SL')
('AC12058-2022-11-01-4764','A265-12','YA', 'SU')
('SL04652-2022-11-01-4692','S196-12','rIGDHiyIQKrB', 'LB')
('SL04652-2022-11-01-4694','S196-14','aAIkUgxplNfAXUem', 'UB')
('AC12058-2022-11-01-4766','A265-14','JrsuUA', 'LB')
('SL22517-2022-11-01-4680','S195-24','luTqUqtOQrKyqmLg', 'SU')
('AC22517-2022-11-02-4814','A268-8','HgaEwVOnwssgQI', 'LB')
('AC04652-2022-11-01-4972','A277-4','vFfcXikHiMeZSlJG', 'UB')
('AC12058-2022-11-01-4772','A266-2','SzMm', 'LB')
('SL22517-2022-11-02-4681','S196-1','cKmffQYd', 'LB')
('SL04652-2022-11-02-4748','S198-20','XOwgedSmzibQCD', 'LB')
('AC12058-2022-11-01-4794','A267-6','xqXhcKpoDmncuDM', 'SU')
('SL04652-2022-11-01-4715','S197-11','Ea', 'UB')
('AC22517-2022-11-02-4839','A269-15','VDknpctXFgMZ', 'UB')
('AC22517-2022-11-01-4813','A268-7','uqfKxWarg', 'LB')
('SL22517-2022-11-01-4708','S197-4','viXqBbVH', 'LB')
('SL04652-2022-11-01-4722','S197-18','XNkezJTHpUyPD', 'MB')
('AC22517-2022-11-01-4814','A268-8','eTc', 'LB')
('AC04652-2022-11-01-5009','A279-5','caSCZJ', 'SL')
('SL04652-2022-11-01-4729','S198-1','Szo', 'LB')
('AC04652-2022-11-01-5013','A279-9','kiczINjY', 'UB')
('SL04652-2022-11-02-4764','S199-12','mxoqDDeirLR', 'LB')
('AC04652-2022-11-02-4807','A268-1','q', 'LB')
('AC22517-2022-11-02-4856','A270-14','kA', 'LB')
('SL04652-2022-11-01-4739','S198-11','BykFuGfryEbfZy', 'UB')
('AC12058-2022-11-01-4825','A269-1','tJuA', 'LB')
('AC04652-2022-11-01-5090','A283-14','ilEuzptZvwaB', 'LB')
('SL22517-2022-11-02-4770','S199-18','IUvVwqkHZCwndTYI', 'MB')
('AC04652-2022-11-01-5097','A284-3','DjQzhccfBo', 'UB')
('SL22517-2022-11-01-4792','S200-16','WCgQMPEuwrNbgO', 'SU')
('AC04652-2022-11-02-4886','A272-8','SqQgneB', 'LB')
('SL22517-2022-11-01-4794','S200-18','iewxAGmJo', 'MB')
('SL12058-2022-11-01-4768','S199-16','FRivVgpGJwZ', 'SU')
('AC04652-2022-11-01-5106','A284-12','JagBDA', 'SU')
('AC12058-2022-11-01-4881','A272-3','rFhnVDF', 'UB')
('SL04652-2022-11-02-4849','S203-1','IFyxLOCnkDSpIs', 'LB')
('AC22517-2022-11-01-4902','A273-6','wYM', 'SU')
('AC22517-2022-11-01-4903','A273-7','LtEHucHGXDJKinmj', 'LB')
('AC12058-2022-11-01-4888','A272-10','QKIGR', 'UB')
('AC12058-2022-11-01-4889','A272-11','xYb', 'SL')
('SL22517-2022-11-01-4819','S201-19','ejCftRgI', 'UB')
('AC04652-2022-11-02-4911','A273-15','tarkPZqN', 'UB')
('AC04652-2022-11-02-4912','A273-16','GALTSgK', 'UB')
('AC22517-2022-11-01-4914','A273-18','KhWTMhDGjqkpZCN', 'SU')
('AC22517-2022-11-02-4954','A276-4','QiNNJLi', 'UB')
('SL22517-2022-11-01-4831','S202-7','yAVsWLyxojwqYoRS', 'SL')
('SL04652-2022-11-01-4855','S203-7','nfCNsKPPcZc', 'SL')
('AC12058-2022-11-01-4906','A273-10','X', 'UB')
('AC04652-2022-11-02-5057','A281-17','QMVNlXkZZUd', 'SL')
('SL12058-2022-11-01-4895','S204-23','yulXCqItoar', 'SL')
('SL04652-2022-11-02-4979','S208-11','SiECSxCXvPRHta', 'UB')
('SL22517-2022-11-02-4944','S206-24','K', 'SU')
('SL04652-2022-11-02-4990','S208-22','MoZoQb', 'UB')
('SL04652-2022-11-02-4991','S208-23','QAqQYwzZJoPAww', 'SL')
('SL12058-2022-11-01-4904','S205-8','XBezCStzHmmB', 'SU')
('AC04652-2022-11-02-5106','A284-12','CXMBjZ', 'SU')
('AC22517-2022-11-01-5076','A282-18','RrepWYUeDY', 'SU')
('AC04652-2022-11-01-5304','A295-12','GEyOZ', 'SU')
('SL04652-2022-11-01-5030','S210-14','nMiGijbMbpn', 'UB')
('AC12058-2022-11-01-5089','A283-13','CQL', 'LB')
('SL22517-2022-11-01-5026','S210-10','SRrUWqu', 'MB')
('SL22517-2022-11-01-5043','S211-3','GiON', 'UB')
('SL22517-2022-11-01-5045','S211-5','UPT', 'MB')
('SL04652-2022-11-02-5110','S213-22','UfbBAG', 'UB')
('AC04652-2022-11-02-5192','A289-8','szVwD', 'LB')
('AC12058-2022-11-01-5137','A286-7','vRFs', 'LB')
('SL12058-2022-11-01-5007','S209-15','YftIpvZewWdMTzBc', 'SL')
('SL04652-2022-11-01-5073','S212-9','mAD', 'LB')
('AC22517-2022-11-02-5230','A291-10','BlNGgrFEkA', 'UB')
('SL04652-2022-11-01-5100','S213-12','JZByJMKBughFXGK', 'LB')
('AC22517-2022-11-01-5184','A288-18','R', 'SU')
('SL22517-2022-11-02-5104','S213-16','Eh', 'SU')
('AC12058-2022-11-01-5167','A288-1','ue', 'LB')
('AC04652-2022-11-01-5402','A301-2','mScmTfmRpBqWR', 'LB')
('AC04652-2022-11-02-5227','A291-7','cYVeSATtuSt', 'LB')
('SL04652-2022-11-01-5106','S213-18','haX', 'MB')
('AC22517-2022-11-02-5243','A292-5','XMPkVugwXS', 'SL')
('AC04652-2022-11-01-5419','A302-1','LfDWph', 'LB')
('AC22517-2022-11-02-5273','A293-17','SF', 'SL')
('SL04652-2022-11-01-5146','S215-10','BgfEwb', 'MB')
('SL22517-2022-11-01-5122','S214-10','J', 'MB')
('SL12058-2022-11-01-5090','S213-2','mxizj', 'MB')
('SL22517-2022-11-01-5125','S214-13','jdnTjQIGL', 'MB')
('SL04652-2022-11-01-5154','S215-18','vuLFfuS', 'MB')
('SL22517-2022-11-02-5158','S215-22','AZKIIgXKB', 'UB')
('AC04652-2022-11-01-5472','A304-18','fRn', 'SU')
('SL22517-2022-11-01-5139','S215-3','vfOYZxzKwc', 'UB')
('AC12058-2022-11-01-5249','A292-11','OJAQpBmk', 'SL')
('SL12058-2022-11-01-5120','S214-8','SSPpzcyEOwP', 'SU')
('AC12058-2022-11-01-5257','A293-1','DuQemA', 'LB')
('AC22517-2022-11-02-5301','A295-9','HKTMNrsXe', 'UB')
('AC04652-2022-11-01-5514','A307-6','YMwlDVBfpV', 'SU')
('SL22517-2022-11-02-5207','S217-23','pmsYdFTvPhBZFzI', 'SL')
('SL22517-2022-11-02-5208','S217-24','wWEK', 'SU')
('AC04652-2022-11-02-5332','A297-4','CPXIdWqqrnwrA', 'UB')
('SL22517-2022-11-02-5216','S218-8','rlVt', 'SU')
('AC22517-2022-11-01-5309','A295-17','goxWEWI', 'SL')
('SL04652-2022-11-02-5280','S220-24','mOTAWzItKnPPYhxw', 'SU')
('AC04652-2022-11-02-5361','A298-15','POMKnTuLU', 'UB')
('AC22517-2022-11-02-5361','A298-15','qpkwuzIvgLZzH', 'UB')
('SL22517-2022-11-02-5239','S219-7','cb', 'SL')
('SL04652-2022-11-02-5287','S221-7','hCpWyskB', 'SL')
('SL12058-2022-11-01-5194','S217-10','Uwxbnlg', 'MB')
('AC04652-2022-11-02-5367','A299-3','gnzFqpCWbAfe', 'UB')
('SL22517-2022-11-01-5216','S218-8','nuiaSbJiqpMdiVa', 'SU')
('AC04652-2022-11-02-5369','A299-5','FWigfSOdXLvep', 'SL')
('AC04652-2022-11-01-5554','A309-10','JMIVigTsXuAQq', 'UB')
('SL12058-2022-11-01-5206','S217-22','VgqCfqp', 'UB')
('AC22517-2022-11-01-5348','A298-2','zpH', 'LB')
('AC22517-2022-11-01-5349','A298-3','gJhRtdNw', 'UB')
('SL04652-2022-11-01-5239','S219-7','voAymotJkzj', 'SL')
('AC12058-2022-11-01-5339','A297-11','FmVoxpySjATep', 'SL')
('SL22517-2022-11-02-5277','S220-21','RBqi', 'MB')
('SL22517-2022-11-01-5242','S219-10','ejQhTQYFCVcwscm', 'MB')
('SL04652-2022-11-01-5264','S220-8','nZZMaxMIdBATMfgD', 'SU')
('SL22517-2022-11-01-5243','S219-11','FCmhdxJcT', 'UB')
('AC22517-2022-11-01-5430','A302-12','xoP', 'SU')
('SL22517-2022-11-01-5301','S221-21','nl', 'MB')
('AC22517-2022-11-02-5466','A304-12','rJZ', 'SU')
('SL04652-2022-11-02-5371','S224-19','Murmphdiw', 'UB')
('AC04652-2022-11-01-5650','A314-16','OKVoXuDafmnl', 'UB')
('AC04652-2022-11-02-5459','A304-5','YcXRbSeMSQkn', 'SL')
('SL04652-2022-11-02-5373','S224-21','fxu', 'MB')
('AC04652-2022-11-01-5651','A314-17','XV', 'SL')
('SL22517-2022-11-01-5305','S222-1','iGNOoP', 'LB')
('AC04652-2022-11-01-5653','A315-1','SGvSmNzfGpuO', 'LB')
('SL12058-2022-11-01-5298','S221-18','dQYgUT', 'MB')
('AC22517-2022-11-01-5464','A304-10','LhdefjryKoowfJKU', 'UB')
('AC04652-2022-11-01-5675','A316-5','zHpbxdpJvwN', 'SL')
('SL04652-2022-11-02-5401','S226-1','VrgBek', 'LB')
('SL22517-2022-11-02-5376','S224-24','afsRdfIJHMPuLTAy', 'SU')
('AC22517-2022-11-01-5467','A304-13','CMLVWdkMAn', 'LB')
('AC22517-2022-11-02-5498','A306-8','NA', 'LB')
('AC22517-2022-11-02-5499','A306-9','CjRshaYuXV', 'UB')
('AC04652-2022-11-01-5689','A317-1','cfCHWpZ', 'LB')
('SL04652-2022-11-01-5361','S224-9','erQHvYUf', 'LB')
('AC22517-2022-11-01-5479','A305-7','Al', 'LB')
('AC22517-2022-11-01-5484','A305-12','yIxxe', 'SU')
('SL04652-2022-11-02-5469','S228-21','CboORLjzA', 'MB')
('AC04652-2022-11-02-5558','A309-14','vYfVckWaDoRGlfBl', 'LB')
('AC22517-2022-11-02-5557','A309-13','FUlKAXdrElCXqepd', 'LB')
('AC04652-2022-11-01-5746','A320-4','sWNiAVKdeRFTuTvx', 'UB')
('AC04652-2022-11-02-5561','A309-17','qS', 'SL')
('AC22517-2022-11-02-5560','A309-16','GFelHLpk', 'UB')
('SL04652-2022-11-01-5414','S226-14','IbnIZCSFTTfjNPQ', 'UB')
('SL04652-2022-11-01-5415','S226-15','MZCm', 'SL')
('AC22517-2022-11-01-5564','A310-2','hBjgtO', 'LB')
('SL04652-2022-11-01-5470','S228-22','dwEYYo', 'UB')
('SL12058-2022-11-01-5427','S227-3','yE', 'UB')
('SL12058-2022-11-01-5428','S227-4','ZwisOlrQpQOtv', 'LB')
('SL04652-2022-11-02-5557','S232-13','cUFl', 'MB')
('AC22517-2022-11-02-5625','A313-9','faKFHCLLxJU', 'UB')
('AC12058-2022-11-01-5613','A312-15','egdQOT', 'UB')
('SL04652-2022-11-02-5562','S232-18','FTHuMIqnEGFik', 'MB')
('AC04652-2022-11-01-5827','A324-13','DnJhvXhPbZB', 'LB')
('SL22517-2022-11-02-5532','S231-12','ruhKd', 'LB')
('SL22517-2022-11-02-5549','S232-5','iiEy', 'MB')
('AC22517-2022-11-01-5640','A314-6','LOknRtH', 'SU')
('SL04652-2022-11-02-5581','S233-13','cMCSoWfEkABMLR', 'MB')
('AC12058-2022-11-01-5634','A313-18','QxnFYCZmEq', 'SU')
('SL22517-2022-11-01-5512','S230-16','dNRvbHIiWth', 'SU')
('SL04652-2022-11-01-5542','S231-22','GfjiJkOaEkARq', 'UB')
('AC22517-2022-11-01-5660','A315-8','TYxMJ', 'LB')
('SL22517-2022-11-01-5521','S231-1','ikbCizuLS', 'LB')
('SL04652-2022-11-01-5590','S233-22','mIOkkbBAiofQqCpD', 'UB')
('AC22517-2022-11-01-5706','A317-18','hRwU', 'SU')
('AC12058-2022-11-01-5701','A317-13','ExSDpRgKpAwFvv', 'LB')
('AC12058-2022-11-01-5702','A317-14','gbBLuHWBa', 'LB')
('SL12058-2022-11-01-5550','S232-6','B', 'UB')
('SL12058-2022-11-01-5564','S232-20','PxJfCgVAtpHy', 'LB')
('AC22517-2022-11-01-5729','A319-5','mPy', 'SL')
('AC22517-2022-11-01-5730','A319-6','yKzLVOJNsIR', 'SU')
('AC22517-2022-11-02-5717','A318-11','XVKRayXCesdDK', 'SL')
('AC04652-2022-11-02-5757','A320-15','NEOlLXOG', 'UB')
('SL22517-2022-11-02-5650','S236-10','grDfEAsARnxVPu', 'MB')
('AC22517-2022-11-02-5726','A319-2','hZ', 'LB')
('SL22517-2022-11-02-5656','S236-16','RjKzZVbJBg', 'SU')
('SL04652-2022-11-02-5684','S237-20','QaptyLElVkZtxd', 'LB')
('AC04652-2022-11-01-5950','A331-10','SBSfZxqGWTNqY', 'UB')
('AC04652-2022-11-01-5951','A331-11','VIRk', 'SL')
('AC22517-2022-11-02-5747','A320-5','EyGgcewNAALATNlu', 'SL')
('AC12058-2022-11-01-5749','A320-7','VsNmxryEkq', 'LB')
('SL12058-2022-11-01-5612','S234-20','ZgE', 'LB')
('AC22517-2022-11-01-5774','A321-14','TqqgRcHFLNQOdG', 'LB')
('AC22517-2022-11-01-5775','A321-15','YnpawKjoqLjPCq', 'UB')
('AC04652-2022-11-01-5970','A332-12','JTkaWbHLPeFgGSkJ', 'SU')
('SL04652-2022-11-01-5653','S236-13','eF', 'MB')
('AC22517-2022-11-02-5806','A323-10','WSIWcCVhuOlcM', 'UB')
('AC04652-2022-11-02-5863','A326-13','SOOuLaRjA', 'LB')
('AC12058-2022-11-01-5802','A323-6','OoObEEkZvsV', 'SU')
('SL22517-2022-11-02-5749','S240-13','X', 'MB')
('SL04652-2022-11-01-5719','S239-7','A', 'SL')
('SL04652-2022-11-02-5772','S241-12','kxiavQPACpGJtjR', 'LB')
('SL04652-2022-11-01-5721','S239-9','sSGYlf', 'LB')
('AC22517-2022-11-01-5842','A325-10','QoGH', 'UB')
('AC04652-2022-11-01-6050','A337-2','vz', 'LB')
('SL22517-2022-11-02-5763','S241-3','zyo', 'UB')
('SL22517-2022-11-01-5708','S238-20','lLqEc', 'LB')
('SL04652-2022-11-01-5741','S240-5','VoyWrWyeHwha', 'MB')
('SL04652-2022-11-01-5742','S240-6','xWbnfIqgHAhnqWFz', 'UB')
('AC22517-2022-11-02-5843','A325-11','LFNJETjg', 'SL')
('SL12058-2022-11-01-5694','S238-6','aNFSRotrWPtiGCVd', 'UB')
('SL22517-2022-11-01-5717','S239-5','cTSoZRKhNBXUQnPy', 'MB')
('AC04652-2022-11-01-6082','A338-16','VUwbFgCUAOwsgpRa', 'UB')
('AC04652-2022-11-02-5899','A328-13','LhsC', 'LB')
