('AC04652-2022-11-02-7','A1-7','YTd', 'LB')
('SL12058-2022-11-01-1240','S52-16','LwyZ', 'SU')
('SL04652-2022-11-01-1269','S53-21','kdIGsVgHog', 'MB')
('SL04652-2022-11-01-1270','S53-22','ZQMWXdLjT', 'UB')
('SL22517-2022-11-02-1304','S55-8','rznkcfamOkmrZGBQ', 'SU')
('AC22517-2022-11-02-1292','A72-14','sVwJxNhjx', 'LB')
('SL04652-2022-11-01-1277','S54-5','xzf', 'MB')
('SL12058-2022-11-01-1249','S53-1','KHVrupi', 'LB')
('AC04652-2022-11-02-1253','A70-11','xybsytq', 'SL')
('AC04652-2022-11-01-1290','A72-12','vrHYjdPmPPnSPWiN', 'SU')
('SL22517-2022-11-02-1312','S55-16','WKkZbZW', 'SU')
('SL04652-2022-11-01-1280','S54-8','XjMzhXI', 'SU')
('AC22517-2022-11-01-1251','A70-9','TahS', 'UB')
('AC12058-2022-11-01-1279','A72-1','jQHjOt', 'LB')
('AC04652-2022-11-01-1299','A73-3','rDeZwqvXjobCfmx', 'UB')
('SL12058-2022-11-01-1262','S53-14','nxNoEdZ', 'UB')
('AC22517-2022-11-02-1310','A73-14','xhPfqBuoWtv', 'LB')
('AC22517-2022-11-02-1311','A73-15','lDqVSEdZEkyE', 'UB')
('SL04652-2022-11-01-1291','S54-19','Sac', 'UB')
('AC12058-2022-11-01-1282','A72-4','QNU', 'UB')
('SL22517-2022-11-02-1330','S56-10','wFIAyhem', 'MB')
('SL04652-2022-11-01-1294','S54-22','FPcecpKQTjpEEhcn', 'UB')
('AC12058-2022-11-01-1295','A72-17','CczjIn', 'SL')
('SL12058-2022-11-01-1277','S54-5','ENLCDQhEgYUgi', 'MB')
('SL12058-2022-11-01-1278','S54-6','RRmevGkl', 'UB')
('AC22517-2022-11-02-1322','A74-8','I', 'LB')
('AC22517-2022-11-01-1316','A74-2','DqzlXf', 'LB')
('AC22517-2022-11-02-1385','A77-17','CilctcYOKMa', 'SL')
('AC22517-2022-11-01-1333','A75-1','ISXWXyexpZ', 'LB')
('SL04652-2022-11-01-1358','S57-14','C', 'UB')
('AC12058-2022-11-01-1362','A76-12','bZBdu', 'SU')
('SL04652-2022-11-02-1338','S56-18','DQxy', 'MB')
('SL04652-2022-11-02-1339','S56-19','palYhD', 'UB')
('SL04652-2022-11-02-1341','S56-21','CXvHFLPOcXs', 'MB')
('SL04652-2022-11-02-1342','S56-22','x', 'UB')
('SL22517-2022-11-01-1365','S57-21','ZQ', 'MB')
('SL22517-2022-11-01-1366','S57-22','YeRdXet', 'UB')
('SL12058-2022-11-01-1347','S57-3','zgZ', 'UB')
('AC04652-2022-11-02-1353','A76-3','edhkWzAdZIhnWSSt', 'UB')
('SL12058-2022-11-01-1348','S57-4','MB', 'LB')
('AC04652-2022-11-01-1392','A78-6','vNPCuErL', 'SU')
('SL22517-2022-11-01-1368','S57-24','jOeRUQQqzDVgHR', 'SU')
('SL22517-2022-11-01-1369','S58-1','nJkd', 'LB')
('AC04652-2022-11-02-1359','A76-9','PtBbqonZOgAt', 'UB')
('AC04652-2022-11-01-1399','A78-13','JISXiv', 'LB')
('AC04652-2022-11-01-1400','A78-14','aTUIIipjcCxTjX', 'LB')
('AC12058-2022-11-01-1384','A77-16','VZoPpFhSzo', 'UB')
('AC22517-2022-11-01-1358','A76-8','SCOwPXMuRHa', 'LB')
('AC22517-2022-11-01-1359','A76-9','OJPU', 'UB')
('AC22517-2022-11-02-1409','A79-5','iZBz', 'SL')
('SL12058-2022-11-01-1364','S57-20','sQBzeudK', 'LB')
('AC22517-2022-11-01-1364','A76-14','XPSfwbVIz', 'LB')
('AC22517-2022-11-02-1414','A79-10','VIYcODL', 'UB')
('AC12058-2022-11-01-1389','A78-3','VHGFiUogIpEisCcI', 'UB')
('AC22517-2022-11-01-1368','A76-18','eNPHXKSPj', 'SU')
('SL12058-2022-11-01-1373','S58-5','rpWYwlAWByZkWzOj', 'MB')
('AC04652-2022-11-01-1413','A79-9','RDRsJbCzGgdnTszJ', 'UB')
('AC22517-2022-11-02-1419','A79-15','JRuhz', 'UB')
('SL04652-2022-11-02-1370','S58-2','zsLxmmu', 'MB')
('AC04652-2022-11-02-1377','A77-9','H', 'UB')
('SL04652-2022-11-01-1397','S59-5','ysvUQdJ', 'MB')
('SL04652-2022-11-01-1398','S59-6','VvbklerrqWo', 'UB')
('AC22517-2022-11-02-1441','A81-1','sqUp', 'LB')
('AC04652-2022-11-01-1433','A80-11','keNB', 'SL')
('AC22517-2022-11-02-1443','A81-3','mFKtYgTtmbAKqBgn', 'UB')
('AC22517-2022-11-02-1444','A81-4','wLCqwsa', 'UB')
('SL22517-2022-11-01-1408','S59-16','wxfIY', 'SU')
('AC22517-2022-11-02-1446','A81-6','VkIoWv', 'SU')
('SL04652-2022-11-02-1393','S59-1','f', 'LB')
('SL22517-2022-11-02-1455','S61-15','lcKvMV', 'SL')
('SL22517-2022-11-01-1409','S59-17','oKHuVvjDCTIKz', 'LB')
('SL12058-2022-11-01-1397','S59-5','Mh', 'MB')
('AC22517-2022-11-02-1452','A81-12','wcnQUYnjKjAg', 'SU')
('SL22517-2022-11-02-1457','S61-17','NlL', 'LB')
('AC22517-2022-11-02-1454','A81-14','IIAxHDXWBX', 'LB')
('AC12058-2022-11-01-1435','A80-13','sWYqbxngIbNbGw', 'LB')
('AC12058-2022-11-01-1436','A80-14','rSVxlANzmClaFY', 'LB')
('AC22517-2022-11-02-1462','A82-4','EcwyBTYTciy', 'UB')
('SL04652-2022-11-01-1467','S62-3','bELlyeU', 'UB')
('AC04652-2022-11-01-1478','A83-2','FFrwjnbA', 'LB')
('AC12058-2022-11-01-1469','A82-11','t', 'SL')
('SL04652-2022-11-02-1434','S60-18','V', 'MB')
('SL04652-2022-11-02-1435','S60-19','FGYihuF', 'UB')
('AC12058-2022-11-01-1471','A82-13','YXwJbAYrP', 'LB')
('AC22517-2022-11-02-1503','A84-9','BbrqXFwRuPanKLx', 'UB')
('SL22517-2022-11-02-1510','S63-22','HTpjsvJpAgqEo', 'UB')
('SL22517-2022-11-02-1511','S63-23','dolFBHAKikUmvg', 'SL')
('AC04652-2022-11-01-1495','A84-1','ltArwvyB', 'LB')
('AC22517-2022-11-01-1448','A81-8','XAktlvZcSTVkqOd', 'LB')
('AC22517-2022-11-02-1513','A85-1','GG', 'LB')
('SL04652-2022-11-01-1487','S62-23','FVJcsIwEkRH', 'SL')
('SL12058-2022-11-01-1444','S61-4','XzSMAhSSRmhggPe', 'LB')
('SL22517-2022-11-02-1518','S64-6','QVLsqiLfI', 'UB')
('AC04652-2022-11-01-1497','A84-3','xBb', 'UB')
('SL22517-2022-11-01-1459','S61-19','XXi', 'UB')
('SL04652-2022-11-02-1451','S61-11','nYMInRXKSBO', 'UB')
('SL04652-2022-11-02-1481','S62-17','tmYaD', 'LB')
('AC12058-2022-11-01-1512','A84-18','VhLpwDSoJhSwRiW', 'SU')
('SL22517-2022-11-01-1492','S63-4','TlcoYa', 'LB')
('SL22517-2022-11-02-1551','S65-15','jTAsxicPaDIQs', 'SL')
('AC04652-2022-11-02-1469','A82-11','tcyrknQVDcLiFzdo', 'SL')
('AC12058-2022-11-01-1521','A85-9','WhMoopDjVL', 'UB')
('AC22517-2022-11-02-1547','A86-17','ZMJf', 'SL')
('AC04652-2022-11-01-1536','A86-6','QqLIDLztnjUrA', 'SU')
('AC22517-2022-11-02-1600','A89-16','eo', 'UB')
('SL22517-2022-11-02-1610','S68-2','GOlzAE', 'MB')
('SL22517-2022-11-01-1561','S66-1','My', 'LB')
('SL04652-2022-11-02-1548','S65-12','JqUBGWepgtFaaXQV', 'LB')
('SL04652-2022-11-02-1550','S65-14','UoFwGEtImIl', 'UB')
('SL04652-2022-11-01-1581','S66-21','nULsENEfgUkk', 'MB')
('AC04652-2022-11-01-1601','A89-17','ZrpVPvU', 'SL')
('AC04652-2022-11-02-1530','A85-18','UOHdMfQoVDD', 'SU')
('SL04652-2022-11-02-1553','S65-17','ercjGWGyi', 'LB')
('AC22517-2022-11-02-1607','A90-5','byzMfeAMixQT', 'SL')
('AC22517-2022-11-01-1524','A85-12','CIrK', 'SU')
('SL12058-2022-11-01-1582','S66-22','jNXOrqQBN', 'UB')
('AC22517-2022-11-01-1547','A86-17','wdGVetgrjIdVqFT', 'SL')
('SL22517-2022-11-01-1595','S67-11','zBMiwZLWQnhm', 'UB')
('AC22517-2022-11-01-1549','A87-1','Tduw', 'LB')
('SL22517-2022-11-01-1602','S67-18','hot', 'MB')
('SL22517-2022-11-02-1643','S69-11','vwtbWHY', 'UB')
('SL22517-2022-11-02-1644','S69-12','PLhcRCWfxvXUjXFX', 'LB')
('AC04652-2022-11-01-1640','A92-2','R', 'LB')
('SL12058-2022-11-01-1595','S67-11','qZP', 'UB')
('SL04652-2022-11-01-1621','S68-13','zYYtiqNC', 'MB')
('SL22517-2022-11-02-1652','S69-20','CNuy', 'LB')
('AC22517-2022-11-02-1650','A92-12','kIHDhSuCYYXMpPW', 'SU')
('AC12058-2022-11-01-1635','A91-15','UCuOIviMiLHzhOTm', 'UB')
('SL22517-2022-11-02-1670','S70-14','sHBlwYF', 'UB')
('AC12058-2022-11-01-1639','A92-1','ccVnMuw', 'LB')
('AC22517-2022-11-02-1653','A92-15','AFPtdhqgJhNaSZvb', 'UB')
('AC04652-2022-11-02-1575','A88-9','kFASj', 'UB')
('SL04652-2022-11-02-1607','S67-23','CgrtldST', 'SL')
('SL04652-2022-11-02-1609','S68-1','BRb', 'LB')
('SL04652-2022-11-02-1611','S68-3','xxAVdOQ', 'UB')
('AC04652-2022-11-01-1673','A93-17','fOXetSRIO', 'SL')
('SL12058-2022-11-01-1625','S68-17','oXo', 'LB')
('SL12058-2022-11-01-1632','S68-24','TacoHsysUkMUt', 'SU')
('AC04652-2022-11-01-1680','A94-6','XTcS', 'SU')
('AC22517-2022-11-02-1677','A94-3','zSYVUR', 'UB')
('AC04652-2022-11-01-1682','A94-8','mtdrShEXmOMusavo', 'LB')
('AC22517-2022-11-02-1690','A94-16','BdNHUE', 'UB')
('SL04652-2022-11-02-1635','S69-3','cWVKQTvdk', 'UB')
('SL22517-2022-11-01-1663','S70-7','nVeSJnVJ', 'SL')
('SL22517-2022-11-02-1706','S72-2','mvPklJonYfhhK', 'MB')
('AC04652-2022-11-01-1703','A95-11','oqJhlmRuCUF', 'SL')
('SL04652-2022-11-02-1642','S69-10','lRpVMQofL', 'MB')
('SL22517-2022-11-01-1674','S70-18','F', 'MB')
('AC22517-2022-11-01-1619','A90-17','ObuQRgPIGGj', 'SL')
('SL22517-2022-11-01-1677','S70-21','SLEr', 'MB')
('SL22517-2022-11-02-1723','S72-19','EOZXwL', 'UB')
('AC22517-2022-11-02-1712','A96-2','GaGYz', 'LB')
('SL04652-2022-11-02-1653','S69-21','auODMNnhxY', 'MB')
('AC22517-2022-11-01-1629','A91-9','FJdpc', 'UB')
('SL12058-2022-11-01-1668','S70-12','lAlnXsAF', 'LB')
('AC12058-2022-11-01-1688','A94-14','NitKlDJOrCsp', 'LB')
('SL22517-2022-11-01-1686','S71-6','HJRRsIuf', 'UB')
('SL22517-2022-11-01-1689','S71-9','SOtLKtgvHbUkpJ', 'LB')
('AC04652-2022-11-02-1628','A91-8','G', 'LB')
('AC22517-2022-11-02-1729','A97-1','ettzLdiqWJXheiU', 'LB')
('SL12058-2022-11-01-1676','S70-20','j', 'LB')
('AC04652-2022-11-02-1630','A91-10','hBdFvSJnjb', 'UB')
('AC04652-2022-11-02-1631','A91-11','JnkzQSAIi', 'SL')
('AC04652-2022-11-02-1632','A91-12','XdNQdkXnHVPs', 'SU')
('SL04652-2022-11-02-1676','S70-20','PVskCzcIZ', 'LB')
('SL22517-2022-11-01-1700','S71-20','swdsbxhME', 'LB')
('AC04652-2022-11-02-1635','A91-15','B', 'UB')
('AC22517-2022-11-01-1651','A92-13','KinyD', 'LB')
('AC04652-2022-11-01-1747','A98-1','skidOWhzx', 'LB')
('AC22517-2022-11-02-1745','A97-17','aCavivFBxzRhG', 'SL')
('AC22517-2022-11-02-1746','A97-18','kzQBvYpPdq', 'SU')
('AC04652-2022-11-01-1749','A98-3','wrUHaTpkNkXHuaY', 'UB')
('SL22517-2022-11-02-1744','S73-16','nISDOmlIJIWk', 'SU')
('SL12058-2022-11-01-1693','S71-13','MKOsBpHNIqlc', 'MB')
('SL04652-2022-11-01-1707','S72-3','PIpvVz', 'UB')
('AC12058-2022-11-01-1709','A95-17','WjtzFkOihY', 'SL')
('SL04652-2022-11-01-1709','S72-5','UjVAnb', 'MB')
('SL22517-2022-11-02-1748','S73-20','nxykpxpHzBZYEN', 'LB')
('AC12058-2022-11-01-1712','A96-2','zseSNDKbfsO', 'LB')
('SL04652-2022-11-02-1720','S72-16','efjZRH', 'SU')
('AC12058-2022-11-01-1736','A97-8','NsfjVczmzpfU', 'LB')
('SL04652-2022-11-01-1738','S73-10','lkBCRBOlROrmSYw', 'MB')
('AC04652-2022-11-01-1794','A100-12','oOHLkpqudAXTlDJG', 'SU')
('AC12058-2022-11-01-1742','A97-14','N', 'LB')
('SL04652-2022-11-02-1726','S72-22','XUUeWMVZX', 'UB')
('AC22517-2022-11-01-1698','A95-6','rSvcNISzh', 'SU')
('AC04652-2022-11-02-1681','A94-7','doREhsYHzofM', 'LB')
('SL04652-2022-11-02-1729','S73-1','FFbpp', 'LB')
('SL22517-2022-11-02-1780','S75-4','ld', 'LB')
('AC04652-2022-11-01-1801','A101-1','Wluyq', 'LB')
('SL04652-2022-11-02-1730','S73-2','xPjHodLQlZIMIF', 'MB')
('AC22517-2022-11-02-1799','A100-17','CWUWueWcM', 'SL')
('AC12058-2022-11-01-1751','A98-5','hQGVcS', 'SL')
('SL22517-2022-11-01-1776','S74-24','HMgmFsEs', 'SU')
('AC04652-2022-11-01-1832','A102-14','RVqRSasD', 'LB')
('SL22517-2022-11-02-1811','S76-11','YGTtv', 'UB')
('AC04652-2022-11-02-1713','A96-3','sfDzsyQecsAMLx', 'UB')
('AC04652-2022-11-02-1714','A96-4','lBJTGOFYYo', 'UB')
('AC12058-2022-11-01-1784','A100-2','oPVkfoOkZIinQOqg', 'LB')
('AC04652-2022-11-02-1718','A96-8','qkjRSl', 'LB')
('SL04652-2022-11-02-1764','S74-12','iMYm', 'LB')
('SL22517-2022-11-02-1814','S76-14','QhxKHatouXNfzb', 'UB')
('AC12058-2022-11-01-1787','A100-5','xCGNfRgAAVKuR', 'SL')
('AC22517-2022-11-01-1731','A97-3','fIR', 'UB')
('SL12058-2022-11-01-1774','S74-22','PzRPNfVoRGJKK', 'UB')
('AC04652-2022-11-01-1848','A103-12','uKc', 'SU')
('AC04652-2022-11-02-1727','A96-17','TRdOvEiOOQau', 'SL')
('SL22517-2022-11-02-1821','S76-21','lkNTOaLd', 'MB')
('AC22517-2022-11-01-1742','A97-14','Tisi', 'LB')
('AC04652-2022-11-02-1731','A97-3','mXlMgenSdJxAwoMN', 'UB')
('SL12058-2022-11-01-1784','S75-8','ALkK', 'SU')
('SL22517-2022-11-02-1826','S77-2','EnWviMzrlyq', 'MB')
('SL04652-2022-11-02-1781','S75-5','dDKJ', 'MB')
('AC22517-2022-11-02-1839','A103-3','UfgGGoOuaySpnE', 'UB')
('AC04652-2022-11-01-1858','A104-4','vjRhaYmWbZ', 'UB')
('SL04652-2022-11-02-1785','S75-9','C', 'LB')
('SL04652-2022-11-01-1799','S75-23','Zrlk', 'SL')
('SL12058-2022-11-01-1796','S75-20','BLKytircO', 'LB')
('AC04652-2022-11-01-1863','A104-9','hTJMj', 'UB')
('AC04652-2022-11-01-1864','A104-10','VU', 'UB')
('SL04652-2022-11-01-1803','S76-3','ZYgNQUm', 'UB')
('SL04652-2022-11-01-1804','S76-4','oqbeEOcrQZIVaVQJ', 'LB')
('SL04652-2022-11-01-1805','S76-5','WBkbtJhSvdzX', 'MB')
('AC12058-2022-11-01-1815','A101-15','phzUTZSPSCDSdj', 'UB')
('SL12058-2022-11-01-1800','S75-24','MFaOnjS', 'SU')
('AC04652-2022-11-02-1752','A98-6','A', 'SU')
('AC04652-2022-11-02-1754','A98-8','oSUF', 'LB')
('AC22517-2022-11-02-1861','A104-7','D', 'LB')
('SL04652-2022-11-01-1813','S76-13','eNzve', 'MB')
('SL22517-2022-11-02-1850','S78-2','BIFRnVSxvJwlwbc', 'MB')
('AC12058-2022-11-01-1863','A104-9','AsIJkmI', 'UB')
('AC22517-2022-11-01-1795','A100-13','XK', 'LB')
('AC12058-2022-11-01-1868','A104-14','LbFedLaBaSNnnNq', 'LB')
('AC22517-2022-11-01-1797','A100-15','UNSsGProHL', 'UB')
('AC22517-2022-11-02-1896','A106-6','yCECRAIgDioq', 'SU')
('SL04652-2022-11-01-1862','S78-14','oiDfXcfaKvXKls', 'UB')
('SL22517-2022-11-02-1885','S79-13','ywZhn', 'MB')
('AC22517-2022-11-02-1899','A106-9','TUESi', 'UB')
('SL04652-2022-11-02-1842','S77-18','UnT', 'MB')
('SL04652-2022-11-01-1871','S78-23','LLDt', 'SL')
('SL04652-2022-11-01-1875','S79-3','suLPguIgwHOqh', 'UB')
('AC12058-2022-11-01-1878','A105-6','gjqgByfYSXlydGto', 'SU')
('SL12058-2022-11-01-1850','S78-2','RzEJANhNffqAiw', 'MB')
('SL22517-2022-11-02-1896','S79-24','pBLIkArHSt', 'SU')
('SL04652-2022-11-01-1882','S79-10','El', 'MB')
('AC22517-2022-11-01-1820','A102-2','tPs', 'LB')
('SL12058-2022-11-01-1856','S78-8','AxPPnHlh', 'SU')
('SL22517-2022-11-01-1900','S80-4','QwLaPQFFAVjG', 'LB')
('AC12058-2022-11-01-1882','A105-10','zCpzqrRvJG', 'UB')
('SL04652-2022-11-02-1855','S78-7','MoPXImcxYieKS', 'SL')
('SL12058-2022-11-01-1861','S78-13','UbJSuRCQ', 'MB')
('SL22517-2022-11-02-1908','S80-12','Y', 'LB')
('SL22517-2022-11-01-1910','S80-14','aWUCyTPvCHuSTSGA', 'UB')
('AC22517-2022-11-02-1921','A107-13','OArgNnRFwq', 'LB')
('SL22517-2022-11-01-1912','S80-16','QiHhaI', 'SU')
('SL22517-2022-11-01-1915','S80-19','bpvZC', 'UB')
('AC04652-2022-11-02-1826','A102-8','BvsfS', 'LB')
('AC04652-2022-11-02-1827','A102-9','GsQ', 'UB')
('AC22517-2022-11-02-1929','A108-3','u', 'UB')
('SL22517-2022-11-01-1929','S81-9','FvGd', 'LB')
('SL12058-2022-11-01-1877','S79-5','DsxumtuU', 'MB')
('AC22517-2022-11-02-1945','A109-1','DAzoJTiYtBhEPVEs', 'LB')
('AC12058-2022-11-01-1918','A107-10','DVx', 'UB')
('AC04652-2022-11-02-1846','A103-10','UAKIpy', 'UB')
('AC04652-2022-11-02-1847','A103-11','AQkpypvLKKLe', 'SL')
('AC22517-2022-11-01-1854','A103-18','noIRgWqqG', 'SU')
('SL22517-2022-11-01-1942','S81-22','qSnjbxMXhMwa', 'UB')
('AC12058-2022-11-01-1925','A107-17','HWaoJlqdxf', 'SL')
('SL04652-2022-11-02-1886','S79-14','lAgFErAkifVLw', 'UB')
('AC04652-2022-11-01-1963','A110-1','Z', 'LB')
('AC04652-2022-11-02-1855','A104-1','HfiXrSbEsHMlgP', 'LB')
('AC22517-2022-11-01-1864','A104-10','lTZO', 'UB')
('SL04652-2022-11-01-1979','S83-11','VyfTV', 'UB')
('SL04652-2022-11-02-1935','S81-15','CylVuKC', 'SL')
('AC04652-2022-11-01-2009','A112-11','tVczrTfdZEM', 'SL')
('AC22517-2022-11-02-2011','A112-13','FkbSsgXgrjA', 'LB')
('SL12058-2022-11-01-1950','S82-6','QuWMWkA', 'UB')
('AC12058-2022-11-01-2021','A113-5','ynebpWFzSPrzYRqd', 'SL')
('SL04652-2022-11-02-1989','S83-21','FeeHFcc', 'MB')
('SL22517-2022-11-02-2045','S86-5','cVlSptjS', 'MB')
('AC22517-2022-11-01-1953','A109-9','KQKtcuFiX', 'UB')
('AC04652-2022-11-02-1959','A109-15','yBegWcjQwYK', 'UB')
('AC12058-2022-11-01-2025','A113-9','XsxVNAHSJWSsErc', 'UB')
('SL22517-2022-11-02-2051','S86-11','RPjVpNBlfc', 'UB')
('SL22517-2022-11-02-2053','S86-13','zLKCVHp', 'MB')
('AC22517-2022-11-01-1963','A110-1','e', 'LB')
('SL22517-2022-11-01-2047','S86-7','Knew', 'SL')
('AC04652-2022-11-02-1966','A110-4','dUyRhgTNha', 'UB')
('AC22517-2022-11-01-1968','A110-6','NPzQs', 'SU')
('AC04652-2022-11-01-2072','A116-2','PtgqH', 'LB')
('SL22517-2022-11-01-2053','S86-13','uDngKjrxBy', 'MB')
('SL04652-2022-11-01-2093','S88-5','ppmqruCliuQAIlBL', 'MB')
('AC04652-2022-11-01-2101','A117-13','KgvZiKsCRk', 'LB')
('SL04652-2022-11-02-2031','S85-15','MeSifC', 'SL')
('SL04652-2022-11-01-2104','S88-16','UXMPN', 'SU')
('SL04652-2022-11-02-2053','S86-13','eSSqJp', 'MB')
('AC12058-2022-11-01-2086','A116-16','lX', 'UB')
('SL04652-2022-11-02-2056','S86-16','EdhcTZnXuDpALi', 'SU')
('SL22517-2022-11-02-2109','S88-21','EcxHEmrkeMvFsl', 'MB')
('SL12058-2022-11-01-2066','S87-2','sg', 'MB')
('SL22517-2022-11-02-2113','S89-1','QtBbOTbhPByIdio', 'LB')
('SL22517-2022-11-01-2105','S88-17','qpXlQhu', 'LB')
('AC22517-2022-11-01-2018','A113-2','SN', 'LB')
('AC22517-2022-11-02-2131','A119-7','FWIfZsqX', 'LB')
('AC04652-2022-11-01-2136','A119-12','JZiPTmqF', 'SU')
('AC04652-2022-11-01-2137','A119-13','ARjzbuDrQOR', 'LB')
('SL04652-2022-11-01-2125','S89-13','H', 'MB')
('SL12058-2022-11-01-2089','S88-1','rRog', 'LB')
('AC04652-2022-11-01-2145','A120-3','FtzdHr', 'UB')
('AC04652-2022-11-02-2052','A114-18','HUMPEDJxhLKxA', 'SU')
('AC12058-2022-11-01-2100','A117-12','y', 'SU')
('AC04652-2022-11-01-2153','A120-11','rpp', 'SL')
('SL22517-2022-11-01-2133','S89-21','UHbJt', 'MB')
('SL22517-2022-11-01-2135','S89-23','klJJaFQLrDL', 'SL')
('AC12058-2022-11-01-2106','A117-18','ulmPrOYSWudICfn', 'SU')
('SL22517-2022-11-01-2137','S90-1','pZISnyGOzYOzh', 'LB')
('SL04652-2022-11-02-2101','S88-13','FB', 'MB')
('SL22517-2022-11-01-2139','S90-3','JMXoWxxl', 'UB')
('SL22517-2022-11-01-2140','S90-4','rDGWTKkAGUvztas', 'LB')
('SL12058-2022-11-01-2106','S88-18','NTFACES', 'MB')
('AC04652-2022-11-02-2071','A116-1','RFeZDlbuBB', 'LB')
('SL12058-2022-11-01-2113','S89-1','PQ', 'LB')
('SL22517-2022-11-02-2153','S90-17','qLDmyG', 'LB')
('SL12058-2022-11-01-2116','S89-4','NDGItiSG', 'LB')
('AC12058-2022-11-01-2116','A118-10','NdpkGzVxhxJCg', 'UB')
('AC12058-2022-11-01-2117','A118-11','EAwZYA', 'SL')
('AC22517-2022-11-01-2061','A115-9','KgRnwKGGcQMqaLA', 'UB')
('SL04652-2022-11-02-2113','S89-1','tAQBtL', 'LB')
('SL22517-2022-11-01-2149','S90-13','wBGZnvSbmNuHDI', 'MB')
('SL22517-2022-11-01-2150','S90-14','lqJbzdMpQAXCutEf', 'UB')
('AC22517-2022-11-02-2165','A121-5','CsWbF', 'SL')
('AC04652-2022-11-01-2222','A124-8','hUplQoJjcznoIan', 'LB')
('AC04652-2022-11-01-2245','A125-13','WbZBAUlS', 'LB')
('SL04652-2022-11-01-2215','S93-7','nTfaNVKoeh', 'SL')
('AC22517-2022-11-01-2124','A118-18','D', 'SU')
('AC22517-2022-11-01-2125','A119-1','JSQ', 'LB')
('AC04652-2022-11-01-2247','A125-15','MvcDmJIatNmVRTn', 'UB')
('AC12058-2022-11-01-2186','A122-8','gq', 'LB')
('AC22517-2022-11-02-2230','A124-16','nHbTMZeiGpQkAm', 'UB')
('AC22517-2022-11-01-2129','A119-5','ZZWMoPoHF', 'SL')
('SL04652-2022-11-01-2226','S93-18','xii', 'MB')
('SL04652-2022-11-01-2227','S93-19','JwUBwXrP', 'UB')
('AC12058-2022-11-01-2193','A122-15','Ix', 'UB')
('AC22517-2022-11-01-2133','A119-9','QWaisoJLVAr', 'UB')
('SL04652-2022-11-02-2202','S92-18','QAS', 'MB')
('SL04652-2022-11-01-2231','S93-23','CxasDUpthZD', 'SL')
('AC22517-2022-11-01-2148','A120-6','SJNNGmbl', 'SU')
('SL22517-2022-11-02-2240','S94-8','JaTooKibKIuX', 'SU')
('SL04652-2022-11-02-2213','S93-5','eUuuvOQrId', 'MB')
('SL22517-2022-11-02-2241','S94-9','zIbjMPUp', 'LB')
('SL22517-2022-11-01-2233','S94-1','uWWAMndPymbPh', 'LB')
('SL22517-2022-11-02-2244','S94-12','dGtQeBvZRpIRdxpd', 'LB')
('SL22517-2022-11-02-2245','S94-13','oLd', 'MB')
('AC22517-2022-11-01-2152','A120-10','DAMUhTKEGvuClXr', 'UB')
('SL04652-2022-11-02-2218','S93-10','XXRyAN', 'MB')
('SL12058-2022-11-01-2212','S93-4','uhHkxPaAKZLQSLWc', 'LB')
('AC22517-2022-11-02-2261','A126-11','xIzriuuOTr', 'SL')
('AC04652-2022-11-01-2274','A127-6','CNCwU', 'SU')
('SL04652-2022-11-01-2251','S94-19','w', 'UB')
('SL22517-2022-11-01-2248','S94-16','gsRckHbstcA', 'SU')
('SL12058-2022-11-01-2222','S93-14','IsqxNGpQDbPPib', 'UB')
('SL12058-2022-11-01-2223','S93-15','QqE', 'SL')
('AC12058-2022-11-01-2223','A124-9','dgUzBzsfBdfLlA', 'UB')
('AC04652-2022-11-02-2178','A121-18','lHBoHhuhMoRyedPa', 'SU')
('SL12058-2022-11-01-2229','S93-21','HLpMZMDunmkXES', 'MB')
('SL22517-2022-11-01-2261','S95-5','oJLrK', 'MB')
('SL04652-2022-11-01-2266','S95-10','onnICKNLaXCgyPxF', 'MB')
('AC04652-2022-11-01-2292','A128-6','ppirdGzfpCQiagN', 'SU')
('SL22517-2022-11-02-2270','S95-14','AbYfsZFonwNt', 'UB')
('SL04652-2022-11-01-2271','S95-15','WYUmG', 'SL')
('SL04652-2022-11-02-2242','S94-10','dWvcJauoqcgEpyeX', 'MB')
('AC22517-2022-11-01-2179','A122-1','RYAWjgvmamGbEtH', 'LB')
('SL12058-2022-11-01-2241','S94-9','XmPAACJpPJs', 'LB')
('SL12058-2022-11-01-2242','S94-10','TltSsKiNWoZ', 'MB')
('AC22517-2022-11-02-2301','A128-15','yHgoev', 'UB')
('AC04652-2022-11-02-2220','A124-6','SbSEzd', 'SU')
('SL22517-2022-11-01-2292','S96-12','YYmPNiZaheaQshf', 'LB')
('SL12058-2022-11-01-2260','S95-4','gbimSZmskZaVr', 'LB')
('SL04652-2022-11-02-2273','S95-17','itQNJDOBxSh', 'LB')
('SL22517-2022-11-01-2295','S96-15','RNipD', 'SL')
('AC22517-2022-11-01-2211','A123-15','xyTsYwjhPhHC', 'UB')
('AC22517-2022-11-02-2320','A129-16','dWvG', 'UB')
('SL12058-2022-11-01-2279','S95-23','RK', 'SL')
('AC04652-2022-11-02-2237','A125-5','ypybITQlh', 'SL')
('AC22517-2022-11-01-2216','A124-2','HdwSAdpXVG', 'LB')
('SL04652-2022-11-02-2286','S96-6','ozoVkleHjkQZro', 'UB')
('AC12058-2022-11-01-2300','A128-14','BYbkq', 'LB')
('SL12058-2022-11-01-2295','S96-15','rPFXRMiOrcaQtjT', 'SL')
