('AC22517-2022-11-01-2208','A123-12','JXszNdqMPowwP', 'SU')
('SL12058-2022-11-01-3976','S166-16','MpnYfcSMauWl', 'SU')
('SL22517-2022-11-01-4083','S171-3','dKvpIhnyYESoYNx', 'UB')
('SL04652-2022-11-02-4159','S174-7','dunIfFgCou', 'SL')
('SL04652-2022-11-02-4163','S174-11','hKNFeTP', 'UB')
('SL04652-2022-11-02-4164','S174-12','irzBpITN', 'LB')
('SL12058-2022-11-01-4029','S168-21','ZtI', 'MB')
('SL22517-2022-11-01-4124','S172-20','ZsNoHzYSvwPlnj', 'LB')
('AC04652-2022-11-02-4170','A232-12','wboXu', 'SU')
('AC22517-2022-11-02-4159','A232-1','fcojuQTeyLe', 'LB')
('SL22517-2022-11-01-4145','S173-17','XVBJseIkHqH', 'LB')
('SL04652-2022-11-02-4188','S175-12','NymEFmmkr', 'LB')
('AC12058-2022-11-01-4189','A233-13','unYIj', 'LB')
('SL04652-2022-11-02-4189','S175-13','MgMbxHcPLkR', 'MB')
('SL04652-2022-11-01-4157','S174-5','ewrsrIlluuYIbJgy', 'MB')
('AC04652-2022-11-02-4224','A235-12','IcJJQE', 'SU')
('AC04652-2022-11-02-4231','A236-1','FnSzojH', 'LB')
('AC04652-2022-11-02-4235','A236-5','JrKgEH', 'SL')
('SL04652-2022-11-02-4232','S177-8','U', 'SU')
('AC22517-2022-11-02-4223','A235-11','oo', 'SL')
('AC22517-2022-11-02-4224','A235-12','fUOse', 'SU')
('AC04652-2022-11-02-4259','A237-11','aogxeTXMMch', 'SL')
('SL04652-2022-11-02-4250','S178-2','mkhySYDCrOkLvI', 'MB')
('AC04652-2022-11-01-4432','A247-4','GgB', 'UB')
('SL04652-2022-11-02-4255','S178-7','UGCPx', 'SL')
('SL12058-2022-11-01-4130','S173-2','xyxXSknM', 'MB')
('SL04652-2022-11-01-4203','S176-3','Fn', 'UB')
('SL22517-2022-11-02-4176','S174-24','XBnOhGDosi', 'SU')
('SL22517-2022-11-01-4224','S176-24','sFcBn', 'SU')
('AC22517-2022-11-01-4327','A241-7','imObnmIhf', 'LB')
('AC22517-2022-11-02-4264','A237-16','W', 'UB')
('SL04652-2022-11-02-4269','S178-21','LliYcXQm', 'MB')
('SL22517-2022-11-01-4227','S177-3','YJPYzXxhfXQacLL', 'UB')
('SL22517-2022-11-02-4181','S175-5','VKh', 'MB')
('AC22517-2022-11-01-4329','A241-9','sSziRCFEb', 'UB')
('AC22517-2022-11-02-4268','A238-2','KiO', 'LB')
('SL12058-2022-11-01-4160','S174-8','urlUgJyVtcChFcp', 'SU')
('SL12058-2022-11-01-4163','S174-11','Mj', 'UB')
('AC22517-2022-11-02-4280','A238-14','enuAQVb', 'LB')
('AC04652-2022-11-02-4301','A239-17','fmXNXHhG', 'SL')
('SL04652-2022-11-01-4233','S177-9','WAWlLz', 'LB')
('SL22517-2022-11-01-4259','S178-11','XuKjFXy', 'UB')
('AC12058-2022-11-01-4315','A240-13','rjkff', 'LB')
('SL12058-2022-11-01-4179','S175-3','hmwozwdLBMhRxbN', 'UB')
('SL04652-2022-11-02-4301','S180-5','TkRxyDPLP', 'MB')
('AC22517-2022-11-01-4370','A243-14','IRxNHULu', 'LB')
('SL12058-2022-11-01-4183','S175-7','OEcqrQc', 'SL')
('AC22517-2022-11-01-4373','A243-17','VxGZJWgcV', 'SL')
('SL12058-2022-11-01-4185','S175-9','ejYaIBlYDkpESib', 'LB')
('SL04652-2022-11-01-4243','S177-19','WNU', 'UB')
('AC04652-2022-11-02-4333','A241-13','Jln', 'LB')
('SL04652-2022-11-02-4308','S180-12','brvWYeepNCG', 'LB')
('SL12058-2022-11-01-4192','S175-16','VFmgJYA', 'SU')
('SL22517-2022-11-02-4218','S176-18','zjkvdlXVrb', 'MB')
('SL12058-2022-11-01-4194','S175-18','cToufuctDURzY', 'MB')
('SL04652-2022-11-02-4316','S180-20','JSyfkfgHmHQkTqo', 'LB')
('AC22517-2022-11-02-4318','A240-16','FELrbigHiWo', 'UB')
('AC22517-2022-11-02-4320','A240-18','MAALvIwQvagBhDn', 'SU')
('SL04652-2022-11-01-4261','S178-13','L', 'MB')
('AC04652-2022-11-02-4347','A242-9','LSimeZCSJUwe', 'UB')
('SL12058-2022-11-01-4207','S176-7','lvxXBycfw', 'SL')
('SL22517-2022-11-01-4285','S179-13','v', 'MB')
('SL12058-2022-11-01-4208','S176-8','HefqpwcAQ', 'SU')
('AC22517-2022-11-01-4392','A244-18','xSuANnRIbF', 'SU')
('AC22517-2022-11-02-4338','A241-18','gzlMUgZbPvqqOiIS', 'SU')
('SL22517-2022-11-02-4243','S177-19','nHBVI', 'UB')
('SL22517-2022-11-02-4245','S177-21','ngR', 'MB')
('SL12058-2022-11-01-4218','S176-18','sCthUiLvs', 'MB')
('AC22517-2022-11-02-4349','A242-11','ThDPYmYajtM', 'SL')
('AC22517-2022-11-02-4351','A242-13','c', 'LB')
('SL12058-2022-11-01-4287','S179-15','VoCdbUBeTetNeB', 'SL')
('AC22517-2022-11-01-4472','A249-8','ykjci', 'LB')
('AC04652-2022-11-01-4578','A255-6','occSXEcZQ', 'SU')
('AC22517-2022-11-02-4425','A246-15','djauUTbtZg', 'UB')
('SL12058-2022-11-01-4298','S180-2','ksFkyhfDvldB', 'MB')
('AC22517-2022-11-02-4466','A249-2','pWECeeTIPVYiuL', 'LB')
('SL04652-2022-11-02-4442','S186-2','wXck', 'MB')
('AC22517-2022-11-02-4477','A249-13','F', 'LB')
('SL12058-2022-11-01-4350','S182-6','QthZHlnjAn', 'UB')
('SL22517-2022-11-02-4393','S184-1','uAHQ', 'LB')
('SL04652-2022-11-01-4420','S185-4','FRxFxFWhEUZxu', 'LB')
('AC04652-2022-11-01-4662','A259-18','oEGMEoNBMMwPeEM', 'SU')
('AC04652-2022-11-02-4515','A251-15','sYnMOBsvHt', 'UB')
('AC04652-2022-11-02-4516','A251-16','Lfg', 'UB')
('SL04652-2022-11-02-4531','S189-19','RuGqjE', 'UB')
('AC04652-2022-11-02-4569','A254-15','hUbpb', 'UB')
('SL22517-2022-11-02-4458','S186-18','FrpLzW', 'MB')
('SL22517-2022-11-02-4459','S186-19','RDtfprc', 'UB')
('SL04652-2022-11-01-4501','S188-13','hgOjEefoWSga', 'MB')
('AC04652-2022-11-01-4749','A264-15','kIPC', 'UB')
('SL04652-2022-11-02-4552','S190-16','hc', 'SU')
('SL04652-2022-11-02-4553','S190-17','oNVFG', 'LB')
('AC22517-2022-11-01-4619','A257-11','KUPIEvcg', 'SL')
('AC22517-2022-11-01-4620','A257-12','StRDjIMCLXAtzO', 'SU')
('SL04652-2022-11-02-4557','S190-21','foOvrBdyhMOkuZz', 'MB')
('SL22517-2022-11-01-4516','S189-4','GDIhO', 'LB')
('AC04652-2022-11-02-4595','A256-5','dJRViWllBP', 'SL')
('AC04652-2022-11-02-4600','A256-10','VWLtqsvMp', 'UB')
('SL12058-2022-11-01-4473','S187-9','GsRVj', 'LB')
('AC04652-2022-11-02-4603','A256-13','pyqUYWrGCzDNe', 'LB')
('AC12058-2022-11-01-4596','A256-6','IYRYKShLctpjhp', 'SU')
('AC22517-2022-11-01-4630','A258-4','uAiHPLs', 'UB')
('AC04652-2022-11-02-4641','A258-15','Ii', 'UB')
('AC04652-2022-11-02-4643','A258-17','rBe', 'SL')
('AC22517-2022-11-01-4672','A260-10','maifs', 'UB')
('AC22517-2022-11-01-4675','A260-13','mmnrdvFW', 'LB')
('AC04652-2022-11-01-4825','A269-1','pqTUDpyqQ', 'LB')
('AC22517-2022-11-02-4703','A262-5','zWvRCuvx', 'SL')
('SL22517-2022-11-01-4585','S192-1','VaFuCAmWnJMT', 'LB')
('SL22517-2022-11-01-4586','S192-2','Vm', 'MB')
('AC22517-2022-11-01-4694','A261-14','nFRw', 'LB')
('AC22517-2022-11-02-4705','A262-7','WEskS', 'LB')
('SL04652-2022-11-02-4646','S194-14','AeUM', 'UB')
('SL22517-2022-11-02-4631','S193-23','FrDSZrEOyeFz', 'SL')
('SL22517-2022-11-01-4654','S194-22','VbprXi', 'UB')
('SL04652-2022-11-01-4669','S195-13','WcSIrBVFxihE', 'MB')
('SL12058-2022-11-01-4633','S194-1','BaF', 'LB')
('AC04652-2022-11-02-4754','A265-2','YiWOOeRsjYj', 'LB')
('AC04652-2022-11-01-4955','A276-5','HOyyUzjdHgJnQiR', 'SL')
('AC04652-2022-11-01-4956','A276-6','PaYulekO', 'SU')
('AC22517-2022-11-01-4773','A266-3','asWodZUZb', 'UB')
('AC12058-2022-11-01-4761','A265-9','y', 'UB')
('SL04652-2022-11-02-4717','S197-13','nbXqKndpBzCWV', 'MB')
('AC04652-2022-11-01-4962','A276-12','Muug', 'SU')
('AC04652-2022-11-01-4963','A276-13','BdeuO', 'LB')
('AC22517-2022-11-02-4809','A268-3','qDobZy', 'UB')
('AC04652-2022-11-01-4965','A276-15','GERcwS', 'UB')
('AC04652-2022-11-02-4763','A265-11','EjeLAuAbekRnUDa', 'SL')
('AC04652-2022-11-01-4968','A276-18','tYzzJF', 'SU')
('AC04652-2022-11-02-4765','A265-13','H', 'LB')
('AC12058-2022-11-01-4776','A266-6','CeYNGrARKNEPwU', 'SU')
('SL22517-2022-11-02-4660','S195-4','mKrLJ', 'LB')
('AC22517-2022-11-01-4791','A267-3','NuRTqVeEK', 'UB')
('AC22517-2022-11-01-4795','A267-7','ICWCSDTJYXALMUNH', 'LB')
('AC22517-2022-11-01-4797','A267-9','COJAdsmzZRv', 'UB')
('AC04652-2022-11-01-4981','A277-13','nRVOXLEVgZo', 'LB')
('AC04652-2022-11-02-4786','A266-16','sxkwwgYWzkeMGJb', 'UB')
('SL22517-2022-11-02-4682','S196-2','WBd', 'MB')
('SL04652-2022-11-01-4716','S197-12','HmfPTpq', 'LB')
('SL04652-2022-11-02-4752','S198-24','uwputxqDHWlRX', 'SU')
('SL04652-2022-11-02-4753','S199-1','wyspYcsOBbApXrmT', 'LB')
('AC04652-2022-11-01-5001','A278-15','zdaD', 'UB')
('AC12058-2022-11-01-4803','A267-15','iobGzRkRb', 'UB')
('SL04652-2022-11-02-4757','S199-5','IQPcDeKprFM', 'MB')
('AC12058-2022-11-01-4806','A267-18','KNLvCelPr', 'SU')
('AC12058-2022-11-01-4807','A268-1','SX', 'LB')
('AC04652-2022-11-02-4800','A267-12','E', 'SU')
('AC04652-2022-11-01-5011','A279-7','mq', 'LB')
('SL22517-2022-11-02-4700','S196-20','aMeSDzJXGLtR', 'LB')
('SL12058-2022-11-01-4697','S196-17','rcgax', 'LB')
('SL22517-2022-11-01-4719','S197-15','ynrKHdPibAsUqmXd', 'SL')
('SL22517-2022-11-01-4721','S197-17','eZFAFWGZQU', 'LB')
('SL12058-2022-11-01-4699','S196-19','OprEAl', 'UB')
('SL12058-2022-11-01-4700','S196-20','QDWSePuNqFakE', 'LB')
('SL22517-2022-11-01-4724','S197-20','vZVGmmHrXDIAL', 'LB')
('SL04652-2022-11-02-4780','S200-4','gdqxpqooGnc', 'LB')
('AC12058-2022-11-01-4829','A269-5','fqvXfdKefEFYam', 'SL')
('AC22517-2022-11-02-4882','A272-4','cDlhFRuco', 'UB')
('SL22517-2022-11-02-4725','S197-21','TXbEd', 'MB')
('SL22517-2022-11-02-4726','S197-22','bWbKk', 'UB')
('SL04652-2022-11-01-4776','S199-24','JOKrMnlmoiITET', 'SU')
('AC04652-2022-11-01-5054','A281-14','dwPLqSdQEoYTDRJd', 'LB')
('AC04652-2022-11-01-5057','A281-17','hYkTxwHRi', 'SL')
('SL22517-2022-11-02-4740','S198-12','DsZL', 'LB')
('AC22517-2022-11-02-4892','A272-14','bpVNdpQAVivj', 'LB')
('AC22517-2022-11-01-4862','A271-2','mGf', 'LB')
('AC22517-2022-11-02-4893','A272-15','ukirJOJnQdKb', 'UB')
('AC22517-2022-11-01-4867','A271-7','OOMWTKbiUhDlJuy', 'LB')
('SL04652-2022-11-02-4808','S201-8','kEuEYbXVNOZUMS', 'SU')
('AC22517-2022-11-02-4899','A273-3','YmL', 'UB')
('AC04652-2022-11-02-4856','A270-14','WgSP', 'LB')
('SL22517-2022-11-02-4751','S198-23','YgzrgFWOhg', 'SL')
('SL04652-2022-11-01-4798','S200-22','VvhCbZtuuhM', 'UB')
('AC12058-2022-11-01-4865','A271-5','NzNnpUPgrIx', 'SL')
('SL04652-2022-11-02-4820','S201-20','U', 'LB')
('SL22517-2022-11-02-4757','S199-5','qHVxWxbZmXfUAWc', 'MB')
('AC22517-2022-11-02-4910','A273-14','QfwxRtJnoeknhHma', 'LB')
('AC22517-2022-11-02-4911','A273-15','HAfRiIErQSDa', 'UB')
('AC04652-2022-11-02-4875','A271-15','VDWFfAMOfCi', 'UB')
('SL22517-2022-11-02-4771','S199-19','SMr', 'UB')
('SL22517-2022-11-01-4795','S200-19','MBwxRFFZa', 'UB')
('AC12058-2022-11-01-4878','A271-18','osmepUFYzah', 'SU')
('AC22517-2022-11-01-4893','A272-15','lUpXTcpAKRetsi', 'UB')
('SL22517-2022-11-01-4799','S200-23','rYKHH', 'SL')
('SL04652-2022-11-01-4828','S202-4','XvHdvFoUzacRFtWR', 'LB')
('SL22517-2022-11-01-4835','S202-11','Mxnjb', 'UB')
('AC22517-2022-11-01-4928','A274-14','vbd', 'LB')
('AC12058-2022-11-01-4916','A274-2','waHJyZx', 'LB')
('SL22517-2022-11-01-4837','S202-13','hmourNWTE', 'MB')
('SL04652-2022-11-02-4876','S204-4','buyl', 'LB')
('AC04652-2022-11-02-4933','A275-1','aSfPImC', 'LB')
('AC22517-2022-11-02-4972','A277-4','UzZpxAKV', 'UB')
('AC04652-2022-11-02-4947','A275-15','fmNclogHWBt', 'UB')
('AC22517-2022-11-02-4980','A277-12','bfjYgS', 'SU')
('SL04652-2022-11-01-4873','S204-1','UtiowINqyPleoIz', 'LB')
('AC04652-2022-11-01-5157','A287-9','MLWiU', 'UB')
('SL22517-2022-11-02-4849','S203-1','ppmNy', 'LB')
('SL04652-2022-11-02-4891','S204-19','aYzHdSlJBQCF', 'UB')
('AC04652-2022-11-02-4954','A276-4','gFtuW', 'UB')
('SL22517-2022-11-01-4858','S203-10','btAHtDqJWgufoM', 'MB')
('AC12058-2022-11-01-4938','A275-6','zOykU', 'SU')
('SL04652-2022-11-02-4896','S204-24','hVufyi', 'SU')
('SL12058-2022-11-01-4826','S202-2','YcVbaeCkKBU', 'MB')
('AC04652-2022-11-02-4973','A277-5','IIIZNots', 'SL')
('AC04652-2022-11-01-5182','A288-16','UteqhRRGOLvh', 'UB')
('AC12058-2022-11-01-4962','A276-12','sNzkUjd', 'SU')
('AC04652-2022-11-02-5000','A278-14','oUbVbjUPMr', 'LB')
('AC22517-2022-11-02-5027','A280-5','vYiqUyRnZU', 'SL')
('SL04652-2022-11-02-4928','S206-8','bhlYAKUHY', 'SU')
('AC22517-2022-11-02-5028','A280-6','reZrW', 'SU')
('AC22517-2022-11-01-4994','A278-8','oMxxVNJTQSY', 'LB')
('SL12058-2022-11-01-4857','S203-9','jks', 'LB')
('SL04652-2022-11-02-4935','S206-15','EEqFOuvKJnvObJT', 'SL')
('SL22517-2022-11-01-4900','S205-4','UyVWWZqNlwevErxx', 'LB')
('SL22517-2022-11-01-4901','S205-5','Sr', 'MB')
('SL04652-2022-11-01-4928','S206-8','GXW', 'SU')
('AC04652-2022-11-02-5070','A282-12','bysiu', 'SU')
('SL04652-2022-11-02-4988','S208-20','wIiJcua', 'LB')
('AC04652-2022-11-01-5267','A293-11','GledeQW', 'SL')
('AC04652-2022-11-01-5268','A293-12','tyeVHmUZkXvPlmRB', 'SU')
('SL22517-2022-11-01-4957','S207-13','RQJjQsisWxDrHBgI', 'MB')
('AC22517-2022-11-02-5115','A285-3','of', 'UB')
('AC22517-2022-11-02-5117','A285-5','hRPJwpJWeVyeFHW', 'SL')
('AC12058-2022-11-01-5047','A281-7','vlogEBGQ', 'LB')
('SL04652-2022-11-01-4981','S208-13','VdJHfG', 'MB')
('AC22517-2022-11-01-5071','A282-13','S', 'LB')
('AC04652-2022-11-01-5287','A294-13','tSbWO', 'LB')
('SL04652-2022-11-01-4984','S208-16','GCcmqVq', 'SU')
('SL22517-2022-11-01-4973','S208-5','pPrugRQ', 'MB')
('SL22517-2022-11-02-4991','S208-23','zZTbtceab', 'SL')
('SL04652-2022-11-02-5033','S210-17','HaV', 'LB')
('AC12058-2022-11-01-5065','A282-7','rpjuE', 'LB')
('SL22517-2022-11-02-5068','S212-4','obrqairj', 'LB')
('AC22517-2022-11-02-5209','A290-7','rcalwgmsU', 'LB')
('SL12058-2022-11-01-5005','S209-13','RpermQDDp', 'MB')
('AC22517-2022-11-02-5210','A290-8','jJYSDKuBfcrs', 'LB')
('AC04652-2022-11-02-5193','A289-9','uqMSOEePbi', 'UB')
('AC22517-2022-11-02-5213','A290-11','dzeosxD', 'SL')
('SL04652-2022-11-02-5112','S213-24','WkbjApRhTRcCfX', 'SU')
('AC22517-2022-11-02-5215','A290-13','mFGANXUIGYevn', 'LB')
('AC04652-2022-11-02-5203','A290-1','is', 'LB')
('AC22517-2022-11-01-5174','A288-8','drDpTTqdMVM', 'LB')
('AC04652-2022-11-02-5207','A290-5','lmWuRsQYreuRnHsd', 'SL')
('AC22517-2022-11-02-5226','A291-6','GwETPrSZsdb', 'SU')
('SL04652-2022-11-02-5130','S214-18','moFpkELClyxzYK', 'MB')
('SL04652-2022-11-01-5093','S213-5','knyRQzWyHfDjJ', 'MB')
('SL22517-2022-11-02-5098','S213-10','zvloWnUVpWTWI', 'MB')
('AC22517-2022-11-02-5228','A291-8','f', 'LB')
('SL12058-2022-11-01-5031','S210-15','r', 'SL')
('AC04652-2022-11-02-5215','A290-13','VkS', 'LB')
('SL04652-2022-11-01-5101','S213-13','VmwiTfZvnaBSbHFx', 'MB')
('SL04652-2022-11-02-5142','S215-6','tJwBpmXWybWeHg', 'UB')
('AC12058-2022-11-01-5182','A288-16','CnkMGwYLC', 'UB')
('SL12058-2022-11-01-5046','S211-6','o', 'UB')
('AC12058-2022-11-01-5186','A289-2','yTsGXwcu', 'LB')
('AC04652-2022-11-01-5415','A301-15','LpXb', 'UB')
('SL04652-2022-11-02-5153','S215-17','vcsBPrRTgy', 'LB')
('SL12058-2022-11-01-5060','S211-20','mQp', 'LB')
('SL04652-2022-11-01-5125','S214-13','AFkbXWNfjCLWABVh', 'MB')
('SL04652-2022-11-01-5127','S214-15','haWGPeS', 'SL')
('AC22517-2022-11-01-5223','A291-3','pZlcfyXRwbzPARCM', 'UB')
('SL22517-2022-11-01-5112','S213-24','W', 'SU')
('SL12058-2022-11-01-5081','S212-17','gLYFmZwQfIvsk', 'LB')
('AC12058-2022-11-01-5226','A291-6','C', 'SU')
('SL22517-2022-11-02-5155','S215-19','HYlnZY', 'UB')
('SL22517-2022-11-02-5156','S215-20','mwqBDHRjaVSM', 'LB')
('SL04652-2022-11-01-5151','S215-15','BNYRW', 'SL')
('SL04652-2022-11-01-5153','S215-17','DFXB', 'LB')
('AC22517-2022-11-01-5240','A292-2','vBzIMVsqXuquARhx', 'LB')
('SL22517-2022-11-02-5159','S215-23','SE', 'SL')
('AC04652-2022-11-02-5278','A294-4','YbZcgXlSJH', 'UB')
('AC12058-2022-11-01-5238','A291-18','NTFXkcqolJtxM', 'SU')
('SL04652-2022-11-02-5208','S217-24','nPjIWBMPgF', 'SU')
('SL22517-2022-11-01-5141','S215-5','nvD', 'MB')
('AC22517-2022-11-01-5285','A294-11','qyaTNSDTnoS', 'SL')
('SL22517-2022-11-02-5189','S217-5','PZ', 'MB')
('AC22517-2022-11-02-5310','A295-18','LakgohRckcmCGwJU', 'SU')
('SL12058-2022-11-01-5129','S214-17','RluyOb', 'LB')
('SL22517-2022-11-01-5161','S216-1','mhdxW', 'LB')
('SL12058-2022-11-01-5132','S214-20','XG', 'LB')
('SL22517-2022-11-02-5194','S217-10','yTEFWzgE', 'MB')
('AC04652-2022-11-01-5501','A306-11','eTPgGiv', 'SL')
('SL22517-2022-11-02-5200','S217-16','ooHRSPt', 'SU')
('SL22517-2022-11-01-5168','S216-8','rJ', 'SU')
('AC12058-2022-11-01-5280','A294-6','tXfMvchAht', 'SU')
('SL04652-2022-11-02-5241','S219-9','QcGXkAPyuFhU', 'LB')
('AC04652-2022-11-02-5319','A296-9','ojcsWNyN', 'UB')
('AC12058-2022-11-01-5282','A294-8','zLfBVvFFKdvhlw', 'LB')
('AC04652-2022-11-01-5509','A307-1','XvcigCIpp', 'LB')
('SL12058-2022-11-01-5145','S215-9','G', 'LB')
('AC04652-2022-11-01-5513','A307-5','cpfQhIMUs', 'SL')
('SL04652-2022-11-02-5259','S220-3','b', 'UB')
('SL22517-2022-11-01-5190','S217-6','GPUoRu', 'UB')
('AC22517-2022-11-02-5339','A297-11','LLHQGQEqGcxuboGp', 'SL')
('SL22517-2022-11-02-5220','S218-12','qKQeSFXgvrjP', 'LB')
('SL12058-2022-11-01-5169','S216-9','C', 'LB')
('SL12058-2022-11-01-5171','S216-11','seuONWsoNFFZDB', 'UB')
('SL22517-2022-11-01-5195','S217-11','qSmDCtRIRWivHf', 'UB')
('SL04652-2022-11-01-5211','S218-3','lHmiXySGxBbeAF', 'UB')
('AC04652-2022-11-01-5550','A309-6','kSyjEiZKZoIYXiXD', 'SU')
('SL22517-2022-11-02-5245','S219-13','DIHNFVVSFWFma', 'MB')
('AC04652-2022-11-01-5551','A309-7','uCDUwgqbJivWkPr', 'LB')
('AC22517-2022-11-02-5377','A299-13','HSMb', 'LB')
('SL12058-2022-11-01-5249','S219-17','lCAFvJANcA', 'LB')
('SL12058-2022-11-01-5250','S219-18','baeeSSrVooTRHhLf', 'MB')
('SL22517-2022-11-01-5268','S220-12','PKrPLIAYtyuKWXrF', 'LB')
('SL22517-2022-11-02-5301','S221-21','jqQBdHRQ', 'MB')
('AC12058-2022-11-01-5381','A299-17','ddQirkmyObwpW', 'SL')
('SL04652-2022-11-01-5299','S221-19','WuFYXfNqidi', 'UB')
('AC12058-2022-11-01-5382','A299-18','aRNNbYUAYIBgk', 'SU')
('AC22517-2022-11-02-5439','A303-3','OHcczVZX', 'UB')
('AC04652-2022-11-01-5622','A313-6','wGswvYqumk', 'SU')
('SL22517-2022-11-02-5331','S223-3','xhqHUZAMy', 'UB')
('SL12058-2022-11-01-5278','S220-22','tRZzQlxsaQ', 'UB')
('AC04652-2022-11-01-5631','A313-15','lZyqzcvCYVZ', 'UB')
('SL04652-2022-11-02-5359','S224-7','HvBYUNnpiLentT', 'SL')
('AC22517-2022-11-02-5453','A303-17','cRqtHungg', 'SL')
('SL22517-2022-11-01-5296','S221-16','xiBqZPhwuDeHPPOC', 'SU')
('SL04652-2022-11-01-5315','S222-11','cHN', 'UB')
('AC22517-2022-11-02-5462','A304-8','zCPUdelvgaAEa', 'LB')
('AC04652-2022-11-01-5648','A314-14','rhahu', 'LB')
('AC22517-2022-11-02-5470','A304-16','Zm', 'UB')
('SL04652-2022-11-02-5374','S224-22','vmTgt', 'UB')
('SL04652-2022-11-02-5375','S224-23','RqcLHF', 'SL')
('SL22517-2022-11-02-5346','S223-18','NvyxjcTmZAKDqWPD', 'MB')
('SL22517-2022-11-01-5307','S222-3','aHSsIXRqFjpWUV', 'UB')
('AC04652-2022-11-01-5654','A315-2','IDBL', 'LB')
('AC22517-2022-11-01-5442','A303-6','k', 'SU')
('SL04652-2022-11-01-5326','S222-22','PP', 'UB')
('AC22517-2022-11-01-5448','A303-12','qqiGcszRoTAzD', 'SU')
('AC22517-2022-11-01-5455','A304-1','yYMGcNheC', 'LB')
('SL22517-2022-11-02-5362','S224-10','YsqOHjBbIUuIF', 'MB')
('SL04652-2022-11-02-5390','S225-14','lUvWWOFKfme', 'UB')
('SL12058-2022-11-01-5305','S222-1','xuSGkOItqWL', 'LB')
('AC04652-2022-11-01-5665','A315-13','uBbR', 'LB')
('SL04652-2022-11-02-5394','S225-18','quKEnP', 'MB')
('SL04652-2022-11-02-5420','S226-20','VPoZBLnMPIXKn', 'LB')
('AC12058-2022-11-01-5468','A304-14','rQhDPFCynKLAUO', 'LB')
('AC12058-2022-11-01-5469','A304-15','YiCGlkVvgzWB', 'UB')
('AC04652-2022-11-02-5517','A307-9','HsyYtAE', 'UB')
('AC22517-2022-11-02-5538','A308-12','KUtEJHF', 'SU')
('SL22517-2022-11-01-5376','S224-24','iwEbXSxLzppMM', 'SU')
('SL22517-2022-11-01-5377','S225-1','pfz', 'LB')
('SL12058-2022-11-01-5359','S224-7','EoaHffPEkPcWZFgo', 'SL')
('AC12058-2022-11-01-5496','A306-6','scqwYNd', 'SU')
('SL12058-2022-11-01-5362','S224-10','lmeBVtlKrCgYAAS', 'MB')
('AC04652-2022-11-02-5550','A309-6','cqupTihZnv', 'SU')
('AC22517-2022-11-02-5546','A309-2','hyYNQca', 'LB')
('AC22517-2022-11-02-5547','A309-3','E', 'UB')
('AC04652-2022-11-02-5552','A309-8','ccH', 'LB')
('SL22517-2022-11-02-5437','S227-13','d', 'MB')
('AC22517-2022-11-01-5555','A309-11','HLLy', 'SL')
('SL04652-2022-11-02-5522','S231-2','EVFhTUfKOnpiZU', 'MB')
('AC22517-2022-11-02-5597','A311-17','rgSKhpkQib', 'SL')
('SL22517-2022-11-01-5455','S228-7','ncxC', 'SL')
('SL04652-2022-11-01-5477','S229-5','tNMxbjYO', 'MB')
('AC04652-2022-11-02-5620','A313-4','Gn', 'UB')
('SL04652-2022-11-01-5480','S229-8','BrMuDNNYPkq', 'SU')
('SL04652-2022-11-02-5595','S234-3','dWnRCButlqt', 'UB')
('AC22517-2022-11-02-5668','A315-16','sYpestWxPkruX', 'UB')
('AC22517-2022-11-01-5664','A315-12','mNVGXAaDXlfUnn', 'SU')
('SL12058-2022-11-01-5511','S230-15','zKReiefXIFVbmwl', 'SL')
('AC12058-2022-11-01-5655','A315-3','cSOr', 'UB')
('AC12058-2022-11-01-5659','A315-7','RwraJEjTgsfZTHE', 'LB')
('SL22517-2022-11-01-5530','S231-10','mgrNOOfMNq', 'MB')
('SL22517-2022-11-02-5586','S233-18','GziXNoWnAXMy', 'MB')
('AC22517-2022-11-01-5675','A316-5','EHxzvVOwmxeuRoy', 'SL')
('AC22517-2022-11-02-5679','A316-9','hDsQcfXrcECIE', 'UB')
('SL04652-2022-11-01-5556','S232-12','rtzabaX', 'LB')
('AC12058-2022-11-01-5715','A318-9','uMqFbaCSp', 'UB')
('SL04652-2022-11-01-5612','S234-20','UDvBnkv', 'LB')
('AC22517-2022-11-02-5714','A318-8','ajYTfvhHfmcct', 'LB')
('SL04652-2022-11-02-5664','S236-24','VS', 'SU')
('SL04652-2022-11-02-5666','S237-2','SuLEOrWqshnh', 'MB')
('SL04652-2022-11-01-5617','S235-1','vLhnDNF', 'LB')
('AC04652-2022-11-02-5766','A321-6','SUfxXq', 'SU')
('SL12058-2022-11-01-5579','S233-11','jgJjlKsbIN', 'UB')
('AC22517-2022-11-01-5741','A319-17','yYqUMBN', 'SL')
('AC22517-2022-11-02-5740','A319-16','cDSmn', 'UB')
('SL22517-2022-11-01-5619','S235-3','qiCpQWBv', 'UB')
('SL22517-2022-11-01-5626','S235-10','htpekiw', 'MB')
('AC04652-2022-11-01-5972','A332-14','NNwbQQcWTvrXVFW', 'LB')
('AC04652-2022-11-01-5973','A332-15','fM', 'UB')
('AC12058-2022-11-01-5756','A320-14','X', 'LB')
('AC04652-2022-11-01-5975','A332-17','bFUXwmExMtYF', 'SL')
('AC22517-2022-11-01-5794','A322-16','pMRSRHyiapkXEr', 'UB')
('AC12058-2022-11-01-5774','A321-14','gxVLRnB', 'LB')
('AC12058-2022-11-01-5775','A321-15','kNUtIaQmAyJQVoNP', 'UB')
