('SL04652-2022-11-01-4194','S175-18','MtgNXAfqzrogWU', 'MB')
('SL04652-2022-11-01-6103','S255-7','tPjERW', 'SL')
('AC12058-2022-11-01-6224','A346-14','xY', 'LB')
('AC12058-2022-11-01-6225','A346-15','DJNMaek', 'UB')
('AC22517-2022-11-02-6236','A347-8','nuTzHIHMpzJJTe', 'LB')
('SL22517-2022-11-01-6113','S255-17','bAYAbF', 'LB')
('AC22517-2022-11-02-6238','A347-10','vEJstyqwrc', 'UB')
('SL22517-2022-11-01-6120','S255-24','OTijFcOQKoLZorc', 'SU')
('AC22517-2022-11-02-6247','A348-1','UL', 'LB')
('AC22517-2022-11-01-6255','A348-9','uiio', 'UB')
('SL12058-2022-11-01-6050','S253-2','D', 'MB')
('AC04652-2022-11-02-6280','A349-16','JgQZgyUTK', 'UB')
('AC04652-2022-11-02-6281','A349-17','SVhnP', 'SL')
('SL22517-2022-11-02-6223','S260-7','ikBqIMVIpluV', 'SL')
('SL04652-2022-11-01-6160','S257-16','aEmVMvt', 'SU')
('AC04652-2022-11-02-6333','A352-15','kjsusqbIhEYE', 'UB')
('SL22517-2022-11-02-6270','S262-6','mcFQaKi', 'UB')
('SL22517-2022-11-02-6291','S263-3','K', 'UB')
('AC22517-2022-11-01-6346','A353-10','ycLqxfOFs', 'UB')
('SL04652-2022-11-01-6202','S259-10','Gb', 'MB')
('AC04652-2022-11-01-6605','A367-17','fJbtSCAppHPGZy', 'SL')
('AC04652-2022-11-02-6364','A354-10','zNWEFbkgHG', 'UB')
('SL04652-2022-11-01-6244','S261-4','QhslZyHYy', 'LB')
('AC12058-2022-11-01-6376','A355-4','rQpxIOLr', 'UB')
('AC22517-2022-11-01-6389','A355-17','BAHsgecXz', 'SL')
('SL04652-2022-11-01-6289','S263-1','O', 'LB')
('SL22517-2022-11-01-6301','S263-13','kDlFeLTRVPS', 'MB')
('AC04652-2022-11-01-6693','A372-15','ITLUz', 'UB')
('SL22517-2022-11-01-6317','S264-5','CLdXFL', 'MB')
('AC04652-2022-11-01-6745','A375-13','NgHsPjHBZbXuTgj', 'LB')
('SL04652-2022-11-01-6361','S266-1','GAOwxqaMp', 'LB')
('SL04652-2022-11-01-6362','S266-2','LZKNDQwoBgPOEJql', 'MB')
('SL22517-2022-11-02-6426','S268-18','ZbDouzvxlIDO', 'MB')
('SL22517-2022-11-01-6369','S266-9','sgcfEAc', 'LB')
('SL22517-2022-11-01-6370','S266-10','tNaJaJK', 'MB')
('SL22517-2022-11-02-6431','S268-23','AsyYstOvcrHcdhLI', 'SL')
('SL22517-2022-11-01-6375','S266-15','NdDFcbHs', 'SL')
('AC12058-2022-11-01-6466','A360-4','ARlYkifsmd', 'UB')
('AC04652-2022-11-02-6496','A361-16','mWoTJKOUde', 'UB')
('AC04652-2022-11-02-6499','A362-1','GRhlPfSwXMyCzTld', 'LB')
('SL04652-2022-11-01-6373','S266-13','rgerMwMAEa', 'MB')
('AC04652-2022-11-01-6759','A376-9','WCrVSiUhpobxcXQk', 'UB')
('SL12058-2022-11-01-6293','S263-5','aSAJ', 'MB')
('SL22517-2022-11-02-6505','S272-1','xmYyTUAGmrE', 'LB')
('AC22517-2022-11-02-6543','A364-9','NnhuZGvzRomExc', 'UB')
('SL22517-2022-11-02-6531','S273-3','S', 'UB')
('SL22517-2022-11-02-6550','S273-22','AQmC', 'UB')
('AC04652-2022-11-02-6609','A368-3','JexFcKegcaIvR', 'UB')
('AC04652-2022-11-02-6613','A368-7','LRLmYozXjKlPXIU', 'LB')
('SL04652-2022-11-01-6509','S272-5','mERFUmPED', 'MB')
('SL04652-2022-11-02-6570','S274-18','MJtXBATzxoLKkD', 'MB')
('SL22517-2022-11-02-6595','S275-19','IIWqUwsFabTxCn', 'UB')
('AC22517-2022-11-02-6630','A369-6','XIE', 'SU')
('AC22517-2022-11-01-6643','A370-1','fErt', 'LB')
('SL04652-2022-11-01-6552','S273-24','eZNCEnTzQYigQ', 'SU')
('SL12058-2022-11-01-6462','S270-6','nuoK', 'UB')
('SL04652-2022-11-02-6617','S276-17','Y', 'LB')
('SL04652-2022-11-02-6618','S276-18','FriJqpLnnr', 'MB')
('AC22517-2022-11-02-6679','A372-1','aaCUXgm', 'LB')
('SL12058-2022-11-01-6487','S271-7','nLXW', 'SL')
('AC12058-2022-11-01-6686','A372-8','DSPjvuyogBQtNVU', 'LB')
('SL22517-2022-11-02-6707','S280-11','nnipiQSIJOvaac', 'UB')
('AC22517-2022-11-02-6754','A376-4','PF', 'UB')
('AC12058-2022-11-01-6769','A377-1','hdRWKWcdDikoQqm', 'LB')
('SL04652-2022-11-02-6718','S280-22','cOUZz', 'UB')
('AC12058-2022-11-01-6770','A377-2','tmFPg', 'LB')
('SL22517-2022-11-01-6617','S276-17','oMhpwDj', 'LB')
('SL22517-2022-11-01-6618','S276-18','yUYiNSReUJBm', 'MB')
('SL22517-2022-11-02-6725','S281-5','Yzby', 'MB')
('AC04652-2022-11-02-6761','A376-11','MLtJl', 'SL')
('AC22517-2022-11-02-6781','A377-13','PgoVgs', 'LB')
('AC12058-2022-11-01-6777','A377-9','honroSXlDDvb', 'UB')
('SL22517-2022-11-01-6623','S276-23','lqTAAKblw', 'SL')
('AC22517-2022-11-01-6765','A376-15','RCQVhP', 'UB')
('SL04652-2022-11-01-6671','S278-23','WZArADO', 'SL')
('SL04652-2022-11-01-6673','S279-1','pTC', 'LB')
('SL04652-2022-11-01-6675','S279-3','VYcOxgWYuVNs', 'UB')
('SL22517-2022-11-02-6739','S281-19','IMYiCVwZpr', 'UB')
('AC22517-2022-11-02-6797','A378-11','lpXXnSeFzcOSya', 'SL')
('AC12058-2022-11-01-6857','A381-17','mm', 'SL')
('SL04652-2022-11-02-6796','S284-4','cXt', 'LB')
('SL04652-2022-11-02-6797','S284-5','geGDhkRWnAPvZ', 'MB')
('AC22517-2022-11-02-6859','A382-1','Q', 'LB')
('AC22517-2022-11-02-6860','A382-2','ynQLMdDzwQ', 'LB')
('AC04652-2022-11-01-7123','A396-13','aOH', 'LB')
('AC12058-2022-11-01-6891','A383-15','tfmLEbgARLnAXNM', 'UB')
('AC22517-2022-11-02-6887','A383-11','SqhbmiHiuzd', 'SL')
('SL22517-2022-11-01-6720','S280-24','NXV', 'SU')
('AC04652-2022-11-01-7181','A399-17','YjjCByWhziAA', 'SL')
('AC12058-2022-11-01-6939','A386-9','PQGPUVsbHQPYjuig', 'UB')
('AC22517-2022-11-01-6923','A385-11','CoFOLcimEYGquu', 'SL')
('AC04652-2022-11-01-7212','A401-12','uj', 'SU')
('SL22517-2022-11-02-6903','S288-15','sjHcWbBuyXQxV', 'SL')
('SL22517-2022-11-01-6816','S284-24','cSBgolAzZaCtZoUb', 'SU')
('SL04652-2022-11-02-6918','S289-6','mW', 'UB')
('SL22517-2022-11-01-6823','S285-7','jWeFXIcfwQ', 'SL')
('AC22517-2022-11-02-6973','A388-7','SCPGZdGWSqqvcsX', 'LB')
('AC22517-2022-11-01-6958','A387-10','AserVmMQgUpZu', 'UB')
('SL22517-2022-11-02-6919','S289-7','kfBkfJuF', 'SL')
('SL04652-2022-11-01-6911','S288-23','qOteZY', 'SL')
('SL12058-2022-11-01-6773','S283-5','GhNCtXPBTADBxFP', 'MB')
('AC04652-2022-11-02-6966','A387-18','vPdHOJVWTInWW', 'SU')
('AC22517-2022-11-01-6967','A388-1','qhqoQqUldF', 'LB')
('AC12058-2022-11-01-6984','A388-18','cfPftqjvTSDicS', 'SU')
('SL22517-2022-11-02-6935','S289-23','iqJ', 'SL')
('AC04652-2022-11-01-7244','A403-8','JJm', 'LB')
('SL04652-2022-11-02-6955','S290-19','IUCxOfqVYvmR', 'UB')
('SL04652-2022-11-02-6958','S290-22','u', 'UB')
('SL12058-2022-11-01-6803','S284-11','nJgGlsTD', 'UB')
('AC12058-2022-11-01-7012','A390-10','f', 'UB')
('SL22517-2022-11-02-6966','S291-6','bcACEy', 'UB')
('SL04652-2022-11-02-6974','S291-14','tZahcNYoME', 'UB')
('SL22517-2022-11-02-6970','S291-10','mSgAXJA', 'MB')
('AC12058-2022-11-01-7028','A391-8','PHOKlfEdsANxNy', 'LB')
('AC22517-2022-11-01-7006','A390-4','IhUbHd', 'UB')
('AC22517-2022-11-01-7036','A391-16','cSJANnOThhBCbCe', 'UB')
('AC04652-2022-11-01-7345','A409-1','oAoCaeRO', 'LB')
('AC12058-2022-11-01-7085','A394-11','qqvnxbXfak', 'SL')
('SL04652-2022-11-02-7040','S294-8','rnHvyJvY', 'SU')
('SL12058-2022-11-01-6884','S287-20','uSUKO', 'LB')
('AC22517-2022-11-01-7086','A394-12','IEpeAsnEo', 'SU')
('AC04652-2022-11-01-7369','A410-7','WartBNHSKeBODoDX', 'LB')
('AC22517-2022-11-01-7099','A395-7','oJOMlhzTUZLGhe', 'LB')
('SL12058-2022-11-01-6896','S288-8','DrMMadWJiQniTDC', 'SU')
('AC04652-2022-11-02-7100','A395-8','MtnYLzPwzSLzC', 'LB')
('SL22517-2022-11-01-6958','S290-22','WTjTjlTQDZbvwIu', 'UB')
('AC22517-2022-11-02-7123','A396-13','MdiVDtNXGB', 'LB')
('AC22517-2022-11-01-7102','A395-10','Aiuq', 'UB')
('AC04652-2022-11-01-7381','A411-1','XYJLzjuZtqLIR', 'LB')
('AC22517-2022-11-02-7125','A396-15','dUUBMxlWkOs', 'UB')
('SL12058-2022-11-01-6903','S288-15','URfpCer', 'SL')
('SL22517-2022-11-02-7047','S294-15','Xr', 'SL')
('SL12058-2022-11-01-6907','S288-19','yrIlRc', 'UB')
('SL04652-2022-11-02-7075','S295-19','a', 'UB')
('AC22517-2022-11-01-7108','A395-16','tLZN', 'UB')
('AC22517-2022-11-02-7133','A397-5','DJSBvRtwz', 'SL')
('SL22517-2022-11-02-7053','S294-21','zFOFDQUgbxWODX', 'MB')
('AC22517-2022-11-01-7172','A399-8','ij', 'LB')
('AC22517-2022-11-02-7193','A400-11','c', 'SL')
('AC04652-2022-11-01-7441','A414-7','RXnHKYRb', 'LB')
('AC04652-2022-11-02-7158','A398-12','uXeJrCVMpBTdZo', 'SU')
('AC04652-2022-11-01-7451','A414-17','tupSFanjWm', 'SL')
('SL22517-2022-11-02-7158','S299-6','CrOEXRG', 'UB')
('AC04652-2022-11-02-7203','A401-3','VsmrjEbNTV', 'UB')
('SL12058-2022-11-01-7034','S294-2','vNkjFQTU', 'MB')
('SL04652-2022-11-02-7183','S300-7','OuuEJSErstTudr', 'SL')
('AC04652-2022-11-01-7518','A418-12','tffzqSU', 'SU')
('AC12058-2022-11-01-7233','A402-15','zcBqCh', 'UB')
('AC04652-2022-11-02-7225','A402-7','ircnTBVcCS', 'LB')
('SL12058-2022-11-01-7051','S294-19','DiXZ', 'UB')
('AC22517-2022-11-02-7282','A405-10','x', 'UB')
('AC12058-2022-11-01-7295','A406-5','uJkoxePWCAWHo', 'SL')
('SL04652-2022-11-02-7245','S302-21','afEFfaOB', 'MB')
('AC12058-2022-11-01-7299','A406-9','REkeKiZAaghxjPi', 'UB')
('SL04652-2022-11-02-7256','S303-8','yTGLyZgUEznFSTL', 'SU')
('AC04652-2022-11-01-7581','A422-3','O', 'UB')
('AC12058-2022-11-01-7307','A406-17','HEHCzqkbsf', 'SL')
('AC22517-2022-11-02-7342','A408-16','MjCklFeyU', 'UB')
('SL22517-2022-11-02-7269','S303-21','rdTdqmskrRw', 'MB')
('SL12058-2022-11-01-7147','S298-19','LbLNhz', 'UB')
('SL04652-2022-11-01-7285','S304-13','RNPmSlMDMA', 'MB')
('SL12058-2022-11-01-7153','S299-1','dgiRCtalahv', 'LB')
('SL22517-2022-11-01-7214','S301-14','qiQCjPX', 'UB')
('SL22517-2022-11-02-7311','S305-15','fRAgIIHensN', 'SL')
('AC04652-2022-11-01-7640','A425-8','YFQh', 'LB')
('SL22517-2022-11-01-7221','S301-21','qzMoWnNTlkPIFUjI', 'MB')
('AC12058-2022-11-01-7369','A410-7','RjikxgdLBXVHHk', 'LB')
('AC12058-2022-11-01-7370','A410-8','hVJd', 'LB')
('AC22517-2022-11-02-7409','A412-11','AXVSAspFCg', 'SL')
('SL12058-2022-11-01-7165','S299-13','ZtndCZlhTPc', 'MB')
('AC22517-2022-11-02-7453','A415-1','nTgyfCAMPxWgyMT', 'LB')
('SL22517-2022-11-02-7351','S307-7','c', 'SL')
('SL04652-2022-11-01-7335','S306-15','uZPNKNVsaO', 'SL')
('AC22517-2022-11-01-7400','A412-2','EmKgt', 'LB')
('AC04652-2022-11-02-7389','A411-9','KCxbJxCpVXpJk', 'UB')
('SL04652-2022-11-02-7343','S306-23','gOESbxg', 'SL')
('SL22517-2022-11-01-7255','S303-7','lfQzvdxRzvEofN', 'SL')
('SL22517-2022-11-02-7358','S307-14','FezmUfcnQqnQdM', 'UB')
('AC12058-2022-11-01-7424','A413-8','BdEnTKrHeLxAIr', 'LB')
('AC22517-2022-11-02-7484','A416-14','M', 'LB')
('AC12058-2022-11-01-7426','A413-10','gBaBvtyO', 'UB')
('AC12058-2022-11-01-7427','A413-11','OjXxzcwF', 'SL')
('SL04652-2022-11-02-7365','S307-21','XpqGWBDToRioXDq', 'MB')
('SL12058-2022-11-01-7219','S301-19','BX', 'UB')
('AC04652-2022-11-01-7702','A428-16','OjaFp', 'UB')
('SL04652-2022-11-01-7369','S308-1','ZgAkxwPHUp', 'LB')
('SL04652-2022-11-02-7379','S308-11','ujbfowl', 'UB')
('AC04652-2022-11-02-7430','A413-14','RYgIUoFalth', 'LB')
('AC04652-2022-11-02-7431','A413-15','ItgrzzNkIBnii', 'UB')
('SL22517-2022-11-02-7399','S309-7','aVVNZ', 'SL')
('SL22517-2022-11-02-7400','S309-8','YzQMtHd', 'SU')
('AC22517-2022-11-02-7501','A417-13','oILEsXLdGLdCG', 'LB')
('AC12058-2022-11-01-7440','A414-6','hvYDL', 'SU')
('AC04652-2022-11-02-7442','A414-8','t', 'LB')
('SL04652-2022-11-02-7393','S309-1','ONMsjCvTEeNft', 'LB')
('AC12058-2022-11-01-7449','A414-15','MNOPgKrNrcf', 'UB')
('SL04652-2022-11-02-7408','S309-16','pnLrOvnxjXEcTt', 'SU')
('AC04652-2022-11-02-7460','A415-8','yJ', 'LB')
('SL22517-2022-11-01-7322','S306-2','O', 'MB')
('AC04652-2022-11-02-7461','A415-9','WBUnh', 'UB')
('SL04652-2022-11-01-7401','S309-9','anyfQGbkWFycx', 'LB')
('SL04652-2022-11-02-7418','S310-2','BF', 'MB')
('SL12058-2022-11-01-7257','S303-9','eeKTfp', 'LB')
('AC22517-2022-11-02-7536','A419-12','PPhaKgr', 'SU')
('AC04652-2022-11-02-7512','A418-6','JYvUXHz', 'SU')
('SL22517-2022-11-02-7474','S312-10','nxQr', 'MB')
('SL04652-2022-11-01-7450','S311-10','sqfqxGghJqU', 'MB')
('AC22517-2022-11-01-7552','A420-10','d', 'UB')
('SL12058-2022-11-01-7346','S307-2','avOhw', 'MB')
('SL04652-2022-11-01-7502','S313-14','xKbVwm', 'UB')
('SL22517-2022-11-01-7431','S310-15','DqVCZ', 'SL')
('AC22517-2022-11-01-7592','A422-14','ywFmupmRhSN', 'LB')
('SL12058-2022-11-01-7378','S308-10','BgfGZBVjrfjkW', 'MB')
('AC04652-2022-11-02-7595','A422-17','PVGvlHzyByFs', 'SL')
('SL22517-2022-11-01-7444','S311-4','LCfHUa', 'LB')
('SL04652-2022-11-01-7524','S314-12','QEC', 'LB')
('AC04652-2022-11-02-7633','A425-1','heZOxf', 'LB')
('SL04652-2022-11-02-7571','S316-11','xyeqNzxNtOFUD', 'UB')
('SL12058-2022-11-01-7459','S311-19','UYlK', 'UB')
('SL22517-2022-11-02-7624','S318-16','yEzzgx', 'SU')
('SL04652-2022-11-02-7611','S318-3','AmtyDzqW', 'UB')
('SL12058-2022-11-01-7483','S312-19','nGhHsAUfbdtUzB', 'UB')
('AC12058-2022-11-01-7702','A428-16','fxjnYDSHQhD', 'UB')
('AC04652-2022-11-02-7728','A430-6','rzyEGjrsFSF', 'SU')
('AC04652-2022-11-01-7974','A443-18','VCOvFFrDlCgafBGy', 'SU')
('SL04652-2022-11-01-7636','S319-4','LXBKBUFcBgvpxuYH', 'LB')
('AC22517-2022-11-01-7718','A429-14','RMO', 'LB')
('SL22517-2022-11-01-7563','S316-3','itLfTJXIuzUvJu', 'UB')
('AC04652-2022-11-02-7736','A430-14','HiTkYeflg', 'LB')
('AC12058-2022-11-01-7716','A429-12','gTKJTUWbdTeuRc', 'SU')
('SL22517-2022-11-01-7568','S316-8','rkqh', 'SU')
('SL04652-2022-11-02-7668','S320-12','depkEwQpkMsd', 'LB')
('AC22517-2022-11-02-7799','A434-5','R', 'SL')
('SL22517-2022-11-02-7679','S320-23','henjV', 'SL')
('SL12058-2022-11-01-7508','S313-20','ssSWXmjKnHh', 'LB')
('SL22517-2022-11-01-7578','S316-18','mbHZTTJS', 'MB')
('SL04652-2022-11-01-7661','S320-5','wdugOHxGbluUVVwa', 'MB')
('SL22517-2022-11-02-7693','S321-13','EatqmYsxE', 'MB')
('AC22517-2022-11-01-7746','A431-6','OkuvsC', 'SU')
('AC04652-2022-11-01-8003','A445-11','aAArNLrKiR', 'SL')
('SL22517-2022-11-02-7694','S321-14','kxujAdOhu', 'UB')
('AC22517-2022-11-01-7748','A431-8','xtNqqYVLIzIFS', 'LB')
('SL22517-2022-11-01-7595','S317-11','c', 'UB')
('AC04652-2022-11-02-7765','A432-7','EGoVpWUFiVpZ', 'LB')
('SL04652-2022-11-01-7673','S320-17','HkeiJukIkZQIrOb', 'LB')
('SL22517-2022-11-02-7700','S321-20','GqaiDPwVBBaz', 'LB')
('SL22517-2022-11-01-7602','S317-18','mUYDNzbhQU', 'MB')
('SL04652-2022-11-02-7690','S321-10','oiEbeNbEVL', 'MB')
('AC22517-2022-11-02-7832','A436-2','TUfFLCIpuuuoRhO', 'LB')
('SL22517-2022-11-01-7604','S317-20','H', 'LB')
('AC04652-2022-11-02-7779','A433-3','imzLkoSpJ', 'UB')
('AC22517-2022-11-02-7834','A436-4','vLAuFOaJZn', 'UB')
('AC12058-2022-11-01-7749','A431-9','JnYdxaiKhImF', 'UB')
('AC04652-2022-11-01-8020','A446-10','Emntm', 'UB')
('SL04652-2022-11-02-7697','S321-17','VhpdFOqQCGuyJj', 'LB')
('AC04652-2022-11-01-8035','A447-7','IvZFMgZ', 'LB')
('SL12058-2022-11-01-7553','S315-17','sTxHVxjaJNjsSijG', 'LB')
('SL22517-2022-11-02-7713','S322-9','eljlLooTTRP', 'LB')
('SL22517-2022-11-02-7714','S322-10','SSPCqcmpz', 'MB')
('AC04652-2022-11-02-7802','A434-8','koyniLHKcb', 'LB')
('AC22517-2022-11-01-7789','A433-13','pVkdDxUqqOrYdS', 'LB')
('SL22517-2022-11-01-7634','S319-2','mKqQvh', 'MB')
('AC04652-2022-11-02-7807','A434-13','S', 'LB')
('SL22517-2022-11-02-7726','S322-22','KjC', 'UB')
('AC12058-2022-11-01-7781','A433-5','BeXGEAa', 'SL')
('AC22517-2022-11-02-7861','A437-13','PJQVLPVRB', 'LB')
('SL04652-2022-11-02-7728','S322-24','XQwG', 'SU')
('SL22517-2022-11-01-7646','S319-14','Uwagec', 'UB')
('AC22517-2022-11-01-7808','A434-14','jqJSbwFPqIdo', 'LB')
('AC22517-2022-11-02-7873','A438-7','DOwSRVB', 'LB')
('AC04652-2022-11-02-7825','A435-13','iaHMkvtdjjEhaZ', 'LB')
('SL12058-2022-11-01-7582','S316-22','onRN', 'UB')
('SL04652-2022-11-02-7772','S324-20','OWjCSxmXGiBU', 'LB')
('SL04652-2022-11-02-7773','S324-21','sOUVXdpWNyrPcXDR', 'MB')
('SL22517-2022-11-01-7685','S321-5','JLoxgAqO', 'MB')
('SL04652-2022-11-02-7776','S324-24','jPT', 'SU')
('SL22517-2022-11-01-7688','S321-8','KmCjgSJh', 'SU')
('SL04652-2022-11-01-7764','S324-12','gS', 'LB')
('AC04652-2022-11-01-8095','A450-13','aIWHgD', 'LB')
('AC04652-2022-11-01-8096','A450-14','ILmNSpNOXPdBgu', 'LB')
('SL22517-2022-11-01-7690','S321-10','VEjYt', 'MB')
('SL04652-2022-11-01-7768','S324-16','Susv', 'SU')
('SL04652-2022-11-02-7779','S325-3','ChquQ', 'UB')
('AC04652-2022-11-02-7858','A437-10','WLWbpPueogx', 'UB')
('SL04652-2022-11-02-7788','S325-12','tVlfMZZgL', 'LB')
('AC22517-2022-11-02-7919','A440-17','HpncTtrqXDnD', 'SL')
('SL04652-2022-11-02-7790','S325-14','UqZtWpDc', 'UB')
('AC22517-2022-11-02-7921','A441-1','R', 'LB')
('AC22517-2022-11-01-7851','A437-3','FQrjhMQBZSNLgF', 'UB')
('SL22517-2022-11-01-7730','S323-2','bH', 'MB')
('AC22517-2022-11-02-7953','A442-15','XZaiEjeajsBoPerO', 'UB')
('SL22517-2022-11-01-7732','S323-4','aE', 'LB')
('SL22517-2022-11-02-7810','S326-10','FdPHHBNDlPH', 'MB')
('SL04652-2022-11-01-7814','S326-14','ZZiRMJztMQ', 'UB')
('SL12058-2022-11-01-7648','S319-16','HWHUBdGrzIYrFSL', 'SU')
('AC04652-2022-11-01-8156','A454-2','TWW', 'LB')
('SL04652-2022-11-01-7836','S327-12','YHKKK', 'LB')
('SL22517-2022-11-01-7759','S324-7','SwmG', 'SL')
('SL22517-2022-11-02-7830','S327-6','hqotbuJJy', 'UB')
('SL12058-2022-11-01-7705','S322-1','OmKvwcgsni', 'LB')
('SL12058-2022-11-01-7706','S322-2','KpDYtLe', 'MB')
('AC12058-2022-11-01-7941','A442-3','DLyhC', 'UB')
('AC04652-2022-11-02-7951','A442-13','XYzN', 'LB')
('AC04652-2022-11-01-8198','A456-8','ZojK', 'LB')
('AC04652-2022-11-02-7953','A442-15','efqxJCPRnvG', 'UB')
('SL12058-2022-11-01-7711','S322-7','rJSRCyFMuyXPZwUO', 'SL')
('AC22517-2022-11-01-7961','A443-5','VgRnGCFEJFT', 'SL')
('AC04652-2022-11-01-8238','A458-12','zjzgJECInZ', 'SU')
('AC22517-2022-11-01-7969','A443-13','aGfUTtt', 'LB')
('AC12058-2022-11-01-7982','A444-8','FSXPRMUpPyMTO', 'LB')
('AC04652-2022-11-01-8276','A460-14','ArhhOsyKFVjyJI', 'LB')
('SL22517-2022-11-02-7956','S332-12','kyLaQBgCggw', 'LB')
('AC12058-2022-11-01-8029','A447-1','igE', 'LB')
('AC22517-2022-11-02-8087','A450-5','AUAqSbeIpRBvD', 'SL')
('AC22517-2022-11-02-8090','A450-8','JvMQRBPeccnYFxz', 'LB')
('SL04652-2022-11-01-7970','S333-2','ezovsn', 'MB')
('SL22517-2022-11-01-7870','S328-22','cUCqcJZvsJHCT', 'UB')
('SL12058-2022-11-01-7799','S325-23','kbkOJFZdZDy', 'SL')
('SL12058-2022-11-01-7800','S325-24','AFzjLUKKUmBeWmg', 'SU')
('SL04652-2022-11-01-7973','S333-5','MERCRPfQMYnrmvWN', 'MB')
('SL12058-2022-11-01-7804','S326-4','nKizhYQILzouQQea', 'LB')
('AC22517-2022-11-02-8093','A450-11','ZwBBuABRgtDImtE', 'SL')
('SL22517-2022-11-01-7896','S329-24','npiqEIiPatbOv', 'SU')
('AC22517-2022-11-02-8105','A451-5','mukOa', 'SL')
('SL12058-2022-11-01-7821','S326-21','PmIbyEU', 'MB')
('AC12058-2022-11-01-8057','A448-11','Z', 'SL')
('SL04652-2022-11-02-7990','S333-22','AMxBHu', 'UB')
('AC22517-2022-11-02-8108','A451-8','HhQcuOACOSxxL', 'LB')
('AC04652-2022-11-01-8312','A462-14','bKlYPzOVZOerOh', 'LB')
('AC12058-2022-11-01-8136','A452-18','DunhRilVkBdDz', 'SU')
('SL12058-2022-11-01-7927','S331-7','zsfMDT', 'SL')
('SL12058-2022-11-01-7928','S331-8','NUW', 'SU')
('SL22517-2022-11-01-7983','S333-15','BAnZgwtyhZNhE', 'SL')
('AC04652-2022-11-01-8406','A467-18','mPyseYMnKPkR', 'SU')
('SL04652-2022-11-01-8100','S338-12','HvHiWuxyJzMkc', 'LB')
('SL12058-2022-11-01-7936','S331-16','vn', 'SU')
('AC04652-2022-11-02-8185','A455-13','fQ', 'LB')
('SL22517-2022-11-01-8044','S336-4','HvGDEApZLXDzesPE', 'LB')
('AC04652-2022-11-01-8465','A471-5','r', 'SL')
('SL22517-2022-11-02-8133','S339-21','EmblHtsgxyt', 'MB')
('AC22517-2022-11-02-8254','A459-10','IHRHRGGTt', 'UB')
('AC04652-2022-11-01-8467','A471-7','fEWUyobXK', 'LB')
('SL22517-2022-11-02-8135','S339-23','hJrmTvhGWZjF', 'SL')
('AC22517-2022-11-01-8190','A455-18','Xy', 'SU')
('AC22517-2022-11-01-8191','A456-1','llzZslVfPhBmhe', 'LB')
('AC04652-2022-11-01-8478','A471-18','icllAdr', 'SU')
('AC04652-2022-11-02-8254','A459-10','C', 'UB')
('AC22517-2022-11-02-8363','A465-11','jm', 'SL')
('AC22517-2022-11-02-8372','A466-2','RcBFcADBPpAPar', 'LB')
('SL12058-2022-11-01-8094','S338-6','U', 'UB')
('SL04652-2022-11-02-8227','S343-19','YCWcQHN', 'UB')
('SL04652-2022-11-01-8272','S345-16','VxjjaTrgov', 'SU')
('AC12058-2022-11-01-8330','A463-14','CZoYzy', 'LB')
('AC04652-2022-11-02-8366','A465-14','nldaYQKdBmUZ', 'LB')
('AC04652-2022-11-01-8601','A478-15','gcDX', 'UB')
('AC04652-2022-11-01-8603','A478-17','Qnezm', 'SL')
('SL22517-2022-11-01-8214','S343-6','eVZvWMbLiQyGCEH', 'UB')
('AC22517-2022-11-01-8329','A463-13','Os', 'LB')
('SL04652-2022-11-02-8270','S345-14','I', 'UB')
('SL12058-2022-11-01-8125','S339-13','XetweJFsOYiilV', 'MB')
('SL22517-2022-11-01-8218','S343-10','HfozloQr', 'MB')
('AC04652-2022-11-01-8610','A479-6','rNtcyzNdeAE', 'SU')
('SL04652-2022-11-01-8304','S346-24','amNGiqMnJ', 'SU')
('AC22517-2022-11-02-8429','A469-5','PQ', 'SL')
('AC22517-2022-11-01-8339','A464-5','yo', 'SL')
('AC04652-2022-11-01-8623','A480-1','MbRrvqRzRKTj', 'LB')
('SL22517-2022-11-01-8231','S343-23','BVwvpVa', 'SL')
('SL22517-2022-11-01-8235','S344-3','oZOWvBbDD', 'UB')
('AC22517-2022-11-01-8352','A464-18','SyTihtjFrrI', 'SU')
('AC04652-2022-11-01-8632','A480-10','ABz', 'UB')
('AC22517-2022-11-01-8355','A465-3','PlK', 'UB')
('AC04652-2022-11-02-8451','A470-9','bgkcddkb', 'UB')
('SL04652-2022-11-02-8344','S348-16','BNuaQpTCUVdGI', 'SU')
('SL12058-2022-11-01-8191','S342-7','htnqHmEEQMaJT', 'SL')
('AC22517-2022-11-02-8491','A472-13','VXZbdgC', 'LB')
('AC22517-2022-11-02-8495','A472-17','GTdsOkPxNeBTwZ', 'SL')
('AC22517-2022-11-01-8406','A467-18','OPwrLJPaMRzF', 'SU')
('AC22517-2022-11-02-8500','A473-4','xilwj', 'UB')
('SL04652-2022-11-01-8363','S349-11','WWTCi', 'UB')
('AC22517-2022-11-01-8437','A469-13','FhJQpRJVIHUU', 'LB')
('SL04652-2022-11-01-8394','S350-18','tVPGSWGsGpcjMXsy', 'MB')
('AC04652-2022-11-02-8496','A472-18','GvoAxmzlNl', 'SU')
('AC12058-2022-11-01-8467','A471-7','VowAcTmFWQ', 'LB')
('SL04652-2022-11-01-8432','S352-8','JS', 'SU')
('AC22517-2022-11-01-8476','A471-16','SCDBY', 'UB')
('AC04652-2022-11-01-8742','A486-12','WMiGcVqNccPn', 'SU')
