('AC04652-2022-11-02-25','A2-7','LhDI', 'LB')
('SL22517-2022-11-01-982','S41-22','VFwWoTCCkNFzeF', 'UB')
('AC12058-2022-11-01-971','A54-17','OOePlhhIGn', 'SL')
('SL22517-2022-11-01-984','S41-24','SALxCUNgtARaSG', 'SU')
('SL22517-2022-11-02-1010','S43-2','KLM', 'MB')
('SL12058-2022-11-01-1002','S42-18','nBg', 'MB')
('AC12058-2022-11-01-974','A55-2','XuzAxByqGAFN', 'LB')
('AC04652-2022-11-02-962','A54-8','wPeEeXjmsY', 'LB')
('AC04652-2022-11-02-963','A54-9','g', 'UB')
('AC22517-2022-11-01-954','A53-18','Jbqq', 'SU')
('SL04652-2022-11-02-933','S39-21','uoWHcGcDInVWq', 'MB')
('AC22517-2022-11-02-1058','A59-14','v', 'LB')
('SL04652-2022-11-01-1006','S42-22','BjYoLvd', 'UB')
('SL04652-2022-11-01-1009','S43-1','bWRX', 'LB')
('SL04652-2022-11-01-1010','S43-2','MYfhekLeWuDR', 'MB')
('SL04652-2022-11-02-959','S40-23','gXwXNWV', 'SL')
('AC04652-2022-11-01-1028','A58-2','cq', 'LB')
('AC04652-2022-11-01-1029','A58-3','qpdudplqmtSu', 'UB')
('SL12058-2022-11-01-1039','S44-7','HAasEiwEVTFHudXc', 'SL')
('AC12058-2022-11-01-1010','A57-2','yOYijolhgZloJZ', 'LB')
('AC22517-2022-11-01-998','A56-8','MCVrTIkIzEa', 'LB')
('AC12058-2022-11-01-1015','A57-7','QU', 'LB')
('SL12058-2022-11-01-1042','S44-10','CWwUDOT', 'MB')
('SL22517-2022-11-02-1070','S45-14','SCVAZ', 'UB')
('SL22517-2022-11-02-1071','S45-15','DUsmvSSezDTYP', 'SL')
('SL22517-2022-11-01-1043','S44-11','UoasmiT', 'UB')
('SL04652-2022-11-02-982','S41-22','IYIOmRJVugEDPTSv', 'UB')
('SL04652-2022-11-02-983','S41-23','tDGnqtYFepjVw', 'SL')
('AC12058-2022-11-01-1026','A57-18','ZGUWL', 'SU')
('AC22517-2022-11-02-1079','A60-17','FUEgLAFjrfb', 'SL')
('SL22517-2022-11-02-1087','S46-7','rfZWFgPBkYxA', 'SL')
('SL22517-2022-11-01-1048','S44-16','wywSFqMPrrb', 'SU')
('SL12058-2022-11-01-1052','S44-20','rlDXnyQK', 'LB')
('AC04652-2022-11-02-1025','A57-17','FD', 'SL')
('AC22517-2022-11-02-1083','A61-3','FLVdRWfV', 'UB')
('SL04652-2022-11-02-994','S42-10','GmaJYyITWubauMz', 'MB')
('AC04652-2022-11-01-1056','A59-12','ixIGCmD', 'SU')
('AC22517-2022-11-01-1023','A57-15','YaUJn', 'UB')
('AC22517-2022-11-01-1024','A57-16','ymStsUCpFIg', 'UB')
('SL22517-2022-11-01-1056','S44-24','I', 'SU')
('AC04652-2022-11-01-1066','A60-4','nUATrzchb', 'UB')
('SL22517-2022-11-02-1098','S46-18','txhqgAXZRCrJLYT', 'MB')
('SL12058-2022-11-01-1062','S45-6','jfkvEKWnoFVK', 'UB')
('SL04652-2022-11-02-1011','S43-3','UbyYrd', 'UB')
('AC04652-2022-11-02-1040','A58-14','XQkI', 'LB')
('AC22517-2022-11-01-1031','A58-5','ImumTsbmUcS', 'SL')
('AC04652-2022-11-02-1041','A58-15','PrdNtytLCucJ', 'UB')
('AC12058-2022-11-01-1048','A59-4','xB', 'UB')
('SL12058-2022-11-01-1068','S45-12','KhJFGdTkOJ', 'LB')
('SL12058-2022-11-01-1069','S45-13','sUzrziOiS', 'MB')
('AC22517-2022-11-01-1042','A58-16','xAyuDlkoQobeFfqz', 'UB')
('AC12058-2022-11-01-1057','A59-13','AHywekfB', 'LB')
('SL12058-2022-11-01-1071','S45-15','OpdV', 'SL')
('AC22517-2022-11-01-1085','A61-5','sUCN', 'SL')
('SL04652-2022-11-02-1064','S45-8','wcyOrqRfjudniglv', 'SU')
('AC04652-2022-11-02-1077','A60-15','C', 'UB')
('SL12058-2022-11-01-1098','S46-18','DAsTPkTj', 'MB')
('AC04652-2022-11-02-1081','A61-1','OdZETFDhpEKuPCJJ', 'LB')
('SL22517-2022-11-01-1110','S47-6','WVzqRFBsxByX', 'UB')
('SL22517-2022-11-01-1113','S47-9','EhCxOihpjLxe', 'LB')
('AC22517-2022-11-02-1136','A64-2','ThRGOQSe', 'LB')
('SL22517-2022-11-01-1115','S47-11','nSPVYi', 'UB')
('SL04652-2022-11-01-1109','S47-5','hzdLshBnOhUMYxw', 'MB')
('SL22517-2022-11-02-1150','S48-22','LPQePsTCAbTHDxA', 'UB')
('AC12058-2022-11-01-1102','A62-4','upXrBpQoTBitP', 'UB')
('AC12058-2022-11-01-1103','A62-5','K', 'SL')
('SL04652-2022-11-02-1081','S46-1','pkaCJYRhWsg', 'LB')
('AC04652-2022-11-02-1094','A61-14','BDL', 'LB')
('AC04652-2022-11-01-1130','A63-14','skrUHEJgxfVW', 'LB')
('AC04652-2022-11-01-1132','A63-16','NfaLk', 'UB')
('AC22517-2022-11-02-1142','A64-8','VvHZteiPBwZ', 'LB')
('AC22517-2022-11-01-1099','A62-1','ZeijfYHe', 'LB')
('AC22517-2022-11-02-1144','A64-10','YC', 'UB')
('SL04652-2022-11-01-1121','S47-17','Dk', 'LB')
('AC04652-2022-11-01-1136','A64-2','YpkIkROydDpT', 'LB')
('AC04652-2022-11-01-1137','A64-3','NwGrkwaugsN', 'UB')
('SL04652-2022-11-01-1123','S47-19','VanX', 'UB')
('AC22517-2022-11-02-1150','A64-16','snLo', 'UB')
('AC12058-2022-11-01-1116','A62-18','UOsiQyT', 'SU')
('AC12058-2022-11-01-1117','A63-1','JAoGi', 'LB')
('SL12058-2022-11-01-1148','S48-20','PYppzyXuZ', 'LB')
('AC22517-2022-11-01-1147','A64-13','qeAu', 'LB')
('SL22517-2022-11-01-1173','S49-21','TvoiuuJKHx', 'MB')
('AC12058-2022-11-01-1159','A65-7','nJLeXoyCYrEVDmS', 'LB')
('SL04652-2022-11-02-1140','S48-12','SrodTXriXAr', 'LB')
('AC04652-2022-11-01-1191','A67-3','gERBieTeWBPzZ', 'UB')
('AC04652-2022-11-01-1192','A67-4','DcciUIU', 'UB')
('SL12058-2022-11-01-1159','S49-7','AqkYuzVFsGSt', 'SL')
('SL12058-2022-11-01-1160','S49-8','RyIFBMFfVzTopqC', 'SU')
('AC04652-2022-11-01-1199','A67-11','lNPShrhzRleM', 'SL')
('SL22517-2022-11-02-1218','S51-18','kIjgFJrALtP', 'MB')
('AC04652-2022-11-02-1162','A65-10','WMfyHwh', 'UB')
('SL12058-2022-11-01-1174','S49-22','OPqmyjMEA', 'UB')
('AC04652-2022-11-02-1165','A65-13','ZQdzLLAv', 'LB')
('AC04652-2022-11-02-1166','A65-14','pTXgPALojLwP', 'LB')
('AC12058-2022-11-01-1173','A66-3','ydKLDlsmU', 'UB')
('SL04652-2022-11-02-1182','S50-6','JOifvjBtoYNFa', 'UB')
('AC04652-2022-11-01-1229','A69-5','EoRixiUNYkY', 'SL')
('SL22517-2022-11-02-1243','S52-19','oSExIvoStS', 'UB')
('AC04652-2022-11-02-1196','A67-8','IiuuMQT', 'LB')
('SL22517-2022-11-01-1226','S52-2','bDevMuIiybU', 'MB')
('AC04652-2022-11-02-1202','A67-14','tYNrIkMuXllCUdZE', 'LB')
('SL04652-2022-11-01-1220','S51-20','PUhfWioY', 'LB')
('SL12058-2022-11-01-1205','S51-5','zLDdtgCVzzK', 'MB')
('SL04652-2022-11-02-1195','S50-19','yaKiDx', 'UB')
('SL12058-2022-11-01-1208','S51-8','RcJOtO', 'SU')
('AC04652-2022-11-02-1207','A68-1','qAHhzyQWDbj', 'LB')
('AC12058-2022-11-01-1215','A68-9','lNUUv', 'UB')
('SL04652-2022-11-01-1225','S52-1','XTF', 'LB')
('AC04652-2022-11-01-1250','A70-8','jCtlD', 'LB')
('AC04652-2022-11-02-1210','A68-4','XzWDQNnyFteg', 'UB')
('SL04652-2022-11-02-1200','S50-24','zv', 'SU')
('AC04652-2022-11-02-1213','A68-7','W', 'LB')
('SL22517-2022-11-01-1244','S52-20','xrgkJ', 'LB')
('SL04652-2022-11-02-1201','S51-1','sZWfNxHzwn', 'LB')
('SL04652-2022-11-01-1234','S52-10','OgPKrVmtKeKoPcGa', 'MB')
('SL12058-2022-11-01-1217','S51-17','XrfboGwB', 'LB')
('SL12058-2022-11-01-1218','S51-18','bDCZqN', 'MB')
('SL12058-2022-11-01-1219','S51-19','NdAmzFQubJ', 'UB')
('SL22517-2022-11-02-1268','S53-20','VwArFhNxbbzI', 'LB')
('AC04652-2022-11-02-1217','A68-11','tuTyJSdzQLRZiZuF', 'SL')
('SL22517-2022-11-02-1270','S53-22','OFgwSPTP', 'UB')
('SL04652-2022-11-01-1238','S52-14','SJaBGxjWRI', 'UB')
('AC04652-2022-11-02-1228','A69-4','ttXqPlHJiizNgvsF', 'UB')
('SL22517-2022-11-01-1264','S53-16','LIwGnEnapEfXDd', 'SU')
('SL04652-2022-11-02-1227','S52-3','eRRhBNCNppu', 'UB')
('AC04652-2022-11-02-1238','A69-14','eTdHoJMMRu', 'LB')
('SL04652-2022-11-02-1230','S52-6','LkGmYJJ', 'UB')
('AC22517-2022-11-02-1283','A72-5','FLAdKJ', 'SL')
('AC22517-2022-11-02-1286','A72-8','vejetCZWMaRUujw', 'LB')
('SL04652-2022-11-01-1267','S53-19','dR', 'UB')
('AC22517-2022-11-01-1229','A69-5','QonRB', 'SL')
('SL22517-2022-11-02-1298','S55-2','DZIWq', 'MB')
('AC22517-2022-11-01-1258','A70-16','juzw', 'UB')
('AC04652-2022-11-01-1302','A73-6','umPVohKRzZzTnx', 'SU')
('SL04652-2022-11-02-1264','S53-16','ATiJNvHRAGT', 'SU')
('AC22517-2022-11-01-1260','A70-18','jxZDUcpO', 'SU')
('AC04652-2022-11-01-1308','A73-12','VGPqzaFcrxz', 'SU')
('AC04652-2022-11-02-1272','A71-12','yifjceXRIzN', 'SU')
('AC12058-2022-11-01-1293','A72-15','HGrr', 'UB')
('AC04652-2022-11-01-1322','A74-8','tfZSzpzClmGnbDZ', 'LB')
('SL04652-2022-11-01-1307','S55-11','NREturbVy', 'UB')
('AC22517-2022-11-01-1276','A71-16','eoOfqpbppWqTkbhI', 'UB')
('SL12058-2022-11-01-1286','S54-14','YFIyxdLVQseaM', 'UB')
('SL22517-2022-11-01-1302','S55-6','CecXbNHCLdTs', 'UB')
('SL12058-2022-11-01-1289','S54-17','PdKNMyQnovFPeg', 'LB')
('SL22517-2022-11-01-1305','S55-9','fVzvqnI', 'LB')
('AC22517-2022-11-02-1343','A75-11','pOknv', 'SL')
('AC04652-2022-11-01-1332','A74-18','NebpFdynkQxe', 'SU')
('SL04652-2022-11-02-1290','S54-18','fKniZcJjgzADaYyN', 'MB')
('AC04652-2022-11-02-1295','A72-17','lTJAxMdBga', 'SL')
('SL04652-2022-11-02-1296','S54-24','XnOPBWwa', 'SU')
('AC22517-2022-11-01-1292','A72-14','qMEfWygvPArdrgGW', 'LB')
('AC04652-2022-11-02-1300','A73-4','i', 'UB')
('SL22517-2022-11-01-1321','S56-1','jhjNwPwEMPfVwv', 'LB')
('AC12058-2022-11-01-1333','A75-1','dsJjSJNGJKFoGioX', 'LB')
('SL22517-2022-11-02-1362','S57-18','fbrcylMIbZgwT', 'MB')
('SL04652-2022-11-01-1329','S56-9','VWYVPrjpszYHF', 'LB')
('AC04652-2022-11-02-1310','A73-14','zeSvNVN', 'LB')
('AC22517-2022-11-01-1303','A73-7','bLvPatJOhaXNSgu', 'LB')
('AC22517-2022-11-01-1305','A73-9','TiCPaxsy', 'UB')
('AC12058-2022-11-01-1340','A75-8','OTpX', 'LB')
('AC04652-2022-11-01-1345','A75-13','xHSCYCvTJLvM', 'LB')
('SL22517-2022-11-01-1330','S56-10','sqgBu', 'MB')
('SL04652-2022-11-02-1310','S55-14','ytmDQHlTYRP', 'UB')
('AC22517-2022-11-02-1364','A76-14','B', 'LB')
('AC04652-2022-11-02-1320','A74-6','SChWoIMQYcyA', 'SU')
('AC04652-2022-11-02-1321','A74-7','EWURQgZ', 'LB')
('AC04652-2022-11-02-1322','A74-8','WiPmMVaCxjpakoMe', 'LB')
('SL12058-2022-11-01-1312','S55-16','VTDXqjfinsxq', 'SU')
('AC04652-2022-11-01-1352','A76-2','hRrWthOb', 'LB')
('AC22517-2022-11-02-1366','A76-16','QiykVECSkpmLG', 'UB')
('SL22517-2022-11-02-1375','S58-7','QEYNuAe', 'SL')
('AC22517-2022-11-01-1314','A73-18','nXCscuBD', 'SU')
('SL22517-2022-11-01-1340','S56-20','lTsP', 'LB')
('SL04652-2022-11-01-1346','S57-2','ooapnoRgNEl', 'MB')
('SL22517-2022-11-02-1380','S58-12','KagXPcYM', 'LB')
('SL12058-2022-11-01-1317','S55-21','EyUErnXWQEnzkH', 'MB')
('AC04652-2022-11-01-1361','A76-11','ULdSya', 'SL')
('SL22517-2022-11-02-1384','S58-16','JNrVPJryJQCtM', 'SU')
('AC22517-2022-11-01-1322','A74-8','Dum', 'LB')
('AC12058-2022-11-01-1352','A76-2','yhwmNepkv', 'LB')
('AC04652-2022-11-01-1371','A77-3','BGiCKhB', 'UB')
('AC22517-2022-11-02-1384','A77-16','FXOrCgT', 'UB')
('SL04652-2022-11-02-1333','S56-13','NNimOa', 'MB')
('SL12058-2022-11-01-1333','S56-13','SsViYsF', 'MB')
('SL22517-2022-11-01-1350','S57-6','aYtLvTYq', 'UB')
('AC22517-2022-11-02-1386','A77-18','LwKHPjXSrs', 'SU')
('AC22517-2022-11-02-1387','A78-1','XgSpysmMhQpJtE', 'LB')
('SL22517-2022-11-01-1352','S57-8','sCEYERyLebxTvNPL', 'SU')
('AC04652-2022-11-02-1343','A75-11','aVgJHfL', 'SL')
('SL12058-2022-11-01-1343','S56-23','GIaKTtGdsJdVA', 'SL')
('AC12058-2022-11-01-1367','A76-17','hgpTMa', 'SL')
('AC12058-2022-11-01-1370','A77-2','ybkUZu', 'LB')
('AC04652-2022-11-01-1385','A77-17','QEUkSkYLundJkq', 'SL')
('SL04652-2022-11-01-1365','S57-21','qRzPIPgsYWlZWmH', 'MB')
('SL22517-2022-11-01-1364','S57-20','ctwS', 'LB')
('SL22517-2022-11-02-1400','S59-8','tEjpOcUbafj', 'SU')
('AC12058-2022-11-01-1374','A77-6','lwezOOveTOmpwleV', 'SU')
('AC22517-2022-11-01-1345','A75-13','EGDMZkctMsUbxODI', 'LB')
('SL04652-2022-11-01-1370','S58-2','AWrZwFLdf', 'MB')
('SL22517-2022-11-02-1402','S59-10','teTHEDBMGaTtd', 'MB')
('AC12058-2022-11-01-1376','A77-8','Klm', 'LB')
('SL22517-2022-11-02-1404','S59-12','tQPTTKMsn', 'LB')
('SL12058-2022-11-01-1351','S57-7','zwp', 'SL')
('SL04652-2022-11-02-1351','S57-7','PHLOVl', 'SL')
('AC12058-2022-11-01-1382','A77-14','rKDNVDDlEoUNrXt', 'LB')
('AC04652-2022-11-02-1360','A76-10','cyhKMsYoshqBJoAO', 'UB')
('SL12058-2022-11-01-1356','S57-12','VeFGIyh', 'LB')
('SL04652-2022-11-02-1354','S57-10','iGF', 'MB')
('SL04652-2022-11-02-1355','S57-11','QwCDyaSqzmCpQR', 'UB')
('SL22517-2022-11-01-1373','S58-5','LW', 'MB')
('SL12058-2022-11-01-1361','S57-17','wGftdfC', 'LB')
('AC22517-2022-11-01-1360','A76-10','BzZpcISnsgdojWE', 'UB')
('SL22517-2022-11-02-1413','S59-21','OstQkR', 'MB')
('AC22517-2022-11-01-1362','A76-12','UncGoHVyKkPYdGLN', 'SU')
('SL04652-2022-11-02-1361','S57-17','WJezRax', 'LB')
('AC22517-2022-11-02-1413','A79-9','Q', 'UB')
('AC04652-2022-11-02-1367','A76-17','FprVkCS', 'SL')
('SL04652-2022-11-02-1362','S57-18','CUZ', 'MB')
('SL12058-2022-11-01-1369','S58-1','QJtRZTEgi', 'LB')
('SL04652-2022-11-01-1386','S58-18','ujn', 'MB')
('SL04652-2022-11-01-1393','S59-1','aNtDB', 'LB')
('AC22517-2022-11-02-1421','A79-17','Bc', 'SL')
('AC04652-2022-11-01-1419','A79-15','ypxwUsVq', 'UB')
('SL12058-2022-11-01-1381','S58-13','pZTSF', 'MB')
('SL04652-2022-11-01-1401','S59-9','rYkXqqaDcerictft', 'LB')
('SL12058-2022-11-01-1385','S58-17','NvHedTrKcLYcAsp', 'LB')
('SL04652-2022-11-01-1403','S59-11','i', 'UB')
('SL22517-2022-11-01-1401','S59-9','tIhgIqCxpKyb', 'LB')
('AC12058-2022-11-01-1422','A79-18','MHy', 'SU')
('SL22517-2022-11-01-1405','S59-13','TgJBRcydWKZNPibV', 'MB')
('SL04652-2022-11-02-1389','S58-21','uGbxfqIdVzH', 'MB')
('SL04652-2022-11-02-1390','S58-22','IrBpq', 'UB')
('AC22517-2022-11-02-1447','A81-7','RQrWkRYwSAosQCt', 'LB')
('SL12058-2022-11-01-1393','S59-1','FFYbXpJ', 'LB')
('SL12058-2022-11-01-1394','S59-2','LtXsNbJAm', 'MB')
('SL12058-2022-11-01-1395','S59-3','WQsWS', 'UB')
('SL04652-2022-11-02-1395','S59-3','liipzV', 'UB')
('SL22517-2022-11-01-1410','S59-18','IUcWQzK', 'MB')
('SL22517-2022-11-01-1411','S59-19','LqhlWZhjHJropUp', 'UB')
('SL04652-2022-11-02-1397','S59-5','liTkwE', 'MB')
('SL04652-2022-11-02-1398','S59-6','YFTLWDc', 'UB')
('AC22517-2022-11-01-1410','A79-6','n', 'SU')
('SL04652-2022-11-02-1400','S59-8','rJkhgiEPoYWqjswf', 'SU')
('SL12058-2022-11-01-1398','S59-6','MWOui', 'UB')
('AC22517-2022-11-02-1459','A82-1','GrotW', 'LB')
('SL04652-2022-11-01-1433','S60-17','DiZRZSKkzwhB', 'LB')
('SL04652-2022-11-02-1405','S59-13','NKnfQpLycJZIaEvL', 'MB')
('SL12058-2022-11-01-1428','S60-12','doHoHjGkorEqnht', 'LB')
('SL22517-2022-11-02-1488','S62-24','cvBKbZh', 'SU')
('AC04652-2022-11-02-1420','A79-16','hUPsmyHDzb', 'UB')
('AC04652-2022-11-01-1480','A83-4','AsLgYUhzVw', 'UB')
('AC12058-2022-11-01-1470','A82-12','FxEbXrzrq', 'SU')
('SL22517-2022-11-01-1446','S61-6','cEqxTNHw', 'UB')
('AC04652-2022-11-01-1487','A83-11','VWiDYQbfAX', 'SL')
('SL22517-2022-11-02-1496','S63-8','WlNpbFWutl', 'SU')
('SL22517-2022-11-02-1497','S63-9','xNytHsEoaPF', 'LB')
('AC04652-2022-11-01-1508','A84-14','esTNgQSLznKz', 'LB')
('SL22517-2022-11-01-1471','S62-7','EsGsueYj', 'SL')
('AC04652-2022-11-02-1450','A81-10','yWQDu', 'UB')
('AC22517-2022-11-02-1523','A85-11','jd', 'SL')
('SL22517-2022-11-02-1535','S64-23','OSEHwe', 'SL')
('AC12058-2022-11-01-1499','A84-5','vmbezyfQKldP', 'SL')
('SL22517-2022-11-02-1536','S64-24','ZhxUM', 'SU')
('AC04652-2022-11-02-1453','A81-13','hUjExodVvt', 'LB')
('AC22517-2022-11-01-1458','A81-18','kKcaXKk', 'SU')
('SL12058-2022-11-01-1458','S61-18','TW', 'MB')
('SL22517-2022-11-02-1540','S65-4','pCXeOkVUZritIIrO', 'LB')
('AC04652-2022-11-02-1457','A81-17','SylE', 'SL')
('SL04652-2022-11-01-1505','S63-17','GFWNhjaRXNLtXNga', 'LB')
('SL12058-2022-11-01-1460','S61-20','SNF', 'LB')
('SL04652-2022-11-02-1473','S62-9','sRfucDCBa', 'LB')
('SL04652-2022-11-02-1477','S62-13','xK', 'MB')
('SL04652-2022-11-01-1511','S63-23','XfPpCmPgOinzON', 'SL')
('SL04652-2022-11-01-1512','S63-24','f', 'SU')
('AC04652-2022-11-01-1523','A85-11','N', 'SL')
('AC04652-2022-11-01-1524','A85-12','scMIumevTF', 'SU')
('AC22517-2022-11-02-1546','A86-16','Ob', 'UB')
('SL12058-2022-11-01-1487','S62-23','GLAI', 'SL')
('AC12058-2022-11-01-1527','A85-15','rWVUbwjf', 'UB')
('AC22517-2022-11-02-1604','A90-2','TKWGVUb', 'LB')
('SL22517-2022-11-02-1614','S68-6','IGFfLdXOdxrx', 'UB')
('SL04652-2022-11-02-1551','S65-15','kj', 'SL')
('SL22517-2022-11-01-1565','S66-5','p', 'MB')
('SL22517-2022-11-02-1619','S68-11','WjRty', 'UB')
('AC04652-2022-11-01-1604','A90-2','fL', 'LB')
('SL12058-2022-11-01-1557','S65-21','DwiNG', 'MB')
('SL22517-2022-11-01-1574','S66-14','yJnqpNoUKl', 'UB')
('SL04652-2022-11-02-1563','S66-3','lAzgwAJ', 'UB')
('SL04652-2022-11-01-1590','S67-6','HZQjXLmAS', 'UB')
('SL04652-2022-11-01-1592','S67-8','yuuUSUunnhgy', 'SU')
('SL22517-2022-11-01-1582','S66-22','oJfvXJYitpQ', 'UB')
('SL22517-2022-11-01-1583','S66-23','ojQIzmwiFSSZFJ', 'SL')
('SL04652-2022-11-01-1595','S67-11','YqFbf', 'UB')
('AC12058-2022-11-01-1602','A89-18','wbaUHVq', 'SU')
('SL04652-2022-11-01-1598','S67-14','uG', 'UB')
('SL12058-2022-11-01-1572','S66-12','jPDLn', 'LB')
('AC04652-2022-11-01-1623','A91-3','KJwuVnL', 'UB')
('AC22517-2022-11-02-1623','A91-3','LMKMZl', 'UB')
('SL04652-2022-11-01-1603','S67-19','tBXxxwAd', 'UB')
('AC12058-2022-11-01-1626','A91-6','hJqtilEM', 'SU')
('SL12058-2022-11-01-1614','S68-6','avLViOz', 'UB')
('SL04652-2022-11-01-1635','S69-3','gsmRzgz', 'UB')
('AC12058-2022-11-01-1636','A91-16','IsZhjZSouyERBgNr', 'UB')
('AC04652-2022-11-02-1573','A88-7','aloyKHyiPTj', 'LB')
('AC04652-2022-11-01-1666','A93-10','GWRMZanECzkjMijB', 'UB')
('AC22517-2022-11-01-1583','A88-17','MESo', 'SL')
('AC04652-2022-11-01-1670','A93-14','YZNEZotKokIV', 'LB')
('AC04652-2022-11-01-1671','A93-15','ars', 'UB')
('AC12058-2022-11-01-1644','A92-6','KnDGIVjU', 'SU')
('SL22517-2022-11-01-1639','S69-7','ONWtIFRTWEznE', 'SL')
('AC22517-2022-11-02-1664','A93-8','mkAV', 'LB')
('SL22517-2022-11-01-1640','S69-8','JmhVosjqwe', 'SU')
('AC04652-2022-11-02-1582','A88-16','dpHSgMHsRIox', 'UB')
('SL04652-2022-11-02-1614','S68-6','GgVBSdbavZUHLcCR', 'UB')
('AC22517-2022-11-02-1692','A94-18','RCHxqKyutIAijp', 'SU')
('AC04652-2022-11-01-1699','A95-7','DHDPEiocLAFqh', 'LB')
('AC04652-2022-11-01-1700','A95-8','MwXUEyE', 'LB')
('AC04652-2022-11-01-1707','A95-15','nHbmlzYOwp', 'UB')
('AC12058-2022-11-01-1677','A94-3','jpXnuXuWdyryjw', 'UB')
('AC22517-2022-11-01-1618','A90-16','XRqvnwUNgxlcGvj', 'UB')
('SL04652-2022-11-02-1645','S69-13','hsWOfAe', 'MB')
('AC22517-2022-11-02-1708','A95-16','vMzrJaxEgAtybwjF', 'UB')
('SL04652-2022-11-01-1674','S70-18','XTRbvys', 'MB')
('AC22517-2022-11-01-1622','A91-2','RekDU', 'LB')
('SL04652-2022-11-02-1647','S69-15','BweroeRpEHCrqMV', 'SL')
('SL22517-2022-11-01-1678','S70-22','ARdpstzopAxbIy', 'UB')
('SL04652-2022-11-02-1651','S69-19','b', 'UB')
('AC12058-2022-11-01-1684','A94-10','IPjwLjZoHcMEXkBL', 'UB')
('SL04652-2022-11-01-1678','S70-22','Wv', 'UB')
('AC04652-2022-11-01-1723','A96-13','IRTzVdGOgml', 'LB')
('AC04652-2022-11-02-1625','A91-5','IdQiEDcRyQukFu', 'SL')
('SL22517-2022-11-01-1693','S71-13','iFcglHkQJzB', 'MB')
('SL04652-2022-11-02-1671','S70-15','fLWMsvlAlJwnuMv', 'SL')
('SL12058-2022-11-01-1679','S70-23','I', 'SL')
('SL04652-2022-11-02-1675','S70-19','oHACVFjWrooEkAK', 'UB')
('AC22517-2022-11-01-1645','A92-7','wHsaBjCZb', 'LB')
('AC22517-2022-11-01-1647','A92-9','RjI', 'UB')
('AC22517-2022-11-02-1741','A97-13','PNVQaQNmebsvN', 'LB')
('SL22517-2022-11-02-1737','S73-9','nXMyDdKVPOkdt', 'LB')
('SL12058-2022-11-01-1685','S71-5','kGS', 'MB')
('SL22517-2022-11-01-1710','S72-6','MHDCZqY', 'UB')
('AC04652-2022-11-02-1643','A92-5','xKDatZFGoF', 'SL')
('AC22517-2022-11-02-1752','A98-6','aQyp', 'SU')
('SL04652-2022-11-01-1708','S72-4','kwKixxOzHVfK', 'LB')
('AC22517-2022-11-01-1662','A93-6','OuRbFABn', 'SU')
('SL22517-2022-11-01-1724','S72-20','xdGDnLOBVaCWcOFC', 'LB')
('SL22517-2022-11-01-1725','S72-21','bvRcgfwjiXIOLdKj', 'MB')
('AC04652-2022-11-01-1766','A99-2','vr', 'LB')
('AC04652-2022-11-02-1655','A92-17','MfKumpgivoEkwnVI', 'SL')
('SL04652-2022-11-02-1701','S71-21','GqjCsUWr', 'MB')
('SL04652-2022-11-02-1704','S71-24','Xaav', 'SU')
('AC12058-2022-11-01-1726','A96-16','rzYGMCMXQpweHDf', 'UB')
('SL12058-2022-11-01-1709','S72-5','Ne', 'MB')
('SL22517-2022-11-02-1760','S74-8','TGDLb', 'SU')
('AC04652-2022-11-02-1666','A93-10','ccTvRvD', 'UB')
('SL22517-2022-11-01-1746','S73-18','HuVOVYhkCJU', 'MB')
('AC22517-2022-11-01-1680','A94-6','KoNaGPHHrqd', 'SU')
('AC04652-2022-11-01-1781','A99-17','quINoJBOp', 'SL')
('SL12058-2022-11-01-1713','S72-9','vOTbysxAkfEvDI', 'LB')
('SL04652-2022-11-02-1716','S72-12','TSZllC', 'LB')
('AC04652-2022-11-01-1793','A100-11','KTuKUsAgixPDD', 'SL')
('AC04652-2022-11-01-1815','A101-15','Is', 'UB')
('AC04652-2022-11-02-1701','A95-9','iWJts', 'UB')
('AC22517-2022-11-01-1714','A96-4','OSuhUEgbel', 'UB')
('AC22517-2022-11-01-1717','A96-7','lqzFb', 'LB')
('AC12058-2022-11-01-1772','A99-8','IeBVmU', 'LB')
('SL04652-2022-11-02-1748','S73-20','NRdZtGOzYq', 'LB')
('SL12058-2022-11-01-1758','S74-6','nCELfII', 'UB')
('AC12058-2022-11-01-1791','A100-9','UMOTbSxRH', 'UB')
('AC22517-2022-11-02-1865','A104-11','xys', 'SL')
('SL22517-2022-11-01-1854','S78-6','iJnhUIvZLGRd', 'UB')
('AC04652-2022-11-01-1888','A105-16','ZKFfadKZAPaBlPv', 'UB')
('SL12058-2022-11-01-1822','S76-22','iYu', 'UB')
('AC12058-2022-11-01-1839','A103-3','YKqjUyquZYNH', 'UB')
('SL22517-2022-11-01-1858','S78-10','oRmFgT', 'MB')
('SL22517-2022-11-01-1859','S78-11','VjCLxbpLtld', 'UB')
('SL04652-2022-11-02-1811','S76-11','gdQkSr', 'UB')
('AC22517-2022-11-01-1775','A99-11','cBrSX', 'SL')
('AC04652-2022-11-02-1774','A99-10','nwgedQCLGs', 'UB')
('AC12058-2022-11-01-1847','A103-11','iZuUtCzYIltHgPtC', 'SL')
('AC04652-2022-11-02-1775','A99-11','ca', 'SL')
('AC04652-2022-11-01-1893','A106-3','ogXzm', 'UB')
('SL22517-2022-11-01-1864','S78-16','vHbZRrcpee', 'SU')
