('AC22517-2022-11-01-390','A22-12','mKnVzhaEMqsDar', 'SU')
('AC22517-2022-11-01-1239','A69-15','Bh', 'UB')
('SL12058-2022-11-01-1246','S52-22','GcgJYaRDHigClOCg', 'UB')
('AC04652-2022-11-02-1313','A73-17','mwmlKsPNE', 'SL')
('SL22517-2022-11-02-1270','S53-22','YYAfo', 'UB')
('SL04652-2022-11-01-1273','S54-1','pqwJIHWaWqQCpIPP', 'LB')
('SL22517-2022-11-02-1273','S54-1','JFHji', 'LB')
('AC12058-2022-11-01-1246','A70-4','YSqJ', 'UB')
('SL22517-2022-11-01-1298','S55-2','odbcNdCPftwGiRkJ', 'MB')
('AC22517-2022-11-01-1254','A70-12','TYzi', 'SU')
('SL22517-2022-11-01-1299','S55-3','EOSaiSrMg', 'UB')
('SL12058-2022-11-01-1254','S53-6','WFCXxWlsdPGWhiT', 'UB')
('AC04652-2022-11-02-1321','A74-7','afmWZnAboi', 'LB')
('AC04652-2022-11-01-1294','A72-16','YomHk', 'UB')
('AC04652-2022-11-01-1295','A72-17','MHGQDqUbHQOb', 'SL')
('AC12058-2022-11-01-1250','A70-8','hTpmyaO', 'LB')
('SL04652-2022-11-02-1281','S54-9','TntWVrpxyE', 'LB')
('SL04652-2022-11-01-1281','S54-9','C', 'LB')
('AC22517-2022-11-01-1268','A71-8','NUtJKOyK', 'LB')
('SL04652-2022-11-01-1288','S54-16','Zw', 'SU')
('SL22517-2022-11-01-1318','S55-22','OyaPjD', 'UB')
('AC12058-2022-11-01-1261','A71-1','uNCcoze', 'LB')
('AC22517-2022-11-02-1299','A73-3','rAySHtVZzzHyGPeU', 'UB')
('AC22517-2022-11-01-1284','A72-6','oZxEAYSdwOQKo', 'SU')
('SL04652-2022-11-01-1304','S55-8','EJLmVS', 'SU')
('SL12058-2022-11-01-1270','S53-22','FH', 'UB')
('SL22517-2022-11-01-1332','S56-12','WMOWBaCeOwJP', 'LB')
('SL04652-2022-11-01-1312','S55-16','UymKHPYMzLKI', 'SU')
('AC12058-2022-11-01-1276','A71-16','oDeXg', 'UB')
('AC22517-2022-11-02-1311','A73-15','edGkMDfGZ', 'UB')
('AC04652-2022-11-01-1330','A74-16','hGsDQrayGpMg', 'UB')
('AC22517-2022-11-02-1313','A73-17','fhP', 'SL')
('SL22517-2022-11-02-1305','S55-9','L', 'LB')
('AC22517-2022-11-01-1300','A73-4','JfGnlITPlq', 'UB')
('AC22517-2022-11-01-1301','A73-5','Pot', 'SL')
('AC12058-2022-11-01-1307','A73-11','NmzuWxH', 'SL')
('AC12058-2022-11-01-1308','A73-12','RktOAVK', 'SU')
('AC04652-2022-11-01-1358','A76-8','H', 'LB')
('AC04652-2022-11-01-1359','A76-9','vrGncMcjD', 'UB')
('AC22517-2022-11-02-1330','A74-16','tzeeng', 'UB')
('SL22517-2022-11-01-1362','S57-18','SgJmUjBZ', 'MB')
('SL04652-2022-11-02-1353','S57-9','zWUWpDPrYsXNyGAI', 'LB')
('AC04652-2022-11-01-1369','A77-1','kUt', 'LB')
('AC04652-2022-11-01-1370','A77-2','YsHwRpkW', 'LB')
('AC22517-2022-11-01-1330','A74-16','biYjhWe', 'UB')
('SL22517-2022-11-02-1343','S56-23','hd', 'SL')
('AC04652-2022-11-02-1381','A77-13','VimtkNtRf', 'LB')
('AC12058-2022-11-01-1330','A74-16','m', 'UB')
('SL04652-2022-11-01-1345','S57-1','vHWdlDSBDX', 'LB')
('SL12058-2022-11-01-1306','S55-10','HkYQJplrccmHZ', 'MB')
('AC22517-2022-11-02-1339','A75-7','sGJw', 'LB')
('SL22517-2022-11-02-1347','S57-3','ORfrGWPJblfHPnd', 'UB')
('AC22517-2022-11-02-1341','A75-9','PQacdnVbnhn', 'UB')
('SL22517-2022-11-02-1350','S57-6','mWCidBHatpnTbV', 'UB')
('AC04652-2022-11-01-1377','A77-9','gDKRiks', 'UB')
('AC04652-2022-11-01-1380','A77-12','ZAAQsVGQQMedlnvj', 'SU')
('AC04652-2022-11-02-1419','A79-15','qWVroMCzLynDQKFB', 'UB')
('AC04652-2022-11-02-1420','A79-16','yTUQuJUMdgml', 'UB')
('SL04652-2022-11-01-1382','S58-14','Rl', 'UB')
('AC04652-2022-11-01-1419','A79-15','Gdjq', 'UB')
('AC04652-2022-11-01-1422','A79-18','uZCzQWIOn', 'SU')
('AC04652-2022-11-01-1423','A80-1','wqUeBi', 'LB')
('SL22517-2022-11-01-1418','S60-2','XGidaRXPKTz', 'MB')
('AC22517-2022-11-02-1396','A78-10','kkocFoRaAq', 'UB')
('AC12058-2022-11-01-1391','A78-5','bMVspwg', 'SL')
('SL04652-2022-11-01-1389','S58-21','ColRAvJNHcXU', 'MB')
('SL22517-2022-11-02-1391','S58-23','tYeJ', 'SL')
('AC22517-2022-11-02-1400','A78-14','udnSqYUy', 'LB')
('AC22517-2022-11-02-1405','A79-1','Tq', 'LB')
('SL22517-2022-11-01-1427','S60-11','VjjKpgeiqdk', 'UB')
('SL04652-2022-11-01-1396','S59-4','nyNRWOsQc', 'LB')
('SL22517-2022-11-02-1403','S59-11','WobZNVzYUWcei', 'UB')
('SL12058-2022-11-01-1370','S58-2','hFQvuwskz', 'MB')
('AC12058-2022-11-01-1400','A78-14','tZvkVSYuSXusbS', 'LB')
('AC22517-2022-11-01-1399','A78-13','tcvSlNePeJTlND', 'LB')
('SL04652-2022-11-01-1410','S59-18','wVzs', 'MB')
('AC22517-2022-11-01-1403','A78-17','ig', 'SL')
('AC04652-2022-11-02-1450','A81-10','RQSSgWv', 'UB')
('SL04652-2022-11-02-1437','S60-21','L', 'MB')
('SL22517-2022-11-01-1442','S61-2','UGUc', 'MB')
('AC04652-2022-11-02-1459','A82-1','jT', 'LB')
('SL04652-2022-11-02-1440','S60-24','BNsNaeHxPce', 'SU')
('SL22517-2022-11-01-1451','S61-11','WqNLmiFowKVAXv', 'UB')
('SL22517-2022-11-01-1452','S61-12','hUps', 'LB')
('AC22517-2022-11-01-1417','A79-13','b', 'LB')
('SL12058-2022-11-01-1391','S58-23','MacwuUcwyYss', 'SL')
('SL22517-2022-11-01-1453','S61-13','RLjVc', 'MB')
('SL04652-2022-11-01-1425','S60-9','ZvsltwWBmrUvC', 'LB')
('SL04652-2022-11-02-1446','S61-6','mlNIHSIRuAJ', 'UB')
('SL22517-2022-11-02-1429','S60-13','eTptHUlZEB', 'MB')
('AC22517-2022-11-01-1425','A80-3','dJiSaUDXWKGdsO', 'UB')
('AC04652-2022-11-02-1468','A82-10','GmeBLdlyteUFxRMs', 'UB')
('AC04652-2022-11-01-1470','A82-12','SbHxmq', 'SU')
('SL12058-2022-11-01-1396','S59-4','dzJNCeHJ', 'LB')
('SL04652-2022-11-02-1451','S61-11','vwPfeGLcSDNdp', 'UB')
('SL04652-2022-11-01-1430','S60-14','JEkhZBKaHUj', 'UB')
('SL22517-2022-11-02-1447','S61-7','rKwjaFCD', 'SL')
('AC22517-2022-11-02-1459','A82-1','r', 'LB')
('SL04652-2022-11-02-1464','S61-24','tBTybHhWNoiw', 'SU')
('AC04652-2022-11-01-1487','A83-11','fwRsVzXVeZH', 'SL')
('SL04652-2022-11-02-1466','S62-2','alTLKH', 'MB')
('AC22517-2022-11-01-1444','A81-4','vlmtIO', 'UB')
('SL04652-2022-11-02-1470','S62-6','OJUdSP', 'UB')
('SL22517-2022-11-02-1495','S63-7','uGQHiPAyPIrTUiS', 'SL')
('SL04652-2022-11-01-1493','S63-5','wMeCcqoCeG', 'MB')
('SL22517-2022-11-02-1531','S64-19','BxgfuaoOXm', 'UB')
('SL22517-2022-11-01-1549','S65-13','rxfVwst', 'MB')
('AC12058-2022-11-01-1517','A85-5','rlfJaqpUVV', 'SL')
('AC04652-2022-11-01-1604','A90-2','Csdr', 'LB')
('SL04652-2022-11-01-1564','S66-4','HYLpVBPol', 'LB')
('SL12058-2022-11-01-1543','S65-7','ywafrOMBKTFgbKEo', 'SL')
('AC04652-2022-11-01-1620','A90-18','fFO', 'SU')
('SL04652-2022-11-02-1588','S67-4','QuzDDCSqPXJVfP', 'LB')
('SL04652-2022-11-02-1590','S67-6','B', 'UB')
('SL22517-2022-11-01-1614','S68-6','ZecC', 'UB')
('SL04652-2022-11-02-1591','S67-7','LrRnZcUGrfc', 'SL')
('AC22517-2022-11-02-1601','A89-17','lmrULGSms', 'SL')
('SL12058-2022-11-01-1587','S67-3','ObJEcatUtsLnAvXg', 'UB')
('SL04652-2022-11-02-1614','S68-6','xgdRS', 'UB')
('SL12058-2022-11-01-1589','S67-5','rnUDWMsdH', 'MB')
('SL04652-2022-11-01-1617','S68-9','OpPvzeXhOo', 'LB')
('AC22517-2022-11-01-1631','A91-11','CheJRNxWqLQk', 'SL')
('AC22517-2022-11-01-1632','A91-12','WlsyYLplI', 'SU')
('SL12058-2022-11-01-1592','S67-8','AiCM', 'SU')
('SL04652-2022-11-01-1619','S68-11','jAeHf', 'UB')
('SL12058-2022-11-01-1595','S67-11','ydDOVYAgagsSg', 'UB')
('AC22517-2022-11-02-1630','A91-10','cxQevUCppuMm', 'UB')
('AC04652-2022-11-02-1654','A92-16','QRQVqhPdM', 'UB')
('SL04652-2022-11-02-1638','S69-6','fWPkMBzJuY', 'UB')
('SL04652-2022-11-02-1639','S69-7','Uvl', 'SL')
('SL04652-2022-11-02-1640','S69-8','exAmDeugpCmn', 'SU')
('AC12058-2022-11-01-1627','A91-7','VahYX', 'LB')
('SL12058-2022-11-01-1601','S67-17','ZPUNfLnXsoLMaC', 'LB')
('SL12058-2022-11-01-1602','S67-18','HqSQdyyUuiTxpJk', 'MB')
('AC04652-2022-11-01-1686','A94-12','eRrowSEVUItZLJiK', 'SU')
('AC22517-2022-11-02-1642','A92-4','wHi', 'UB')
('SL04652-2022-11-01-1644','S69-12','piNUFsMDdjjW', 'LB')
('AC04652-2022-11-02-1670','A93-14','LPzUXVkjFQJ', 'LB')
('SL12058-2022-11-01-1613','S68-5','mUqDCjNfHWYhM', 'MB')
('SL04652-2022-11-02-1650','S69-18','PZ', 'MB')
('SL12058-2022-11-01-1614','S68-6','XmwDp', 'UB')
('AC12058-2022-11-01-1634','A91-14','OhT', 'LB')
('AC12058-2022-11-01-1638','A91-18','z', 'SU')
('AC12058-2022-11-01-1639','A92-1','ZfQ', 'LB')
('SL22517-2022-11-02-1644','S69-12','k', 'LB')
('SL22517-2022-11-01-1665','S70-9','kaRf', 'LB')
('SL22517-2022-11-02-1676','S70-20','fP', 'LB')
('SL22517-2022-11-02-1677','S70-21','YQIxuLHpTD', 'MB')
('SL22517-2022-11-02-1678','S70-22','tRJeTgQ', 'UB')
('SL04652-2022-11-02-1689','S71-9','nYDkWGwaVtyU', 'LB')
('AC22517-2022-11-01-1712','A96-2','cdYY', 'LB')
('AC12058-2022-11-01-1669','A93-13','jsx', 'LB')
('AC04652-2022-11-02-1707','A95-15','HoyD', 'UB')
('SL12058-2022-11-01-1671','S70-15','DImdNsvWcyKs', 'SL')
('AC04652-2022-11-02-1724','A96-14','eZejWuQ', 'LB')
('SL04652-2022-11-02-1718','S72-14','uGdUIreEG', 'UB')
('AC12058-2022-11-01-1687','A94-13','AhImBSwzYKLmvG', 'LB')
('SL12058-2022-11-01-1679','S70-23','QaoKHTKVz', 'SL')
('AC12058-2022-11-01-1696','A95-4','PkwNeJNoy', 'UB')
('SL22517-2022-11-01-1727','S72-23','eGsYdB', 'SL')
('SL04652-2022-11-02-1732','S73-4','RasZXKK', 'LB')
('AC04652-2022-11-02-1736','A97-8','eb', 'LB')
('AC12058-2022-11-01-1700','A95-8','TAT', 'LB')
('AC22517-2022-11-02-1720','A96-10','kpK', 'UB')
('SL04652-2022-11-01-1714','S72-10','bBBvyC', 'MB')
('AC04652-2022-11-01-1780','A99-16','HSevOqUTH', 'UB')
('SL04652-2022-11-01-1715','S72-11','zLssPxzJzoCKdV', 'UB')
('SL04652-2022-11-01-1716','S72-12','Cd', 'LB')
('AC04652-2022-11-02-1737','A97-9','pfDaUPZsXbKcQ', 'UB')
('AC22517-2022-11-01-1770','A99-6','KdYgiBvUGjuvyzHI', 'SU')
('SL22517-2022-11-02-1715','S72-11','uVFg', 'UB')
('AC04652-2022-11-02-1752','A98-6','WubzIf', 'SU')
('SL22517-2022-11-01-1742','S73-14','nxiYTnovft', 'UB')
('AC12058-2022-11-01-1714','A96-4','DYTQnen', 'UB')
('AC12058-2022-11-01-1715','A96-5','YrARrb', 'SL')
('SL04652-2022-11-01-1729','S73-1','VgQNhZjr', 'LB')
('AC04652-2022-11-01-1792','A100-10','vgR', 'UB')
('AC04652-2022-11-02-1754','A98-8','gnmmkOyFSBJJmpH', 'LB')
('SL22517-2022-11-02-1719','S72-15','lfWBHwI', 'SL')
('SL04652-2022-11-01-1733','S73-5','kt', 'MB')
('SL22517-2022-11-02-1720','S72-16','kMGBVfkby', 'SU')
('SL22517-2022-11-02-1721','S72-17','YRhXWdynxkciAU', 'LB')
('AC04652-2022-11-01-1795','A100-13','aoDhtIViosu', 'LB')
('SL04652-2022-11-01-1736','S73-8','GxrFvw', 'SU')
('SL04652-2022-11-01-1737','S73-9','dhHgkh', 'LB')
('AC22517-2022-11-01-1780','A99-16','VzUrkrgPrEXEzFbD', 'UB')
('SL22517-2022-11-02-1726','S72-22','cfxlUGmtwu', 'UB')
('AC22517-2022-11-01-1783','A100-1','sbgndKaOBtLLCjw', 'LB')
('AC04652-2022-11-02-1758','A98-12','GklUfZor', 'SU')
('AC22517-2022-11-01-1785','A100-3','UUbX', 'UB')
('AC12058-2022-11-01-1725','A96-15','TMZsigoct', 'UB')
('SL12058-2022-11-01-1744','S73-16','tMP', 'SU')
('SL12058-2022-11-01-1746','S73-18','vymaokzcV', 'MB')
('AC22517-2022-11-02-1778','A99-14','kv', 'LB')
('SL12058-2022-11-01-1748','S73-20','oKTwmAcRVMF', 'LB')
('AC22517-2022-11-01-1823','A102-5','Rlrfjdjz', 'SL')
('SL22517-2022-11-02-1773','S74-21','scfzobq', 'MB')
('SL22517-2022-11-02-1774','S74-22','jIW', 'UB')
('SL04652-2022-11-02-1793','S75-17','VvcoFMbQluEm', 'LB')
('SL04652-2022-11-02-1795','S75-19','STbjfvYjHxCKUhp', 'UB')
('SL04652-2022-11-01-1794','S75-18','nglbJLamnMiFFzKF', 'MB')
('SL22517-2022-11-01-1805','S76-5','tbnWBVd', 'MB')
('AC22517-2022-11-01-1835','A102-17','lbFPkdEtvLhdMS', 'SL')
('SL22517-2022-11-01-1838','S77-14','CaokGqFZWSD', 'UB')
('AC22517-2022-11-02-1814','A101-14','F', 'LB')
('SL22517-2022-11-01-1840','S77-16','btMzwGvvkple', 'SU')
('AC22517-2022-11-02-1816','A101-16','BqOk', 'UB')
('AC22517-2022-11-02-1862','A104-8','ukT', 'LB')
('SL04652-2022-11-02-1892','S79-20','G', 'LB')
('SL12058-2022-11-01-1861','S78-13','ydifsgPLTQ', 'MB')
('SL12058-2022-11-01-1862','S78-14','AClE', 'UB')
('AC04652-2022-11-02-1893','A106-3','FuvTdcFtSht', 'UB')
('AC12058-2022-11-01-1869','A104-15','kIBbldjjZXoyBAgY', 'UB')
('AC22517-2022-11-02-1869','A104-15','qT', 'UB')
('SL04652-2022-11-01-1879','S79-7','ctNMdS', 'SL')
('AC22517-2022-11-02-1879','A105-7','iTcRcTndY', 'LB')
('SL22517-2022-11-02-1877','S79-5','TWwW', 'MB')
('SL04652-2022-11-01-1894','S79-22','eAUIGurzeMvZQNN', 'UB')
('SL04652-2022-11-02-1917','S80-21','z', 'MB')
('SL04652-2022-11-02-1921','S81-1','OdKaNvwYK', 'LB')
('SL04652-2022-11-02-1923','S81-3','EoEYYBPbP', 'UB')
('SL12058-2022-11-01-1895','S79-23','kxEzEXVnEZehF', 'SL')
('AC12058-2022-11-01-1883','A105-11','RFmNoRvoFTv', 'SL')
('AC04652-2022-11-01-1994','A111-14','UzXfhQfqDinVDL', 'LB')
('AC12058-2022-11-01-1887','A105-15','NqMmkDx', 'UB')
('AC04652-2022-11-02-1967','A110-5','EQ', 'SL')
('SL04652-2022-11-01-1960','S82-16','gNfiJm', 'SU')
('SL22517-2022-11-01-1987','S83-19','rJVaSEvAxHEY', 'UB')
('AC12058-2022-11-01-1949','A109-5','MSSKx', 'SL')
('AC22517-2022-11-01-2012','A112-14','W', 'LB')
('SL12058-2022-11-01-1950','S82-6','QHl', 'UB')
('AC22517-2022-11-01-2013','A112-15','boaAHeqU', 'UB')
('SL22517-2022-11-02-1961','S82-17','tAPyOm', 'LB')
('AC22517-2022-11-01-2025','A113-9','WwMQQTC', 'UB')
('SL22517-2022-11-01-1997','S84-5','ixsUVTs', 'MB')
('AC22517-2022-11-02-1963','A110-1','LGF', 'LB')
('AC22517-2022-11-01-2029','A113-13','HVXU', 'LB')
('SL04652-2022-11-01-1974','S83-6','ODXLRsXUlpa', 'UB')
('SL04652-2022-11-02-1998','S84-6','TYFth', 'UB')
('AC12058-2022-11-01-1967','A110-5','EfzPqcbftpK', 'SL')
('SL22517-2022-11-02-1977','S83-9','urRexjnN', 'LB')
('SL22517-2022-11-01-2001','S84-9','bxQpF', 'LB')
('SL12058-2022-11-01-1968','S82-24','vaHHeOQnY', 'SU')
('SL22517-2022-11-02-2021','S85-5','WOtESwvezaux', 'MB')
('SL04652-2022-11-01-2027','S85-11','eMkFaeTKM', 'UB')
('SL12058-2022-11-01-2021','S85-5','PjErZxadjcuC', 'MB')
('AC12058-2022-11-01-2028','A113-12','rCdxpheQ', 'SU')
('AC12058-2022-11-01-2032','A113-16','hENkAjPuQQnezuiU', 'UB')
('AC04652-2022-11-01-2118','A118-12','azqfjrpkpoXySc', 'SU')
('SL22517-2022-11-02-2031','S85-15','YRWoa', 'SL')
('SL04652-2022-11-01-2031','S85-15','z', 'SL')
('AC22517-2022-11-01-2107','A118-1','Zfpl', 'LB')
('SL04652-2022-11-01-2061','S86-21','OfxPH', 'MB')
('AC22517-2022-11-01-2111','A118-5','BE', 'SL')
('AC22517-2022-11-01-2112','A118-6','PiBrr', 'SU')
('SL04652-2022-11-01-2062','S86-22','tjSiuRXVNambPIK', 'UB')
('AC22517-2022-11-02-2125','A119-1','TpBeKt', 'LB')
('SL04652-2022-11-02-2153','S90-17','dYzItnTbOZM', 'LB')
('SL04652-2022-11-02-2155','S90-19','k', 'UB')
('SL04652-2022-11-01-2120','S89-8','JefDYf', 'SU')
('SL22517-2022-11-01-2161','S91-1','UIeDstgzbq', 'LB')
('AC22517-2022-11-01-2173','A121-13','LzSWgQ', 'LB')
('AC04652-2022-11-01-2231','A124-17','xGx', 'SL')
('AC22517-2022-11-02-2134','A119-10','H', 'UB')
('SL04652-2022-11-02-2163','S91-3','FwIVlleiM', 'UB')
('AC22517-2022-11-01-2177','A121-17','rKy', 'SL')
('AC12058-2022-11-01-2142','A119-18','EnKFrT', 'SU')
('SL04652-2022-11-01-2137','S90-1','iLGhHevH', 'LB')
('SL22517-2022-11-01-2173','S91-13','ULy', 'MB')
('AC04652-2022-11-01-2259','A126-9','f', 'UB')
('AC22517-2022-11-01-2209','A123-13','bqHkQWz', 'LB')
('AC04652-2022-11-01-2276','A127-8','tMrklXXQ', 'LB')
('AC22517-2022-11-01-2217','A124-3','CDXtvaCkwAMT', 'UB')
('SL12058-2022-11-01-2144','S90-8','MRdYxHkuxTByh', 'SU')
('SL12058-2022-11-01-2145','S90-9','vscpzHJa', 'LB')
('AC04652-2022-11-02-2211','A123-15','AoCKb', 'UB')
('AC22517-2022-11-02-2219','A124-5','UTTUWjMQEAdQZXo', 'SL')
('SL04652-2022-11-02-2241','S94-9','PouuTYbOrQKgX', 'LB')
('AC22517-2022-11-02-2221','A124-7','aNpOkhJ', 'LB')
('AC22517-2022-11-02-2224','A124-10','EnY', 'UB')
('AC12058-2022-11-01-2203','A123-7','n', 'LB')
('AC04652-2022-11-01-2323','A130-1','DrKdaDVDr', 'LB')
('AC04652-2022-11-02-2234','A125-2','LYUVPuwbXbyunLd', 'LB')
('SL04652-2022-11-01-2206','S92-22','l', 'UB')
('SL22517-2022-11-01-2241','S94-9','mIUWKoj', 'LB')
('SL22517-2022-11-01-2242','S94-10','HaspY', 'MB')
('SL12058-2022-11-01-2193','S92-9','XuO', 'LB')
('AC22517-2022-11-01-2281','A127-13','QyMdbBacUOYHokb', 'LB')
('AC22517-2022-11-01-2282','A127-14','lAMKFm', 'LB')
('SL04652-2022-11-01-2215','S93-7','fJfhMmSv', 'SL')
('SL04652-2022-11-02-2248','S94-16','klzevafkSNZRIOdC', 'SU')
('SL22517-2022-11-02-2234','S94-2','oDHeJcTtDf', 'MB')
('SL22517-2022-11-02-2237','S94-5','krmjNql', 'MB')
('AC04652-2022-11-01-2378','A133-2','ufjOGPgBePwKKStp', 'LB')
('SL12058-2022-11-01-2247','S94-15','clD', 'SL')
('AC22517-2022-11-02-2280','A127-12','ABQrvuJZBYniH', 'SU')
('AC22517-2022-11-02-2281','A127-13','kcyBhKt', 'LB')
('SL04652-2022-11-01-2243','S94-11','dfhJAV', 'UB')
('AC22517-2022-11-02-2282','A127-14','Zn', 'LB')
('SL12058-2022-11-01-2250','S94-18','toSwByKZksSbdsbb', 'MB')
('SL22517-2022-11-01-2283','S96-3','y', 'UB')
('AC12058-2022-11-01-2255','A126-5','zamHiINXcFgrgema', 'SL')
('SL04652-2022-11-01-2251','S94-19','WISfYvle', 'UB')
('AC22517-2022-11-01-2342','A131-2','JaTyHZJRS', 'LB')
('AC04652-2022-11-02-2295','A128-9','tudN', 'UB')
('AC04652-2022-11-02-2297','A128-11','EpBzeIf', 'SL')
('SL04652-2022-11-02-2297','S96-17','ffjQMHCzgHG', 'LB')
('AC12058-2022-11-01-2260','A126-10','dBZAmHzDTBn', 'UB')
('SL22517-2022-11-01-2291','S96-11','GSOwqrhGrRWwVJie', 'UB')
('AC12058-2022-11-01-2262','A126-12','PeWLaHvnx', 'SU')
('AC04652-2022-11-01-2397','A134-3','a', 'UB')
('SL12058-2022-11-01-2258','S95-2','PbeuFuarYylkisJr', 'MB')
('AC04652-2022-11-02-2302','A128-16','EzFtvlH', 'UB')
('AC04652-2022-11-01-2401','A134-7','Tdz', 'LB')
('SL04652-2022-11-02-2300','S96-20','zjmgTeajTuBWR', 'LB')
('AC22517-2022-11-02-2292','A128-6','qCXC', 'SU')
('AC22517-2022-11-02-2294','A128-8','T', 'LB')
('SL12058-2022-11-01-2261','S95-5','nTXbZl', 'MB')
('SL22517-2022-11-02-2286','S96-6','SYXnGHoxY', 'UB')
('AC12058-2022-11-01-2279','A127-11','sK', 'SL')
('AC04652-2022-11-02-2317','A129-13','UrLJCQ', 'LB')
('SL04652-2022-11-02-2314','S97-10','urSDOApnCdlrh', 'MB')
('AC22517-2022-11-01-2358','A131-18','seoloZbnsxXclsZ', 'SU')
('AC04652-2022-11-02-2320','A129-16','SsJTqlmFqmzOHU', 'UB')
('AC04652-2022-11-01-2415','A135-3','sFjbIIHvl', 'UB')
('AC22517-2022-11-01-2362','A132-4','ZGViNfO', 'UB')
('AC22517-2022-11-01-2363','A132-5','HZ', 'SL')
('AC22517-2022-11-01-2364','A132-6','PzyHiDXvHSc', 'SU')
('AC22517-2022-11-02-2307','A129-3','tBrDjY', 'UB')
('AC22517-2022-11-01-2366','A132-8','uYcHROHFPclGBxQE', 'LB')
('AC22517-2022-11-02-2309','A129-5','TNHF', 'SL')
('AC04652-2022-11-02-2327','A130-5','lewRIkIUdf', 'SL')
('AC04652-2022-11-02-2328','A130-6','YEGwFZHlBU', 'SU')
('SL12058-2022-11-01-2272','S95-16','DivoXqz', 'SU')
('AC04652-2022-11-01-2421','A135-9','Cp', 'UB')
('AC04652-2022-11-01-2422','A135-10','eHkHtDza', 'UB')
('SL22517-2022-11-01-2322','S97-18','CRWCcGxSnSTHsys', 'MB')
('AC22517-2022-11-02-2314','A129-10','ecNBhZarOXPCMkfO', 'UB')
('SL04652-2022-11-01-2287','S96-7','pvzvfIpZC', 'SL')
('AC04652-2022-11-02-2334','A130-12','wrXFQZo', 'SU')
('AC22517-2022-11-01-2381','A133-5','OBVyfOLnouOazZ', 'SL')
('SL04652-2022-11-01-2294','S96-14','nWxyM', 'UB')
('AC04652-2022-11-02-2373','A132-15','VcNvuoBsjnMvHGl', 'UB')
('AC22517-2022-11-02-2357','A131-17','DJBCbjbaUEjwE', 'SL')
('AC22517-2022-11-02-2373','A132-15','fdeRBrivlcAKpmmh', 'UB')
('AC12058-2022-11-01-2374','A132-16','gndAZMJO', 'UB')
('SL04652-2022-11-01-2360','S99-8','xEzvTbhwVokRZ', 'SU')
('SL22517-2022-11-02-2383','S100-7','OSjLGn', 'SL')
('AC04652-2022-11-01-2510','A140-8','tjEYuJnHRqbOzHpZ', 'LB')
('SL12058-2022-11-01-2346','S98-18','YwJYlwjxifFYQN', 'MB')
('AC22517-2022-11-02-2378','A133-2','FfwxF', 'LB')
('AC22517-2022-11-02-2379','A133-3','X', 'UB')
('SL22517-2022-11-01-2408','S101-8','uJWI', 'SU')
('SL04652-2022-11-01-2408','S101-8','wf', 'SU')
('SL12058-2022-11-01-2424','S101-24','OeyiNwP', 'SU')
('AC12058-2022-11-01-2470','A138-4','RYhjLDEgyCfvOcC', 'UB')
('AC22517-2022-11-02-2470','A138-4','RmsmanZzuqQs', 'UB')
('SL22517-2022-11-02-2454','S103-6','LKucU', 'UB')
('AC22517-2022-11-01-2529','A141-9','awER', 'UB')
('SL22517-2022-11-01-2499','S105-3','XZT', 'UB')
('AC04652-2022-11-02-2490','A139-6','MDNv', 'SU')
('SL04652-2022-11-01-2448','S102-24','fLAAWI', 'SU')
('AC22517-2022-11-01-2535','A141-15','fsvUSAxn', 'UB')
('SL04652-2022-11-02-2501','S105-5','uMjDrUz', 'MB')
('AC12058-2022-11-01-2486','A139-2','ioZLSyucYGVVQ', 'LB')
('AC04652-2022-11-02-2501','A139-17','WnjMDCk', 'SL')
('AC04652-2022-11-01-2602','A145-10','SYppWScGDznicsZt', 'UB')
('AC22517-2022-11-02-2483','A138-17','jfk', 'SL')
('AC22517-2022-11-01-2547','A142-9','QhplhiAKgiIQ', 'UB')
('AC22517-2022-11-02-2484','A138-18','lUO', 'SU')
('SL04652-2022-11-02-2531','S106-11','HKgIPTAtVfMtlWd', 'UB')
('SL12058-2022-11-01-2519','S105-23','I', 'SL')
('SL04652-2022-11-01-2545','S107-1','xsSRcjD', 'LB')
('SL22517-2022-11-01-2596','S109-4','kAFe', 'LB')
('AC22517-2022-11-01-2636','A147-8','ZuCrty', 'LB')
('AC04652-2022-11-02-2590','A144-16','mccvjBVr', 'UB')
('SL12058-2022-11-01-2558','S107-14','DONPTNNQ', 'UB')
('AC22517-2022-11-02-2595','A145-3','TzkmnXGb', 'UB')
('SL04652-2022-11-01-2573','S108-5','LKG', 'MB')
('AC04652-2022-11-01-2711','A151-11','tSggc', 'SL')
('AC04652-2022-11-02-2604','A145-12','MLbZXVQrckbuuW', 'SU')
('AC12058-2022-11-01-2593','A145-1','odqmJZfYw', 'LB')
('SL12058-2022-11-01-2573','S108-5','MADNBdLZYPCkvk', 'MB')
('AC04652-2022-11-02-2608','A145-16','oWCytSYRuvB', 'UB')
('SL04652-2022-11-01-2579','S108-11','IzJDbgpGZnJDkAr', 'UB')
('AC22517-2022-11-02-2603','A145-11','vYyuJzahWtUVEzc', 'SL')
('AC04652-2022-11-02-2614','A146-4','TYeyunnrYDUHVi', 'UB')
('AC04652-2022-11-02-2615','A146-5','IaNBehKEYT', 'SL')
('AC12058-2022-11-01-2600','A145-8','d', 'LB')
('SL12058-2022-11-01-2580','S108-12','i', 'LB')
('SL12058-2022-11-01-2581','S108-13','suHfmEJPnUWvA', 'MB')
