('SL22517-2022-11-02-4922','S206-2','pI', 'MB')
('AC04652-2022-11-02-7387','A411-7','lAKybgCPVjgTQFKs', 'LB')
('SL22517-2022-11-01-7253','S303-5','gpTkVMpihza', 'MB')
('SL22517-2022-11-02-7356','S307-12','oemiFHEobhoPhqb', 'LB')
('SL22517-2022-11-01-7274','S304-2','tRPumVdXQ', 'MB')
('AC04652-2022-11-01-7701','A428-15','UKVtuItCNWvTp', 'UB')
('SL22517-2022-11-02-7395','S309-3','qRU', 'UB')
('SL22517-2022-11-02-7432','S310-16','aPtxByD', 'SU')
('SL12058-2022-11-01-7263','S303-15','iVr', 'SL')
('SL04652-2022-11-02-7423','S310-7','hEHeJbT', 'SL')
('SL04652-2022-11-01-7410','S309-18','cP', 'MB')
('AC22517-2022-11-01-7478','A416-8','oDEvsg', 'LB')
('SL04652-2022-11-02-7433','S310-17','xadSTCSLToyjYbFm', 'LB')
('AC12058-2022-11-01-7490','A417-2','kVjwQTzB', 'LB')
('AC22517-2022-11-02-7548','A420-6','AOeu', 'SU')
('SL04652-2022-11-02-7437','S310-21','sCzxXItrPlFYrpkd', 'MB')
('SL12058-2022-11-01-7307','S305-11','y', 'UB')
('SL12058-2022-11-01-7309','S305-13','SOEFysCKSBOdQpq', 'MB')
('SL22517-2022-11-02-7486','S312-22','g', 'UB')
('SL22517-2022-11-02-7487','S312-23','xXHQPaueiQIaV', 'SL')
('SL12058-2022-11-01-7330','S306-10','POXWkRxQwouc', 'MB')
('AC22517-2022-11-02-7605','A423-9','oAZikWTCLGvq', 'UB')
('SL04652-2022-11-02-7490','S313-2','YdZQdDH', 'MB')
('AC12058-2022-11-01-7545','A420-3','vUyPmKHABviAQky', 'UB')
('SL04652-2022-11-01-7471','S312-7','MkJu', 'SL')
('AC04652-2022-11-02-7546','A420-4','gpgeOzdTB', 'UB')
('SL04652-2022-11-02-7493','S313-5','JGXcwq', 'MB')
('SL22517-2022-11-02-7510','S313-22','tMHbCCPmpXL', 'UB')
('SL22517-2022-11-02-7511','S313-23','DfSzWPMuCJCkaM', 'SL')
('AC04652-2022-11-02-7603','A423-7','IFClYGUrG', 'LB')
('SL12058-2022-11-01-7390','S308-22','oGG', 'UB')
('SL04652-2022-11-02-7541','S315-5','NPVQf', 'MB')
('SL04652-2022-11-02-7544','S315-8','ihKSIfhqZst', 'SU')
('SL22517-2022-11-01-7462','S311-22','RPQHu', 'UB')
('SL22517-2022-11-02-7573','S316-13','lByVlFBwKlIWoOI', 'MB')
('SL22517-2022-11-01-7463','S311-23','yFCyWZ', 'SL')
('AC22517-2022-11-01-7618','A424-4','IyzXRuHVLYN', 'UB')
('AC12058-2022-11-01-7621','A424-7','CNJoqYguwwgQ', 'LB')
('SL04652-2022-11-02-7565','S316-5','VsVd', 'MB')
('AC12058-2022-11-01-7624','A424-10','cqGaUMzOfKbkKiU', 'UB')
('SL12058-2022-11-01-7419','S310-3','HYRlNrGS', 'UB')
('AC22517-2022-11-02-7684','A427-16','dTJgfQXrHBPv', 'UB')
('SL04652-2022-11-02-7569','S316-9','Hfeox', 'LB')
('SL22517-2022-11-01-7474','S312-10','HrLxQTOZQY', 'MB')
('SL22517-2022-11-01-7475','S312-11','CSXLeNNi', 'UB')
('SL22517-2022-11-02-7594','S317-10','CTXywkef', 'MB')
('SL22517-2022-11-01-7491','S313-3','H', 'UB')
('SL12058-2022-11-01-7433','S310-17','FeLG', 'LB')
('AC22517-2022-11-01-7640','A425-8','LRnNYUAOWeKl', 'LB')
('SL04652-2022-11-01-7570','S316-10','PTDgPmCuMKiVaq', 'MB')
('AC04652-2022-11-01-7900','A439-16','IRL', 'UB')
('SL12058-2022-11-01-7436','S310-20','RVAaixW', 'LB')
('AC12058-2022-11-01-7646','A425-14','kKkTGXYKl', 'LB')
('SL12058-2022-11-01-7437','S310-21','eZKPwAmvWaKpHo', 'MB')
('AC22517-2022-11-02-7712','A429-8','uQEUHY', 'LB')
('AC22517-2022-11-01-7650','A425-18','tMlWbtjG', 'SU')
('SL04652-2022-11-01-7596','S317-12','dxNseszijOUwxPdy', 'LB')
('SL04652-2022-11-01-7597','S317-13','leAUUpgk', 'MB')
('SL12058-2022-11-01-7464','S311-24','ZexR', 'SU')
('AC04652-2022-11-02-7731','A430-9','TivGP', 'UB')
('AC04652-2022-11-01-7981','A444-7','SvdTTiVOxGqNmZ', 'LB')
('SL12058-2022-11-01-7501','S313-13','e', 'MB')
('SL12058-2022-11-01-7503','S313-15','kCCpbIQSgDPtWsso', 'SL')
('AC04652-2022-11-02-7742','A431-2','TrSTkpomPQw', 'LB')
('AC12058-2022-11-01-7722','A429-18','VFPvHXMpx', 'SU')
('AC04652-2022-11-01-8021','A446-11','B', 'SL')
('SL22517-2022-11-01-7610','S318-2','OhQYiItSkZC', 'MB')
('SL04652-2022-11-02-7696','S321-16','pxhdvyz', 'SU')
('AC04652-2022-11-01-8068','A449-4','EEJ', 'UB')
('AC22517-2022-11-02-7893','A439-9','KBfTqQcr', 'UB')
('SL22517-2022-11-01-7663','S320-7','yINfWsYoCcGmi', 'SL')
('AC22517-2022-11-01-7823','A435-11','ANdbYxYCxADLSXZJ', 'SL')
('AC22517-2022-11-02-7898','A439-14','i', 'LB')
('AC04652-2022-11-01-8112','A451-12','Dito', 'SU')
('SL04652-2022-11-01-7797','S325-21','GzWmOXcLEQSUGL', 'MB')
('AC12058-2022-11-01-7853','A437-5','SkKRAiX', 'SL')
('SL04652-2022-11-01-7844','S327-20','xKWQQM', 'LB')
('AC04652-2022-11-02-7924','A441-4','Ndq', 'UB')
('SL12058-2022-11-01-7679','S320-23','UyYV', 'SL')
('SL04652-2022-11-02-7856','S328-8','kn', 'SU')
('SL22517-2022-11-02-7867','S328-19','uJuLVEtbSaeXr', 'UB')
('SL04652-2022-11-01-7938','S331-18','t', 'MB')
('SL04652-2022-11-02-7941','S331-21','nzZ', 'MB')
('AC12058-2022-11-01-8003','A445-11','hsdIkSYnmaWyJwR', 'SL')
('AC22517-2022-11-02-8064','A448-18','BkmHJoofVhz', 'SU')
('AC04652-2022-11-02-8018','A446-8','uBxQzPkeEDb', 'LB')
('SL22517-2022-11-01-7845','S327-21','VmtzDX', 'MB')
('SL04652-2022-11-02-7947','S332-3','mJOJqTe', 'UB')
('SL04652-2022-11-02-7948','S332-4','u', 'LB')
('AC22517-2022-11-02-8069','A449-5','qLuND', 'SL')
('AC04652-2022-11-02-8022','A446-12','QDc', 'SU')
('AC12058-2022-11-01-8012','A446-2','mGrhfTzbXvmBo', 'LB')
('AC12058-2022-11-01-8027','A446-17','UE', 'SL')
('SL22517-2022-11-02-8001','S334-9','iUWxNPvbY', 'LB')
('AC22517-2022-11-02-8117','A451-17','RFv', 'SL')
('SL12058-2022-11-01-7835','S327-11','VBIDMC', 'UB')
('AC22517-2022-11-02-8123','A452-5','BIoVeuYFDHlQJcc', 'SL')
('SL12058-2022-11-01-7838','S327-14','PsVClxBRwsmJRG', 'UB')
('SL22517-2022-11-02-8010','S334-18','rRSGUDWPRcOrGIQ', 'MB')
('SL12058-2022-11-01-7839','S327-15','YLMDq', 'SL')
('AC04652-2022-11-01-8332','A463-16','KgGC', 'UB')
('AC12058-2022-11-01-8075','A449-11','Hxxju', 'SL')
('AC22517-2022-11-01-8056','A448-10','JDNue', 'UB')
('AC22517-2022-11-02-8128','A452-10','MhFqWF', 'UB')
('AC12058-2022-11-01-8077','A449-13','YwscKCXsi', 'LB')
('AC04652-2022-11-01-8335','A464-1','oqAiJSx', 'LB')
('AC22517-2022-11-01-8057','A448-11','ipbAoqpOS', 'SL')
('SL22517-2022-11-01-7930','S331-10','XpLLFoBRvThpM', 'MB')
('AC04652-2022-11-02-8103','A451-3','KPYrvp', 'UB')
('SL04652-2022-11-01-8067','S337-3','FvODwUifBSrIHA', 'UB')
('AC22517-2022-11-01-8103','A451-3','rSiSSBudsxvNbf', 'UB')
('AC12058-2022-11-01-8120','A452-2','qrTzx', 'LB')
('AC22517-2022-11-01-8115','A451-15','Wi', 'UB')
('AC22517-2022-11-01-8118','A451-18','XM', 'SU')
('SL04652-2022-11-01-8091','S338-3','T', 'UB')
('AC22517-2022-11-01-8123','A452-5','NttHVFgSQ', 'SL')
('SL04652-2022-11-02-8067','S337-3','tL', 'UB')
('SL12058-2022-11-01-7929','S331-9','fu', 'LB')
('SL04652-2022-11-01-8095','S338-7','fBW', 'SL')
('SL04652-2022-11-02-8069','S337-5','bXrwpPnQTjvbU', 'MB')
('SL22517-2022-11-01-7985','S333-17','aJFBDSunR', 'LB')
('SL04652-2022-11-01-8099','S338-11','xEipDWJ', 'UB')
('SL22517-2022-11-02-8076','S337-12','DqqSskmBvb', 'LB')
('SL22517-2022-11-01-7989','S333-21','iNBcBxIs', 'MB')
('AC04652-2022-11-01-8410','A468-4','iouZgvNMgXAkAZ', 'UB')
('SL22517-2022-11-02-8080','S337-16','JUENX', 'SU')
('AC04652-2022-11-02-8188','A455-16','l', 'UB')
('AC22517-2022-11-02-8219','A457-11','ZyVRiTFEeKifIgQB', 'SL')
('SL22517-2022-11-01-8023','S335-7','hsGCXvblj', 'SL')
('AC04652-2022-11-01-8439','A469-15','RhkWX', 'UB')
('SL22517-2022-11-01-8065','S337-1','xByJINtFMQxNOZwm', 'LB')
('AC04652-2022-11-02-8245','A459-1','ARXOE', 'LB')
('AC12058-2022-11-01-8212','A457-4','D', 'UB')
('SL22517-2022-11-01-8071','S337-7','iUPPH', 'SL')
('AC12058-2022-11-01-8216','A457-8','QbOTlkOcbDXHIxdr', 'LB')
('AC22517-2022-11-01-8209','A457-1','dfkLLMLHy', 'LB')
('AC12058-2022-11-01-8222','A457-14','sllghrAKNAfjNq', 'LB')
('SL12058-2022-11-01-8021','S335-5','PVrEQFiViLI', 'MB')
('AC04652-2022-11-01-8495','A472-17','KuBlnPBgMv', 'SL')
('AC22517-2022-11-02-8285','A461-5','UfQCuOA', 'SL')
('SL22517-2022-11-02-8171','S341-11','jSPVNptOahYAeYuO', 'UB')
('SL04652-2022-11-01-8192','S342-8','dQGctAtJvi', 'SU')
('AC22517-2022-11-02-8289','A461-9','RfEnLzYJWa', 'UB')
('SL04652-2022-11-02-8155','S340-19','ITZNSyTLWxJr', 'UB')
('SL12058-2022-11-01-8029','S335-13','kHcnuEQyyu', 'MB')
('SL04652-2022-11-01-8197','S342-13','bbEIi', 'MB')
('SL04652-2022-11-02-8160','S340-24','jZsCBQxa', 'SU')
('AC22517-2022-11-02-8294','A461-14','XVZuxVUfKI', 'LB')
('AC04652-2022-11-02-8280','A460-18','CauAMqvSjCT', 'SU')
('AC04652-2022-11-02-8288','A461-8','CCzNJe', 'LB')
('AC12058-2022-11-01-8288','A461-8','Qpm', 'LB')
('SL22517-2022-11-02-8232','S343-24','lgIhbuQ', 'SU')
('AC04652-2022-11-01-8551','A476-1','BKBeXqaedixX', 'LB')
('AC04652-2022-11-01-8552','A476-2','qneZIFoTI', 'LB')
('AC04652-2022-11-01-8555','A476-5','RDNsbnqRn', 'SL')
('AC22517-2022-11-02-8362','A465-10','vhdovKhRNtU', 'UB')
('SL22517-2022-11-01-8162','S341-2','ddFqAsDYxL', 'MB')
('AC22517-2022-11-01-8285','A461-5','bCzdDAkAr', 'SL')
('AC22517-2022-11-01-8286','A461-6','nfmKOxc', 'SU')
('SL04652-2022-11-01-8251','S344-19','CHCFVRNmKzRVDbf', 'UB')
('SL04652-2022-11-01-8252','S344-20','pdghFRJDHImfdksz', 'LB')
('SL12058-2022-11-01-8091','S338-3','CIk', 'UB')
('AC12058-2022-11-01-8315','A462-17','KdRiP', 'SL')
('SL22517-2022-11-01-8178','S341-18','JeQmdgjzcoTD', 'MB')
('SL04652-2022-11-02-8235','S344-3','CPgg', 'UB')
('SL22517-2022-11-01-8179','S341-19','PCsDBv', 'UB')
('SL22517-2022-11-01-8185','S342-1','nHdXIRYeuCxF', 'LB')
('AC04652-2022-11-01-8582','A477-14','xwekJwezmJDrKDjg', 'LB')
('SL22517-2022-11-01-8213','S343-5','mhrOvVYMLl', 'MB')
('SL04652-2022-11-02-8274','S345-18','ObCbVvarAdAHBoV', 'MB')
('AC22517-2022-11-02-8422','A468-16','JvlnGfHVl', 'UB')
('AC04652-2022-11-01-8618','A479-14','ERWdCkYUkB', 'LB')
('SL22517-2022-11-02-8294','S346-14','HVZLWTe', 'UB')
('SL04652-2022-11-01-8311','S347-7','kZwS', 'SL')
('AC22517-2022-11-01-8344','A464-10','mYwyxV', 'UB')
('SL12058-2022-11-01-8145','S340-9','KAqylsAFkOQPdb', 'LB')
('SL04652-2022-11-02-8296','S346-16','fCTeXXXXORyD', 'SU')
('AC04652-2022-11-01-8634','A480-12','llwjezaevtq', 'SU')
('AC04652-2022-11-02-8428','A469-4','rxckQMfNT', 'UB')
('AC22517-2022-11-02-8467','A471-7','IEIMKrTKZJASms', 'LB')
('AC12058-2022-11-01-8385','A466-15','GjDosxJyhlqT', 'UB')
('AC04652-2022-11-01-8654','A481-14','zFEmZyhpR', 'LB')
('SL12058-2022-11-01-8173','S341-13','zkGtnjNmGhH', 'MB')
('AC04652-2022-11-01-8663','A482-5','kZGHXvAVvjbuzPQY', 'SL')
('SL12058-2022-11-01-8184','S341-24','FZ', 'SU')
('AC22517-2022-11-01-8397','A467-9','veiosxtZuhqm', 'UB')
('AC12058-2022-11-01-8395','A467-7','RtsXYFEyj', 'LB')
('AC04652-2022-11-01-8671','A482-13','wcAPqaYdepv', 'LB')
('SL12058-2022-11-01-8194','S342-10','PYQuyTggOZJDti', 'MB')
('AC04652-2022-11-01-8673','A482-15','DhfBNYaGlyx', 'UB')
('AC22517-2022-11-01-8419','A468-13','eCxYtiqmQeTq', 'LB')
('AC04652-2022-11-01-8686','A483-10','eaWaHeNRl', 'UB')
('AC22517-2022-11-02-8530','A474-16','RMbsyrbBVSmz', 'UB')
('SL22517-2022-11-02-8370','S349-18','JDqjadEYA', 'MB')
('AC04652-2022-11-01-8715','A485-3','DSZ', 'UB')
('SL22517-2022-11-02-8377','S350-1','nLYvywySi', 'LB')
('SL04652-2022-11-01-8422','S351-22','dVxaeRduOjHnY', 'UB')
('AC22517-2022-11-01-8470','A471-10','QLoVSdvjmMQdIBZY', 'UB')
('AC12058-2022-11-01-8463','A471-3','aRsKfaPZXrOA', 'UB')
('SL04652-2022-11-01-8425','S352-1','Y', 'LB')
('SL22517-2022-11-01-8348','S348-20','ITGDewiijrjIT', 'LB')
('SL04652-2022-11-02-8418','S351-18','cHJAiytVXFYYN', 'MB')
('AC04652-2022-11-01-8737','A486-7','Ecx', 'LB')
('SL12058-2022-11-01-8268','S345-12','EcHcX', 'LB')
('SL12058-2022-11-01-8270','S345-14','bJYTuAMTxfiYxYWS', 'UB')
('SL22517-2022-11-01-8354','S349-2','pguGKgALar', 'MB')
('SL04652-2022-11-01-8447','S352-23','kNLuIvcAsHyFd', 'SL')
('AC22517-2022-11-01-8503','A473-7','Ro', 'LB')
('SL12058-2022-11-01-8297','S346-17','BBN', 'LB')
('SL22517-2022-11-02-8430','S352-6','N', 'UB')
('AC22517-2022-11-01-8548','A475-16','uMQkfiT', 'UB')
('SL12058-2022-11-01-8334','S348-6','J', 'UB')
('SL22517-2022-11-01-8437','S352-13','K', 'MB')
('SL22517-2022-11-02-8479','S354-7','lEmotrMeqLDk', 'SL')
('AC12058-2022-11-01-8556','A476-6','hHKVSACVm', 'SU')
('SL04652-2022-11-01-8523','S356-3','dhZvMthpZL', 'UB')
('AC22517-2022-11-01-8572','A477-4','wcUShbCcZ', 'UB')
('AC22517-2022-11-01-8581','A477-13','JLMdJ', 'LB')
('SL22517-2022-11-02-8505','S355-9','je', 'LB')
('SL04652-2022-11-01-8542','S356-22','IbalKOImRsdzr', 'UB')
('SL04652-2022-11-02-8531','S356-11','tprM', 'UB')
('AC04652-2022-11-02-8648','A481-8','wKGhhQeEtSEpbx', 'LB')
('AC04652-2022-11-02-8679','A483-3','gVDGWjkxw', 'UB')
('SL04652-2022-11-02-8587','S358-19','pbrzcpAfyja', 'UB')
('SL22517-2022-11-01-8544','S356-24','oBFOtM', 'SU')
('SL22517-2022-11-01-8548','S357-4','HOlb', 'LB')
('AC04652-2022-11-01-8922','A496-12','ZTAAYDDBlXZ', 'SU')
('SL22517-2022-11-01-8551','S357-7','XKfxRI', 'SL')
('SL12058-2022-11-01-8446','S352-22','QzgMmBYx', 'UB')
('AC12058-2022-11-01-8660','A482-2','qbTlZtdw', 'LB')
('AC22517-2022-11-01-8671','A482-13','SzkRFDtJPWMTskF', 'LB')
('AC04652-2022-11-02-8725','A485-13','lpSDjSSMBEAyJrxd', 'LB')
('SL22517-2022-11-01-8569','S358-1','ERRARKkcnqKiyMKM', 'LB')
('AC04652-2022-11-02-8736','A486-6','EHvdFNVT', 'SU')
('SL12058-2022-11-01-8477','S354-5','OANwtrycXP', 'MB')
('AC22517-2022-11-01-8702','A484-8','CziFLVXehalvpgi', 'LB')
('AC04652-2022-11-01-8967','A499-3','NsrbyOvbP', 'UB')
('AC22517-2022-11-02-8777','A488-11','pXauzIfT', 'SL')
('AC04652-2022-11-01-8970','A499-6','vay', 'SU')
('SL04652-2022-11-02-8650','S361-10','feCj', 'MB')
('AC04652-2022-11-01-8983','A500-1','xwKmJX', 'LB')
('SL22517-2022-11-01-8602','S359-10','qL', 'MB')
('SL12058-2022-11-01-8519','S355-23','iJpgmwhQm', 'SL')
('AC04652-2022-11-01-8999','A500-17','Jd', 'SL')
('AC04652-2022-11-01-9000','A500-18','nHUCrlJtkdtZs', 'SU')
('SL04652-2022-11-02-8682','S362-18','keq', 'MB')
('AC04652-2022-11-01-9003','A501-3','IfIgEnEfegeyL', 'UB')
('AC04652-2022-11-01-9009','A501-9','duXDBCzM', 'UB')
('SL04652-2022-11-02-8688','S362-24','zPLivWRPNStePmyY', 'SU')
('AC04652-2022-11-01-9011','A501-11','AcZy', 'SL')
('SL22517-2022-11-02-8657','S361-17','UKchTmntiwL', 'LB')
('AC04652-2022-11-02-8818','A490-16','OKtpebr', 'UB')
('AC04652-2022-11-01-9055','A504-1','kwXHmDj', 'LB')
('SL04652-2022-11-01-8705','S363-17','GoEbJlPByjPKa', 'LB')
('AC04652-2022-11-02-8876','A494-2','uoAz', 'LB')
('AC22517-2022-11-02-8882','A494-8','tXxQQPThEEmSNb', 'LB')
('SL04652-2022-11-01-8761','S366-1','Ilfwm', 'LB')
('SL04652-2022-11-01-8762','S366-2','GLylSuUVmgcG', 'MB')
('SL12058-2022-11-01-8614','S359-22','GuLZF', 'UB')
('AC04652-2022-11-02-8888','A494-14','ecMgDRHKl', 'LB')
('AC12058-2022-11-01-8831','A491-11','IKnQefcyYmrV', 'SL')
('SL12058-2022-11-01-8619','S360-3','RqrEJQTFVaGO', 'UB')
('AC12058-2022-11-01-8834','A491-14','NLLGJyiGbWCAU', 'LB')
('AC22517-2022-11-01-8872','A493-16','BqBuoPnzmMkQ', 'UB')
('SL04652-2022-11-01-8787','S367-3','he', 'UB')
('SL04652-2022-11-01-8788','S367-4','mF', 'LB')
('SL04652-2022-11-02-8822','S368-14','yWtwisdB', 'UB')
('SL22517-2022-11-02-8790','S367-6','TrAGZZ', 'UB')
('SL04652-2022-11-01-8791','S367-7','pXsuDSvZBKEcoaCu', 'SL')
('SL04652-2022-11-02-8827','S368-19','tXZLYIbCIW', 'UB')
('AC22517-2022-11-02-8932','A497-4','MDduPt', 'UB')
('SL04652-2022-11-01-8799','S367-15','Us', 'SL')
('AC22517-2022-11-01-8880','A494-6','kpdF', 'SU')
('SL04652-2022-11-01-8800','S367-16','pzSTXfFIOxO', 'SU')
('AC22517-2022-11-02-8943','A497-15','VFuNCnrlAaLF', 'UB')
('AC04652-2022-11-01-9157','A509-13','WrVzwoWAoV', 'LB')
('SL12058-2022-11-01-8676','S362-12','fTMtIern', 'LB')
('AC22517-2022-11-01-8896','A495-4','LIIdP', 'UB')
('AC04652-2022-11-02-8948','A498-2','vlctk', 'LB')
('SL04652-2022-11-02-8844','S369-12','hwcOJnIfiPRaR', 'LB')
('SL04652-2022-11-01-8827','S368-19','xFbHYmw', 'UB')
('AC04652-2022-11-02-8962','A498-16','ovcJ', 'UB')
('SL04652-2022-11-02-8860','S370-4','XZYYDADTALyncsG', 'LB')
('AC12058-2022-11-01-8906','A495-14','YowXjyGBrI', 'LB')
('SL22517-2022-11-02-8846','S369-14','mvsaQuhAuTmns', 'UB')
('SL12058-2022-11-01-8706','S363-18','SFZkxPStVrisRQ', 'MB')
('SL22517-2022-11-02-8848','S369-16','TGNRVhgu', 'SU')
('AC22517-2022-11-01-8921','A496-11','ZY', 'SL')
('AC22517-2022-11-01-8968','A499-4','TriFLJhUERlYv', 'UB')
('AC22517-2022-11-01-8969','A499-5','drNzPeDHysCwc', 'SL')
('SL04652-2022-11-02-8909','S372-5','MoIX', 'MB')
('SL04652-2022-11-02-8934','S373-6','AMaThRSAv', 'UB')
('AC22517-2022-11-02-9039','A503-3','mHZvRB', 'UB')
('SL04652-2022-11-01-8923','S372-19','ielWqELCPUq', 'UB')
('AC04652-2022-11-01-9262','A515-10','HFRsUBIxQkMzoWnc', 'UB')
('SL04652-2022-11-01-8937','S373-9','KCDzqKAelViu', 'LB')
('AC22517-2022-11-01-9081','A505-9','yKaeXLCPHED', 'UB')
('AC12058-2022-11-01-9086','A505-14','OtLPUSQ', 'LB')
('AC22517-2022-11-01-9140','A508-14','NuP', 'LB')
('SL22517-2022-11-01-9033','S377-9','DDKQcbyGGs', 'LB')
('SL22517-2022-11-01-9036','S377-12','i', 'LB')
('AC22517-2022-11-01-9149','A509-5','hRLKitkT', 'SL')
('AC22517-2022-11-02-9218','A513-2','CawuCDGuNw', 'LB')
('AC12058-2022-11-01-9155','A509-11','iexahGdwxIQC', 'SL')
('SL12058-2022-11-01-8977','S375-1','ZBrYg', 'LB')
('AC22517-2022-11-02-9223','A513-7','nuqTeuEMSzirsev', 'LB')
('SL22517-2022-11-02-9092','S379-20','Jgia', 'LB')
('AC04652-2022-11-02-9198','A511-18','lvCESlonAsUhKhVt', 'SU')
('SL22517-2022-11-02-9095','S379-23','uJCAgWbi', 'SL')
('AC04652-2022-11-01-9444','A525-12','TQwkIGkoJ', 'SU')
('AC22517-2022-11-02-9229','A513-13','t', 'LB')
('SL22517-2022-11-01-9046','S377-22','pZZJritVQxUZmf', 'UB')
('SL22517-2022-11-01-9047','S377-23','NQZExcivaPWFbMPC', 'SL')
('AC22517-2022-11-01-9164','A510-2','hdMxDeP', 'LB')
('AC04652-2022-11-02-9204','A512-6','QqjUIhkkHuGVWj', 'SU')
('SL04652-2022-11-01-9104','S380-8','nuZq', 'SU')
('AC22517-2022-11-01-9167','A510-5','TaPZXhssd', 'SL')
('SL04652-2022-11-02-9107','S380-11','mwLtUHdFNKmYfm', 'UB')
('AC22517-2022-11-01-9171','A510-9','e', 'UB')
('SL22517-2022-11-01-9058','S378-10','lLz', 'MB')
('SL04652-2022-11-01-9110','S380-14','KwMRLUDEar', 'UB')
('SL22517-2022-11-01-9060','S378-12','YdUTnyJfwFoQQlhc', 'LB')
('AC22517-2022-11-02-9234','A513-18','ODxHEtWdUcH', 'SU')
('AC22517-2022-11-01-9180','A510-18','ZFuSPAGB', 'SU')
('AC04652-2022-11-02-9215','A512-17','PbWIjI', 'SL')
('AC12058-2022-11-01-9185','A511-5','EVvamIQD', 'SL')
('AC04652-2022-11-02-9222','A513-6','VAHKYmFC', 'SU')
('SL04652-2022-11-02-9126','S381-6','gP', 'UB')
('AC04652-2022-11-02-9330','A519-6','gpiLNFFEF', 'SU')
('AC22517-2022-11-02-9331','A519-7','nLRoxbtfPWv', 'LB')
('AC12058-2022-11-01-9304','A517-16','phghd', 'UB')
('SL22517-2022-11-02-9227','S385-11','uHTZqExvUAdb', 'UB')
('SL12058-2022-11-01-9104','S380-8','SIkhXgvWqqoD', 'SU')
('AC12058-2022-11-01-9330','A519-6','Nxv', 'SU')
('AC22517-2022-11-02-9372','A521-12','vwZuvAWLCV', 'SU')
('AC22517-2022-11-02-9373','A521-13','cwCcFv', 'LB')
('AC22517-2022-11-01-9338','A519-14','vHlzKjUtlaBywXDo', 'LB')
('SL22517-2022-11-01-9215','S384-23','CztGtgGY', 'SL')
('SL12058-2022-11-01-9132','S381-12','eTHADJjgnpHJfAZ', 'LB')
('SL04652-2022-11-02-9260','S386-20','YFXAhFZdPLKBBIj', 'LB')
('SL22517-2022-11-01-9226','S385-10','fBRybJPHDxTeq', 'MB')
('AC22517-2022-11-02-9386','A522-8','gsss', 'LB')
('AC04652-2022-11-02-9405','A523-9','l', 'UB')
('AC04652-2022-11-02-9410','A523-14','OZoNAZQBeUXCz', 'LB')
('SL22517-2022-11-01-9232','S385-16','bRraiQmzn', 'SU')
('SL22517-2022-11-01-9234','S385-18','Lp', 'MB')
('AC12058-2022-11-01-9358','A520-16','UsxcVvFNnRgtL', 'UB')
('AC12058-2022-11-01-9362','A521-2','ZLCTAEJPbEElvlCH', 'LB')
('SL12058-2022-11-01-9156','S382-12','CAwQeUPYjIASrOK', 'LB')
('SL04652-2022-11-02-9279','S387-15','xlMH', 'SL')
('AC12058-2022-11-01-9365','A521-5','uJhdsqaNWwsGZbWi', 'SL')
('SL04652-2022-11-02-9313','S389-1','UWpTpMViTWrCVz', 'LB')
('AC22517-2022-11-01-9396','A522-18','rnzZ', 'SU')
('AC22517-2022-11-01-9397','A523-1','ChWylcIRofTaSJDS', 'LB')
('AC22517-2022-11-02-9416','A524-2','cugBZvoie', 'LB')
('SL22517-2022-11-02-9313','S389-1','VAdDtEwozRu', 'LB')
('AC12058-2022-11-01-9379','A522-1','dvDzuMa', 'LB')
('AC22517-2022-11-02-9423','A524-9','qJT', 'UB')
('AC04652-2022-11-01-9663','A537-15','aOsGduGzohU', 'UB')
('AC12058-2022-11-01-9383','A522-5','uezEjBgXO', 'SL')
('SL12058-2022-11-01-9197','S384-5','U', 'MB')
('SL22517-2022-11-01-9269','S387-5','VdV', 'MB')
('SL22517-2022-11-02-9321','S389-9','RGIocdhDEwyJLx', 'LB')
('AC22517-2022-11-02-9431','A524-17','KHB', 'SL')
('AC12058-2022-11-01-9468','A526-18','rEwaJ', 'SU')
('AC12058-2022-11-01-9472','A527-4','uoVHeLHaxHChH', 'UB')
('AC22517-2022-11-01-9492','A528-6','A', 'SU')
('SL04652-2022-11-02-9420','S393-12','JoQUHWS', 'LB')
('AC12058-2022-11-01-9602','A534-8','fjbKhDlwIQopjUYj', 'LB')
('AC12058-2022-11-01-9603','A534-9','XEsSnYtvVG', 'UB')
('SL04652-2022-11-01-9503','S396-23','AKN', 'SL')
('AC04652-2022-11-02-9618','A535-6','vTxDwksjOMWra', 'SU')
('AC22517-2022-11-02-9629','A535-17','ZAtYTXsah', 'SL')
('AC22517-2022-11-01-9596','A534-2','XPL', 'LB')
('SL22517-2022-11-02-9527','S397-23','hRJODHl', 'SL')
('AC12058-2022-11-01-9642','A536-12','MXEBeJggLkLkEvhx', 'SU')
('SL04652-2022-11-01-9534','S398-6','bhnVhIAZtaYIWopP', 'UB')
('SL22517-2022-11-02-9549','S398-21','nxdaEhHHPcwpQFK', 'MB')
('SL12058-2022-11-01-9417','S393-9','dlfMhv', 'LB')
('AC04652-2022-11-01-9899','A550-17','CBHoDaNHrtr', 'SL')
('SL12058-2022-11-01-9420','S393-12','pRuZFKPVNczSZ', 'LB')
('SL22517-2022-11-01-9492','S396-12','UmSWbaIxpsOGH', 'LB')
('AC04652-2022-11-01-9900','A550-18','ObghN', 'SU')
('AC04652-2022-11-01-9901','A551-1','kVcI', 'LB')
('AC12058-2022-11-01-9664','A537-16','voLZtWc', 'UB')
