('SL22517-2022-11-02-1698','S71-18','uSuTmFXGE', 'MB')
('AC04652-2022-11-02-3331','A186-1','mhCpHmkJkCD', 'LB')
('SL04652-2022-11-01-3344','S140-8','noyIyB', 'SU')
('AC12058-2022-11-01-3304','A184-10','xzvaDYwCX', 'UB')
('SL04652-2022-11-02-3409','S143-1','NAFhI', 'LB')
('AC04652-2022-11-02-3352','A187-4','iMSU', 'UB')
('SL22517-2022-11-01-3338','S140-2','agJcRJtayhTGSnJ', 'MB')
('SL22517-2022-11-02-3307','S138-19','raFsrRg', 'UB')
('AC04652-2022-11-01-3490','A194-16','MelXSVUitpHyqt', 'UB')
('SL04652-2022-11-02-3422','S143-14','BfEXGAV', 'UB')
('SL22517-2022-11-01-3345','S140-9','HZsmqVOtUXSu', 'LB')
('SL04652-2022-11-02-3425','S143-17','NeebwAvf', 'LB')
('AC22517-2022-11-02-3390','A189-6','pssTvssUoZqS', 'SU')
('SL22517-2022-11-01-3356','S140-20','umYTZrVFPk', 'LB')
('SL04652-2022-11-02-3442','S144-10','UgOHzTStNPUq', 'MB')
('SL04652-2022-11-02-3443','S144-11','HuvXF', 'UB')
('AC12058-2022-11-01-3343','A186-13','KwYmU', 'LB')
('AC04652-2022-11-01-3521','A196-11','BjwRd', 'SL')
('AC04652-2022-11-01-3537','A197-9','hGDvnSWrNxIdSz', 'UB')
('AC22517-2022-11-01-3480','A194-6','ZUGIcH', 'SU')
('SL12058-2022-11-01-3338','S140-2','SlvVVF', 'MB')
('AC22517-2022-11-02-3425','A191-5','eCTWUxJOTg', 'SL')
('AC22517-2022-11-01-3491','A194-17','vFnISfcdKnSDir', 'SL')
('SL04652-2022-11-01-3411','S143-3','oUVJgyTzhwBSy', 'UB')
('SL22517-2022-11-02-3368','S141-8','MiPstBoj', 'SU')
('AC12058-2022-11-01-3370','A188-4','EVmeWjMUUZlApVjQ', 'UB')
('AC04652-2022-11-02-3416','A190-14','QcyBwPIDgCBjIGcI', 'LB')
('SL04652-2022-11-01-3417','S143-9','gHUtvFq', 'LB')
('AC04652-2022-11-02-3420','A190-18','eK', 'SU')
('SL04652-2022-11-01-3419','S143-11','vbI', 'UB')
('AC22517-2022-11-01-3496','A195-4','YcR', 'UB')
('AC22517-2022-11-01-3500','A195-8','j', 'LB')
('SL22517-2022-11-02-3374','S141-14','PbQeNIEzGbkKe', 'UB')
('SL04652-2022-11-02-3484','S146-4','wDVXUT', 'LB')
('AC04652-2022-11-01-3566','A199-2','ZYFWHhMOhni', 'LB')
('SL04652-2022-11-02-3488','S146-8','lTA', 'SU')
('SL04652-2022-11-01-3429','S143-21','gfnGnofvKgtW', 'MB')
('AC04652-2022-11-02-3429','A191-9','fBXbGIoujVpjAy', 'UB')
('AC22517-2022-11-01-3506','A195-14','HrtNPOHfUsrWSbJs', 'LB')
('SL22517-2022-11-02-3385','S142-1','ZRReVZnd', 'LB')
('SL04652-2022-11-02-3503','S146-23','AvEEx', 'SL')
('SL22517-2022-11-01-3427','S143-19','EYkkf', 'UB')
('SL12058-2022-11-01-3368','S141-8','tugaxnTgMCtxLp', 'SU')
('SL12058-2022-11-01-3369','S141-9','ZdhgFOierWRNsyQ', 'LB')
('AC12058-2022-11-01-3430','A191-10','jZqAVpnPUBsYv', 'UB')
('AC04652-2022-11-02-3463','A193-7','yKhro', 'LB')
('SL22517-2022-11-01-3462','S145-6','aQblHmv', 'UB')
('SL04652-2022-11-02-3536','S148-8','EgeFgyIl', 'SU')
('AC12058-2022-11-01-3438','A191-18','QdXaIzRPZIHU', 'SU')
('AC04652-2022-11-01-3619','A202-1','wb', 'LB')
('AC04652-2022-11-01-3623','A202-5','zjGoesOKqcqk', 'SL')
('SL04652-2022-11-01-3478','S145-22','DzEMXMnMdXoWE', 'UB')
('AC22517-2022-11-02-3499','A195-7','hqLxOiFwgPLdsw', 'LB')
('SL12058-2022-11-01-3407','S142-23','nkNQozTQthe', 'SL')
('AC22517-2022-11-01-3559','A198-13','bxsgaeECTzQkj', 'LB')
('SL22517-2022-11-02-3439','S144-7','dRivPMzARRNjf', 'SL')
('AC22517-2022-11-01-3567','A199-3','mhdllAhlCFGg', 'UB')
('AC22517-2022-11-01-3573','A199-9','NGnGrM', 'UB')
('AC04652-2022-11-01-3656','A204-2','CViZMumY', 'LB')
('AC22517-2022-11-02-3539','A197-11','axsvfQlyJE', 'SL')
('AC04652-2022-11-02-3516','A196-6','k', 'SU')
('AC04652-2022-11-01-3659','A204-5','fsmAK', 'SL')
('AC22517-2022-11-02-3540','A197-12','sehsszWLJkvQb', 'SU')
('AC04652-2022-11-02-3519','A196-9','jLb', 'UB')
('AC04652-2022-11-01-3661','A204-7','otMISSDi', 'LB')
('SL04652-2022-11-02-3582','S150-6','Ye', 'UB')
('AC12058-2022-11-01-3500','A195-8','fZXGCRdyKTfyI', 'LB')
('SL22517-2022-11-01-3529','S148-1','ageefUwkAautIaBF', 'LB')
('SL04652-2022-11-01-3529','S148-1','bjnnIHtgWhPGxQSR', 'LB')
('AC04652-2022-11-02-3534','A197-6','xcZpooq', 'SU')
('AC22517-2022-11-02-3596','A200-14','TWOhs', 'LB')
('AC22517-2022-11-01-3659','A204-5','sz', 'SL')
('AC22517-2022-11-01-3660','A204-6','qgsdoKTkKADD', 'SU')
('AC12058-2022-11-01-3553','A198-7','WSKSNkKr', 'LB')
('SL04652-2022-11-02-3638','S152-14','bkMnCjUpjco', 'UB')
('SL04652-2022-11-01-3560','S149-8','eysqiUU', 'SU')
('AC04652-2022-11-01-3723','A207-15','LoyEHitWEVePq', 'UB')
('AC12058-2022-11-01-3574','A199-10','TYDNScOmULpdO', 'UB')
('AC12058-2022-11-01-3599','A200-17','GHlfKnp', 'SL')
('AC04652-2022-11-01-3756','A209-12','DBGYxRK', 'SU')
('SL12058-2022-11-01-3535','S148-7','bbVb', 'SL')
('SL12058-2022-11-01-3536','S148-8','V', 'SU')
('SL22517-2022-11-02-3566','S149-14','xgqNJFSbJtJBfpiW', 'UB')
('SL22517-2022-11-02-3591','S150-15','wGnFZOBGTOPsrVp', 'SL')
('AC12058-2022-11-01-3702','A206-12','nM', 'SU')
('SL22517-2022-11-02-3636','S152-12','vbJTg', 'LB')
('AC04652-2022-11-02-3720','A207-12','WKSyKAyjAS', 'SU')
('AC04652-2022-11-02-3721','A207-13','DtaYngpC', 'LB')
('SL04652-2022-11-02-3774','S158-6','XhZdQRKPkZldQQ', 'UB')
('SL04652-2022-11-01-3690','S154-18','HtEfcZKdDWAdLd', 'MB')
('SL22517-2022-11-01-3723','S156-3','G', 'UB')
('SL12058-2022-11-01-3625','S152-1','ey', 'LB')
('SL04652-2022-11-02-3776','S158-8','hVbYmp', 'SU')
('AC12058-2022-11-01-3719','A207-11','RJmVvfnIEvQ', 'SL')
('AC22517-2022-11-01-3807','A212-9','tJW', 'UB')
('SL22517-2022-11-01-3726','S156-6','xTswoejFcPiq', 'UB')
('AC12058-2022-11-01-3725','A207-17','TiDngZZg', 'SL')
('AC22517-2022-11-01-3812','A212-14','xVXnHKsWglPY', 'LB')
('AC04652-2022-11-01-3872','A216-2','mQOsh', 'LB')
('AC12058-2022-11-01-3732','A208-6','LdYgPzaD', 'SU')
('AC22517-2022-11-02-3761','A209-17','U', 'SL')
('AC22517-2022-11-02-3762','A209-18','hAxgZVtfNAP', 'SU')
('SL04652-2022-11-01-3705','S155-9','RZqqJc', 'LB')
('SL04652-2022-11-02-3792','S158-24','m', 'SU')
('SL22517-2022-11-02-3661','S153-13','pT', 'MB')
('SL04652-2022-11-01-3711','S155-15','YIodRzkIqU', 'SL')
('AC04652-2022-11-02-3742','A208-16','kdZn', 'UB')
('AC04652-2022-11-02-3743','A208-17','F', 'SL')
('AC12058-2022-11-01-3743','A208-17','kWrdYeQs', 'SL')
('SL04652-2022-11-02-3796','S159-4','CCt', 'LB')
('SL04652-2022-11-02-3797','S159-5','EpvsNdAyKyc', 'MB')
('SL04652-2022-11-02-3798','S159-6','eDvXwy', 'UB')
('AC12058-2022-11-01-3751','A209-7','LLglUEUhi', 'LB')
('AC12058-2022-11-01-3753','A209-9','hKJbpBklw', 'UB')
('SL22517-2022-11-01-3756','S157-12','RkCsbcNjCjGFCs', 'LB')
('AC22517-2022-11-01-3836','A214-2','oiagIFf', 'LB')
('SL04652-2022-11-01-3721','S156-1','qGBMAdwhLFWnKU', 'LB')
('SL22517-2022-11-01-3758','S157-14','hPJyZ', 'UB')
('AC22517-2022-11-02-3777','A210-15','Rq', 'UB')
('SL12058-2022-11-01-3661','S153-13','aEqeiOPm', 'MB')
('AC04652-2022-11-01-3937','A219-13','pUcDVmUv', 'LB')
('AC04652-2022-11-02-3802','A212-4','aaEXINHqBLf', 'UB')
('SL04652-2022-11-02-3827','S160-11','RSDBqOrFcY', 'UB')
('SL22517-2022-11-02-3699','S155-3','xfTyfmxH', 'UB')
('AC22517-2022-11-02-3813','A212-15','wklnJ', 'UB')
('AC12058-2022-11-01-3789','A211-9','sIPia', 'UB')
('SL22517-2022-11-01-3786','S158-18','TcRrLOqrTrG', 'MB')
('SL04652-2022-11-01-3754','S157-10','VkcKinStXtli', 'MB')
('SL22517-2022-11-02-3705','S155-9','xeD', 'LB')
('AC04652-2022-11-01-3949','A220-7','SFcTJCAn', 'LB')
('SL04652-2022-11-01-3758','S157-14','whUWsG', 'UB')
('AC04652-2022-11-01-3950','A220-8','FvskbeGLMa', 'LB')
('AC04652-2022-11-01-3951','A220-9','VYggMqMNyDSfhP', 'UB')
('AC22517-2022-11-02-3818','A213-2','R', 'LB')
('SL04652-2022-11-02-3833','S160-17','jCq', 'LB')
('SL22517-2022-11-02-3710','S155-14','XMbTCKIPz', 'UB')
('AC04652-2022-11-01-4011','A223-15','OMflLGgXCasr', 'UB')
('SL04652-2022-11-02-3879','S162-15','qzDOAalmMVwWZ', 'SL')
('SL22517-2022-11-02-3774','S158-6','rrur', 'UB')
('AC04652-2022-11-01-4028','A224-14','qdAoc', 'LB')
('AC12058-2022-11-01-3880','A216-10','sySJLaZbD', 'UB')
('AC04652-2022-11-02-3890','A217-2','ui', 'LB')
('AC04652-2022-11-02-3891','A217-3','uIVVMxxVovQgcaz', 'UB')
('SL22517-2022-11-02-3798','S159-6','kxFfyynZKp', 'UB')
('SL04652-2022-11-01-3847','S161-7','g', 'SL')
('SL04652-2022-11-01-3849','S161-9','dqNjsJBAwLW', 'LB')
('AC22517-2022-11-01-3967','A221-7','uyAfZXiaPCZ', 'LB')
('AC22517-2022-11-02-3899','A217-11','PEgXxsEhxS', 'SL')
('AC22517-2022-11-01-3975','A221-15','bNacaveFKxPaP', 'UB')
('AC04652-2022-11-01-4058','A226-8','czIOftPZxewhJCb', 'LB')
('SL04652-2022-11-02-3937','S165-1','wU', 'LB')
('AC12058-2022-11-01-3908','A218-2','UQoWokPFuZbR', 'LB')
('AC22517-2022-11-02-3912','A218-6','lHBoe', 'SU')
('AC12058-2022-11-01-3912','A218-6','tACpPMJMr', 'SU')
('SL04652-2022-11-02-3941','S165-5','SDlecJD', 'MB')
('AC12058-2022-11-01-3915','A218-9','Q', 'UB')
('SL22517-2022-11-01-3900','S163-12','umkJu', 'LB')
('AC04652-2022-11-02-3930','A219-6','FkeVbpIcgKsneeV', 'SU')
('AC22517-2022-11-01-4003','A223-7','kLQKtUNN', 'LB')
('SL22517-2022-11-01-3908','S163-20','UpjlLchuUGoMD', 'LB')
('AC04652-2022-11-01-4084','A227-16','Nobme', 'UB')
('SL04652-2022-11-02-3957','S165-21','rFG', 'MB')
('AC04652-2022-11-02-3939','A219-15','MimxKcivEAoOuGa', 'UB')
('SL12058-2022-11-01-3810','S159-18','YUwHAePXhb', 'MB')
('AC12058-2022-11-01-3935','A219-11','bLiNevuS', 'SL')
('SL04652-2022-11-02-3961','S166-1','MHUMAmA', 'LB')
('SL12058-2022-11-01-3811','S159-19','BiWnJ', 'UB')
('AC22517-2022-11-02-3933','A219-9','pvk', 'UB')
('SL22517-2022-11-02-3839','S160-23','TjsSy', 'SL')
('AC12058-2022-11-01-4005','A223-9','qOS', 'UB')
('SL04652-2022-11-01-3949','S165-13','xODAIPlZ', 'MB')
('SL22517-2022-11-01-3981','S166-21','SaEizidcnzOnowPG', 'MB')
('SL04652-2022-11-01-3954','S165-18','bKe', 'MB')
('AC04652-2022-11-01-4172','A232-14','hJHrORrrPAMRv', 'LB')
('SL12058-2022-11-01-3880','S162-16','OvuUyJPnbaZehPLI', 'SU')
('SL22517-2022-11-01-4029','S168-21','MjJPo', 'MB')
('SL22517-2022-11-02-3959','S165-23','AzlJZb', 'SL')
('AC22517-2022-11-01-4122','A229-18','BdwbgQ', 'SU')
('AC04652-2022-11-02-4133','A230-11','djPaYQ', 'SL')
('AC04652-2022-11-02-4136','A230-14','zCPRLdeDzZ', 'LB')
('SL12058-2022-11-01-3994','S167-10','MIpUCVbtb', 'MB')
('SL04652-2022-11-02-4128','S172-24','bEtnmMNdHo', 'SU')
('AC04652-2022-11-02-4145','A231-5','pYPLeuF', 'SL')
('AC22517-2022-11-02-4113','A229-9','YnpkhxVAEGbi', 'UB')
('SL22517-2022-11-01-4141','S173-13','xvNqDyGNuiEUZPN', 'MB')
('SL22517-2022-11-02-4086','S171-6','iZtN', 'UB')
('SL04652-2022-11-01-4113','S172-9','kLOSe', 'LB')
('AC04652-2022-11-01-4347','A242-9','UrtjhJmOF', 'UB')
('AC04652-2022-11-01-4350','A242-12','qYI', 'SU')
('AC22517-2022-11-01-4248','A236-18','tRRER', 'SU')
('AC12058-2022-11-01-4193','A233-17','zJ', 'SL')
('AC12058-2022-11-01-4196','A234-2','oglqeBQkx', 'LB')
('AC22517-2022-11-01-4251','A237-3','SzNFGtEsj', 'UB')
('SL22517-2022-11-02-4105','S172-1','Rc', 'LB')
('AC12058-2022-11-01-4200','A234-6','OXqeOUhKDAJM', 'SU')
('AC22517-2022-11-02-4175','A232-17','xeixpPkEMVC', 'SL')
('AC04652-2022-11-02-4208','A234-14','tzftIDJxwg', 'LB')
('AC22517-2022-11-01-4276','A238-10','ubtSEcrqTCAPsG', 'UB')
('AC12058-2022-11-01-4227','A235-15','eCAKohGNHiKzWZ', 'UB')
('AC22517-2022-11-01-4334','A241-14','tSrN', 'LB')
('AC22517-2022-11-01-4335','A241-15','CCw', 'UB')
('AC04652-2022-11-02-4289','A239-5','qkGnBU', 'SL')
('AC04652-2022-11-02-4290','A239-6','IghJGgfNdVH', 'SU')
('SL04652-2022-11-01-4216','S176-16','wVWtHRaXvpoiag', 'SU')
('SL04652-2022-11-01-4218','S176-18','w', 'MB')
('SL04652-2022-11-01-4219','S176-19','DN', 'UB')
('SL12058-2022-11-01-4156','S174-4','UrnzogZ', 'LB')
('SL12058-2022-11-01-4157','S174-5','QdFgEU', 'MB')
('AC04652-2022-11-01-4461','A248-15','bSGpOmXA', 'UB')
('AC22517-2022-11-02-4275','A238-9','OKsck', 'UB')
('SL22517-2022-11-02-4190','S175-14','FsoZEHqbvBQ', 'UB')
('AC12058-2022-11-01-4289','A239-5','WPeTno', 'SL')
('AC04652-2022-11-01-4469','A249-5','QOlJoOZCcGCGgbfc', 'SL')
('AC12058-2022-11-01-4306','A240-4','NOCrxfbrLJfbvQ', 'UB')
('AC04652-2022-11-02-4314','A240-12','JwGG', 'SU')
('AC22517-2022-11-01-4361','A243-5','ncQEedwMKFgZfFfk', 'SL')
('AC22517-2022-11-01-4362','A243-6','JudLKhrTmZVygUW', 'SU')
('SL04652-2022-11-02-4296','S179-24','blUEF', 'SU')
('SL22517-2022-11-01-4254','S178-6','o', 'UB')
('SL04652-2022-11-01-4232','S177-8','MmajjBW', 'SU')
('SL22517-2022-11-02-4206','S176-6','M', 'UB')
('SL22517-2022-11-02-4220','S176-20','zwEXdPPBdDhm', 'LB')
('SL04652-2022-11-02-4313','S180-17','QCcOeqHMDf', 'LB')
('AC04652-2022-11-01-4498','A250-16','HuEwWEy', 'UB')
('AC22517-2022-11-01-4385','A244-11','uMCXFXbyo', 'SL')
('SL22517-2022-11-01-4276','S179-4','xzcfMawSZ', 'LB')
('SL12058-2022-11-01-4275','S179-3','WZwDGRzEQ', 'UB')
('AC22517-2022-11-01-4466','A249-2','z', 'LB')
('AC04652-2022-11-02-4426','A246-16','DucHKBGufJ', 'UB')
('SL22517-2022-11-01-4355','S182-11','MDihRJA', 'UB')
('SL22517-2022-11-01-4356','S182-12','sabNnSLo', 'LB')
('AC12058-2022-11-01-4419','A246-9','DEoEehBnKqujL', 'UB')
('SL22517-2022-11-01-4357','S182-13','OTNTrv', 'MB')
('AC22517-2022-11-01-4471','A249-7','IIwZAYxjcfVzRycc', 'LB')
('SL22517-2022-11-02-4320','S180-24','NVOW', 'SU')
('AC04652-2022-11-02-4450','A248-4','QAtem', 'UB')
('SL12058-2022-11-01-4306','S180-10','yRAqzJ', 'MB')
('AC12058-2022-11-01-4429','A247-1','xlwT', 'LB')
('AC12058-2022-11-01-4435','A247-7','NUewGtCxVFSh', 'LB')
('SL04652-2022-11-02-4409','S184-17','veuSWtJgXob', 'LB')
('AC04652-2022-11-01-4594','A256-4','EQqSVLakMckoRNRT', 'UB')
('SL04652-2022-11-02-4411','S184-19','Ww', 'UB')
('SL04652-2022-11-01-4364','S182-20','NrJPj', 'LB')
('SL04652-2022-11-01-4373','S183-5','xUJv', 'MB')
('AC04652-2022-11-01-4615','A257-7','CKicBCJ', 'LB')
('SL22517-2022-11-01-4395','S184-3','OBSZTWY', 'UB')
('AC22517-2022-11-02-4452','A248-6','Kjgfq', 'SU')
('SL04652-2022-11-02-4428','S185-12','uUug', 'LB')
('AC04652-2022-11-01-4621','A257-13','F', 'LB')
('AC12058-2022-11-01-4470','A249-6','vdYh', 'SU')
('AC04652-2022-11-01-4632','A258-6','QPFDhksoSx', 'SU')
('AC22517-2022-11-01-4523','A252-5','jcRadXRbvhgyfiW', 'SL')
('AC22517-2022-11-02-4474','A249-10','VOrWIsuTNNLFoO', 'UB')
('AC04652-2022-11-02-4491','A250-9','kxhaIsPfvhcbFiXj', 'UB')
('SL22517-2022-11-02-4369','S183-1','baglA', 'LB')
('AC22517-2022-11-01-4526','A252-8','wFlIB', 'LB')
('SL22517-2022-11-02-4376','S183-8','dtH', 'SU')
('AC12058-2022-11-01-4488','A250-6','LofQAlLPAnJVrh', 'SU')
('AC22517-2022-11-02-4538','A253-2','IjwZE', 'LB')
('AC12058-2022-11-01-4531','A252-13','Sm', 'LB')
('SL22517-2022-11-02-4424','S185-8','XFrbYfpDsExmjkWQ', 'SU')
('SL22517-2022-11-01-4458','S186-18','CPVgIUdPwh', 'MB')
('AC22517-2022-11-02-4552','A253-16','NIsQMVftciTXfR', 'UB')
('AC22517-2022-11-02-4553','A253-17','pVffaDBsgVsLZVf', 'SL')
('AC22517-2022-11-01-4582','A255-10','qidLa', 'UB')
('AC04652-2022-11-02-4547','A253-11','Qf', 'SL')
('AC12058-2022-11-01-4539','A253-3','WQzW', 'UB')
('AC22517-2022-11-01-4584','A255-12','fyzIhNtyzJ', 'SU')
('SL22517-2022-11-01-4467','S187-3','hKMRWBcEsNGrk', 'UB')
('AC12058-2022-11-01-4542','A253-6','cJmqLZuxmrSibSGT', 'SU')
('AC22517-2022-11-02-4557','A254-3','oSoTKIvs', 'UB')
('AC04652-2022-11-01-4709','A262-11','ZrkCdBtnD', 'SL')
('AC04652-2022-11-01-4710','A262-12','FmYoeoy', 'SU')
('SL12058-2022-11-01-4419','S185-3','bemwBmY', 'UB')
('AC22517-2022-11-02-4562','A254-8','IiFOpEIV', 'LB')
('AC04652-2022-11-01-4717','A263-1','pTfpMqFMbz', 'LB')
('AC04652-2022-11-02-4552','A253-16','o', 'UB')
('AC04652-2022-11-02-4554','A253-18','zGOgiPruRMNz', 'SU')
('SL04652-2022-11-01-4472','S187-8','QbbzYxWDwkz', 'SU')
('AC22517-2022-11-02-4567','A254-13','OuLcR', 'LB')
('SL04652-2022-11-02-4521','S189-9','YavjyJtJWXDuan', 'LB')
('AC12058-2022-11-01-4545','A253-9','Kf', 'UB')
('AC04652-2022-11-01-4721','A263-5','xBhuoRz', 'SL')
('AC04652-2022-11-02-4557','A254-3','UdvE', 'UB')
('AC04652-2022-11-02-4558','A254-4','vhAmaYzDk', 'UB')
('SL12058-2022-11-01-4429','S185-13','HhpheFSE', 'MB')
('AC04652-2022-11-02-4560','A254-6','LpzHFgJUuQPuIj', 'SU')
('SL04652-2022-11-02-4523','S189-11','AHVtDlZKbHKzr', 'UB')
('AC22517-2022-11-02-4597','A256-7','kmbMSaDtFol', 'LB')
('SL04652-2022-11-02-4543','S190-7','YzkdIozMTTlJynaX', 'SL')
('SL22517-2022-11-01-4500','S188-12','PR', 'LB')
('SL22517-2022-11-02-4460','S186-20','XSZDrKdDuSOYxds', 'LB')
('SL22517-2022-11-01-4502','S188-14','TsYqWtPuHfFWYlX', 'UB')
('AC04652-2022-11-02-4581','A255-9','INBNKRMxyCbjgee', 'UB')
('AC22517-2022-11-01-4616','A257-8','KeyU', 'LB')
('AC22517-2022-11-02-4605','A256-15','xsg', 'UB')
('AC04652-2022-11-02-4596','A256-6','icxnMCF', 'SU')
('AC04652-2022-11-02-4627','A258-1','loBGc', 'LB')
('SL04652-2022-11-01-4547','S190-11','VrU', 'UB')
('AC22517-2022-11-02-4663','A260-1','OmLEIKoFTn', 'LB')
('AC12058-2022-11-01-4626','A257-18','sSddtMY', 'SU')
('AC04652-2022-11-02-4634','A258-8','MhjFOU', 'LB')
('SL04652-2022-11-01-4557','S190-21','PSDhfthHowkSUkE', 'MB')
('AC04652-2022-11-02-4636','A258-10','NpZFdqD', 'UB')
('SL12058-2022-11-01-4529','S189-17','UMVIVWatccnu', 'LB')
('AC22517-2022-11-01-4683','A261-3','vUMuHXGPrAeGs', 'UB')
('SL04652-2022-11-02-4626','S193-18','ChwHbycFVvvrZ', 'MB')
('AC04652-2022-11-01-4834','A269-10','ei', 'UB')
('AC22517-2022-11-01-4685','A261-5','fuDd', 'SL')
('AC04652-2022-11-02-4729','A263-13','pXfFjodHJoKaubEG', 'LB')
('AC22517-2022-11-01-4735','A264-1','gbuczuWIp', 'LB')
('AC12058-2022-11-01-4752','A264-18','b', 'SU')
('AC12058-2022-11-01-4788','A266-18','lRiZXBug', 'SU')
('SL04652-2022-11-01-4708','S197-4','NnKcVYzbraJryHn', 'LB')
('AC04652-2022-11-01-4991','A278-5','nrSu', 'SL')
('SL04652-2022-11-01-4712','S197-8','Qwt', 'SU')
('SL04652-2022-11-01-4713','S197-9','itDqabgfoPdONqU', 'LB')
('SL04652-2022-11-02-4749','S198-21','m', 'MB')
('AC04652-2022-11-02-4795','A267-7','xiJZqcnQ', 'LB')
('SL22517-2022-11-01-4711','S197-7','eaoXuYmQHKHMfH', 'SL')
('SL12058-2022-11-01-4696','S196-16','CRniuOxrUHWkNQ', 'SU')
('SL04652-2022-11-01-4740','S198-12','GPjqw', 'LB')
('SL04652-2022-11-02-4774','S199-22','IbxfUMlIqCFHoYyO', 'UB')
('SL22517-2022-11-02-4710','S197-6','HY', 'UB')
('AC04652-2022-11-02-4816','A268-10','gESvnzntvhJ', 'UB')
('SL04652-2022-11-01-4748','S198-20','PEUKBWNjWkJsC', 'LB')
('AC12058-2022-11-01-4827','A269-3','xzNiraYwPnLucq', 'UB')
('AC04652-2022-11-01-5031','A280-9','adLMUIUt', 'UB')
('SL22517-2022-11-01-4731','S198-3','pF', 'UB')
('SL22517-2022-11-02-4714','S197-10','ynnQlcnJaE', 'MB')
('SL04652-2022-11-01-4755','S199-3','vQ', 'UB')
('SL22517-2022-11-01-4738','S198-10','YsaPGG', 'MB')
('AC12058-2022-11-01-4839','A269-15','FQyPj', 'UB')
('SL04652-2022-11-01-4766','S199-14','kq', 'UB')
('SL04652-2022-11-01-4771','S199-19','nlxUkUcQBGkR', 'UB')
('AC04652-2022-11-01-5056','A281-16','fiEuvkKC', 'UB')
('AC04652-2022-11-02-4844','A270-2','KnPLFudOtVIlToWk', 'LB')
('AC12058-2022-11-01-4854','A270-12','p', 'SU')
('SL22517-2022-11-02-4741','S198-13','Ld', 'MB')
('AC04652-2022-11-01-5061','A282-3','FpimbJZsBPTS', 'UB')
('AC22517-2022-11-01-4864','A271-4','maCaGeWhxltchD', 'UB')
('AC04652-2022-11-02-4850','A270-8','xSnPDYsju', 'LB')
('AC22517-2022-11-02-4896','A272-18','jLaOzNucqQqN', 'SU')
('SL22517-2022-11-01-4760','S199-8','dtKKLcy', 'SU')
('AC22517-2022-11-02-4900','A273-4','S', 'UB')
('AC04652-2022-11-01-5122','A285-10','gcHbMoDz', 'UB')
('AC22517-2022-11-02-4943','A275-11','qpmeo', 'SL')
('AC22517-2022-11-02-4944','A275-12','Rt', 'SU')
('SL22517-2022-11-02-4811','S201-11','eqPIczGROk', 'UB')
('SL04652-2022-11-01-4848','S202-24','i', 'SU')
('AC12058-2022-11-01-4900','A273-4','kN', 'UB')
('SL12058-2022-11-01-4793','S200-17','TqgFszXyROgDVJH', 'LB')
('SL22517-2022-11-02-4814','S201-14','FaNa', 'UB')
('AC22517-2022-11-01-4919','A274-5','kPnoPqXADM', 'SL')
('AC12058-2022-11-01-4905','A273-9','V', 'UB')
('SL12058-2022-11-01-4798','S200-22','ERAegaR', 'UB')
('AC12058-2022-11-01-4909','A273-13','xKsAjKZu', 'LB')
('SL22517-2022-11-02-4827','S202-3','INIZtxrLmEDtR', 'UB')
('SL04652-2022-11-01-4864','S203-16','qqL', 'SU')
('AC22517-2022-11-02-4963','A276-13','WeZK', 'LB')
('SL22517-2022-11-01-4839','S202-15','QoPa', 'SL')
('SL04652-2022-11-02-4877','S204-5','TptrptMgP', 'MB')
('AC22517-2022-11-02-5002','A278-16','lOAbZT', 'UB')
('AC22517-2022-11-02-5007','A279-3','XGez', 'UB')
('SL04652-2022-11-02-4910','S205-14','cQx', 'UB')
('SL04652-2022-11-01-4897','S205-1','SubCp', 'LB')
('SL22517-2022-11-02-4911','S205-15','UyRpUGt', 'SL')
('SL22517-2022-11-01-4905','S205-9','VtpvfvIQkXEM', 'LB')
('AC22517-2022-11-01-5018','A279-14','blgQUYSBIg', 'LB')
('AC22517-2022-11-02-5053','A281-13','AmNVvLfqs', 'LB')
('SL04652-2022-11-01-4935','S206-15','ESYnZcMOimsm', 'SL')
('SL22517-2022-11-02-4930','S206-10','At', 'MB')
('AC22517-2022-11-01-5035','A280-13','J', 'LB')
('AC04652-2022-11-02-5056','A281-16','rpsDddPF', 'UB')
('AC12058-2022-11-01-5012','A279-8','sLi', 'LB')
('SL04652-2022-11-01-4947','S207-3','tedYAHXRS', 'UB')
('SL04652-2022-11-01-4948','S207-4','q', 'LB')
('SL12058-2022-11-01-4898','S205-2','XSVUFGgVjpd', 'MB')
('AC04652-2022-11-02-5065','A282-7','wudGhUh', 'LB')
('AC04652-2022-11-01-5261','A293-5','LAftKGGKLaVxopC', 'SL')
('AC04652-2022-11-02-5067','A282-9','AuKg', 'UB')
('SL22517-2022-11-02-4965','S207-21','yjuWmiVXF', 'MB')
('SL04652-2022-11-02-5020','S210-4','sRuRX', 'LB')
('AC22517-2022-11-02-5125','A285-13','oUfrkrbmzbpPulnW', 'LB')
('SL22517-2022-11-01-4977','S208-9','sbc', 'LB')
('SL04652-2022-11-01-5001','S209-9','QxwWrGgTepqIxs', 'LB')
('AC12058-2022-11-01-5060','A282-2','NrVgxszJOUpAI', 'LB')
('SL12058-2022-11-01-4940','S206-20','jNqkwycCv', 'LB')
('SL12058-2022-11-01-4942','S206-22','COjCHucG', 'UB')
('AC22517-2022-11-01-5098','A284-4','JiTQoCfTYgiDs', 'UB')
('SL12058-2022-11-01-4947','S207-3','UmttLEQWNiT', 'UB')
