('SL12058-2022-11-01-1','S1-1','thYjYi', 'LB')
('SL22517-2022-11-01-1132','S48-4','iiBoiEZrVG', 'LB')
('AC12058-2022-11-01-1120','A63-4','GDXfheMPoqewmi', 'UB')
('SL22517-2022-11-01-1133','S48-5','EaVPquKahgMHmfMu', 'MB')
('AC04652-2022-11-02-1113','A62-15','emcziUdfSF', 'UB')
('SL12058-2022-11-01-1117','S47-13','kgfHPflofqJ', 'MB')
('SL04652-2022-11-02-1098','S46-18','tekEDBPeMLaBYBX', 'MB')
('AC22517-2022-11-02-1171','A66-1','SimTzIcpy', 'LB')
('AC22517-2022-11-01-1125','A63-9','hbeLINnJLylTEaK', 'UB')
('SL04652-2022-11-02-1110','S47-6','qDPGyHHZVk', 'UB')
('SL22517-2022-11-01-1198','S50-22','DvsOSRMaOIZF', 'UB')
('AC12058-2022-11-01-1181','A66-11','UEBnUvYPiUeCFr', 'SL')
('SL12058-2022-11-01-1177','S50-1','kjZMygEzeR', 'LB')
('AC12058-2022-11-01-1183','A66-13','pfJxPBytgM', 'LB')
('AC04652-2022-11-02-1176','A66-6','DukOvTX', 'SU')
('AC22517-2022-11-02-1223','A68-17','OCAj', 'SL')
('SL22517-2022-11-02-1230','S52-6','wXA', 'UB')
('AC22517-2022-11-02-1225','A69-1','HJUoLqr', 'LB')
('SL22517-2022-11-01-1203','S51-3','dMNqInNTNn', 'UB')
('SL04652-2022-11-02-1176','S49-24','UISvfMKqgkJiwtyk', 'SU')
('SL22517-2022-11-02-1235','S52-11','IwaLezI', 'UB')
('SL04652-2022-11-02-1178','S50-2','abj', 'MB')
('SL12058-2022-11-01-1192','S50-16','qFynuph', 'SU')
('AC04652-2022-11-02-1227','A69-3','WmMxHGdCFT', 'UB')
('SL22517-2022-11-01-1261','S53-13','LJCc', 'MB')
('SL12058-2022-11-01-1230','S52-6','SMsFY', 'UB')
('SL22517-2022-11-01-1265','S53-17','aXJDesMf', 'LB')
('AC22517-2022-11-01-1222','A68-16','TuMOqpV', 'UB')
('AC04652-2022-11-02-1237','A69-13','tZPuOEkzqlgVqSd', 'LB')
('AC04652-2022-11-01-1276','A71-16','jM', 'UB')
('SL04652-2022-11-01-1266','S53-18','Fk', 'MB')
('SL22517-2022-11-02-1296','S54-24','fDcxjFS', 'SU')
('AC04652-2022-11-01-1283','A72-5','AxNCOpFkvEy', 'SL')
('AC04652-2022-11-01-1284','A72-6','nfwWn', 'SU')
('SL04652-2022-11-02-1237','S52-13','POEbYrQTFSak', 'MB')
('SL22517-2022-11-02-1302','S55-6','PkdKwUWDi', 'UB')
('SL22517-2022-11-02-1303','S55-7','s', 'SL')
('AC12058-2022-11-01-1270','A71-10','NPXI', 'UB')
('SL04652-2022-11-02-1272','S53-24','s', 'SU')
('SL04652-2022-11-02-1273','S54-1','NxyjyjMkepbL', 'LB')
('SL04652-2022-11-01-1300','S55-4','AzczfDel', 'LB')
('SL22517-2022-11-02-1378','S58-10','rWjITQOhGWw', 'MB')
('AC04652-2022-11-01-1366','A76-16','sWZdJwuZcSpSr', 'UB')
('AC12058-2022-11-01-1349','A75-17','uWlLfZtsBwsKMk', 'SL')
('SL22517-2022-11-01-1347','S57-3','aNkxGhuziQJvj', 'UB')
('AC12058-2022-11-01-1351','A76-1','e', 'LB')
('AC04652-2022-11-02-1333','A75-1','QznLhk', 'LB')
('SL22517-2022-11-01-1348','S57-4','AjxeaxEzuk', 'LB')
('SL12058-2022-11-01-1328','S56-8','OLufjiQZLUraBgh', 'SU')
('AC04652-2022-11-02-1335','A75-3','qkRMSnSJSMrM', 'UB')
('SL04652-2022-11-02-1332','S56-12','VnhzOZF', 'LB')
('SL12058-2022-11-01-1330','S56-10','Fcm', 'MB')
('SL22517-2022-11-01-1349','S57-5','tMeKRQforY', 'MB')
('SL22517-2022-11-02-1392','S58-24','CUZKVZSztkd', 'SU')
('SL12058-2022-11-01-1335','S56-15','kuswvmTuZ', 'SL')
('AC12058-2022-11-01-1361','A76-11','tbEeKza', 'SL')
('SL04652-2022-11-02-1337','S56-17','ApDqzqSWJyTwQP', 'LB')
('SL12058-2022-11-01-1339','S56-19','pwFKMAMIAH', 'UB')
('AC04652-2022-11-02-1342','A75-10','H', 'UB')
('SL22517-2022-11-01-1355','S57-11','fHNEyOhHuY', 'UB')
('SL22517-2022-11-01-1385','S58-17','IIEwYNSb', 'LB')
('AC22517-2022-11-01-1376','A77-8','dsJ', 'LB')
('SL22517-2022-11-01-1387','S58-19','l', 'UB')
('AC22517-2022-11-01-1377','A77-9','JGhHPBxzKO', 'UB')
('SL12058-2022-11-01-1383','S58-15','hHSmrPEiXkq', 'SL')
('AC22517-2022-11-02-1427','A80-5','EwPMbNNVolmeDK', 'SL')
('AC22517-2022-11-02-1428','A80-6','sGJgAAZyPcES', 'SU')
('AC22517-2022-11-02-1429','A80-7','aP', 'LB')
('AC04652-2022-11-01-1423','A80-1','KCFlWGZOzEq', 'LB')
('AC22517-2022-11-02-1431','A80-9','MXfHozkRaCGlu', 'UB')
('SL22517-2022-11-02-1440','S60-24','ZdDHGeJN', 'SU')
('SL04652-2022-11-02-1377','S58-9','zgawSgew', 'LB')
('AC12058-2022-11-01-1421','A79-17','UAaqUDHNyNTmzYiW', 'SL')
('AC04652-2022-11-01-1432','A80-10','cALEkdRtHnkbcRQv', 'UB')
('AC22517-2022-11-01-1397','A78-11','iKVaOBhoSBELDeOO', 'SL')
('SL22517-2022-11-02-1447','S61-7','JhRjEFJiScteRxZc', 'SL')
('SL04652-2022-11-01-1416','S59-24','nyoy', 'SU')
('SL04652-2022-11-02-1392','S58-24','aoJtNeoG', 'SU')
('SL12058-2022-11-01-1391','S58-23','mHeeMCezDYJGOm', 'SL')
('AC04652-2022-11-01-1438','A80-16','kvZdbwrPYF', 'UB')
('SL04652-2022-11-01-1423','S60-7','WNiWZybOvOZhOnZ', 'SL')
('AC12058-2022-11-01-1450','A81-10','hUQrIALFJL', 'UB')
('SL04652-2022-11-02-1418','S60-2','oqkTYClVYr', 'MB')
('SL22517-2022-11-01-1438','S60-22','JABCwlxptp', 'UB')
('SL04652-2022-11-02-1422','S60-6','EoYcCeCbXq', 'UB')
('AC22517-2022-11-02-1479','A83-3','zsDeJLlcjqzGFO', 'UB')
('SL04652-2022-11-01-1508','S63-20','QWmPNhZyqobrx', 'LB')
('AC12058-2022-11-01-1510','A84-16','KHnhSAQBlb', 'UB')
('SL22517-2022-11-02-1544','S65-8','DUSjYEg', 'SU')
('AC04652-2022-11-01-1525','A85-13','VowL', 'LB')
('SL22517-2022-11-01-1493','S63-5','aGtOyBucXbrLsO', 'MB')
('AC22517-2022-11-01-1472','A82-14','sPY', 'LB')
('AC04652-2022-11-02-1468','A82-10','oaTmO', 'UB')
('SL12058-2022-11-01-1476','S62-12','JFuiTGiy', 'LB')
('AC04652-2022-11-02-1470','A82-12','SnbDrGnJjfIigmQU', 'SU')
('AC12058-2022-11-01-1523','A85-11','BYkaMeHIYAQMN', 'SL')
('AC22517-2022-11-01-1476','A82-18','loZQudxVXIeOi', 'SU')
('SL04652-2022-11-02-1499','S63-11','qjfhnjoawPVN', 'UB')
('AC04652-2022-11-01-1539','A86-9','PGr', 'UB')
('SL22517-2022-11-01-1506','S63-18','QMBsVkYfvrOXE', 'MB')
('AC04652-2022-11-01-1542','A86-12','aVTvzXNmultoJ', 'SU')
('AC04652-2022-11-01-1543','A86-13','MrfGnMqLiPTmzi', 'LB')
('AC22517-2022-11-02-1562','A87-14','XpRqNPiSXjET', 'LB')
('SL22517-2022-11-02-1568','S66-8','EeBlraaeIVWYcR', 'SU')
('AC04652-2022-11-02-1487','A83-11','fybGCfoMONG', 'SL')
('SL04652-2022-11-02-1512','S63-24','vpobhvodxMQ', 'SU')
('AC12058-2022-11-01-1538','A86-8','JIjBOuErIc', 'LB')
('SL12058-2022-11-01-1502','S63-14','oLzqGdbxAtgeCTKE', 'UB')
('AC22517-2022-11-02-1570','A88-4','SiVvC', 'UB')
('AC04652-2022-11-02-1493','A83-17','HQDiGxZuQAKzeE', 'SL')
('SL04652-2022-11-02-1518','S64-6','TdqawD', 'UB')
('SL22517-2022-11-01-1526','S64-14','uvyVTE', 'UB')
('SL12058-2022-11-01-1505','S63-17','qze', 'LB')
('SL04652-2022-11-02-1521','S64-9','umwPRAvb', 'LB')
('AC22517-2022-11-01-1493','A83-17','IomWVzHWykPny', 'SL')
('SL12058-2022-11-01-1508','S63-20','B', 'LB')
('SL22517-2022-11-01-1529','S64-17','jjcLfNfMLIKx', 'LB')
('SL04652-2022-11-01-1547','S65-11','IvVCVtbllcWY', 'UB')
('SL22517-2022-11-01-1534','S64-22','ZttZnSQBK', 'UB')
('AC04652-2022-11-02-1505','A84-11','BdUdyGZMdqyvqKsa', 'SL')
('AC04652-2022-11-01-1567','A88-1','WqEEkumvpCty', 'LB')
('AC12058-2022-11-01-1568','A88-2','cPLeKMoZIuVJrdo', 'LB')
('AC12058-2022-11-01-1569','A88-3','KxMWS', 'UB')
('AC22517-2022-11-02-1586','A89-2','lLtqyKkXu', 'LB')
('AC04652-2022-11-02-1519','A85-7','xZDiQ', 'LB')
('SL04652-2022-11-01-1562','S66-2','ilcnBNNZdneYByVC', 'MB')
('SL12058-2022-11-01-1527','S64-15','QyCSEj', 'SL')
('SL04652-2022-11-01-1564','S66-4','CzlPSVJyunatkoah', 'LB')
('SL22517-2022-11-02-1597','S67-13','cTi', 'MB')
('AC04652-2022-11-01-1583','A88-17','IzPZpv', 'SL')
('SL04652-2022-11-01-1567','S66-7','Cr', 'SL')
('AC22517-2022-11-02-1593','A89-9','rlDKomnVcoPLGl', 'UB')
('SL12058-2022-11-01-1535','S64-23','VVSHbtkoTo', 'SL')
('AC04652-2022-11-02-1524','A85-12','sQiouX', 'SU')
('SL04652-2022-11-02-1547','S65-11','xBPdNtXEmu', 'UB')
('SL22517-2022-11-02-1609','S68-1','PjefddbBgXzol', 'LB')
('AC04652-2022-11-01-1617','A90-15','CEDIjlNoy', 'UB')
('AC22517-2022-11-02-1620','A90-18','ppRkLPAazHf', 'SU')
('AC12058-2022-11-01-1603','A90-1','mzHMXLBzqfAyx', 'LB')
('SL04652-2022-11-02-1569','S66-9','MCsWmDqfBOlmH', 'LB')
('AC22517-2022-11-01-1544','A86-14','AdaVKRxEHPygDAps', 'LB')
('AC12058-2022-11-01-1609','A90-7','KXeBMb', 'LB')
('SL12058-2022-11-01-1583','S66-23','PpLEISKb', 'SL')
('SL04652-2022-11-01-1610','S68-2','VyPvoJIRsePqHFsQ', 'MB')
('AC22517-2022-11-02-1663','A93-7','MqmhCVmwXlwn', 'LB')
('SL04652-2022-11-01-1648','S69-16','PUuZDDS', 'SU')
('SL04652-2022-11-02-1615','S68-7','fgFmzwoQ', 'SL')
('AC04652-2022-11-01-1677','A94-3','XgdvyZZzpHp', 'UB')
('AC22517-2022-11-02-1669','A93-13','gNCiRb', 'LB')
('AC22517-2022-11-01-1589','A89-5','IB', 'SL')
('AC22517-2022-11-02-1674','A93-18','rCqGxYLneVW', 'SU')
('AC12058-2022-11-01-1656','A92-18','IxNttCnFdIPXf', 'SU')
('AC12058-2022-11-01-1659','A93-3','UEAcMmok', 'UB')
('AC04652-2022-11-01-1683','A94-9','NNlbYfVL', 'UB')
('SL22517-2022-11-02-1693','S71-13','YEEiN', 'MB')
('SL12058-2022-11-01-1640','S69-8','dQtc', 'SU')
('SL22517-2022-11-01-1654','S69-22','DaIx', 'UB')
('AC04652-2022-11-02-1598','A89-14','xt', 'LB')
('SL04652-2022-11-01-1657','S70-1','AEvekU', 'LB')
('SL22517-2022-11-01-1657','S70-1','JOplHwTUOd', 'LB')
('AC04652-2022-11-01-1693','A95-1','hGFhbkhN', 'LB')
('AC04652-2022-11-01-1694','A95-2','dtyfEUld', 'LB')
('AC22517-2022-11-01-1614','A90-12','KkdSnSNkdm', 'SU')
('AC12058-2022-11-01-1676','A94-2','PnkOsAmulmjvv', 'LB')
('SL04652-2022-11-01-1670','S70-14','qonzJnoncpLWYh', 'UB')
('AC22517-2022-11-01-1620','A90-18','lqBcaVV', 'SU')
('AC04652-2022-11-02-1618','A90-16','MGUYFiUASWYnQRG', 'UB')
('SL22517-2022-11-02-1721','S72-17','hJryV', 'LB')
('SL22517-2022-11-02-1722','S72-18','t', 'MB')
('SL04652-2022-11-01-1675','S70-19','PHPnkaXn', 'UB')
('AC04652-2022-11-02-1619','A90-17','gFrDS', 'SL')
('AC04652-2022-11-01-1713','A96-3','PZauajqETSSJSt', 'UB')
('SL22517-2022-11-01-1679','S70-23','yUox', 'SL')
('SL22517-2022-11-02-1724','S72-20','TEvtYXbzGOmloKIA', 'LB')
('SL12058-2022-11-01-1663','S70-7','bGoWF', 'SL')
('AC04652-2022-11-02-1622','A91-2','K', 'LB')
('AC22517-2022-11-02-1727','A96-17','Zhz', 'SL')
('SL22517-2022-11-01-1691','S71-11','CuXqv', 'UB')
('SL04652-2022-11-01-1684','S71-4','TphTGJIaaeAIKJL', 'LB')
('SL04652-2022-11-02-1668','S70-12','AlZIKbg', 'LB')
('AC22517-2022-11-02-1735','A97-7','lRnVCXeAdL', 'LB')
('AC04652-2022-11-02-1633','A91-13','GiP', 'LB')
('AC04652-2022-11-01-1736','A97-8','BQedbBLnrPkKYY', 'LB')
('SL22517-2022-11-02-1734','S73-6','sTcGMQXKs', 'UB')
('SL22517-2022-11-02-1735','S73-7','StyyMGYZzQGrJFfg', 'SL')
('AC22517-2022-11-01-1648','A92-10','VTS', 'UB')
('AC22517-2022-11-02-1742','A97-14','iqXSpZ', 'LB')
('SL04652-2022-11-01-1696','S71-16','JkdBhecEr', 'SU')
('SL22517-2022-11-01-1707','S72-3','dQRegucXlID', 'UB')
('SL22517-2022-11-01-1713','S72-9','nEkFUjECWkhBNihP', 'LB')
('AC04652-2022-11-02-1645','A92-7','FToZoZhMaYEHQlF', 'LB')
('AC22517-2022-11-02-1751','A98-5','Jow', 'SL')
('AC22517-2022-11-01-1657','A93-1','luUfqCVvYdw', 'LB')
('SL04652-2022-11-01-1715','S72-11','gOcavkFRRdQ', 'UB')
('AC12058-2022-11-01-1715','A96-5','LW', 'SL')
('SL22517-2022-11-01-1731','S73-3','MS', 'UB')
('SL22517-2022-11-01-1733','S73-5','zrsavaFs', 'MB')
('AC22517-2022-11-02-1770','A99-6','lT', 'SU')
('SL04652-2022-11-02-1702','S71-22','mUXSWIUXn', 'UB')
('AC04652-2022-11-02-1661','A93-5','JHSi', 'SL')
('SL04652-2022-11-02-1710','S72-6','HsHdJWbdnpNdEl', 'UB')
('AC04652-2022-11-02-1669','A93-13','KmQIgNdXFV', 'LB')
('AC12058-2022-11-01-1729','A97-1','UhqnJC', 'LB')
('SL22517-2022-11-01-1751','S73-23','nGa', 'SL')
('SL04652-2022-11-02-1738','S73-10','sj', 'MB')
('SL22517-2022-11-02-1799','S75-23','ib', 'SL')
('SL22517-2022-11-02-1831','S77-7','EhdDKbWOKOpJPTa', 'SL')
('AC22517-2022-11-01-1746','A97-18','KakBoPKtUp', 'SU')
('AC22517-2022-11-02-1843','A103-7','gJSMJAafoNNzC', 'LB')
('AC04652-2022-11-02-1738','A97-10','nw', 'UB')
('AC04652-2022-11-01-1859','A104-5','fRmPWGZ', 'SL')
('AC04652-2022-11-02-1740','A97-12','HrIytUWp', 'SU')
('SL04652-2022-11-01-1798','S75-22','XUmTvklmQHLtanzr', 'UB')
('SL22517-2022-11-01-1840','S77-16','gHAxDRoZlnY', 'SU')
('AC22517-2022-11-01-1755','A98-9','yVvxxxUj', 'UB')
('AC22517-2022-11-01-1756','A98-10','nOQznjDaZR', 'UB')
('AC04652-2022-11-02-1751','A98-5','j', 'SL')
('AC22517-2022-11-02-1889','A105-17','qiYBZTZyuYJwZlrl', 'SL')
('AC22517-2022-11-01-1798','A100-16','QuvQ', 'UB')
('AC22517-2022-11-02-1895','A106-5','ouMpffpYsId', 'SL')
('AC04652-2022-11-02-1799','A100-17','AXCLInU', 'SL')
('SL22517-2022-11-02-1882','S79-10','wPdoswaub', 'MB')
('AC04652-2022-11-01-1914','A107-6','uuLpOrYrDUiZ', 'SU')
('SL22517-2022-11-02-1886','S79-14','nCpQFXxymb', 'UB')
('AC22517-2022-11-02-1900','A106-10','KjvbAhyMGVUJVLX', 'UB')
('AC22517-2022-11-01-1805','A101-5','qvYIrv', 'SL')
('AC22517-2022-11-02-1904','A106-14','YBsLTTil', 'LB')
('AC22517-2022-11-02-1908','A106-18','NgIVsWg', 'SU')
('AC22517-2022-11-01-1830','A102-12','okQdsB', 'SU')
('AC04652-2022-11-02-1823','A102-5','annR', 'SL')
('SL22517-2022-11-02-1916','S80-20','xotgWlLro', 'LB')
('SL22517-2022-11-01-1930','S81-10','EmH', 'MB')
('AC04652-2022-11-01-1952','A109-8','evNTSniPozNB', 'LB')
('SL04652-2022-11-01-1964','S82-20','CbMqEQI', 'LB')
('AC22517-2022-11-02-1987','A111-7','pU', 'LB')
('AC22517-2022-11-02-1988','A111-8','rMzBFwqGGJtNx', 'LB')
('SL22517-2022-11-01-1975','S83-7','kWfq', 'SL')
('SL12058-2022-11-01-1922','S81-2','m', 'MB')
('SL22517-2022-11-02-1988','S83-20','OZOkKA', 'LB')
('SL04652-2022-11-02-1926','S81-6','NtAKbunuQ', 'UB')
('AC04652-2022-11-01-2006','A112-8','hEihyWYunZo', 'LB')
('SL04652-2022-11-02-1930','S81-10','ytwoQzAiQKHRU', 'MB')
('AC12058-2022-11-01-1974','A110-12','OHHVyN', 'SU')
('AC22517-2022-11-02-2010','A112-12','IggWRMejJLpLPJxd', 'SU')
('SL12058-2022-11-01-1951','S82-7','RHnkYLRp', 'SL')
('AC04652-2022-11-02-1920','A107-12','thpKD', 'SU')
('AC04652-2022-11-02-1921','A107-13','sC', 'LB')
('AC22517-2022-11-02-2030','A113-14','dsbXrpauNpE', 'LB')
('AC12058-2022-11-01-1993','A111-13','cZNOCsz', 'LB')
('SL04652-2022-11-01-2007','S84-15','zuzrO', 'SL')
('SL04652-2022-11-01-2008','S84-16','QPOMDGyRjEvy', 'SU')
('SL04652-2022-11-01-2009','S84-17','zpe', 'LB')
('AC04652-2022-11-01-2035','A114-1','ACYaMWnUZJK', 'LB')
('AC04652-2022-11-02-1927','A108-1','ADLOuzuWjMGFqven', 'LB')
('SL22517-2022-11-02-2019','S85-3','LRLDNLrK', 'UB')
('SL04652-2022-11-01-2017','S85-1','iJXnWDVCj', 'LB')
('AC04652-2022-11-02-1934','A108-8','Ixa', 'LB')
('AC04652-2022-11-02-1935','A108-9','RwdbhF', 'UB')
('SL04652-2022-11-02-1966','S82-22','epG', 'UB')
('SL12058-2022-11-01-1981','S83-13','SOm', 'MB')
('SL22517-2022-11-01-2017','S85-1','MqDoEncIcx', 'LB')
('SL22517-2022-11-01-2018','S85-2','xCQbbtTuqdXArBjN', 'MB')
('AC22517-2022-11-02-2043','A114-9','QFWNobZDpegEbIAX', 'UB')
('SL22517-2022-11-02-2031','S85-15','owpn', 'SL')
('AC22517-2022-11-02-2046','A114-12','pEbHFxnkDv', 'SU')
('AC04652-2022-11-02-1943','A108-17','sAOC', 'SL')
('AC22517-2022-11-01-1938','A108-12','dqwlCftN', 'SU')
('SL12058-2022-11-01-1993','S84-1','XuUgWDyCldZ', 'LB')
('AC04652-2022-11-01-2051','A114-17','ADrrLdNBE', 'SL')
('AC04652-2022-11-01-2052','A114-18','Yc', 'SU')
('AC12058-2022-11-01-2015','A112-17','LhTxDxXJCPRD', 'SL')
('AC04652-2022-11-02-1949','A109-5','QCqSTUuYONanx', 'SL')
('AC04652-2022-11-01-2053','A115-1','qiavkY', 'LB')
('SL04652-2022-11-01-2038','S85-22','acMNNwZbGqaZZ', 'UB')
('SL04652-2022-11-02-1982','S83-14','iOVtpdBewoSeTMj', 'UB')
('SL22517-2022-11-01-2030','S85-14','fqSfQXuG', 'UB')
('SL04652-2022-11-01-2041','S86-1','eDwBiUOcJ', 'LB')
('AC22517-2022-11-02-2060','A115-8','Z', 'LB')
('SL22517-2022-11-01-2034','S85-18','yaYW', 'MB')
('AC04652-2022-11-01-2056','A115-4','cIMG', 'UB')
('AC04652-2022-11-01-2059','A115-7','YYfYwTXQLEiT', 'LB')
('SL04652-2022-11-02-1990','S83-22','MjmORKXNYnNafeOs', 'UB')
('SL04652-2022-11-01-2050','S86-10','UyJ', 'MB')
('SL22517-2022-11-01-2063','S86-23','DHLXo', 'SL')
('SL04652-2022-11-02-2020','S85-4','wZ', 'LB')
('SL04652-2022-11-02-2021','S85-5','QpvjoReI', 'MB')
('SL04652-2022-11-01-2084','S87-20','PLQOTcmMtahR', 'LB')
('SL12058-2022-11-01-2045','S86-5','aKeo', 'MB')
('AC04652-2022-11-02-2009','A112-11','sqmtIp', 'SL')
('AC22517-2022-11-01-1997','A111-17','bWgJBiuzJvoDKIv', 'SL')
('SL04652-2022-11-02-2035','S85-19','MxFYcmrLDbcaPO', 'UB')
('SL04652-2022-11-01-2103','S88-15','VYMrItGxwaobPRF', 'SL')
('AC04652-2022-11-02-2025','A113-9','YytszvMERCm', 'UB')
('SL22517-2022-11-02-2105','S88-17','WgoNlcSUAqatoA', 'LB')
('AC22517-2022-11-01-2007','A112-9','YDFXLUQtTYSe', 'UB')
('AC12058-2022-11-01-2085','A116-15','rXAmg', 'UB')
('AC22517-2022-11-01-2008','A112-10','QcjLXjnojXzFHF', 'UB')
('AC04652-2022-11-02-2030','A113-14','bNlnFfTKfWgtdY', 'LB')
('SL12058-2022-11-01-2060','S86-20','roAYklOQBORLlJDX', 'LB')
('AC22517-2022-11-02-2123','A118-17','dyxFVuu', 'SL')
('SL12058-2022-11-01-2062','S86-22','gzkdjR', 'UB')
('SL22517-2022-11-01-2103','S88-15','UyUSLueETe', 'SL')
('SL12058-2022-11-01-2070','S87-6','xCOdAs', 'UB')
('SL22517-2022-11-01-2106','S88-18','Z', 'MB')
('SL12058-2022-11-01-2072','S87-8','sYjBDZnFs', 'SU')
('AC22517-2022-11-01-2020','A113-4','gxluzRYubSoAAgs', 'UB')
('AC12058-2022-11-01-2093','A117-5','lbGZSdZnYTPUgX', 'SL')
('SL22517-2022-11-01-2111','S88-23','Olu', 'SL')
('SL12058-2022-11-01-2083','S87-19','DKgIKHyvuZItDO', 'UB')
('AC04652-2022-11-02-2044','A114-10','wPeMPn', 'UB')
('AC04652-2022-11-01-2187','A122-9','LX', 'UB')
('SL22517-2022-11-01-2155','S90-19','BHJowTgqvpCsNeEr', 'UB')
('SL22517-2022-11-02-2161','S91-1','EbmfjUTZUy', 'LB')
('SL22517-2022-11-01-2159','S90-23','LfDJklzg', 'SL')
('SL22517-2022-11-01-2160','S90-24','JNFZmrMfbgXaq', 'SU')
('AC04652-2022-11-02-2097','A117-9','ydd', 'UB')
('SL04652-2022-11-02-2137','S90-1','pr', 'LB')
('SL12058-2022-11-01-2134','S89-22','jEOFzzlV', 'UB')
('AC04652-2022-11-02-2107','A118-1','BRkzIbIScQFqqGb', 'LB')
('AC04652-2022-11-01-2207','A123-11','NsCKvzHsdGfjifkj', 'SL')
('AC12058-2022-11-01-2147','A120-5','sXIGSvdU', 'SL')
('SL04652-2022-11-01-2182','S91-22','MOuPgAAxibpodJ', 'UB')
('SL22517-2022-11-02-2182','S91-22','fX', 'UB')
('AC12058-2022-11-01-2149','A120-7','VznQdOUX', 'LB')
('AC12058-2022-11-01-2150','A120-8','EDMJZW', 'LB')
('AC04652-2022-11-01-2211','A123-15','QQWuNORcogHLw', 'UB')
('AC04652-2022-11-01-2223','A124-9','Bfebsg', 'UB')
('SL22517-2022-11-02-2196','S92-12','iFFvJRktFAQHpeFX', 'LB')
('SL22517-2022-11-01-2197','S92-13','x', 'MB')
('SL12058-2022-11-01-2159','S90-23','tMHGYFes', 'SL')
('SL12058-2022-11-01-2160','S90-24','UUp', 'SU')
('AC04652-2022-11-02-2132','A119-8','KHdBHmsHEJDRabfA', 'LB')
('AC12058-2022-11-01-2173','A121-13','ASFvwl', 'LB')
('AC22517-2022-11-01-2113','A118-7','UONZXVFg', 'LB')
('SL12058-2022-11-01-2165','S91-5','OtsaGpb', 'MB')
('AC22517-2022-11-01-2114','A118-8','UH', 'LB')
('SL22517-2022-11-02-2201','S92-17','yJZOewRPPSRuxBX', 'LB')
('SL04652-2022-11-01-2203','S92-19','MHabqwhITzBfFbZA', 'UB')
('SL04652-2022-11-01-2205','S92-21','LuhxOoMwKHZsKjP', 'MB')
('SL12058-2022-11-01-2174','S91-14','jpegFzAOmXp', 'UB')
('SL22517-2022-11-02-2207','S92-23','rUCNhqCdyVUUC', 'SL')
('SL04652-2022-11-02-2180','S91-20','nFRJ', 'LB')
('AC04652-2022-11-02-2144','A120-2','tQkDjqoBZYI', 'LB')
('AC12058-2022-11-01-2181','A122-3','ynIjGGLJArUO', 'UB')
('SL04652-2022-11-01-2211','S93-3','UWrQTmqip', 'UB')
('AC22517-2022-11-01-2120','A118-14','CJDgRhMNcy', 'LB')
('SL22517-2022-11-02-2212','S93-4','rUlktNEjvwD', 'LB')
('AC22517-2022-11-02-2250','A125-18','T', 'SU')
('AC12058-2022-11-01-2211','A123-15','M', 'UB')
('AC12058-2022-11-01-2212','A123-16','pQFaKnCvi', 'UB')
('SL22517-2022-11-01-2242','S94-10','hmZksuqZEDJBCFDI', 'MB')
('AC22517-2022-11-02-2265','A126-15','Cl', 'UB')
('SL04652-2022-11-01-2253','S94-21','mxBuvm', 'MB')
('AC22517-2022-11-01-2159','A120-17','TsqBJJ', 'SL')
('SL22517-2022-11-02-2257','S95-1','gGqsz', 'LB')
('SL22517-2022-11-02-2261','S95-5','IvAMaUk', 'MB')
('AC04652-2022-11-01-2284','A127-16','VH', 'UB')
('SL12058-2022-11-01-2228','S93-20','DMXWTqreDJfuEhp', 'LB')
('SL22517-2022-11-01-2258','S95-2','RPqlKGSztaXwDeU', 'MB')
('SL04652-2022-11-01-2263','S95-7','mm', 'SL')
('SL04652-2022-11-01-2264','S95-8','ROowqKNfYDfqQBSC', 'SU')
('AC12058-2022-11-01-2245','A125-13','uiraqeobizuuQAXR', 'LB')
('SL04652-2022-11-02-2252','S94-20','GaPoZoPHXRlxj', 'LB')
('AC04652-2022-11-02-2207','A123-11','y', 'SL')
('SL22517-2022-11-02-2286','S96-6','E', 'UB')
('SL04652-2022-11-02-2264','S95-8','LC', 'SU')
('SL12058-2022-11-01-2255','S94-23','DWWByZdHcjGwxRpL', 'SL')
('AC22517-2022-11-02-2302','A128-16','KEqYXx', 'UB')
('SL12058-2022-11-01-2264','S95-8','hCSBdsTOc', 'SU')
('SL22517-2022-11-01-2297','S96-17','PEeu', 'LB')
('AC04652-2022-11-02-2226','A124-12','zYhEtidzRmh', 'SU')
('SL04652-2022-11-02-2278','S95-22','HxZQOUfFqAUGOBy', 'UB')
('SL04652-2022-11-02-2279','S95-23','KqDhUTQaychZ', 'SL')
('SL22517-2022-11-02-2313','S97-9','buKjIzdWiRmBHtu', 'LB')
('SL04652-2022-11-01-2317','S97-13','UFADEGBRA', 'MB')
('AC22517-2022-11-02-2330','A130-8','mwY', 'LB')
('SL04652-2022-11-01-2320','S97-16','gtdq', 'SU')
('SL04652-2022-11-02-2287','S96-7','lYPrsIFffKtKq', 'SL')
('SL04652-2022-11-01-2322','S97-18','to', 'MB')
('SL12058-2022-11-01-2291','S96-11','PyxGANwsWOQv', 'UB')
('AC22517-2022-11-01-2220','A124-6','wxAdl', 'SU')
('SL22517-2022-11-02-2326','S97-22','GCIejsDWxXJcPjzU', 'UB')
('AC04652-2022-11-02-2252','A126-2','HWCre', 'LB')
('SL12058-2022-11-01-2298','S96-18','dxFLuyatKsyy', 'MB')
