('SL12058-2022-11-01-175','S8-7','dXKgfuSBDPKiDjI', 'SL')
('SL22517-2022-11-02-789','S33-21','oGAdphtWegzHv', 'MB')
('SL12058-2022-11-01-790','S33-22','CKzcnxq', 'UB')
('SL22517-2022-11-01-802','S34-10','g', 'MB')
('AC12058-2022-11-01-762','A43-6','g', 'SU')
('AC22517-2022-11-02-801','A45-9','gALhVK', 'UB')
('AC22517-2022-11-02-802','A45-10','HtrJcEKc', 'UB')
('SL22517-2022-11-01-803','S34-11','MqyZhcjfMlliiOE', 'UB')
('AC04652-2022-11-02-845','A47-17','hZeSOef', 'SL')
('AC04652-2022-11-01-798','A45-6','lStSjkYwn', 'SU')
('SL22517-2022-11-01-805','S34-13','NyVjuTFoVojNOy', 'MB')
('SL22517-2022-11-02-797','S34-5','WTiSRnKt', 'MB')
('AC04652-2022-11-02-850','A48-4','BVmw', 'UB')
('SL04652-2022-11-01-794','S34-2','QZkKV', 'MB')
('AC22517-2022-11-02-806','A45-14','Dv', 'LB')
('AC22517-2022-11-02-807','A45-15','z', 'UB')
('SL04652-2022-11-02-799','S34-7','uEHd', 'SL')
('SL22517-2022-11-02-801','S34-9','fUHWWZOMYmUEoSAl', 'LB')
('SL22517-2022-11-01-809','S34-17','OTqcUZCxVQsd', 'LB')
('SL04652-2022-11-02-801','S34-9','cZQzwoFIzBVwL', 'LB')
('AC22517-2022-11-01-781','A44-7','PpwJZx', 'LB')
('SL04652-2022-11-02-805','S34-13','iXC', 'MB')
('AC22517-2022-11-01-783','A44-9','yAQC', 'UB')
('AC22517-2022-11-02-810','A45-18','QkeaEKqAwDIp', 'SU')
('SL04652-2022-11-01-805','S34-13','lMCKRbRNpjDgJ', 'MB')
('SL22517-2022-11-02-809','S34-17','JSdqrVhFEg', 'LB')
('SL22517-2022-11-01-815','S34-23','DmqEUHLszb', 'SL')
('AC22517-2022-11-01-792','A44-18','eKxIbn', 'SU')
('SL22517-2022-11-01-816','S34-24','CKihA', 'SU')
('AC22517-2022-11-01-815','A46-5','pZrem', 'SL')
('SL22517-2022-11-01-830','S35-14','nPEeKbYYSSfVI', 'UB')
('AC22517-2022-11-02-831','A47-3','ZNRFBTPaVZ', 'UB')
('SL04652-2022-11-02-824','S35-8','kdWTJmSqNxV', 'SU')
('SL22517-2022-11-02-837','S35-21','Hxhf', 'MB')
('AC22517-2022-11-02-837','A47-9','ClHVD', 'UB')
('SL12058-2022-11-01-828','S35-12','gMDVFUtjzeiHBr', 'LB')
('AC04652-2022-11-02-886','A50-4','KCyvmWtopUQm', 'UB')
('AC12058-2022-11-01-803','A45-11','zPZT', 'SL')
('AC12058-2022-11-01-804','A45-12','LK', 'SU')
('SL12058-2022-11-01-834','S35-18','VE', 'MB')
('AC04652-2022-11-01-843','A47-15','CgeWXNgoYuS', 'UB')
('SL04652-2022-11-01-836','S35-20','IaG', 'LB')
('SL22517-2022-11-02-846','S36-6','MAbEwBzw', 'UB')
('AC04652-2022-11-01-846','A47-18','lLqNQp', 'SU')
('AC04652-2022-11-02-899','A50-17','AYZGmyikOfhNb', 'SL')
('SL22517-2022-11-02-848','S36-8','GQiujxAdHOaCa', 'SU')
('AC04652-2022-11-02-902','A51-2','patlOJRiGNUKudH', 'LB')
('SL04652-2022-11-02-840','S35-24','SYMlBWK', 'SU')
('AC22517-2022-11-02-854','A48-8','cTQmp', 'LB')
('AC04652-2022-11-01-862','A48-16','ZzbVUbYjd', 'UB')
('AC04652-2022-11-01-863','A48-17','ZqSCjpcZqJBawT', 'SL')
('AC04652-2022-11-01-864','A48-18','I', 'SU')
('AC12058-2022-11-01-831','A47-3','J', 'UB')
('SL22517-2022-11-01-909','S38-21','OaaymHxOLbBWz', 'MB')
('SL22517-2022-11-02-907','S38-19','IbrECCzskY', 'UB')
('SL22517-2022-11-01-911','S38-23','t', 'SL')
('SL04652-2022-11-02-890','S38-2','jVcKqRcgUKzhR', 'MB')
('AC22517-2022-11-02-908','A51-8','bauo', 'LB')
('AC22517-2022-11-02-909','A51-9','xYHysbZ', 'UB')
('SL22517-2022-11-01-915','S39-3','mrubbdKq', 'UB')
('AC04652-2022-11-01-902','A51-2','OSY', 'LB')
('AC22517-2022-11-01-886','A50-4','xsVykBjnWXshSe', 'UB')
('AC04652-2022-11-02-945','A53-9','WxwUVoIIsZcVH', 'UB')
('SL22517-2022-11-01-916','S39-4','kswAkXKkStZRHgA', 'LB')
('AC22517-2022-11-01-888','A50-6','KZVuoxByG', 'SU')
('SL04652-2022-11-02-892','S38-4','OufALbcS', 'LB')
('SL04652-2022-11-02-895','S38-7','eMrACGAXQSRdCT', 'SL')
('SL04652-2022-11-01-897','S38-9','CPTO', 'LB')
('SL22517-2022-11-01-921','S39-9','jigRj', 'LB')
('SL04652-2022-11-01-898','S38-10','cP', 'MB')
('AC12058-2022-11-01-865','A49-1','DKVFFvga', 'LB')
('SL22517-2022-11-01-925','S39-13','zJhM', 'MB')
('AC22517-2022-11-01-896','A50-14','znNHERlWSURyjWCs', 'LB')
('SL04652-2022-11-01-901','S38-13','oAYQJLM', 'MB')
('SL12058-2022-11-01-888','S37-24','CGWDbPZOfeJCmMQV', 'SU')
('AC04652-2022-11-02-952','A53-16','P', 'UB')
('AC22517-2022-11-01-899','A50-17','swxmoECZaMxyPjxz', 'SL')
('SL12058-2022-11-01-889','S38-1','syRMviz', 'LB')
('AC22517-2022-11-02-921','A52-3','MllwJQbiodLA', 'UB')
('AC04652-2022-11-01-917','A51-17','OFJCWuxBR', 'SL')
('AC22517-2022-11-02-924','A52-6','iZc', 'SU')
('SL04652-2022-11-01-906','S38-18','wqLJHUkoioabNVZ', 'MB')
('SL04652-2022-11-01-907','S38-19','EknTJdF', 'UB')
('SL12058-2022-11-01-891','S38-3','i', 'UB')
('SL22517-2022-11-01-932','S39-20','TnNSlK', 'LB')
('AC04652-2022-11-01-992','A56-2','gj', 'LB')
('AC22517-2022-11-01-964','A54-10','vQc', 'UB')
('AC04652-2022-11-02-1009','A57-1','jIvwuieU', 'LB')
('AC12058-2022-11-01-949','A53-13','w', 'LB')
('AC12058-2022-11-01-950','A53-14','YwLdbWZ', 'LB')
('SL22517-2022-11-02-996','S42-12','ZwrGcGegw', 'LB')
('SL04652-2022-11-02-976','S41-16','FJUDd', 'SU')
('SL12058-2022-11-01-970','S41-10','fXc', 'MB')
('AC04652-2022-11-01-996','A56-6','R', 'SU')
('SL12058-2022-11-01-971','S41-11','uovPBooHx', 'UB')
('AC22517-2022-11-02-1009','A57-1','m', 'LB')
('AC22517-2022-11-02-1010','A57-2','V', 'LB')
('AC12058-2022-11-01-957','A54-3','lGAlk', 'UB')
('SL22517-2022-11-02-1000','S42-16','tUlHREvLYQSKrnFT', 'SU')
('AC04652-2022-11-02-1024','A57-16','uUV', 'UB')
('SL22517-2022-11-02-1003','S42-19','mfOx', 'UB')
('SL22517-2022-11-01-1009','S43-1','CdmxeByVIRaDUjEm', 'LB')
('AC04652-2022-11-02-1026','A57-18','OnSay', 'SU')
('AC22517-2022-11-02-1017','A57-9','QdqiqTogcyrSF', 'UB')
('SL12058-2022-11-01-982','S41-22','sAwzauJfrALYV', 'UB')
('SL22517-2022-11-01-1011','S43-3','WipFFbzUS', 'UB')
('SL12058-2022-11-01-987','S42-3','AC', 'UB')
('SL04652-2022-11-01-1008','S42-24','EDtWBMcDsWdbJaM', 'SU')
('AC22517-2022-11-02-1024','A57-16','igxdkXceCOsCsBXX', 'UB')
('AC04652-2022-11-01-1007','A56-17','FyAhM', 'SL')
('AC04652-2022-11-02-1033','A58-7','TaGJNgFgQRFKwgla', 'LB')
('AC04652-2022-11-01-1008','A56-18','MxpBPSmcsef', 'SU')
('SL04652-2022-11-02-1041','S44-9','fCcVxE', 'LB')
('SL12058-2022-11-01-1038','S44-6','mbspZwqBnSZBD', 'UB')
('AC04652-2022-11-02-1093','A61-13','GRivZrFaQ', 'LB')
('SL04652-2022-11-02-1043','S44-11','QrPVPXCqmYEd', 'UB')
('SL12058-2022-11-01-1040','S44-8','rftO', 'SU')
('AC12058-2022-11-01-1024','A57-16','EAXgTefDkbqmkV', 'UB')
('SL22517-2022-11-02-1052','S44-20','rvsuTWmxVqa', 'LB')
('SL22517-2022-11-01-1081','S46-1','LasfiX', 'LB')
('AC22517-2022-11-01-1038','A58-12','hetRVnKsJXgG', 'SU')
('AC04652-2022-11-02-1103','A62-5','sOYyXxrNDI', 'SL')
('SL22517-2022-11-02-1059','S45-3','If', 'UB')
('AC22517-2022-11-02-1087','A61-7','sBERgOvT', 'LB')
('AC22517-2022-11-02-1088','A61-8','f', 'LB')
('AC04652-2022-11-02-1109','A62-11','Yjk', 'SL')
('AC04652-2022-11-02-1112','A62-14','MqRfumYKindZrOG', 'LB')
('SL22517-2022-11-01-1093','S46-13','OWtSFzv', 'MB')
('AC22517-2022-11-01-1054','A59-10','mFsjFkkoYnbkTSb', 'UB')
('AC22517-2022-11-01-1055','A59-11','QME', 'SL')
('AC04652-2022-11-02-1116','A62-18','Pd', 'SU')
('SL04652-2022-11-01-1085','S46-5','fpelcuECZL', 'MB')
('AC22517-2022-11-02-1093','A61-13','viNYhSBlCnOqYlmM', 'LB')
('SL22517-2022-11-02-1073','S45-17','XrKWNb', 'LB')
('SL04652-2022-11-01-1087','S46-7','fbPvJaFWToKwy', 'SL')
('SL22517-2022-11-01-1097','S46-17','MmW', 'LB')
('SL04652-2022-11-02-1066','S45-10','nI', 'MB')
('AC12058-2022-11-01-1046','A59-2','JQOSjKgXHr', 'LB')
('AC22517-2022-11-01-1062','A59-18','gQvKhczyACuGkAT', 'SU')
('AC04652-2022-11-01-1088','A61-8','yxuuyBMgI', 'LB')
('AC04652-2022-11-01-1089','A61-9','qtxVHwziqmQUOT', 'UB')
('AC04652-2022-11-01-1091','A61-11','ieN', 'SL')
('AC22517-2022-11-02-1105','A62-7','lU', 'LB')
('AC04652-2022-11-02-1126','A63-10','gZusWgDi', 'UB')
('AC04652-2022-11-02-1127','A63-11','CUwzUNjfxm', 'SL')
('SL04652-2022-11-01-1100','S46-20','nWuFND', 'LB')
('AC22517-2022-11-02-1107','A62-9','DxeVXDyR', 'UB')
('AC04652-2022-11-02-1131','A63-15','IsspktI', 'UB')
('SL12058-2022-11-01-1078','S45-22','ibQ', 'UB')
('SL12058-2022-11-01-1079','S45-23','agrXvXaw', 'SL')
('AC04652-2022-11-01-1097','A61-17','leAuXBxkMplGpm', 'SL')
('SL04652-2022-11-02-1076','S45-20','vBmTxEJT', 'LB')
('AC22517-2022-11-01-1079','A60-17','n', 'SL')
('SL12058-2022-11-01-1082','S46-2','eeGkibo', 'MB')
('SL22517-2022-11-01-1114','S47-10','CXBlkPYXQZ', 'MB')
('AC12058-2022-11-01-1062','A59-18','NzmUOdzDMRkX', 'SU')
('AC04652-2022-11-02-1137','A64-3','xnRISOTGsG', 'UB')
('SL04652-2022-11-02-1083','S46-3','nKid', 'UB')
('SL12058-2022-11-01-1088','S46-8','eaBGGU', 'SU')
('SL22517-2022-11-02-1098','S46-18','xyHlPjX', 'MB')
('SL04652-2022-11-01-1109','S47-5','efYWWfnIHSih', 'MB')
('SL04652-2022-11-01-1110','S47-6','hbfsBkbYLQ', 'UB')
('SL04652-2022-11-02-1088','S46-8','XeRi', 'SU')
('SL22517-2022-11-02-1100','S46-20','UbcF', 'LB')
('SL04652-2022-11-02-1089','S46-9','NEvJOCeXyIPsTxyt', 'LB')
('AC04652-2022-11-02-1140','A64-6','KTibLXHqMciX', 'SU')
('AC22517-2022-11-01-1087','A61-7','ddnDxjzk', 'LB')
('AC04652-2022-11-01-1107','A62-9','cE', 'UB')
('AC12058-2022-11-01-1077','A60-15','BbkHtELj', 'UB')
('AC04652-2022-11-02-1146','A64-12','mp', 'SU')
('AC22517-2022-11-02-1130','A63-14','OunnEBHGAXDFCUm', 'LB')
('SL12058-2022-11-01-1096','S46-16','Q', 'SU')
('AC12058-2022-11-01-1085','A61-5','hEAb', 'SL')
('AC04652-2022-11-02-1164','A65-12','HNFYmpNjkgr', 'SU')
('SL22517-2022-11-01-1134','S48-6','qbLmSbDgAzITXPJ', 'UB')
('AC12058-2022-11-01-1093','A61-13','IZUuPMCqjnsliq', 'LB')
('AC22517-2022-11-02-1146','A64-12','REdHpjPo', 'SU')
('SL22517-2022-11-01-1136','S48-8','WCvS', 'SU')
('SL12058-2022-11-01-1114','S47-10','CFfQlvsi', 'MB')
('AC22517-2022-11-01-1110','A62-12','rZGRbiHWzPLQ', 'SU')
('AC04652-2022-11-02-1171','A66-1','PeoUZSkxEK', 'LB')
('SL22517-2022-11-02-1139','S48-11','bJScrYrrZJ', 'UB')
('SL12058-2022-11-01-1119','S47-15','EyAKuFeqEWWWzqC', 'SL')
('AC22517-2022-11-01-1114','A62-16','rkNAIHyoAjEz', 'UB')
('SL12058-2022-11-01-1121','S47-17','MlTzBfvSpHqoLBVs', 'LB')
('AC12058-2022-11-01-1100','A62-2','zkmpM', 'LB')
('AC22517-2022-11-02-1162','A65-10','OyZpHXbyrb', 'UB')
('AC22517-2022-11-02-1164','A65-12','zPfyi', 'SU')
('SL22517-2022-11-02-1159','S49-7','prm', 'SL')
('AC22517-2022-11-02-1170','A65-18','mMfkVEtecqLmbZeF', 'SU')
('AC04652-2022-11-02-1191','A67-3','mzYxP', 'UB')
('SL12058-2022-11-01-1136','S48-8','ezlxGOXluQvxRv', 'SU')
('SL04652-2022-11-02-1140','S48-12','RlYB', 'LB')
('SL22517-2022-11-02-1164','S49-12','MSqJlbraOR', 'LB')
('AC22517-2022-11-02-1174','A66-4','cITJzdscHkw', 'UB')
('AC12058-2022-11-01-1118','A63-2','WmUxNmivSzMvtl', 'LB')
('SL04652-2022-11-02-1146','S48-18','qBZuguFWjvleQDp', 'MB')
('AC22517-2022-11-01-1130','A63-14','UVBsTTgzNWw', 'LB')
('AC22517-2022-11-01-1131','A63-15','nygozEbWXTF', 'UB')
('SL12058-2022-11-01-1141','S48-13','oFxIp', 'MB')
('SL12058-2022-11-01-1145','S48-17','etBKq', 'LB')
('SL22517-2022-11-02-1177','S50-1','s', 'LB')
('AC12058-2022-11-01-1125','A63-9','NYzdssiNNyzkzRdm', 'UB')
('SL04652-2022-11-01-1173','S49-21','NViYfDdRKGi', 'MB')
('AC22517-2022-11-01-1166','A65-14','heaf', 'LB')
('AC04652-2022-11-01-1188','A66-18','fSKbCQmRZBGqGrq', 'SU')
('SL22517-2022-11-02-1200','S50-24','KxWJsxmVtYBeo', 'SU')
('AC04652-2022-11-02-1232','A69-8','NIW', 'LB')
('SL04652-2022-11-02-1182','S50-6','yaFgUNPyoXifg', 'UB')
('SL12058-2022-11-01-1172','S49-20','GWPbqy', 'LB')
('AC22517-2022-11-02-1209','A68-3','HMRsrmAhc', 'UB')
('SL22517-2022-11-02-1207','S51-7','cfKEnCyJguNlAB', 'SL')
('AC04652-2022-11-02-1243','A70-1','vtdzv', 'LB')
('SL04652-2022-11-01-1209','S51-9','DqGJgjwkpQgKgNy', 'LB')
('AC12058-2022-11-01-1244','A70-2','N', 'LB')
('SL22517-2022-11-02-1275','S54-3','tefExW', 'UB')
('SL22517-2022-11-01-1300','S55-4','mshLoxnPP', 'LB')
('AC22517-2022-11-01-1258','A70-16','ppo', 'UB')
('AC04652-2022-11-01-1311','A73-15','tgIvxMRvbRD', 'UB')
('AC22517-2022-11-01-1277','A71-17','QLdaITeAI', 'SL')
('AC04652-2022-11-02-1335','A75-3','aKyApUVHIM', 'UB')
('AC22517-2022-11-01-1325','A74-11','IuXUHaWb', 'SL')
('AC22517-2022-11-02-1335','A75-3','UGhidEmpmwzaP', 'UB')
('SL12058-2022-11-01-1299','S55-3','INVcnbeRlxLdQS', 'UB')
('AC22517-2022-11-02-1336','A75-4','V', 'UB')
('AC04652-2022-11-01-1368','A76-18','SxxTPFcojTN', 'SU')
('AC04652-2022-11-02-1376','A77-8','uFuokfNM', 'LB')
('SL12058-2022-11-01-1302','S55-6','euysIJ', 'UB')
('AC04652-2022-11-01-1371','A77-3','ufJGRsFrMII', 'UB')
('SL22517-2022-11-02-1341','S56-21','N', 'MB')
('SL22517-2022-11-02-1342','S56-22','VZFXXzTo', 'UB')
('AC12058-2022-11-01-1328','A74-14','JuYQh', 'LB')
('SL12058-2022-11-01-1304','S55-8','V', 'SU')
('AC22517-2022-11-01-1333','A75-1','SiFlg', 'LB')
('AC22517-2022-11-01-1334','A75-2','eEqYRZlV', 'LB')
('SL12058-2022-11-01-1305','S55-9','FgeP', 'LB')
('SL04652-2022-11-01-1347','S57-3','ZpcgKRqIN', 'UB')
('SL04652-2022-11-01-1385','S58-17','HrxiGNkvc', 'LB')
('SL22517-2022-11-01-1410','S59-18','HdCEimvr', 'MB')
('AC22517-2022-11-01-1384','A77-16','GULBtaSybFVlFMJs', 'UB')
('AC22517-2022-11-02-1404','A78-18','FcaGQoJOnzOWaEOd', 'SU')
('SL12058-2022-11-01-1365','S57-21','hVom', 'MB')
('SL04652-2022-11-02-1453','S61-13','uLSEugtTyCrFiysg', 'MB')
('AC22517-2022-11-01-1431','A80-9','daGxVGMfLlJ', 'UB')
('SL04652-2022-11-02-1454','S61-14','iXrvUPi', 'UB')
('AC22517-2022-11-01-1432','A80-10','vZlIKLhhUpq', 'UB')
('SL12058-2022-11-01-1403','S59-11','Aov', 'UB')
('SL22517-2022-11-02-1446','S61-6','fWlLBuYqSmccPsL', 'UB')
('SL04652-2022-11-01-1446','S61-6','sDoJPwsGq', 'UB')
('AC04652-2022-11-02-1485','A83-9','EBcADGT', 'UB')
('AC12058-2022-11-01-1444','A81-4','ERsDpkv', 'UB')
('SL12058-2022-11-01-1418','S60-2','HBCGZEdmLlxhb', 'MB')
('SL04652-2022-11-01-1449','S61-9','oYxmbGPXVYf', 'LB')
('AC04652-2022-11-02-1489','A83-13','yX', 'LB')
('SL04652-2022-11-01-1451','S61-11','WNlew', 'UB')
('AC22517-2022-11-02-1466','A82-8','Jpans', 'LB')
('SL04652-2022-11-01-1453','S61-13','WKC', 'MB')
('AC04652-2022-11-01-1498','A84-4','BPegfHEaE', 'UB')
('SL22517-2022-11-02-1460','S61-20','S', 'LB')
('SL04652-2022-11-02-1474','S62-10','KsRAyiOGPlcU', 'MB')
('AC22517-2022-11-01-1452','A81-12','GfBTLfn', 'SU')
('SL04652-2022-11-01-1456','S61-16','TP', 'SU')
('AC22517-2022-11-02-1473','A82-15','eCBf', 'UB')
('SL04652-2022-11-01-1458','S61-18','YUIUZpviiRUm', 'MB')
('SL22517-2022-11-02-1470','S62-6','LtNFZETUugVMJE', 'UB')
('SL04652-2022-11-01-1462','S61-22','hP', 'UB')
('AC22517-2022-11-01-1464','A82-6','sEgvCZVB', 'SU')
('SL04652-2022-11-01-1468','S62-4','ybeVUvY', 'LB')
('AC12058-2022-11-01-1468','A82-10','JlZOZgOAsErbQS', 'UB')
('AC22517-2022-11-02-1492','A83-16','dNFmUizyjBJpzLrH', 'UB')
('SL22517-2022-11-01-1508','S63-20','uNkgUuPrzHn', 'LB')
('SL04652-2022-11-01-1479','S62-15','volZplBbPEvudVN', 'SL')
('SL04652-2022-11-02-1499','S63-11','bxpYfisvKVhd', 'UB')
('SL04652-2022-11-02-1500','S63-12','VmMFvtK', 'LB')
('AC22517-2022-11-01-1478','A83-2','ZAQXcdBAeM', 'LB')
('AC12058-2022-11-01-1474','A82-16','WMUPVMUUgZbfx', 'UB')
('AC22517-2022-11-01-1479','A83-3','jJnR', 'UB')
('SL22517-2022-11-01-1516','S64-4','erdKrDtTkxpNY', 'LB')
('SL22517-2022-11-02-1487','S62-23','UgkcpDEqkYuuvGYu', 'SL')
('AC04652-2022-11-02-1518','A85-6','sIaalWIwgQ', 'SU')
('AC22517-2022-11-01-1482','A83-6','Rpxfif', 'SU')
('AC22517-2022-11-02-1499','A84-5','lqNyUxKWYgIBJMEn', 'SL')
('SL12058-2022-11-01-1462','S61-22','bWIxZkap', 'UB')
('AC22517-2022-11-02-1503','A84-9','dqfhuVAmIR', 'UB')
('AC04652-2022-11-01-1520','A85-8','BFVgvLhSOQHJ', 'LB')
('SL04652-2022-11-02-1506','S63-18','obgZMCMPYvfw', 'MB')
('SL22517-2022-11-01-1521','S64-9','MSK', 'LB')
('SL04652-2022-11-01-1491','S63-3','LiCmhqd', 'UB')
('SL04652-2022-11-01-1492','S63-4','KPMJJKFksuMsh', 'LB')
('AC22517-2022-11-02-1510','A84-16','bWMOGrMvALF', 'UB')
('AC04652-2022-11-01-1530','A85-18','MpFXgLtMWEozb', 'SU')
('AC22517-2022-11-02-1512','A84-18','fXUfEvQisF', 'SU')
('AC04652-2022-11-02-1573','A88-7','gbmHHUkCWAKdrYL', 'LB')
('SL04652-2022-11-02-1547','S65-11','hnJVZ', 'UB')
('SL22517-2022-11-02-1552','S65-16','UXB', 'SU')
('AC04652-2022-11-02-1577','A88-11','jlY', 'SL')
('SL22517-2022-11-01-1572','S66-12','YwQdbxf', 'LB')
('AC22517-2022-11-02-1559','A87-11','t', 'SL')
('AC22517-2022-11-02-1561','A87-13','fzbOOShDq', 'LB')
('AC04652-2022-11-02-1581','A88-15','SbyIltVYeioZgIv', 'UB')
('SL04652-2022-11-01-1557','S65-21','SSM', 'MB')
('AC04652-2022-11-01-1599','A89-15','elsICVLQ', 'UB')
('SL22517-2022-11-01-1585','S67-1','jJnMAZvLvnKPA', 'LB')
('AC04652-2022-11-02-1595','A89-11','NXgPmcNzcaPV', 'SL')
('AC22517-2022-11-01-1574','A88-8','XzklGrFoOEJE', 'LB')
('SL04652-2022-11-01-1563','S66-3','d', 'UB')
('AC04652-2022-11-01-1609','A90-7','pcWkld', 'LB')
('AC04652-2022-11-02-1603','A90-1','SnP', 'LB')
('AC04652-2022-11-02-1604','A90-2','eLWm', 'LB')
('AC04652-2022-11-02-1605','A90-3','VpL', 'UB')
('AC22517-2022-11-02-1583','A88-17','cSFRCJPGHfi', 'SL')
('SL22517-2022-11-01-1596','S67-12','oaNuzuQpRYGTM', 'LB')
('SL12058-2022-11-01-1563','S66-3','RPa', 'UB')
('SL04652-2022-11-02-1582','S66-22','BKACReYbCEWh', 'UB')
('SL04652-2022-11-01-1584','S66-24','UxViADbfTtXsXs', 'SU')
('AC04652-2022-11-01-1637','A91-17','AkEDaIYBsDdCi', 'SL')
('SL12058-2022-11-01-1578','S66-18','ZgemOtV', 'MB')
('SL22517-2022-11-01-1623','S68-15','jLNOdyoYeN', 'SL')
('AC04652-2022-11-02-1625','A91-5','yPhXpj', 'SL')
('AC12058-2022-11-01-1587','A89-3','mkzX', 'UB')
('AC22517-2022-11-01-1671','A93-15','UScp', 'UB')
('AC22517-2022-11-01-1674','A93-18','DLnTvAMnxj', 'SU')
('AC22517-2022-11-02-1656','A92-18','RPPaJY', 'SU')
('AC04652-2022-11-01-1702','A95-10','NjvMhXRiYs', 'UB')
('SL12058-2022-11-01-1622','S68-14','ObdjvngiijKITZ', 'UB')
('SL12058-2022-11-01-1623','S68-15','iHsh', 'SL')
('AC22517-2022-11-01-1681','A94-7','YYQCULX', 'LB')
('AC22517-2022-11-02-1662','A93-6','TQinEZLB', 'SU')
('AC04652-2022-11-01-1709','A95-17','xlU', 'SL')
('SL22517-2022-11-02-1654','S69-22','DYTSSPmGa', 'UB')
('AC22517-2022-11-02-1666','A93-10','lcbgL', 'UB')
('SL22517-2022-11-01-1674','S70-18','xDkwaGgyGqmVuS', 'MB')
('SL22517-2022-11-02-1656','S69-24','qcfvlxrdOeiZUhRb', 'SU')
('SL12058-2022-11-01-1632','S68-24','uBaF', 'SU')
('AC22517-2022-11-02-1669','A93-13','ilHPliNYDP', 'LB')
('SL04652-2022-11-01-1661','S70-5','XdXlkWbLByLH', 'MB')
('SL12058-2022-11-01-1638','S69-6','zuVdjdxprHBRH', 'UB')
('SL04652-2022-11-02-1672','S70-16','mcRwkNJySKrUbrcZ', 'SU')
('SL22517-2022-11-02-1661','S70-5','d', 'MB')
('AC22517-2022-11-01-1693','A95-1','rVZfBZyG', 'LB')
('AC04652-2022-11-01-1727','A96-17','ihAhKnfQyRJD', 'SL')
('AC22517-2022-11-02-1674','A93-18','fBbTofxdlDx', 'SU')
('SL22517-2022-11-02-1671','S70-15','ecYbBIVWCil', 'SL')
('AC22517-2022-11-01-1703','A95-11','g', 'SL')
('AC04652-2022-11-01-1736','A97-8','EsrMHvBjTtjoDqTU', 'LB')
('AC22517-2022-11-02-1680','A94-6','evbvOQV', 'SU')
('SL04652-2022-11-01-1674','S70-18','GpW', 'MB')
('SL04652-2022-11-01-1675','S70-19','yWxIJgulNxaWMnc', 'UB')
('SL04652-2022-11-02-1683','S71-3','uEtDsd', 'UB')
('AC04652-2022-11-02-1701','A95-9','GXIpKcG', 'UB')
('AC04652-2022-11-01-1742','A97-14','UIe', 'LB')
('AC12058-2022-11-01-1665','A93-9','GJXmnpGGVbIN', 'UB')
('AC22517-2022-11-01-1722','A96-12','tIdbNmnvTk', 'SU')
('SL12058-2022-11-01-1663','S70-7','EROaNPfJEOIBf', 'SL')
('SL04652-2022-11-01-1689','S71-9','WzzxeqVPVnTaEnda', 'LB')
('SL22517-2022-11-02-1686','S71-6','PTZpidAAENsMvaDZ', 'UB')
('SL22517-2022-11-01-1705','S72-1','dRDWv', 'LB')
('AC22517-2022-11-01-1734','A97-6','HsRMxPNDAWABtMh', 'SU')
('SL04652-2022-11-02-1712','S72-8','ZtVYAvlrPdpb', 'SU')
('SL04652-2022-11-02-1714','S72-10','XMNoyUNwutLsK', 'MB')
('SL12058-2022-11-01-1674','S70-18','mkneI', 'MB')
('SL04652-2022-11-02-1719','S72-15','fZsik', 'SL')
('SL04652-2022-11-01-1699','S71-19','IiaSfTFBeL', 'UB')
('SL22517-2022-11-01-1725','S72-21','atUsexfMblZc', 'MB')
('AC22517-2022-11-01-1750','A98-4','itCAtLGYdBjMuaJk', 'UB')
('SL22517-2022-11-01-1726','S72-22','WCA', 'UB')
('AC12058-2022-11-01-1697','A95-5','OIkfNmemgIdE', 'SL')
('AC12058-2022-11-01-1698','A95-6','hgfmaMIGuAzWke', 'SU')
('AC04652-2022-11-02-1784','A100-2','b', 'LB')
('SL04652-2022-11-02-1769','S74-17','QhTwyUziptwNvP', 'LB')
('AC22517-2022-11-02-1761','A98-15','tgPOvNjWfTXBh', 'UB')
('SL12058-2022-11-01-1729','S73-1','HoAm', 'LB')
('AC04652-2022-11-02-1790','A100-8','RcdOCNGBXHl', 'LB')
('SL04652-2022-11-02-1772','S74-20','BahmMAsSOAANEl', 'LB')
('AC22517-2022-11-02-1765','A99-1','czKwjMwvzn', 'LB')
('AC22517-2022-11-01-1833','A102-15','QPod', 'UB')
('SL12058-2022-11-01-1767','S74-15','ReuNAYI', 'SL')
('SL22517-2022-11-02-1789','S75-13','viTHSbulSsLRBXX', 'MB')
('AC04652-2022-11-01-1872','A104-18','WcCMJyEhSMP', 'SU')
('SL22517-2022-11-02-1796','S75-20','TiZRvPzQMc', 'LB')
('AC12058-2022-11-01-1791','A100-9','CIZLNbswL', 'UB')
('AC12058-2022-11-01-1793','A100-11','nHHXPCrwnfd', 'SL')
('SL12058-2022-11-01-1779','S75-3','xIZ', 'UB')
('SL22517-2022-11-02-1800','S75-24','Bgo', 'SU')
('SL12058-2022-11-01-1785','S75-9','pLXsGOhXm', 'LB')
('AC22517-2022-11-01-1853','A103-17','Ylj', 'SL')
('SL04652-2022-11-02-1820','S76-20','HSdEjgaewUZ', 'LB')
('SL22517-2022-11-01-1832','S77-8','JxCCr', 'SU')
('SL22517-2022-11-01-1833','S77-9','EUNZovVekHigy', 'LB')
('AC12058-2022-11-01-1805','A101-5','HwFX', 'SL')
