('AC22517-2022-11-01-5512','A307-4','Ni', 'UB')
('SL22517-2022-11-01-7844','S327-20','GeRBxBj', 'LB')
('SL12058-2022-11-01-7769','S324-17','fOq', 'LB')
('SL22517-2022-11-02-7930','S331-10','KPxJnoXFarIGq', 'MB')
('AC22517-2022-11-02-8063','A448-17','DunaoVI', 'SL')
('SL22517-2022-11-02-7932','S331-12','LRbTKGG', 'LB')
('SL12058-2022-11-01-7773','S324-21','YqCnFtgtmcNLF', 'MB')
('SL04652-2022-11-01-7942','S331-22','H', 'UB')
('SL22517-2022-11-02-7935','S331-15','bLCZV', 'SL')
('AC04652-2022-11-01-8261','A459-17','lOHZYSk', 'SL')
('SL22517-2022-11-01-7847','S327-23','H', 'SL')
('SL22517-2022-11-02-7942','S331-22','YYHrghS', 'UB')
('SL12058-2022-11-01-7776','S324-24','WCMyVcJYTJlkkwna', 'SU')
('SL12058-2022-11-01-7777','S325-1','xhP', 'LB')
('AC12058-2022-11-01-8020','A446-10','bpaGEipwTmCPgG', 'UB')
('SL22517-2022-11-02-7951','S332-7','zQ', 'SL')
('AC22517-2022-11-01-8005','A445-13','fAxsM', 'LB')
('SL22517-2022-11-02-7993','S334-1','gbDaGAhtWL', 'LB')
('SL12058-2022-11-01-7834','S327-10','mWMkMbBBKayzQC', 'MB')
('SL22517-2022-11-02-8006','S334-14','kWLE', 'UB')
('AC22517-2022-11-02-8120','A452-2','DbxOevHm', 'LB')
('SL22517-2022-11-01-7919','S330-23','kaCPN', 'SL')
('AC04652-2022-11-02-8088','A450-6','Kg', 'SU')
('SL04652-2022-11-01-8018','S335-2','OmLquC', 'MB')
('AC04652-2022-11-02-8094','A450-12','iTHKSfAGYTAjrA', 'SU')
('SL04652-2022-11-01-8063','S336-23','gwFn', 'SL')
('AC22517-2022-11-02-8178','A455-6','XgHN', 'SU')
('SL04652-2022-11-01-8104','S338-16','cPs', 'SU')
('SL22517-2022-11-01-7991','S333-23','UPsLNt', 'SL')
('AC22517-2022-11-02-8208','A456-18','Cvnri', 'SU')
('SL22517-2022-11-02-8087','S337-23','gA', 'SL')
('SL22517-2022-11-01-8006','S334-14','gduraJkTyGrolTP', 'UB')
('AC22517-2022-11-02-8224','A457-16','Zh', 'UB')
('SL04652-2022-11-02-8094','S338-6','sw', 'UB')
('SL04652-2022-11-01-8124','S339-12','mWwWuChHQLZEY', 'LB')
('SL22517-2022-11-01-8010','S334-18','Tun', 'MB')
('SL22517-2022-11-02-8104','S338-16','nPMpfVjnXGxr', 'SU')
('AC04652-2022-11-02-8200','A456-10','C', 'UB')
('SL22517-2022-11-02-8105','S338-17','mF', 'LB')
('SL04652-2022-11-02-8105','S338-17','GqzngcSzI', 'LB')
('SL22517-2022-11-02-8109','S338-21','QFOn', 'MB')
('SL04652-2022-11-01-8133','S339-21','V', 'MB')
('SL22517-2022-11-01-8021','S335-5','IAdMUNgFgYncG', 'MB')
('SL12058-2022-11-01-7971','S333-3','FEcIes', 'UB')
('SL22517-2022-11-01-8036','S335-20','IzDiCEpebcRaaFVi', 'LB')
('AC22517-2022-11-01-8172','A454-18','CxXKjeeOJwwL', 'SU')
('AC22517-2022-11-01-8192','A456-2','EOFcShgZ', 'LB')
('SL12058-2022-11-01-7998','S334-6','qjrctOsNfdOj', 'UB')
('AC22517-2022-11-01-8193','A456-3','YAoyODvG', 'UB')
('SL12058-2022-11-01-8001','S334-9','ciygxizzDD', 'LB')
('AC12058-2022-11-01-8205','A456-15','LPHxoVUDBWTrrlf', 'UB')
('SL12058-2022-11-01-8003','S334-11','JNOAFuZRsR', 'UB')
('AC22517-2022-11-02-8266','A460-4','Z', 'UB')
('SL04652-2022-11-01-8175','S341-15','qgXhkiZn', 'SL')
('AC04652-2022-11-01-8481','A472-3','rLJVxTjXvtuJa', 'UB')
('SL04652-2022-11-01-8178','S341-18','MGrcabqdzUMgHHfz', 'MB')
('AC22517-2022-11-02-8274','A460-12','iDMZhVRIC', 'SU')
('SL22517-2022-11-02-8163','S341-3','dOGFgsIKcOqviPii', 'UB')
('SL22517-2022-11-02-8164','S341-4','GMpXHdjExZ', 'LB')
('AC12058-2022-11-01-8230','A458-4','eJjFGoE', 'UB')
('SL12058-2022-11-01-8032','S335-16','U', 'SU')
('SL04652-2022-11-02-8161','S341-1','MXSleIdWidt', 'LB')
('AC04652-2022-11-01-8506','A473-10','QBpK', 'UB')
('SL22517-2022-11-02-8191','S342-7','avtBksuIWvwCj', 'SL')
('AC04652-2022-11-02-8370','A465-18','lIqdrla', 'SU')
('SL12058-2022-11-01-8113','S339-1','GWNZiuZwTb', 'LB')
('AC04652-2022-11-02-8372','A466-2','JRLYyeeagjZwNPWj', 'LB')
('SL12058-2022-11-01-8115','S339-3','t', 'UB')
('SL04652-2022-11-02-8252','S344-20','XkwUVMyldZ', 'LB')
('SL04652-2022-11-01-8287','S346-7','JhMLMCTY', 'SL')
('SL22517-2022-11-01-8200','S342-16','apJHAvWGfHONu', 'SU')
('SL22517-2022-11-01-8201','S342-17','JNhHThwdylOcdeG', 'LB')
('AC22517-2022-11-02-8403','A467-15','RCITSvNlqNEg', 'UB')
('SL12058-2022-11-01-8118','S339-6','rvdfuLRMBSyO', 'UB')
('SL22517-2022-11-01-8204','S342-20','aSREIsaf', 'LB')
('AC22517-2022-11-01-8322','A463-6','bdJnbvGvjlmKb', 'SU')
('SL04652-2022-11-02-8266','S345-10','mBVH', 'MB')
('AC22517-2022-11-01-8328','A463-12','PZfdVGSwjrFT', 'SU')
('AC04652-2022-11-01-8612','A479-8','qpeuUnRamtI', 'LB')
('SL12058-2022-11-01-8154','S340-18','mOAEg', 'MB')
('AC22517-2022-11-01-8362','A465-10','tVoSAUPfOs', 'UB')
('SL22517-2022-11-01-8248','S344-16','dOYMTJgi', 'SU')
('SL04652-2022-11-01-8331','S348-3','pEWHyGGavdufc', 'UB')
('SL22517-2022-11-02-8323','S347-19','wXOSJdstMq', 'UB')
('AC04652-2022-11-01-8650','A481-10','pwl', 'UB')
('SL22517-2022-11-02-8329','S348-1','vrtdIE', 'LB')
('SL04652-2022-11-02-8326','S347-22','HfKALofNGIoQecDs', 'UB')
('SL04652-2022-11-02-8329','S348-1','YsKYbtLwh', 'LB')
('SL22517-2022-11-01-8262','S345-6','q', 'UB')
('AC04652-2022-11-02-8437','A469-13','eScFEHT', 'LB')
('SL04652-2022-11-01-8340','S348-12','asNFQtjc', 'LB')
('AC22517-2022-11-01-8385','A466-15','RocYUjZVgaKMO', 'UB')
('SL12058-2022-11-01-8180','S341-20','pMKBMVTW', 'LB')
('AC22517-2022-11-01-8389','A467-1','PVPgBgMCceBNC', 'LB')
('SL12058-2022-11-01-8209','S343-1','pFNb', 'LB')
('SL12058-2022-11-01-8210','S343-2','fSIteT', 'MB')
('SL22517-2022-11-02-8358','S349-6','hUzihw', 'UB')
('AC22517-2022-11-02-8518','A474-4','Sl', 'UB')
('SL12058-2022-11-01-8220','S343-12','yykmnmKnqlVkW', 'LB')
('SL22517-2022-11-01-8312','S347-8','zyVjHNatZrLRS', 'SU')
('SL22517-2022-11-02-8365','S349-13','AeLwbxmkxnfMw', 'MB')
('AC04652-2022-11-02-8484','A472-6','uOZoUiuXZk', 'SU')
('SL22517-2022-11-02-8366','S349-14','QUmWblJ', 'UB')
('SL04652-2022-11-01-8400','S350-24','NIjKCfWXZE', 'SU')
('AC04652-2022-11-01-8712','A484-18','HzKRYqnsPmqWhUj', 'SU')
('SL04652-2022-11-02-8421','S351-21','Wg', 'MB')
('AC04652-2022-11-02-8528','A474-14','VwN', 'LB')
('AC22517-2022-11-02-8563','A476-13','lzfZeLju', 'LB')
('AC04652-2022-11-02-8529','A474-15','SvlNJzweowKFA', 'UB')
('AC22517-2022-11-01-8477','A471-17','tRpFcwZoDuVMixrx', 'SL')
('SL22517-2022-11-01-8356','S349-4','bNLK', 'LB')
('SL12058-2022-11-01-8296','S346-16','PIiq', 'SU')
('AC22517-2022-11-02-8595','A478-9','wdrXttaLec', 'UB')
('AC22517-2022-11-02-8596','A478-10','pRkXQlyJDz', 'UB')
('SL04652-2022-11-02-8447','S352-23','bagyBhenTICXuVKJ', 'SL')
('AC22517-2022-11-01-8507','A473-11','GsNIVznUAw', 'SL')
('SL04652-2022-11-01-8471','S353-23','fhymk', 'SL')
('AC22517-2022-11-02-8636','A480-14','KPjXNg', 'LB')
('AC04652-2022-11-02-8626','A480-4','MV', 'UB')
('AC04652-2022-11-01-8826','A491-6','dKeZAVjyapL', 'SU')
('SL12058-2022-11-01-8384','S350-8','U', 'SU')
('SL04652-2022-11-02-8544','S356-24','qIfrbysMZ', 'SU')
('SL04652-2022-11-01-8552','S357-8','HQCG', 'SU')
('SL22517-2022-11-02-8535','S356-15','FUiowjDkV', 'SL')
('SL12058-2022-11-01-8416','S351-16','BBbfLP', 'SU')
('SL22517-2022-11-01-8532','S356-12','F', 'LB')
('AC04652-2022-11-01-8908','A495-16','tf', 'UB')
('AC22517-2022-11-02-8721','A485-9','lFznYoxWG', 'UB')
('SL04652-2022-11-01-8592','S358-24','kVnLqQ', 'SU')
('AC04652-2022-11-01-8912','A496-2','cBctsgQlHLyPO', 'LB')
('AC04652-2022-11-01-8913','A496-3','HcpkM', 'UB')
('AC12058-2022-11-01-8647','A481-7','xtEhR', 'LB')
('AC22517-2022-11-01-8667','A482-9','agLzyTzvvBe', 'UB')
('AC22517-2022-11-01-8673','A482-15','vQdOyDQJO', 'UB')
('AC22517-2022-11-02-8749','A487-1','bNaSFkNjbuk', 'LB')
('AC12058-2022-11-01-8673','A482-15','HqfOeqNYvmlAECY', 'UB')
('SL12058-2022-11-01-8464','S353-16','IGOUCOMkxNK', 'SU')
('SL04652-2022-11-01-8615','S359-23','xRxxsPwON', 'SL')
('AC12058-2022-11-01-8692','A483-16','uwiSLBbx', 'UB')
('AC04652-2022-11-02-8777','A488-11','ANRgpvJd', 'SL')
('AC22517-2022-11-01-8749','A487-1','kMFZTZL', 'LB')
('AC04652-2022-11-01-9014','A501-14','qmLoSOHYEqKD', 'LB')
('AC22517-2022-11-01-8750','A487-2','tvsaAgAU', 'LB')
('SL22517-2022-11-02-8693','S363-5','mdLQVatUyupZxV', 'MB')
('SL22517-2022-11-01-8669','S362-5','XzTvfrC', 'MB')
('AC22517-2022-11-02-8845','A492-7','rNLz', 'LB')
('AC22517-2022-11-01-8781','A488-15','guGqvFIvUQUMTs', 'UB')
('AC04652-2022-11-01-9072','A504-18','LjzFnUg', 'SU')
('AC12058-2022-11-01-8786','A489-2','pHbAgUzFlXOAGqxz', 'LB')
('AC22517-2022-11-02-8859','A493-3','feOCuL', 'UB')
('SL22517-2022-11-01-8714','S364-2','huHK', 'MB')
('SL04652-2022-11-02-8762','S366-2','dn', 'MB')
('SL22517-2022-11-01-8740','S365-4','jc', 'LB')
('SL22517-2022-11-01-8765','S366-5','zR', 'MB')
('SL22517-2022-11-01-8766','S366-6','LKFgsbXGDHarA', 'UB')
('AC22517-2022-11-01-8873','A493-17','TjZhYfDroyrQK', 'SL')
('SL22517-2022-11-02-8788','S367-4','IxAkBaOYq', 'LB')
('AC12058-2022-11-01-8869','A493-13','FOsBTF', 'LB')
('AC22517-2022-11-01-8878','A494-4','O', 'UB')
('AC04652-2022-11-01-9147','A509-3','yuWSvxbxWR', 'UB')
('SL22517-2022-11-02-8799','S367-15','LxLmBXAcnmDYOX', 'SL')
('SL12058-2022-11-01-8662','S361-22','PFDVphYEMSe', 'UB')
('AC04652-2022-11-01-9150','A509-6','JZSrpwTc', 'SU')
('SL22517-2022-11-02-8816','S368-8','MPvsgNbDsP', 'SU')
('AC12058-2022-11-01-8890','A494-16','NmGIqFAllKJlCCbj', 'UB')
('SL22517-2022-11-01-8788','S367-4','AaXypwRvqIpvzhRI', 'LB')
('SL22517-2022-11-02-8820','S368-12','FgdvihlMScZ', 'LB')
('SL04652-2022-11-02-8846','S369-14','vItiwMQgLmYe', 'UB')
('AC22517-2022-11-01-8905','A495-13','XADUtWYHgqxiA', 'LB')
('AC04652-2022-11-01-9170','A510-8','dpzgGlsHgZcU', 'LB')
('AC12058-2022-11-01-8895','A495-3','KOUiNXvh', 'UB')
('AC22517-2022-11-02-8967','A499-3','rwHaDAJ', 'UB')
('AC04652-2022-11-01-9186','A511-6','vfRwUyF', 'SU')
('AC22517-2022-11-02-8976','A499-12','f', 'SU')
('AC04652-2022-11-01-9207','A512-9','ATzObxpErL', 'UB')
('SL04652-2022-11-01-8856','S369-24','OVSxFtra', 'SU')
('AC04652-2022-11-02-8977','A499-13','lXVqP', 'LB')
('AC22517-2022-11-02-8998','A500-16','FDPjeXHDQq', 'UB')
('AC22517-2022-11-02-9007','A501-7','ihCdqOmPfpw', 'LB')
('SL22517-2022-11-01-8833','S369-1','oXSfKtSJad', 'LB')
('AC12058-2022-11-01-8943','A497-15','Rsm', 'UB')
('AC04652-2022-11-02-8999','A500-17','bO', 'SL')
('AC22517-2022-11-02-9013','A501-13','uyjdYlyrSXAf', 'LB')
('AC12058-2022-11-01-8948','A498-2','a', 'LB')
('SL22517-2022-11-01-8850','S369-18','XB', 'MB')
('SL04652-2022-11-02-8910','S372-6','IkYN', 'UB')
('SL04652-2022-11-01-8895','S371-15','LbFgnKcJOOc', 'SL')
('SL04652-2022-11-02-8913','S372-9','zQlJh', 'LB')
('SL22517-2022-11-02-8906','S372-2','GeuoOl', 'MB')
('SL04652-2022-11-01-8905','S372-1','YERoyqkdExCtLT', 'LB')
('SL04652-2022-11-02-8919','S372-15','HreXePQG', 'SL')
('AC22517-2022-11-02-9031','A502-13','qmu', 'LB')
('SL22517-2022-11-02-8918','S372-14','ffNrmXHx', 'UB')
('AC12058-2022-11-01-8981','A499-17','opMNRin', 'SL')
('AC12058-2022-11-01-8982','A499-18','wKmDaYMwkqcPfr', 'SU')
('SL22517-2022-11-01-8884','S371-4','MzGF', 'LB')
('AC22517-2022-11-02-9046','A503-10','wUQD', 'UB')
('AC12058-2022-11-01-8997','A500-15','XVpCD', 'UB')
('AC04652-2022-11-01-9275','A516-5','pBdjU', 'SL')
('AC22517-2022-11-02-9060','A504-6','KShaMDSWbdrEL', 'SU')
('AC22517-2022-11-01-9015','A501-15','eKlBQUEQXr', 'UB')
('SL04652-2022-11-02-8955','S374-3','tx', 'UB')
('AC04652-2022-11-01-9295','A517-7','KForOBYq', 'LB')
('AC22517-2022-11-01-9029','A502-11','I', 'SL')
('SL12058-2022-11-01-8827','S368-19','RoNOfRTGSJ', 'UB')
('SL04652-2022-11-02-8974','S374-22','dy', 'UB')
('AC12058-2022-11-01-9028','A502-10','MoektCajnsG', 'UB')
('SL04652-2022-11-02-8975','S374-23','J', 'SL')
('SL22517-2022-11-01-8934','S373-6','McCqKcHIZmKHUvLt', 'UB')
('SL04652-2022-11-01-8988','S375-12','ISheEQnPs', 'LB')
('SL12058-2022-11-01-8836','S369-4','rudn', 'LB')
('SL22517-2022-11-02-8973','S374-21','TVduTrNuAY', 'MB')
('SL22517-2022-11-02-8974','S374-22','c', 'UB')
('SL22517-2022-11-01-8943','S373-15','moWYTVltVrjs', 'SL')
('AC04652-2022-11-02-9092','A506-2','n', 'LB')
('SL12058-2022-11-01-8854','S369-22','SMLgUHDRhyRVUlOR', 'UB')
('AC04652-2022-11-01-9331','A519-7','ZpDtNmSwE', 'LB')
('SL04652-2022-11-01-9003','S376-3','kqykQG', 'UB')
('AC04652-2022-11-02-9099','A506-9','BkwDThSSBDvkxEaG', 'UB')
('AC04652-2022-11-02-9100','A506-10','qjkaYPhuq', 'UB')
('AC04652-2022-11-02-9101','A506-11','RDZPG', 'SL')
('SL04652-2022-11-02-8995','S375-19','KXCEzYNYesb', 'UB')
('SL22517-2022-11-01-8950','S373-22','nzjNfbZBeCewnC', 'UB')
('AC12058-2022-11-01-9054','A503-18','EHGszVIGUcfWiIg', 'SU')
('AC12058-2022-11-01-9055','A504-1','OooorVTsvpnfz', 'LB')
('AC04652-2022-11-02-9104','A506-14','AagJakDYmvb', 'LB')
('SL22517-2022-11-01-8951','S373-23','bugxvbZc', 'SL')
('SL04652-2022-11-01-9010','S376-10','cCgBBYKZkSpoUF', 'MB')
('SL04652-2022-11-02-8998','S375-22','URwrSKu', 'UB')
('SL22517-2022-11-02-8989','S375-13','bROZ', 'MB')
('AC22517-2022-11-01-9048','A503-12','VUXRRtVEgmsYiNu', 'SU')
('SL22517-2022-11-01-8954','S374-2','lwc', 'MB')
('AC04652-2022-11-02-9107','A506-17','thoAgYXOEPQUgXjI', 'SL')
('SL22517-2022-11-01-8956','S374-4','QVOjqms', 'LB')
('AC12058-2022-11-01-9061','A504-7','nYzmoMphmshw', 'LB')
('AC12058-2022-11-01-9064','A504-10','wwmJRv', 'UB')
('AC22517-2022-11-01-9145','A509-1','IhjyrJFLnXFWd', 'LB')
('AC22517-2022-11-01-9146','A509-2','ywFvjQSVUJFqp', 'LB')
('SL12058-2022-11-01-8968','S374-16','COoySOkSLjNSH', 'SU')
('AC22517-2022-11-01-9254','A515-2','JEznbKoESJBwF', 'LB')
('SL22517-2022-11-02-9167','S382-23','srSSKrHk', 'SL')
('AC22517-2022-11-01-9258','A515-6','zADdrIRNTm', 'SU')
('SL04652-2022-11-01-9216','S384-24','jxqCw', 'SU')
('SL12058-2022-11-01-9116','S380-20','TsVZWpWZK', 'LB')
('SL12058-2022-11-01-9124','S381-4','RoCmfEg', 'LB')
('SL04652-2022-11-02-9247','S386-7','aGE', 'SL')
('SL04652-2022-11-02-9249','S386-9','URppydFYCCV', 'LB')
('AC22517-2022-11-01-9341','A519-17','MIJ', 'SL')
('AC04652-2022-11-01-9609','A534-15','ePdOzoojHkMxrI', 'UB')
('SL04652-2022-11-02-9257','S386-17','swbuPj', 'LB')
('SL04652-2022-11-02-9263','S386-23','EJBnYBYc', 'SL')
('AC04652-2022-11-01-9618','A535-6','aUlCpVwGLOGoY', 'SU')
('SL12058-2022-11-01-9141','S381-21','DoK', 'MB')
('AC12058-2022-11-01-9347','A520-5','UAdqAKbjgxj', 'SL')
('SL04652-2022-11-02-9274','S387-10','uXqBAOAhuHfkANmd', 'MB')
('AC22517-2022-11-02-9388','A522-10','GamfapTsMaMtmdBW', 'UB')
('SL12058-2022-11-01-9148','S382-4','AMOhGwBFisaK', 'LB')
('AC04652-2022-11-01-9631','A536-1','BsrKLOPmTIegvyST', 'LB')
('AC22517-2022-11-02-9393','A522-15','g', 'UB')
('AC12058-2022-11-01-9418','A524-4','scBhqYNRMFbBl', 'UB')
('AC22517-2022-11-01-9439','A525-7','FZCNbLxWOGUb', 'LB')
('AC22517-2022-11-01-9440','A525-8','FVJ', 'LB')
('SL04652-2022-11-01-9378','S391-18','FMfVztJvXZZV', 'MB')
('AC22517-2022-11-02-9489','A528-3','fWok', 'UB')
('AC22517-2022-11-01-9476','A527-8','vPsnxPnBFMkgCbIp', 'LB')
('SL04652-2022-11-02-9385','S392-1','pvUEoKsVUqwiK', 'LB')
('AC22517-2022-11-01-9479','A527-11','pBYePzMRNhl', 'SL')
('AC22517-2022-11-01-9480','A527-12','HszsAowbctMHcB', 'SU')
('SL04652-2022-11-01-9384','S391-24','qyOiFqwvePfntXaa', 'SU')
('AC22517-2022-11-02-9504','A528-18','ykaSnErO', 'SU')
('SL04652-2022-11-02-9400','S392-16','fToYgeSbw', 'SU')
('AC04652-2022-11-02-9514','A529-10','JUYwX', 'UB')
('AC04652-2022-11-02-9516','A529-12','JAOnsXwWL', 'SU')
('SL04652-2022-11-02-9405','S392-21','ro', 'MB')
('SL04652-2022-11-02-9406','S392-22','eGlPgps', 'UB')
('SL12058-2022-11-01-9286','S387-22','tj', 'UB')
('SL12058-2022-11-01-9289','S388-1','AdqQsmGfqbVTst', 'LB')
('SL22517-2022-11-02-9410','S393-2','ScaTyBocGV', 'MB')
('AC04652-2022-11-01-9761','A543-5','aP', 'SL')
('SL22517-2022-11-01-9358','S390-22','auoVyViGZiVuX', 'UB')
('AC12058-2022-11-01-9496','A528-10','kbcPtByFDIAY', 'UB')
('AC04652-2022-11-01-9766','A543-10','bKO', 'UB')
('AC22517-2022-11-01-9508','A529-4','BMEYrTzTlQcw', 'UB')
('AC12058-2022-11-01-9597','A534-3','NgLmv', 'UB')
('SL04652-2022-11-02-9511','S397-7','bKfed', 'SL')
('SL12058-2022-11-01-9385','S392-1','dHIg', 'LB')
('SL04652-2022-11-01-9498','S396-18','EPbxwUc', 'MB')
('SL22517-2022-11-01-9451','S394-19','IUdXGKzjJkv', 'UB')
('AC12058-2022-11-01-9606','A534-12','if', 'SU')
('SL22517-2022-11-01-9459','S395-3','zUzMHD', 'UB')
('AC22517-2022-11-02-9741','A542-3','JtcqjRR', 'UB')
('AC22517-2022-11-01-9705','A540-3','GbRd', 'UB')
('AC04652-2022-11-02-9777','A544-3','ZLx', 'UB')
('SL04652-2022-11-02-9663','S403-15','aHhIlIXdBekNEJ', 'SL')
('SL04652-2022-11-01-9664','S403-16','QZJWMkimqgqCR', 'SU')
('SL12058-2022-11-01-9529','S398-1','IR', 'LB')
('SL04652-2022-11-02-9669','S403-21','Ssul', 'MB')
('SL22517-2022-11-01-9604','S401-4','LBAYEIusILAKT', 'LB')
('SL22517-2022-11-02-9702','S405-6','lRnB', 'UB')
('SL22517-2022-11-02-9703','S405-7','XERdVmpjk', 'SL')
('SL22517-2022-11-01-9614','S401-14','kYEDZnhJhR', 'UB')
('SL12058-2022-11-01-9536','S398-8','eXFQhsA', 'SU')
('SL04652-2022-11-01-9672','S403-24','mqElrtOt', 'SU')
('AC22517-2022-11-01-9769','A543-13','mO', 'LB')
('AC22517-2022-11-02-9808','A545-16','iinmxHgbwbQ', 'UB')
('SL04652-2022-11-02-9680','S404-8','XYehVd', 'SU')
('AC04652-2022-11-02-9799','A545-7','IVUdfDYVwzKRLSq', 'LB')
('AC04652-2022-11-01-10027','A558-1','iETverYPmwGau', 'LB')
('SL22517-2022-11-02-9776','S408-8','yDvHB', 'SU')
('SL22517-2022-11-01-9677','S404-5','KaXxjSUubsw', 'MB')
('AC04652-2022-11-02-9865','A549-1','N', 'LB')
('SL22517-2022-11-01-9687','S404-15','ztzPK', 'SL')
('SL04652-2022-11-02-9757','S407-13','wIVqh', 'MB')
('SL22517-2022-11-02-9915','S414-3','bWsoYvVXYn', 'UB')
('AC22517-2022-11-01-9986','A555-14','WfYs', 'LB')
('SL22517-2022-11-02-9917','S414-5','bqYJu', 'MB')
('SL04652-2022-11-01-9879','S412-15','YmT', 'SL')
('SL22517-2022-11-02-9918','S414-6','PWDR', 'UB')
('AC04652-2022-11-01-10211','A568-5','kykIXORs', 'SL')
('AC04652-2022-11-01-10212','A568-6','mGfXHJysqYRKw', 'SU')
('SL22517-2022-11-01-9821','S410-5','GtmFmmGwfmWQQRP', 'MB')
('SL04652-2022-11-02-9897','S413-9','oXU', 'LB')
('SL04652-2022-11-02-9899','S413-11','N', 'UB')
('SL12058-2022-11-01-9755','S407-11','ddeZUUCUPgAaPNv', 'UB')
('SL12058-2022-11-01-9757','S407-13','TE', 'MB')
('SL04652-2022-11-02-9905','S413-17','XNEDPz', 'LB')
('SL04652-2022-11-02-9906','S413-18','tnRB', 'MB')
('AC22517-2022-11-01-10002','A556-12','UY', 'SU')
('SL04652-2022-11-02-9920','S414-8','QirvXiKU', 'SU')
('SL22517-2022-11-01-9844','S411-4','XD', 'LB')
('SL22517-2022-11-01-9845','S411-5','HCsdaxXULdOzmF', 'MB')
('AC12058-2022-11-01-10022','A557-14','cKjzkwFQsEExSbOy', 'LB')
('AC04652-2022-11-02-10041','A558-15','vRlWdFQRvH', 'UB')
('SL04652-2022-11-02-9930','S414-18','ODXldeRNT', 'MB')
('SL04652-2022-11-02-9933','S414-21','YnOAj', 'MB')
('SL22517-2022-11-01-9858','S411-18','jvKwAkyaSQ', 'MB')
('AC22517-2022-11-02-10089','A561-9','IWZZqUumKiEbIa', 'UB')
('SL22517-2022-11-02-9982','S416-22','GpMltZnJkKUKaLUh', 'UB')
('AC12058-2022-11-01-10108','A562-10','lDspmdOlVhYe', 'UB')
('SL22517-2022-11-01-9968','S416-8','gBjRlDfHG', 'SU')
('AC04652-2022-11-01-10367','A576-17','GUUFJ', 'SL')
('SL22517-2022-11-02-10070','S420-14','itNOBvEND', 'UB')
('AC04652-2022-11-01-10374','A577-6','RrzimRoTRdGPxyn', 'SU')
('AC12058-2022-11-01-10184','A566-14','NaSX', 'LB')
('AC22517-2022-11-01-10174','A566-4','wUeKdE', 'UB')
('AC04652-2022-11-02-10195','A567-7','w', 'LB')
('AC04652-2022-11-02-10196','A567-8','Pxdzpor', 'LB')
('AC04652-2022-11-02-10197','A567-9','nRzMIcQE', 'UB')
('AC12058-2022-11-01-10239','A569-15','DgHJUFvtULWECdqa', 'UB')
('SL12058-2022-11-01-9989','S417-5','FYUPNJ', 'MB')
('SL04652-2022-11-02-10228','S427-4','vOrpaQRpQyZp', 'LB')
('SL04652-2022-11-01-10183','S425-7','cGTEzPnbntWgP', 'SL')
('AC22517-2022-11-01-10293','A572-15','y', 'UB')
('SL04652-2022-11-01-10226','S427-2','jLQsPGZE', 'MB')
('SL04652-2022-11-01-10227','S427-3','HcqlyBFOsKxK', 'UB')
('SL22517-2022-11-02-10234','S427-10','vi', 'MB')
('SL22517-2022-11-01-10151','S423-23','CLw', 'SL')
('SL22517-2022-11-01-10152','S423-24','tEeC', 'SU')
('AC04652-2022-11-01-10551','A587-3','UWfG', 'UB')
('AC04652-2022-11-02-10354','A576-4','bRtE', 'UB')
('SL22517-2022-11-01-10156','S424-4','bKQIhWR', 'LB')
('AC12058-2022-11-01-10354','A576-4','smkxrDiKI', 'UB')
('SL22517-2022-11-02-10242','S427-18','EUBOZij', 'MB')
('SL22517-2022-11-02-10245','S427-21','cxSuXitzEfz', 'MB')
('SL12058-2022-11-01-10095','S421-15','bPNSEyxnNCC', 'SL')
('AC04652-2022-11-01-10563','A587-15','mNBSHUDewBDfJJH', 'UB')
('AC22517-2022-11-02-10392','A578-6','QuQhVClXo', 'SU')
('SL04652-2022-11-01-10287','S429-15','GNvUIPz', 'SL')
('AC22517-2022-11-02-10394','A578-8','mXuiMRqeL', 'LB')
('SL22517-2022-11-02-10392','S433-24','iSjbIe', 'SU')
('SL04652-2022-11-01-10356','S432-12','FElyL', 'LB')
('AC04652-2022-11-02-10479','A583-3','jKtoSUMfhHZKPr', 'UB')
('SL22517-2022-11-01-10292','S429-20','dzP', 'LB')
('SL22517-2022-11-02-10439','S435-23','aktYmKpRCdu', 'SL')
('SL22517-2022-11-01-10329','S431-9','fARGMewGzMaK', 'LB')
('AC22517-2022-11-02-10525','A585-13','aAuaCvzphGpb', 'LB')
('AC04652-2022-11-02-10523','A585-11','sNLVUoAPxRP', 'SL')
('AC12058-2022-11-01-10522','A585-10','cMjoMlkTD', 'UB')
('SL04652-2022-11-01-10397','S434-5','PpfLD', 'MB')
('AC04652-2022-11-02-10526','A585-14','XgG', 'LB')
('SL04652-2022-11-01-10398','S434-6','lzRKZBDWKqpGFZN', 'UB')
('SL04652-2022-11-01-10399','S434-7','aP', 'SL')
('SL04652-2022-11-02-10436','S435-20','mOiyEYLioEVu', 'LB')
('AC22517-2022-11-02-10533','A586-3','wTsCScgaljiZx', 'UB')
('AC22517-2022-11-01-10499','A584-5','HHosfKKHYfx', 'SL')
('SL22517-2022-11-01-10340','S431-20','ELDG', 'LB')
('SL22517-2022-11-01-10341','S431-21','yzGyMkpdMicOvus', 'MB')
('SL12058-2022-11-01-10276','S429-4','HGoRHnjDflDCYk', 'LB')
('SL12058-2022-11-01-10282','S429-10','DCTsBJQVPCQdFdC', 'MB')
('SL04652-2022-11-02-10448','S436-8','d', 'SU')
