('SL22517-2022-11-01-4','S1-4','nqDhZGaTO', 'LB')
('SL12058-2022-11-01-863','S36-23','dPbAqC', 'SL')
('SL12058-2022-11-01-864','S36-24','SeOFjIAuREJy', 'SU')
('AC22517-2022-11-01-807','A45-15','hRuzYllAXxcKcxE', 'UB')
('SL04652-2022-11-02-807','S34-15','CGEgOLqilmh', 'SL')
('AC22517-2022-11-01-809','A45-17','ANbhavtrY', 'SL')
('AC22517-2022-11-01-812','A46-2','jecbSwv', 'LB')
('SL22517-2022-11-02-858','S36-18','WafOWkdEhyFSUd', 'MB')
('AC12058-2022-11-01-865','A49-1','UoTzWKzYMd', 'LB')
('AC12058-2022-11-01-866','A49-2','rtX', 'LB')
('AC22517-2022-11-02-905','A51-5','pOdJ', 'SL')
('SL12058-2022-11-01-880','S37-16','iH', 'SU')
('SL04652-2022-11-02-831','S35-15','txVpAlBvvcs', 'SL')
('SL04652-2022-11-02-832','S35-16','NbCAzxclTVeg', 'SU')
('SL22517-2022-11-01-866','S37-2','ESAQ', 'MB')
('AC22517-2022-11-01-857','A48-11','rlno', 'SL')
('SL22517-2022-11-02-919','S39-7','zEJGiEdL', 'SL')
('SL04652-2022-11-01-893','S38-5','bSqJxYbKHaP', 'MB')
('AC12058-2022-11-01-907','A51-7','dZkSrgBYWKY', 'LB')
('SL04652-2022-11-01-894','S38-6','GREjxvkFV', 'UB')
('SL22517-2022-11-01-905','S38-17','YCuYbCC', 'LB')
('SL22517-2022-11-01-949','S40-13','Vl', 'MB')
('SL22517-2022-11-02-954','S40-18','RVbv', 'MB')
('SL22517-2022-11-01-952','S40-16','zyQaqKUwor', 'SU')
('AC22517-2022-11-02-992','A56-2','gpPzxoAJWR', 'LB')
('AC04652-2022-11-01-954','A53-18','nzXvIKEXjeosKe', 'SU')
('SL12058-2022-11-01-968','S41-8','tbCyvYsLLyEdE', 'SU')
('AC22517-2022-11-01-915','A51-15','kJwK', 'UB')
('AC04652-2022-11-02-919','A52-1','vsUNXsWdmQ', 'LB')
('SL22517-2022-11-01-957','S40-21','fUpJTNshSkEV', 'MB')
('AC04652-2022-11-02-920','A52-2','hDO', 'LB')
('AC04652-2022-11-02-921','A52-3','kXO', 'UB')
('SL12058-2022-11-01-973','S41-13','TeuNMG', 'MB')
('SL22517-2022-11-01-960','S40-24','Csk', 'SU')
('AC04652-2022-11-02-928','A52-10','NNpYFHg', 'UB')
('AC22517-2022-11-01-927','A52-9','CZzQQOdpUWTcx', 'UB')
('AC22517-2022-11-01-928','A52-10','pZHzRGfCJOhsdmx', 'UB')
('AC12058-2022-11-01-954','A53-18','NjMYWWD', 'SU')
('AC04652-2022-11-02-939','A53-3','uGYV', 'UB')
('SL04652-2022-11-02-919','S39-7','hSYShGagCBu', 'SL')
('AC04652-2022-11-01-975','A55-3','KtGb', 'UB')
('SL22517-2022-11-01-971','S41-11','LFzRx', 'UB')
('SL22517-2022-11-02-994','S42-10','bubpThmDzbXB', 'MB')
('AC22517-2022-11-01-939','A53-3','rfyhAAAkcadypIPK', 'UB')
('SL22517-2022-11-02-997','S42-13','jNeyBPkkzISO', 'MB')
('AC04652-2022-11-01-982','A55-10','ovlgJHJTD', 'UB')
('SL22517-2022-11-02-1000','S42-16','SelwKXgT', 'SU')
('AC12058-2022-11-01-965','A54-11','xBMAJLScqm', 'SL')
('SL22517-2022-11-02-1004','S42-20','Dyc', 'LB')
('AC22517-2022-11-01-949','A53-13','UfqZvoqfCDJnn', 'LB')
('SL12058-2022-11-01-998','S42-14','ROrp', 'UB')
('SL22517-2022-11-01-983','S41-23','nF', 'SL')
('AC04652-2022-11-01-995','A56-5','UjRwXE', 'SL')
('SL04652-2022-11-01-973','S41-13','ojGQNFNyAD', 'MB')
('AC12058-2022-11-01-973','A55-1','OuJ', 'LB')
('SL04652-2022-11-01-975','S41-15','wuLUdEsNXTZR', 'SL')
('SL04652-2022-11-01-977','S41-17','WfPY', 'LB')
('SL04652-2022-11-01-978','S41-18','dreCeuaoTKU', 'MB')
('AC22517-2022-11-02-1030','A58-4','yGuFusGEzo', 'UB')
('SL12058-2022-11-01-1006','S42-22','gP', 'UB')
('AC04652-2022-11-01-1001','A56-11','kMMiRJVG', 'SL')
('SL22517-2022-11-02-1021','S43-13','VBDRbUNDNNBYQ', 'MB')
('AC22517-2022-11-02-1032','A58-6','VIvPInkFe', 'SU')
('SL22517-2022-11-02-1023','S43-15','lKwEiNZpMryBrqtY', 'SL')
('SL12058-2022-11-01-1010','S43-2','HAQlkCuLzFLGj', 'MB')
('AC04652-2022-11-02-976','A55-4','nyeSIKOxrOD', 'UB')
('AC04652-2022-11-02-977','A55-5','lysu', 'SL')
('SL12058-2022-11-01-1038','S44-6','litZJvfDVF', 'UB')
('SL22517-2022-11-01-1027','S43-19','NPzn', 'UB')
('SL22517-2022-11-02-1058','S45-2','mslQgbKQ', 'MB')
('SL22517-2022-11-02-1064','S45-8','iXHYIuxdkPDph', 'SU')
('AC22517-2022-11-01-1013','A57-5','kcJIn', 'SL')
('AC04652-2022-11-02-1024','A57-16','LhwsMITZKmkqY', 'UB')
('AC22517-2022-11-02-1082','A61-2','EUQXf', 'LB')
('SL04652-2022-11-02-992','S42-8','uJpwbMaG', 'SU')
('SL22517-2022-11-02-1090','S46-10','ZpVa', 'MB')
('AC04652-2022-11-01-1057','A59-13','ZHdZ', 'LB')
('AC04652-2022-11-02-1032','A58-6','jy', 'SU')
('SL04652-2022-11-01-1047','S44-15','EyR', 'SL')
('AC04652-2022-11-01-1068','A60-6','xqamIrDXjqKro', 'SU')
('SL04652-2022-11-01-1048','S44-16','JSxXiLj', 'SU')
('AC12058-2022-11-01-1044','A58-18','GCtqvnNaZyEvEBy', 'SU')
('SL22517-2022-11-01-1064','S45-8','fZkLpd', 'SU')
('AC22517-2022-11-02-1096','A61-16','XksmoFLJNvgi', 'UB')
('AC04652-2022-11-02-1042','A58-16','bgYrn', 'UB')
('SL04652-2022-11-02-1020','S43-12','jVZsVldtDGFStBnZ', 'LB')
('AC12058-2022-11-01-1053','A59-9','CsDmJFC', 'UB')
('AC12058-2022-11-01-1054','A59-10','xRXDuo', 'UB')
('AC12058-2022-11-01-1055','A59-11','wS', 'SL')
('AC04652-2022-11-02-1044','A58-18','VSzbNcWjb', 'SU')
('AC22517-2022-11-02-1100','A62-2','Rl', 'LB')
('SL04652-2022-11-02-1024','S43-16','BTPYoRSP', 'SU')
('SL04652-2022-11-01-1063','S45-7','HkShISG', 'SL')
('SL12058-2022-11-01-1096','S46-16','HiLaxJrU', 'SU')
('AC12058-2022-11-01-1096','A61-16','rCstHlPfkHPv', 'UB')
('SL04652-2022-11-02-1069','S45-13','Gvroqfox', 'MB')
('SL22517-2022-11-01-1108','S47-4','HE', 'LB')
('SL04652-2022-11-01-1104','S46-24','kfLWjF', 'SU')
('SL22517-2022-11-01-1109','S47-5','fIAN', 'MB')
('SL04652-2022-11-02-1073','S45-17','XNuWmwlLhyoA', 'LB')
('SL22517-2022-11-01-1148','S48-20','jeFQmCLpyjDG', 'LB')
('AC22517-2022-11-01-1135','A64-1','vkb', 'LB')
('AC04652-2022-11-01-1169','A65-17','LLoHFFD', 'SL')
('SL22517-2022-11-02-1193','S50-17','yEdGKysLh', 'LB')
('AC12058-2022-11-01-1142','A64-8','baAyMdacqbdIns', 'LB')
('AC12058-2022-11-01-1145','A64-11','H', 'SL')
('SL04652-2022-11-02-1124','S47-20','PPWUhxebwSQ', 'LB')
('SL22517-2022-11-02-1226','S52-2','GIc', 'MB')
('AC04652-2022-11-02-1173','A66-3','IcYxQXFAO', 'UB')
('SL04652-2022-11-02-1164','S49-12','HmFlBo', 'LB')
('AC12058-2022-11-01-1185','A66-15','jGH', 'UB')
('AC04652-2022-11-01-1215','A68-9','HPVbchGoysYRB', 'UB')
('SL04652-2022-11-01-1192','S50-16','YFBFZHwis', 'SU')
('SL22517-2022-11-01-1202','S51-2','j', 'MB')
('AC04652-2022-11-01-1219','A68-13','PZ', 'LB')
('SL04652-2022-11-02-1173','S49-21','bbq', 'MB')
('AC12058-2022-11-01-1194','A67-6','YRtU', 'SU')
('SL04652-2022-11-02-1187','S50-11','HttRgcquojr', 'UB')
('SL04652-2022-11-01-1213','S51-13','cbDVtuLCjhxlp', 'MB')
('SL04652-2022-11-02-1190','S50-14','aWezZpQgCy', 'UB')
('AC12058-2022-11-01-1205','A67-17','crxNIzZEqJVT', 'SL')
('AC22517-2022-11-02-1242','A69-18','xKWoOaefBbnjSzWt', 'SU')
('SL22517-2022-11-01-1227','S52-3','Ab', 'UB')
('AC22517-2022-11-01-1192','A67-4','NRWBkqV', 'UB')
('SL12058-2022-11-01-1202','S51-2','dUGnoteEJUxhl', 'MB')
('SL12058-2022-11-01-1203','S51-3','fAikpFdhh', 'UB')
('SL12058-2022-11-01-1204','S51-4','KfxfBvyWqwSB', 'LB')
('SL22517-2022-11-01-1231','S52-7','hDsCPsqWeZnQ', 'SL')
('AC04652-2022-11-01-1245','A70-3','R', 'UB')
('AC22517-2022-11-02-1284','A72-6','gREqdRSaMLPjvaV', 'SU')
('SL04652-2022-11-02-1234','S52-10','IbtPWJbQtpFrvIe', 'MB')
('AC04652-2022-11-01-1281','A72-3','UbqiCkn', 'UB')
('AC22517-2022-11-02-1287','A72-9','CUiScCpenajVT', 'UB')
('SL12058-2022-11-01-1246','S52-22','MWYokRZpUlgWFfDM', 'UB')
('AC04652-2022-11-01-1285','A72-7','LjddL', 'LB')
('AC22517-2022-11-01-1237','A69-13','dPSzCw', 'LB')
('SL22517-2022-11-01-1279','S54-7','nJjprzGqvpku', 'SL')
('AC22517-2022-11-01-1271','A71-11','ISRMFACbnwofvwTH', 'SL')
('SL12058-2022-11-01-1282','S54-10','mil', 'MB')
('AC04652-2022-11-02-1282','A72-4','ouP', 'UB')
('SL22517-2022-11-02-1344','S56-24','hQDHDEvOW', 'SU')
('AC12058-2022-11-01-1309','A73-13','XUMSlpfvvSdA', 'LB')
('AC22517-2022-11-01-1277','A71-17','kAzMQ', 'SL')
('AC04652-2022-11-01-1327','A74-13','Sxh', 'LB')
('AC12058-2022-11-01-1314','A73-18','PFY', 'SU')
('AC22517-2022-11-01-1281','A72-3','DJFA', 'UB')
('AC12058-2022-11-01-1316','A74-2','cH', 'LB')
('AC04652-2022-11-01-1365','A76-15','KVGAx', 'UB')
('SL22517-2022-11-01-1345','S57-1','cPJQdVZy', 'LB')
('AC04652-2022-11-02-1330','A74-16','QdOPb', 'UB')
('SL04652-2022-11-02-1329','S56-9','cxcumN', 'LB')
('AC04652-2022-11-02-1332','A74-18','dmikFIZhWjt', 'SU')
('AC22517-2022-11-01-1325','A74-11','yYieQzFknF', 'SL')
('AC22517-2022-11-01-1326','A74-12','Mep', 'SU')
('SL12058-2022-11-01-1326','S56-6','duoFj', 'UB')
('SL12058-2022-11-01-1327','S56-7','xnCegYdwAmQxKnw', 'SL')
('SL12058-2022-11-01-1334','S56-14','qlXSAsrtUdL', 'UB')
('AC04652-2022-11-02-1340','A75-8','jCEJMdpjwAsL', 'LB')
('SL22517-2022-11-01-1351','S57-7','eA', 'SL')
('SL12058-2022-11-01-1340','S56-20','C', 'LB')
('AC04652-2022-11-01-1380','A77-12','MrHBxqEUuXI', 'SU')
('SL04652-2022-11-02-1343','S56-23','n', 'SL')
('SL22517-2022-11-01-1357','S57-13','SwsVNgVjqDK', 'MB')
('SL04652-2022-11-01-1362','S57-18','CUPX', 'MB')
('AC04652-2022-11-01-1389','A78-3','Af', 'UB')
('AC22517-2022-11-02-1398','A78-12','OfRHNGYHUDuL', 'SU')
('SL04652-2022-11-01-1369','S58-1','iOQkpHANUAmggoDT', 'LB')
('AC04652-2022-11-01-1391','A78-5','gLRQoVzlROUW', 'SL')
('SL22517-2022-11-02-1403','S59-11','KFZNZ', 'UB')
('AC22517-2022-11-02-1461','A82-3','T', 'UB')
('SL22517-2022-11-02-1461','S61-21','PUM', 'MB')
('AC22517-2022-11-02-1467','A82-9','ggUSToFwvGNVIbvI', 'UB')
('AC22517-2022-11-02-1468','A82-10','vyOmFofAGWLozev', 'UB')
('SL22517-2022-11-02-1464','S61-24','vEJnZRtST', 'SU')
('SL22517-2022-11-02-1472','S62-8','pdRunHB', 'SU')
('SL04652-2022-11-01-1445','S61-5','CRK', 'MB')
('SL22517-2022-11-02-1475','S62-11','ASHqfRemPHM', 'UB')
('SL22517-2022-11-01-1434','S60-18','aW', 'MB')
('SL12058-2022-11-01-1416','S59-24','CGtAaLPxRdDih', 'SU')
('AC22517-2022-11-01-1423','A80-1','GkoHvKsiJXMxnv', 'LB')
('AC12058-2022-11-01-1458','A81-18','wtJRMTRsQIbt', 'SU')
('SL22517-2022-11-01-1441','S61-1','XRmXE', 'LB')
('SL22517-2022-11-02-1482','S62-18','LKmQOuhyTehN', 'MB')
('SL22517-2022-11-02-1483','S62-19','biLcylVgOWA', 'UB')
('AC04652-2022-11-01-1469','A82-11','SwGTMMcj', 'SL')
('SL22517-2022-11-01-1443','S61-3','tvbtoKNEHBH', 'UB')
('AC22517-2022-11-01-1428','A80-6','fqK', 'SU')
('AC04652-2022-11-01-1471','A82-13','imBhcuolwqmcKjk', 'LB')
('AC04652-2022-11-02-1414','A79-10','dwjrOzOQVAGYMa', 'UB')
('AC12058-2022-11-01-1464','A82-6','JrQ', 'SU')
('AC22517-2022-11-02-1489','A83-13','eUjmgdAY', 'LB')
('SL04652-2022-11-01-1471','S62-7','XmHrGepWfhlQtcV', 'SL')
('AC04652-2022-11-02-1421','A79-17','MOHxNjkpkxcC', 'SL')
('SL04652-2022-11-01-1473','S62-9','oKTIwxZcMn', 'LB')
('SL22517-2022-11-01-1447','S61-7','dyFLIWGoRickmfJ', 'SL')
('SL22517-2022-11-02-1492','S63-4','wnIjClPZZpnnV', 'LB')
('SL12058-2022-11-01-1433','S60-17','fTavtQavbfK', 'LB')
('SL04652-2022-11-01-1477','S62-13','NYuxItMgvjLIxSLf', 'MB')
('SL22517-2022-11-02-1498','S63-10','ORDPB', 'MB')
('SL04652-2022-11-02-1442','S61-2','xcVOIZamuvV', 'MB')
('SL22517-2022-11-02-1532','S64-20','u', 'LB')
('AC22517-2022-11-01-1456','A81-16','zpwAgBMRYBspoB', 'UB')
('AC22517-2022-11-02-1522','A85-10','ciYhnpAVSueWVTm', 'UB')
('AC04652-2022-11-01-1509','A84-15','vzVUZ', 'UB')
('SL22517-2022-11-01-1472','S62-8','iyjCNOam', 'SU')
('SL12058-2022-11-01-1453','S61-13','mfrKQBOFr', 'MB')
('AC22517-2022-11-02-1524','A85-12','mrNTw', 'SU')
('SL04652-2022-11-01-1499','S63-11','DDINOJVA', 'UB')
('AC12058-2022-11-01-1503','A84-9','CBbENDQKOOh', 'UB')
('AC22517-2022-11-01-1457','A81-17','ZBbLRxJEHsdXZp', 'SL')
('SL04652-2022-11-02-1470','S62-6','cxhE', 'UB')
('AC12058-2022-11-01-1506','A84-12','zZLoj', 'SU')
('AC12058-2022-11-01-1507','A84-13','c', 'LB')
('SL12058-2022-11-01-1461','S61-21','rmxYw', 'MB')
('AC04652-2022-11-01-1520','A85-8','qMtJW', 'LB')
('SL22517-2022-11-01-1485','S62-21','eVFEDeuG', 'MB')
('AC22517-2022-11-02-1534','A86-4','ihQyFgEx', 'UB')
('SL12058-2022-11-01-1467','S62-3','TqtAAnNSeKgVGs', 'UB')
('AC12058-2022-11-01-1519','A85-7','z', 'LB')
('SL22517-2022-11-01-1496','S63-8','y', 'SU')
('AC04652-2022-11-02-1526','A85-14','VZOr', 'LB')
('AC12058-2022-11-01-1581','A88-15','xzJWgEJWAtLK', 'UB')
('AC22517-2022-11-02-1598','A89-14','MLIFysQ', 'LB')
('SL04652-2022-11-01-1576','S66-16','wGTLStJTqQbQik', 'SU')
('AC22517-2022-11-01-1520','A85-8','Mtash', 'LB')
('SL22517-2022-11-01-1559','S65-23','ONamAeEUHgYRQjUM', 'SL')
('SL22517-2022-11-02-1611','S68-3','OHGpQvhuzBR', 'UB')
('SL04652-2022-11-01-1578','S66-18','NBqCy', 'MB')
('SL22517-2022-11-02-1612','S68-4','DnATZOQXXvevWNz', 'LB')
('SL12058-2022-11-01-1547','S65-11','YluWKzzawtAsIKh', 'UB')
('SL12058-2022-11-01-1548','S65-12','bnVIgUHTNhwIJJ', 'LB')
('SL12058-2022-11-01-1549','S65-13','QkcMLlZnaI', 'MB')
('SL22517-2022-11-02-1617','S68-9','LWuuJrSw', 'LB')
('SL22517-2022-11-01-1567','S66-7','HJYdiBvydGv', 'SL')
('AC22517-2022-11-02-1610','A90-8','dAvIZbOrR', 'LB')
('SL12058-2022-11-01-1565','S66-5','gvnqxng', 'MB')
('AC22517-2022-11-01-1539','A86-9','JhO', 'UB')
('SL22517-2022-11-01-1589','S67-5','UbYLbiBsynu', 'MB')
('AC22517-2022-11-02-1625','A91-5','usLzqIIxaQhvL', 'SL')
('SL04652-2022-11-02-1572','S66-12','MCYzdTrr', 'LB')
('SL04652-2022-11-01-1605','S67-21','G', 'MB')
('AC22517-2022-11-01-1548','A86-18','jeAhKKJ', 'SU')
('SL04652-2022-11-01-1609','S68-1','nYktjeUCxCGYmFn', 'LB')
('SL22517-2022-11-01-1596','S67-12','jAXy', 'LB')
('SL04652-2022-11-01-1613','S68-5','ISPDwRSvi', 'MB')
('SL12058-2022-11-01-1590','S67-6','TXxd', 'UB')
('AC04652-2022-11-01-1643','A92-5','jo', 'SL')
('SL12058-2022-11-01-1602','S67-18','uViqbYEIiVIOu', 'MB')
('AC04652-2022-11-02-1558','A87-10','vuIvkgy', 'UB')
('SL04652-2022-11-02-1582','S66-22','zRywsMlpZm', 'UB')
('AC22517-2022-11-01-1566','A87-18','LSZOJurE', 'SU')
('SL22517-2022-11-01-1618','S68-10','ZUjKnmkXSbdj', 'MB')
('SL04652-2022-11-02-1587','S67-3','xlgKmWuTSo', 'UB')
('SL22517-2022-11-02-1656','S69-24','mCxDSyZz', 'SU')
('AC04652-2022-11-02-1562','A87-14','FASx', 'LB')
('SL22517-2022-11-01-1619','S68-11','DyLXmjUV', 'UB')
('SL12058-2022-11-01-1615','S68-7','JccMDrCGn', 'SL')
('SL22517-2022-11-02-1660','S70-4','mubNttyPw', 'LB')
('AC22517-2022-11-01-1573','A88-7','zVDNemKEzIH', 'LB')
('SL04652-2022-11-02-1592','S67-8','EBEeBb', 'SU')
('SL12058-2022-11-01-1616','S68-8','Qky', 'SU')
('AC04652-2022-11-01-1659','A93-3','IFff', 'UB')
('AC22517-2022-11-01-1577','A88-11','yrSDf', 'SL')
('SL22517-2022-11-01-1625','S68-17','kxQGKzkIILFT', 'LB')
('SL04652-2022-11-02-1637','S69-5','ycvJSRGvZgiL', 'MB')
('SL22517-2022-11-01-1669','S70-13','itpLftaWBJPJVsNj', 'MB')
('AC04652-2022-11-02-1612','A90-10','rvCCLCmcBhegx', 'UB')
('SL22517-2022-11-02-1716','S72-12','wIoUEtGHw', 'LB')
('AC04652-2022-11-02-1616','A90-14','iKjEoKFiTmyxH', 'LB')
('AC04652-2022-11-01-1706','A95-14','HpAsghPiAb', 'LB')
('SL04652-2022-11-01-1672','S70-16','WlIphoBXZM', 'SU')
('AC12058-2022-11-01-1678','A94-4','xbBPYnrpMwgcEl', 'UB')
('SL04652-2022-11-01-1673','S70-17','gGwICJfjHKRkDfvI', 'LB')
('SL04652-2022-11-02-1656','S69-24','UsHTAr', 'SU')
('AC12058-2022-11-01-1686','A94-12','tsgSBwXVOJ', 'SU')
('AC04652-2022-11-01-1756','A98-10','AUaMFDgklwEtXu', 'UB')
('AC04652-2022-11-02-1650','A92-12','KFdA', 'SU')
('AC12058-2022-11-01-1708','A95-16','avGW', 'UB')
('AC22517-2022-11-01-1660','A93-4','KdWgmfMuS', 'UB')
('AC22517-2022-11-01-1661','A93-5','GDUV', 'SL')
('AC04652-2022-11-01-1760','A98-14','jXf', 'LB')
('SL12058-2022-11-01-1700','S71-20','oGOrylOfmv', 'LB')
('AC04652-2022-11-01-1768','A99-4','lYgdUa', 'UB')
('AC04652-2022-11-01-1773','A99-9','STs', 'UB')
('SL22517-2022-11-02-1757','S74-5','Xbgl', 'MB')
('AC04652-2022-11-02-1663','A93-7','vKPJjBtLJpiZJW', 'LB')
('AC22517-2022-11-01-1677','A94-3','LYYHqVu', 'UB')
('AC04652-2022-11-02-1665','A93-9','OGgsbWNMQnTCpHJ', 'UB')
('SL12058-2022-11-01-1711','S72-7','IodCHkWr', 'SL')
('AC22517-2022-11-02-1777','A99-13','igaSIis', 'LB')
('AC22517-2022-11-02-1778','A99-14','gZqwhtSr', 'LB')
('SL04652-2022-11-01-1728','S72-24','vMJqSywXUXMl', 'SU')
('AC04652-2022-11-01-1782','A99-18','rJWm', 'SU')
('AC22517-2022-11-01-1684','A94-10','Gm', 'UB')
('SL04652-2022-11-01-1731','S73-3','IlzrRVUkOtxyrl', 'UB')
('SL04652-2022-11-02-1718','S72-14','oWZNZWoW', 'UB')
('SL22517-2022-11-02-1777','S75-1','xqv', 'LB')
('SL22517-2022-11-01-1763','S74-11','wpYpCVFRoxANOAB', 'UB')
('AC12058-2022-11-01-1746','A97-18','lrKu', 'SU')
('SL12058-2022-11-01-1729','S73-1','l', 'LB')
('AC12058-2022-11-01-1748','A98-2','vmJrdAdm', 'LB')
('AC22517-2022-11-02-1795','A100-13','xKVMrV', 'LB')
('AC22517-2022-11-02-1801','A101-1','XyPSES', 'LB')
('AC04652-2022-11-02-1690','A94-16','dGo', 'UB')
('SL22517-2022-11-02-1785','S75-9','vyCkRWIyfKzYr', 'LB')
('AC04652-2022-11-01-1808','A101-8','vgyJcy', 'LB')
('SL12058-2022-11-01-1743','S73-15','WvDgFyLEhcss', 'SL')
('SL04652-2022-11-02-1741','S73-13','suppgncopnRhXTaK', 'MB')
('AC22517-2022-11-01-1709','A95-17','oHpGyBaXOotHYcl', 'SL')
('SL04652-2022-11-01-1758','S74-6','HeuaTCrmJbK', 'UB')
('AC22517-2022-11-01-1710','A95-18','MYy', 'SU')
('AC22517-2022-11-01-1712','A96-2','QfGSgkn', 'LB')
('SL12058-2022-11-01-1753','S74-1','BeZEpGvYmulIkXej', 'LB')
('AC04652-2022-11-02-1709','A95-17','j', 'SL')
('AC04652-2022-11-01-1826','A102-8','DSVupFYKUzz', 'LB')
('SL04652-2022-11-02-1749','S73-21','rthSel', 'MB')
('SL04652-2022-11-02-1750','S73-22','QsgKFjgfaIpw', 'UB')
('SL22517-2022-11-02-1807','S76-7','DzfLLXnKCnnqDZmd', 'SL')
('SL22517-2022-11-02-1843','S77-19','DPLq', 'UB')
('SL04652-2022-11-01-1806','S76-6','gkM', 'UB')
('AC22517-2022-11-02-1853','A103-17','bMBuiDNrXUKEr', 'SL')
('SL04652-2022-11-02-1795','S75-19','tMtWDhwNqOtpOiwU', 'UB')
('SL04652-2022-11-01-1809','S76-9','BowPuCcO', 'LB')
('AC12058-2022-11-01-1823','A102-5','oRhcbXPW', 'SL')
('SL04652-2022-11-01-1812','S76-12','n', 'LB')
('SL04652-2022-11-02-1798','S75-22','yBWhD', 'UB')
('AC12058-2022-11-01-1828','A102-10','lNAcoaOCohhvUtQJ', 'UB')
('SL04652-2022-11-02-1801','S76-1','BTgaKNJKzQ', 'LB')
('SL22517-2022-11-01-1849','S78-1','NxcqCAcmltH', 'LB')
('SL04652-2022-11-01-1816','S76-16','RfWC', 'SU')
('AC22517-2022-11-02-1864','A104-10','Yaeh', 'UB')
('SL04652-2022-11-02-1803','S76-3','ISbeQyc', 'UB')
('SL04652-2022-11-01-1819','S76-19','ShvwYprfBGkMugrz', 'UB')
('AC04652-2022-11-02-1766','A99-2','KnMJleTvZvIoEE', 'LB')
('AC22517-2022-11-01-1771','A99-7','S', 'LB')
('AC04652-2022-11-02-1768','A99-4','SgcyCpmjnYyeszb', 'UB')
('AC12058-2022-11-01-1841','A103-5','eSyjKAcC', 'SL')
('SL22517-2022-11-01-1861','S78-13','WCFUQ', 'MB')
('SL22517-2022-11-02-1857','S78-9','lkFAnsFxxDZ', 'LB')
('SL04652-2022-11-01-1826','S77-2','neyRPRNZDXYgbK', 'MB')
('SL12058-2022-11-01-1828','S77-4','lhTRwIZN', 'LB')
('SL04652-2022-11-02-1814','S76-14','wChMFdDEI', 'UB')
('AC04652-2022-11-01-1892','A106-2','RLtBVsDoCAzf', 'LB')
('AC12058-2022-11-01-1849','A103-13','JtSdQvx', 'LB')
('AC22517-2022-11-02-1877','A105-5','TUkReNBap', 'SL')
('SL04652-2022-11-01-1877','S79-5','SuJVUJi', 'MB')
('SL12058-2022-11-01-1851','S78-3','sXogAT', 'UB')
('SL12058-2022-11-01-1858','S78-10','oOAPLFSXZ', 'MB')
('AC22517-2022-11-01-1824','A102-6','NUqavgtZoLQrBkt', 'SU')
('AC04652-2022-11-01-1930','A108-4','cw', 'UB')
('AC22517-2022-11-01-1827','A102-9','qRixjQXLndGxR', 'UB')
('SL12058-2022-11-01-1862','S78-14','cxIwJxA', 'UB')
('AC12058-2022-11-01-1885','A105-13','iZGls', 'LB')
('SL22517-2022-11-01-1909','S80-13','zQi', 'MB')
('AC04652-2022-11-01-1933','A108-7','yVwbwItmTbpPCQ', 'LB')
('AC22517-2022-11-02-1922','A107-14','Ih', 'LB')
('AC22517-2022-11-02-1924','A107-16','kqDCeoiUMGNjfpbv', 'UB')
('AC22517-2022-11-02-1925','A107-17','OQooDYHFa', 'SL')
('SL22517-2022-11-01-1921','S81-1','IgE', 'LB')
('SL04652-2022-11-02-1867','S78-19','fJBNZzqUEGlx', 'UB')
('AC12058-2022-11-01-1899','A106-9','dcfTkNNFLHAAX', 'UB')
('SL04652-2022-11-01-1903','S80-7','yYUwivsUCeMuQk', 'SL')
('AC22517-2022-11-01-1838','A103-2','n', 'LB')
('AC04652-2022-11-02-1832','A102-14','sMCMatMCrbNT', 'LB')
('AC22517-2022-11-01-1839','A103-3','DpPywrxcM', 'UB')
('AC22517-2022-11-01-1840','A103-4','WbgKPktQZfpSpL', 'UB')
('AC04652-2022-11-01-1946','A109-2','vw', 'LB')
('AC12058-2022-11-01-1905','A106-15','cmGSKmjZPu', 'UB')
('SL04652-2022-11-01-1907','S80-11','o', 'UB')
('SL22517-2022-11-02-1929','S81-9','MWSleq', 'LB')
('SL22517-2022-11-02-1931','S81-11','USzngraizjPxVsmc', 'UB')
('SL12058-2022-11-01-1878','S79-6','ZdlZvrCzdJDscIUt', 'UB')
('SL04652-2022-11-01-1910','S80-14','H', 'UB')
('AC04652-2022-11-01-1954','A109-10','uBL', 'UB')
('AC22517-2022-11-01-1849','A103-13','YANYfWu', 'LB')
('AC22517-2022-11-02-1952','A109-8','blyFfGGUahUQ', 'LB')
('AC22517-2022-11-02-1953','A109-9','BkpyMIa', 'UB')
('AC22517-2022-11-02-1954','A109-10','ZXs', 'UB')
('AC22517-2022-11-02-1955','A109-11','hUyXKLmZX', 'SL')
('AC22517-2022-11-02-1956','A109-12','iuGQPps', 'SU')
('AC04652-2022-11-02-1853','A103-17','k', 'SL')
('SL04652-2022-11-01-1932','S81-12','GjkAfjlrgp', 'LB')
('SL22517-2022-11-02-1955','S82-11','QW', 'UB')
('AC22517-2022-11-02-1965','A110-3','wgdLJlRyCfH', 'UB')
('SL22517-2022-11-02-1957','S82-13','IKiQeRwVDyXWP', 'MB')
('SL22517-2022-11-02-2000','S84-8','BLQDQ', 'SU')
('AC04652-2022-11-01-2008','A112-10','K', 'UB')
('AC04652-2022-11-02-1907','A106-17','MjPqDLaWVA', 'SL')
('SL22517-2022-11-01-1992','S83-24','LAgokqjGS', 'SU')
('SL22517-2022-11-01-1993','S84-1','JocRlr', 'LB')
