('SL22517-2022-11-01-162','S7-18','NafyRpCpw', 'MB')
('AC22517-2022-11-01-789','A44-15','qaIdMfGZ', 'UB')
('AC04652-2022-11-01-808','A45-16','JKtbtIfhTOnZ', 'UB')
('SL22517-2022-11-02-810','S34-18','NzTjrB', 'MB')
('AC04652-2022-11-02-861','A48-15','FDLjpPKxMCVKhABO', 'UB')
('AC22517-2022-11-01-799','A45-7','BdltjW', 'LB')
('AC04652-2022-11-01-812','A46-2','T', 'LB')
('SL12058-2022-11-01-814','S34-22','GjUOGkXTmLBE', 'UB')
('AC04652-2022-11-01-813','A46-3','MTzx', 'UB')
('AC04652-2022-11-01-814','A46-4','DFtQBfl', 'UB')
('AC04652-2022-11-01-815','A46-5','rQFHPgCfAy', 'SL')
('AC04652-2022-11-01-816','A46-6','ExDkXLwsaswShKM', 'SU')
('AC04652-2022-11-02-864','A48-18','txAaNkg', 'SU')
('AC12058-2022-11-01-782','A44-8','bytSBRcWudI', 'LB')
('AC04652-2022-11-02-866','A49-2','XtWDRTMoX', 'LB')
('AC12058-2022-11-01-783','A44-9','HSXXTtFVRvu', 'UB')
('SL22517-2022-11-02-821','S35-5','oCUqiNmEDFq', 'MB')
('AC04652-2022-11-01-857','A48-11','iBHBKThVrFxjmY', 'SL')
('AC04652-2022-11-01-858','A48-12','GdznyrRNgLrwN', 'SU')
('AC12058-2022-11-01-851','A48-5','CGAkCeFiSVMIiFi', 'SL')
('SL22517-2022-11-01-893','S38-5','kKEgDiA', 'MB')
('SL12058-2022-11-01-874','S37-10','iuMlcyy', 'MB')
('AC12058-2022-11-01-853','A48-7','VIc', 'LB')
('SL12058-2022-11-01-875','S37-11','UrzT', 'UB')
('SL22517-2022-11-02-893','S38-5','ernlJSiDm', 'MB')
('SL22517-2022-11-01-895','S38-7','o', 'SL')
('AC04652-2022-11-02-934','A52-16','VxLF', 'UB')
('AC04652-2022-11-02-935','A52-17','miBdyEMmkngjTAsR', 'SL')
('SL04652-2022-11-01-879','S37-15','TeV', 'SL')
('AC04652-2022-11-01-892','A50-10','FC', 'UB')
('SL04652-2022-11-01-882','S37-18','gDIifSD', 'MB')
('SL22517-2022-11-01-900','S38-12','fN', 'LB')
('SL12058-2022-11-01-878','S37-14','vUGagvfxSb', 'UB')
('AC12058-2022-11-01-858','A48-12','Iybrwick', 'SU')
('AC22517-2022-11-01-875','A49-11','OSuIuCBvXxZXch', 'SL')
('SL22517-2022-11-01-908','S38-20','DvIdDHW', 'LB')
('SL04652-2022-11-01-889','S38-1','vKWGTdOTpDNRnAM', 'LB')
('AC12058-2022-11-01-878','A49-14','GZjvwLWCv', 'LB')
('SL22517-2022-11-01-933','S39-21','KlhTL', 'MB')
('SL04652-2022-11-01-911','S38-23','vwwragFPjAQLNV', 'SL')
('AC22517-2022-11-02-929','A52-11','nNsyvEDKemlAC', 'SL')
('SL22517-2022-11-01-939','S40-3','GIiUYkek', 'UB')
('SL04652-2022-11-02-914','S39-2','hy', 'MB')
('SL22517-2022-11-02-926','S39-14','vjwBZdIiJxAFDNKj', 'UB')
('SL04652-2022-11-01-917','S39-5','ihP', 'MB')
('AC22517-2022-11-01-913','A51-13','Bgjnaj', 'LB')
('SL12058-2022-11-01-902','S38-14','BoMtpCTEnRsyr', 'UB')
('AC22517-2022-11-02-934','A52-16','NQJDhdjXXseQfHR', 'UB')
('SL04652-2022-11-01-920','S39-8','JfahHESHQgtRItVw', 'SU')
('SL04652-2022-11-01-922','S39-10','GtwNVWCoMbXcCVOM', 'MB')
('AC22517-2022-11-02-938','A53-2','Al', 'LB')
('AC22517-2022-11-02-939','A53-3','aqqOUgJZowSN', 'UB')
('SL04652-2022-11-01-930','S39-18','yIdaVuUf', 'MB')
('SL12058-2022-11-01-919','S39-7','cRTIcjQeRcKD', 'SL')
('SL22517-2022-11-02-935','S39-23','NQfjtRXGPOLA', 'SL')
('AC04652-2022-11-01-939','A53-3','watEoSOqIIUHspTM', 'UB')
('SL22517-2022-11-02-936','S39-24','W', 'SU')
('SL12058-2022-11-01-925','S39-13','EaKkhgB', 'MB')
('SL04652-2022-11-01-934','S39-22','ohscSH', 'UB')
('SL04652-2022-11-01-935','S39-23','PuYXtv', 'SL')
('SL04652-2022-11-02-931','S39-19','axe', 'UB')
('SL04652-2022-11-02-941','S40-5','gEmZEscrq', 'MB')
('AC04652-2022-11-02-977','A55-5','CoHfiZREmHxJc', 'SL')
('AC22517-2022-11-02-962','A54-8','TSrNaNx', 'LB')
('SL22517-2022-11-02-951','S40-15','zRqynLKjK', 'SL')
('SL12058-2022-11-01-937','S40-1','YlpCJrcXXcPbdAU', 'LB')
('AC04652-2022-11-02-978','A55-6','wHeJnIGO', 'SU')
('SL12058-2022-11-01-940','S40-4','Ky', 'LB')
('SL22517-2022-11-01-973','S41-13','a', 'MB')
('AC22517-2022-11-02-965','A54-11','ErFJ', 'SL')
('AC22517-2022-11-02-966','A54-12','UfYHRyiyIx', 'SU')
('SL04652-2022-11-01-953','S40-17','FyuhKndLNaXm', 'LB')
('SL22517-2022-11-02-958','S40-22','pavT', 'UB')
('SL22517-2022-11-01-978','S41-18','UJw', 'MB')
('AC04652-2022-11-01-961','A54-7','QKCI', 'LB')
('AC22517-2022-11-01-946','A53-10','IpszecGVR', 'UB')
('AC22517-2022-11-02-970','A54-16','f', 'UB')
('AC04652-2022-11-01-964','A54-10','cXHbmC', 'UB')
('AC04652-2022-11-02-987','A55-15','cDLpXDzAVpyrtCt', 'UB')
('AC12058-2022-11-01-924','A52-6','XawIJCIiwnDYBdgW', 'SU')
('AC04652-2022-11-01-965','A54-11','ccWXoXxqXA', 'SL')
('SL22517-2022-11-02-964','S41-4','WRZDZuFmQHrz', 'LB')
('AC04652-2022-11-01-1033','A58-7','YFWrKOddDAF', 'LB')
('SL04652-2022-11-02-1017','S43-9','AMrIvGWcXxrjuqxi', 'LB')
('AC12058-2022-11-01-991','A56-1','DNfdEnPlpLKYiWZX', 'LB')
('SL22517-2022-11-02-1032','S43-24','ExcrlccRgGKtm', 'SU')
('SL22517-2022-11-01-1048','S44-16','fjScojTq', 'SU')
('AC12058-2022-11-01-994','A56-4','QlUXYzLOCVLGYv', 'UB')
('SL12058-2022-11-01-1014','S43-6','K', 'UB')
('AC04652-2022-11-02-1062','A59-18','bkwEZyidY', 'SU')
('SL12058-2022-11-01-1015','S43-7','wtjnPVsJlXgnmS', 'SL')
('SL22517-2022-11-02-1037','S44-5','AChykHRiTBqwcdFk', 'MB')
('AC12058-2022-11-01-1000','A56-10','qLFTqucYuoCp', 'UB')
('AC22517-2022-11-01-1002','A56-12','jXJzqHyqKCIsR', 'SU')
('AC22517-2022-11-01-1003','A56-13','kaInji', 'LB')
('SL12058-2022-11-01-1026','S43-18','CSJtswCRv', 'MB')
('SL12058-2022-11-01-1029','S43-21','LPZNpY', 'MB')
('AC12058-2022-11-01-1008','A56-18','WgFxhVl', 'SU')
('AC22517-2022-11-02-1066','A60-4','fW', 'UB')
('AC22517-2022-11-02-1067','A60-5','pkaiXHHH', 'SL')
('SL22517-2022-11-02-1045','S44-13','xnuwlSOcHpVmWJjg', 'MB')
('AC12058-2022-11-01-1013','A57-5','dwLnWS', 'SL')
('SL04652-2022-11-02-1037','S44-5','ANiXI', 'MB')
