('SL22517-2022-11-02-178','S8-10','UnXnBY', 'MB')
('SL12058-2022-11-01-1235','S52-11','NuUzTLgU', 'UB')
('SL22517-2022-11-02-1258','S53-10','nzP', 'MB')
('AC22517-2022-11-01-1231','A69-7','mKvurcBUFpdfCuo', 'LB')
('AC04652-2022-11-02-1301','A73-5','FsRbhKCFAo', 'SL')
('SL22517-2022-11-01-1284','S54-12','xvmsBPLkkmk', 'LB')
('AC22517-2022-11-02-1269','A71-9','cxntMInbdhGKEY', 'UB')
('AC04652-2022-11-01-1268','A71-8','tzRPWLLE', 'LB')
('AC04652-2022-11-02-1305','A73-9','bHwalSgjm', 'UB')
('AC04652-2022-11-02-1306','A73-10','iEQJHKas', 'UB')
('AC12058-2022-11-01-1227','A69-3','kdVpXVWcZh', 'UB')
('AC04652-2022-11-02-1307','A73-11','szQBNxzHj', 'SL')
('SL04652-2022-11-02-1264','S53-16','Rfo', 'SU')
('AC12058-2022-11-01-1231','A69-7','XGFNgIu', 'LB')
('SL22517-2022-11-02-1267','S53-19','EGHi', 'UB')
('SL22517-2022-11-01-1293','S54-21','sSmMZrcwSNmIT', 'MB')
('AC04652-2022-11-01-1281','A72-3','zy', 'UB')
('AC04652-2022-11-01-1282','A72-4','QKJvYRvvYXWRPEhm', 'UB')
('AC22517-2022-11-01-1249','A70-7','YrFqDQUJGY', 'LB')
('AC22517-2022-11-02-1284','A72-6','ZxVp', 'SU')
('SL22517-2022-11-02-1281','S54-9','FYxDaKHoYS', 'LB')
('SL04652-2022-11-01-1283','S54-11','ZMapbDECXJacc', 'UB')
('SL04652-2022-11-02-1286','S54-14','THTTKYmByiVhc', 'UB')
('SL04652-2022-11-02-1287','S54-15','IGufr', 'SL')
('AC04652-2022-11-01-1305','A73-9','ReuC', 'UB')
('AC04652-2022-11-01-1307','A73-11','EPEJfPxL', 'SL')
('SL22517-2022-11-01-1313','S55-17','fChsK', 'LB')
('AC22517-2022-11-02-1291','A72-13','Rb', 'LB')
('SL22517-2022-11-02-1287','S54-15','truQZO', 'SL')
('SL04652-2022-11-02-1295','S54-23','dXWhKXS', 'SL')
('AC22517-2022-11-01-1276','A71-16','u', 'UB')
('SL04652-2022-11-02-1302','S55-6','Os', 'UB')
('AC22517-2022-11-02-1297','A73-1','JhJopcWlovj', 'LB')
('SL04652-2022-11-01-1301','S55-5','ykKAEVY', 'MB')
('AC04652-2022-11-02-1340','A75-8','EpABek', 'LB')
('SL04652-2022-11-02-1306','S55-10','flbyXvrGekUXsFGi', 'MB')
('AC12058-2022-11-01-1268','A71-8','hqedEHNW', 'LB')
('AC04652-2022-11-01-1326','A74-12','RIGSoaeRNLc', 'SU')
('AC04652-2022-11-01-1327','A74-13','CuTzFffifHDdBuBY', 'LB')
('SL04652-2022-11-02-1314','S55-18','ZapxzHmPdvFx', 'MB')
('AC12058-2022-11-01-1283','A72-5','eNFkAleyPjtBIber', 'SL')
('SL12058-2022-11-01-1285','S54-13','V', 'MB')
('AC22517-2022-11-01-1303','A73-7','FJxKKiDBhYmAY', 'LB')
('SL22517-2022-11-01-1340','S56-20','R', 'LB')
('SL22517-2022-11-02-1312','S55-16','QEYJEQdyFqo', 'SU')
('SL04652-2022-11-02-1349','S57-5','HIyKVqNEvdxOs', 'MB')
('AC22517-2022-11-02-1334','A75-2','viuUjvqgS', 'LB')
('SL22517-2022-11-01-1359','S57-15','sBohZTO', 'SL')
('SL22517-2022-11-02-1337','S56-17','cRRXTywhKrwp', 'LB')
('SL04652-2022-11-02-1351','S57-7','gay', 'SL')
('AC12058-2022-11-01-1319','A74-5','EAk', 'SL')
('SL22517-2022-11-02-1338','S56-18','vXrIVsaeIXUGci', 'MB')
('SL22517-2022-11-02-1339','S56-19','beorVPWpdaJr', 'UB')
('SL12058-2022-11-01-1337','S56-17','CznnuP', 'LB')
('SL04652-2022-11-01-1375','S58-7','YE', 'SL')
('SL04652-2022-11-01-1376','S58-8','rjp', 'SU')
('AC22517-2022-11-02-1374','A77-6','unHsCk', 'SU')
('AC22517-2022-11-01-1371','A77-3','cLI', 'UB')
('AC04652-2022-11-02-1418','A79-14','oFGre', 'LB')
('SL12058-2022-11-01-1341','S56-21','KullOf', 'MB')
('AC12058-2022-11-01-1373','A77-5','ymuBf', 'SL')
('AC04652-2022-11-02-1421','A79-17','hGWNlZLlYnnQDb', 'SL')
('SL22517-2022-11-02-1381','S58-13','LwWPv', 'MB')
('AC12058-2022-11-01-1388','A78-2','RmGHVlxSQCNv', 'LB')
('SL12058-2022-11-01-1375','S58-7','RfSpXGzekU', 'SL')
('SL04652-2022-11-01-1436','S60-20','aYbT', 'LB')
('AC04652-2022-11-01-1478','A83-2','A', 'LB')
('SL22517-2022-11-01-1468','S62-4','XWxIyBzJbWs', 'LB')
('SL12058-2022-11-01-1406','S59-14','WZmDYbPX', 'UB')
('SL22517-2022-11-01-1470','S62-6','vwZxYMKCEffJuu', 'UB')
('SL04652-2022-11-01-1440','S60-24','UzTExvzXqZ', 'SU')
('AC04652-2022-11-01-1480','A83-4','hdbTLCndPn', 'UB')
('SL04652-2022-11-02-1462','S61-22','BUTr', 'UB')
('SL22517-2022-11-01-1474','S62-10','ydBG', 'MB')
('AC12058-2022-11-01-1437','A80-15','CMcxmyQ', 'UB')
('AC22517-2022-11-02-1458','A81-18','rCzcJaDWTcMgWp', 'SU')
('SL22517-2022-11-02-1444','S61-4','tBClsWPqgyRlRGk', 'LB')
('SL04652-2022-11-01-1445','S61-5','uTHu', 'MB')
('AC12058-2022-11-01-1441','A81-1','fLGQPQBMKIESgVBs', 'LB')
('AC04652-2022-11-01-1511','A84-17','bCEbWOFvSTek', 'SL')
('SL22517-2022-11-01-1502','S63-14','UAPN', 'UB')
('SL04652-2022-11-02-1496','S63-8','foXxplheLlrGC', 'SU')
('SL22517-2022-11-02-1542','S65-6','gp', 'UB')
('AC22517-2022-11-02-1545','A86-15','f', 'UB')
('SL04652-2022-11-01-1540','S65-4','SaFBI', 'LB')
('SL22517-2022-11-01-1560','S65-24','qDiRFJxpCwLkQDaT', 'SU')
('SL04652-2022-11-02-1543','S65-7','QSyBOfuFSYigOTaM', 'SL')
('AC04652-2022-11-02-1568','A88-2','AhZUHCQK', 'LB')
('AC22517-2022-11-02-1547','A86-17','hRGjbSZso', 'SL')
('SL22517-2022-11-01-1564','S66-4','TP', 'LB')
('SL22517-2022-11-01-1565','S66-5','ZZ', 'MB')
('SL04652-2022-11-01-1546','S65-10','mQOr', 'MB')
('SL22517-2022-11-02-1547','S65-11','uwaH', 'UB')
('AC04652-2022-11-01-1579','A88-13','Xt', 'LB')
('SL04652-2022-11-02-1548','S65-12','kUYtLzsJfRFUDbf', 'LB')
('AC22517-2022-11-02-1555','A87-7','iOlmVOtyXyYmywE', 'LB')
('AC04652-2022-11-02-1575','A88-9','SA', 'UB')
('AC04652-2022-11-01-1589','A89-5','qrs', 'SL')
('SL12058-2022-11-01-1527','S64-15','lUJSwqkXtHJGKmwT', 'SL')
('AC22517-2022-11-01-1557','A87-9','zLL', 'UB')
('AC22517-2022-11-01-1561','A87-13','xEepeXHcsZDr', 'LB')
('AC22517-2022-11-02-1562','A87-14','KbjUydonPt', 'LB')
('SL04652-2022-11-01-1554','S65-18','CTFMViiaQlZXiQ', 'MB')
('SL04652-2022-11-02-1559','S65-23','Vec', 'SL')
('SL22517-2022-11-01-1575','S66-15','ipUJIBmzwSJAo', 'SL')
('AC04652-2022-11-02-1586','A89-2','VdMgVVTUCJrTImw', 'LB')
('AC22517-2022-11-02-1567','A88-1','EP', 'LB')
('AC12058-2022-11-01-1547','A86-17','sDyZmD', 'SL')
('SL22517-2022-11-02-1562','S66-2','nceUALmyy', 'MB')
('AC22517-2022-11-02-1571','A88-5','rIprxqdEHe', 'SL')
('AC22517-2022-11-02-1572','A88-6','wIpoBi', 'SU')
('AC04652-2022-11-01-1601','A89-17','JVntqEoqN', 'SL')
('SL04652-2022-11-02-1573','S66-13','ZqZTkMiZnMZcQjYA', 'MB')
('SL22517-2022-11-02-1569','S66-9','bcLGMCtaucNkxv', 'LB')
('SL22517-2022-11-01-1590','S67-6','rGnxexqYbnCMbdXI', 'UB')
('SL04652-2022-11-02-1574','S66-14','kcA', 'UB')
('SL22517-2022-11-02-1571','S66-11','fhzyKB', 'UB')
('AC22517-2022-11-01-1590','A89-6','o', 'SU')
('AC12058-2022-11-01-1567','A88-1','MSvBTFvO', 'LB')
('SL22517-2022-11-02-1577','S66-17','Sih', 'LB')
('AC22517-2022-11-02-1594','A89-10','VvG', 'UB')
('AC04652-2022-11-01-1664','A93-8','CAvvYhokeXdZQd', 'LB')
('SL22517-2022-11-01-1644','S69-12','XVmqHgcfPpkgss', 'LB')
('SL04652-2022-11-02-1626','S68-18','nRSyLkNmNdKsKOv', 'MB')
('AC22517-2022-11-01-1640','A92-2','jDV', 'LB')
('AC04652-2022-11-02-1650','A92-12','ncDArKMhWPhO', 'SU')
('SL04652-2022-11-02-1632','S68-24','em', 'SU')
('AC22517-2022-11-01-1653','A92-15','UBUYfG', 'UB')
('AC04652-2022-11-01-1682','A94-8','qQGTFYAEiJe', 'LB')
('AC22517-2022-11-02-1639','A92-1','ORwYIvsbxz', 'LB')
('SL12058-2022-11-01-1604','S67-20','QJjHVLgPEHHcj', 'LB')
('SL04652-2022-11-01-1646','S69-14','RELcKzhjTFcLBYxv', 'UB')
('AC22517-2022-11-02-1643','A92-5','rLdnfTabnOkbj', 'SL')
('SL12058-2022-11-01-1611','S68-3','mWm', 'UB')
('AC22517-2022-11-02-1645','A92-7','LyJfJUlhS', 'LB')
('SL22517-2022-11-01-1659','S70-3','OhMyzO', 'UB')
('SL04652-2022-11-02-1651','S69-19','GaMBYET', 'UB')
('SL22517-2022-11-02-1637','S69-5','ENIGSfDHLaADqrMU', 'MB')
('AC22517-2022-11-01-1666','A93-10','OGMRI', 'UB')
('SL22517-2022-11-02-1638','S69-6','EqXik', 'UB')
('AC12058-2022-11-01-1636','A91-16','CFFxGzuAvy', 'UB')
('SL22517-2022-11-01-1662','S70-6','be', 'UB')
('AC04652-2022-11-02-1676','A94-2','czSXYm', 'LB')
('AC22517-2022-11-01-1677','A94-3','NOAlMojwogIsc', 'UB')
('AC12058-2022-11-01-1642','A92-4','eBqxjpVBJmRk', 'UB')
('SL04652-2022-11-02-1660','S70-4','kFjisFd', 'LB')
('SL22517-2022-11-02-1649','S69-17','MiViEnCgNF', 'LB')
('SL22517-2022-11-01-1670','S70-14','EysqkKMxNkkcu', 'UB')
('AC22517-2022-11-01-1683','A94-9','AKbDSGwf', 'UB')
('SL12058-2022-11-01-1628','S68-20','HerWYYsehkrtj', 'LB')
('AC12058-2022-11-01-1646','A92-8','SyADGGWfeSBzT', 'LB')
('SL12058-2022-11-01-1633','S69-1','GQmOYWz', 'LB')
('SL04652-2022-11-02-1668','S70-12','gG', 'LB')
('AC22517-2022-11-01-1695','A95-3','VmYnd', 'UB')
('AC04652-2022-11-01-1723','A96-13','intAtGQk', 'LB')
('AC22517-2022-11-01-1806','A101-6','tW', 'SU')
('AC12058-2022-11-01-1748','A98-2','tHKtgduTZA', 'LB')
('AC04652-2022-11-02-1792','A100-10','Coblpw', 'UB')
('AC04652-2022-11-02-1799','A100-17','GNCCGjnp', 'SL')
('AC22517-2022-11-01-1818','A101-18','plA', 'SU')
('SL22517-2022-11-02-1764','S74-12','wtXTGyJbsYjveRRP', 'LB')
('SL22517-2022-11-02-1765','S74-13','MEfUPJt', 'MB')
('SL22517-2022-11-02-1768','S74-16','tqxkB', 'SU')
('AC22517-2022-11-02-1777','A99-13','BD', 'LB')
('AC04652-2022-11-01-1847','A103-11','fZgOdvdUskIpu', 'SL')
('AC22517-2022-11-01-1828','A102-10','pZrQlLVgZ', 'UB')
('AC22517-2022-11-01-1829','A102-11','IUrE', 'SL')
('SL04652-2022-11-01-1795','S75-19','wbY', 'UB')
('AC04652-2022-11-01-1858','A104-4','qjxLHOz', 'UB')
('AC04652-2022-11-01-1859','A104-5','lgdRaY', 'SL')
('SL22517-2022-11-01-1807','S76-7','YURfJ', 'SL')
('AC04652-2022-11-02-1817','A101-17','MZSot', 'SL')
('AC22517-2022-11-02-1788','A100-6','lTfKxqUU', 'SU')
('SL22517-2022-11-01-1812','S76-12','wvjlYS', 'LB')
('AC12058-2022-11-01-1782','A99-18','pyHHaBYEyWupnXFq', 'SU')
('AC04652-2022-11-01-1867','A104-13','PZRAP', 'LB')
('SL12058-2022-11-01-1766','S74-14','rJaaZhRERXO', 'UB')
('SL04652-2022-11-01-1802','S76-2','QDSmVOczxald', 'MB')
('SL22517-2022-11-01-1816','S76-16','fNjMn', 'SU')
('SL04652-2022-11-01-1803','S76-3','xbfO', 'UB')
('SL12058-2022-11-01-1771','S74-19','q', 'UB')
('AC04652-2022-11-01-1869','A104-15','myKtqSamKoZyyINr', 'UB')
('AC04652-2022-11-02-1826','A102-8','XaNgjzhjnw', 'LB')
('SL04652-2022-11-02-1809','S76-9','eX', 'LB')
('SL22517-2022-11-01-1825','S77-1','w', 'LB')
('AC04652-2022-11-01-1875','A105-3','xFVoIgdPXw', 'UB')
('AC12058-2022-11-01-1794','A100-12','h', 'SU')
('AC12058-2022-11-01-1800','A100-18','kJMcWJHoQqBlrx', 'SU')
('SL04652-2022-11-02-1817','S76-17','RnfUjxZ', 'LB')
('SL04652-2022-11-02-1819','S76-19','cBFdtHPtLcgrbR', 'UB')
('AC04652-2022-11-02-1837','A103-1','yJSYrsqCYpXhOZp', 'LB')
('AC04652-2022-11-02-1838','A103-2','iVjpkmyi', 'LB')
('SL04652-2022-11-02-1821','S76-21','zytXNk', 'MB')
('AC12058-2022-11-01-1804','A101-4','okT', 'UB')
('SL04652-2022-11-02-1823','S76-23','aOB', 'SL')
('SL22517-2022-11-01-1846','S77-22','zwUDLaAleOCaNtWl', 'UB')
('AC04652-2022-11-02-1846','A103-10','KYmLvnoBwQPHc', 'UB')
('SL22517-2022-11-02-1820','S76-20','XWyIeoZO', 'LB')
('AC22517-2022-11-02-1822','A102-4','sJBBTp', 'UB')
('SL04652-2022-11-02-1839','S77-15','OetSOHQRPOeUKuoH', 'SL')
('SL22517-2022-11-02-1822','S76-22','QrtPEqIC', 'UB')
('SL04652-2022-11-01-1832','S77-8','glYrgeQWpjI', 'SU')
('AC04652-2022-11-01-1901','A106-11','Wu', 'SL')
('SL04652-2022-11-01-1833','S77-9','EpRl', 'LB')
('SL22517-2022-11-02-1827','S77-3','hgm', 'UB')
('SL12058-2022-11-01-1809','S76-9','DgvBCFfeq', 'LB')
('SL22517-2022-11-01-1847','S77-23','JPCJrGdNh', 'SL')
('SL04652-2022-11-01-1835','S77-11','NZuWNhksb', 'UB')
('SL04652-2022-11-01-1836','S77-12','AMMIDEHnIF', 'LB')
('SL22517-2022-11-01-1867','S78-19','JOYkBuMF', 'UB')
('AC12058-2022-11-01-1839','A103-3','LoG', 'UB')
('AC22517-2022-11-02-1840','A103-4','oxXGliN', 'UB')
('AC04652-2022-11-02-1859','A104-5','hekMot', 'SL')
('SL04652-2022-11-01-1848','S77-24','XWAeFNtK', 'SU')
('SL22517-2022-11-02-1848','S77-24','yT', 'SU')
('AC22517-2022-11-01-1892','A106-2','qecHkc', 'LB')
('AC12058-2022-11-01-1844','A103-8','dqoHmE', 'LB')
('SL04652-2022-11-02-1863','S78-15','Ox', 'SL')
('SL04652-2022-11-01-1852','S78-4','SLVamORGprRGJZ', 'LB')
('AC04652-2022-11-01-1932','A108-6','ChXPQFkcLN', 'SU')
('AC04652-2022-11-02-1867','A104-13','F', 'LB')
('AC22517-2022-11-02-1850','A103-14','OXXMUCXXD', 'LB')
('SL04652-2022-11-02-1870','S78-22','tPsbdAMDEEnqL', 'UB')
('AC12058-2022-11-01-1851','A103-15','CDaIg', 'UB')
('AC04652-2022-11-02-1870','A104-16','JPquBAJmcG', 'UB')
('SL22517-2022-11-01-1885','S79-13','kgNrGQ', 'MB')
('SL04652-2022-11-01-1859','S78-11','W', 'UB')
('SL22517-2022-11-01-1888','S79-16','VncDhTk', 'SU')
('SL22517-2022-11-01-1891','S79-19','GNPaCITsCRudMZkV', 'UB')
('AC22517-2022-11-02-1859','A104-5','qApZrWq', 'SL')
('SL22517-2022-11-02-1859','S78-11','iUyHqWkpdWkj', 'UB')
('AC22517-2022-11-01-1916','A107-8','glaLuYwwyWFOF', 'LB')
('AC04652-2022-11-01-1950','A109-6','MaPjuYikQNFaXmc', 'SU')
('SL12058-2022-11-01-1856','S78-8','cxdYlSlzIKoIvO', 'SU')
('SL22517-2022-11-01-1902','S80-6','OVolFt', 'UB')
('SL22517-2022-11-01-1903','S80-7','MGS', 'SL')
('SL12058-2022-11-01-1858','S78-10','n', 'MB')
('SL04652-2022-11-01-1871','S78-23','cY', 'SL')
('SL04652-2022-11-01-1872','S78-24','hiSh', 'SU')
('SL04652-2022-11-02-1895','S79-23','POsbYKwJzOvpojFm', 'SL')
('AC22517-2022-11-01-1925','A107-17','FIV', 'SL')
('AC04652-2022-11-01-1958','A109-14','ZaSFvcywFKSutxlr', 'LB')
('SL22517-2022-11-02-1870','S78-22','vIJmhyejO', 'UB')
('SL12058-2022-11-01-1866','S78-18','MbZJ', 'MB')
('SL12058-2022-11-01-1867','S78-19','hGTEfObDdA', 'UB')
('AC04652-2022-11-01-1960','A109-16','twWUgZIFTj', 'UB')
('SL22517-2022-11-02-1873','S79-1','r', 'LB')
('AC22517-2022-11-01-1932','A108-6','Xrm', 'SU')
('SL12058-2022-11-01-1872','S78-24','VHgjRYkbhxxuun', 'SU')
('SL22517-2022-11-01-1964','S82-20','kHxflyIpoJKlUCdy', 'LB')
('SL22517-2022-11-02-1934','S81-14','Zo', 'UB')
('SL12058-2022-11-01-1918','S80-22','wDlpwMqbtEqzQ', 'UB')
('AC04652-2022-11-01-2025','A113-9','vlZ', 'UB')
('AC04652-2022-11-01-2027','A113-11','l', 'SL')
('SL22517-2022-11-02-1939','S81-19','fJkwKJpAa', 'UB')
('AC22517-2022-11-02-1936','A108-10','fwgLfMeqWthp', 'UB')
('SL04652-2022-11-01-1944','S81-24','sHPmCp', 'SU')
('AC22517-2022-11-01-1993','A111-13','uovuxMzHtkgMfs', 'LB')
('AC04652-2022-11-02-1960','A109-16','GSdlC', 'UB')
('SL04652-2022-11-01-1951','S82-7','ReLxaVCsCet', 'SL')
('AC12058-2022-11-01-1934','A108-8','fPuNDmrMuAcZgJj', 'LB')
('AC22517-2022-11-02-1944','A108-18','THcbLuxfIPJlG', 'SU')
('AC12058-2022-11-01-1936','A108-10','xuh', 'UB')
('SL22517-2022-11-01-1981','S83-13','xGDTfmUJ', 'MB')
('AC22517-2022-11-01-2000','A112-2','jqshTgt', 'LB')
('AC04652-2022-11-02-1968','A110-6','EEkwdsFDdiJRH', 'SU')
('AC04652-2022-11-01-2043','A114-9','ctnDqhmK', 'UB')
('AC22517-2022-11-01-2004','A112-6','MHxDmFOGzuEz', 'SU')
('SL04652-2022-11-01-1962','S82-18','uAIvFyji', 'MB')
('SL04652-2022-11-01-1963','S82-19','aeemrGVUMDlaFWG', 'UB')
('SL22517-2022-11-01-1988','S83-20','HnkKG', 'LB')
('AC12058-2022-11-01-1947','A109-3','NpM', 'UB')
('AC12058-2022-11-01-1948','A109-4','zulfYIB', 'UB')
('SL04652-2022-11-02-2010','S84-18','rFeyPi', 'MB')
('AC04652-2022-11-01-2083','A116-13','GKgt', 'LB')
('AC04652-2022-11-01-2084','A116-14','dqDHIorNYRG', 'LB')
('AC22517-2022-11-01-2046','A114-12','KsLzAwrzcVlGBCha', 'SU')
('AC04652-2022-11-02-2003','A112-5','SunhWhLTufLqooyf', 'SL')
('AC22517-2022-11-01-2051','A114-17','IBuikIDGPL', 'SL')
('SL12058-2022-11-01-1994','S84-2','PsELhWUKuREcYlK', 'MB')
('AC22517-2022-11-02-2001','A112-3','IMFi', 'UB')
('AC12058-2022-11-01-2010','A112-12','qp', 'SU')
('AC12058-2022-11-01-2012','A112-14','br', 'LB')
('SL22517-2022-11-02-2004','S84-12','GxTanZquGTPJOt', 'LB')
('SL12058-2022-11-01-2004','S84-12','fUfdoRvllNdU', 'LB')
('SL04652-2022-11-01-2010','S84-18','rAHAroXSxVwuab', 'MB')
('SL12058-2022-11-01-2006','S84-14','ZMLUetVqS', 'UB')
('AC04652-2022-11-01-2105','A117-17','eTXJp', 'SL')
('SL22517-2022-11-02-2008','S84-16','DLMP', 'SU')
('SL04652-2022-11-02-2061','S86-21','f', 'MB')
('AC04652-2022-11-01-2127','A119-3','noruzHuCwwYNwABh', 'UB')
('AC12058-2022-11-01-2045','A114-11','nT', 'SL')
('SL22517-2022-11-02-2047','S86-7','XlHCsMFbsB', 'SL')
('AC12058-2022-11-01-2050','A114-16','MeWEagvZrQb', 'UB')
('AC12058-2022-11-01-2052','A114-18','WqoifBg', 'SU')
('AC12058-2022-11-01-2054','A115-2','jgeSsmEMY', 'LB')
('SL04652-2022-11-02-2079','S87-15','pXRqFGtOTGFg', 'SL')
('AC22517-2022-11-01-2133','A119-9','eNHzshMuIN', 'UB')
('AC12058-2022-11-01-2089','A117-1','xlh', 'LB')
('AC04652-2022-11-01-2237','A125-5','fBfWShi', 'SL')
('SL12058-2022-11-01-2141','S90-5','gzcW', 'MB')
('AC22517-2022-11-02-2180','A122-2','HVRiUdrKggNGUEa', 'LB')
('SL22517-2022-11-02-2179','S91-19','FIeBODWjK', 'UB')
('AC04652-2022-11-02-2215','A124-1','NOxpJm', 'LB')
('SL04652-2022-11-02-2232','S93-24','C', 'SU')
('AC12058-2022-11-01-2194','A122-16','dbVbmb', 'UB')
('AC04652-2022-11-01-2313','A129-9','x', 'UB')
('AC12058-2022-11-01-2195','A122-17','KQsZptVGoOSm', 'SL')
('SL22517-2022-11-01-2221','S93-13','oJmvaNxAkYvRTNN', 'MB')
('SL04652-2022-11-01-2194','S92-10','oOcYjXEhHQvHCPkH', 'MB')
('SL22517-2022-11-01-2224','S93-16','dVfOQBIWu', 'SU')
('SL22517-2022-11-02-2212','S93-4','KwsZtqObmQVwCHG', 'LB')
('SL04652-2022-11-01-2195','S92-11','vZupowMlUbmSfIg', 'UB')
('SL04652-2022-11-02-2240','S94-8','XrRrVZUDWml', 'SU')
('SL22517-2022-11-01-2229','S93-21','dzphbhQrXVAD', 'MB')
('SL22517-2022-11-01-2230','S93-22','iowAmtL', 'UB')
('SL04652-2022-11-02-2242','S94-10','FwAZPrb', 'MB')
('SL22517-2022-11-01-2236','S94-4','wFXjRrLVYsxSRWD', 'LB')
('AC22517-2022-11-02-2230','A124-16','fKeelvnaDf', 'UB')
('SL12058-2022-11-01-2188','S92-4','qAjjLYdpDNnWhB', 'LB')
('SL12058-2022-11-01-2189','S92-5','TUaOrIocajAhr', 'MB')
('AC04652-2022-11-01-2332','A130-10','krDfeHvltgNY', 'UB')
('SL12058-2022-11-01-2196','S92-12','dxykq', 'LB')
('AC12058-2022-11-01-2214','A123-18','jbWhBJYORAFq', 'SU')
('AC04652-2022-11-01-2335','A130-13','POKJCIc', 'LB')
('AC22517-2022-11-01-2283','A127-15','GnYOKH', 'UB')
('SL22517-2022-11-02-2228','S93-20','eljTuoivuqbD', 'LB')
('AC04652-2022-11-01-2339','A130-17','aTvrhNeLOrPd', 'SL')
('AC12058-2022-11-01-2217','A124-3','ure', 'UB')
('SL12058-2022-11-01-2204','S92-20','ytZfcaRu', 'LB')
('AC22517-2022-11-01-2290','A128-4','GHyv', 'UB')
('SL12058-2022-11-01-2207','S92-23','cUxXIkNrlmCSxEmm', 'SL')
('SL12058-2022-11-01-2235','S94-3','eQQbdF', 'UB')
('AC22517-2022-11-02-2271','A127-3','MaSeBIzdOpBVA', 'UB')
('AC04652-2022-11-01-2408','A134-14','CFiNymIRXHvKB', 'LB')
('AC04652-2022-11-01-2409','A134-15','LYgKbSIeCFPNa', 'UB')
('SL22517-2022-11-01-2303','S96-23','CEJVJGsDMl', 'SL')
('SL22517-2022-11-01-2306','S97-2','MrEsazqz', 'MB')
('SL04652-2022-11-01-2268','S95-12','AAziMOoeOOeTfvu', 'LB')
('SL04652-2022-11-01-2269','S95-13','TESOL', 'MB')
('SL22517-2022-11-02-2298','S96-18','Ut', 'MB')
('SL22517-2022-11-02-2299','S96-19','RiglEu', 'UB')
('SL22517-2022-11-01-2318','S97-14','iCATTJKxfKDzzvnp', 'UB')
('SL04652-2022-11-01-2281','S96-1','htHwa', 'LB')
('SL22517-2022-11-02-2309','S97-5','Dc', 'MB')
('AC12058-2022-11-01-2302','A128-16','ZXCDfrXuuplBzvY', 'UB')
('SL22517-2022-11-02-2311','S97-7','kOnqMd', 'SL')
('AC12058-2022-11-01-2310','A129-6','OWInO', 'SU')
('AC12058-2022-11-01-2311','A129-7','Qlp', 'LB')
('SL04652-2022-11-02-2332','S98-4','KfahX', 'LB')
('SL04652-2022-11-02-2333','S98-5','xnRdTvnDbrqvnXdw', 'MB')
('SL22517-2022-11-01-2335','S98-7','jfRp', 'SL')
('AC22517-2022-11-02-2324','A130-2','qhTEnSUN', 'LB')
('SL04652-2022-11-02-2341','S98-13','OEzFMlYlsC', 'MB')
('AC22517-2022-11-01-2387','A133-11','qqFlcZLJ', 'SL')
('AC04652-2022-11-01-2446','A136-16','ZbPz', 'UB')
('SL12058-2022-11-01-2291','S96-11','fEsDBwM', 'UB')
('SL22517-2022-11-01-2345','S98-17','khgQPs', 'LB')
('SL04652-2022-11-02-2344','S98-16','kaahGYAzQPI', 'SU')
('SL04652-2022-11-02-2345','S98-17','pZoupSxJXYCvPcG', 'LB')
('AC12058-2022-11-01-2325','A130-3','qLSrajkaqURPMEw', 'UB')
('SL12058-2022-11-01-2294','S96-14','EQBkM', 'UB')
('AC22517-2022-11-02-2329','A130-7','bMkqkQJkxIz', 'LB')
('AC22517-2022-11-02-2330','A130-8','yFNQ', 'LB')
('SL22517-2022-11-02-2332','S98-4','bkwJVB', 'LB')
('AC22517-2022-11-02-2331','A130-9','BrASOttHb', 'UB')
('SL22517-2022-11-01-2359','S99-7','vjyeZ', 'SL')
('SL04652-2022-11-01-2341','S98-13','ACVYadQE', 'MB')
('AC12058-2022-11-01-2361','A132-3','cHmTdhebM', 'UB')
('SL22517-2022-11-02-2369','S99-17','qmAdlpffYvA', 'LB')
('AC04652-2022-11-01-2507','A140-5','Yvh', 'SL')
('SL04652-2022-11-02-2401','S101-1','ad', 'LB')
('SL22517-2022-11-02-2391','S100-15','iz', 'SL')
('SL12058-2022-11-01-2350','S98-22','SYqqVSrm', 'UB')
('AC12058-2022-11-01-2391','A133-15','zKtPXJKFcEPSlWNW', 'UB')
('SL04652-2022-11-02-2415','S101-15','JegjAjFWvuZLU', 'SL')
('AC22517-2022-11-02-2398','A134-4','dZfK', 'UB')
('SL22517-2022-11-02-2403','S101-3','jKFLRuiVtsuH', 'UB')
('AC22517-2022-11-01-2463','A137-15','YcuI', 'UB')
('SL22517-2022-11-01-2434','S102-10','sWXdHuZbvb', 'MB')
('SL04652-2022-11-01-2398','S100-22','tCO', 'UB')
('SL12058-2022-11-01-2371','S99-19','YhhWR', 'UB')
('AC12058-2022-11-01-2410','A134-16','EgoFr', 'UB')
('SL12058-2022-11-01-2374','S99-22','jPOOboRvRHAHwtum', 'UB')
('AC22517-2022-11-01-2472','A138-6','W', 'SU')
('AC04652-2022-11-02-2429','A135-17','enAM', 'SL')
('SL04652-2022-11-02-2434','S102-10','EQwekmy', 'MB')
('AC22517-2022-11-01-2476','A138-10','xUOaxCotlKCuFM', 'UB')
('SL04652-2022-11-01-2405','S101-5','ORigei', 'MB')
('SL22517-2022-11-01-2444','S102-20','OtsVHzxXrLz', 'LB')
