('SL12058-2022-11-01-4','S1-4','BsEjQkPmDajeGhn', 'LB')
('SL22517-2022-11-01-1181','S50-5','nekNXEJuuk', 'MB')
('SL22517-2022-11-01-1182','S50-6','GdhRRXypHgbowTMN', 'UB')
('SL04652-2022-11-01-1178','S50-2','YGKDFvuWI', 'MB')
('AC22517-2022-11-02-1209','A68-3','fsCTiJu', 'UB')
('AC04652-2022-11-02-1163','A65-11','lgcS', 'SL')
('SL04652-2022-11-01-1179','S50-3','ZWwbASTfct', 'UB')
('AC22517-2022-11-02-1211','A68-5','ce', 'SL')
('AC22517-2022-11-02-1212','A68-6','hmkjdu', 'SU')
('SL22517-2022-11-02-1222','S51-22','xhjVhwCh', 'UB')
('AC12058-2022-11-01-1174','A66-4','PViW', 'UB')
('AC22517-2022-11-01-1167','A65-15','SDGtMFEqG', 'UB')
('AC12058-2022-11-01-1177','A66-7','jXBotNnq', 'LB')
('AC22517-2022-11-01-1169','A65-17','GqJBW', 'SL')
('SL04652-2022-11-02-1160','S49-8','boOVmbCLNbBdTtDp', 'SU')
('SL04652-2022-11-02-1219','S51-19','JWCLegfGSe', 'UB')
('AC12058-2022-11-01-1246','A70-4','IFIJJQToGUZdw', 'UB')
('AC12058-2022-11-01-1250','A70-8','qpAQPLUsuiWGeEa', 'LB')
('AC12058-2022-11-01-1251','A70-9','bFHRJnsDYMOqdeDR', 'UB')
('SL04652-2022-11-01-1257','S53-9','uJhzGtl', 'LB')
('SL22517-2022-11-01-1267','S53-19','d', 'UB')
('SL04652-2022-11-01-1261','S53-13','ixwi', 'MB')
('AC22517-2022-11-01-1224','A68-18','KfRswJVDjJgvxXb', 'SU')
('AC12058-2022-11-01-1259','A70-17','vqqLEcajwDDk', 'SL')
('AC22517-2022-11-01-1231','A69-7','EEslB', 'LB')
('SL04652-2022-11-01-1272','S53-24','GP', 'SU')
('SL04652-2022-11-01-1274','S54-2','MuqEdXonTMrDSF', 'MB')
('AC22517-2022-11-01-1238','A69-14','dMtIA', 'LB')
('AC22517-2022-11-02-1293','A72-15','RitjU', 'UB')
('AC04652-2022-11-02-1254','A70-12','VC', 'SU')
('SL12058-2022-11-01-1253','S53-5','WgqTDnOWfumijL', 'MB')
('AC22517-2022-11-02-1300','A73-4','Ypz', 'UB')
('SL04652-2022-11-02-1249','S53-1','Ynl', 'LB')
('AC04652-2022-11-01-1296','A72-18','rIHikpaM', 'SU')
('SL22517-2022-11-01-1285','S54-13','EmmTLu', 'MB')
('AC22517-2022-11-01-1252','A70-10','aPwl', 'UB')
('SL22517-2022-11-02-1322','S56-2','NCoPdV', 'MB')
('SL04652-2022-11-01-1290','S54-18','hWf', 'MB')
('AC22517-2022-11-02-1309','A73-13','ZLtBmSJpR', 'LB')
('SL04652-2022-11-02-1258','S53-10','Uejxmf', 'MB')
('AC12058-2022-11-01-1281','A72-3','mYr', 'UB')
('SL22517-2022-11-02-1328','S56-8','PVBDlicy', 'SU')
('AC22517-2022-11-02-1368','A76-18','SIoQtKdgEYV', 'SU')
('SL12058-2022-11-01-1314','S55-18','dDUwcYq', 'MB')
('AC12058-2022-11-01-1345','A75-13','FcP', 'LB')
('SL04652-2022-11-01-1347','S57-3','NNcNGcGgBZxgs', 'UB')
('AC04652-2022-11-01-1360','A76-10','eob', 'UB')
('SL04652-2022-11-02-1324','S56-4','wiZJzFY', 'LB')
('SL12058-2022-11-01-1321','S56-1','ggW', 'LB')
('AC22517-2022-11-01-1319','A74-5','VSr', 'SL')
('SL22517-2022-11-01-1344','S56-24','pzbdApgFEqkabBd', 'SU')
('SL04652-2022-11-02-1330','S56-10','AFC', 'MB')
('AC04652-2022-11-01-1369','A77-1','ymnfklLBp', 'LB')
('AC22517-2022-11-01-1328','A74-14','tGohYtt', 'LB')
('AC22517-2022-11-01-1336','A75-4','rTRpndDWmN', 'UB')
('SL22517-2022-11-01-1359','S57-15','obPUWYOfDj', 'SL')
('SL22517-2022-11-01-1360','S57-16','UEUhy', 'SU')
('SL04652-2022-11-02-1346','S57-2','QiQTWpiVOAx', 'MB')
('AC22517-2022-11-01-1340','A75-8','EuiLdS', 'LB')
('AC04652-2022-11-01-1386','A77-18','xeaKYcTAUOEcGhF', 'SU')
('SL12058-2022-11-01-1346','S57-2','MUApcoG', 'MB')
('SL22517-2022-11-01-1363','S57-19','xYESlUUajkH', 'UB')
('AC04652-2022-11-01-1388','A78-2','HrtBh', 'LB')
('AC22517-2022-11-01-1343','A75-11','trRvydWZMqz', 'SL')
('AC12058-2022-11-01-1373','A77-5','wscOzSimXKCjK', 'SL')
('AC22517-2022-11-01-1344','A75-12','fs', 'SU')
('AC04652-2022-11-01-1390','A78-4','Mduc', 'UB')
('AC22517-2022-11-01-1346','A75-14','CxY', 'LB')
('AC22517-2022-11-02-1403','A78-17','AorlnHWDwweOXu', 'SL')
('AC22517-2022-11-02-1405','A79-1','euS', 'LB')
('SL04652-2022-11-02-1349','S57-5','IjpH', 'MB')
('AC04652-2022-11-02-1361','A76-11','tAppGDr', 'SL')
('AC22517-2022-11-01-1357','A76-7','abXhs', 'LB')
('SL04652-2022-11-01-1378','S58-10','HLToihSib', 'MB')
('SL22517-2022-11-02-1414','S59-22','eunhEscDRJEiiXuf', 'UB')
('AC04652-2022-11-02-1365','A76-15','j', 'UB')
('SL04652-2022-11-01-1383','S58-15','E', 'SL')
('SL22517-2022-11-01-1380','S58-12','iOluCrBBCaS', 'LB')
('AC22517-2022-11-01-1369','A77-1','HNM', 'LB')
('AC12058-2022-11-01-1393','A78-7','COFeMpUzfj', 'LB')
('SL22517-2022-11-02-1423','S60-7','kxf', 'SL')
('SL04652-2022-11-01-1391','S58-23','JVQKnL', 'SL')
('SL22517-2022-11-02-1428','S60-12','ZUvjqag', 'LB')
('AC22517-2022-11-01-1378','A77-10','yCHzxLHdtrKA', 'UB')
('AC22517-2022-11-02-1423','A80-1','hensSTQ', 'LB')
('SL22517-2022-11-01-1390','S58-22','ATobDIxxWlyIKLHv', 'UB')
('AC22517-2022-11-01-1385','A77-17','vsuG', 'SL')
('SL22517-2022-11-01-1394','S59-2','CFFe', 'MB')
('SL22517-2022-11-01-1395','S59-3','P', 'UB')
('SL04652-2022-11-02-1378','S58-10','jDukSsJeSgwqs', 'MB')
('AC04652-2022-11-01-1426','A80-4','QjI', 'UB')
('AC04652-2022-11-01-1427','A80-5','OOiBXkTz', 'SL')
('AC04652-2022-11-01-1428','A80-6','LNRQV', 'SU')
('AC04652-2022-11-02-1393','A78-7','VhdIFdtTtsCj', 'LB')
('AC04652-2022-11-01-1448','A81-8','JKo', 'LB')
('SL04652-2022-11-02-1407','S59-15','cWfq', 'SL')
('SL12058-2022-11-01-1404','S59-12','VPhtOCPmgQjpOWFZ', 'LB')
('SL22517-2022-11-02-1474','S62-10','lxiu', 'MB')
('AC12058-2022-11-01-1452','A81-12','csvHrAwPKq', 'SU')
('SL04652-2022-11-02-1420','S60-4','SvxQ', 'LB')
('SL04652-2022-11-01-1453','S61-13','R', 'MB')
('SL04652-2022-11-01-1454','S61-14','kIMtDso', 'UB')
('AC04652-2022-11-02-1408','A79-4','zdCNnggdgsnFG', 'UB')
('AC22517-2022-11-01-1424','A80-2','wrV', 'LB')
('SL04652-2022-11-01-1457','S61-17','cvTZlJrUfDaTryi', 'LB')
('AC12058-2022-11-01-1460','A82-2','ZiwhBFs', 'LB')
('AC04652-2022-11-02-1412','A79-8','nbtfBKPhNo', 'LB')
('SL04652-2022-11-02-1427','S60-11','me', 'UB')
('AC04652-2022-11-01-1491','A83-15','dficwYYoCX', 'UB')
('AC22517-2022-11-02-1511','A84-17','OmwANJ', 'SL')
('AC04652-2022-11-01-1510','A84-16','XaYSDZacJ', 'UB')
('SL04652-2022-11-01-1501','S63-13','HxwEFkoGgJvHENLP', 'MB')
('AC22517-2022-11-02-1528','A85-16','J', 'UB')
('SL04652-2022-11-01-1504','S63-16','Vqw', 'SU')
('SL22517-2022-11-01-1482','S62-18','FaQI', 'MB')
('AC22517-2022-11-01-1462','A82-4','vW', 'UB')
('SL12058-2022-11-01-1462','S61-22','H', 'UB')
('AC12058-2022-11-01-1509','A84-15','ozDNQrEbEbWZr', 'UB')
('SL12058-2022-11-01-1471','S62-7','QJWEdzzuuaLf', 'SL')
('AC04652-2022-11-01-1528','A85-16','OuyRFiJ', 'UB')
('AC04652-2022-11-02-1467','A82-9','jsRIMxKpAGVc', 'UB')
('AC22517-2022-11-01-1473','A82-15','R', 'UB')
('SL22517-2022-11-02-1553','S65-17','s', 'LB')
('AC12058-2022-11-01-1522','A85-10','yDpddz', 'UB')
('SL04652-2022-11-01-1524','S64-12','lpGoUNBSqIZSU', 'LB')
('SL22517-2022-11-02-1561','S66-1','qcPEvCutpuJfnK', 'LB')
('AC22517-2022-11-01-1480','A83-4','ZkRfb', 'UB')
('AC04652-2022-11-01-1610','A90-8','FKEcGb', 'LB')
('SL04652-2022-11-01-1588','S67-4','RhOGbRyyUBh', 'LB')
('SL22517-2022-11-01-1576','S66-16','yWrHwkHZz', 'SU')
('AC12058-2022-11-01-1597','A89-13','oEMnbdbwYtcrpjV', 'LB')
('SL22517-2022-11-01-1578','S66-18','iADpZZ', 'MB')
('SL04652-2022-11-02-1564','S66-4','lcSczmLSR', 'LB')
('AC12058-2022-11-01-1600','A89-16','shg', 'UB')
('SL04652-2022-11-01-1602','S67-18','pQtkPz', 'MB')
('SL22517-2022-11-02-1632','S68-24','JmkwDSmlRUWF', 'SU')
('AC04652-2022-11-01-1631','A91-11','GgLmJXe', 'SL')
('AC22517-2022-11-01-1551','A87-3','xiWT', 'UB')
('SL12058-2022-11-01-1586','S67-2','d', 'MB')
('SL12058-2022-11-01-1589','S67-5','fjrCFMwHSy', 'MB')
('SL12058-2022-11-01-1592','S67-8','LEnOKNgkfNZam', 'SU')
('SL22517-2022-11-02-1645','S69-13','o', 'MB')
('AC22517-2022-11-01-1559','A87-11','oYm', 'SL')
('SL04652-2022-11-01-1618','S68-10','wjZHbTbCJBhqpBsp', 'MB')
('AC04652-2022-11-02-1553','A87-5','d', 'SL')
('AC12058-2022-11-01-1618','A90-16','cegThfLCsovKrmpu', 'UB')
('AC04652-2022-11-01-1645','A92-7','xNrrwgEuv', 'LB')
('AC04652-2022-11-01-1646','A92-8','jQtYucgHzR', 'LB')
('AC22517-2022-11-01-1574','A88-8','wPZgzKaJxxZQ', 'LB')
('AC04652-2022-11-01-1662','A93-6','bTOFRQfNMm', 'SU')
('AC22517-2022-11-01-1580','A88-14','RuCFygO', 'LB')
('SL04652-2022-11-02-1599','S67-15','mIAmdLvpHUU', 'SL')
('AC04652-2022-11-01-1664','A93-8','KzvZHseVK', 'LB')
('SL22517-2022-11-02-1702','S71-22','DGAhfSgGgAim', 'UB')
('AC04652-2022-11-01-1695','A95-3','HmOSjH', 'UB')
('SL04652-2022-11-02-1634','S69-2','nGTqftAmrV', 'MB')
('AC12058-2022-11-01-1670','A93-14','PiJm', 'LB')
('AC22517-2022-11-02-1691','A94-17','Xb', 'SL')
('SL22517-2022-11-01-1664','S70-8','ukbVkdAZEq', 'SU')
('SL22517-2022-11-02-1708','S72-4','EKEc', 'LB')
('SL22517-2022-11-01-1668','S70-12','dUcotNpt', 'LB')
('SL04652-2022-11-01-1665','S70-9','rinzvPvQCWm', 'LB')
('AC22517-2022-11-02-1702','A95-10','qiIxjPlm', 'UB')
('SL04652-2022-11-01-1669','S70-13','ypeKeHwLLCriElz', 'MB')
('SL22517-2022-11-01-1672','S70-16','ZAChgafMTAQh', 'SU')
('AC22517-2022-11-02-1716','A96-6','dzTij', 'SU')
('AC22517-2022-11-02-1717','A96-7','qOzLDtjHN', 'LB')
('SL04652-2022-11-02-1657','S70-1','q', 'LB')
('AC12058-2022-11-01-1689','A94-15','PtXRfGy', 'UB')
('SL04652-2022-11-02-1660','S70-4','hgbbQWW', 'LB')
('AC22517-2022-11-01-1634','A91-14','CAVdiMdV', 'LB')
('SL12058-2022-11-01-1695','S71-15','ICaJEe', 'SL')
('AC04652-2022-11-01-1759','A98-13','ooVj', 'LB')
('SL22517-2022-11-01-1723','S72-19','ChufQE', 'UB')
('AC04652-2022-11-02-1651','A92-13','xbpLKGhvaohNy', 'LB')
('SL12058-2022-11-01-1702','S71-22','cLJNxqG', 'UB')
('AC04652-2022-11-01-1770','A99-6','DZsbGqKgTRAxjlH', 'SU')
('AC22517-2022-11-02-1772','A99-8','RSekzzeqMU', 'LB')
('AC04652-2022-11-02-1659','A93-3','zFqhy', 'UB')
('AC22517-2022-11-01-1678','A94-4','FEWuZ', 'UB')
('SL04652-2022-11-02-1719','S72-15','eQrDeVCqD', 'SL')
('AC04652-2022-11-01-1789','A100-7','HmJSfTJ', 'LB')
('AC04652-2022-11-02-1675','A94-1','RxTRAwH', 'LB')
('AC04652-2022-11-01-1791','A100-9','BnzjoHbQvk', 'UB')
('AC22517-2022-11-02-1792','A100-10','qapnYx', 'UB')
('AC12058-2022-11-01-1747','A98-1','JtXj', 'LB')
('AC04652-2022-11-02-1683','A94-9','TJqtKdbl', 'UB')
('SL22517-2022-11-01-1767','S74-15','QjeyJLOVMFawj', 'SL')
('SL22517-2022-11-01-1775','S74-23','CSZnaeN', 'SL')
('AC04652-2022-11-02-1694','A95-2','Vc', 'LB')
('SL04652-2022-11-01-1754','S74-2','c', 'MB')
('AC04652-2022-11-02-1698','A95-6','NAshAkUOHJq', 'SU')
('SL12058-2022-11-01-1746','S73-18','AurzFUMBZ', 'MB')
('SL22517-2022-11-01-1786','S75-10','rHxQMbyhrMMpzw', 'MB')
('SL04652-2022-11-02-1745','S73-17','DHQRTGwTlgNP', 'LB')
('SL22517-2022-11-02-1833','S77-9','IEWhsShLdfBuaXT', 'LB')
('SL22517-2022-11-02-1835','S77-11','oqF', 'UB')
('AC12058-2022-11-01-1811','A101-11','VsnKyTlPtDhWgQX', 'SL')
('AC04652-2022-11-02-1743','A97-15','KsEGieAwFMBdHHNc', 'UB')
('AC04652-2022-11-02-1746','A97-18','QJM', 'SU')
('AC12058-2022-11-01-1813','A101-13','jyfg', 'LB')
('SL12058-2022-11-01-1799','S75-23','CftauNR', 'SL')
('AC22517-2022-11-01-1759','A98-13','BTJbSzbeOFDAMD', 'LB')
('AC04652-2022-11-01-1875','A105-3','gYjhmVSFZQDAI', 'UB')
('SL22517-2022-11-02-1845','S77-21','jZbKiOtEmJGe', 'MB')
('AC12058-2022-11-01-1831','A102-13','wC', 'LB')
('SL12058-2022-11-01-1815','S76-15','fYSubQkVmL', 'SL')
('SL12058-2022-11-01-1840','S77-16','EVDFotJAUZFOv', 'SU')
('SL04652-2022-11-01-1860','S78-12','dtfo', 'LB')
('AC22517-2022-11-02-1930','A108-4','RvjLdtyfy', 'UB')
('AC22517-2022-11-02-1931','A108-5','dWkBAgwGaBRSZfdj', 'SL')
('SL12058-2022-11-01-1873','S79-1','UqLbORiSTSAcTd', 'LB')
('AC22517-2022-11-01-1837','A103-1','pAYYkxHbh', 'LB')
('AC12058-2022-11-01-1900','A106-10','ORiJKAtfZARI', 'UB')
('AC12058-2022-11-01-1902','A106-12','YsOEIDRXT', 'SU')
('AC12058-2022-11-01-1903','A106-13','vIddL', 'LB')
('SL22517-2022-11-01-1926','S81-6','pIlusFkPR', 'UB')
('AC04652-2022-11-01-1949','A109-5','CPtUospGxTXGJZD', 'SL')
('AC22517-2022-11-02-1935','A108-9','RBzMNBuf', 'UB')
('AC22517-2022-11-01-1848','A103-12','fCiDlNaceLs', 'SU')
('SL04652-2022-11-02-1875','S79-3','Ei', 'UB')
('AC22517-2022-11-01-1850','A103-14','EsTFneQZTXSsiss', 'LB')
('AC12058-2022-11-01-1916','A107-8','FHSASPSZIuxXVt', 'LB')
('SL04652-2022-11-02-1878','S79-6','qLVGaAsdrRLOV', 'UB')
('AC04652-2022-11-01-1958','A109-14','iREnZjX', 'LB')
('SL04652-2022-11-01-1921','S81-1','dbfWpASNQ', 'LB')
('SL04652-2022-11-02-1881','S79-9','iEgoSOe', 'LB')
('SL04652-2022-11-01-1924','S81-4','WcpSa', 'LB')
('AC04652-2022-11-02-1849','A103-13','SwHSxHlsRJp', 'LB')
('AC04652-2022-11-02-1850','A103-14','YTiZMnyQOeNIoXDn', 'LB')
('SL04652-2022-11-01-1927','S81-7','OtgplqPEwmDAEuE', 'SL')
('AC12058-2022-11-01-1924','A107-16','uvU', 'UB')
('SL12058-2022-11-01-1888','S79-16','rVtJjiXDNsIUkouT', 'SU')
('AC22517-2022-11-01-1855','A104-1','XiaOiCrsPYXhvn', 'LB')
('AC22517-2022-11-01-1856','A104-2','dfGrwL', 'LB')
('AC12058-2022-11-01-1926','A107-18','zuyIxAq', 'SU')
('AC22517-2022-11-02-1958','A109-14','ncWEofBfdGZs', 'LB')
('AC12058-2022-11-01-1928','A108-2','hrdzNKpRUvcV', 'LB')
('AC22517-2022-11-01-1863','A104-9','QNHxmKQfOVNVr', 'UB')
('AC22517-2022-11-02-1963','A110-1','yHLElBxHedg', 'LB')
('SL04652-2022-11-02-1893','S79-21','xrFYjgm', 'MB')
('AC04652-2022-11-02-1861','A104-7','nzEbCOrVRLDA', 'LB')
('SL04652-2022-11-01-1939','S81-19','JOHXKke', 'UB')
('AC04652-2022-11-01-1971','A110-9','QpeDov', 'UB')
('AC12058-2022-11-01-1936','A108-10','qk', 'UB')
('SL22517-2022-11-02-1960','S82-16','qjayh', 'SU')
('SL04652-2022-11-01-1945','S82-1','loPdmVI', 'LB')
('AC22517-2022-11-01-1872','A104-18','WGSHwMzzdQoqFlR', 'SU')
('AC04652-2022-11-02-1868','A104-14','BQGGJUY', 'LB')
('AC04652-2022-11-01-1977','A110-15','X', 'UB')
('SL04652-2022-11-02-1900','S80-4','zKytUnrGg', 'LB')
('SL12058-2022-11-01-1902','S80-6','TcAHpx', 'UB')
('SL04652-2022-11-02-1902','S80-6','YTexYG', 'UB')
('AC04652-2022-11-02-1873','A105-1','qpokVnjl', 'LB')
('SL22517-2022-11-01-1959','S82-15','wUVTFQDYkURmXtk', 'SL')
('SL12058-2022-11-01-1908','S80-12','uNyuDimxl', 'LB')
('AC04652-2022-11-01-1984','A111-4','HujfdzqFZSfAnN', 'UB')
('SL22517-2022-11-01-1963','S82-19','IZQGp', 'UB')
('AC22517-2022-11-02-1975','A110-13','lt', 'LB')
('SL04652-2022-11-01-2020','S85-4','usFAYsUkIP', 'LB')
('AC22517-2022-11-02-2038','A114-4','mBEOjiYdfZHtb', 'UB')
('AC04652-2022-11-02-1936','A108-10','cqhyRVzMKf', 'UB')
('SL22517-2022-11-02-2028','S85-12','NpkArKHJVWYjZfhz', 'LB')
('AC22517-2022-11-01-1928','A108-2','kbJ', 'LB')
('AC22517-2022-11-01-1929','A108-3','SQXjjDYByEfVGio', 'UB')
('AC22517-2022-11-01-1930','A108-4','wQrTZafbkPNj', 'UB')
('AC04652-2022-11-02-1940','A108-14','gmBj', 'LB')
('SL04652-2022-11-02-1973','S83-5','tSt', 'MB')
('AC04652-2022-11-02-1942','A108-16','nAqCwWSApQvj', 'UB')
('AC12058-2022-11-01-2010','A112-12','wjwdPMpgwsSKLykC', 'SU')
('SL04652-2022-11-01-2030','S85-14','uneEl', 'UB')
('SL04652-2022-11-02-1978','S83-10','mTefmKFRSYHO', 'MB')
('AC22517-2022-11-02-2049','A114-15','OBirOc', 'UB')
('AC12058-2022-11-01-2011','A112-13','ZpuOk', 'LB')
('AC04652-2022-11-01-2050','A114-16','CtTWDnnd', 'UB')
('SL12058-2022-11-01-1996','S84-4','D', 'LB')
('SL12058-2022-11-01-1998','S84-6','wzSYQ', 'UB')
('SL12058-2022-11-01-1999','S84-7','pOxFyMdsEhfeFBM', 'SL')
('AC22517-2022-11-01-1944','A108-18','RblHaGii', 'SU')
('AC22517-2022-11-01-1945','A109-1','NRgG', 'LB')
('AC12058-2022-11-01-2022','A113-6','Kg', 'SU')
('AC22517-2022-11-01-1952','A109-8','wVKQTDtJzrKWIF', 'LB')
('AC04652-2022-11-02-1956','A109-12','f', 'SU')
('SL22517-2022-11-01-2044','S86-4','Bkvqnkwc', 'LB')
('AC22517-2022-11-02-2067','A115-15','CVsqrJrf', 'UB')
('AC22517-2022-11-01-1958','A109-14','pAoLnmvncxgNPda', 'LB')
('AC04652-2022-11-01-2068','A115-16','BVnZZMtXpIolJ', 'UB')
('SL04652-2022-11-02-2006','S84-14','DpSBBNxKg', 'UB')
('SL12058-2022-11-01-2016','S84-24','RTrbiTWAkh', 'SU')
('AC12058-2022-11-01-2036','A114-2','qdNtEV', 'LB')
('AC12058-2022-11-01-2037','A114-3','zVpzUrxI', 'UB')
('AC22517-2022-11-01-1972','A110-10','snDKVo', 'UB')
('SL22517-2022-11-02-2060','S86-20','FVjtcRWFX', 'LB')
('SL04652-2022-11-02-2009','S84-17','vyPjnnxgMjRym', 'LB')
('AC22517-2022-11-01-1973','A110-11','cWAaDAO', 'SL')
('AC22517-2022-11-02-2087','A116-17','BIfr', 'SL')
('SL22517-2022-11-01-2060','S86-20','hj', 'LB')
('AC22517-2022-11-01-1979','A110-17','QBLPYVr', 'SL')
('AC12058-2022-11-01-2050','A114-16','zKGvXVzGljhglhu', 'UB')
('AC04652-2022-11-02-1992','A111-12','BGIWBjSYuWpl', 'SU')
('SL22517-2022-11-02-2074','S87-10','azTvxXBL', 'MB')
('SL22517-2022-11-02-2075','S87-11','HmGFOJH', 'UB')
('SL04652-2022-11-01-2088','S87-24','iEVs', 'SU')
('SL04652-2022-11-01-2089','S88-1','QzLfmIZUczg', 'LB')
('AC04652-2022-11-01-2098','A117-10','OJOjVKma', 'UB')
('AC04652-2022-11-02-2011','A112-13','ShgHFBtXeToJYlt', 'LB')
('AC04652-2022-11-01-2110','A118-4','hoRRBg', 'UB')
('AC22517-2022-11-02-2110','A118-4','uLLIEeKTJvM', 'UB')
('SL04652-2022-11-01-2108','S88-20','ZdDjLuABsQgcK', 'LB')
('AC04652-2022-11-01-2116','A118-10','wRPJAdyHez', 'UB')
('AC12058-2022-11-01-2078','A116-8','uFAMVdxMN', 'LB')
('AC04652-2022-11-02-2023','A113-7','GgqOOgfZRIaETRm', 'LB')
('AC12058-2022-11-01-2079','A116-9','XOAUwXjoyWNSui', 'UB')
('AC04652-2022-11-02-2024','A113-8','RkCKPhUBe', 'LB')
('SL04652-2022-11-01-2116','S89-4','GDYKpgePzWdxQM', 'LB')
('AC04652-2022-11-02-2036','A114-2','fwLkUTSQ', 'LB')
('SL12058-2022-11-01-2100','S88-12','bTjKjbEGPKikU', 'LB')
('AC22517-2022-11-02-2149','A120-7','SoThflHjufOc', 'LB')
('SL12058-2022-11-01-2102','S88-14','GJGjQP', 'UB')
('AC22517-2022-11-02-2150','A120-8','uYHntf', 'LB')
('AC22517-2022-11-02-2151','A120-9','EdWBCfIEub', 'UB')
('SL04652-2022-11-01-2149','S90-13','dNCX', 'MB')
('AC22517-2022-11-02-2154','A120-12','tXD', 'SU')
('SL22517-2022-11-02-2149','S90-13','ur', 'MB')
('SL04652-2022-11-01-2152','S90-16','udjPfMyeUDu', 'SU')
('AC12058-2022-11-01-2113','A118-7','Jc', 'LB')
('AC22517-2022-11-01-2065','A115-13','BUBgyh', 'LB')
('SL04652-2022-11-01-2161','S91-1','SOkJKEVLBPGHdnqp', 'LB')
('AC22517-2022-11-01-2069','A115-17','IYSwbogtiAfNS', 'SL')
('AC22517-2022-11-01-2070','A115-18','MwISgRz', 'SU')
('SL04652-2022-11-02-2124','S89-12','XFXMZU', 'LB')
('AC04652-2022-11-01-2195','A122-17','GywearYpj', 'SL')
('AC12058-2022-11-01-2130','A119-6','JnOi', 'SU')
('AC22517-2022-11-01-2075','A116-5','zCFCYeTZf', 'SL')
('AC04652-2022-11-01-2197','A123-1','pjtynDRqwRq', 'LB')
('SL22517-2022-11-01-2165','S91-5','vMs', 'MB')
('SL22517-2022-11-02-2170','S91-10','ZcdxZNENIrCx', 'MB')
('AC12058-2022-11-01-2137','A119-13','apwqIP', 'LB')
('AC04652-2022-11-02-2105','A117-17','pDdTbLjYe', 'SL')
('AC22517-2022-11-02-2192','A122-14','rypLfUrx', 'LB')
('SL04652-2022-11-01-2176','S91-16','apCm', 'SU')
('AC22517-2022-11-01-2085','A116-15','jlCTczzJ', 'UB')
('AC22517-2022-11-01-2086','A116-16','s', 'UB')
('SL22517-2022-11-02-2180','S91-20','QeuXqUDR', 'LB')
('AC04652-2022-11-01-2208','A123-12','HrPZcqAHgGGaQmmQ', 'SU')
('SL22517-2022-11-01-2178','S91-18','KbkzkQ', 'MB')
('AC22517-2022-11-02-2200','A123-4','XQwYeCZSD', 'UB')
('AC04652-2022-11-02-2114','A118-8','eM', 'LB')
('AC12058-2022-11-01-2154','A120-12','qC', 'SU')
('SL22517-2022-11-02-2190','S92-6','UrZqjCSluhiSKZV', 'UB')
('AC04652-2022-11-02-2120','A118-14','KsX', 'LB')
('SL22517-2022-11-01-2186','S92-2','ELhKoE', 'MB')
('SL04652-2022-11-01-2192','S92-8','EdVUeptlMgdsQZ', 'SU')
('SL04652-2022-11-02-2161','S91-1','RXjPoj', 'LB')
('AC12058-2022-11-01-2168','A121-8','U', 'LB')
('SL22517-2022-11-01-2196','S92-12','IyQQ', 'LB')
('AC22517-2022-11-02-2216','A124-2','AJuPxrEgREu', 'LB')
('SL22517-2022-11-01-2201','S92-17','VbX', 'LB')
('AC22517-2022-11-02-2222','A124-8','oDZnPSLOrMW', 'LB')
('AC04652-2022-11-02-2137','A119-13','INNkWpG', 'LB')
('AC12058-2022-11-01-2176','A121-16','LrQJqtDndNp', 'UB')
('AC12058-2022-11-01-2178','A121-18','QucaXlw', 'SU')
('SL04652-2022-11-01-2207','S92-23','EpoxPXkDskwsC', 'SL')
('SL22517-2022-11-02-2210','S93-2','qqorLvanQ', 'MB')
('AC04652-2022-11-02-2175','A121-15','UhOZDYaey', 'UB')
('SL22517-2022-11-01-2252','S94-20','X', 'LB')
('AC04652-2022-11-01-2281','A127-13','D', 'LB')
('AC12058-2022-11-01-2229','A124-15','mCvT', 'UB')
('AC04652-2022-11-02-2181','A122-3','guN', 'UB')
('AC04652-2022-11-02-2185','A122-7','PSKruHwqOjmLjx', 'LB')
('SL12058-2022-11-01-2235','S94-3','xL', 'UB')
('AC12058-2022-11-01-2237','A125-5','GjwTzPMIzKH', 'SL')
('AC22517-2022-11-01-2174','A121-14','PLfYtFChggJLdp', 'LB')
('SL22517-2022-11-01-2266','S95-10','VyQOGBm', 'MB')
('AC22517-2022-11-02-2287','A128-1','HwenpYF', 'LB')
('AC22517-2022-11-02-2288','A128-2','ZmSQuhfoQuQpZ', 'LB')
('SL04652-2022-11-02-2247','S94-15','KI', 'SL')
('AC12058-2022-11-01-2248','A125-16','SEXxVUyKVBCn', 'UB')
('AC22517-2022-11-01-2185','A122-7','ZWLDptYvFiXTbp', 'LB')
('AC04652-2022-11-02-2203','A123-7','znmyPmcTCmUtjG', 'LB')
('AC04652-2022-11-01-2305','A129-1','sIWJwgmYvlSSHY', 'LB')
('SL12058-2022-11-01-2250','S94-18','NJQmQoSQhrBV', 'MB')
('AC04652-2022-11-02-2212','A123-16','xKKKob', 'UB')
('SL22517-2022-11-02-2290','S96-10','dCpJDIJIr', 'MB')
('SL22517-2022-11-02-2294','S96-14','IUbIgXkH', 'UB')
('SL12058-2022-11-01-2256','S94-24','XiqWttetWjsMiSrb', 'SU')
('SL22517-2022-11-02-2296','S96-16','bIaQCnwnXtxx', 'SU')
('AC12058-2022-11-01-2262','A126-12','hrR', 'SU')
('AC22517-2022-11-01-2194','A122-16','KXgfnvKGnP', 'UB')
('AC04652-2022-11-01-2319','A129-15','vVaGFZk', 'UB')
