('AC04652-2022-11-02-233','A13-17','YfSpLRmwwS', 'SL')
('SL22517-2022-11-01-1472','S62-8','VMdujwUUFT', 'SU')
('SL22517-2022-11-01-1480','S62-16','dSBfJDVksNatkj', 'SU')
('SL04652-2022-11-02-1465','S62-1','jvGEH', 'LB')
('SL04652-2022-11-01-1447','S61-7','UE', 'SL')
('AC22517-2022-11-01-1441','A81-1','MawVmpbqM', 'LB')
('AC04652-2022-11-02-1488','A83-12','KJWNvvEIyaD', 'SU')
('SL04652-2022-11-01-1450','S61-10','JpBPxoN', 'MB')
('SL22517-2022-11-02-1452','S61-12','GhGToTEFZOks', 'LB')
('SL22517-2022-11-02-1453','S61-13','JVBMQQWYdlq', 'MB')
('AC22517-2022-11-02-1463','A82-5','gj', 'SL')
('AC22517-2022-11-02-1509','A84-15','xt', 'UB')
('AC04652-2022-11-01-1528','A85-16','uKnINCf', 'UB')
('AC04652-2022-11-01-1529','A85-17','RawmBVdDe', 'SL')
('SL22517-2022-11-02-1505','S63-17','DNAstYizdxlpw', 'LB')
('AC22517-2022-11-01-1502','A84-8','WdE', 'LB')
('SL04652-2022-11-01-1513','S64-1','bAaCjzB', 'LB')
('AC12058-2022-11-01-1529','A85-17','Cw', 'SL')
('SL04652-2022-11-01-1550','S65-14','fFeSkrDvfGKpAj', 'UB')
('AC22517-2022-11-02-1556','A87-8','jetUscWeWLHXTZc', 'LB')
('SL22517-2022-11-02-1554','S65-18','YROU', 'MB')
('SL04652-2022-11-02-1554','S65-18','Ly', 'MB')
('SL04652-2022-11-02-1555','S65-19','mTzmtYdnZzbSeor', 'UB')
('AC12058-2022-11-01-1540','A86-10','IPtXg', 'UB')
('AC04652-2022-11-02-1580','A88-14','CxlwakgQFyF', 'LB')
('SL04652-2022-11-02-1561','S66-1','foSNLzcBRqYKnHE', 'LB')
('SL22517-2022-11-01-1582','S66-22','nKApmRcU', 'UB')
('SL22517-2022-11-01-1583','S66-23','WWIRu', 'SL')
('SL22517-2022-11-02-1564','S66-4','kCmewzezxVAper', 'LB')
('SL22517-2022-11-02-1565','S66-5','asDR', 'MB')
('AC22517-2022-11-02-1575','A88-9','cCWEFd', 'UB')
('AC04652-2022-11-02-1596','A89-12','pN', 'SU')
('AC04652-2022-11-02-1599','A89-15','pqGJcomXQvmwpY', 'UB')
('SL22517-2022-11-01-1589','S67-5','ryULkNSFaNXSDhC', 'MB')
('SL04652-2022-11-01-1568','S66-8','g', 'SU')
('AC22517-2022-11-01-1584','A88-18','MKtaxfdemk', 'SU')
('AC22517-2022-11-01-1585','A89-1','csaXdKasYnJ', 'LB')
('AC04652-2022-11-01-1622','A91-2','lXStNSSnWJtCxYG', 'LB')
('AC04652-2022-11-01-1623','A91-3','O', 'UB')
('AC04652-2022-11-01-1624','A91-4','kOqQOnnjMlf', 'UB')
('AC04652-2022-11-01-1625','A91-5','IHBXyYN', 'SL')
('SL22517-2022-11-01-1616','S68-8','WYbSThoeZXlWUjTJ', 'SU')
('SL22517-2022-11-01-1617','S68-9','EWvIFzFlzMMFfoj', 'LB')
('SL12058-2022-11-01-1573','S66-13','KUomNHcEWLdEc', 'MB')
('SL12058-2022-11-01-1574','S66-14','sTDgm', 'UB')
('SL04652-2022-11-01-1596','S67-12','awbJF', 'LB')
('AC04652-2022-11-01-1640','A92-2','Ud', 'LB')
('AC04652-2022-11-01-1641','A92-3','gUabsYJpTVpGmIU', 'UB')
('AC12058-2022-11-01-1586','A89-2','ZbjZZ', 'LB')
('SL22517-2022-11-01-1626','S68-18','NDVuF', 'MB')
('SL12058-2022-11-01-1583','S66-23','fZMd', 'SL')
('AC22517-2022-11-02-1611','A90-9','ZueuFnLLPm', 'UB')
('SL22517-2022-11-01-1661','S70-5','SAilcwHUHf', 'MB')
('AC22517-2022-11-02-1650','A92-12','MTfkzo', 'SU')
('AC12058-2022-11-01-1667','A93-11','e', 'SL')
('SL22517-2022-11-02-1681','S71-1','xHJfPYk', 'LB')
('SL04652-2022-11-02-1695','S71-15','aVQk', 'SL')
('AC22517-2022-11-01-1725','A96-15','JxOPsCgxvXJuoQ', 'UB')
('SL22517-2022-11-02-1687','S71-7','mfKARtVHzTuZcIeV', 'SL')
('AC22517-2022-11-01-1727','A96-17','H', 'SL')
('AC04652-2022-11-01-1754','A98-8','qrb', 'LB')
('SL22517-2022-11-01-1708','S72-4','Y', 'LB')
('AC04652-2022-11-02-1739','A97-11','AeFirGcSnYriew', 'SL')
('SL04652-2022-11-02-1738','S73-10','proNyGWL', 'MB')
('AC04652-2022-11-02-1742','A97-14','HnRVqQJUBBG', 'LB')
('AC04652-2022-11-01-1785','A100-3','STXRcBAkbbeU', 'UB')
('AC12058-2022-11-01-1755','A98-9','cecmb', 'UB')
('SL04652-2022-11-02-1780','S75-4','FCLUOLy', 'LB')
('SL22517-2022-11-02-1759','S74-7','EvbdLS', 'SL')
('SL22517-2022-11-02-1760','S74-8','IoEteT', 'SU')
('SL22517-2022-11-01-1789','S75-13','vMCqRyHQuKTBGLj', 'MB')
('AC04652-2022-11-01-1842','A103-6','Thbiw', 'SU')
('SL22517-2022-11-02-1767','S74-15','yNtEx', 'SL')
('AC12058-2022-11-01-1764','A98-18','uRgTnnZkppeHQf', 'SU')
('SL12058-2022-11-01-1747','S73-19','utrQnISmpr', 'UB')
('SL22517-2022-11-01-1798','S75-22','GIChVMqcFrY', 'UB')
('AC04652-2022-11-02-1835','A102-17','B', 'SL')
('AC12058-2022-11-01-1803','A101-3','ZLILjTKsQp', 'UB')
('AC04652-2022-11-01-1881','A105-9','gSMpoP', 'UB')
('SL04652-2022-11-02-1822','S76-22','XvMq', 'UB')
('AC04652-2022-11-01-1883','A105-11','gza', 'SL')
('AC12058-2022-11-01-1806','A101-6','omgEPzL', 'SU')
('AC22517-2022-11-01-1867','A104-13','kjIDXWomU', 'LB')
('AC04652-2022-11-01-1903','A106-13','MrUnDkAa', 'LB')
('AC22517-2022-11-01-1870','A104-16','nhNdp', 'UB')
('SL12058-2022-11-01-1810','S76-10','ibvSr', 'MB')
('SL22517-2022-11-01-1848','S77-24','BXGX', 'SU')
('AC04652-2022-11-01-1906','A106-16','fcJQkwHDSzFiZ', 'UB')
('SL04652-2022-11-01-1837','S77-13','Fkerk', 'MB')
('SL04652-2022-11-02-1850','S78-2','fdZ', 'MB')
('AC22517-2022-11-01-1874','A105-2','iJKfOFnl', 'LB')
('SL12058-2022-11-01-1823','S76-23','tk', 'SL')
('AC22517-2022-11-01-1886','A105-14','hKEvsHPRBQyMTdGj', 'LB')
('SL04652-2022-11-02-1859','S78-11','mvotYkjMwEn', 'UB')
('AC22517-2022-11-02-1844','A103-8','VDNNKvL', 'LB')
('SL04652-2022-11-01-1850','S78-2','VE', 'MB')
('AC04652-2022-11-01-1931','A108-5','ZyHjKSynuaeTJg', 'SL')
('SL22517-2022-11-01-1922','S81-2','tegbYEfZn', 'MB')
('SL04652-2022-11-02-1970','S83-2','jljZrYTrxoDbAn', 'MB')
('AC04652-2022-11-02-1957','A109-13','OmpUWjidhx', 'LB')
('SL12058-2022-11-01-1925','S81-5','t', 'MB')
('SL04652-2022-11-01-1946','S82-2','Gy', 'MB')
('SL04652-2022-11-02-1973','S83-5','BVVM', 'MB')
('SL04652-2022-11-01-1947','S82-3','nCRPWczhoUBbI', 'UB')
('SL22517-2022-11-02-1946','S82-2','FUKv', 'MB')
('SL12058-2022-11-01-1936','S81-16','DbdkDanaGKW', 'SU')
('SL04652-2022-11-01-1952','S82-8','wRV', 'SU')
('AC22517-2022-11-02-1943','A108-17','ijTIQ', 'SL')
('SL04652-2022-11-01-1953','S82-9','OJ', 'LB')
('AC22517-2022-11-02-1945','A109-1','fK', 'LB')
('SL12058-2022-11-01-1941','S81-21','QpkNobJwfxFTVa', 'MB')
('AC22517-2022-11-01-2001','A112-3','LjrW', 'UB')
('AC12058-2022-11-01-1943','A108-17','sDeChSTHTpmI', 'SL')
('AC12058-2022-11-01-1944','A108-18','GAsUufxIrtql', 'SU')
('SL12058-2022-11-01-1945','S82-1','CoO', 'LB')
('AC22517-2022-11-02-1947','A109-3','rGBukGVB', 'UB')
('SL12058-2022-11-01-1949','S82-5','vLdOrmJDhJnu', 'MB')
('AC22517-2022-11-01-2016','A112-18','QbtVWjxo', 'SU')
('AC04652-2022-11-01-2051','A114-17','PyTdzDyNTOv', 'SL')
('SL22517-2022-11-02-1964','S82-20','hT', 'LB')
('SL04652-2022-11-02-1988','S83-20','JDsmjin', 'LB')
('AC04652-2022-11-01-2055','A115-3','nSaRKRgkiKrkZgt', 'UB')
('AC04652-2022-11-02-1975','A110-13','GFtyjKXyAuMsLBap', 'LB')
('SL22517-2022-11-02-1966','S82-22','IgPqkULl', 'UB')
('AC22517-2022-11-02-1960','A109-16','sDhIPBp', 'UB')
('AC04652-2022-11-01-2057','A115-5','RzV', 'SL')
('SL12058-2022-11-01-1961','S82-17','ttOWwzD', 'LB')
('SL22517-2022-11-02-1974','S83-6','FJAOvOOprqd', 'UB')
('AC12058-2022-11-01-1963','A110-1','oweYILOEWphfX', 'LB')
('SL22517-2022-11-01-2022','S85-6','ggzJiDW', 'UB')
('SL04652-2022-11-01-2000','S84-8','jkdtDhauatQONMXk', 'SU')
('SL12058-2022-11-01-1992','S83-24','LKGelCPEmJfsLzi', 'SU')
('SL12058-2022-11-01-1993','S84-1','qBvXgS', 'LB')
('SL22517-2022-11-02-1998','S84-6','TSUhdvCa', 'UB')
('AC22517-2022-11-01-2085','A116-15','DKTGJIxR', 'UB')
('AC04652-2022-11-02-2041','A114-7','yzPtSOPvYphA', 'LB')
('AC22517-2022-11-02-2058','A115-6','nAYYP', 'SU')
('AC22517-2022-11-01-2104','A117-16','IWykTE', 'UB')
('AC22517-2022-11-02-2064','A115-12','smHNGsbOXsUWPtl', 'SU')
('SL04652-2022-11-01-2059','S86-19','sJAIjjbTnGbyit', 'UB')
('AC22517-2022-11-01-2113','A118-7','jEvkhfHYD', 'LB')
('SL22517-2022-11-01-2097','S88-9','xxYXFjFqIIz', 'LB')
('SL04652-2022-11-01-2063','S86-23','kKXoEZ', 'SL')
('AC22517-2022-11-02-2075','A116-5','v', 'SL')
('AC22517-2022-11-01-2118','A118-12','GtsbrJx', 'SU')
('AC04652-2022-11-01-2163','A121-3','JclOLuhpAew', 'UB')
('SL04652-2022-11-01-2067','S87-3','TSfLMM', 'UB')
('SL22517-2022-11-01-2104','S88-16','IJf', 'SU')
('SL22517-2022-11-02-2076','S87-12','ZcveaDJKRkN', 'LB')
('AC22517-2022-11-01-2124','A118-18','tWEmhwDgZwY', 'SU')
('SL22517-2022-11-01-2107','S88-19','lOFhdUDsRSj', 'UB')
('AC22517-2022-11-02-2084','A116-14','cOn', 'LB')
('SL04652-2022-11-01-2074','S87-10','OzdiCuhnYuLYrcr', 'MB')
('SL04652-2022-11-01-2116','S89-4','h', 'LB')
('SL22517-2022-11-02-2151','S90-15','lLdKuzzD', 'SL')
('SL04652-2022-11-01-2132','S89-20','GhHZTJnPQCGvJKq', 'LB')
('SL04652-2022-11-01-2133','S89-21','eicREC', 'MB')
('AC04652-2022-11-02-2143','A120-1','ou', 'LB')
('AC22517-2022-11-01-2187','A122-9','WLDVoX', 'UB')
('AC22517-2022-11-02-2175','A121-15','jcdkazPnNHR', 'UB')
('SL22517-2022-11-02-2175','S91-15','IVJVCXU', 'SL')
('AC04652-2022-11-02-2193','A122-15','MDjREFwRUdRr', 'UB')
('AC12058-2022-11-01-2182','A122-4','yujlEgbzmMEGnO', 'UB')
('AC04652-2022-11-02-2204','A123-8','pGmTTZdw', 'LB')
('SL04652-2022-11-02-2221','S93-13','KSCHMOWiYchA', 'MB')
('AC22517-2022-11-02-2207','A123-11','xNYzK', 'SL')
('AC22517-2022-11-01-2250','A125-18','oItrM', 'SU')
('SL22517-2022-11-02-2199','S92-15','MKoku', 'SL')
('SL04652-2022-11-02-2226','S93-18','ytcGqUMfw', 'MB')
('SL22517-2022-11-01-2216','S93-8','CsbCSXhyUpFM', 'SU')
('AC22517-2022-11-01-2263','A126-13','DWqgEfFiB', 'LB')
('SL22517-2022-11-02-2211','S93-3','yGh', 'UB')
('AC12058-2022-11-01-2199','A123-3','jAKolJnlKtFK', 'UB')
('SL04652-2022-11-02-2239','S94-7','AXUvMdIgch', 'SL')
('SL04652-2022-11-01-2196','S92-12','KTocoocgZY', 'LB')
('AC22517-2022-11-02-2264','A126-14','EezcYJcLKzTeS', 'LB')
('SL04652-2022-11-01-2232','S93-24','iBBhl', 'SU')
('AC12058-2022-11-01-2351','A131-11','jxFnCMcQwBgZn', 'SL')
('SL12058-2022-11-01-2317','S97-13','QYfsvvdGpHR', 'MB')
('SL04652-2022-11-02-2375','S99-23','U', 'SL')
('SL04652-2022-11-02-2378','S100-2','j', 'MB')
('AC22517-2022-11-01-2433','A136-3','aoXohobqbsSzjPLg', 'UB')
('SL12058-2022-11-01-2334','S98-6','kcNgbpDKKaIQ', 'UB')
('AC22517-2022-11-01-2435','A136-5','ZacJZZEbZH', 'SL')
('AC22517-2022-11-01-2437','A136-7','sOhNHRgt', 'LB')
('AC12058-2022-11-01-2379','A133-3','t', 'UB')
('SL04652-2022-11-02-2396','S100-20','LzB', 'LB')
('SL22517-2022-11-01-2403','S101-3','XnlcxLAWRU', 'UB')
('SL04652-2022-11-02-2402','S101-2','ZOOWIdAABCpRzp', 'MB')
('AC22517-2022-11-01-2442','A136-12','bjfOk', 'SU')
('SL04652-2022-11-01-2377','S100-1','VDCfGdBchMLdCn', 'LB')
('AC12058-2022-11-01-2402','A134-8','WLUMvP', 'LB')
('AC22517-2022-11-01-2459','A137-11','ZLmvZnS', 'SL')
('SL22517-2022-11-02-2405','S101-5','RacKtBDca', 'MB')
('SL12058-2022-11-01-2366','S99-14','UqgrucXTrjkedqI', 'UB')
('AC04652-2022-11-01-2532','A141-12','CJkvxxkTSv', 'SU')
('AC04652-2022-11-01-2533','A141-13','NmKnZkPyUnVRWsx', 'LB')
('AC04652-2022-11-02-2423','A135-11','MQeaBhNqTuM', 'SL')
('AC22517-2022-11-01-2469','A138-3','uuna', 'UB')
('AC22517-2022-11-02-2410','A134-16','J', 'UB')
('AC12058-2022-11-01-2411','A134-17','QbLWcleimPQOsWT', 'SL')
('AC04652-2022-11-01-2536','A141-16','zliryGvvFY', 'UB')
('AC04652-2022-11-02-2430','A135-18','LQabUQJ', 'SU')
('AC04652-2022-11-01-2541','A142-3','cKenpoWvOBE', 'UB')
('AC22517-2022-11-02-2417','A135-5','NBVtA', 'SL')
('SL22517-2022-11-01-2446','S102-22','AefIounncTYbTFgQ', 'UB')
('AC22517-2022-11-02-2423','A135-11','sG', 'SL')
('AC22517-2022-11-02-2425','A135-13','MD', 'LB')
('AC22517-2022-11-02-2427','A135-15','oQKjE', 'UB')
('AC04652-2022-11-02-2443','A136-13','gLjDwj', 'LB')
('SL04652-2022-11-01-2415','S101-15','DuuR', 'SL')
('AC22517-2022-11-01-2492','A139-8','rTzwEbSEnj', 'LB')
('SL04652-2022-11-02-2450','S103-2','UFVQNGXJ', 'MB')
('AC04652-2022-11-01-2553','A142-15','XMpemkYdBFZQbe', 'UB')
('SL04652-2022-11-02-2491','S104-19','ShMdwqGwSrS', 'UB')
('AC22517-2022-11-01-2528','A141-8','GcAsfySKv', 'LB')
('AC12058-2022-11-01-2473','A138-7','S', 'LB')
('SL22517-2022-11-01-2498','S105-2','AUemvtLPRpLzQ', 'MB')
('SL04652-2022-11-01-2444','S102-20','mtQLTphRHEWKXq', 'LB')
('AC12058-2022-11-01-2484','A138-18','YvHkvKYvtAz', 'SU')
('AC12058-2022-11-01-2485','A139-1','fOl', 'LB')
('SL22517-2022-11-02-2462','S103-14','sYxtIRdVhuDlPBIp', 'UB')
('SL22517-2022-11-01-2511','S105-15','ofTQzFgS', 'SL')
('AC04652-2022-11-02-2503','A140-1','fqyv', 'LB')
('AC12058-2022-11-01-2489','A139-5','LlFUVPEXnjQVs', 'SL')
('SL04652-2022-11-01-2460','S103-12','ZlsYLeMMjQY', 'LB')
('AC12058-2022-11-01-2490','A139-6','iRqSRMbiRPqgX', 'SU')
('SL22517-2022-11-02-2469','S103-21','Ek', 'MB')
('AC22517-2022-11-01-2549','A142-11','JPkTD', 'SL')
('SL04652-2022-11-01-2494','S104-22','JoEptNfIWgJfG', 'UB')
('AC04652-2022-11-01-2641','A147-13','wL', 'LB')
('SL04652-2022-11-02-2551','S107-7','R', 'SL')
('AC22517-2022-11-01-2578','A144-4','ZGebjakTHf', 'UB')
('AC04652-2022-11-01-2643','A147-15','EAvutWy', 'UB')
('SL04652-2022-11-01-2501','S105-5','rXHITgytNJ', 'MB')
('AC22517-2022-11-02-2521','A141-1','Cbk', 'LB')
('SL04652-2022-11-02-2554','S107-10','uimM', 'MB')
('SL04652-2022-11-02-2555','S107-11','tUpcvMpS', 'UB')
('AC04652-2022-11-01-2648','A148-2','dgiNwmqkhbXjWYDg', 'LB')
('SL04652-2022-11-01-2507','S105-11','sNteJetjgxyfBVX', 'UB')
('SL04652-2022-11-01-2508','S105-12','Yw', 'LB')
('AC22517-2022-11-02-2527','A141-7','Dy', 'LB')
('SL04652-2022-11-01-2510','S105-14','KzSboDq', 'UB')
('SL22517-2022-11-01-2568','S107-24','FvDojwDqviffn', 'SU')
('AC04652-2022-11-01-2653','A148-7','EAeVnHR', 'LB')
('SL22517-2022-11-02-2508','S105-12','VdpfUM', 'LB')
('SL12058-2022-11-01-2497','S105-1','ryk', 'LB')
('AC04652-2022-11-01-2655','A148-9','loVsOMBtVSK', 'UB')
('AC04652-2022-11-01-2656','A148-10','cnUSnEGAdTC', 'UB')
('SL04652-2022-11-01-2513','S105-17','a', 'LB')
('AC22517-2022-11-01-2587','A144-13','REpUnuEckpwALWyC', 'LB')
('AC22517-2022-11-01-2593','A145-1','rdKyGrPP', 'LB')
('AC12058-2022-11-01-2541','A142-3','ADH', 'UB')
('AC04652-2022-11-01-2659','A148-13','IQIIWMjZ', 'LB')
('AC04652-2022-11-02-2556','A142-18','gFFiMxlJhweuh', 'SU')
('SL04652-2022-11-02-2564','S107-20','omWfpQUD', 'LB')
('SL12058-2022-11-01-2505','S105-9','UMvahFXNNv', 'LB')
('SL04652-2022-11-01-2525','S106-5','sL', 'MB')
('AC04652-2022-11-01-2662','A148-16','OTKreeZFkeu', 'UB')
('AC04652-2022-11-01-2663','A148-17','rLhGxfxL', 'SL')
('SL12058-2022-11-01-2508','S105-12','a', 'LB')
('AC04652-2022-11-02-2561','A143-5','dQPmeuFFAgZF', 'SL')
('AC22517-2022-11-01-2599','A145-7','kpGYLxXWo', 'LB')
('SL04652-2022-11-02-2572','S108-4','WIZKfBeeXGcMp', 'LB')
('SL04652-2022-11-02-2573','S108-5','UQeD', 'MB')
('AC22517-2022-11-01-2602','A145-10','WMNpAJqs', 'UB')
('SL12058-2022-11-01-2517','S105-21','ZOjbsKJFxDAXYS', 'MB')
('AC22517-2022-11-02-2555','A142-17','QBbHU', 'SL')
('AC12058-2022-11-01-2557','A143-1','TMg', 'LB')
('AC22517-2022-11-01-2612','A146-2','CNFeRr', 'LB')
('AC12058-2022-11-01-2559','A143-3','YD', 'UB')
('AC22517-2022-11-01-2614','A146-4','g', 'UB')
('SL22517-2022-11-02-2534','S106-14','xsi', 'UB')
('AC04652-2022-11-01-2681','A149-17','VjEESJ', 'SL')
('AC22517-2022-11-02-2562','A143-6','AUc', 'SU')
('SL12058-2022-11-01-2536','S106-16','HtbAkYkZaoBr', 'SU')
('SL22517-2022-11-01-2599','S109-7','afZRHeuSJCQF', 'SL')
('SL22517-2022-11-02-2537','S106-17','kJPjlbOkahg', 'LB')
('AC12058-2022-11-01-2566','A143-10','e', 'UB')
('AC04652-2022-11-01-2686','A150-4','yLtnutT', 'UB')
('AC12058-2022-11-01-2567','A143-11','dzPltcSlggiM', 'SL')
('AC22517-2022-11-01-2687','A150-5','KTIbsXdgle', 'SL')
('SL12058-2022-11-01-2600','S109-8','fAA', 'SU')
('AC22517-2022-11-02-2630','A147-2','zoSDqsMfNdYHTRA', 'LB')
('SL04652-2022-11-01-2615','S109-23','kn', 'SL')
('SL22517-2022-11-02-2595','S109-3','XWGUM', 'UB')
('AC04652-2022-11-01-2743','A153-7','SCtjEPTCurgiY', 'LB')
('AC12058-2022-11-01-2627','A146-17','W', 'SL')
('AC04652-2022-11-01-2746','A153-10','nRGRwuIZtcSyQL', 'UB')
('AC04652-2022-11-02-2647','A148-1','MWOAzBhty', 'LB')
('SL22517-2022-11-01-2660','S111-20','BXQKduiJz', 'LB')
('SL04652-2022-11-01-2623','S110-7','pIJMXKFbEeM', 'SL')
('SL04652-2022-11-01-2624','S110-8','FFbuoAWja', 'SU')
('SL04652-2022-11-02-2659','S111-19','qSLLHRj', 'UB')
('SL04652-2022-11-01-2627','S110-11','KyOsY', 'UB')
('AC22517-2022-11-01-2705','A151-5','ZpjzzVWUlO', 'SL')
('AC22517-2022-11-02-2645','A147-17','bQYrH', 'SL')
('AC04652-2022-11-01-2755','A154-1','ECjAMkxDOAi', 'LB')
('AC04652-2022-11-02-2659','A148-13','iQJeFzQ', 'LB')
('AC22517-2022-11-01-2707','A151-7','PnjOqzsM', 'LB')
('AC04652-2022-11-01-2761','A154-7','BxcBTTUjfp', 'LB')
('SL04652-2022-11-01-2635','S110-19','vfGKqPbqspvd', 'UB')
('SL04652-2022-11-02-2670','S112-6','di', 'UB')
('AC22517-2022-11-02-2654','A148-8','pdUvUboisyTxVDK', 'LB')
('SL04652-2022-11-02-2672','S112-8','N', 'SU')
('SL22517-2022-11-01-2675','S112-11','kvriLBMWFuwh', 'UB')
('AC04652-2022-11-01-2768','A154-14','ZuQe', 'LB')
('AC04652-2022-11-02-2670','A149-6','Ch', 'SU')
('AC12058-2022-11-01-2645','A147-17','AHXJqBWgpXaqFT', 'SL')
('SL12058-2022-11-01-2641','S111-1','CHhdhEgmrSVSzAwX', 'LB')
('AC22517-2022-11-02-2674','A149-10','iKyq', 'UB')
('AC04652-2022-11-01-2788','A155-16','DriAt', 'UB')
('AC12058-2022-11-01-2654','A148-8','jpiynNlWFT', 'LB')
('AC22517-2022-11-02-2680','A149-16','LonjqDlBzI', 'UB')
('AC22517-2022-11-01-2789','A155-17','wzkmlyOFtA', 'SL')
('AC04652-2022-11-02-2759','A154-5','ZhzTd', 'SL')
('SL04652-2022-11-01-2733','S114-21','gkKKNC', 'MB')
('AC04652-2022-11-01-2859','A159-15','Br', 'UB')
('SL12058-2022-11-01-2706','S113-18','j', 'MB')
('SL04652-2022-11-01-2741','S115-5','OM', 'MB')
('SL22517-2022-11-02-2717','S114-5','htGAVAj', 'MB')
('SL04652-2022-11-01-2744','S115-8','GGHcOYDgY', 'SU')
('AC04652-2022-11-02-2768','A154-14','WtXtTZmXzxkTOPdW', 'LB')
('SL12058-2022-11-01-2710','S113-22','WVUlaGT', 'UB')
('SL04652-2022-11-01-2752','S115-16','soHLIomYTWEOob', 'SU')
('AC04652-2022-11-01-2881','A161-1','SLumGjVcexPkk', 'LB')
('AC04652-2022-11-01-2882','A161-2','UGFZez', 'LB')
('SL22517-2022-11-02-2731','S114-19','hoLvuO', 'UB')
('AC04652-2022-11-01-2885','A161-5','oIMGwNgw', 'SL')
('AC22517-2022-11-02-2781','A155-9','W', 'UB')
('SL12058-2022-11-01-2722','S114-10','XVfGKwN', 'MB')
('AC22517-2022-11-02-2786','A155-14','EbKhorbRVa', 'LB')
('AC04652-2022-11-01-2897','A161-17','dvEW', 'SL')
('AC22517-2022-11-02-2790','A155-18','EVQQvXdrMPlSa', 'SU')
('SL22517-2022-11-02-2749','S115-13','PntRQxWdPrGkNdjD', 'MB')
('AC04652-2022-11-01-2907','A162-9','OtctFjFxbOqe', 'UB')
('SL12058-2022-11-01-2735','S114-23','KP', 'SL')
('SL04652-2022-11-02-2814','S118-6','BltlDiWQwcP', 'UB')
('AC22517-2022-11-02-2802','A156-12','peeqEJhZwmeMtUn', 'SU')
('SL04652-2022-11-01-2785','S117-1','PZnvuaBEdekHHrq', 'LB')
('SL22517-2022-11-02-2751','S115-15','Cnw', 'SL')
('SL22517-2022-11-02-2752','S115-16','XdoQK', 'SU')
('AC04652-2022-11-01-2942','A164-8','FtAgs', 'LB')
('AC22517-2022-11-02-2837','A158-11','T', 'SL')
('SL12058-2022-11-01-2758','S115-22','gNczjMj', 'UB')
('SL04652-2022-11-02-2852','S119-20','wltyGgzuGeR', 'LB')
('SL04652-2022-11-02-2853','S119-21','sCOnJhqPrVExrc', 'MB')
('SL04652-2022-11-01-2821','S118-13','cyFNYUgFqhRjU', 'MB')
('SL22517-2022-11-02-2788','S117-4','uGDtAUFYr', 'LB')
('SL22517-2022-11-02-2789','S117-5','yearvsqSBRBBDD', 'MB')
('AC04652-2022-11-02-2831','A158-5','FFHjRG', 'SL')
('SL22517-2022-11-02-2792','S117-8','YwfEJqZ', 'SU')
('AC04652-2022-11-01-2953','A165-1','OGRmOPTVNdm', 'LB')
('AC04652-2022-11-01-2954','A165-2','wkPi', 'LB')
('AC22517-2022-11-01-2914','A162-16','GaHeykyHVFYVCC', 'UB')
('SL04652-2022-11-02-2862','S120-6','tbUfBWpFzkmb', 'UB')
('SL22517-2022-11-01-2861','S120-5','qZzLNKwA', 'MB')
('SL12058-2022-11-01-2770','S116-10','W', 'MB')
('SL04652-2022-11-01-2835','S119-3','JsWyilyLbicPWl', 'UB')
('AC22517-2022-11-02-2935','A164-1','csPzjVnt', 'LB')
('AC04652-2022-11-02-2916','A162-18','eNsYzpH', 'SU')
('AC22517-2022-11-01-2992','A167-4','UCxF', 'UB')
('SL04652-2022-11-01-2930','S123-2','eVcWwHeKEA', 'MB')
('AC22517-2022-11-01-3003','A167-15','RFRyxbebS', 'UB')
('SL22517-2022-11-02-2915','S122-11','kA', 'UB')
('SL22517-2022-11-01-2949','S123-21','gZMJOhGzRCpB', 'MB')
('SL22517-2022-11-02-2927','S122-23','NjlgaGUoMyP', 'SL')
('SL04652-2022-11-02-3001','S126-1','oxHvNwbvwH', 'LB')
('SL22517-2022-11-01-2962','S124-10','UNkyJMDxzi', 'MB')
('AC04652-2022-11-01-3076','A171-16','DFLLclo', 'UB')
('SL22517-2022-11-02-2930','S123-2','dlp', 'MB')
('AC12058-2022-11-01-2918','A163-2','tQFdV', 'LB')
('AC22517-2022-11-01-3023','A168-17','SHbEfwcHDP', 'SL')
('SL12058-2022-11-01-2892','S121-12','eHVgTMUBLXFOldI', 'LB')
('SL22517-2022-11-01-2964','S124-12','QlxlsOWASAhbb', 'LB')
('SL04652-2022-11-01-2970','S124-18','CSrlxIpK', 'MB')
('SL22517-2022-11-01-2967','S124-15','nBaMRkr', 'SL')
('AC04652-2022-11-02-2952','A164-18','IjM', 'SU')
('SL22517-2022-11-01-2969','S124-17','ECvqJK', 'LB')
('AC04652-2022-11-01-3088','A172-10','ch', 'UB')
('SL04652-2022-11-02-3017','S126-17','MhvGBDnPbtYry', 'LB')
('AC04652-2022-11-01-3094','A172-16','cVXEsizpKgo', 'UB')
('AC04652-2022-11-01-3100','A173-4','wJgaxalQSE', 'UB')
('AC04652-2022-11-01-3103','A173-7','eTQA', 'LB')
('AC22517-2022-11-02-3003','A167-15','RWVaIPTWr', 'UB')
('SL22517-2022-11-02-2971','S124-19','RjqcIkVKKvSgjkF', 'UB')
('AC04652-2022-11-02-2988','A166-18','qyCTMJixL', 'SU')
('AC22517-2022-11-01-3071','A171-11','LNHmf', 'SL')
('AC04652-2022-11-01-3124','A174-10','UZrgK', 'UB')
('AC04652-2022-11-01-3125','A174-11','xGFEpuKFIO', 'SL')
('SL04652-2022-11-01-3004','S126-4','uDO', 'LB')
