('AC04652-2022-11-01-8','A1-8','cvwtnIncQ', 'LB')
('AC12058-2022-11-01-2543','A142-5','HKbmt', 'SL')
('AC22517-2022-11-02-2570','A143-14','bo', 'LB')
('AC22517-2022-11-01-2444','A136-14','TQVbGs', 'LB')
('SL22517-2022-11-02-2559','S107-15','pIMlZbWPLNhN', 'SL')
('AC22517-2022-11-02-2578','A144-4','AfcppbtDXdTzmF', 'UB')
('SL04652-2022-11-01-2564','S107-20','XeYBtcP', 'LB')
('AC04652-2022-11-01-2600','A145-8','qzviBTfMhsz', 'LB')
('AC04652-2022-11-01-2601','A145-9','UGLvqXNnMOskDbAe', 'UB')
('SL04652-2022-11-01-2569','S108-1','vyGomQBjSwrVaNYb', 'LB')
('SL12058-2022-11-01-2537','S106-17','Xuhm', 'LB')
('SL22517-2022-11-02-2574','S108-6','qstGkFKJyMd', 'UB')
('AC04652-2022-11-01-2611','A146-1','jUAvBRpX', 'LB')
('AC22517-2022-11-02-2596','A145-4','Roounpg', 'UB')
('AC22517-2022-11-01-2462','A137-14','dE', 'LB')
('SL22517-2022-11-01-2564','S107-20','rZeViRkNMETjt', 'LB')
('SL04652-2022-11-02-2541','S106-21','j', 'MB')
('AC22517-2022-11-02-2600','A145-8','oJesN', 'LB')
('AC04652-2022-11-01-2625','A146-15','rlCibucRj', 'UB')
('SL04652-2022-11-01-2584','S108-16','YgpewTGcvR', 'SU')
('SL12058-2022-11-01-2550','S107-6','eXbDfHSih', 'UB')
('SL12058-2022-11-01-2552','S107-8','HRUnkLJWQne', 'SU')
('SL22517-2022-11-02-2589','S108-21','ISXcKCjNGDKtnKgW', 'MB')
('SL04652-2022-11-02-2550','S107-6','eqb', 'UB')
('SL12058-2022-11-01-2555','S107-11','BgTec', 'UB')
('AC22517-2022-11-01-2470','A138-4','ZVCdSlWbXSuHaVf', 'UB')
('SL04652-2022-11-01-2598','S109-6','pmiBbPpw', 'UB')
('AC04652-2022-11-02-2539','A142-1','OFiaQuoi', 'LB')
('SL12058-2022-11-01-2575','S108-7','wrdaP', 'SL')
('AC22517-2022-11-02-2627','A146-17','X', 'SL')
('SL12058-2022-11-01-2578','S108-10','OczcqwbgbIgcLmIA', 'MB')
('AC22517-2022-11-02-2630','A147-2','sdcwBWyPhkY', 'LB')
('AC22517-2022-11-02-2631','A147-3','K', 'UB')
('SL22517-2022-11-02-2631','S110-15','kAYkYk', 'SL')
('SL04652-2022-11-02-2581','S108-13','mTezpyybPlp', 'MB')
('SL22517-2022-11-02-2635','S110-19','VjyNbn', 'UB')
('SL12058-2022-11-01-2589','S108-21','pJgzaOdAvd', 'MB')
('AC22517-2022-11-02-2641','A147-13','PKHnofE', 'LB')
('SL22517-2022-11-02-2642','S111-2','bSTRGy', 'MB')
('SL04652-2022-11-02-2627','S110-11','rymwSFhcH', 'UB')
('SL22517-2022-11-02-2765','S116-5','nKNIRetgI', 'MB')
('AC04652-2022-11-02-2734','A152-16','x', 'UB')
('AC12058-2022-11-01-2759','A154-5','AiN', 'SL')
('SL04652-2022-11-02-2726','S114-14','MozQWtoFHinb', 'UB')
('AC12058-2022-11-01-2761','A154-7','QtQZv', 'LB')
('SL04652-2022-11-01-2800','S117-16','XyCq', 'SU')
('AC22517-2022-11-02-2793','A156-3','LoNILNLotwfnOFyL', 'UB')
('SL22517-2022-11-01-2782','S116-22','Dsy', 'UB')
('SL22517-2022-11-02-2803','S117-19','cCoE', 'UB')
('SL04652-2022-11-01-2803','S117-19','BnJiLzF', 'UB')
('AC22517-2022-11-02-2813','A157-5','BmCcRrmAhikMg', 'SL')
('SL12058-2022-11-01-2764','S116-4','rlXel', 'LB')
('AC22517-2022-11-02-2814','A157-6','uUBTejs', 'SU')
('SL22517-2022-11-01-2796','S117-12','lBn', 'LB')
('SL04652-2022-11-01-2816','S118-8','HhmWRVAERQ', 'SU')
('AC22517-2022-11-02-2823','A157-15','CchCEbaNlhmge', 'UB')
('AC22517-2022-11-01-2678','A149-14','zCvnYGTNcYEuM', 'LB')
('SL12058-2022-11-01-2803','S117-19','qyYmbdKcJ', 'UB')
('SL04652-2022-11-01-2851','S119-19','vyNmOmfpoZseT', 'UB')
('SL22517-2022-11-01-2835','S119-3','CstjNuUJmk', 'UB')
('SL12058-2022-11-01-2805','S117-21','gPAKeEsNaBLdu', 'MB')
('AC22517-2022-11-01-2682','A149-18','LYWEvqPREEhLOHB', 'SU')
('SL22517-2022-11-01-2840','S119-8','cfWT', 'SU')
('SL12058-2022-11-01-2812','S118-4','JxMdmi', 'LB')
('SL04652-2022-11-02-2785','S117-1','PjhnT', 'LB')
('AC22517-2022-11-02-2877','A160-15','oWtaXE', 'UB')
('AC04652-2022-11-02-2807','A156-17','MJhwvXnTOZ', 'SL')
('AC04652-2022-11-01-2886','A161-6','OY', 'SU')
('SL04652-2022-11-01-2866','S120-10','se', 'MB')
('AC04652-2022-11-02-2808','A156-18','MmoY', 'SU')
('AC04652-2022-11-01-2890','A161-10','XjSM', 'UB')
('AC12058-2022-11-01-2830','A158-4','u', 'UB')
('SL12058-2022-11-01-2827','S118-19','rMZIzYcmvQNH', 'UB')
('SL04652-2022-11-01-2874','S120-18','nfYu', 'MB')
('AC22517-2022-11-02-2890','A161-10','OZWddCyNVqOBqXzr', 'UB')
('AC04652-2022-11-02-2816','A157-8','TMApFf', 'LB')
('AC22517-2022-11-02-2892','A161-12','UFvCbuG', 'SU')
('SL22517-2022-11-02-2897','S121-17','NWxSxCjcUasD', 'LB')
('AC22517-2022-11-02-2907','A162-9','Xc', 'UB')
('SL12058-2022-11-01-2849','S119-17','DQUcAxnfR', 'LB')
('AC22517-2022-11-01-2709','A151-9','BXpoBOuzMs', 'UB')
('SL04652-2022-11-01-2891','S121-11','juRQwRdbKrS', 'UB')
('AC22517-2022-11-01-2711','A151-11','fXiHJKcDIUHS', 'SL')
('AC12058-2022-11-01-2851','A159-7','xFMpUbYstaAltm', 'LB')
('SL04652-2022-11-01-2894','S121-14','LbNQyusPa', 'UB')
('SL04652-2022-11-01-2895','S121-15','UwWAXf', 'SL')
('AC22517-2022-11-01-2714','A151-14','TMoyoFS', 'LB')
('SL22517-2022-11-02-2907','S122-3','L', 'UB')
('AC12058-2022-11-01-2855','A159-11','Tpyihuj', 'SL')
('SL12058-2022-11-01-2856','S119-24','rKEGzn', 'SU')
('AC12058-2022-11-01-2858','A159-14','YnTCGvPKerGNkuEu', 'LB')
('AC04652-2022-11-02-2836','A158-10','pOYKbVTGuIT', 'UB')
('SL04652-2022-11-01-2902','S121-22','A', 'UB')
('SL22517-2022-11-01-2887','S121-7','B', 'SL')
('SL22517-2022-11-01-2888','S121-8','IFtxRApifsbITx', 'SU')
('AC12058-2022-11-01-2861','A159-17','BgcZybhwbvF', 'SL')
('AC12058-2022-11-01-2867','A160-5','gaHEiuFA', 'SL')
('SL22517-2022-11-01-2896','S121-16','HWEOHWr', 'SU')
('SL04652-2022-11-01-2912','S122-8','APFJUjroaTNoa', 'SU')
('SL04652-2022-11-02-2824','S118-16','cVibOXEFVHjRt', 'SU')
('SL22517-2022-11-01-2897','S121-17','Ogxayvcjo', 'LB')
('AC04652-2022-11-01-2925','A163-9','cTAlWoXRJlOg', 'UB')
('SL22517-2022-11-02-2920','S122-16','mhSmycGt', 'SU')
('AC12058-2022-11-01-2876','A160-14','QjkmeVfILB', 'LB')
('SL04652-2022-11-02-2829','S118-21','zLlF', 'MB')
('SL22517-2022-11-02-2928','S122-24','Czt', 'SU')
('AC04652-2022-11-02-2851','A159-7','CMVIdnqKZmEyx', 'LB')
('AC22517-2022-11-01-2733','A152-15','dheX', 'UB')
('SL22517-2022-11-02-2931','S123-3','CMvkemSPpaSO', 'UB')
('AC22517-2022-11-01-2737','A153-1','r', 'LB')
('SL04652-2022-11-01-2925','S122-21','mQZFzzIiqN', 'MB')
('SL22517-2022-11-02-2935','S123-7','pjnNyPjceQjdzxB', 'SL')
('AC22517-2022-11-02-2945','A164-11','cFqDnMRApeTZu', 'SL')
('SL22517-2022-11-02-2937','S123-9','YoBEHh', 'LB')
('SL22517-2022-11-02-2938','S123-10','iRfA', 'MB')
('AC22517-2022-11-02-2946','A164-12','vUBb', 'SU')
('SL22517-2022-11-01-2911','S122-7','nSpBhqzTAqnlM', 'SL')
('SL04652-2022-11-01-2934','S123-6','gsmDUInHEuqkaO', 'UB')
('AC04652-2022-11-02-2869','A160-7','k', 'LB')
('SL22517-2022-11-02-2952','S123-24','Zxfy', 'SU')
('AC22517-2022-11-02-2965','A165-13','trfmrK', 'LB')
('AC04652-2022-11-02-2887','A161-7','MCtmghjdOkZritHC', 'LB')
('SL22517-2022-11-01-2932','S123-4','EXKAAhZ', 'LB')
('AC04652-2022-11-02-2900','A162-2','XfEEewVqGJXpNN', 'LB')
('AC22517-2022-11-02-2987','A166-17','GpqNKJpth', 'SL')
('SL22517-2022-11-01-2941','S123-13','e', 'MB')
('SL12058-2022-11-01-2915','S122-11','HePHFbIjgDumq', 'UB')
('SL22517-2022-11-01-2945','S123-17','GaNTo', 'LB')
('AC04652-2022-11-02-2908','A162-10','yHPbMwn', 'UB')
('SL04652-2022-11-02-2874','S120-18','mksNiROnQQuucvo', 'MB')
('AC22517-2022-11-02-3002','A167-14','n', 'LB')
('AC12058-2022-11-01-2932','A163-16','SxjvfGWLwbsNqHFv', 'UB')
('AC04652-2022-11-01-2983','A166-13','tQTInwijiuBpl', 'LB')
('SL04652-2022-11-02-2893','S121-13','KtPllVoNwFBGEv', 'MB')
('SL22517-2022-11-01-2959','S124-7','dP', 'SL')
('AC22517-2022-11-02-3017','A168-11','dRhwqPpRQUbwNQz', 'SL')
('AC04652-2022-11-01-2987','A166-17','DAIBnOLa', 'SL')
('SL12058-2022-11-01-2935','S123-7','toqCQehe', 'SL')
('AC04652-2022-11-01-2988','A166-18','ZTohDCGWhNDtoJ', 'SU')
('AC04652-2022-11-02-2929','A163-13','VErGtFsWrq', 'LB')
('SL22517-2022-11-02-3009','S126-9','VrnSIRLK', 'LB')
('SL12058-2022-11-01-2938','S123-10','aZmsTEJacFYfalq', 'MB')
('AC12058-2022-11-01-2955','A165-3','oOMKjDhKPBczyBEk', 'UB')
('SL12058-2022-11-01-2939','S123-11','GZhOgtWkiWEnQjf', 'UB')
('SL22517-2022-11-02-3011','S126-11','fEWdA', 'UB')
('AC12058-2022-11-01-2959','A165-7','ujSiSEsqsDEIEoGy', 'LB')
('AC04652-2022-11-01-2997','A167-9','YtY', 'UB')
('SL12058-2022-11-01-2946','S123-18','LFlewJvEXdS', 'MB')
('AC22517-2022-11-01-2810','A157-2','LhN', 'LB')
('SL12058-2022-11-01-2949','S123-21','VEOIjyVQD', 'MB')
('AC04652-2022-11-02-2949','A164-15','KFCOSfHWaCvJ', 'UB')
('SL22517-2022-11-02-3030','S127-6','ABuBaf', 'UB')
('SL04652-2022-11-02-2928','S122-24','dlsKnhmWbC', 'SU')
('AC04652-2022-11-02-2958','A165-6','jwkgKdiod', 'SU')
('SL22517-2022-11-01-2992','S125-16','hNAxcm', 'SU')
('AC04652-2022-11-02-2960','A165-8','rQqtZs', 'LB')
('SL12058-2022-11-01-2959','S124-7','xeJUDVSKWB', 'SL')
('AC22517-2022-11-02-3049','A170-7','LJzuCbhygUdqGyPT', 'LB')
('AC12058-2022-11-01-2987','A166-17','mIEHTnzO', 'SL')
('SL04652-2022-11-02-2935','S123-7','XfRrBoxq', 'SL')
('AC04652-2022-11-02-2965','A165-13','YNpZa', 'LB')
('AC22517-2022-11-01-2833','A158-7','qGNgYOXoILSTygWc', 'LB')
('AC12058-2022-11-01-2994','A167-6','weBVlqSGkJLYUXc', 'SU')
('AC04652-2022-11-01-3024','A168-18','RVNm', 'SU')
('AC12058-2022-11-01-2998','A167-10','Wm', 'UB')
('SL22517-2022-11-02-3052','S128-4','AUWSkXG', 'LB')
('SL12058-2022-11-01-2977','S125-1','uxQyfNKFzri', 'LB')
('SL22517-2022-11-02-3054','S128-6','Oas', 'UB')
('AC04652-2022-11-01-3032','A169-8','zI', 'LB')
('AC22517-2022-11-01-2849','A159-5','WNGpHEAjgMHAd', 'SL')
('SL04652-2022-11-02-2952','S123-24','yMHdQDIgv', 'SU')
('AC22517-2022-11-02-3066','A171-6','RzYcxekYdCOits', 'SU')
('AC04652-2022-11-02-2980','A166-10','bNyYLdcAbETl', 'UB')
('SL22517-2022-11-01-3011','S126-11','fOL', 'UB')
('AC04652-2022-11-02-2984','A166-14','USrLJcTf', 'LB')
('SL22517-2022-11-02-3062','S128-14','qqgS', 'UB')
('AC04652-2022-11-01-3040','A169-16','V', 'UB')
('AC22517-2022-11-01-2859','A159-15','nZZTjcrxdsZt', 'UB')
('SL04652-2022-11-02-2961','S124-9','IwOYyFmP', 'LB')
('AC04652-2022-11-02-2989','A167-1','yYSjHqrtUvm', 'LB')
('AC22517-2022-11-02-3083','A172-5','AGvJgfriYYdVi', 'SL')
('AC04652-2022-11-02-2994','A167-6','eosdWVf', 'SU')
('AC04652-2022-11-02-2995','A167-7','OhRulpRTcpmWop', 'LB')
('AC04652-2022-11-02-2996','A167-8','UzoSgGl', 'LB')
('AC04652-2022-11-01-3053','A170-11','S', 'SL')
('SL12058-2022-11-01-3006','S126-6','mMtHAFYwSgo', 'UB')
('AC12058-2022-11-01-3028','A169-4','lGqDIAsrsjxnrAz', 'UB')
('SL04652-2022-11-02-2973','S124-21','xeQv', 'MB')
('SL12058-2022-11-01-3008','S126-8','kRzhvXqXQGoKATyM', 'SU')
('AC22517-2022-11-02-3092','A172-14','VKGIN', 'LB')
('SL04652-2022-11-01-3044','S127-20','yDEUbhFnVnD', 'LB')
('SL22517-2022-11-01-3042','S127-18','fceqoLUqykvLVn', 'MB')
('SL04652-2022-11-01-3055','S128-7','EOLTtWPRyeF', 'SL')
('SL04652-2022-11-02-2982','S125-6','GHNyDroYz', 'UB')
('SL04652-2022-11-02-2983','S125-7','Pxypz', 'SL')
('AC04652-2022-11-02-3015','A168-9','amLEuj', 'UB')
('SL04652-2022-11-02-2985','S125-9','LexG', 'LB')
('AC22517-2022-11-01-2895','A161-15','easxkBRnyKgqEQ', 'UB')
('SL04652-2022-11-01-3060','S128-12','GHrNAuIqLWoZefiJ', 'LB')
('SL22517-2022-11-02-3088','S129-16','MSGfK', 'SU')
('AC22517-2022-11-02-3112','A173-16','EhsdsLQwxCRm', 'UB')
('SL04652-2022-11-01-3065','S128-17','Oqg', 'LB')
('AC12058-2022-11-01-3045','A170-3','GvmUT', 'UB')
('AC12058-2022-11-01-3046','A170-4','MBUkReveeoSy', 'UB')
('AC04652-2022-11-01-3071','A171-11','DZOAxU', 'SL')
('SL22517-2022-11-02-3095','S129-23','JcjodCD', 'SL')
('SL22517-2022-11-01-3058','S128-10','aacJEbZy', 'MB')
('SL04652-2022-11-01-3075','S129-3','YmoMFWfjWdJ', 'UB')
('SL04652-2022-11-01-3076','S129-4','VxTARKPYFVffv', 'LB')
('AC12058-2022-11-01-3054','A170-12','LqaLCYOuoTdeHk', 'SU')
('AC22517-2022-11-01-2900','A162-2','OQND', 'LB')
('SL04652-2022-11-01-3080','S129-8','SAThnllsSggoIh', 'SU')
('AC22517-2022-11-02-3124','A174-10','VQtbFEFarIcgbZ', 'UB')
('AC04652-2022-11-01-3081','A172-3','HztJeaMvbin', 'UB')
('SL04652-2022-11-02-2999','S125-23','ZAw', 'SL')
('SL22517-2022-11-02-3105','S130-9','SRMAbLsBDLqfA', 'LB')
('SL22517-2022-11-01-3067','S128-19','AfJMT', 'UB')
('SL04652-2022-11-01-3083','S129-11','KQlFuWbpRD', 'UB')
('SL22517-2022-11-02-3108','S130-12','qzOAFMxysNmJA', 'LB')
('AC12058-2022-11-01-3062','A171-2','ybSZrImRSHtuukBm', 'LB')
('AC22517-2022-11-02-3134','A175-2','l', 'LB')
('SL04652-2022-11-02-3005','S126-5','BnfVAlfGQaS', 'MB')
('SL22517-2022-11-01-3071','S128-23','jOnClvbVxLBzd', 'SL')
('AC22517-2022-11-01-2910','A162-12','Q', 'SU')
('AC22517-2022-11-02-3136','A175-4','RdGUH', 'UB')
('AC04652-2022-11-01-3088','A172-10','Twsqyw', 'UB')
('SL04652-2022-11-02-3012','S126-12','eqdqnjfEhBx', 'LB')
('AC22517-2022-11-02-3144','A175-12','mSIxx', 'SU')
('AC22517-2022-11-01-2915','A162-17','BAnMMVPMoqSUmwsU', 'SL')
('SL12058-2022-11-01-3048','S127-24','MudnQGTCLUeAehhq', 'SU')
('SL22517-2022-11-01-3081','S129-9','En', 'LB')
('SL12058-2022-11-01-3050','S128-2','wnGvAFVTfB', 'MB')
('SL12058-2022-11-01-3051','S128-3','XqhILYKJXFeuR', 'UB')
('AC04652-2022-11-01-3096','A172-18','pchFWpk', 'SU')
('SL22517-2022-11-02-3123','S131-3','zYzesmOWyFCAeSM', 'UB')
('AC04652-2022-11-01-3100','A173-4','S', 'UB')
('SL04652-2022-11-02-3025','S127-1','YXAkgacnCgUUEg', 'LB')
('AC04652-2022-11-02-3054','A170-12','fnxSQvJHl', 'SU')
('AC22517-2022-11-01-2925','A163-9','yYuJvi', 'UB')
('AC04652-2022-11-01-3104','A173-8','mbhBTSXiiJ', 'LB')
('AC04652-2022-11-01-3105','A173-9','JJfPREFvIQsEjD', 'UB')
('AC04652-2022-11-02-3058','A170-16','gIvkUIEAgshyD', 'UB')
('AC22517-2022-11-01-2931','A163-15','veNGoPUFrdVvoB', 'UB')
('SL04652-2022-11-01-3113','S130-17','AJiOT', 'LB')
('AC04652-2022-11-01-3110','A173-14','reWnyYS', 'LB')
('SL22517-2022-11-01-3097','S130-1','NquFLI', 'LB')
('AC04652-2022-11-02-3063','A171-3','PdJrsmR', 'UB')
('SL12058-2022-11-01-3061','S128-13','NLE', 'MB')
('SL12058-2022-11-01-3062','S128-14','RSmWDIQv', 'UB')
('AC12058-2022-11-01-3088','A172-10','LVBQTtVZKG', 'UB')
('AC22517-2022-11-01-2938','A164-4','z', 'UB')
('AC12058-2022-11-01-3090','A172-12','O', 'SU')
('SL22517-2022-11-02-3143','S131-23','jxXUkwemBbpnVum', 'SL')
('SL22517-2022-11-02-3144','S131-24','tz', 'SU')
('SL22517-2022-11-02-3145','S132-1','EseR', 'LB')
('AC22517-2022-11-02-3186','A177-18','Vq', 'SU')
('SL22517-2022-11-01-3131','S131-11','Mec', 'UB')
('AC12058-2022-11-01-3122','A174-8','hfo', 'LB')
('SL22517-2022-11-02-3173','S133-5','fDGlin', 'MB')
('AC04652-2022-11-01-3138','A175-6','qLybC', 'SU')
('SL04652-2022-11-01-3155','S132-11','fySgMrskoej', 'UB')
('AC22517-2022-11-01-2984','A166-14','GcgJSBHMNLPvV', 'LB')
('SL04652-2022-11-01-3162','S132-18','jEf', 'MB')
('SL22517-2022-11-01-3143','S131-23','OfgWkKjFymeZH', 'SL')
('AC04652-2022-11-02-3117','A174-3','gnoBmJ', 'UB')
('SL22517-2022-11-02-3192','S133-24','gwZJtZXvyWdcT', 'SU')
('AC22517-2022-11-02-3205','A179-1','cypmwthLwr', 'LB')
('SL22517-2022-11-01-3156','S132-12','ubJkEeyjv', 'LB')
('AC04652-2022-11-02-3125','A174-11','NdYPrltdNcqNrfq', 'SL')
('AC04652-2022-11-01-3154','A176-4','tjZdZKoLyp', 'UB')
('AC04652-2022-11-01-3161','A176-11','sZEDLXaR', 'SL')
('AC04652-2022-11-02-3131','A174-17','YbkvEE', 'SL')
('SL04652-2022-11-01-3189','S133-21','tWLzffMs', 'MB')
('SL12058-2022-11-01-3118','S130-22','bHuNCepmajPBsc', 'UB')
('AC12058-2022-11-01-3165','A176-15','yVt', 'UB')
('AC12058-2022-11-01-3170','A177-2','oLwVCH', 'LB')
('SL22517-2022-11-01-3191','S133-23','OuteNx', 'SL')
('SL22517-2022-11-01-3192','S133-24','bRtH', 'SU')
('AC22517-2022-11-02-3245','A181-5','nExGReIqqjU', 'SL')
('AC22517-2022-11-01-3035','A169-11','jqTnaHVC', 'SL')
('SL12058-2022-11-01-3127','S131-7','jxKJ', 'SL')
('SL04652-2022-11-01-3204','S134-12','ekkX', 'LB')
('SL04652-2022-11-02-3147','S132-3','B', 'UB')
('SL12058-2022-11-01-3132','S131-12','imuk', 'LB')
('AC04652-2022-11-02-3161','A176-11','Oas', 'SL')
('SL12058-2022-11-01-3133','S131-13','CAv', 'MB')
('SL04652-2022-11-02-3150','S132-6','yhOv', 'UB')
('AC04652-2022-11-01-3203','A178-17','QRhgpsrDMSwMeo', 'SL')
('AC22517-2022-11-01-3048','A170-6','RsRiwV', 'SU')
('SL12058-2022-11-01-3166','S132-22','sLZsdVRBTSr', 'UB')
('AC12058-2022-11-01-3219','A179-15','j', 'UB')
('SL04652-2022-11-02-3180','S133-12','kCa', 'LB')
('AC04652-2022-11-01-3229','A180-7','hcCirbrkztmif', 'LB')
('SL04652-2022-11-01-3255','S136-15','nJUIJtvyUtbEHE', 'SL')
('AC04652-2022-11-01-3232','A180-10','UIxnBydiXH', 'UB')
('AC22517-2022-11-01-3092','A172-14','knKwDgDHL', 'LB')
('AC12058-2022-11-01-3227','A180-5','ZzqPFGOrBNlha', 'SL')
('AC04652-2022-11-01-3241','A181-1','kVvL', 'LB')
('AC22517-2022-11-01-3101','A173-5','QMzzS', 'SL')
('SL04652-2022-11-02-3193','S134-1','NkpxsQCX', 'LB')
('SL04652-2022-11-02-3195','S134-3','JhIzYoaGHTr', 'UB')
('SL04652-2022-11-01-3268','S137-4','IhSwWCMBL', 'LB')
('SL12058-2022-11-01-3184','S133-16','XizszmFBQCe', 'SU')
('SL22517-2022-11-02-3286','S137-22','vKaHDLieUvfX', 'UB')
('AC04652-2022-11-01-3247','A181-7','PbuoSvmyKlaD', 'LB')
('SL22517-2022-11-01-3253','S136-13','VlrZcfkDBtNXFx', 'MB')
('SL04652-2022-11-02-3199','S134-7','WrzVHbj', 'SL')
('SL22517-2022-11-01-3254','S136-14','mFmqM', 'UB')
('AC22517-2022-11-02-3309','A184-15','J', 'UB')
('AC22517-2022-11-01-3120','A174-6','eqIvlcJ', 'SU')
('SL12058-2022-11-01-3193','S134-1','nTQGah', 'LB')
('SL12058-2022-11-01-3194','S134-2','XFOMkbbSUzPnO', 'MB')
('SL04652-2022-11-02-3205','S134-13','NxazSvZHMBJeMr', 'MB')
('AC12058-2022-11-01-3249','A181-9','BUiBPOrY', 'UB')
('AC22517-2022-11-01-3123','A174-9','OsreIhYCKuM', 'UB')
('AC12058-2022-11-01-3257','A181-17','TirxloNCvKabMFsI', 'SL')
('AC22517-2022-11-01-3127','A174-13','xKmLhwYdjgnDo', 'LB')
('AC04652-2022-11-02-3224','A180-2','v', 'LB')
('SL22517-2022-11-01-3268','S137-4','pk', 'LB')
('AC04652-2022-11-02-3227','A180-5','uocOrMUEduecWp', 'SL')
('AC04652-2022-11-01-3263','A182-5','eUrJdzo', 'SL')
('AC22517-2022-11-02-3323','A185-11','isXfgIOAllO', 'SL')
('SL22517-2022-11-01-3272','S137-8','vhmiT', 'SU')
('SL04652-2022-11-01-3294','S138-6','iIOGOJ', 'UB')
('AC12058-2022-11-01-3269','A182-11','eCPbb', 'SL')
('AC12058-2022-11-01-3270','A182-12','PLMEfxvTMq', 'SU')
('AC04652-2022-11-02-3246','A181-6','oJUsxMLQtimx', 'SU')
('AC22517-2022-11-02-3340','A186-10','ihGmfLcdjHacacj', 'UB')
('AC22517-2022-11-02-3351','A187-3','cRHthgDnSGwJkVpv', 'UB')
('AC22517-2022-11-02-3358','A187-10','sKzaMUyBLjMLvRq', 'UB')
('AC04652-2022-11-02-3257','A181-17','QKNtVvCPcYPoVDRn', 'SL')
('SL04652-2022-11-01-3319','S139-7','OFwlKhDRVJuD', 'SL')
('SL12058-2022-11-01-3243','S136-3','zkKmswBAUjhU', 'UB')
('AC04652-2022-11-01-3296','A184-2','ubLm', 'LB')
('SL04652-2022-11-01-3320','S139-8','kKhbWXcGiXfzNU', 'SU')
('AC04652-2022-11-02-3261','A182-3','bHOB', 'UB')
('AC04652-2022-11-01-3302','A184-8','tnMPMAcBJIRYPDAP', 'LB')
('AC04652-2022-11-02-3266','A182-8','Kj', 'LB')
('AC22517-2022-11-02-3375','A188-9','OESLAdLqruACwG', 'UB')
('SL12058-2022-11-01-3258','S136-18','vpJLIUWqx', 'MB')
('AC12058-2022-11-01-3305','A184-11','ELVdSFHIwijd', 'SL')
('AC12058-2022-11-01-3306','A184-12','htrddMZvRXQl', 'SU')
('SL04652-2022-11-01-3333','S139-21','FXQYJGpW', 'MB')
('AC04652-2022-11-01-3315','A185-3','NXOhSAHc', 'UB')
('AC12058-2022-11-01-3309','A184-15','VFrqzpCYgEOTq', 'UB')
('SL04652-2022-11-02-3269','S137-5','LqKThwLOL', 'MB')
('SL12058-2022-11-01-3265','S137-1','n', 'LB')
('AC04652-2022-11-01-3322','A185-10','gaPPvPbWomdr', 'UB')
('AC12058-2022-11-01-3319','A185-7','cYZoZ', 'LB')
('AC04652-2022-11-02-3280','A183-4','TWHVGBvsnhkD', 'UB')
('SL04652-2022-11-01-3339','S140-3','KMjQlFXG', 'UB')
('SL12058-2022-11-01-3293','S138-5','sBoTSh', 'MB')
('AC22517-2022-11-01-3209','A179-5','alkoXKzJjpYulJb', 'SL')
('AC22517-2022-11-02-3409','A190-7','StFSbtcJC', 'LB')
('SL22517-2022-11-02-3395','S142-11','PLMvBNkewLbBUHs', 'UB')
('SL04652-2022-11-01-3373','S141-13','cbJsVamnjRF', 'MB')
('SL04652-2022-11-01-3375','S141-15','aTAETXKDFhJ', 'SL')
('SL04652-2022-11-01-3376','S141-16','fOHhLhbTYZLuMT', 'SU')
('SL22517-2022-11-01-3358','S140-22','pAbCDYqgX', 'UB')
('SL04652-2022-11-01-3380','S141-20','buyQ', 'LB')
('AC04652-2022-11-01-3365','A187-17','NGImXLRMuauDpb', 'SL')
('SL04652-2022-11-01-3385','S142-1','prbaTCFA', 'LB')
('AC04652-2022-11-01-3369','A188-3','PrXupOwgomOGy', 'UB')
('AC12058-2022-11-01-3365','A187-17','xssomwazuJgskc', 'SL')
('AC04652-2022-11-01-3402','A189-18','vOmeFJHIxooxWl', 'SU')
('AC04652-2022-11-02-3350','A187-2','ftIVQjUEH', 'LB')
('AC22517-2022-11-01-3250','A181-10','GvKzYQgRwoj', 'UB')
('AC04652-2022-11-01-3431','A191-11','jddhUsv', 'SL')
('AC04652-2022-11-01-3432','A191-12','IVmHdNNBg', 'SU')
('AC04652-2022-11-02-3381','A188-15','eURNY', 'UB')
('AC04652-2022-11-01-3444','A192-6','z', 'SU')
('SL04652-2022-11-01-3464','S145-8','bGPeOSlpHFG', 'SU')
('SL22517-2022-11-02-3492','S146-12','sYY', 'LB')
('AC22517-2022-11-02-3510','A195-18','pPXIRQBWxirJbKh', 'SU')
('SL22517-2022-11-02-3495','S146-15','x', 'SL')
('SL12058-2022-11-01-3395','S142-11','pNBlfUDewYfXS', 'UB')
('SL22517-2022-11-02-3497','S146-17','KehCKz', 'LB')
('AC04652-2022-11-02-3386','A189-2','RuTuUQmzNjddgcz', 'LB')
('AC22517-2022-11-02-3513','A196-3','RxhnfNesxcl', 'UB')
('AC12058-2022-11-01-3459','A193-3','wMmmWgsuHWGEmx', 'UB')
('AC22517-2022-11-01-3293','A183-17','SyJICztKONN', 'SL')
('SL04652-2022-11-02-3393','S142-9','qzdXWPIGOlAEHZnE', 'LB')
('SL22517-2022-11-02-3516','S147-12','ZZfJQ', 'LB')
('AC12058-2022-11-01-3466','A193-10','kpnCtACPSnzsVl', 'UB')
('SL22517-2022-11-02-3518','S147-14','KZXCwsAOMNqHsL', 'UB')
('AC04652-2022-11-01-3471','A193-15','nUwFmN', 'UB')
