('AC22517-2022-11-02-18','A1-18','fjTg', 'SU')
('SL04652-2022-11-02-1975','S83-7','C', 'SL')
('SL12058-2022-11-01-1989','S83-21','AteKjoJpTGzFGE', 'MB')
('AC04652-2022-11-02-1945','A109-1','iqKOmSLxk', 'LB')
('AC04652-2022-11-02-1946','A109-2','XZYbRfO', 'LB')
('AC22517-2022-11-01-1939','A108-13','FVdyaBnwBoLIA', 'LB')
('SL12058-2022-11-01-1994','S84-2','lFcNsjPjn', 'MB')
('SL22517-2022-11-01-2023','S85-7','oqecebesAQMTWyK', 'SL')
('AC22517-2022-11-01-1942','A108-16','qxmSk', 'UB')
('AC04652-2022-11-01-2054','A115-2','DiR', 'LB')
('SL04652-2022-11-02-1983','S83-15','tXtqgrfvOvU', 'SL')
('SL12058-2022-11-01-2004','S84-12','yHVjkrIscTO', 'LB')
('AC22517-2022-11-01-1950','A109-6','PAv', 'SU')
('AC22517-2022-11-02-2062','A115-10','GpSjwLF', 'UB')
('AC12058-2022-11-01-2023','A113-7','LOKQbkhUVibm', 'LB')
('SL22517-2022-11-02-2046','S86-6','HF', 'UB')
('AC04652-2022-11-01-2062','A115-10','dQycYtDLiS', 'UB')
('SL22517-2022-11-01-2045','S86-5','EaFnx', 'MB')
('SL12058-2022-11-01-2010','S84-18','zwvPmZhsOhQU', 'MB')
('AC22517-2022-11-01-1960','A109-16','aNKroABNPimg', 'UB')
('AC22517-2022-11-01-1961','A109-17','rGySrVvSryjVOiA', 'SL')
('AC12058-2022-11-01-2026','A113-10','gXcXbYcP', 'UB')
('AC22517-2022-11-02-2069','A115-17','HoUiAHJKIlt', 'SL')
('AC12058-2022-11-01-2028','A113-12','j', 'SU')
('AC12058-2022-11-01-2029','A113-13','qWFZAls', 'LB')
('AC12058-2022-11-01-2030','A113-14','rgRkSESfrFY', 'LB')
('SL04652-2022-11-02-2004','S84-12','eOZdqDkYx', 'LB')
('AC22517-2022-11-02-2073','A116-3','Ru', 'UB')
('AC04652-2022-11-01-2071','A116-1','UyUExozxTiaPQA', 'LB')
('AC12058-2022-11-01-2043','A114-9','CuzKSEzA', 'UB')
('AC22517-2022-11-01-1975','A110-13','H', 'LB')
('SL22517-2022-11-02-2064','S86-24','VXjNvgmHdmu', 'SU')
('AC04652-2022-11-01-2081','A116-11','OKvWGaihVbfreWJ', 'SL')
('SL04652-2022-11-01-2073','S87-9','zncAmffTyAoKsyj', 'LB')
('AC04652-2022-11-02-1984','A111-4','c', 'UB')
('SL04652-2022-11-02-2017','S85-1','JxIJJdIPOQ', 'LB')
('AC04652-2022-11-01-2089','A117-1','UouScltp', 'LB')
('AC04652-2022-11-02-1989','A111-9','jLfocRlhxioM', 'UB')
('SL22517-2022-11-01-2067','S87-3','cIEs', 'UB')
('SL04652-2022-11-02-2025','S85-9','alyIEZCGQDVitY', 'LB')
('SL22517-2022-11-02-2079','S87-15','KYTrYnvpdevnrgOD', 'SL')
('AC04652-2022-11-01-2097','A117-9','TLfRE', 'UB')
('SL22517-2022-11-02-2082','S87-18','MWQTJYtQnZRyMP', 'MB')
('AC22517-2022-11-02-2098','A117-10','pWsrhaJxzoTuS', 'UB')
('SL04652-2022-11-02-2029','S85-13','gKfP', 'MB')
('AC04652-2022-11-01-2103','A117-15','CFnTRKNbO', 'UB')
('SL22517-2022-11-02-2087','S87-23','pMjVahFwqFGjPkV', 'SL')
('SL12058-2022-11-01-2051','S86-11','skKJgOAbkqd', 'UB')
('AC04652-2022-11-01-2108','A118-2','SnFCOJrfyBE', 'LB')
('SL04652-2022-11-02-2052','S86-12','pMXuqSbstvy', 'LB')
('AC04652-2022-11-01-2122','A118-16','u', 'UB')
('AC04652-2022-11-01-2123','A118-17','GTcSSZLZ', 'SL')
('SL12058-2022-11-01-2063','S86-23','YpeXB', 'SL')
('AC22517-2022-11-01-2015','A112-17','oYg', 'SL')
('AC12058-2022-11-01-2088','A116-18','FPAIMMJaiZp', 'SU')
('SL22517-2022-11-02-2112','S88-24','xofMpl', 'SU')
('AC04652-2022-11-01-2130','A119-6','xYK', 'SU')
('SL12058-2022-11-01-2075','S87-11','wfwZVhXMgW', 'UB')
('AC04652-2022-11-02-2040','A114-6','PoMMkMxn', 'SU')
('SL22517-2022-11-01-2110','S88-22','ez', 'UB')
('AC04652-2022-11-01-2138','A119-14','odnAMLhKpoUpG', 'LB')
('SL04652-2022-11-02-2075','S87-11','WdzyPa', 'UB')
('AC22517-2022-11-02-2136','A119-12','bHgybBvi', 'SU')
('AC22517-2022-11-02-2137','A119-13','JQzYBKtYs', 'LB')
('AC22517-2022-11-01-2034','A113-18','OHfJbKDRlzAV', 'SU')
('SL04652-2022-11-02-2082','S87-18','ozuGTKNBGmVhawiZ', 'MB')
('AC12058-2022-11-01-2101','A117-13','jgOqGROERcdHmam', 'LB')
('AC04652-2022-11-02-2057','A115-5','EKwNyn', 'SL')
('AC22517-2022-11-01-2043','A114-9','UvRWXeetFzvHUTP', 'UB')
('SL22517-2022-11-02-2138','S90-2','ayoKrXQCZfFNw', 'MB')
('SL22517-2022-11-01-2130','S89-18','d', 'MB')
('SL12058-2022-11-01-2101','S88-13','DUjHN', 'MB')
('AC04652-2022-11-01-2171','A121-11','TAHfRow', 'SL')
('AC04652-2022-11-01-2172','A121-12','DNvNsfDY', 'SU')
('SL12058-2022-11-01-2114','S89-2','TQmHkK', 'MB')
('SL22517-2022-11-01-2145','S90-9','tEnbbVOzkId', 'LB')
('SL04652-2022-11-01-2157','S90-21','wPkMFxD', 'MB')
('AC04652-2022-11-01-2221','A124-7','kQdkMskhm', 'LB')
('AC04652-2022-11-02-2123','A118-17','kjQvHSBfdDieBv', 'SL')
('SL22517-2022-11-02-2192','S92-8','biKFtQppkjmShhS', 'SU')
('AC04652-2022-11-02-2125','A119-1','FfwTdgrgbWBWizeY', 'LB')
('AC04652-2022-11-02-2126','A119-2','rf', 'LB')
('SL04652-2022-11-01-2196','S92-12','zneaCTkFavJVOrBE', 'LB')
('AC12058-2022-11-01-2174','A121-14','HksGLEaJJocQRAEx', 'LB')
('AC22517-2022-11-02-2223','A124-9','GCXzGLpnnzTWZB', 'UB')
('SL12058-2022-11-01-2170','S91-10','HWlKs', 'MB')
('AC12058-2022-11-01-2177','A121-17','IZb', 'SL')
('SL12058-2022-11-01-2172','S91-12','SBNFxq', 'LB')
('SL22517-2022-11-02-2204','S92-20','BvSXDM', 'LB')
('SL04652-2022-11-01-2208','S92-24','CQYIDHGoyqyC', 'SU')
('AC04652-2022-11-02-2142','A119-18','LivHdEOVsUeLAn', 'SU')
('SL22517-2022-11-02-2209','S93-1','zhIkEEcsuingJQ', 'LB')
('SL12058-2022-11-01-2177','S91-17','pzU', 'LB')
('AC12058-2022-11-01-2183','A122-5','zVCn', 'SL')
('SL22517-2022-11-01-2209','S93-1','INnFw', 'LB')
('SL04652-2022-11-01-2213','S93-5','IWUWsauK', 'MB')
('AC04652-2022-11-01-2244','A125-12','UteMXZLAsmtViboC', 'SU')
('SL04652-2022-11-02-2185','S92-1','wYRZzosYelbrCTiV', 'LB')
('SL22517-2022-11-02-2218','S93-10','yHpMdBoSUXkO', 'MB')
('SL22517-2022-11-01-2217','S93-9','hMgbhYlHb', 'LB')
('SL04652-2022-11-01-2225','S93-17','Fnaa', 'LB')
('SL04652-2022-11-02-2194','S92-10','FKsEzDVqbVVcCe', 'MB')
('SL04652-2022-11-02-2195','S92-11','kuRa', 'UB')
('SL12058-2022-11-01-2188','S92-4','oMkWCmejgCh', 'LB')
('AC22517-2022-11-01-2132','A119-8','jAqbCz', 'LB')
('AC22517-2022-11-02-2236','A125-4','LEgDtvqyVm', 'UB')
('AC22517-2022-11-01-2134','A119-10','P', 'UB')
('AC04652-2022-11-02-2162','A121-2','mZC', 'LB')
('AC22517-2022-11-02-2238','A125-6','a', 'SU')
('SL12058-2022-11-01-2193','S92-9','bKbLZq', 'LB')
('SL22517-2022-11-01-2223','S93-15','NGR', 'SL')
('AC22517-2022-11-01-2139','A119-15','qqrGBcuNvrlFdpYQ', 'UB')
('AC12058-2022-11-01-2200','A123-4','zxobehXU', 'UB')
('SL22517-2022-11-01-2225','S93-17','fhRyML', 'LB')
('SL22517-2022-11-01-2253','S94-21','zYuyeohveFfCwD', 'MB')
('AC22517-2022-11-02-2272','A127-4','bJOrKlQLqteyafJo', 'UB')
('SL22517-2022-11-01-2255','S94-23','SGajLCCRAQ', 'SL')
('AC22517-2022-11-02-2274','A127-6','gY', 'SU')
('SL04652-2022-11-02-2234','S94-2','YUfpJLYVpGmXYsI', 'MB')
('AC12058-2022-11-01-2233','A125-1','iSKrzxAHkoBIrvb', 'LB')
('AC04652-2022-11-01-2289','A128-3','xw', 'UB')
('AC12058-2022-11-01-2240','A125-8','jirjMRD', 'LB')
('SL04652-2022-11-02-2243','S94-11','p', 'UB')
('AC04652-2022-11-02-2191','A122-13','QaNHpC', 'LB')
('AC04652-2022-11-02-2192','A122-14','UYyLaghSUmdW', 'LB')
('AC04652-2022-11-02-2196','A122-18','OzrpmRdZNjmAN', 'SU')
('SL04652-2022-11-01-2277','S95-21','uSDIP', 'MB')
('AC22517-2022-11-01-2182','A122-4','sdcdtisBBpnNeRn', 'UB')
('AC22517-2022-11-01-2183','A122-5','rVXXD', 'SL')
('AC04652-2022-11-02-2208','A123-12','faOZpGhNCj', 'SU')
('AC04652-2022-11-02-2209','A123-13','KSr', 'LB')
('SL04652-2022-11-02-2260','S95-4','TJLBhT', 'LB')
('AC04652-2022-11-02-2214','A123-18','vUBwU', 'SU')
('SL22517-2022-11-01-2288','S96-8','ClxvyKazbndPGPI', 'SU')
('AC04652-2022-11-02-2223','A124-9','r', 'UB')
('AC12058-2022-11-01-2276','A127-8','NfiQKLqPqAMlt', 'LB')
('AC04652-2022-11-02-2232','A124-18','KzCWTOQlfhTytrKY', 'SU')
('SL04652-2022-11-01-2316','S97-12','CQX', 'LB')
('AC04652-2022-11-02-2238','A125-6','WNKlbJsv', 'SU')
('AC22517-2022-11-01-2215','A124-1','hnlTTWJF', 'LB')
('AC22517-2022-11-02-2326','A130-4','CTvAsEMKGDTzz', 'UB')
('SL22517-2022-11-01-2312','S97-8','ewtJyLHtXvivP', 'SU')
('SL22517-2022-11-01-2313','S97-9','IWt', 'LB')
('SL12058-2022-11-01-2288','S96-8','PkwOTgEqZwt', 'SU')
('SL22517-2022-11-02-2322','S97-18','zIQczpzQtH', 'MB')
('AC22517-2022-11-02-2334','A130-12','rDUuyRQjTqs', 'SU')
('AC04652-2022-11-01-2345','A131-5','RIijmnnpgY', 'SL')
('SL12058-2022-11-01-2292','S96-12','yeZEjVrjIXGeNvU', 'LB')
('SL04652-2022-11-02-2293','S96-13','dIPd', 'MB')
('AC04652-2022-11-01-2351','A131-11','ONvHhnzfPIwivoh', 'SL')
('AC04652-2022-11-01-2352','A131-12','I', 'SU')
('AC22517-2022-11-02-2339','A130-17','obU', 'SL')
('AC04652-2022-11-01-2355','A131-15','K', 'UB')
('SL04652-2022-11-01-2329','S98-1','uUeNLmwRiBk', 'LB')
('AC22517-2022-11-01-2233','A125-1','RoIOckgOVpWxo', 'LB')
('AC22517-2022-11-02-2346','A131-6','SpZxfXmjJaqIB', 'SU')
('AC04652-2022-11-02-2262','A126-12','ZciHlL', 'SU')
('SL04652-2022-11-01-2333','S98-5','iynMMAcAWnEayC', 'MB')
('AC12058-2022-11-01-2315','A129-11','uixCRyifHXwWPb', 'SL')
('SL22517-2022-11-02-2339','S98-11','TBNdRW', 'UB')
('AC04652-2022-11-01-2366','A132-8','N', 'LB')
('AC04652-2022-11-01-2368','A132-10','LtMPruPZIj', 'UB')
('SL12058-2022-11-01-2314','S97-10','TOt', 'MB')
('SL04652-2022-11-02-2313','S97-9','POKKPu', 'LB')
('SL22517-2022-11-01-2337','S98-9','cKoVh', 'LB')
('AC22517-2022-11-02-2358','A131-18','xwbi', 'SU')
('AC04652-2022-11-01-2374','A132-16','ofaPOr', 'UB')
('AC12058-2022-11-01-2324','A130-2','YZHrUBVcQUw', 'LB')
('SL04652-2022-11-02-2325','S97-21','uFxtekcxIhSKVriu', 'MB')
('SL22517-2022-11-01-2352','S98-24','PdIX', 'SU')
('AC22517-2022-11-02-2371','A132-13','HiF', 'LB')
('SL04652-2022-11-02-2329','S98-1','gNzYABxJHPzyrZaL', 'LB')
('AC04652-2022-11-02-2290','A128-4','zZYWCoQr', 'UB')
('AC12058-2022-11-01-2342','A131-2','R', 'LB')
('SL12058-2022-11-01-2337','S98-9','zzBRYIP', 'LB')
('SL12058-2022-11-01-2338','S98-10','NJFHGcAMASCc', 'MB')
('SL22517-2022-11-02-2358','S99-6','nyBajNZPscoZx', 'UB')
('SL04652-2022-11-02-2335','S98-7','ZXpXfpyelLLbNRxf', 'SL')
('AC22517-2022-11-01-2260','A126-10','B', 'UB')
('AC04652-2022-11-02-2300','A128-14','JWRmyRJbJloqIKVh', 'LB')
('AC12058-2022-11-01-2348','A131-8','KkWqj', 'LB')
('AC04652-2022-11-01-2392','A133-16','vbmPLfnOZeeuvUaX', 'UB')
('AC04652-2022-11-01-2393','A133-17','PzDlnxEIJNF', 'SL')
('AC22517-2022-11-02-2379','A133-3','ZTmyew', 'UB')
('SL22517-2022-11-02-2365','S99-13','cyitiS', 'MB')
('SL22517-2022-11-02-2366','S99-14','OGhTrnoxRopPZ', 'UB')
('SL04652-2022-11-01-2403','S101-3','KiXMkeWKmtV', 'UB')
('AC22517-2022-11-02-2414','A135-2','rIRHlFLEKfXRtmdh', 'LB')
('AC22517-2022-11-02-2416','A135-4','UtsZnX', 'UB')
('SL04652-2022-11-02-2382','S100-6','xgQpYrLFzpC', 'UB')
('SL04652-2022-11-01-2412','S101-12','P', 'LB')
('AC22517-2022-11-02-2427','A135-15','mZGZOjaSwnzVg', 'UB')
('AC04652-2022-11-01-2446','A136-16','NsaIcvQYjIq', 'UB')
('AC22517-2022-11-01-2325','A130-3','fZYhlYXym', 'UB')
('SL12058-2022-11-01-2392','S100-16','cjnvyAUXu', 'SU')
('AC04652-2022-11-02-2364','A132-6','arGZ', 'SU')
('SL22517-2022-11-02-2451','S103-3','wskesghHcP', 'UB')
('SL04652-2022-11-01-2433','S102-9','yNAJSu', 'LB')
('SL04652-2022-11-02-2421','S101-21','o', 'MB')
('SL04652-2022-11-01-2449','S103-1','iuxrVEDfrYf', 'LB')
('SL04652-2022-11-02-2463','S103-15','EXnFbqbzFa', 'SL')
('AC04652-2022-11-02-2428','A135-16','Qcqn', 'UB')
('AC04652-2022-11-01-2516','A140-14','ZJoqTSjcwccJlD', 'LB')
('SL22517-2022-11-02-2498','S105-2','ytmq', 'MB')
('SL22517-2022-11-01-2489','S104-17','BN', 'LB')
('SL22517-2022-11-02-2503','S105-7','PGwpYqLGEyaDeHz', 'SL')
('SL12058-2022-11-01-2459','S103-11','Shm', 'UB')
('AC04652-2022-11-01-2527','A141-7','FaiQ', 'LB')
('SL04652-2022-11-01-2500','S105-4','Y', 'LB')
('AC04652-2022-11-02-2440','A136-10','IeSV', 'UB')
('SL22517-2022-11-01-2494','S104-22','d', 'UB')
('AC04652-2022-11-01-2531','A141-11','vYzCh', 'SL')
('SL22517-2022-11-01-2497','S105-1','ccYZA', 'LB')
('AC04652-2022-11-01-2534','A141-14','OXOaH', 'LB')
('AC04652-2022-11-02-2445','A136-15','fubltzXDzC', 'UB')
('AC22517-2022-11-02-2507','A140-5','iU', 'SL')
('AC04652-2022-11-02-2446','A136-16','HJCpafv', 'UB')
('SL22517-2022-11-01-2498','S105-2','RTtVVUQAXefWKBRQ', 'MB')
('AC12058-2022-11-01-2538','A141-18','WLho', 'SU')
('AC22517-2022-11-01-2440','A136-10','rZuHdiMa', 'UB')
('AC22517-2022-11-02-2562','A143-6','AAWXalzcMb', 'SU')
('SL12058-2022-11-01-2514','S105-18','YGSxobHOOyWQCtM', 'MB')
('SL12058-2022-11-01-2515','S105-19','Q', 'UB')
('AC22517-2022-11-02-2569','A143-13','IiVaAKXPWVIUQ', 'LB')
('AC04652-2022-11-02-2508','A140-6','MeGigIh', 'SU')
('AC22517-2022-11-01-2447','A136-17','pesDym', 'SL')
('SL04652-2022-11-01-2566','S107-22','PDdco', 'UB')
('SL04652-2022-11-02-2527','S106-7','FZmGgYNLqOTNdFP', 'SL')
('AC22517-2022-11-01-2450','A137-2','oTopGuirJAJYtQ', 'LB')
('AC04652-2022-11-02-2510','A140-8','iZfqTvTfpbzIi', 'LB')
('SL22517-2022-11-02-2571','S108-3','suvjsdgoKIc', 'UB')
('SL22517-2022-11-01-2553','S107-9','eNIFGn', 'LB')
('AC04652-2022-11-01-2604','A145-12','McJBPdltezp', 'SU')
('AC22517-2022-11-01-2454','A137-6','OMlaIdjMqbG', 'SU')
('SL04652-2022-11-01-2573','S108-5','e', 'MB')
('SL04652-2022-11-02-2533','S106-13','YxIS', 'MB')
('SL04652-2022-11-02-2534','S106-14','m', 'UB')
('AC22517-2022-11-01-2456','A137-8','JIDRNtMekDIWRUO', 'LB')
('SL22517-2022-11-02-2577','S108-9','qiPVrlNTZp', 'LB')
('AC22517-2022-11-01-2458','A137-10','GqOmcik', 'UB')
('AC12058-2022-11-01-2565','A143-9','ln', 'UB')
('AC22517-2022-11-01-2460','A137-12','EijcJAiKsghzd', 'SU')
('SL12058-2022-11-01-2543','S106-23','GvZujcEioExS', 'SL')
('AC04652-2022-11-01-2620','A146-10','EUQWXMwtyMLMqYcW', 'UB')
('SL22517-2022-11-02-2581','S108-13','FtvDkwkeDBb', 'MB')
('SL12058-2022-11-01-2548','S107-4','SamSPVYcd', 'LB')
('SL04652-2022-11-01-2585','S108-17','rvjmEhqUCvFYr', 'LB')
('AC22517-2022-11-02-2603','A145-11','nIqgkgIekNGmNdwE', 'SL')
('SL22517-2022-11-01-2573','S108-5','KrPKEnOgrQeBbHZo', 'MB')
('SL04652-2022-11-01-2597','S109-5','iNKq', 'MB')
('SL04652-2022-11-02-2553','S107-9','tiRePBSYo', 'LB')
('AC04652-2022-11-02-2551','A142-13','tbhneLnb', 'LB')
('SL22517-2022-11-02-2612','S109-20','bpxOMVn', 'LB')
('SL04652-2022-11-01-2617','S110-1','NoX', 'LB')
('AC04652-2022-11-01-2659','A148-13','v', 'LB')
('AC12058-2022-11-01-2598','A145-6','oBhptHEwHydkKetC', 'SU')
('SL04652-2022-11-02-2569','S108-1','ZucQSMu', 'LB')
('SL12058-2022-11-01-2574','S108-6','rhZvQrYnOaMBwMek', 'UB')
('SL04652-2022-11-01-2623','S110-7','mmjGoEyUzFYwvGz', 'SL')
('AC22517-2022-11-02-2625','A146-15','iDplpb', 'UB')
('SL04652-2022-11-01-2660','S111-20','oYVxxCrYjOcP', 'LB')
('SL04652-2022-11-01-2661','S111-21','fL', 'MB')
('SL04652-2022-11-02-2615','S109-23','NjakDEQEBf', 'SL')
('SL12058-2022-11-01-2620','S110-4','nmOWkAmSFMkhm', 'LB')
('SL22517-2022-11-01-2648','S111-8','rvXcrkLlmpeQyK', 'SU')
('AC12058-2022-11-01-2642','A147-14','Y', 'LB')
('AC04652-2022-11-01-2706','A151-6','tNhbOyTI', 'SU')
('SL04652-2022-11-02-2616','S109-24','VQxgrct', 'SU')
('SL22517-2022-11-02-2670','S112-6','TXcYSxJxim', 'UB')
('SL12058-2022-11-01-2625','S110-9','D', 'LB')
('SL22517-2022-11-01-2651','S111-11','bHbIoofIfrzk', 'UB')
('AC04652-2022-11-02-2597','A145-5','KZWTsVkgaMfHwAKW', 'SL')
('SL12058-2022-11-01-2628','S110-12','RExhPBmmUQAoDL', 'LB')
('SL12058-2022-11-01-2629','S110-13','V', 'MB')
('AC22517-2022-11-02-2684','A150-2','EZJuSeNEcIxtDq', 'LB')
('AC04652-2022-11-02-2602','A145-10','xJQSGpYUzQKFDl', 'UB')
('AC04652-2022-11-01-2716','A151-16','ZFaGDhGyeh', 'UB')
('AC22517-2022-11-01-2540','A142-2','dFJPGNymGkwKCAb', 'LB')
('AC04652-2022-11-01-2718','A151-18','akJXxgVdhapkN', 'SU')
('SL12058-2022-11-01-2633','S110-17','IjPH', 'LB')
('SL22517-2022-11-01-2661','S111-21','UBQV', 'MB')
('SL04652-2022-11-01-2675','S112-11','VdFQurZD', 'UB')
('SL04652-2022-11-02-2628','S110-12','ZTiDtDUwdpKKP', 'LB')
('AC04652-2022-11-01-2735','A152-17','pgOC', 'SL')
('AC04652-2022-11-01-2736','A152-18','nxEUfGDrrDLL', 'SU')
('AC12058-2022-11-01-2674','A149-10','cXORFWvTET', 'UB')
('AC22517-2022-11-01-2555','A142-17','gzbbcwmcdoquLLCH', 'SL')
('SL04652-2022-11-02-2652','S111-12','Ny', 'LB')
('AC22517-2022-11-01-2556','A142-18','PO', 'SU')
('SL22517-2022-11-01-2680','S112-16','XYIIHAQmXVLfp', 'SU')
('AC12058-2022-11-01-2681','A149-17','VtVBcjAQUF', 'SL')
('AC04652-2022-11-01-2745','A153-9','xliXyyOg', 'UB')
('AC22517-2022-11-02-2714','A151-14','FzE', 'LB')
('SL04652-2022-11-01-2703','S113-15','refmsJmKXyZhKqHn', 'SL')
('AC22517-2022-11-02-2716','A151-16','oiWiFqTnRmrr', 'UB')
('AC12058-2022-11-01-2685','A150-3','TyWc', 'UB')
('SL22517-2022-11-02-2723','S114-11','tmbPDMQVBPcrb', 'UB')
('SL04652-2022-11-02-2679','S112-15','fhCSoBqFSzjnT', 'SL')
('SL04652-2022-11-01-2735','S114-23','aPinFSoRmD', 'SL')
('AC04652-2022-11-02-2671','A149-7','Eh', 'LB')
('SL12058-2022-11-01-2697','S113-9','EWsfMVZl', 'LB')
('AC12058-2022-11-01-2717','A151-17','qOsnJIU', 'SL')
('SL22517-2022-11-01-2726','S114-14','IlmPR', 'UB')
('AC04652-2022-11-02-2680','A149-16','OxQIxtVImenQII', 'UB')
('AC22517-2022-11-02-2748','A153-12','BwOrKbmd', 'SU')
('AC22517-2022-11-02-2749','A153-13','PJLRkwmWZFcveJ', 'LB')
('AC22517-2022-11-02-2750','A153-14','oBHoryCOQ', 'LB')
('AC04652-2022-11-01-2780','A155-8','xycpXznzIZzhXD', 'LB')
('SL22517-2022-11-02-2747','S115-11','zylBNRL', 'UB')
('SL04652-2022-11-02-2700','S113-12','nxscxRJHfVNUEpZu', 'LB')
('AC04652-2022-11-02-2685','A150-3','otQVrBUHFSIt', 'UB')
('AC12058-2022-11-01-2720','A152-2','HshwfAxRwbgMWUg', 'LB')
('AC22517-2022-11-01-2595','A145-3','Fhxhyrep', 'UB')
('SL22517-2022-11-01-2737','S115-1','DbZPWFllOoQQRKRH', 'LB')
('AC04652-2022-11-02-2693','A150-11','wZrVUiqW', 'SL')
('AC04652-2022-11-01-2792','A156-2','e', 'LB')
('AC04652-2022-11-02-2697','A150-15','zqgVD', 'UB')
('AC04652-2022-11-02-2698','A150-16','WOXV', 'UB')
('SL22517-2022-11-01-2744','S115-8','jh', 'SU')
('AC04652-2022-11-02-2703','A151-3','TlYfQyDfU', 'UB')
('SL22517-2022-11-01-2749','S115-13','SAYQIURmljWd', 'MB')
('SL22517-2022-11-01-2750','S115-14','cWolCy', 'UB')
('AC22517-2022-11-02-2767','A154-13','ipJEOPqeYkaWHuhR', 'LB')
('AC04652-2022-11-01-2799','A156-9','JPO', 'UB')
('SL04652-2022-11-01-2770','S116-10','U', 'MB')
('SL22517-2022-11-02-2773','S116-13','Qhp', 'MB')
('SL22517-2022-11-01-2758','S115-22','hqvzgmhrylmFmH', 'UB')
('SL04652-2022-11-01-2773','S116-13','VxwlkjGjgkx', 'MB')
('AC04652-2022-11-02-2715','A151-15','c', 'UB')
('AC12058-2022-11-01-2741','A153-5','U', 'SL')
('AC22517-2022-11-01-2616','A146-6','nkg', 'SU')
('SL04652-2022-11-02-2713','S114-1','yhn', 'LB')
('SL22517-2022-11-01-2765','S116-5','SHkKWPouLDYQf', 'MB')
('SL22517-2022-11-01-2787','S117-3','ScbDPuJG', 'UB')
('SL04652-2022-11-01-2812','S118-4','SLiRSlxGcIsFzj', 'LB')
('SL12058-2022-11-01-2770','S116-10','xARwhOIcMWthX', 'MB')
('SL04652-2022-11-02-2737','S115-1','cikhNHdMjUO', 'LB')
('SL04652-2022-11-01-2823','S118-15','hR', 'SL')
('AC12058-2022-11-01-2785','A155-13','YHlkBUOfdC', 'LB')
('AC04652-2022-11-01-2852','A159-8','yAU', 'LB')
('AC04652-2022-11-02-2770','A154-16','aqmKmMMYuTF', 'UB')
('AC12058-2022-11-01-2788','A155-16','sSjRVYMzefNsycO', 'UB')
('SL04652-2022-11-01-2828','S118-20','VOeTSuI', 'LB')
('AC04652-2022-11-02-2771','A154-17','NFjlYfuhBWdb', 'SL')
('AC22517-2022-11-01-2665','A149-1','d', 'LB')
('AC22517-2022-11-01-2666','A149-2','YZICZellONIUxYd', 'LB')
('SL04652-2022-11-01-2832','S118-24','gaTfTIMSaVruqi', 'SU')
('AC12058-2022-11-01-2794','A156-4','smzmwdjRn', 'UB')
('SL22517-2022-11-02-2838','S119-6','fpCPYpenVAuBknZ', 'UB')
('AC22517-2022-11-02-2839','A158-13','wQOUTMfXILOAkh', 'LB')
('SL22517-2022-11-02-2842','S119-10','Tvta', 'MB')
('AC04652-2022-11-02-2779','A155-7','IKBthCPrgZXgb', 'LB')
('SL04652-2022-11-02-2759','S115-23','SXRud', 'SL')
('SL04652-2022-11-01-2841','S119-9','qutCXnWEPZ', 'LB')
('AC04652-2022-11-02-2784','A155-12','tvbUuBo', 'SU')
('AC22517-2022-11-02-2849','A159-5','EpjkgeUksoopK', 'SL')
('SL22517-2022-11-02-2851','S119-19','BfTXZDqIA', 'UB')
('SL04652-2022-11-01-2846','S119-14','LHVskyiGHeq', 'UB')
('SL04652-2022-11-01-2847','S119-15','rzFmcd', 'SL')
('SL04652-2022-11-02-2767','S116-7','OyZUhkzs', 'SL')
('AC12058-2022-11-01-2806','A156-16','bucDWzJBxuFZGdk', 'UB')
('AC22517-2022-11-02-2857','A159-13','xbmrcDuXH', 'LB')
('SL22517-2022-11-02-2858','S120-2','rWnfHrLnHKJ', 'MB')
('SL22517-2022-11-02-2859','S120-3','uqxanKDJcoTekv', 'UB')
('AC04652-2022-11-01-2871','A160-9','ZuVgSNOdUtolDWk', 'UB')
('SL04652-2022-11-02-2775','S116-15','lBME', 'SL')
('AC04652-2022-11-02-2795','A156-5','TEFJNfXdUOXYJb', 'SL')
('AC04652-2022-11-02-2796','A156-6','k', 'SU')
('SL22517-2022-11-02-2866','S120-10','eU', 'MB')
('AC22517-2022-11-01-2683','A150-1','CmHA', 'LB')
('AC22517-2022-11-01-2684','A150-2','AMG', 'LB')
('SL12058-2022-11-01-2810','S118-2','cJGCxMBZopgMpJ', 'MB')
('AC12058-2022-11-01-2818','A157-10','I', 'UB')
('AC12058-2022-11-01-2821','A157-13','WSf', 'LB')
('SL04652-2022-11-01-2858','S120-2','FiTYLZnY', 'MB')
('AC12058-2022-11-01-2823','A157-15','N', 'UB')
('SL04652-2022-11-02-2787','S117-3','LpG', 'UB')
('AC22517-2022-11-01-2692','A150-10','OxbaR', 'UB')
('AC04652-2022-11-01-2882','A161-2','ncpugL', 'LB')
('SL04652-2022-11-02-2789','S117-5','zXhO', 'MB')
('AC22517-2022-11-01-2693','A150-11','RGAVsnEaNybZw', 'SL')
('SL22517-2022-11-01-2852','S119-20','VvKywBpetwY', 'LB')
('SL22517-2022-11-02-2881','S121-1','sTvfBg', 'LB')
('SL22517-2022-11-02-2882','S121-2','TsQRQldMRVMy', 'MB')
('SL22517-2022-11-02-2883','S121-3','SRzrdxvGPlnIra', 'UB')
('AC04652-2022-11-02-2810','A157-2','oExgMIoykxeIpT', 'LB')
