('AC12058-2022-11-01-2019','A113-3','ejzAKW', 'UB')
('AC22517-2022-11-02-3371','A188-5','usXHXxHkjOnEiTf', 'SL')
('AC22517-2022-11-02-3373','A188-7','CRaeXhBNPOkpKObD', 'LB')
('AC12058-2022-11-01-3310','A184-16','hvYPYRuyDOi', 'UB')
('SL12058-2022-11-01-3298','S138-10','ZJmks', 'MB')
('AC12058-2022-11-01-3324','A185-12','SuQpcniiSplj', 'SU')
('AC04652-2022-11-02-3406','A190-4','xNWfcQpHvF', 'UB')
('SL12058-2022-11-01-3334','S139-22','NJFWeEz', 'UB')
('SL04652-2022-11-02-3463','S145-7','XSYeopPYpItz', 'SL')
('SL22517-2022-11-01-3382','S141-22','k', 'UB')
('SL04652-2022-11-02-3469','S145-13','AYKikXziKhaciCIC', 'MB')
('AC22517-2022-11-01-3484','A194-10','yaQBTaK', 'UB')
('SL12058-2022-11-01-3341','S140-5','MDBHzWumOPSHAUlR', 'MB')
('SL04652-2022-11-01-3443','S144-11','q', 'UB')
('SL04652-2022-11-01-3444','S144-12','pWvcXkAuu', 'LB')
('AC12058-2022-11-01-3403','A190-1','B', 'LB')
('SL04652-2022-11-01-3452','S144-20','eIWHJUzMihPdJqDI', 'LB')
('AC22517-2022-11-01-3534','A197-6','hFyLZHdrSGMG', 'SU')
('SL12058-2022-11-01-3377','S141-17','Fj', 'LB')
('AC22517-2022-11-02-3475','A194-1','UtOphltIYUCcDBcj', 'LB')
('SL04652-2022-11-01-3459','S145-3','QbZnCLobfiHJ', 'UB')
('AC04652-2022-11-02-3452','A192-14','VhXtvYjLOFGh', 'LB')
('SL22517-2022-11-01-3448','S144-16','NDeYdoIHVx', 'SU')
('SL04652-2022-11-01-3479','S145-23','sjAOXnHUW', 'SL')
('SL04652-2022-11-01-3481','S146-1','f', 'LB')
('SL22517-2022-11-02-3437','S144-5','xfBIV', 'MB')
('SL22517-2022-11-01-3478','S145-22','vztFOWmxW', 'UB')
('AC04652-2022-11-01-3637','A203-1','lIvKabbfvFBzqeRq', 'LB')
('AC04652-2022-11-01-3638','A203-2','dSxNpQZFKopZvcrQ', 'LB')
('SL12058-2022-11-01-3421','S143-13','P', 'MB')
('AC04652-2022-11-02-3489','A194-15','LxxznZJDI', 'UB')
('SL22517-2022-11-02-3452','S144-20','ccoXNmRV', 'LB')
('SL04652-2022-11-02-3555','S149-3','BMPvfxbnW', 'UB')
('AC04652-2022-11-02-3494','A195-2','VUntvu', 'LB')
('AC22517-2022-11-01-3580','A199-16','fkCCIWlnOQb', 'UB')
('SL22517-2022-11-02-3457','S145-1','T', 'LB')
('AC04652-2022-11-01-3649','A203-13','UwpIXyr', 'LB')
('SL22517-2022-11-01-3497','S146-17','OviScBxCqdkVaor', 'LB')
('AC12058-2022-11-01-3473','A193-17','cbweMhtpYyu', 'SL')
('AC12058-2022-11-01-3496','A195-4','JOziK', 'UB')
('SL22517-2022-11-01-3525','S147-21','wlviI', 'MB')
('AC22517-2022-11-02-3549','A198-3','YITBNoRMIYzUXVnc', 'UB')
('AC12058-2022-11-01-3506','A195-14','yOVzDh', 'LB')
('AC04652-2022-11-01-3674','A205-2','ugyinfeOtlxHS', 'LB')
('AC04652-2022-11-01-3675','A205-3','Jzek', 'UB')
('AC22517-2022-11-01-3627','A202-9','OdWfMuXm', 'UB')
('AC12058-2022-11-01-3518','A196-8','swxFKyItejHZc', 'LB')
('SL04652-2022-11-01-3542','S148-14','F', 'UB')
('SL22517-2022-11-01-3552','S148-24','gRInBYxsFqYvc', 'SU')
('AC04652-2022-11-01-3696','A206-6','WPegjpBlBYxZNpb', 'SU')
('AC22517-2022-11-02-3595','A200-13','OVz', 'LB')
('AC04652-2022-11-02-3561','A198-15','QgaeSHWvxvYeEo', 'UB')
('AC04652-2022-11-02-3562','A198-16','QRl', 'UB')
('SL04652-2022-11-02-3627','S152-3','RVtPkICkOhd', 'UB')
('AC04652-2022-11-02-3564','A198-18','igWuffmns', 'SU')
('AC04652-2022-11-01-3712','A207-4','eBNZhGSbEYgkFcf', 'UB')
('AC04652-2022-11-02-3566','A199-2','FcPjUNQj', 'LB')
('AC12058-2022-11-01-3547','A198-1','PbgtRP', 'LB')
('AC04652-2022-11-01-3718','A207-10','sQNUchjmy', 'UB')
('AC22517-2022-11-01-3667','A204-13','ZOYsqnF', 'LB')
('SL22517-2022-11-01-3584','S150-8','yoIY', 'SU')
('SL04652-2022-11-02-3640','S152-16','JploqtrPCySzIBVx', 'SU')
('SL04652-2022-11-01-3562','S149-10','nSLntQRzcjuIHU', 'MB')
('AC22517-2022-11-02-3644','A203-8','zrvzcGvzeBFHvtMT', 'LB')
('AC04652-2022-11-01-3758','A209-14','gfEQEixwAgydm', 'LB')
('SL22517-2022-11-01-3630','S152-6','PbGStI', 'UB')
('SL04652-2022-11-02-3681','S154-9','jqhRPapYC', 'LB')
('AC12058-2022-11-01-3609','A201-9','YbcdT', 'UB')
('SL12058-2022-11-01-3541','S148-13','zsuMhqQjyi', 'MB')
('SL04652-2022-11-01-3596','S150-20','DuR', 'LB')
('AC04652-2022-11-01-3764','A210-2','WTh', 'LB')
('AC12058-2022-11-01-3611','A201-11','DqSjOwZZGgoU', 'SL')
('SL22517-2022-11-01-3633','S152-9','f', 'LB')
('SL22517-2022-11-02-3570','S149-18','nHQFaTjo', 'MB')
('AC04652-2022-11-02-3642','A203-6','wYdj', 'SU')
('SL04652-2022-11-02-3690','S154-18','RvrRqlEkLPjcV', 'MB')
('AC22517-2022-11-02-3668','A204-14','qGbBgdPghumpCb', 'LB')
('AC22517-2022-11-02-3669','A204-15','AL', 'UB')
('AC22517-2022-11-02-3670','A204-16','PYX', 'UB')
('AC04652-2022-11-01-3780','A210-18','DBaTCoblJnCR', 'SU')
('AC04652-2022-11-02-3648','A203-12','w', 'SU')
('AC22517-2022-11-02-3676','A205-4','kBXnLGfSpDWzx', 'UB')
('SL04652-2022-11-02-3699','S155-3','lRQKaOMaOTTxtIGy', 'UB')
('SL12058-2022-11-01-3559','S149-7','ieAFtzoobX', 'SL')
('AC04652-2022-11-02-3651','A203-15','gNszuMieZMWrxlVu', 'UB')
('SL04652-2022-11-02-3701','S155-5','qNzbZbBdoq', 'MB')
('AC12058-2022-11-01-3637','A203-1','gnmydpYuauhxDyuf', 'LB')
('AC04652-2022-11-01-3789','A211-9','ncUvdokFexE', 'UB')
('AC22517-2022-11-01-3726','A207-18','xolR', 'SU')
('SL12058-2022-11-01-3564','S149-12','Dkl', 'LB')
('SL04652-2022-11-02-3709','S155-13','BOQm', 'MB')
('SL12058-2022-11-01-3568','S149-16','gnFJYUjFFD', 'SU')
('AC22517-2022-11-01-3731','A208-5','czpNjrDZtj', 'SL')
('AC04652-2022-11-01-3797','A211-17','EDiYmISVk', 'SL')
('SL12058-2022-11-01-3570','S149-18','tnNhkgKoLPdaWsex', 'MB')
('SL12058-2022-11-01-3571','S149-19','EZWKaZityFp', 'UB')
('SL12058-2022-11-01-3572','S149-20','FxS', 'LB')
('AC04652-2022-11-01-3811','A212-13','aywgkQ', 'LB')
('SL22517-2022-11-01-3662','S153-14','lkcVWgAbpOjEenj', 'UB')
('SL04652-2022-11-02-3732','S156-12','fbXJduLrK', 'LB')
('SL04652-2022-11-02-3733','S156-13','JUMYgtRGpCvO', 'MB')
('SL12058-2022-11-01-3586','S150-10','yiImfKLzRQki', 'MB')
('AC22517-2022-11-02-3709','A207-1','uoYXHgOKjbCTVDp', 'LB')
('AC12058-2022-11-01-3672','A204-18','oSipktCHXdnSRXV', 'SU')
('SL22517-2022-11-02-3612','S151-12','rG', 'LB')
('AC22517-2022-11-01-3764','A210-2','JmZQao', 'LB')
('SL04652-2022-11-01-3656','S153-8','QsX', 'SU')
('AC12058-2022-11-01-3682','A205-10','zZSNsWGldw', 'UB')
('SL12058-2022-11-01-3598','S150-22','TOoPgDBbt', 'UB')
('AC04652-2022-11-01-3840','A214-6','nSIsfCdWnZf', 'SU')
('SL22517-2022-11-01-3691','S154-19','CUXWhFU', 'UB')
('AC22517-2022-11-01-3771','A210-9','ckMNMSK', 'UB')
('AC04652-2022-11-01-3852','A214-18','eabYlIokQo', 'SU')
('AC12058-2022-11-01-3703','A206-13','UrZbIVqkyhjYsK', 'LB')
('SL22517-2022-11-01-3715','S155-19','szCVftX', 'UB')
('AC22517-2022-11-02-3743','A208-17','akzsh', 'SL')
('SL12058-2022-11-01-3618','S151-18','kJeTbiwjGSZkGk', 'MB')
('SL04652-2022-11-02-3771','S158-3','Mpxw', 'UB')
('AC04652-2022-11-02-3719','A207-11','maUkcHiGmLUac', 'SL')
('SL04652-2022-11-02-3772','S158-4','fcTGOTjE', 'LB')
('SL22517-2022-11-02-3637','S152-13','BklWc', 'MB')
('AC22517-2022-11-01-3798','A211-18','oGxkAj', 'SU')
('SL12058-2022-11-01-3621','S151-21','XFu', 'MB')
('AC12058-2022-11-01-3720','A207-12','gCSRB', 'SU')
('AC04652-2022-11-01-3870','A215-18','FIzmwadpZenfPSZ', 'SU')
('AC04652-2022-11-01-3875','A216-5','DaA', 'SL')
('SL12058-2022-11-01-3638','S152-14','HgCNs', 'UB')
('SL04652-2022-11-02-3786','S158-18','QK', 'MB')
('SL12058-2022-11-01-3641','S152-17','e', 'LB')
('AC12058-2022-11-01-3735','A208-9','accCaAuitk', 'UB')
('AC12058-2022-11-01-3744','A208-18','hVtpLWnBCqbal', 'SU')
('AC22517-2022-11-02-3770','A210-8','CE', 'LB')
('SL22517-2022-11-02-3666','S153-18','OEBPgLXGdMqDY', 'MB')
('AC04652-2022-11-01-3976','A221-16','mwoYNRzNdHgE', 'UB')
('SL12058-2022-11-01-3709','S155-13','OiMp', 'MB')
('SL22517-2022-11-01-3819','S160-3','KeDMpjkQxxrNwsc', 'UB')
('SL04652-2022-11-02-3858','S161-18','AMCntfFJoUzn', 'MB')
('AC12058-2022-11-01-3833','A213-17','NYFlNZodEEM', 'SL')
('SL22517-2022-11-01-3828','S160-12','lbwE', 'LB')
('SL12058-2022-11-01-3718','S155-22','KkVvYSpD', 'UB')
('SL04652-2022-11-01-3794','S159-2','EgWuZwcJaAahnp', 'MB')
('SL04652-2022-11-01-3795','S159-3','omzjHibX', 'UB')
('AC04652-2022-11-01-3985','A222-7','JeRfSkWknq', 'LB')
('SL04652-2022-11-02-3864','S161-24','TrIt', 'SU')
('AC22517-2022-11-01-3908','A218-2','ZuObKYhl', 'LB')
('SL04652-2022-11-02-3865','S162-1','O', 'LB')
('SL22517-2022-11-01-3831','S160-15','kQwHcGHjE', 'SL')
('AC12058-2022-11-01-3836','A214-2','sBRhMncFQkJk', 'LB')
('AC22517-2022-11-02-3859','A215-7','QCUlh', 'LB')
('AC12058-2022-11-01-3841','A214-7','xpymdQdxEbSrrXYU', 'LB')
('AC04652-2022-11-01-4130','A230-8','csqo', 'LB')
('SL04652-2022-11-02-3990','S167-6','jFKS', 'UB')
('AC04652-2022-11-01-4131','A230-9','czlrjPGhZd', 'UB')
('AC22517-2022-11-02-3972','A221-12','HOYcFuaBYnnfn', 'SU')
('SL22517-2022-11-01-3948','S165-12','GqjFKonNJ', 'LB')
('SL12058-2022-11-01-3849','S161-9','acziyCdnK', 'LB')
('AC04652-2022-11-02-3985','A222-7','SkjrFYWWOKKYluS', 'LB')
('SL04652-2022-11-02-4006','S167-22','YcLLk', 'UB')
('SL04652-2022-11-01-3931','S164-19','TsGLqtTMjFFFQMR', 'UB')
('SL04652-2022-11-01-3932','S164-20','dAzrxLF', 'LB')
('AC22517-2022-11-02-3977','A221-17','ydBhbkH', 'SL')
('SL12058-2022-11-01-3858','S161-18','yCkYxBTu', 'MB')
('AC04652-2022-11-01-4147','A231-7','FYyIqGiQrDXXsY', 'LB')
('AC22517-2022-11-01-4058','A226-8','JlNWAJZHx', 'LB')
('AC04652-2022-11-01-4156','A231-16','CbBOEmu', 'UB')
('SL04652-2022-11-01-3938','S165-2','LaDpuahGpnmlTE', 'MB')
('AC22517-2022-11-02-3986','A222-8','XKwW', 'LB')
('SL12058-2022-11-01-3868','S162-4','KSkS', 'LB')
('SL04652-2022-11-02-4021','S168-13','mdqQeMQEVSIPBjz', 'MB')
('SL12058-2022-11-01-3870','S162-6','EnOYkepgCIhnXy', 'UB')
('SL22517-2022-11-02-3910','S163-22','PtXl', 'UB')
('AC12058-2022-11-01-4006','A223-10','B', 'UB')
('AC04652-2022-11-01-4170','A232-12','DyTTDJShUh', 'SU')
('AC12058-2022-11-01-4010','A223-14','jBen', 'LB')
('AC04652-2022-11-01-4174','A232-16','vbftyrdv', 'UB')
('SL04652-2022-11-02-4036','S169-4','ZZhXlXnawyAAwzif', 'LB')
('SL04652-2022-11-01-3960','S165-24','V', 'SU')
('SL12058-2022-11-01-3885','S162-21','NBdaNjwgHwrJdSU', 'MB')
('SL22517-2022-11-02-3932','S164-20','YzI', 'LB')
('SL12058-2022-11-01-3892','S163-4','csoNUBBtJiMaDW', 'LB')
('AC04652-2022-11-01-4226','A235-14','JiBH', 'LB')
('AC04652-2022-11-02-4081','A227-13','mlqRpEUEsCBFFv', 'LB')
('AC04652-2022-11-01-4249','A237-1','DOWTTGlaqLFB', 'LB')
('AC22517-2022-11-01-4144','A231-4','AKorVwZyAUupA', 'UB')
('SL22517-2022-11-01-4057','S170-1','tGn', 'LB')
('AC04652-2022-11-01-4253','A237-5','hOZiOkhH', 'SL')
('AC12058-2022-11-01-4088','A228-2','ycEJuFvn', 'LB')
('AC04652-2022-11-01-4254','A237-6','JT', 'SU')
('SL04652-2022-11-01-4023','S168-15','v', 'SL')
('SL12058-2022-11-01-3956','S165-20','NdgHFAmN', 'LB')
('AC22517-2022-11-01-4152','A231-12','xktoQaMiHn', 'SU')
('SL12058-2022-11-01-3958','S165-22','AEat', 'UB')
('SL12058-2022-11-01-3959','S165-23','otSjgsk', 'SL')
('AC04652-2022-11-01-4262','A237-14','fdzJKUYnKd', 'LB')
('AC22517-2022-11-02-4076','A227-8','iJEKFqi', 'LB')
('SL22517-2022-11-02-3999','S167-15','ZWzhXOFFn', 'SL')
('SL04652-2022-11-01-4029','S168-21','Ifi', 'MB')
('AC12058-2022-11-01-4098','A228-12','FfrjAgyYKdI', 'SU')
('SL22517-2022-11-01-4067','S170-11','DnmsqSFgLKyJQOm', 'UB')
('AC12058-2022-11-01-4107','A229-3','Xj', 'UB')
('AC04652-2022-11-01-4275','A238-9','oNcVRMJfuI', 'UB')
('SL04652-2022-11-01-4041','S169-9','AHE', 'LB')
('SL04652-2022-11-01-4044','S169-12','LVMONTJlT', 'LB')
('AC04652-2022-11-02-4120','A229-16','cxEAHOoahVOoJrae', 'UB')
('AC22517-2022-11-01-4176','A232-18','F', 'SU')
('SL22517-2022-11-01-4087','S171-7','qgFhnYnBNsYv', 'SL')
('SL22517-2022-11-01-4088','S171-8','PkqWfTutzfMA', 'SU')
('AC22517-2022-11-01-4193','A233-17','WVb', 'SL')
('AC04652-2022-11-02-4137','A230-15','JNVBpxxbHLfB', 'UB')
('AC04652-2022-11-02-4138','A230-16','xtSqnMS', 'UB')
('SL04652-2022-11-02-4126','S172-22','agxfoWzAJUBoUUyP', 'UB')
('SL22517-2022-11-02-4037','S169-5','bLzOtOjZps', 'MB')
('AC12058-2022-11-01-4132','A230-10','YaOpsvAKXsCq', 'UB')
('AC04652-2022-11-02-4143','A231-3','GCMSmU', 'UB')
('SL04652-2022-11-02-4183','S175-7','TJrJwE', 'SL')
('AC12058-2022-11-01-4180','A233-4','keMmMxvWTihjgD', 'UB')
('AC22517-2022-11-01-4261','A237-13','V', 'LB')
('AC12058-2022-11-01-4211','A234-17','ef', 'SL')
('SL12058-2022-11-01-4080','S170-24','ZTIiMeHappeS', 'SU')
('AC12058-2022-11-01-4214','A235-2','Hh', 'LB')
('SL22517-2022-11-02-4124','S172-20','Bm', 'LB')
('AC12058-2022-11-01-4216','A235-4','YgebuNVxkOQkad', 'UB')
('AC22517-2022-11-01-4286','A239-2','w', 'LB')
('SL22517-2022-11-01-4195','S175-19','EqIObuGdujjATSQ', 'UB')
('AC22517-2022-11-01-4309','A240-7','JGUhxQHWx', 'LB')
('SL04652-2022-11-01-4184','S175-8','auqmA', 'SU')
('SL04652-2022-11-02-4247','S177-23','iNQlA', 'SL')
('SL04652-2022-11-01-4186','S175-10','cwaVlKTqEKC', 'MB')
('AC04652-2022-11-01-4424','A246-14','PeJgFAYotjg', 'LB')
('AC04652-2022-11-02-4260','A237-12','uyGCxomPAB', 'SU')
('AC22517-2022-11-01-4427','A246-17','FOPxtZUVPQkTMPD', 'SL')
('AC04652-2022-11-02-4371','A243-15','UmhczBvq', 'UB')
('AC04652-2022-11-01-4530','A252-12','fWEvxLwsKt', 'SU')
('AC04652-2022-11-02-4440','A247-12','JiS', 'SU')
('SL04652-2022-11-01-4354','S182-10','WADQtAmVJl', 'MB')
('AC12058-2022-11-01-4426','A246-16','hUIwNWVvN', 'UB')
('SL22517-2022-11-02-4324','S181-4','pnyYISRMw', 'LB')
('AC22517-2022-11-01-4489','A250-7','PzjLDKNjZpNw', 'LB')
('SL22517-2022-11-01-4380','S183-12','cGUPEGcm', 'LB')
('AC04652-2022-11-01-4602','A256-12','penLlmkJyzHtO', 'SU')
('SL04652-2022-11-01-4367','S182-23','dNETqpEu', 'SL')
('AC12058-2022-11-01-4445','A247-17','GgJ', 'SL')
('SL22517-2022-11-02-4339','S181-19','mOcDzcmbyLoCLOMP', 'UB')
('SL04652-2022-11-01-4371','S183-3','AvmJmkSoK', 'UB')
('SL22517-2022-11-02-4344','S181-24','SyVbswuxgiqMHe', 'SU')
('SL04652-2022-11-02-4454','S186-14','qSzN', 'UB')
('SL22517-2022-11-01-4474','S187-10','zvCeOuYjlsPT', 'MB')
('SL12058-2022-11-01-4428','S185-12','o', 'LB')
('SL04652-2022-11-01-4474','S187-10','PWBIYzBWFevYVS', 'MB')
('SL12058-2022-11-01-4434','S185-18','CGYcwsCs', 'MB')
('AC22517-2022-11-02-4578','A255-6','mExTNOCZFkSpbCcC', 'SU')
('AC12058-2022-11-01-4554','A253-18','PCbjPbSwDQVORB', 'SU')
('AC12058-2022-11-01-4555','A254-1','ChoCUTY', 'LB')
('AC22517-2022-11-02-4585','A255-13','xVbHSQwGGWt', 'LB')
('AC12058-2022-11-01-4557','A254-3','VKuXcWRu', 'UB')
('SL12058-2022-11-01-4440','S185-24','pgSneJxwVuV', 'SU')
('SL04652-2022-11-02-4533','S189-21','szMX', 'MB')
('SL04652-2022-11-01-4524','S189-12','MifOwqcYxURGWWc', 'LB')
('SL22517-2022-11-02-4487','S187-23','z', 'SL')
('SL04652-2022-11-02-4578','S191-18','t', 'MB')
('AC04652-2022-11-01-4784','A266-14','FuMEn', 'LB')
('SL12058-2022-11-01-4490','S188-2','SAlNKfy', 'MB')
('SL04652-2022-11-01-4539','S190-3','yM', 'UB')
('SL22517-2022-11-01-4535','S189-23','t', 'SL')
('AC22517-2022-11-02-4711','A262-13','qWbRztGxH', 'LB')
('SL22517-2022-11-02-4573','S191-13','bKljlBQxxsf', 'MB')
('AC04652-2022-11-02-4683','A261-3','kPSfDPfnMaBTX', 'UB')
('SL22517-2022-11-01-4604','S192-20','faZwOub', 'LB')
('AC04652-2022-11-01-4950','A275-18','ZFoDw', 'SU')
('SL04652-2022-11-02-4708','S197-4','yEGhoEqHkL', 'LB')
('SL22517-2022-11-02-4673','S195-17','ixwVFFQbaFjFBDBV', 'LB')
('SL12058-2022-11-01-4679','S195-23','Nf', 'SL')
('SL04652-2022-11-01-4717','S197-13','gjZRPdBjNRA', 'MB')
('SL04652-2022-11-01-4718','S197-14','dekv', 'UB')
('AC22517-2022-11-01-4811','A268-5','QnJjyxuQfan', 'SL')
('SL04652-2022-11-01-4720','S197-16','SC', 'SU')
('AC12058-2022-11-01-4799','A267-11','CmmEdhTUmXzhPOwO', 'SL')
('SL22517-2022-11-01-4709','S197-5','XMOzmnyGcWlxQcho', 'MB')
('SL12058-2022-11-01-4711','S197-7','gXHCi', 'SL')
('AC04652-2022-11-02-4824','A268-18','Yz', 'SU')
('AC22517-2022-11-01-4848','A270-6','mLfxGJHDfMYew', 'SU')
('AC04652-2022-11-02-4827','A269-3','UvEsXjqkIQZku', 'UB')
('AC22517-2022-11-02-4876','A271-16','vzjycaUkz', 'UB')
('AC04652-2022-11-02-4832','A269-8','KGzeu', 'LB')
('AC22517-2022-11-01-4852','A270-10','TnrHRLihulLZ', 'UB')
('AC04652-2022-11-01-5171','A288-5','ELWKkTiU', 'SL')
('SL12058-2022-11-01-4834','S202-10','cKfOqpKcfE', 'MB')
('SL04652-2022-11-01-4889','S204-17','qOJfzqUCTPOTn', 'LB')
('AC04652-2022-11-02-4974','A277-6','yWhVscNxdw', 'SU')
('AC04652-2022-11-02-4975','A277-7','n', 'LB')
('AC22517-2022-11-01-4960','A276-10','CqNUEdOuDz', 'UB')
('AC22517-2022-11-01-4961','A276-11','Qgkdb', 'SL')
('SL12058-2022-11-01-4840','S202-16','M', 'SU')
('AC22517-2022-11-01-4962','A276-12','f', 'SU')
('SL12058-2022-11-01-4841','S202-17','bZdROnTn', 'LB')
('SL12058-2022-11-01-4842','S202-18','clYxsxW', 'MB')
('SL04652-2022-11-02-4906','S205-10','kIdEk', 'MB')
('AC22517-2022-11-01-4967','A276-17','fUZQOmUWi', 'SL')
('AC04652-2022-11-01-5180','A288-14','uorzNlyHYvHribH', 'LB')
('SL04652-2022-11-01-4896','S204-24','KlAGYryl', 'SU')
('AC22517-2022-11-01-4971','A277-3','hBDoXbz', 'UB')
('AC22517-2022-11-01-4972','A277-4','RXonPbobjolKqot', 'UB')
('AC12058-2022-11-01-4955','A276-5','PwP', 'SL')
('AC12058-2022-11-01-4959','A276-9','RFuEktpg', 'UB')
('AC22517-2022-11-02-5013','A279-9','lnqQqYPqpKVFBOji', 'UB')
('SL22517-2022-11-01-4868','S203-20','SknaQOckfzjPIe', 'LB')
('AC22517-2022-11-02-5014','A279-10','UJgvSzfuwcMzHXp', 'UB')
('SL22517-2022-11-02-4874','S204-2','XE', 'MB')
('AC22517-2022-11-01-4980','A277-12','NIUYlTWzEen', 'SU')
('SL22517-2022-11-02-4876','S204-4','cBoHuv', 'LB')
('SL22517-2022-11-01-4872','S203-24','erkEvDzHVRjAEHop', 'SU')
('SL04652-2022-11-02-4921','S206-1','G', 'LB')
('AC04652-2022-11-01-5194','A289-10','LtiKFBQVgVt', 'UB')
('SL22517-2022-11-02-4896','S204-24','sSfsaCbRxJfn', 'SU')
('AC04652-2022-11-02-5023','A280-1','AilzCY', 'LB')
('SL04652-2022-11-02-4941','S206-21','vFL', 'MB')
('SL04652-2022-11-01-4924','S206-4','HCpdidQVKdMTAIWR', 'LB')
('AC12058-2022-11-01-4984','A277-16','Yar', 'UB')
('AC04652-2022-11-01-5223','A291-3','xvQXkNOuaMtu', 'UB')
('SL12058-2022-11-01-4868','S203-20','JF', 'LB')
('AC04652-2022-11-01-5229','A291-9','TKeHqLHOpZPemcxn', 'UB')
('SL04652-2022-11-01-4932','S206-12','nmNSjuJrjgHpfps', 'LB')
('AC04652-2022-11-02-5053','A281-13','xMJ', 'LB')
('SL22517-2022-11-02-4932','S206-12','MyezhmJV', 'LB')
('SL04652-2022-11-02-4969','S208-1','a', 'LB')
('SL22517-2022-11-02-4939','S206-19','wPmDIbVFg', 'UB')
('SL04652-2022-11-02-4975','S208-7','Xbx', 'SL')
('AC04652-2022-11-01-5257','A293-1','wBBMVKoRrzHqtML', 'LB')
('SL04652-2022-11-02-5035','S210-19','tUf', 'UB')
('SL22517-2022-11-01-5008','S209-16','swFmfPbT', 'SU')
('SL04652-2022-11-02-5078','S212-14','gzxgiqYdrjMqH', 'UB')
('AC12058-2022-11-01-5112','A284-18','kvTzXE', 'SU')
('AC12058-2022-11-01-5113','A285-1','yZZssZss', 'LB')
('AC22517-2022-11-02-5187','A289-3','NbQgqgZcN', 'UB')
('AC22517-2022-11-01-5148','A286-18','OAQLRTRdCBB', 'SU')
('SL22517-2022-11-02-5067','S212-3','EXuJR', 'UB')
('AC04652-2022-11-01-5377','A299-13','MirXNzy', 'LB')
('SL22517-2022-11-01-5048','S211-8','lOmFZRY', 'SU')
('SL22517-2022-11-02-5119','S214-7','qEvUX', 'SL')
('SL04652-2022-11-01-5110','S213-22','bmzsFnXumX', 'UB')
('SL22517-2022-11-01-5082','S212-18','geyvuDBqnyd', 'MB')
('AC04652-2022-11-01-5418','A301-18','UOBa', 'SU')
('AC04652-2022-11-02-5236','A291-16','l', 'UB')
('SL04652-2022-11-02-5155','S215-19','ahfzWEoly', 'UB')
('AC12058-2022-11-01-5201','A289-17','TM', 'SL')
('SL04652-2022-11-02-5170','S216-10','gjtQgqAjRM', 'MB')
('AC04652-2022-11-02-5244','A292-6','lwOioMPyP', 'SU')
('AC22517-2022-11-01-5216','A290-14','HGYGXYx', 'LB')
('SL04652-2022-11-01-5128','S214-16','DRdrqjpPSsYx', 'SU')
('SL12058-2022-11-01-5066','S212-2','bVqVmNodW', 'MB')
('SL04652-2022-11-01-5132','S214-20','tPzWmjvoIAf', 'LB')
('SL22517-2022-11-02-5144','S215-8','nqK', 'SU')
('AC04652-2022-11-01-5446','A303-10','fbvGEMVZZRkJOfT', 'UB')
('AC04652-2022-11-02-5254','A292-16','b', 'UB')
('SL04652-2022-11-02-5187','S217-3','DkxQVzMRxrjGX', 'UB')
('SL12058-2022-11-01-5089','S213-1','B', 'LB')
('AC04652-2022-11-01-5458','A304-4','dWrZujmgh', 'UB')
('AC04652-2022-11-01-5461','A304-7','lfIpguXqXsoj', 'LB')
('SL04652-2022-11-01-5159','S215-23','IfBxK', 'SL')
('AC22517-2022-11-02-5286','A294-12','aL', 'SU')
('AC22517-2022-11-01-5253','A292-15','jSaDocSOnpm', 'UB')
('SL22517-2022-11-01-5171','S216-11','jhT', 'UB')
('SL22517-2022-11-01-5172','S216-12','Wi', 'LB')
('AC04652-2022-11-02-5321','A296-11','Iszm', 'SL')
('SL22517-2022-11-01-5174','S216-14','anLOi', 'UB')
('AC04652-2022-11-02-5347','A298-1','oNcIFiHsGxzdFJ', 'LB')
('SL04652-2022-11-02-5269','S220-13','pAodbWUJu', 'MB')
('SL22517-2022-11-02-5225','S218-17','EtpORoZEPmznNwY', 'LB')
('AC12058-2022-11-01-5299','A295-7','ZQHhf', 'LB')
('AC04652-2022-11-02-5352','A298-6','ORWyfSlHo', 'SU')
('AC22517-2022-11-02-5351','A298-5','cFYiKWnq', 'SL')
('SL22517-2022-11-01-5203','S217-19','FiQjZdEipASjBGAj', 'UB')
('AC22517-2022-11-02-5353','A298-7','HYOyIy', 'LB')
('AC22517-2022-11-01-5325','A296-15','Ipa', 'UB')
('AC12058-2022-11-01-5306','A295-14','vxqwtZEnfxf', 'LB')
('AC22517-2022-11-02-5405','A301-5','KUdYnyFHtlX', 'SL')
('AC22517-2022-11-01-5366','A299-2','pcIsBgxJh', 'LB')
('AC04652-2022-11-02-5484','A305-12','cgsisuGmgkDLd', 'SU')
('SL04652-2022-11-01-5340','S223-12','eYzlWXQcKRexbH', 'LB')
('SL22517-2022-11-01-5322','S222-18','VEWONZrfEol', 'MB')
('SL04652-2022-11-02-5410','S226-10','GpeDzbwhMeqzr', 'MB')
('AC22517-2022-11-02-5504','A306-14','SwhdDLWXGJZw', 'LB')
('AC04652-2022-11-01-5688','A316-18','sjrZKSPCRnaz', 'SU')
('AC22517-2022-11-02-5506','A306-16','karlZGDHQKyAxrT', 'UB')
('SL04652-2022-11-01-5360','S224-8','pwGZwGMSMleE', 'SU')
('SL22517-2022-11-01-5399','S225-23','IGCGJ', 'SL')
('SL22517-2022-11-02-5445','S227-21','JrxxeHJdVjG', 'MB')
