('AC22517-2022-11-02-6895','A384-1','JbfwnAZTarnl', 'LB')
('AC22517-2022-11-01-7193','A400-11','xFnAmdoN', 'SL')
('SL22517-2022-11-02-7388','S308-20','YhFQtEFGHyvFKQ', 'LB')
('AC12058-2022-11-01-7148','A398-2','lkqTgRpY', 'LB')
('AC04652-2022-11-02-7313','A407-5','lroDyfVDjjfmnuS', 'SL')
('SL04652-2022-11-02-7181','S300-5','LMwnHKTBbIk', 'MB')
('SL22517-2022-11-01-7230','S302-6','V', 'UB')
('AC04652-2022-11-02-7315','A407-7','xTDWaxHCuXWOtmUa', 'LB')
('AC22517-2022-11-02-7329','A408-3','TqVDqsMuYbTwArk', 'UB')
('AC22517-2022-11-01-7196','A400-14','AXRWLVoxqvrVAgZH', 'LB')
('SL04652-2022-11-02-7182','S300-6','yhjxtVSxAbUfuMU', 'UB')
('SL12058-2022-11-01-7191','S300-15','SgaihkGXXhbNrIG', 'SL')
('AC22517-2022-11-01-7199','A400-17','xt', 'SL')
('AC04652-2022-11-01-7261','A404-7','vVO', 'LB')
('SL04652-2022-11-01-7336','S306-16','NL', 'SU')
('SL22517-2022-11-01-7231','S302-7','Z', 'SL')
('SL04652-2022-11-02-7184','S300-8','fU', 'SU')
('AC04652-2022-11-01-7263','A404-9','UjslX', 'UB')
('AC22517-2022-11-01-7201','A401-1','UFlxoBXxs', 'LB')
('AC12058-2022-11-01-7155','A398-9','ledIjPNA', 'UB')
('SL12058-2022-11-01-7195','S300-19','Ir', 'UB')
('AC04652-2022-11-02-7323','A407-15','ZjQntLrjfcFXKPgD', 'UB')
('AC22517-2022-11-01-7204','A401-4','JPolh', 'UB')
('SL22517-2022-11-01-7233','S302-9','PDQgKAjbXlzf', 'LB')
('AC04652-2022-11-02-7325','A407-17','JFVYmcYTGRfn', 'SL')
('SL04652-2022-11-01-7339','S306-19','pmcoYpNhiCjB', 'UB')
('AC04652-2022-11-02-7326','A407-18','a', 'SU')
('SL04652-2022-11-01-7340','S306-20','wICCZzHZPfTJJ', 'LB')
('SL22517-2022-11-02-7400','S309-8','IJkyWq', 'SU')
('AC04652-2022-11-01-7268','A404-14','lHdFRIvUSOBud', 'LB')
('SL22517-2022-11-02-7402','S309-10','lxzYzWCgArgQ', 'MB')
('SL22517-2022-11-02-7405','S309-13','ciQmSyPvKJPFxyw', 'MB')
('AC22517-2022-11-02-7345','A409-1','XjGaInsokYHo', 'LB')
('SL04652-2022-11-01-7343','S306-23','KrRHxJJt', 'SL')
('AC12058-2022-11-01-7161','A398-15','Kgwf', 'UB')
('AC12058-2022-11-01-7162','A398-16','UFSkh', 'UB')
('SL22517-2022-11-02-7409','S309-17','OmcwJczqelp', 'LB')
('SL12058-2022-11-01-7202','S301-2','ohCueddnIDSUn', 'MB')
('AC04652-2022-11-02-7328','A408-2','JNhpqanvk', 'LB')
('AC04652-2022-11-01-7273','A405-1','yPvAVH', 'LB')
('AC22517-2022-11-02-7349','A409-5','YFNxYstnJRKs', 'SL')
('SL22517-2022-11-01-7243','S302-19','WWaliij', 'UB')
('AC12058-2022-11-01-7166','A399-2','LRyJmcP', 'LB')
('AC12058-2022-11-01-7167','A399-3','dROh', 'UB')
('AC04652-2022-11-01-7276','A405-4','kfvjiTom', 'UB')
('SL22517-2022-11-02-7414','S309-22','evaSRuz', 'UB')
('SL12058-2022-11-01-7207','S301-7','btRK', 'SL')
('SL04652-2022-11-01-7349','S307-5','PuJnCKdZhAhFEpKa', 'MB')
('AC12058-2022-11-01-7169','A399-5','XkUOjtv', 'SL')
('AC12058-2022-11-01-7170','A399-6','rwEbG', 'SU')
('AC04652-2022-11-02-7335','A408-9','yXG', 'UB')
('AC12058-2022-11-01-7174','A399-10','SCasQDD', 'UB')
('AC12058-2022-11-01-7175','A399-11','JpqenLfMMJHXO', 'SL')
('AC04652-2022-11-01-7289','A405-17','FlGSJGdjeLfdQzAV', 'SL')
('AC22517-2022-11-01-7218','A401-18','JtC', 'SU')
('AC04652-2022-11-01-7291','A406-1','YEhxcBQDxTOsNP', 'LB')
('AC04652-2022-11-01-7292','A406-2','slrhbe', 'LB')
('AC04652-2022-11-01-7293','A406-3','QHppMcyYRqi', 'UB')
('SL04652-2022-11-02-7201','S301-1','CQev', 'LB')
('AC04652-2022-11-02-7339','A408-13','gfhoOPRCnEqpve', 'LB')
('AC22517-2022-11-01-7221','A402-3','wSlawe', 'UB')
('AC22517-2022-11-01-7222','A402-4','idPq', 'UB')
('SL04652-2022-11-02-7203','S301-3','OXoJ', 'UB')
('AC22517-2022-11-01-7223','A402-5','aaaVfXFalljOFro', 'SL')
('SL12058-2022-11-01-7216','S301-16','xpFkpxHbzpUh', 'SU')
('AC12058-2022-11-01-7182','A399-18','XjpgS', 'SU')
('SL04652-2022-11-02-7209','S301-9','BuGHrbIvbiot', 'LB')
('AC04652-2022-11-02-7341','A408-15','jhe', 'UB')
('SL12058-2022-11-01-7219','S301-19','WvuIuv', 'UB')
('AC04652-2022-11-01-7298','A406-8','L', 'LB')
('AC22517-2022-11-02-7361','A409-17','aS', 'SL')
('AC22517-2022-11-01-7228','A402-10','PJQOLN', 'UB')
('SL04652-2022-11-02-7213','S301-13','PgfDCtvWLeDUePo', 'MB')
('SL04652-2022-11-02-7214','S301-14','yvgknAIEy', 'UB')
('AC04652-2022-11-01-7299','A406-9','QGTGNx', 'UB')
('SL12058-2022-11-01-7223','S301-23','ROhegMWLGDqe', 'SL')
('AC22517-2022-11-02-7364','A410-2','W', 'LB')
('AC04652-2022-11-02-7346','A409-2','PNsGH', 'LB')
('SL04652-2022-11-02-7215','S301-15','yPqwXLHhGw', 'SL')
('AC22517-2022-11-01-7229','A402-11','WjUPEtiR', 'SL')
('SL04652-2022-11-02-7216','S301-16','qPsdPbwOWKUaNzh', 'SU')
('SL22517-2022-11-01-7260','S303-12','AxcT', 'LB')
('AC22517-2022-11-02-7368','A410-6','hNGepvGZEyb', 'SU')
('SL12058-2022-11-01-7230','S302-6','VhkVITMOFPHtfAEO', 'UB')
('AC22517-2022-11-02-7369','A410-7','TMVc', 'LB')
('SL04652-2022-11-02-7217','S301-17','gLS', 'LB')
('AC22517-2022-11-01-7236','A402-18','cyEs', 'SU')
('AC22517-2022-11-02-7370','A410-8','hzMlUChlncGwdjs', 'LB')
('AC22517-2022-11-02-7371','A410-9','fbfNDqavSBWTomf', 'UB')
('SL04652-2022-11-01-7373','S308-5','su', 'MB')
('SL04652-2022-11-01-7374','S308-6','PopahBSKCLfERsrv', 'UB')
('AC04652-2022-11-02-7355','A409-11','JvxrS', 'SL')
('AC04652-2022-11-02-7356','A409-12','wlIkQWsjnhqem', 'SU')
('SL12058-2022-11-01-7236','S302-12','PfKMJH', 'LB')
('SL22517-2022-11-01-7266','S303-18','iRyhogIHRNNE', 'MB')
('SL22517-2022-11-01-7268','S303-20','YJbNsdMCCJwSn', 'LB')
('AC22517-2022-11-02-7377','A410-15','FhJhVsNe', 'UB')
('SL04652-2022-11-02-7226','S302-2','FXHoapnciy', 'MB')
('SL22517-2022-11-01-7270','S303-22','vRAJ', 'UB')
('SL22517-2022-11-02-7429','S310-13','ku', 'MB')
('SL04652-2022-11-02-7229','S302-5','DkJHC', 'MB')
('AC04652-2022-11-01-7305','A406-15','GtSzGWIyHvAb', 'UB')
('SL22517-2022-11-01-7272','S303-24','DCdZRza', 'SU')
('AC04652-2022-11-01-7306','A406-16','LdKaafBstsfsh', 'UB')
('SL22517-2022-11-02-7432','S310-16','TFTf', 'SU')
('AC22517-2022-11-01-7246','A403-10','PUBolY', 'UB')
('SL04652-2022-11-02-7232','S302-8','TllipNnaAyOKUXu', 'SU')
('AC22517-2022-11-02-7381','A411-1','etHTLg', 'LB')
('AC04652-2022-11-02-7362','A409-18','C', 'SU')
('AC22517-2022-11-01-7249','A403-13','XOoWLQyLtwfvsL', 'LB')
('SL04652-2022-11-02-7233','S302-9','JBCEfQXIPcx', 'LB')
('SL12058-2022-11-01-7242','S302-18','YUVm', 'MB')
('AC22517-2022-11-01-7252','A403-16','rYjPOjOdzleWHLvF', 'UB')
('SL12058-2022-11-01-7243','S302-19','ZVmySfnIx', 'UB')
('SL04652-2022-11-02-7235','S302-11','pRmAqxqqEKc', 'UB')
('AC22517-2022-11-01-7254','A403-18','AhGfijHwCPGLJJ', 'SU')
('SL04652-2022-11-02-7237','S302-13','a', 'MB')
('AC04652-2022-11-02-7366','A410-4','ptePbMiBVjNBR', 'UB')
('AC04652-2022-11-02-7367','A410-5','daspcJBmqawRv', 'SL')
('AC04652-2022-11-02-7368','A410-6','lyOM', 'SU')
('AC12058-2022-11-01-7197','A400-15','HmwZyMmbvwfRJhFl', 'UB')
('AC22517-2022-11-01-7256','A404-2','doLJv', 'LB')
('AC04652-2022-11-01-7311','A407-3','AULzwOZyU', 'UB')
('AC12058-2022-11-01-7200','A400-18','gLXtiOHrIF', 'SU')
('SL22517-2022-11-02-7440','S310-24','BrEsMSX', 'SU')
('AC04652-2022-11-01-7312','A407-4','FhzsDNRNAFBqnL', 'UB')
('AC04652-2022-11-02-7371','A410-9','dfvoXcmJVgFDwU', 'UB')
('AC04652-2022-11-01-7313','A407-5','djqwNIVLEASOD', 'SL')
('AC04652-2022-11-02-7372','A410-10','wtQ', 'UB')
('SL04652-2022-11-01-7390','S308-22','cVrNIC', 'UB')
('AC04652-2022-11-01-7314','A407-6','pxEUqNxTJCspU', 'SU')
('SL22517-2022-11-02-7444','S311-4','jDfTVIlJzsW', 'LB')
('AC12058-2022-11-01-7206','A401-6','ePwbLlqVJGzsGXU', 'SU')
('SL12058-2022-11-01-7246','S302-22','qUqYhoBxpzXzvoQM', 'UB')
('SL22517-2022-11-01-7277','S304-5','uU', 'MB')
('AC22517-2022-11-02-7390','A411-10','hdISWIaw', 'UB')
('AC04652-2022-11-02-7376','A410-14','WM', 'LB')
('AC04652-2022-11-02-7377','A410-15','unerxcTVKXkuO', 'UB')
('SL12058-2022-11-01-7249','S303-1','VMtH', 'LB')
('SL12058-2022-11-01-7250','S303-2','eyCE', 'MB')
('SL12058-2022-11-01-7252','S303-4','SbNjbVWORvfkGa', 'LB')
('SL04652-2022-11-01-7396','S309-4','OYiOgnYUki', 'LB')
('SL04652-2022-11-02-7244','S302-20','OmgMuINdf', 'LB')
('AC04652-2022-11-02-7382','A411-2','SlMG', 'LB')
('AC04652-2022-11-02-7383','A411-3','cKz', 'UB')
('AC22517-2022-11-02-7393','A411-13','jxCQSlKMAkAWM', 'LB')
('SL12058-2022-11-01-7257','S303-9','AlANafwKHUDK', 'LB')
('AC22517-2022-11-02-7394','A411-14','DSXG', 'LB')
('SL22517-2022-11-02-7454','S311-14','ttvBgmlDAZJZpXl', 'UB')
('SL22517-2022-11-01-7291','S304-19','CVvpKsMYDOSbhgw', 'UB')
('SL04652-2022-11-01-7403','S309-11','pgJKrnwFJQffmGE', 'UB')
('SL12058-2022-11-01-7260','S303-12','JGiYANBvHNyw', 'LB')
('SL04652-2022-11-01-7404','S309-12','TL', 'LB')
('AC12058-2022-11-01-7215','A401-15','phtzTbgODNWFAsl', 'UB')
('AC22517-2022-11-02-7398','A411-18','hzNJNt', 'SU')
('SL04652-2022-11-01-7406','S309-14','Wza', 'UB')
('SL04652-2022-11-01-7407','S309-15','N', 'SL')
('SL22517-2022-11-01-7293','S304-21','ynYcaORjqG', 'MB')
('SL12058-2022-11-01-7263','S303-15','qbSnkvbg', 'SL')
('AC22517-2022-11-02-7400','A412-2','azBFORduBEq', 'LB')
('SL22517-2022-11-01-7294','S304-22','cp', 'UB')
('AC04652-2022-11-02-7391','A411-11','WyJxxWzTU', 'SL')
('SL22517-2022-11-02-7460','S311-20','sWIcGJXSixB', 'LB')
('AC12058-2022-11-01-7219','A402-1','rLGh', 'LB')
('SL04652-2022-11-02-7255','S303-7','PSpIYBOXAuO', 'SL')
('SL04652-2022-11-02-7258','S303-10','hBpk', 'MB')
('SL22517-2022-11-01-7297','S305-1','uTHmnuHA', 'LB')
('SL22517-2022-11-01-7298','S305-2','SSBzyr', 'MB')
('AC12058-2022-11-01-7220','A402-2','NQR', 'LB')
('AC04652-2022-11-01-7328','A408-2','BAWbTS', 'LB')
('SL04652-2022-11-01-7412','S309-20','L', 'LB')
('SL12058-2022-11-01-7271','S303-23','auIvtOEGxf', 'SL')
('AC04652-2022-11-01-7329','A408-3','GdV', 'UB')
('SL22517-2022-11-02-7466','S312-2','YuSnXTpgvchCAxr', 'MB')
('SL12058-2022-11-01-7274','S304-2','Ijcywuex', 'MB')
('SL22517-2022-11-01-7303','S305-7','wUEkOGbxLsMHDp', 'SL')
('SL12058-2022-11-01-7275','S304-3','DOyiHXWUnn', 'UB')
('SL04652-2022-11-01-7415','S309-23','yTCbnaylhYJkIFcV', 'SL')
('AC22517-2022-11-01-7287','A405-15','SoCsYf', 'UB')
('AC22517-2022-11-01-7288','A405-16','s', 'UB')
('AC12058-2022-11-01-7231','A402-13','ZQvdnpiDRBak', 'LB')
('SL12058-2022-11-01-7277','S304-5','WMqEmoeoHPm', 'MB')
('AC22517-2022-11-01-7291','A406-1','jjkxRWJmExfMI', 'LB')
('AC22517-2022-11-02-7411','A412-13','BwQrzvgQXUaUaYMk', 'LB')
('AC04652-2022-11-02-7398','A411-18','bXN', 'SU')
('AC04652-2022-11-01-7335','A408-9','HFtDCVfqYUXftUZ', 'UB')
('AC22517-2022-11-01-7293','A406-3','PsLInWFIYiPBEJtK', 'UB')
('SL22517-2022-11-02-7471','S312-7','iSVREQJXjYXYj', 'SL')
('SL04652-2022-11-01-7424','S310-8','yGowJDQz', 'SU')
('SL22517-2022-11-01-7312','S305-16','rvCCCX', 'SU')
('SL22517-2022-11-01-7314','S305-18','gnnxEtiWMWn', 'MB')
('SL12058-2022-11-01-7280','S304-8','izruCSHohlD', 'SU')
('SL04652-2022-11-02-7270','S303-22','ZkqBaU', 'UB')
('SL12058-2022-11-01-7282','S304-10','I', 'MB')
('AC04652-2022-11-02-7404','A412-6','WeqP', 'SU')
('SL22517-2022-11-01-7318','S305-22','RdqYspvb', 'UB')
('AC04652-2022-11-01-7339','A408-13','qlUSJuuxRUx', 'LB')
('SL04652-2022-11-01-7428','S310-12','wKcGNzUW', 'LB')
('SL04652-2022-11-02-7272','S303-24','SnEqoOszqufLu', 'SU')
('SL22517-2022-11-01-7319','S305-23','jpOEWDfmJGy', 'SL')
('AC04652-2022-11-01-7342','A408-16','wHiIqLbEHT', 'UB')
('SL22517-2022-11-02-7474','S312-10','uhtunqWOG', 'MB')
('AC04652-2022-11-02-7408','A412-10','xjRhQJcKg', 'UB')
('AC04652-2022-11-02-7409','A412-11','cxkCuvfUkIHeHP', 'SL')
('SL04652-2022-11-01-7432','S310-16','jvAYGbzwmlFH', 'SU')
('SL04652-2022-11-01-7433','S310-17','sysFyvnsbNEps', 'LB')
('AC22517-2022-11-02-7421','A413-5','utorC', 'SL')
('AC22517-2022-11-01-7300','A406-10','qNLJAcLuMab', 'UB')
('SL22517-2022-11-02-7478','S312-14','jq', 'UB')
('SL22517-2022-11-02-7479','S312-15','XonUfbNjQgehjM', 'SL')
('AC22517-2022-11-02-7422','A413-6','CwDXh', 'SU')
('AC12058-2022-11-01-7242','A403-6','BsQfaqYhNg', 'SU')
('SL12058-2022-11-01-7296','S304-24','yJCNicknP', 'SU')
('SL04652-2022-11-02-7282','S304-10','REwpOI', 'MB')
('SL04652-2022-11-02-7283','S304-11','KPNCUKpFSz', 'UB')
('AC04652-2022-11-01-7345','A409-1','PR', 'LB')
('SL22517-2022-11-01-7324','S306-4','zHYKVLuIuqAna', 'LB')
('SL22517-2022-11-01-7326','S306-6','lsxP', 'UB')
('SL04652-2022-11-02-7284','S304-12','Ash', 'LB')
('AC22517-2022-11-02-7430','A413-14','O', 'LB')
('SL04652-2022-11-01-7436','S310-20','ivVzXsAmsDbzV', 'LB')
('SL12058-2022-11-01-7302','S305-6','IHcpTgzL', 'UB')
('AC04652-2022-11-01-7348','A409-4','FnRWWcM', 'UB')
('SL12058-2022-11-01-7303','S305-7','gzavvaGfl', 'SL')
('AC12058-2022-11-01-7245','A403-9','dogYynIuW', 'UB')
('SL12058-2022-11-01-7305','S305-9','epwShRzWNnLY', 'LB')
('SL12058-2022-11-01-7309','S305-13','zXsjMkiwtmbpb', 'MB')
('SL12058-2022-11-01-7310','S305-14','bsXAmtU', 'UB')
('AC04652-2022-11-01-7351','A409-7','QIJ', 'LB')
('AC12058-2022-11-01-7247','A403-11','tBJdGEsWOq', 'SL')
('AC22517-2022-11-01-7307','A406-17','ivYRSKqyp', 'SL')
('SL22517-2022-11-01-7332','S306-12','SXFPSHAIjKAx', 'LB')
('AC04652-2022-11-01-7353','A409-9','yKBDoV', 'UB')
('AC22517-2022-11-02-7435','A414-1','nnhqAAIGOCGOwT', 'LB')
('AC12058-2022-11-01-7249','A403-13','HeALrGN', 'LB')
('SL22517-2022-11-02-7489','S313-1','ZClmEDUrR', 'LB')
('AC04652-2022-11-02-7417','A413-1','sENPoSnX', 'LB')
('SL22517-2022-11-02-7491','S313-3','rDUxNkComqz', 'UB')
('AC04652-2022-11-01-7356','A409-12','D', 'SU')
('SL22517-2022-11-01-7334','S306-14','kpxstkkapy', 'UB')
('AC04652-2022-11-02-7420','A413-4','s', 'UB')
('AC04652-2022-11-02-7421','A413-5','NDCBxFPlq', 'SL')
('AC04652-2022-11-02-7423','A413-7','AmvdrYUaFpuCC', 'LB')
('AC12058-2022-11-01-7251','A403-15','i', 'UB')
('SL22517-2022-11-01-7336','S306-16','jEWBDFwbVjdPfZi', 'SU')
('AC22517-2022-11-01-7315','A407-7','GUgaEtJCu', 'LB')
('SL22517-2022-11-01-7337','S306-17','eFjgYZxZFzGICJi', 'LB')
('SL04652-2022-11-01-7450','S311-10','J', 'MB')
('AC22517-2022-11-01-7318','A407-10','YMDtfAsBGL', 'UB')
('AC04652-2022-11-01-7363','A410-1','auECqyxzVDb', 'LB')
('AC12058-2022-11-01-7255','A404-1','ZilufUwyT', 'LB')
('SL22517-2022-11-01-7343','S306-23','mJhGHdAMaGdgspTr', 'SL')
('AC22517-2022-11-02-7438','A414-4','feJhVDPKXrxov', 'UB')
('AC22517-2022-11-01-7319','A407-11','APWVwJ', 'SL')
('SL04652-2022-11-01-7456','S311-16','isQJcJnVZIaRESnh', 'SU')
('AC12058-2022-11-01-7258','A404-4','yHnVv', 'UB')
('AC22517-2022-11-02-7441','A414-7','YoqTQvs', 'LB')
('AC12058-2022-11-01-7259','A404-5','mnmeoPff', 'SL')
('SL04652-2022-11-01-7458','S311-18','FpGIuHfLoHTiZXcH', 'MB')
('SL22517-2022-11-02-7495','S313-7','OrkgIEXJU', 'SL')
('SL22517-2022-11-01-7344','S306-24','CtZXPpGxEHWRDk', 'SU')
('SL12058-2022-11-01-7322','S306-2','AzOzzpNnRXxMcV', 'MB')
('AC04652-2022-11-01-7368','A410-6','nWnSgh', 'SU')
('SL12058-2022-11-01-7324','S306-4','Gr', 'LB')
('AC12058-2022-11-01-7262','A404-8','TtbkIwbvRn', 'LB')
('SL04652-2022-11-02-7310','S305-14','lNbBLyre', 'UB')
('SL04652-2022-11-01-7465','S312-1','kpZdq', 'LB')
('AC04652-2022-11-01-7370','A410-8','YHpwTMXPotRykFZ', 'LB')
('AC04652-2022-11-02-7433','A413-17','x', 'SL')
('AC04652-2022-11-01-7371','A410-9','pgL', 'UB')
('SL22517-2022-11-01-7351','S307-7','DBq', 'SL')
('SL22517-2022-11-01-7352','S307-8','efaNdZAmdDUQfiYm', 'SU')
('AC04652-2022-11-02-7434','A413-18','KbQDODK', 'SU')
('AC12058-2022-11-01-7266','A404-12','EUwCjqXwbnmpV', 'SU')
('AC04652-2022-11-01-7374','A410-12','ncHjFmHmsRwz', 'SU')
('AC22517-2022-11-01-7328','A408-2','qgfus', 'LB')
('AC04652-2022-11-01-7376','A410-14','Slsj', 'LB')
('SL04652-2022-11-01-7469','S312-5','hczEFDkgjVpICuf', 'MB')
('SL22517-2022-11-02-7504','S313-16','oQCYddmzOlK', 'SU')
('SL22517-2022-11-01-7356','S307-12','eVXlSGjgJ', 'LB')
('AC12058-2022-11-01-7270','A404-16','ObEzgcjoRuFy', 'UB')
('SL04652-2022-11-01-7470','S312-6','NUVePMjTtwEBgo', 'UB')
('SL04652-2022-11-02-7314','S305-18','X', 'MB')
('SL12058-2022-11-01-7330','S306-10','QKnhLyeWXMQ', 'MB')
('AC12058-2022-11-01-7271','A404-17','KNy', 'SL')
('AC22517-2022-11-01-7331','A408-5','KsyfNVgvv', 'SL')
('AC12058-2022-11-01-7273','A405-1','c', 'LB')
('AC12058-2022-11-01-7274','A405-2','BdZA', 'LB')
('SL04652-2022-11-02-7315','S305-19','gWKam', 'UB')
('SL22517-2022-11-02-7511','S313-23','gsSHQtvGpMfCYbyq', 'SL')
('SL12058-2022-11-01-7334','S306-14','xdBGI', 'UB')
('AC22517-2022-11-01-7334','A408-8','FHaJrCpg', 'LB')
('SL12058-2022-11-01-7336','S306-16','Jzt', 'SU')
('AC12058-2022-11-01-7279','A405-7','lCMeHoCr', 'LB')
('AC22517-2022-11-02-7452','A414-18','ujoRq', 'SU')
('SL22517-2022-11-01-7364','S307-20','sXaIHpCQQuD', 'LB')
('AC04652-2022-11-02-7443','A414-9','rSMAr', 'UB')
('AC04652-2022-11-02-7444','A414-10','WDedQaF', 'UB')
('SL04652-2022-11-02-7324','S306-4','kzkMbKEjGCf', 'LB')
('SL22517-2022-11-01-7366','S307-22','RJKqyYcnVkrXHO', 'UB')
('SL04652-2022-11-02-7326','S306-6','BFQemNSPWZMzd', 'UB')
('SL04652-2022-11-02-7327','S306-7','zhRGcz', 'SL')
('SL04652-2022-11-02-7328','S306-8','NRbCiLGI', 'SU')
('SL04652-2022-11-01-7476','S312-12','kQmWgEzvGHtQ', 'LB')
('SL22517-2022-11-02-7519','S314-7','uUhqAejrUdNE', 'SL')
('AC04652-2022-11-01-7391','A411-11','WcYhsHkn', 'SL')
('AC22517-2022-11-01-7340','A408-14','mAWzUJDmSz', 'LB')
('AC04652-2022-11-01-7392','A411-12','huOGewdEuhb', 'SU')
('AC04652-2022-11-01-7393','A411-13','hpmsc', 'LB')
('SL22517-2022-11-01-7373','S308-5','qo', 'MB')
('SL12058-2022-11-01-7345','S307-1','h', 'LB')
('AC12058-2022-11-01-7293','A406-3','ZmrwGHCAqZti', 'UB')
('AC04652-2022-11-02-7451','A414-17','IUlqIG', 'SL')
('SL22517-2022-11-01-7376','S308-8','WCCnzWZmBn', 'SU')
('AC22517-2022-11-01-7345','A409-1','KuxGJRALEloTZy', 'LB')
('AC22517-2022-11-01-7347','A409-3','ljzhOIHCFHWFR', 'UB')
('AC22517-2022-11-02-7464','A415-12','tCPv', 'SU')
('AC22517-2022-11-01-7348','A409-4','QVTDAbUXUtpWjHfN', 'UB')
('SL04652-2022-11-01-7483','S312-19','QUxA', 'UB')
('SL22517-2022-11-01-7377','S308-9','xbilMIBvU', 'LB')
('AC12058-2022-11-01-7297','A406-7','DCwAJtZwEqcvLsx', 'LB')
('SL22517-2022-11-01-7379','S308-11','aUL', 'UB')
('SL22517-2022-11-02-7526','S314-14','PpjLFGmQ', 'UB')
('AC12058-2022-11-01-7300','A406-10','vARyJbdxGpzqg', 'UB')
('AC22517-2022-11-02-7469','A415-17','zzOYvorbVcsdqmsL', 'SL')
('SL12058-2022-11-01-7356','S307-12','hjhvLoyIlGDrUcR', 'LB')
('AC22517-2022-11-02-7471','A416-1','VVmtybc', 'LB')
('AC12058-2022-11-01-7302','A406-12','hh', 'SU')
('AC22517-2022-11-02-7473','A416-3','m', 'UB')
('AC22517-2022-11-01-7352','A409-8','nKDdyHBfdGPThpB', 'LB')
('AC22517-2022-11-02-7474','A416-4','MZJt', 'UB')
('AC04652-2022-11-02-7460','A415-8','EpneJyXeGfVOdEnI', 'LB')
('SL12058-2022-11-01-7360','S307-16','ivNRMHNNPuxvkBVD', 'SU')
('SL04652-2022-11-01-7493','S313-5','vCDsE', 'MB')
('AC22517-2022-11-02-7478','A416-8','PHN', 'LB')
('AC12058-2022-11-01-7305','A406-15','WogorbHZOCkcKKp', 'UB')
('SL04652-2022-11-02-7338','S306-18','ydrK', 'MB')
('AC04652-2022-11-01-7409','A412-11','iGsqODScd', 'SL')
('SL22517-2022-11-02-7537','S315-1','bbZbUYBhDnc', 'LB')
('SL04652-2022-11-01-7495','S313-7','KliIbGwpbBDobyjG', 'SL')
('SL04652-2022-11-01-7496','S313-8','ZVkxZmE', 'SU')
('SL12058-2022-11-01-7368','S307-24','D', 'SU')
('AC04652-2022-11-01-7411','A412-13','RVKab', 'LB')
('AC22517-2022-11-01-7357','A409-13','MuAdDokkqYB', 'LB')
('AC04652-2022-11-02-7467','A415-15','XQIuSf', 'UB')
('SL04652-2022-11-02-7344','S306-24','DBogxtGTRKGw', 'SU')
('AC22517-2022-11-01-7358','A409-14','TdyqVHtrNpy', 'LB')
('AC04652-2022-11-01-7416','A412-18','ZnuebRwfDPJYZi', 'SU')
('SL22517-2022-11-02-7540','S315-4','GZZ', 'LB')
('AC04652-2022-11-01-7418','A413-2','h', 'LB')
('AC22517-2022-11-01-7359','A409-15','hBQN', 'UB')
('SL22517-2022-11-02-7541','S315-5','se', 'MB')
('AC22517-2022-11-01-7361','A409-17','pwWDnZsPJH', 'SL')
('AC04652-2022-11-01-7421','A413-5','thKXCP', 'SL')
('AC04652-2022-11-02-7472','A416-2','dXA', 'LB')
('SL22517-2022-11-01-7392','S308-24','LnfGvIHKzPckxK', 'SU')
('AC22517-2022-11-02-7491','A417-3','WqwHUl', 'UB')
('AC04652-2022-11-02-7473','A416-3','NatYm', 'UB')
('AC22517-2022-11-02-7492','A417-4','yruitAyuQDtZ', 'UB')
('AC22517-2022-11-02-7493','A417-5','smyrDjPgKjPmkWF', 'SL')
('SL22517-2022-11-02-7544','S315-8','wdqosBvtmkoqQ', 'SU')
('SL22517-2022-11-01-7394','S309-2','XieV', 'MB')
('AC12058-2022-11-01-7311','A407-3','esmBHawjCHb', 'UB')
('SL22517-2022-11-02-7545','S315-9','xZmbyrYhG', 'LB')
('SL22517-2022-11-02-7546','S315-10','AS', 'MB')
('AC04652-2022-11-02-7479','A416-9','xtYuwnxAmU', 'UB')
('SL22517-2022-11-02-7547','S315-11','pzEjFklNiWJ', 'UB')
('SL12058-2022-11-01-7379','S308-11','ESsvvyUfcFSMrySy', 'UB')
('AC22517-2022-11-02-7498','A417-10','MSIGGM', 'UB')
('SL22517-2022-11-01-7396','S309-4','sbYsu', 'LB')
('AC04652-2022-11-02-7480','A416-10','mtQqaAVGw', 'UB')
('SL04652-2022-11-02-7351','S307-7','GRanctUfW', 'SL')
('SL22517-2022-11-01-7397','S309-5','N', 'MB')
('SL22517-2022-11-02-7550','S315-14','dEvAqkwhlCm', 'UB')
('SL04652-2022-11-01-7512','S313-24','nUdIAMZbT', 'SU')
('AC12058-2022-11-01-7315','A407-7','GbVZdNrbWqAbmphE', 'LB')
('SL12058-2022-11-01-7382','S308-14','VCgA', 'UB')
('SL12058-2022-11-01-7383','S308-15','e', 'SL')
('SL04652-2022-11-02-7354','S307-10','qRWkbek', 'MB')
('SL12058-2022-11-01-7384','S308-16','zgvElupjBo', 'SU')
('AC22517-2022-11-02-7504','A417-16','Pwmk', 'UB')
('SL04652-2022-11-01-7516','S314-4','NwJtLItgrMhOP', 'LB')
('SL22517-2022-11-02-7552','S315-16','aJSNLIyCzcpZn', 'SU')
('SL22517-2022-11-01-7402','S309-10','ZYuxL', 'MB')
('AC04652-2022-11-01-7433','A413-17','LubjHcTJKCOcuhy', 'SL')
('AC04652-2022-11-02-7486','A416-16','zuwXEznACZTwYPD', 'UB')
