('AC22517-2022-11-02-4216','A235-4','cTmBYlcAoxl', 'UB')
('SL04652-2022-11-02-4248','S177-24','ZAclyjlC', 'SU')
('SL04652-2022-11-01-4413','S184-21','lcL', 'MB')
('SL22517-2022-11-01-4312','S180-16','hc', 'SU')
('AC22517-2022-11-01-4342','A242-4','ZbZtx', 'UB')
('AC12058-2022-11-01-4323','A241-3','YBnxMraF', 'UB')
('AC04652-2022-11-02-4384','A244-10','UITB', 'UB')
('SL12058-2022-11-01-4304','S180-8','bZsxSYBVPTM', 'SU')
('SL22517-2022-11-02-4401','S184-9','gexFbavsUT', 'LB')
('AC04652-2022-11-02-4386','A244-12','HsY', 'SU')
('AC04652-2022-11-01-4328','A241-8','jElYRCdzEd', 'LB')
('AC22517-2022-11-02-4425','A246-15','bGQduXDb', 'UB')
('SL04652-2022-11-01-4417','S185-1','mFhKUOhSXaveTY', 'LB')
('SL04652-2022-11-01-4418','S185-2','MPCTbxKJxNfwbCX', 'MB')
('SL04652-2022-11-01-4419','S185-3','hlehPqhyHMBri', 'UB')
('AC04652-2022-11-01-4333','A241-13','JTuXVmjEnbzvEzp', 'LB')
('AC22517-2022-11-01-4349','A242-11','Rgok', 'SL')
('AC04652-2022-11-01-4336','A241-16','kTYECO', 'UB')
('AC04652-2022-11-02-4392','A244-18','mLasuBgRcbVFigZ', 'SU')
('SL22517-2022-11-02-4406','S184-14','AYJbxhuRiDbzeJ', 'UB')
('SL22517-2022-11-01-4325','S181-5','LXwKHTkLQAbb', 'MB')
('SL22517-2022-11-01-4326','S181-6','tmKDOhyii', 'UB')
('AC22517-2022-11-01-4351','A242-13','NlYwoEbQDIs', 'LB')
('SL22517-2022-11-01-4328','S181-8','aEWbS', 'SU')
('SL22517-2022-11-01-4330','S181-10','ndBotgOsqhkq', 'MB')
('AC22517-2022-11-02-4433','A247-5','KkQz', 'SL')
('SL04652-2022-11-01-4433','S185-17','z', 'LB')
('SL22517-2022-11-02-4412','S184-20','qmQyOuKkHDx', 'LB')
('SL12058-2022-11-01-4311','S180-15','oHgV', 'SL')
('AC22517-2022-11-02-4435','A247-7','GtrziuVdPWUVq', 'LB')
('AC22517-2022-11-02-4437','A247-9','njPn', 'UB')
('AC22517-2022-11-01-4358','A243-2','nh', 'LB')
('SL12058-2022-11-01-4314','S180-18','ThtgGcDbK', 'MB')
('SL12058-2022-11-01-4315','S180-19','ONZjCtTQbGya', 'UB')
('SL04652-2022-11-02-4263','S178-15','kjaeaYJyfQDoZYT', 'SL')
('AC22517-2022-11-01-4359','A243-3','EMEZ', 'UB')
('AC12058-2022-11-01-4346','A242-8','jfd', 'LB')
('AC04652-2022-11-01-4343','A242-5','YCmRpSDCBL', 'SL')
('SL22517-2022-11-02-4419','S185-3','XNoHLEUK', 'UB')
('SL12058-2022-11-01-4317','S180-21','NngVVzKHVIrSk', 'MB')
('AC04652-2022-11-02-4397','A245-5','QuJ', 'SL')
('AC22517-2022-11-02-4447','A248-1','GHVaBiIqX', 'LB')
('SL22517-2022-11-01-4342','S181-22','rMunNb', 'UB')
('SL12058-2022-11-01-4321','S181-1','NamzEcC', 'LB')
('AC22517-2022-11-02-4449','A248-3','GPygR', 'UB')
('AC04652-2022-11-01-4352','A242-14','EEbZMJKDMoEiOZDy', 'LB')
('SL04652-2022-11-01-4451','S186-11','K', 'UB')
('SL04652-2022-11-02-4282','S179-10','yeaYmv', 'MB')
('AC22517-2022-11-01-4370','A243-14','fDV', 'LB')
('SL22517-2022-11-02-4427','S185-11','FkzAf', 'UB')
('AC04652-2022-11-01-4356','A242-18','IWwIhzlejktb', 'SU')
('AC22517-2022-11-01-4372','A243-16','ChmFJyD', 'UB')
('AC04652-2022-11-02-4407','A245-15','VawVdsftS', 'UB')
('SL12058-2022-11-01-4326','S181-6','EdWwgTEkNmpsfsaI', 'UB')
('SL12058-2022-11-01-4327','S181-7','TbcyIAwLQjqEzp', 'SL')
('AC04652-2022-11-01-4358','A243-2','QGYGpeSsWkeKhcRd', 'LB')
('SL04652-2022-11-01-4455','S186-15','ZPTsRtP', 'SL')
('AC22517-2022-11-02-4459','A248-13','QIWnRXREvQFRo', 'LB')
('AC04652-2022-11-02-4413','A246-3','tGBJI', 'UB')
('SL04652-2022-11-01-4457','S186-17','NSC', 'LB')
('SL12058-2022-11-01-4332','S181-12','TtNHFSq', 'LB')
('AC12058-2022-11-01-4362','A243-6','EdgSSFeHOleL', 'SU')
('SL12058-2022-11-01-4334','S181-14','YKfKbAfnkPLgPI', 'UB')
('SL12058-2022-11-01-4335','S181-15','ok', 'SL')
('AC12058-2022-11-01-4364','A243-8','rfbLmyJoIHtM', 'LB')
('SL22517-2022-11-01-4358','S182-14','yGPopnzP', 'UB')
('AC22517-2022-11-01-4376','A244-2','dUUDmQIECIfr', 'LB')
('AC22517-2022-11-01-4377','A244-3','sNtMGzJsEPKtx', 'UB')
('AC22517-2022-11-01-4378','A244-4','jByyLsGSOWwjD', 'UB')
('SL22517-2022-11-02-4439','S185-23','CUubYiAHIbipPXs', 'SL')
('AC22517-2022-11-01-4380','A244-6','dEvoHgjrijiOudY', 'SU')
('AC22517-2022-11-02-4465','A249-1','LSaHwdsnMfTJ', 'LB')
('SL12058-2022-11-01-4338','S181-18','YlptqGRmZsrNCm', 'MB')
('SL22517-2022-11-01-4362','S182-18','avOhvITWok', 'MB')
('AC22517-2022-11-02-4468','A249-4','ohWtYbqgTzThVq', 'UB')
('AC22517-2022-11-02-4469','A249-5','qFodrkHyamTKF', 'SL')
('AC12058-2022-11-01-4372','A243-16','svSTRPdAnrFpuzeZ', 'UB')
('SL22517-2022-11-02-4444','S186-4','NmQuMcANZxHJu', 'LB')
('AC12058-2022-11-01-4375','A244-1','MadGvXICmtUpNdxX', 'LB')
('AC22517-2022-11-01-4385','A244-11','xijcvsJcqObNRi', 'SL')
('AC22517-2022-11-02-4472','A249-8','ettIkv', 'LB')
('SL22517-2022-11-02-4449','S186-9','PpIpllFxD', 'LB')
('SL12058-2022-11-01-4343','S181-23','hBx', 'SL')
('AC04652-2022-11-02-4427','A246-17','XsuLCYq', 'SL')
('AC12058-2022-11-01-4380','A244-6','lCfsT', 'SU')
('AC04652-2022-11-01-4367','A243-11','YRjjmYAFQ', 'SL')
('AC04652-2022-11-02-4430','A247-2','uI', 'LB')
('AC22517-2022-11-01-4388','A244-14','uEQKRwptcgLtlt', 'LB')
('SL04652-2022-11-02-4295','S179-23','SwWsAcgCbALjDRb', 'SL')
('SL04652-2022-11-02-4296','S179-24','Svbq', 'SU')
('AC12058-2022-11-01-4384','A244-10','tYoab', 'UB')
('AC12058-2022-11-01-4385','A244-11','WiuOPvGrqi', 'SL')
('AC12058-2022-11-01-4387','A244-13','DIkjqfvHuBqqPC', 'LB')
('AC04652-2022-11-01-4372','A243-16','XvvaCYnVDZuerpjS', 'UB')
('SL04652-2022-11-02-4300','S180-4','LqBKhWQMYzk', 'LB')
('AC04652-2022-11-02-4436','A247-8','CoviuoNZpdJ', 'LB')
('SL04652-2022-11-01-4473','S187-9','XBw', 'LB')
('SL12058-2022-11-01-4352','S182-8','FbaysMOVMB', 'SU')
('SL22517-2022-11-01-4374','S183-6','EFJAxsvTAO', 'UB')
('SL22517-2022-11-02-4461','S186-21','Nr', 'MB')
('AC12058-2022-11-01-4390','A244-16','vNXPmfphqDt', 'UB')
('AC22517-2022-11-01-4396','A245-4','lnZ', 'UB')
('AC12058-2022-11-01-4391','A244-17','B', 'SL')
('AC04652-2022-11-02-4442','A247-14','zoRXGTHKaPCNxyRh', 'LB')
('SL04652-2022-11-01-4480','S187-16','tUtVFhIj', 'SU')
('AC12058-2022-11-01-4393','A245-1','c', 'LB')
('SL04652-2022-11-02-4307','S180-11','dA', 'UB')
('AC04652-2022-11-01-4377','A244-3','Z', 'UB')
('AC04652-2022-11-01-4378','A244-4','B', 'UB')
('SL22517-2022-11-02-4467','S187-3','UaKxReByRm', 'UB')
('AC22517-2022-11-01-4400','A245-8','gAFZFLaXN', 'LB')
('SL22517-2022-11-02-4468','S187-4','GqlnlmSegtk', 'LB')
('SL04652-2022-11-02-4312','S180-16','WeyXIY', 'SU')
('SL22517-2022-11-02-4469','S187-5','VKbk', 'MB')
('AC22517-2022-11-01-4403','A245-11','rYdgxyhgrrUHiqMK', 'SL')
('SL12058-2022-11-01-4362','S182-18','pudeetRd', 'MB')
('SL12058-2022-11-01-4363','S182-19','njbsYLCBoaL', 'UB')
('SL22517-2022-11-02-4473','S187-9','ACkPCZYHLTWzqaY', 'LB')
('AC04652-2022-11-02-4445','A247-17','kGy', 'SL')
('AC04652-2022-11-01-4380','A244-6','TCexjXuCY', 'SU')
('AC22517-2022-11-02-4491','A250-9','hhEYdDeKSNf', 'UB')
('AC04652-2022-11-01-4382','A244-8','SXRYtI', 'LB')
('SL12058-2022-11-01-4366','S182-22','TxyUHFv', 'UB')
('AC04652-2022-11-02-4447','A248-1','Z', 'LB')
('SL04652-2022-11-02-4315','S180-19','UounR', 'UB')
('SL22517-2022-11-02-4477','S187-13','teJZp', 'MB')
('SL04652-2022-11-02-4317','S180-21','xFSLSZVmfgjTMhI', 'MB')
('AC04652-2022-11-01-4385','A244-11','WtzqubavMkqjc', 'SL')
('SL22517-2022-11-02-4481','S187-17','ICeszOTLssYPnI', 'LB')
('SL04652-2022-11-01-4487','S187-23','MlYPUKkfTCONRP', 'SL')
('AC22517-2022-11-01-4408','A245-16','qXYWKTgeXSTqp', 'UB')
('SL04652-2022-11-02-4320','S180-24','NTGQEPY', 'SU')
('AC04652-2022-11-02-4451','A248-5','MTQMKrJrdrOQVZdp', 'SL')
('AC04652-2022-11-02-4452','A248-6','PWBNVjFZnhX', 'SU')
('SL22517-2022-11-02-4485','S187-21','QXBHBSQABwmAugo', 'MB')
('AC04652-2022-11-02-4456','A248-10','Fdhoh', 'UB')
('AC12058-2022-11-01-4407','A245-15','kAjcgsDTGmGBFPJW', 'UB')
('SL12058-2022-11-01-4370','S183-2','wYgHCymMIlnLUxyQ', 'MB')
('AC12058-2022-11-01-4410','A245-18','parwLkhJ', 'SU')
('AC22517-2022-11-02-4500','A250-18','cahjjjaBY', 'SU')
('AC04652-2022-11-01-4390','A244-16','kCaKomeLLNMt', 'UB')
('SL12058-2022-11-01-4374','S183-6','GryAzHWYOptzp', 'UB')
('AC22517-2022-11-02-4501','A251-1','xXOmJlGE', 'LB')
('SL22517-2022-11-02-4491','S188-3','l', 'UB')
('SL22517-2022-11-02-4492','S188-4','HRtJDAJztKO', 'LB')
('SL22517-2022-11-01-4385','S183-17','aZZLdkpIHc', 'LB')
('AC04652-2022-11-02-4459','A248-13','BeaqFFaRky', 'LB')
('SL22517-2022-11-01-4386','S183-18','ULw', 'MB')
('AC12058-2022-11-01-4413','A246-3','uarnntUrkjg', 'UB')
('SL12058-2022-11-01-4379','S183-11','QPReMAeIFGQJedMc', 'UB')
('SL04652-2022-11-02-4325','S181-5','k', 'MB')
('AC22517-2022-11-02-4505','A251-5','QGMKlIsp', 'SL')
('SL22517-2022-11-02-4494','S188-6','L', 'UB')
('AC22517-2022-11-01-4416','A246-6','YvTMfVeFHMGB', 'SU')
('SL04652-2022-11-01-4496','S188-8','hRPrPnhbyy', 'SU')
('AC04652-2022-11-01-4396','A245-4','NgJUFWbIzMeYwLz', 'UB')
('AC12058-2022-11-01-4416','A246-6','vAERcLyQEtOrg', 'SU')
('AC22517-2022-11-01-4417','A246-7','SQUyrWsjkkpd', 'LB')
('AC22517-2022-11-02-4508','A251-8','oQEcUKznRDQgdk', 'LB')
('AC22517-2022-11-01-4418','A246-8','On', 'LB')
('SL12058-2022-11-01-4385','S183-17','ujjjz', 'LB')
('AC04652-2022-11-02-4467','A249-3','jrvIiRjBAJDVvvcQ', 'UB')
('SL22517-2022-11-01-4395','S184-3','nKxsvipF', 'UB')
('SL04652-2022-11-01-4502','S188-14','BiYCGgjPQGAR', 'UB')
('SL04652-2022-11-02-4329','S181-9','XDriAUU', 'LB')
('AC22517-2022-11-01-4420','A246-10','jUZ', 'UB')
('AC12058-2022-11-01-4419','A246-9','OuUCSybryHVUoIQ', 'UB')
('SL04652-2022-11-02-4331','S181-11','jspWGZiewRZi', 'UB')
('AC04652-2022-11-01-4399','A245-7','RDddnfT', 'LB')
('SL12058-2022-11-01-4390','S183-22','w', 'UB')
('AC22517-2022-11-01-4424','A246-14','Ea', 'LB')
('AC04652-2022-11-02-4470','A249-6','BwhT', 'SU')
('AC04652-2022-11-01-4401','A245-9','ZiePodJTKzWn', 'UB')
('SL04652-2022-11-01-4509','S188-21','JbOqgLwKqFy', 'MB')
('SL04652-2022-11-01-4511','S188-23','UbFLqMt', 'SL')
('SL22517-2022-11-02-4505','S188-17','KahOS', 'LB')
('AC04652-2022-11-01-4405','A245-13','UXBXl', 'LB')
('AC12058-2022-11-01-4427','A246-17','SGe', 'SL')
('AC12058-2022-11-01-4428','A246-18','EpCuywmIUmiV', 'SU')
('AC04652-2022-11-02-4477','A249-13','BpLDnqjfOyI', 'LB')
('SL22517-2022-11-02-4507','S188-19','jELpVEtahgdmYlSD', 'UB')
('SL12058-2022-11-01-4393','S184-1','TdjsKxwIhJXOtQu', 'LB')
('SL12058-2022-11-01-4394','S184-2','dxapYTm', 'MB')
('AC12058-2022-11-01-4432','A247-4','bDDBL', 'UB')
('SL12058-2022-11-01-4396','S184-4','SncCArSg', 'LB')
('SL12058-2022-11-01-4397','S184-5','XnVHaWoEQl', 'MB')
('SL22517-2022-11-02-4509','S188-21','ebkoKgzFs', 'MB')
('AC22517-2022-11-02-4522','A252-4','qDCtgl', 'UB')
('SL12058-2022-11-01-4400','S184-8','MmxUXSHm', 'SU')
('SL22517-2022-11-02-4510','S188-22','EtWXBO', 'UB')
('AC22517-2022-11-02-4523','A252-5','rLIJjsbpaUqzKC', 'SL')
('AC12058-2022-11-01-4434','A247-6','iPFxZaw', 'SU')
('AC04652-2022-11-01-4411','A246-1','cXqlBj', 'LB')
('AC22517-2022-11-01-4440','A247-12','OFcf', 'SU')
('AC22517-2022-11-02-4525','A252-7','fONSF', 'LB')
('AC12058-2022-11-01-4437','A247-9','TYYcSTnpa', 'UB')
('AC22517-2022-11-02-4527','A252-9','oNexKsQnmHMhYMD', 'UB')
('AC04652-2022-11-02-4490','A250-8','CZfW', 'LB')
('SL22517-2022-11-02-4512','S188-24','OHWlav', 'SU')
('AC22517-2022-11-02-4528','A252-10','hFqKntlOvxW', 'UB')
('SL04652-2022-11-01-4522','S189-10','XSjGAjIzp', 'MB')
('SL22517-2022-11-02-4515','S189-3','YGYGhFSY', 'UB')
('AC04652-2022-11-02-4496','A250-14','qGpZwDsDR', 'LB')
('SL04652-2022-11-01-4524','S189-12','NdqkeouOFCL', 'LB')
('AC04652-2022-11-02-4497','A250-15','NNZBwPXyEzB', 'UB')
('AC04652-2022-11-02-4500','A250-18','JPffHiPRxxGWnXcM', 'SU')
('AC04652-2022-11-01-4415','A246-5','RfkKLIlBcmlxm', 'SL')
('AC22517-2022-11-02-4535','A252-17','x', 'SL')
('AC22517-2022-11-01-4448','A248-2','YARjbFHcmmurKTCd', 'LB')
('AC22517-2022-11-01-4449','A248-3','JZSpS', 'UB')
('AC22517-2022-11-02-4542','A253-6','mesUijso', 'SU')
('SL04652-2022-11-01-4532','S189-20','LkIC', 'LB')
('SL22517-2022-11-02-4522','S189-10','ibBAVUfhgQFkK', 'MB')
('SL04652-2022-11-02-4352','S182-8','mX', 'SU')
('SL22517-2022-11-02-4524','S189-12','ujYfInGZBg', 'LB')
('AC22517-2022-11-01-4454','A248-8','kCDzbefYALprFL', 'LB')
('AC12058-2022-11-01-4449','A248-3','dlWLCkIUxJw', 'UB')
('SL22517-2022-11-02-4526','S189-14','rzZnHh', 'UB')
('AC12058-2022-11-01-4450','A248-4','TnYpY', 'UB')
('SL22517-2022-11-02-4527','S189-15','kIexpwNMdQV', 'SL')
('AC22517-2022-11-01-4457','A248-11','AwzYW', 'SL')
('SL22517-2022-11-01-4411','S184-19','qtj', 'UB')
('SL12058-2022-11-01-4417','S185-1','wvzc', 'LB')
('SL12058-2022-11-01-4418','S185-2','ZcAjvQ', 'MB')
('AC04652-2022-11-01-4424','A246-14','KChDihRb', 'LB')
('SL04652-2022-11-01-4535','S189-23','GFtGdUObgb', 'SL')
('SL12058-2022-11-01-4419','S185-3','tSyRHuQqcUxQ', 'UB')
('AC04652-2022-11-02-4509','A251-9','QwKuWD', 'UB')
('SL22517-2022-11-02-4530','S189-18','k', 'MB')
('SL04652-2022-11-01-4537','S190-1','Hg', 'LB')
('AC12058-2022-11-01-4453','A248-7','emAe', 'LB')
('SL04652-2022-11-01-4538','S190-2','lTfX', 'MB')
('SL22517-2022-11-01-4414','S184-22','wvAbzB', 'UB')
('SL22517-2022-11-01-4415','S184-23','GyawLjYRGtTFe', 'SL')
('SL12058-2022-11-01-4421','S185-5','opxCHHoTpCxrF', 'MB')
('AC22517-2022-11-01-4460','A248-14','NZlJxcxGMLmZKI', 'LB')
('SL22517-2022-11-02-4534','S189-22','LxJCOLZmtEj', 'UB')
('AC22517-2022-11-02-4555','A254-1','IwzagcJhXsNn', 'LB')
('AC04652-2022-11-01-4433','A247-5','JotiNzUtLeW', 'SL')
('SL22517-2022-11-02-4538','S190-2','gsOKsxNYJzMK', 'MB')
('SL04652-2022-11-01-4544','S190-8','IXNGa', 'SU')
('AC04652-2022-11-01-4436','A247-8','ia', 'LB')
('SL12058-2022-11-01-4425','S185-9','itaPneHNa', 'LB')
('SL22517-2022-11-02-4540','S190-4','cLep', 'LB')
('AC12058-2022-11-01-4460','A248-14','fpSdKTIuVxUnVEG', 'LB')
('SL04652-2022-11-01-4548','S190-12','vHcp', 'LB')
('SL04652-2022-11-01-4549','S190-13','QBopVFZUvqN', 'MB')
('SL22517-2022-11-02-4543','S190-7','pghQAWueAIiSgj', 'SL')
('AC22517-2022-11-02-4563','A254-9','eF', 'UB')
('AC04652-2022-11-02-4522','A252-4','ApYaGPcx', 'UB')
('AC04652-2022-11-01-4437','A247-9','aBlNsCoo', 'UB')
('SL04652-2022-11-01-4552','S190-16','qCFG', 'SU')
('SL22517-2022-11-02-4545','S190-9','vNxRKgkdCZEC', 'LB')
('SL12058-2022-11-01-4429','S185-13','a', 'MB')
('SL04652-2022-11-02-4374','S183-6','wpFJW', 'UB')
('SL12058-2022-11-01-4430','S185-14','pr', 'UB')
('AC04652-2022-11-02-4526','A252-8','FmXTXlYLtDgCknpj', 'LB')
('AC22517-2022-11-01-4470','A249-6','Cy', 'SU')
('AC04652-2022-11-02-4531','A252-13','eTeZmKuoIMem', 'LB')
('SL12058-2022-11-01-4431','S185-15','CURojrob', 'SL')
('SL12058-2022-11-01-4432','S185-16','IIToGyG', 'SU')
('SL04652-2022-11-02-4377','S183-9','PHcgLVxjTMOUcLE', 'LB')
('SL04652-2022-11-02-4378','S183-10','eH', 'MB')
('AC22517-2022-11-02-4578','A255-6','VkktpsAtF', 'SU')
('SL22517-2022-11-01-4435','S185-19','SCS', 'UB')
('SL22517-2022-11-01-4436','S185-20','ftNr', 'LB')
('AC04652-2022-11-01-4442','A247-14','MVBpbIZdcCACZBap', 'LB')
('AC22517-2022-11-01-4473','A249-9','sCLPdGButmjFW', 'UB')
('AC22517-2022-11-01-4474','A249-10','JV', 'UB')
('AC04652-2022-11-01-4444','A247-16','d', 'UB')
('AC04652-2022-11-02-4535','A252-17','KkbWS', 'SL')
('AC22517-2022-11-02-4580','A255-8','mXoagzmYKK', 'LB')
('SL04652-2022-11-02-4383','S183-15','moZAhUJhdKu', 'SL')
('AC04652-2022-11-01-4445','A247-17','PJZtTeqLERpoC', 'SL')
('SL04652-2022-11-01-4561','S191-1','DOZNMk', 'LB')
('SL22517-2022-11-01-4440','S185-24','ltvEixd', 'SU')
('AC12058-2022-11-01-4475','A249-11','GAjIGlW', 'SL')
('SL04652-2022-11-01-4565','S191-5','KSyJmMGCvcuD', 'MB')
('SL04652-2022-11-02-4389','S183-21','hOeMJYDf', 'MB')
('AC04652-2022-11-01-4449','A248-3','FjFLrCRCBwwlux', 'UB')
('AC22517-2022-11-01-4483','A250-1','VOIzCicDqea', 'LB')
('SL12058-2022-11-01-4448','S186-8','qHbcI', 'SU')
('SL22517-2022-11-01-4442','S186-2','ilivPfrHLsyg', 'MB')
('AC12058-2022-11-01-4479','A249-15','AnETKN', 'UB')
('AC22517-2022-11-01-4486','A250-4','zvEZRAiWwoujTRW', 'UB')
('SL04652-2022-11-01-4573','S191-13','ouEvwzeO', 'MB')
('AC04652-2022-11-02-4548','A253-12','sdCoTXjdpShL', 'SU')
('SL04652-2022-11-02-4392','S183-24','nys', 'SU')
('AC12058-2022-11-01-4481','A249-17','kcXrvxzyXy', 'SL')
('SL04652-2022-11-01-4575','S191-15','AEruQfsoD', 'SL')
('SL22517-2022-11-02-4559','S190-23','ZXRpsvWxmITRfe', 'SL')
('AC04652-2022-11-01-4452','A248-6','jNcm', 'SU')
('SL22517-2022-11-01-4451','S186-11','nDVJmL', 'UB')
('SL04652-2022-11-01-4581','S191-21','RkzIQUyaDbkBZdMm', 'MB')
('AC22517-2022-11-01-4495','A250-13','MDeHFmiTD', 'LB')
('SL04652-2022-11-02-4404','S184-12','zsVU', 'LB')
('SL12058-2022-11-01-4456','S186-16','JFTyFa', 'SU')
('SL22517-2022-11-02-4574','S191-14','YRjdVDSPITXshHoC', 'UB')
('SL22517-2022-11-02-4575','S191-15','JXeIRBb', 'SL')
('SL22517-2022-11-01-4457','S186-17','ZjIsng', 'LB')
('AC04652-2022-11-01-4458','A248-12','ifSBbSvL', 'SU')
('AC22517-2022-11-02-4601','A256-11','DHw', 'SL')
('AC04652-2022-11-01-4460','A248-14','WZXxYUrDylyw', 'LB')
('AC04652-2022-11-01-4461','A248-15','fOIAAiQrySSoE', 'UB')
('SL22517-2022-11-02-4581','S191-21','GLTqovPwPYKuYoeT', 'MB')
('SL12058-2022-11-01-4461','S186-21','ddyviPwRIkWKYt', 'MB')
('AC22517-2022-11-02-4604','A256-14','CEhwEDHDr', 'LB')
('SL22517-2022-11-02-4582','S191-22','gOdsrhjKSE', 'UB')
('AC22517-2022-11-01-4502','A251-2','kYZBWFkTVohL', 'LB')
('SL12058-2022-11-01-4463','S186-23','DAx', 'SL')
('SL22517-2022-11-02-4585','S192-1','u', 'LB')
('SL12058-2022-11-01-4464','S186-24','RQNZvpIhG', 'SU')
('SL04652-2022-11-01-4595','S192-11','Coiw', 'UB')
('SL22517-2022-11-02-4586','S192-2','kbnVdZZGdnHnSt', 'MB')
('AC22517-2022-11-01-4505','A251-5','lBeffLcAlutAa', 'SL')
('AC22517-2022-11-01-4508','A251-8','vxGPCXHlhpoABhSv', 'LB')
('AC04652-2022-11-01-4465','A249-1','SGWIPxciVUVET', 'LB')
('AC22517-2022-11-02-4609','A257-1','Sndf', 'LB')
('AC12058-2022-11-01-4491','A250-9','bbZ', 'UB')
('SL22517-2022-11-02-4589','S192-5','n', 'MB')
('AC04652-2022-11-02-4566','A254-12','kbnrmPvWKmSyapoy', 'SU')
('SL22517-2022-11-02-4590','S192-6','nyWAoETkHdRjpO', 'UB')
('AC22517-2022-11-01-4513','A251-13','ymIfeqtAMjAela', 'LB')
('SL12058-2022-11-01-4466','S187-2','OhDVpcDkrD', 'MB')
('AC22517-2022-11-01-4514','A251-14','wVYyQkJ', 'LB')
('SL04652-2022-11-01-4602','S192-18','yCHzjQjGPxPvKVX', 'MB')
('SL22517-2022-11-02-4592','S192-8','jyDQPuhcjfrt', 'SU')
('AC12058-2022-11-01-4497','A250-15','XgpZxpfTSMIlQCR', 'UB')
('SL22517-2022-11-02-4593','S192-9','pImaHxnFgrIpEMp', 'LB')
('AC22517-2022-11-01-4515','A251-15','eiERZEjyb', 'UB')
('SL04652-2022-11-02-4410','S184-18','TaTv', 'MB')
('AC04652-2022-11-02-4572','A254-18','pSyTaJWMBxNTn', 'SU')
('AC22517-2022-11-02-4617','A257-9','kqCwgEjnjHuXy', 'UB')
('AC22517-2022-11-01-4518','A251-18','HjZdyZtFnWi', 'SU')
('SL12058-2022-11-01-4470','S187-6','GQqdpPDIQyHp', 'UB')
('SL22517-2022-11-02-4595','S192-11','SzTbp', 'UB')
('AC12058-2022-11-01-4502','A251-2','nOTxqgKMWRF', 'LB')
('AC04652-2022-11-02-4576','A255-4','p', 'UB')
('AC22517-2022-11-01-4520','A252-2','DIb', 'LB')
('AC22517-2022-11-01-4521','A252-3','mDpnOSi', 'UB')
('SL12058-2022-11-01-4475','S187-11','RqoOKFiY', 'UB')
('AC04652-2022-11-02-4578','A255-6','jtnsqdbumojfJ', 'SU')
('SL04652-2022-11-02-4417','S185-1','vcEfNXosyhoXFPoE', 'LB')
('AC22517-2022-11-02-4623','A257-15','kGrXhwUv', 'UB')
('SL12058-2022-11-01-4478','S187-14','Mhv', 'UB')
('AC22517-2022-11-01-4524','A252-6','chBqhyyHcwBGIrsm', 'SU')
('AC04652-2022-11-02-4584','A255-12','BNJrEvPaRqEkbx', 'SU')
('AC22517-2022-11-02-4625','A257-17','VIeMJNhhBf', 'SL')
('AC12058-2022-11-01-4506','A251-6','JJoLhAYfaoA', 'SU')
('SL22517-2022-11-01-4470','S187-6','TP', 'UB')
('SL04652-2022-11-01-4610','S193-2','ONBR', 'MB')
('AC22517-2022-11-02-4627','A258-1','NfDKCllbGaZVA', 'LB')
('AC22517-2022-11-01-4526','A252-8','zxjvr', 'LB')
('SL04652-2022-11-01-4613','S193-5','mikwTEAgJ', 'MB')
('SL22517-2022-11-02-4600','S192-16','qABHU', 'SU')
('SL22517-2022-11-02-4601','S192-17','RYgASGwcZMThuW', 'LB')
('SL04652-2022-11-02-4421','S185-5','KsuYMKEbJgpdmyIi', 'MB')
('AC22517-2022-11-02-4632','A258-6','KVtCIVSEdpOw', 'SU')
('AC04652-2022-11-02-4586','A255-14','KuDlDLNgexnspQzS', 'LB')
('SL22517-2022-11-01-4474','S187-10','IxxW', 'MB')
('SL12058-2022-11-01-4482','S187-18','lGEdXTESqFGX', 'MB')
('SL22517-2022-11-01-4476','S187-12','lrIMnP', 'LB')
('SL22517-2022-11-02-4606','S192-22','gRwqOGOpQIYlRjS', 'UB')
('SL04652-2022-11-01-4616','S193-8','D', 'SU')
('SL12058-2022-11-01-4487','S187-23','cxcZkcPcGe', 'SL')
('AC04652-2022-11-02-4588','A255-16','Hvm', 'UB')
('AC22517-2022-11-01-4532','A252-14','RMeCTbfwGW', 'LB')
('SL04652-2022-11-02-4430','S185-14','FQIGqhtAVuNDZXpv', 'UB')
('AC22517-2022-11-02-4636','A258-10','GykZvrvYgfDyRy', 'UB')
('AC22517-2022-11-02-4637','A258-11','FWlUZahpkLdCwOZ', 'SL')
('AC04652-2022-11-02-4590','A255-18','aqHoXqjk', 'SU')
('AC04652-2022-11-01-4492','A250-10','inqICI', 'UB')
('AC22517-2022-11-02-4640','A258-14','vNHnmq', 'LB')
('AC04652-2022-11-01-4494','A250-12','ZzGdpiTS', 'SU')
('SL22517-2022-11-01-4481','S187-17','caGuajRHf', 'LB')
('AC04652-2022-11-01-4496','A250-14','GtjG', 'LB')
('SL22517-2022-11-02-4610','S193-2','Vn', 'MB')
('SL04652-2022-11-01-4622','S193-14','ucilHVvSCcEl', 'UB')
('SL12058-2022-11-01-4493','S188-5','EmBPKYBGxpo', 'MB')
('SL22517-2022-11-01-4485','S187-21','KmiAFY', 'MB')
('SL12058-2022-11-01-4495','S188-7','vQrRUVDcOPkvn', 'SL')
('SL22517-2022-11-01-4487','S187-23','GccOlUDZGXTruCQ', 'SL')
('AC04652-2022-11-02-4594','A256-4','zlZsO', 'UB')
('AC04652-2022-11-02-4595','A256-5','DkHa', 'SL')
