('SL12058-2022-11-01-4988','S208-20','ZyEnunWOI', 'LB')
('AC22517-2022-11-01-7630','A424-16','WWZtmx', 'UB')
('AC04652-2022-11-02-7644','A425-12','FYWKOJcNmTLfSX', 'SU')
('AC12058-2022-11-01-7692','A428-6','mlvIpCw', 'SU')
('AC22517-2022-11-02-7766','A432-8','IxoevcBrensO', 'LB')
('SL04652-2022-11-02-7637','S319-5','B', 'MB')
('SL22517-2022-11-02-7652','S319-20','wFSlaT', 'LB')
('SL22517-2022-11-01-7547','S315-11','klEF', 'UB')
('SL22517-2022-11-02-7653','S319-21','CoeXmvSaw', 'MB')
('AC22517-2022-11-01-7706','A429-2','LoW', 'LB')
('SL22517-2022-11-01-7549','S315-13','h', 'MB')
('AC22517-2022-11-02-7770','A432-12','sIeoIVKpdsZCaS', 'SU')
('AC12058-2022-11-01-7697','A428-11','DGwYHmxsTWnOKGGe', 'SL')
('AC22517-2022-11-01-7771','A432-13','oOYrSOugKt', 'LB')
('AC12058-2022-11-01-7759','A432-1','l', 'LB')
('AC04652-2022-11-02-7793','A433-17','EWMMSJNWfnCXQj', 'SL')
('AC22517-2022-11-01-7773','A432-15','osZsuFhABESmp', 'UB')
('AC04652-2022-11-02-7795','A434-1','LcTXSlRGe', 'LB')
('SL04652-2022-11-01-7695','S321-15','DbHzKNENTgbJMvG', 'SL')
('SL04652-2022-11-01-7696','S321-16','AkvygAMcWgz', 'SU')
('SL12058-2022-11-01-7548','S315-12','LaotXWRJQU', 'LB')
('AC04652-2022-11-02-7798','A434-4','JCdEtaSaayMrJ', 'UB')
('AC12058-2022-11-01-7769','A432-11','RwjCJqnPwyeiV', 'SL')
('AC04652-2022-11-01-8045','A447-17','eHj', 'SL')
('SL22517-2022-11-02-7731','S323-3','HWKJUmAnFQJXB', 'UB')
('SL22517-2022-11-01-7643','S319-11','eMMPvMRCzXsgesMP', 'UB')
('SL22517-2022-11-02-7734','S323-6','PS', 'UB')
('AC22517-2022-11-01-7806','A434-12','TdVOMzWlrLzLep', 'SU')
('AC12058-2022-11-01-7789','A433-13','xEME', 'LB')
('AC22517-2022-11-02-7927','A441-7','eY', 'LB')
('SL12058-2022-11-01-7624','S318-16','bNTwfYyBXoondKWb', 'SU')
('SL22517-2022-11-01-7719','S322-15','uPh', 'SL')
('SL22517-2022-11-02-7809','S326-9','IYXOdAjou', 'LB')
('SL04652-2022-11-02-7823','S326-23','K', 'SL')
('SL22517-2022-11-01-7734','S323-6','zLcLWBBYgjGsP', 'UB')
('SL22517-2022-11-01-7735','S323-7','ecxoYppAAQSrt', 'SL')
('AC04652-2022-11-02-7903','A440-1','SydJCJGKsfNr', 'LB')
('SL22517-2022-11-02-7841','S327-17','rSZJfxZL', 'LB')
('AC22517-2022-11-01-7905','A440-3','oWobYdwEZFDiR', 'UB')
('SL22517-2022-11-01-7776','S324-24','T', 'SU')
('AC22517-2022-11-02-7991','A444-17','sjHmNWIiKrb', 'SL')
('SL04652-2022-11-01-7861','S328-13','gzUQZRwTwerzbvlg', 'MB')
('AC04652-2022-11-01-8182','A455-10','IjBtYTdWeJ', 'UB')
('SL12058-2022-11-01-7695','S321-15','DWhuDxO', 'SL')
('SL04652-2022-11-01-7868','S328-20','tJreWJxsW', 'LB')
('SL22517-2022-11-02-7872','S328-24','HUHDiWd', 'SU')
('SL22517-2022-11-02-7873','S329-1','cRUx', 'LB')
('AC22517-2022-11-01-7928','A441-8','GyIezzCU', 'LB')
('SL12058-2022-11-01-7708','S322-4','LgzsIY', 'LB')
('AC04652-2022-11-01-8196','A456-6','SesHTkxBauW', 'SU')
('AC22517-2022-11-02-8005','A445-13','FrlTK', 'LB')
('SL22517-2022-11-01-7793','S325-17','YZv', 'LB')
('SL04652-2022-11-02-7883','S329-11','wjhLnXDkjXyVvhV', 'UB')
('SL22517-2022-11-02-7880','S329-8','OLJzSlrckqlFzuPF', 'SU')
('AC22517-2022-11-02-8010','A445-18','reJZp', 'SU')
('SL22517-2022-11-01-7801','S326-1','Nue', 'LB')
('SL22517-2022-11-02-7883','S329-11','nW', 'UB')
('AC12058-2022-11-01-7951','A442-13','YLVioAts', 'LB')
('SL04652-2022-11-01-7899','S330-3','dgAkkW', 'UB')
('AC12058-2022-11-01-7965','A443-9','G', 'UB')
('SL04652-2022-11-01-7912','S330-16','eW', 'SU')
('AC22517-2022-11-02-8042','A447-14','lovGTZjBOKLlz', 'LB')
('SL04652-2022-11-02-7923','S331-3','DylPox', 'UB')
('AC22517-2022-11-01-7994','A445-2','MWvXFUxmbOrcSzQ', 'LB')
('AC04652-2022-11-02-8075','A449-11','tOLnUglFwVeCe', 'SL')
('SL22517-2022-11-02-7996','S334-4','u', 'LB')
('SL22517-2022-11-01-7958','S332-14','TneFof', 'UB')
('SL12058-2022-11-01-7925','S331-5','MUPCyjFmW', 'MB')
('SL04652-2022-11-02-8079','S337-15','BoKjYUviF', 'SL')
('AC12058-2022-11-01-8154','A453-18','zgNETUsMaa', 'SU')
('AC04652-2022-11-01-8418','A468-12','jRSmsgjHW', 'SU')
('AC04652-2022-11-01-8419','A468-13','jgtaIdstCRW', 'LB')
('SL22517-2022-11-02-8094','S338-6','kbyCnnOOmPP', 'UB')
('AC04652-2022-11-02-8189','A455-17','CRALXvYkfwrlJB', 'SL')
('AC22517-2022-11-02-8235','A458-9','XgaLqBplFiYqaFjV', 'UB')
('SL04652-2022-11-02-8113','S339-1','TlZbo', 'LB')
('SL04652-2022-11-01-8140','S340-4','EfDcffmMcftC', 'LB')
('AC04652-2022-11-01-8449','A470-7','xpCiBrudQA', 'LB')
('SL22517-2022-11-02-8122','S339-10','cryGGCnMAmMg', 'MB')
('AC04652-2022-11-01-8451','A470-9','VsxDSEAaOXlCDaSh', 'UB')
('AC04652-2022-11-02-8216','A457-8','gOImjuDvUjvmxrae', 'LB')
('SL04652-2022-11-01-8148','S340-12','TQNCitlYUOJOKkE', 'LB')
('AC12058-2022-11-01-8189','A455-17','gSNj', 'SL')
('AC22517-2022-11-01-8175','A455-3','KpcnwNaCiHuH', 'UB')
('SL12058-2022-11-01-7984','S333-16','wqMIYXvSg', 'SU')
('SL22517-2022-11-02-8128','S339-16','vxPzjI', 'SU')
('AC04652-2022-11-01-8463','A471-3','UdSBrQcaih', 'UB')
('SL04652-2022-11-01-8167','S341-7','RJWYhptzCwhoDzRw', 'SL')
('SL22517-2022-11-02-8147','S340-11','CbolNJJULOkgUGM', 'UB')
('SL04652-2022-11-02-8138','S340-2','ydqgBtc', 'MB')
('AC22517-2022-11-02-8269','A460-7','LMPAdgcdIu', 'LB')
('AC22517-2022-11-02-8270','A460-8','pSJHAGffs', 'LB')
('SL22517-2022-11-01-8069','S337-5','hIMI', 'MB')
('AC22517-2022-11-01-8206','A456-16','ttwklizD', 'UB')
('SL12058-2022-11-01-8016','S334-24','RmcoF', 'SU')
('AC22517-2022-11-01-8207','A456-17','cjLfUowsh', 'SL')
('AC04652-2022-11-01-8488','A472-10','s', 'UB')
('AC04652-2022-11-02-8258','A459-14','kaeI', 'LB')
('AC22517-2022-11-02-8281','A461-1','DgxnxbTocU', 'LB')
('AC04652-2022-11-02-8262','A459-18','gCXVkJceuYdtWte', 'SU')
('AC22517-2022-11-02-8282','A461-2','owUIbgy', 'LB')
('AC04652-2022-11-02-8264','A460-2','qJyCFJDAiXmiBDsF', 'LB')
('SL04652-2022-11-01-8189','S342-5','XuXQEz', 'MB')
('AC04652-2022-11-02-8267','A460-5','JmPkdwmjHluWlGl', 'SL')
('AC22517-2022-11-01-8219','A457-11','vpYYtJoZfmqdY', 'SL')
('SL12058-2022-11-01-8025','S335-9','ZPXSsdnC', 'LB')
('AC04652-2022-11-01-8497','A473-1','tXBFxBacChzjCe', 'LB')
('AC04652-2022-11-02-8273','A460-11','CSN', 'SL')
('SL04652-2022-11-02-8163','S341-3','qeDH', 'UB')
('AC22517-2022-11-01-8228','A458-2','tUkIMdZhhEyP', 'LB')
('SL22517-2022-11-01-8101','S338-13','pmTUKyB', 'MB')
('SL22517-2022-11-01-8105','S338-17','HXHwsQsUqEmoJzk', 'LB')
('AC22517-2022-11-01-8233','A458-7','rTZDtqPtT', 'LB')
('SL22517-2022-11-01-8121','S339-9','Jb', 'LB')
('AC04652-2022-11-01-8524','A474-10','kG', 'UB')
('AC22517-2022-11-01-8248','A459-4','lRBOKrvcD', 'UB')
('AC04652-2022-11-01-8528','A474-14','OtORUyyqNgl', 'LB')
('AC12058-2022-11-01-8264','A460-2','WzwPDRS', 'LB')
('AC04652-2022-11-02-8302','A462-4','OMweJYUAmUgcl', 'UB')
('SL04652-2022-11-02-8190','S342-6','XyplVUfZ', 'UB')
('SL04652-2022-11-02-8205','S342-21','nPOoQk', 'MB')
('AC22517-2022-11-02-8346','A464-12','o', 'SU')
('AC22517-2022-11-01-8267','A460-5','LQPrdaMdYypScPSB', 'SL')
('SL12058-2022-11-01-8074','S337-10','stDLkxiFph', 'MB')
('SL22517-2022-11-01-8170','S341-10','bNvArPVpeycHuCR', 'MB')
('SL22517-2022-11-01-8171','S341-11','mDW', 'UB')
('SL22517-2022-11-01-8172','S341-12','vzgxufQlKLl', 'LB')
('SL04652-2022-11-02-8229','S343-21','haUHYKoRAVlPEa', 'MB')
('AC22517-2022-11-01-8294','A461-14','uiPWIMxhs', 'LB')
('SL04652-2022-11-01-8264','S345-8','tQdBiHGpOs', 'SU')
('AC04652-2022-11-02-8359','A465-7','TQHHsaPRk', 'LB')
('AC04652-2022-11-02-8360','A465-8','XWOuGMDtvyHAui', 'LB')
('AC12058-2022-11-01-8331','A463-15','QSKcnWrJTZ', 'UB')
('SL12058-2022-11-01-8123','S339-11','ZqweywnsqUB', 'UB')
('SL22517-2022-11-02-8281','S346-1','tiftLucNryyHFV', 'LB')
('SL04652-2022-11-02-8306','S347-2','oqVbeX', 'MB')
('AC22517-2022-11-02-8454','A470-12','TANYkoZbebjdDGHi', 'SU')
('AC22517-2022-11-01-8363','A465-11','YgyRKFf', 'SL')
('SL04652-2022-11-01-8332','S348-4','cpcOYEtgdVtGjHa', 'LB')
('AC22517-2022-11-02-8459','A470-17','ATPaszzScE', 'SL')
('SL22517-2022-11-02-8325','S347-21','XPrpNz', 'MB')
('SL12058-2022-11-01-8169','S341-9','JNXCugrTPnzxtQ', 'LB')
('SL04652-2022-11-02-8325','S347-21','fYm', 'MB')
('AC04652-2022-11-02-8438','A469-14','ksEEiZ', 'LB')
('AC12058-2022-11-01-8392','A467-4','iFIBTOevKvMxc', 'UB')
('AC04652-2022-11-01-8667','A482-9','gvzFCwXtpBZbg', 'UB')
('SL22517-2022-11-01-8284','S346-4','i', 'LB')
('SL04652-2022-11-02-8350','S348-22','TblSZzOUJjXOYJol', 'UB')
('AC04652-2022-11-02-8464','A471-4','kNEtVacbjCnNOu', 'UB')
('SL22517-2022-11-02-8347','S348-19','NOCCyoze', 'UB')
('SL22517-2022-11-01-8295','S346-15','iUOvJy', 'SL')
('SL22517-2022-11-02-8353','S349-1','OPBSoHUVHafpK', 'LB')
('AC22517-2022-11-02-8511','A473-15','HNiWriOHsI', 'UB')
('SL04652-2022-11-01-8372','S349-20','VybTEaOLFTzWkoc', 'LB')
('SL22517-2022-11-02-8357','S349-5','AJxYNVhZDA', 'MB')
('AC12058-2022-11-01-8411','A468-5','u', 'SL')
('SL04652-2022-11-01-8385','S350-9','AvmDGcjaUM', 'LB')
('AC22517-2022-11-01-8447','A470-5','LpiJBniRsfg', 'SL')
('AC04652-2022-11-01-8719','A485-7','AHmwZnRvBLyCB', 'LB')
('AC04652-2022-11-01-8720','A485-8','ssFX', 'LB')
('SL04652-2022-11-01-8418','S351-18','BySmPWWWHbFgLZk', 'MB')
('SL22517-2022-11-01-8341','S348-13','KTuz', 'MB')
('SL04652-2022-11-02-8424','S351-24','l', 'SU')
('SL22517-2022-11-01-8392','S350-16','uYdSLbQOKFMky', 'SU')
('AC22517-2022-11-02-8609','A479-5','ZVEqDqdHa', 'SL')
('AC22517-2022-11-01-8544','A475-12','riXAfPSbk', 'SU')
('SL12058-2022-11-01-8333','S348-5','q', 'MB')
('SL22517-2022-11-01-8435','S352-11','qqgOnPk', 'UB')
('AC12058-2022-11-01-8545','A475-13','xPJhbICgtMCaAn', 'LB')
('SL22517-2022-11-02-8478','S354-6','mxB', 'UB')
('AC22517-2022-11-02-8648','A481-8','RgBnc', 'LB')
('SL04652-2022-11-02-8495','S354-23','sQBcpWzyHCJXYA', 'SL')
('AC12058-2022-11-01-8562','A476-12','WpNpMEggiNLJf', 'SU')
('AC22517-2022-11-02-8683','A483-7','jwlkWzAP', 'LB')
('AC12058-2022-11-01-8595','A478-9','aDRdZz', 'UB')
('SL22517-2022-11-02-8520','S355-24','TjcgpnaZXZ', 'SU')
('AC22517-2022-11-01-8625','A480-3','l', 'UB')
('AC22517-2022-11-02-8704','A484-10','mueAfDcNE', 'UB')
('AC22517-2022-11-01-8627','A480-5','EpSNuxVw', 'SL')
('AC22517-2022-11-01-8628','A480-6','I', 'SU')
('SL12058-2022-11-01-8414','S351-14','go', 'UB')
('AC22517-2022-11-02-8708','A484-14','nxjzceiQg', 'LB')
('SL22517-2022-11-01-8516','S355-20','k', 'LB')
('SL04652-2022-11-01-8577','S358-9','zJdzbHLdHPLv', 'LB')
('AC22517-2022-11-02-8715','A485-3','aZWYURuu', 'UB')
('AC04652-2022-11-01-8896','A495-4','zBNzxftAwPhAXxUz', 'UB')
('SL04652-2022-11-02-8574','S358-6','won', 'UB')
('AC04652-2022-11-01-8897','A495-5','AnDLwjxBYwVz', 'SL')
('SL22517-2022-11-01-8522','S356-2','xmBuOpCJuQdwhM', 'MB')
('AC12058-2022-11-01-8655','A481-15','GSXilvVKDE', 'UB')
('AC04652-2022-11-01-8929','A497-1','bgqXkQwHBAia', 'LB')
('AC22517-2022-11-02-8742','A486-12','szycDxczns', 'SU')
('SL04652-2022-11-02-8611','S359-19','IhykkdNQmAkXck', 'UB')
('AC04652-2022-11-01-8952','A498-6','zDegdQMcOM', 'SU')
('AC22517-2022-11-01-8689','A483-13','vtvF', 'LB')
('AC12058-2022-11-01-8702','A484-8','yJjji', 'LB')
('SL04652-2022-11-01-8642','S361-2','nmC', 'MB')
('SL22517-2022-11-02-8616','S359-24','IOuxUWjQOnOhl', 'SU')
('SL12058-2022-11-01-8500','S355-4','UujXjrQRJ', 'LB')
('AC04652-2022-11-02-8772','A488-6','DySRzfogdvpHPKo', 'SU')
('SL04652-2022-11-02-8664','S361-24','bVaQCfWpaJp', 'SU')
('SL22517-2022-11-01-8608','S359-16','ecZdXEwng', 'SU')
('AC04652-2022-11-02-8799','A489-15','Ep', 'UB')
('SL12058-2022-11-01-8528','S356-8','mnPghTVIZcHL', 'SU')
('SL04652-2022-11-01-8683','S362-19','k', 'UB')
('AC22517-2022-11-02-8825','A491-5','o', 'SL')
('AC12058-2022-11-01-8750','A487-2','tjx', 'LB')
('AC04652-2022-11-02-8829','A491-9','DnMUvQaS', 'UB')
('SL12058-2022-11-01-8560','S357-16','sqlZElEObkFiwf', 'SU')
('AC12058-2022-11-01-8765','A487-17','PLhEhQJNBudPB', 'SL')
('AC04652-2022-11-01-9049','A503-13','oJVkHEFXTBTkl', 'LB')
('AC04652-2022-11-01-9050','A503-14','OwtWdToImjFgXb', 'LB')
('AC04652-2022-11-02-8834','A491-14','tcQGlFlFqNoBuqab', 'LB')
('AC04652-2022-11-01-9053','A503-17','nGepFlvVfhVLT', 'SL')
('AC04652-2022-11-01-9054','A503-18','HyHj', 'SU')
('SL04652-2022-11-01-8720','S364-8','sLeANCrGtimqDFuZ', 'SU')
('SL22517-2022-11-02-8709','S363-21','MUpFsIwWSgMPk', 'MB')
('SL22517-2022-11-01-8689','S363-1','uQrFxZj', 'LB')
('AC04652-2022-11-01-9093','A506-3','yS', 'UB')
('SL04652-2022-11-01-8746','S365-10','YKoJGvC', 'MB')
('AC22517-2022-11-02-8873','A493-17','yTyYPWJDsXNv', 'SL')
('AC12058-2022-11-01-8806','A490-4','gKNmCMVOoAjtHq', 'UB')
('AC22517-2022-11-01-8811','A490-9','VaV', 'UB')
('SL12058-2022-11-01-8595','S359-3','yGUBdwc', 'UB')
('AC04652-2022-11-01-9102','A506-12','nFHLYltoRZPEK', 'SU')
('AC22517-2022-11-02-8879','A494-5','DaFfTKp', 'SL')
('SL22517-2022-11-02-8743','S365-7','AaQI', 'SL')
('SL22517-2022-11-02-8819','S368-11','jCvkwZWVteZOo', 'UB')
('AC04652-2022-11-02-8953','A498-7','VxIlgrapemNAf', 'LB')
('SL04652-2022-11-02-8848','S369-16','fs', 'SU')
('AC12058-2022-11-01-8896','A495-4','MCYdTrwPxy', 'UB')
('SL22517-2022-11-01-8796','S367-12','CiiAGye', 'LB')
('SL22517-2022-11-01-8797','S367-13','ZRe', 'MB')
('AC04652-2022-11-01-9178','A510-16','NSvjN', 'UB')
('AC04652-2022-11-01-9181','A511-1','MSJQyVmyetti', 'LB')
('SL04652-2022-11-01-8846','S369-14','MAvXZqfftdZEY', 'UB')
('SL12058-2022-11-01-8718','S364-6','gwAYlJHCLH', 'UB')
('SL04652-2022-11-02-8871','S370-15','KAoYPRfWkoaGh', 'SL')
('AC04652-2022-11-01-9205','A512-7','MFQqHfJzQFFll', 'LB')
('SL04652-2022-11-01-8855','S369-23','ElTLgVISlT', 'SL')
('AC04652-2022-11-02-8976','A499-12','KVFDGBgBCUn', 'SU')
('AC04652-2022-11-01-9208','A512-10','McRCqPwFVP', 'UB')
('AC04652-2022-11-02-8980','A499-16','kDlUrckFgllGo', 'UB')
('AC12058-2022-11-01-8931','A497-3','uSKqcdCX', 'UB')
('SL12058-2022-11-01-8723','S364-11','JDERjTrjhipmvIz', 'UB')
('AC04652-2022-11-02-8982','A499-18','mBIdwEXHuihPgyBd', 'SU')
('AC04652-2022-11-02-8983','A500-1','FQmNiNUrdK', 'LB')
('SL04652-2022-11-02-8882','S371-2','AeQI', 'MB')
('AC12058-2022-11-01-8933','A497-5','uwxumLTcTaBynNDt', 'SL')
('SL04652-2022-11-01-8866','S370-10','hwll', 'MB')
('AC22517-2022-11-01-8950','A498-4','GGETULTbM', 'UB')
('SL12058-2022-11-01-8730','S364-18','oPmzllNaFOb', 'MB')
('SL22517-2022-11-02-8872','S370-16','KyyygyBFlraO', 'SU')
('SL12058-2022-11-01-8741','S365-5','PmtVXPUiVJEb', 'MB')
('SL12058-2022-11-01-8742','S365-6','QuBhFzEGknZupP', 'UB')
('SL22517-2022-11-01-8841','S369-9','OTwF', 'LB')
('SL22517-2022-11-02-8889','S371-9','bmWmUJYYsc', 'LB')
('SL22517-2022-11-02-8964','S374-12','eYTUhbCxf', 'LB')
('SL22517-2022-11-01-8935','S373-7','LzQHg', 'SL')
('SL04652-2022-11-02-8976','S374-24','VaL', 'SU')
('SL04652-2022-11-01-8987','S375-11','YcWyFAdE', 'UB')
('SL22517-2022-11-02-8977','S375-1','DFvJnsDlrDz', 'LB')
('AC04652-2022-11-02-9094','A506-4','OkTYrKgtL', 'UB')
('AC22517-2022-11-02-9115','A507-7','oTtawHScfpqVTkcS', 'LB')
('AC22517-2022-11-01-9051','A503-15','XRjTcDQJgfDAf', 'UB')
('AC22517-2022-11-02-9130','A508-4','l', 'UB')
('AC22517-2022-11-02-9131','A508-5','XVPWYEgsLSp', 'SL')
('AC22517-2022-11-01-9094','A506-4','cWHBvzGcuCZCriE', 'UB')
('AC04652-2022-11-01-9392','A522-14','MKZLceJzJxEfy', 'LB')
('AC22517-2022-11-02-9173','A510-11','JbrWaiNEMZJ', 'SL')
('AC22517-2022-11-02-9174','A510-12','zB', 'SU')
('AC12058-2022-11-01-9100','A506-10','kyLnMYR', 'UB')
('SL12058-2022-11-01-8916','S372-12','DQTyAdUnmy', 'LB')
('AC22517-2022-11-01-9122','A507-14','pqIAKhCx', 'LB')
('SL12058-2022-11-01-8947','S373-19','DtJlPdjUSxojG', 'UB')
('SL04652-2022-11-01-9083','S379-11','nXmQsSlHeittXI', 'UB')
('AC12058-2022-11-01-9129','A508-3','zuPHRHbxrFAzNQYM', 'UB')
('AC22517-2022-11-01-9143','A508-17','KD', 'SL')
('SL12058-2022-11-01-8974','S374-22','wwGUqrztpTmnfdkQ', 'UB')
('AC04652-2022-11-01-9438','A525-6','EgBgetkZRI', 'SU')
('SL04652-2022-11-02-9095','S379-23','x', 'SL')
('AC04652-2022-11-02-9197','A511-17','e', 'SL')
('AC04652-2022-11-01-9442','A525-10','GUfdsADF', 'UB')
('SL22517-2022-11-01-9042','S377-18','qCwQJDcHxjYVl', 'MB')
('SL04652-2022-11-01-9099','S380-3','RzKUV', 'UB')
('SL04652-2022-11-01-9100','S380-4','DuknEFK', 'LB')
('AC04652-2022-11-01-9443','A525-11','jlLgFNSujzfQQw', 'SL')
('AC12058-2022-11-01-9196','A511-16','aS', 'UB')
('SL12058-2022-11-01-9019','S376-19','BVmRqGTyH', 'UB')
('SL22517-2022-11-02-9133','S381-13','MaRXVH', 'MB')
('AC12058-2022-11-01-9201','A512-3','qFgYbqMQK', 'UB')
('SL04652-2022-11-01-9128','S381-8','QRqnWhe', 'SU')
('AC04652-2022-11-01-9568','A532-10','SArDECjOyFMKTsJ', 'UB')
('AC04652-2022-11-02-9348','A520-6','Z', 'SU')
('SL12058-2022-11-01-9101','S380-5','pGCnDevbxvw', 'MB')
('AC04652-2022-11-02-9359','A520-17','Jy', 'SL')
('AC04652-2022-11-02-9360','A520-18','XFxeBDi', 'SU')
('AC04652-2022-11-02-9362','A521-2','e', 'LB')
('SL22517-2022-11-02-9228','S385-12','IZuqTsdAziahARs', 'LB')
('SL22517-2022-11-02-9255','S386-15','OZN', 'SL')
('SL22517-2022-11-01-9217','S385-1','IPFXeqFfuDXegS', 'LB')
('AC22517-2022-11-02-9379','A522-1','OjdbrnEqSMc', 'LB')
('AC22517-2022-11-02-9380','A522-2','gzUAzHXimJbIwz', 'LB')
('AC12058-2022-11-01-9345','A520-3','nJfNlOdit', 'UB')
('SL04652-2022-11-01-9264','S386-24','i', 'SU')
('SL04652-2022-11-02-9285','S387-21','VWlcElacSojjvwMl', 'MB')
('AC04652-2022-11-01-9639','A536-9','sjDPhCpxycozdLYB', 'UB')
('SL12058-2022-11-01-9161','S382-17','Itr', 'LB')
('AC22517-2022-11-02-9397','A523-1','qhlFWTlEb', 'LB')
('SL12058-2022-11-01-9169','S383-1','GB', 'LB')
('SL22517-2022-11-01-9245','S386-5','lIFe', 'MB')
('AC04652-2022-11-01-9645','A536-15','FzRB', 'UB')
('AC22517-2022-11-01-9404','A523-8','xfz', 'LB')
('SL04652-2022-11-02-9318','S389-6','PqzZ', 'UB')
('SL22517-2022-11-02-9316','S389-4','OGxduNSxKogEh', 'LB')
('AC04652-2022-11-01-9664','A537-16','HtnDDefbH', 'UB')
('AC22517-2022-11-01-9452','A526-2','oMFIle', 'LB')
('SL22517-2022-11-02-9359','S390-23','iUEwBHOPNFqCXdd', 'SL')
('SL22517-2022-11-01-9314','S389-2','OL', 'MB')
('AC22517-2022-11-01-9457','A526-7','YV', 'LB')
('AC04652-2022-11-01-9725','A541-5','hyOxpVbxj', 'SL')
('AC04652-2022-11-02-9487','A528-1','so', 'LB')
('SL12058-2022-11-01-9260','S386-20','SLIQ', 'LB')
('SL22517-2022-11-01-9332','S389-20','gcHM', 'LB')
('SL04652-2022-11-01-9393','S392-9','XLg', 'LB')
('AC22517-2022-11-02-9498','A528-12','IB', 'SU')
('AC04652-2022-11-01-9748','A542-10','VH', 'UB')
('SL22517-2022-11-02-9405','S392-21','ld', 'MB')
('SL04652-2022-11-02-9408','S392-24','Fegp', 'SU')
('SL04652-2022-11-02-9409','S393-1','JFQSvy', 'LB')
('SL12058-2022-11-01-9288','S387-24','dURTgXRPCqr', 'SU')
('AC04652-2022-11-02-9523','A530-1','IOZldKbJLuv', 'LB')
('AC12058-2022-11-01-9494','A528-8','JJiLEUEy', 'LB')
('AC04652-2022-11-01-9763','A543-7','lvVsTsToq', 'LB')
('SL12058-2022-11-01-9295','S388-7','xrPlNygf', 'SL')
('AC22517-2022-11-01-9506','A529-2','nTRASNCOSERC', 'LB')
('AC22517-2022-11-02-9526','A530-4','CIncPsneyQlF', 'UB')
('SL22517-2022-11-01-9364','S391-4','aKEqQKZANFNtikA', 'LB')
('SL22517-2022-11-01-9367','S391-7','BfMQYkNpirR', 'SL')
('AC12058-2022-11-01-9560','A532-2','FqvWzyrOVhzLAFpY', 'LB')
('AC22517-2022-11-02-9579','A533-3','HERxftuHyD', 'UB')
('SL22517-2022-11-01-9415','S393-7','JHmtIuKDHeC', 'SL')
('SL04652-2022-11-02-9481','S396-1','hNOYTFtUOyxbeAV', 'LB')
('SL12058-2022-11-01-9350','S390-14','DJBOYCDcYN', 'UB')
('AC04652-2022-11-02-9581','A533-5','SFuEvQtyEnLQJSe', 'SL')
('AC22517-2022-11-02-9583','A533-7','aCalTpCjKl', 'LB')
('SL04652-2022-11-02-9484','S396-4','nT', 'LB')
('SL04652-2022-11-01-9458','S395-2','bwFiyXky', 'MB')
('AC22517-2022-11-01-9559','A532-1','jXrqDkqaqmHo', 'LB')
('AC04652-2022-11-02-9584','A533-8','NUnVTzDoLEMWvTr', 'LB')
('AC22517-2022-11-01-9560','A532-2','sZIMsBcfn', 'LB')
('AC22517-2022-11-01-9561','A532-3','TiDjrUpFoP', 'UB')
('AC04652-2022-11-01-9837','A547-9','cGOylRrHTbGGEW', 'UB')
('AC22517-2022-11-01-9563','A532-5','qjgzF', 'SL')
('AC04652-2022-11-02-9585','A533-9','Af', 'UB')
('SL04652-2022-11-01-9470','S395-14','azA', 'UB')
('AC04652-2022-11-01-9845','A547-17','rabeQWfYpfYYaEjA', 'SL')
('AC12058-2022-11-01-9659','A537-11','tEBC', 'SL')
('SL22517-2022-11-02-9577','S400-1','cZEcjYM', 'LB')
('AC04652-2022-11-01-9915','A551-15','WnTCukFrAqDtAwx', 'UB')
('SL04652-2022-11-02-9568','S399-16','HwcfrsD', 'SU')
('AC22517-2022-11-02-9690','A539-6','qMJcTdsmdeMmtHzU', 'SU')
('SL22517-2022-11-01-9516','S397-12','fqzcygLBMRhqv', 'LB')
('AC04652-2022-11-02-9708','A540-6','ZXSzyEZLr', 'SU')
('AC22517-2022-11-01-9698','A539-14','TQAcmBGtFYxVe', 'LB')
('AC12058-2022-11-01-9723','A541-3','aNzhKOrtldh', 'UB')
('AC12058-2022-11-01-9728','A541-8','FE', 'LB')
('AC22517-2022-11-01-9716','A540-14','fLXqkSacipM', 'LB')
('SL22517-2022-11-02-9645','S402-21','XeIY', 'MB')
('SL22517-2022-11-02-9646','S402-22','wixfJdhOiCHYs', 'UB')
('AC04652-2022-11-02-9736','A541-16','MTITHqGZWkzc', 'UB')
('AC04652-2022-11-02-9737','A541-17','SmXtavF', 'SL')
('SL12058-2022-11-01-9492','S396-12','gxQpODf', 'LB')
('AC12058-2022-11-01-9745','A542-7','CLn', 'LB')
('AC12058-2022-11-01-9746','A542-8','jlBvN', 'LB')
('AC04652-2022-11-01-9983','A555-11','STpYPxZJAiBXmdX', 'SL')
('SL04652-2022-11-01-9622','S401-22','mXVKNiiasABY', 'UB')
('AC22517-2022-11-01-9725','A541-5','BCt', 'SL')
('SL22517-2022-11-02-9674','S404-2','yvyDtEimSHfz', 'MB')
('SL22517-2022-11-02-9681','S404-9','OwcoMFCDFnGRuVA', 'LB')
('SL22517-2022-11-01-9596','S400-20','tpgkXyaS', 'LB')
('SL22517-2022-11-01-9597','S400-21','ECwph', 'MB')
('SL04652-2022-11-02-9733','S406-13','o', 'MB')
('AC04652-2022-11-01-10068','A560-6','lVfbVwVge', 'SU')
