('SL04652-2022-11-02-11','S1-11','Cfih', 'UB')
('AC22517-2022-11-01-4004','A223-8','QDUuEpi', 'LB')
('SL04652-2022-11-01-4215','S176-15','UTij', 'SL')
('AC12058-2022-11-01-4209','A234-15','jARPwkek', 'UB')
('AC04652-2022-11-01-4256','A237-8','IjAFaHuOnRG', 'LB')
('AC22517-2022-11-01-4032','A224-18','LwocN', 'SU')
('AC04652-2022-11-02-4140','A230-18','AxIFdBgHYW', 'SU')
('SL22517-2022-11-02-4289','S179-17','TJBnSCuSQsdZgq', 'LB')
('AC04652-2022-11-02-4143','A231-3','v', 'UB')
('AC04652-2022-11-02-4144','A231-4','syPn', 'UB')
('AC12058-2022-11-01-4218','A235-6','lGy', 'SU')
('AC04652-2022-11-01-4261','A237-13','CfIG', 'LB')
('SL22517-2022-11-01-4220','S176-20','mKlcPqHXq', 'LB')
('AC12058-2022-11-01-4221','A235-9','Ps', 'UB')
('AC22517-2022-11-01-4043','A225-11','jcMU', 'SL')
('AC12058-2022-11-01-4222','A235-10','bovMfmFmWIjvxIx', 'UB')
('AC22517-2022-11-02-4304','A240-2','hmYztBfr', 'LB')
('SL04652-2022-11-02-4130','S173-2','iPcCCwpIuuO', 'MB')
('SL22517-2022-11-02-4299','S180-3','asuKGOSXJ', 'UB')
('AC04652-2022-11-02-4159','A232-1','RIZu', 'LB')
('SL22517-2022-11-02-4302','S180-6','ZbfvHAbwhlQn', 'UB')
('AC22517-2022-11-01-4052','A226-2','ZTLmaLe', 'LB')
('AC04652-2022-11-02-4173','A232-15','AZ', 'UB')
('AC22517-2022-11-02-4312','A240-10','hXPlKwaO', 'UB')
('SL22517-2022-11-01-4238','S177-14','d', 'UB')
('SL12058-2022-11-01-4215','S176-15','cgperJIyNG', 'SL')
('SL04652-2022-11-02-4145','S173-17','G', 'LB')
('SL04652-2022-11-02-4146','S173-18','cFqLwQSjfVzi', 'MB')
('AC12058-2022-11-01-4242','A236-12','aBEaamRmmOHmduU', 'SU')
('SL04652-2022-11-02-4150','S173-22','ujdjTHz', 'UB')
('AC04652-2022-11-02-4180','A233-4','jNv', 'UB')
('AC04652-2022-11-02-4190','A233-14','xwMFjrnjzKZ', 'LB')
('SL04652-2022-11-02-4167','S174-15','smY', 'SL')
('AC12058-2022-11-01-4254','A237-6','ix', 'SU')
('AC04652-2022-11-01-4291','A239-7','lkRlcx', 'LB')
('SL12058-2022-11-01-4238','S177-14','wWuRDj', 'UB')
('SL12058-2022-11-01-4239','S177-15','iNbZQqIV', 'SL')
('AC12058-2022-11-01-4258','A237-10','sVHeDcKzvpW', 'UB')
('SL12058-2022-11-01-4242','S177-18','t', 'MB')
('SL12058-2022-11-01-4243','S177-19','KJzExZTZYgTXjmU', 'UB')
('AC04652-2022-11-01-4302','A239-18','iVnNuyorYIpdeCz', 'SU')
('SL12058-2022-11-01-4248','S177-24','RpIxhXBMQP', 'SU')
('AC22517-2022-11-02-4333','A241-13','cehAknQtHPG', 'LB')
('AC04652-2022-11-02-4210','A234-16','PzuGIPQs', 'UB')
('SL22517-2022-11-01-4272','S178-24','tLxGABexeex', 'SU')
('AC22517-2022-11-02-4336','A241-16','VkpccnUxWl', 'UB')
('SL12058-2022-11-01-4252','S178-4','BMvrCmbC', 'LB')
('SL04652-2022-11-02-4224','S176-24','WmxyJn', 'SU')
('SL22517-2022-11-01-4327','S181-7','H', 'SL')
('AC12058-2022-11-01-4316','A240-14','NUUgbjSpHyEpfBRx', 'LB')
('SL04652-2022-11-01-4351','S182-7','sCUAKRpSJyHoT', 'SL')
('SL22517-2022-11-01-4368','S182-24','V', 'SU')
('SL04652-2022-11-02-4279','S179-7','tgylcotPoPiod', 'SL')
('AC22517-2022-11-02-4427','A246-17','bDWCBS', 'SL')
('SL22517-2022-11-02-4458','S186-18','d', 'MB')
('SL12058-2022-11-01-4361','S182-17','PJSPTUmeDaqxSAo', 'LB')
('SL12058-2022-11-01-4362','S182-18','lWHmiaVrfLo', 'MB')
('SL12058-2022-11-01-4363','S182-19','EzEIzrtEXtsJh', 'UB')
('SL12058-2022-11-01-4406','S184-14','z', 'UB')
('AC22517-2022-11-01-4245','A236-15','ILtH', 'UB')
('AC12058-2022-11-01-4407','A245-15','PnBXDTwlAXtR', 'UB')
('AC22517-2022-11-01-4249','A237-1','kjxImeXAbLQ', 'LB')
('AC04652-2022-11-01-4468','A249-4','OkaJnEjBeZRXs', 'UB')
('AC04652-2022-11-02-4368','A243-12','pIBthEEd', 'SU')
('AC04652-2022-11-02-4370','A243-14','XGeiESZCnkm', 'LB')
('SL04652-2022-11-02-4344','S181-24','UquRBSAAR', 'SU')
('AC12058-2022-11-01-4412','A246-2','DTRcxtglyX', 'LB')
('SL12058-2022-11-01-4419','S185-3','j', 'UB')
('SL04652-2022-11-02-4346','S182-2','MTa', 'MB')
('SL22517-2022-11-01-4440','S185-24','wofQdsmkuab', 'SU')
('SL04652-2022-11-02-4352','S182-8','fZ', 'SU')
('SL22517-2022-11-02-4522','S189-10','pDOYObcG', 'MB')
('AC22517-2022-11-02-4497','A250-15','QlzP', 'UB')
('SL04652-2022-11-02-4356','S182-12','zCxujO', 'LB')
('SL12058-2022-11-01-4429','S185-13','MPFVFSIWVywgTneT', 'MB')
('AC22517-2022-11-01-4265','A237-17','bwDGQjNa', 'SL')
('SL22517-2022-11-02-4528','S189-16','LKd', 'SU')
('AC22517-2022-11-01-4267','A238-1','UCTowzZ', 'LB')
('AC22517-2022-11-01-4285','A239-1','NrSfiLrvXCnuKQl', 'LB')
('SL04652-2022-11-01-4447','S186-7','dCnRpLsmCZGXcA', 'SL')
('AC04652-2022-11-02-4402','A245-10','oKXbExmKVzpKwuHE', 'UB')
('AC04652-2022-11-02-4403','A245-11','keKrQPtHwmLfvgL', 'SL')
('SL22517-2022-11-02-4544','S190-8','QoMN', 'SU')
('SL22517-2022-11-02-4550','S190-14','uFqIWRrubMRdJzrb', 'UB')
('SL22517-2022-11-02-4551','S190-15','Iv', 'SL')
('SL22517-2022-11-02-4584','S191-24','HJ', 'SU')
('SL22517-2022-11-02-4585','S192-1','ZFkW', 'LB')
('SL22517-2022-11-02-4586','S192-2','Tdi', 'MB')
('AC04652-2022-11-02-4437','A247-9','iwpmOedzNJwH', 'UB')
('AC22517-2022-11-02-4548','A253-12','VzLSiepgZskK', 'SU')
('SL22517-2022-11-02-4588','S192-4','jOujR', 'LB')
('AC04652-2022-11-01-4544','A253-8','xH', 'LB')
('SL04652-2022-11-02-4421','S185-5','inT', 'MB')
('SL12058-2022-11-01-4511','S188-23','xnkruLgaWFEYiwrx', 'SL')
('AC22517-2022-11-02-4580','A255-8','cqHIaoasyRX', 'LB')
('AC04652-2022-11-02-4482','A249-18','hXYwISdx', 'SU')
('AC22517-2022-11-01-4378','A244-4','JCRUlWa', 'UB')
('AC12058-2022-11-01-4528','A252-10','SzmVlEzIaHcX', 'UB')
('AC04652-2022-11-02-4486','A250-4','eLJekT', 'UB')
('SL04652-2022-11-01-4545','S190-9','DDGpzrqvI', 'LB')
('AC12058-2022-11-01-4532','A252-14','PvohMJjsyDyFMkDw', 'LB')
('SL04652-2022-11-02-4463','S186-23','tvDGdqqG', 'SL')
('SL22517-2022-11-02-4632','S193-24','MFEYSfLxUBpVa', 'SU')
('AC12058-2022-11-01-4537','A253-1','MtojMP', 'LB')
('SL12058-2022-11-01-4527','S189-15','HNcGQNivzAaeAy', 'SL')
('AC12058-2022-11-01-4542','A253-6','mpcuBhhILAHKVUpu', 'SU')
('SL22517-2022-11-02-4638','S194-6','DusqUAhisWYdNP', 'UB')
('SL22517-2022-11-02-4639','S194-7','ruanfJkUJocvOSW', 'SL')
('AC22517-2022-11-01-4391','A244-17','kUAUOrV', 'SL')
('AC12058-2022-11-01-4547','A253-11','JmdYlU', 'SL')
('SL22517-2022-11-02-4645','S194-13','Tz', 'MB')
('AC12058-2022-11-01-4550','A253-14','VJEoPLGM', 'LB')
('SL12058-2022-11-01-4540','S190-4','aYJrShtoJRMSaQN', 'LB')
('AC12058-2022-11-01-4552','A253-16','dsiQRdn', 'UB')
('SL22517-2022-11-02-4647','S194-15','TNuWaMZ', 'SL')
('AC12058-2022-11-01-4554','A253-18','YO', 'SU')
('AC04652-2022-11-02-4506','A251-6','jkbXWHqAYyBl', 'SU')
('SL22517-2022-11-02-4650','S194-18','SvGEZtCyV', 'MB')
('AC22517-2022-11-01-4399','A245-7','aoxCqlYAJkSoTjEf', 'LB')
('AC22517-2022-11-01-4400','A245-8','l', 'LB')
('SL04652-2022-11-02-4488','S187-24','vLkHPWXrpovDbo', 'SU')
('AC12058-2022-11-01-4560','A254-6','ZopMgi', 'SU')
('SL22517-2022-11-02-4652','S194-20','uQyHkpOMVGqwJR', 'LB')
('AC22517-2022-11-02-4612','A257-4','Usiqswm', 'UB')
('AC04652-2022-11-02-4513','A251-13','tEycV', 'LB')
('AC22517-2022-11-02-4615','A257-7','LjMLcrwFpqcteQEg', 'LB')
('AC22517-2022-11-02-4616','A257-8','lqZH', 'LB')
('SL04652-2022-11-01-4577','S191-17','VAEoYZEe', 'LB')
('AC04652-2022-11-01-4616','A257-8','lTkMNobogl', 'LB')
('SL04652-2022-11-02-4499','S188-11','kTSODdzNqljniLNu', 'UB')
('AC04652-2022-11-01-4617','A257-9','zRovWdYujiZCWm', 'UB')
('AC04652-2022-11-01-4618','A257-10','pNkVO', 'UB')
('SL04652-2022-11-02-4500','S188-12','lZGUg', 'LB')
('AC04652-2022-11-02-4521','A252-3','WHhyYb', 'UB')
('SL04652-2022-11-01-4583','S191-23','ExjCIISGNSb', 'SL')
('SL22517-2022-11-02-4661','S195-5','SMGSwaAaxUYfuT', 'MB')
('SL04652-2022-11-02-4503','S188-15','vhKlGmMxA', 'SL')
('SL04652-2022-11-01-4586','S192-2','qQXPlMj', 'MB')
('SL04652-2022-11-01-4587','S192-3','zvyCKM', 'UB')
('AC22517-2022-11-02-4632','A258-6','tTjKUrhcTm', 'SU')
('AC04652-2022-11-01-4627','A258-1','od', 'LB')
('SL04652-2022-11-01-4596','S192-12','IMWwyglglzlkKq', 'LB')
('AC12058-2022-11-01-4590','A255-18','OcmvAP', 'SU')
('SL22517-2022-11-02-4682','S196-2','tCnqQZCTBQq', 'MB')
('AC22517-2022-11-02-4689','A261-9','YAoUpkm', 'UB')
('AC04652-2022-11-01-4685','A261-5','pkXkuDlI', 'SL')
('SL22517-2022-11-02-4720','S197-16','mMuPNKqgcc', 'SU')
('SL04652-2022-11-01-4640','S194-8','fcqHE', 'SU')
('AC04652-2022-11-01-4688','A261-8','ShHxwuDijf', 'LB')
('SL04652-2022-11-01-4643','S194-11','VpiHcV', 'UB')
('AC04652-2022-11-01-4689','A261-9','DDTuxe', 'UB')
('AC12058-2022-11-01-4641','A258-15','ZIXbwtwhkgFPFvC', 'UB')
('AC12058-2022-11-01-4642','A258-16','kCrftONyEv', 'UB')
('SL04652-2022-11-02-4578','S191-18','OzZ', 'MB')
('SL04652-2022-11-02-4582','S191-22','VfWfJc', 'UB')
('AC04652-2022-11-02-4591','A256-1','h', 'LB')
('AC22517-2022-11-02-4703','A262-5','FkLCBDxUaZKeW', 'SL')
('SL12058-2022-11-01-4639','S194-7','ovEBjbSXYSMnZpv', 'SL')
('AC04652-2022-11-02-4597','A256-7','tumjRvhi', 'LB')
('SL22517-2022-11-01-4663','S195-7','gTvkXuwpBhRdsDro', 'SL')
('AC22517-2022-11-01-4488','A250-6','i', 'SU')
('SL22517-2022-11-02-4738','S198-10','OpfQ', 'MB')
('AC04652-2022-11-01-4700','A262-2','Y', 'LB')
('SL22517-2022-11-02-4740','S198-12','gPDndyXyi', 'LB')
('SL04652-2022-11-02-4594','S192-10','KCFkjcyHV', 'MB')
('AC22517-2022-11-02-4722','A263-6','OQTdoQtgkJtmgh', 'SU')
('SL04652-2022-11-01-4663','S195-7','L', 'SL')
('AC04652-2022-11-02-4606','A256-16','YVIIdDxsTgzE', 'UB')
('AC22517-2022-11-01-4497','A250-15','ZRmYHlCyW', 'UB')
('AC22517-2022-11-01-4498','A250-16','xMprEwuvV', 'UB')
('AC04652-2022-11-01-4720','A263-4','sSIsacj', 'UB')
('AC12058-2022-11-01-4674','A260-12','yHBaLZNcsoKw', 'SU')
('SL12058-2022-11-01-4667','S195-11','XmjDJTliuHMdSD', 'UB')
('AC22517-2022-11-01-4510','A251-10','wusLHQlAqsF', 'UB')
('AC22517-2022-11-02-4743','A264-9','cdX', 'UB')
('AC12058-2022-11-01-4682','A261-2','TM', 'LB')
('AC12058-2022-11-01-4683','A261-3','UzvLOadOhk', 'UB')
('AC22517-2022-11-02-4750','A264-16','qpGXBpadz', 'UB')
('SL04652-2022-11-02-4622','S193-14','wauVITDTlKndsKd', 'UB')
('SL22517-2022-11-02-4763','S199-11','QcggzgfloKNEOD', 'UB')
('SL22517-2022-11-01-4686','S196-6','sAxrjlNWzNQtxF', 'UB')
('AC04652-2022-11-01-4732','A263-16','LFTcrDXgYhtwYPbf', 'UB')
('SL04652-2022-11-02-4625','S193-17','egK', 'LB')
('SL22517-2022-11-02-4771','S199-19','HunmpUOrdoW', 'UB')
('AC12058-2022-11-01-4698','A261-18','xcHuAA', 'SU')
('AC22517-2022-11-02-4761','A265-9','gttyBweQJN', 'UB')
('SL12058-2022-11-01-4685','S196-5','oDrQEdkIv', 'MB')
('SL22517-2022-11-02-4776','S199-24','WzaHTsRXt', 'SU')
('AC04652-2022-11-01-4744','A264-10','NrwlTO', 'UB')
('AC04652-2022-11-01-4745','A264-11','CFGULcs', 'SL')
('AC04652-2022-11-02-4636','A258-10','wRVxBiIV', 'UB')
('SL04652-2022-11-01-4728','S197-24','wHzjZFukUNJMWCa', 'SU')
('SL04652-2022-11-02-4669','S195-13','auywdNhRJbhO', 'MB')
('SL04652-2022-11-02-4681','S196-1','sCyVgq', 'LB')
('AC22517-2022-11-01-4576','A255-4','fctm', 'UB')
('SL04652-2022-11-01-4752','S198-24','zpFpCydaqi', 'SU')
('AC04652-2022-11-02-4675','A260-13','BKztruSKiezepJ', 'LB')
('SL04652-2022-11-02-4721','S197-17','KY', 'LB')
('SL04652-2022-11-02-4723','S197-19','rJWFBsI', 'UB')
('SL22517-2022-11-02-4845','S202-21','el', 'MB')
('SL22517-2022-11-02-4847','S202-23','FIXnbJmolQLK', 'SL')
('AC22517-2022-11-01-4618','A257-10','g', 'UB')
('AC04652-2022-11-01-4833','A269-9','BGMXViaoBGnVmqgI', 'UB')
('SL22517-2022-11-02-4850','S203-2','XYfl', 'MB')
('AC04652-2022-11-02-4712','A262-14','EKlMuSl', 'LB')
('SL22517-2022-11-02-4853','S203-5','ROxpl', 'MB')
('SL22517-2022-11-01-4770','S199-18','ETUmFwthVHZL', 'MB')
('AC04652-2022-11-02-4715','A262-17','FY', 'SL')
('AC22517-2022-11-01-4619','A257-11','paqLqsSGCIJf', 'SL')
('SL04652-2022-11-02-4731','S198-3','DjxMxdQtDtfXaoc', 'UB')
('SL22517-2022-11-02-4857','S203-9','CcvPKqkBDqea', 'LB')
('AC22517-2022-11-02-4862','A271-2','zOMWRXxYyypAy', 'LB')
('AC04652-2022-11-01-4845','A270-3','SjvDXUdwUmvQzh', 'UB')
('SL12058-2022-11-01-4780','S200-4','t', 'LB')
('AC22517-2022-11-02-4869','A271-9','RAWwpBAJWW', 'UB')
('SL22517-2022-11-01-4786','S200-10','PHsjzLT', 'MB')
('AC12058-2022-11-01-4797','A267-9','BTjPwvDuvSql', 'UB')
('AC04652-2022-11-02-4724','A263-8','WewrMeqceLtxXfny', 'LB')
('SL04652-2022-11-01-4803','S201-3','MFDoeFWppNJObeFv', 'UB')
('AC04652-2022-11-01-4851','A270-9','Ac', 'UB')
('SL12058-2022-11-01-4784','S200-8','pZmj', 'SU')
('AC22517-2022-11-02-4872','A271-12','tqLrsCbUPbGyAl', 'SU')
('SL04652-2022-11-02-4739','S198-11','Yh', 'UB')
('SL12058-2022-11-01-4786','S200-10','WUAtCeEtPMSj', 'MB')
('AC04652-2022-11-02-4730','A263-14','EtUVeIsP', 'LB')
('AC22517-2022-11-01-4635','A258-9','zjYnCAqzPGEVwgjV', 'UB')
('SL22517-2022-11-01-4795','S200-19','bmjIxCWKPe', 'UB')
('AC22517-2022-11-02-4874','A271-14','IbyiO', 'LB')
('AC04652-2022-11-01-4856','A270-14','nKlDoqSdo', 'LB')
('AC04652-2022-11-02-4733','A263-17','znpoWNGjHtBwW', 'SL')
('SL12058-2022-11-01-4793','S200-17','CjovoAsEfrJmiO', 'LB')
('AC04652-2022-11-01-4858','A270-16','BYgYhbylVh', 'UB')
('AC12058-2022-11-01-4811','A268-5','DBt', 'SL')
('SL22517-2022-11-01-4799','S200-23','LxrDX', 'SL')
('SL22517-2022-11-02-4879','S204-7','gUKmkzxsLXLEs', 'SL')
('SL04652-2022-11-02-4750','S198-22','xkmlHt', 'UB')
('SL04652-2022-11-02-4751','S198-23','ukSgKVnVT', 'SL')
('SL22517-2022-11-01-4801','S201-1','iDckugesS', 'LB')
('SL04652-2022-11-02-4754','S199-2','DfnGJGzdkEUlH', 'MB')
('AC04652-2022-11-02-4741','A264-7','vjELumHaN', 'LB')
('SL04652-2022-11-01-4820','S201-20','YaDDYUZwte', 'LB')
('AC04652-2022-11-01-4865','A271-5','ccAlKe', 'SL')
('AC12058-2022-11-01-4820','A268-14','plrzgLbgvg', 'LB')
('SL12058-2022-11-01-4799','S200-23','QPDNYnCpDplFxSd', 'SL')
('AC22517-2022-11-02-4880','A272-2','aSLc', 'LB')
('AC12058-2022-11-01-4823','A268-17','vYIvtYyccj', 'SL')
('AC12058-2022-11-01-4826','A269-2','IIRFMCJHVhAtsY', 'LB')
('AC22517-2022-11-01-4660','A259-16','ZC', 'UB')
('AC22517-2022-11-02-4892','A272-14','mrY', 'LB')
('SL12058-2022-11-01-4810','S201-10','fOdI', 'MB')
('AC22517-2022-11-02-4893','A272-15','sGe', 'UB')
('SL22517-2022-11-01-4816','S201-16','VkwMRkGiBmms', 'SU')
('SL04652-2022-11-02-4776','S199-24','BCrVmRCGzPzmBdv', 'SU')
('SL22517-2022-11-01-4826','S202-2','X', 'MB')
('AC22517-2022-11-01-4682','A261-2','BhuoOECQNRJsgIL', 'LB')
('SL22517-2022-11-01-4831','S202-7','nIOBtMVsHCGr', 'SL')
('SL04652-2022-11-01-4848','S202-24','sKxdNBmPIFvroyMF', 'SU')
('SL22517-2022-11-01-4833','S202-9','VVjiyjqIQy', 'LB')
('SL22517-2022-11-01-4834','S202-10','vbLPbJRqU', 'MB')
('SL22517-2022-11-01-4835','S202-11','Er', 'UB')
('AC22517-2022-11-02-4908','A273-12','ywaepxSoKGzRJnzD', 'SU')
('SL22517-2022-11-02-4913','S205-17','Hhap', 'LB')
('AC04652-2022-11-02-4780','A266-10','cVnHzemLEEnZavv', 'UB')
('AC12058-2022-11-01-4852','A270-10','GmzAtGnpKSsBjH', 'UB')
('AC22517-2022-11-02-4916','A274-2','MqnDSAiJLaWhqI', 'LB')
('AC12058-2022-11-01-4854','A270-12','dRaYUvBbuExI', 'SU')
('AC12058-2022-11-01-4855','A270-13','IwgvoFBaooHhcMT', 'LB')
('SL22517-2022-11-01-4844','S202-20','YYfKDfWRzHpvIY', 'LB')
('AC04652-2022-11-01-4890','A272-12','Hf', 'SU')
('SL22517-2022-11-02-4919','S205-23','xKzyJWANpAPski', 'SL')
('AC22517-2022-11-01-4698','A261-18','KNVF', 'SU')
('AC04652-2022-11-02-4788','A266-18','KA', 'SU')
('SL22517-2022-11-02-4923','S206-3','UWXDCZLsLcPSd', 'UB')
('SL22517-2022-11-01-4849','S203-1','rDecEl', 'LB')
('AC12058-2022-11-01-4864','A271-4','wqJDdDeLSGXX', 'UB')
('SL04652-2022-11-01-4870','S203-22','sfDGHKyAM', 'UB')
('SL22517-2022-11-01-4851','S203-3','gaqxKN', 'UB')
('SL22517-2022-11-01-4852','S203-4','SKorGwywscWV', 'LB')
('AC12058-2022-11-01-4866','A271-6','jqXTrxwCISI', 'SU')
('AC04652-2022-11-02-4796','A267-8','bVAu', 'LB')
('SL04652-2022-11-02-4812','S201-12','zmEBPmrX', 'LB')
('SL22517-2022-11-02-4963','S207-19','mlTAyUFbYGDEMdr', 'UB')
('SL22517-2022-11-01-4875','S204-3','PUSteIKSqkk', 'UB')
('AC22517-2022-11-02-4965','A276-15','VBtmmcIllUcfuA', 'UB')
('SL12058-2022-11-01-4857','S203-9','EqVQPEDGJedX', 'LB')
('SL04652-2022-11-02-4840','S202-16','IL', 'SU')
('AC04652-2022-11-02-4825','A269-1','lqgyBVUZfVuu', 'LB')
('AC22517-2022-11-02-4971','A277-3','GtdDmTnENWqhjZ', 'UB')
('AC04652-2022-11-02-4831','A269-7','htOUlfxStmIGm', 'LB')
('SL22517-2022-11-01-4885','S204-13','pQuFZAB', 'MB')
('AC04652-2022-11-01-4919','A274-5','mrELJaAJYgFFMLU', 'SL')
('SL22517-2022-11-01-4887','S204-15','QwYRkLggqT', 'SL')
('AC04652-2022-11-02-4834','A269-10','gEHMSKUx', 'UB')
('AC22517-2022-11-01-4749','A264-15','aFL', 'UB')
('AC04652-2022-11-02-4836','A269-12','XIEQZPkiiGSjhwlT', 'SU')
('SL22517-2022-11-02-4976','S208-8','EgHoAaNmxUi', 'SU')
('AC22517-2022-11-01-4752','A264-18','VNWRYSwlT', 'SU')
('AC22517-2022-11-02-4982','A277-14','HfsxwczoUBbQXX', 'LB')
('AC22517-2022-11-01-4753','A265-1','avNHlYfNAQyQxfPp', 'LB')
('SL22517-2022-11-02-4977','S208-9','qaCcRsHNbPwwnwp', 'LB')
('AC22517-2022-11-01-4754','A265-2','SelVQtqdHSIU', 'LB')
('AC04652-2022-11-01-4928','A274-14','YWJQJx', 'LB')
('AC04652-2022-11-02-4844','A270-2','HMQzQqnp', 'LB')
('SL22517-2022-11-02-4981','S208-13','mZmlCTDgv', 'MB')
('AC04652-2022-11-02-4852','A270-10','XSRgCKFoYwyA', 'UB')
('AC04652-2022-11-01-4936','A275-4','MbtsvnkXzAdvOr', 'UB')
('SL22517-2022-11-02-4988','S208-20','E', 'LB')
('SL04652-2022-11-01-4932','S206-12','Vdb', 'LB')
('AC22517-2022-11-01-4764','A265-12','lZeLCsFZPhfjqNYr', 'SU')
('AC04652-2022-11-01-4940','A275-8','CNKPt', 'LB')
('SL04652-2022-11-02-4869','S203-21','RJMdWKLIIOMxN', 'MB')
('AC22517-2022-11-02-5006','A279-2','YpIE', 'LB')
('AC04652-2022-11-02-4868','A271-8','QIKBQ', 'LB')
('SL22517-2022-11-02-5005','S209-13','irtpoYePHyLeWeA', 'MB')
('SL04652-2022-11-02-4874','S204-2','fgFzdnTsMe', 'MB')
('AC04652-2022-11-02-4870','A271-10','TVljke', 'UB')
('SL12058-2022-11-01-4892','S204-20','KELQC', 'LB')
('AC04652-2022-11-01-4951','A276-1','STsPgtaaqhbOEN', 'LB')
('AC22517-2022-11-01-4777','A266-7','gLxpizAGOlmKiWv', 'LB')
('AC04652-2022-11-02-4874','A271-14','uQBoghPeGoO', 'LB')
('AC22517-2022-11-01-4780','A266-10','oeDNYu', 'UB')
('SL04652-2022-11-01-4960','S207-16','UPDOBjbcUiSAYA', 'SU')
('AC12058-2022-11-01-4972','A277-4','DBcdlWfUuB', 'UB')
('SL22517-2022-11-01-4959','S207-15','vrUHFMjGPKsqWe', 'SL')
('SL12058-2022-11-01-4937','S206-17','Gf', 'LB')
('AC04652-2022-11-02-4921','A274-7','vhWUWjZMqHqDqe', 'LB')
('SL22517-2022-11-01-4964','S207-20','XtCLiHbmcn', 'LB')
('AC04652-2022-11-02-4925','A274-11','WlZJUQV', 'SL')
('AC04652-2022-11-02-4926','A274-12','pikNQGjAbKxEki', 'SU')
('AC22517-2022-11-01-4818','A268-12','jvcQFuOi', 'SU')
('AC22517-2022-11-02-5061','A282-3','uxCufodqev', 'UB')
('AC22517-2022-11-01-4819','A268-13','pX', 'LB')
('SL04652-2022-11-01-5005','S209-13','FGWECDEJdoREsU', 'MB')
('AC04652-2022-11-02-4930','A274-16','oeyPbwy', 'UB')
('AC04652-2022-11-02-4937','A275-5','LjkC', 'SL')
('SL04652-2022-11-02-4944','S206-24','GU', 'SU')
('SL22517-2022-11-01-4979','S208-11','QfPRJyvUpZKnCO', 'UB')
('AC04652-2022-11-02-4946','A275-14','vWHMBxrUIyLXY', 'LB')
('AC12058-2022-11-01-4995','A278-9','fXfNu', 'UB')
('SL22517-2022-11-01-4986','S208-18','QhPGUYHbjNCh', 'MB')
('AC12058-2022-11-01-4997','A278-11','HjLxvpGWJuSAe', 'SL')
('AC22517-2022-11-01-4835','A269-11','ryMSPn', 'SL')
('AC12058-2022-11-01-5001','A278-15','tYILnzSKgaF', 'UB')
('AC04652-2022-11-01-5021','A279-17','QyZFkkAyuInw', 'SL')
('AC22517-2022-11-02-5083','A283-7','dlwNNYFisUxbxzSk', 'LB')
('SL04652-2022-11-01-5026','S210-10','EeroFTwunr', 'MB')
('AC04652-2022-11-02-4952','A276-2','C', 'LB')
('AC12058-2022-11-01-5009','A279-5','gpwNCWka', 'SL')
('AC04652-2022-11-02-4954','A276-4','rS', 'UB')
('SL22517-2022-11-01-4998','S209-6','hWwhlYi', 'UB')
('SL12058-2022-11-01-4961','S207-17','EBplbHwhGYawwlAW', 'LB')
('SL22517-2022-11-01-5002','S209-10','lEtproLqkzJkAt', 'MB')
('AC04652-2022-11-01-5031','A280-9','wS', 'UB')
('AC04652-2022-11-01-5032','A280-10','FwYsd', 'UB')
('SL04652-2022-11-02-4965','S207-21','nGtArdNVK', 'MB')
('SL22517-2022-11-02-5081','S212-17','EKhINilNoxeueaI', 'LB')
('SL22517-2022-11-01-5008','S209-16','LmbkWPrhM', 'SU')
('SL22517-2022-11-01-5010','S209-18','wXihfPD', 'MB')
('SL04652-2022-11-01-5049','S211-9','mOodmFyWHlLJj', 'LB')
('SL22517-2022-11-02-5087','S212-23','wt', 'SL')
('AC12058-2022-11-01-5024','A280-2','pMLcg', 'LB')
('SL22517-2022-11-02-5089','S213-1','FFCvFGcqZtbvMD', 'LB')
('SL12058-2022-11-01-4978','S208-10','UQzLfA', 'MB')
('AC04652-2022-11-02-4970','A277-2','lmc', 'LB')
('SL22517-2022-11-01-5018','S210-2','XjWKP', 'MB')
('AC12058-2022-11-01-5028','A280-6','SjBT', 'SU')
('AC22517-2022-11-01-4872','A271-12','CMPluUsIxzzfu', 'SU')
('SL04652-2022-11-02-4996','S209-4','HSYQmOSJEYsiA', 'LB')
('AC12058-2022-11-01-5044','A281-4','qXUibOOmEfE', 'UB')
('SL22517-2022-11-02-5108','S213-20','xySoTadRqoLqDtsi', 'LB')
('AC04652-2022-11-01-5056','A281-16','tyfLQbuIR', 'UB')
('AC12058-2022-11-01-5049','A281-9','WiJOLrURtBsdWm', 'UB')
('AC22517-2022-11-01-4886','A272-8','jHgLZIl', 'LB')
('AC04652-2022-11-02-5005','A279-1','RxjLLMefNYGtUI', 'LB')
('SL22517-2022-11-01-5048','S211-8','z', 'SU')
('AC04652-2022-11-02-5008','A279-4','ADHZaOctoXeaF', 'UB')
('SL22517-2022-11-02-5122','S214-10','dhUTPVVjDedbfucf', 'MB')
('AC22517-2022-11-01-4893','A272-15','BMGwgUFMOSxVb', 'UB')
('SL04652-2022-11-02-5014','S209-22','gQ', 'UB')
('AC22517-2022-11-02-5119','A285-7','zg', 'LB')
('SL22517-2022-11-01-5056','S211-16','QBWjspPmWyzmOnc', 'SU')
('SL12058-2022-11-01-5017','S210-1','mwtIPt', 'LB')
('SL22517-2022-11-02-5129','S214-17','rQRtb', 'LB')
('AC12058-2022-11-01-5063','A282-5','FEEGQPOD', 'SL')
