('AC04652-2022-11-01-1730','A97-2','ZupvcVggEpzE', 'LB')
('AC12058-2022-11-01-2860','A159-16','OLOSMnwqoUQ', 'UB')
('AC22517-2022-11-02-2899','A162-1','LbZsnUttUMGQ', 'LB')
('SL12058-2022-11-01-2823','S118-15','UrDhUzrQu', 'SL')
('AC12058-2022-11-01-2871','A160-9','we', 'UB')
('SL04652-2022-11-02-2943','S123-15','DMxHH', 'SL')
('SL12058-2022-11-01-2830','S118-22','VazynKZcd', 'UB')
('AC04652-2022-11-01-3028','A169-4','KG', 'UB')
('AC22517-2022-11-02-2917','A163-1','xcVaMf', 'LB')
('SL22517-2022-11-02-2883','S121-3','gGZpcNpFj', 'UB')
('SL22517-2022-11-02-2885','S121-5','GIOvDYfDB', 'MB')
('AC22517-2022-11-02-2921','A163-5','HLUmVHP', 'SL')
('SL22517-2022-11-02-2887','S121-7','QawXXcU', 'SL')
('AC22517-2022-11-01-2977','A166-7','LqUamjGPwwo', 'LB')
('SL22517-2022-11-02-2888','S121-8','S', 'SU')
('AC22517-2022-11-01-2980','A166-10','N', 'UB')
('SL04652-2022-11-01-2912','S122-8','tX', 'SU')
('AC22517-2022-11-01-2983','A166-13','XcITC', 'LB')
('SL04652-2022-11-02-2994','S125-18','UoArOaAlYZKEPxMr', 'MB')
('AC22517-2022-11-02-2950','A164-16','FGmCLXWtXnc', 'UB')
('SL12058-2022-11-01-2879','S120-23','rGicPkIuz', 'SL')
('SL22517-2022-11-01-2957','S124-5','L', 'MB')
('AC12058-2022-11-01-2914','A162-16','L', 'UB')
('AC04652-2022-11-02-2949','A164-15','CoFP', 'UB')
('AC22517-2022-11-01-3029','A169-5','BqxIqAutFMYNvCm', 'SL')
('AC22517-2022-11-02-2967','A165-15','qAHeL', 'UB')
('AC04652-2022-11-02-2963','A165-11','EFZlzdcoJU', 'SL')
('SL22517-2022-11-01-2978','S125-2','JHN', 'MB')
('SL04652-2022-11-01-2979','S125-3','BWYbxB', 'UB')
('AC22517-2022-11-02-2986','A166-16','TIFVcGzYf', 'UB')
('SL04652-2022-11-01-2984','S125-8','FULsdjsQzfwTNwsy', 'SU')
('SL22517-2022-11-02-2953','S124-1','kS', 'LB')
('AC22517-2022-11-02-2990','A167-2','eNbS', 'LB')
('AC04652-2022-11-01-3105','A173-9','Yr', 'UB')
('SL04652-2022-11-01-2986','S125-10','zDxdXnwyUfy', 'MB')
('AC22517-2022-11-02-3006','A167-18','HbvqIqvAPHjs', 'SU')
('SL22517-2022-11-02-2968','S124-16','BCeysZFgGelBnRwI', 'SU')
('AC04652-2022-11-02-2986','A166-16','MimSUAWCSW', 'UB')
('SL22517-2022-11-01-3000','S125-24','lY', 'SU')
('AC22517-2022-11-02-3027','A169-3','VQCBPlOOwnGLpy', 'UB')
('AC22517-2022-11-01-3086','A172-8','b', 'LB')
('AC04652-2022-11-01-3141','A175-9','CaVTOxOefUa', 'UB')
('SL04652-2022-11-02-3062','S128-14','waPNjCi', 'UB')
('AC04652-2022-11-02-3010','A168-4','oTzEIjNXSTkcyGvJ', 'UB')
('SL12058-2022-11-01-2949','S123-21','BKCgsysURW', 'MB')
('AC12058-2022-11-01-2966','A165-14','TIgsZot', 'LB')
('SL04652-2022-11-01-3028','S127-4','MkYfvBqolcAaNW', 'LB')
('SL12058-2022-11-01-2953','S124-1','LWB', 'LB')
('SL22517-2022-11-02-2996','S125-20','XvTRrxLizYcXUtd', 'LB')
('SL22517-2022-11-01-3031','S127-7','cdbHykZAboorKrZd', 'SL')
('SL12058-2022-11-01-2954','S124-2','NAgU', 'MB')
('SL04652-2022-11-01-3030','S127-6','MysDAxpqtOmW', 'UB')
('SL04652-2022-11-01-3031','S127-7','vhj', 'SL')
('AC04652-2022-11-02-3020','A168-14','UGDMYus', 'LB')
('SL22517-2022-11-01-3033','S127-9','YRuTdHEnPAm', 'LB')
('AC22517-2022-11-02-3046','A170-4','y', 'UB')
('AC04652-2022-11-02-3024','A168-18','MPzJoCxhHpKofn', 'SU')
('AC22517-2022-11-01-3099','A173-3','UnBrKJaYfJjaLNbg', 'UB')
('AC04652-2022-11-01-3158','A176-8','P', 'LB')
('SL04652-2022-11-01-3042','S127-18','oTMuoPdIjXi', 'MB')
('AC22517-2022-11-02-3050','A170-8','VHEnkv', 'LB')
('AC04652-2022-11-02-3032','A169-8','HzAATKiDLLeftboE', 'LB')
('AC04652-2022-11-01-3163','A176-13','CHAanY', 'LB')
('AC04652-2022-11-01-3165','A176-15','HBVjYNzgjeJQWEWk', 'UB')
('AC04652-2022-11-02-3035','A169-11','l', 'SL')
('AC04652-2022-11-02-3038','A169-14','nIV', 'LB')
('AC22517-2022-11-01-3109','A173-13','kKLmFRdzL', 'LB')
('SL04652-2022-11-02-3096','S129-24','XLpMWUq', 'SU')
('SL22517-2022-11-02-3010','S126-10','VNwGen', 'MB')
('SL04652-2022-11-02-3101','S130-5','iowR', 'MB')
('AC12058-2022-11-01-2999','A167-11','HRj', 'SL')
('SL12058-2022-11-01-2988','S125-12','BBGFWsbkmU', 'LB')
('AC12058-2022-11-01-3001','A167-13','WXJrumgX', 'LB')
('AC12058-2022-11-01-3006','A167-18','yXVffeNq', 'SU')
('SL22517-2022-11-01-3066','S128-18','HjQn', 'MB')
('AC12058-2022-11-01-3010','A168-4','jFdxD', 'UB')
('AC04652-2022-11-01-3182','A177-14','UHic', 'LB')
('SL04652-2022-11-01-3073','S129-1','ShvVTp', 'LB')
('SL04652-2022-11-02-3137','S131-17','QCkKvkWsUr', 'LB')
('AC04652-2022-11-01-3209','A179-5','o', 'SL')
('SL22517-2022-11-02-3044','S127-20','qBFD', 'LB')
('AC22517-2022-11-02-3104','A173-8','REeRoLzGYNFx', 'LB')
('AC22517-2022-11-01-3146','A175-14','ecDVmWfVsEa', 'LB')
('AC22517-2022-11-02-3107','A173-11','UTmmQX', 'SL')
('AC04652-2022-11-01-3218','A179-14','RbDCXMKMckoUt', 'LB')
('AC04652-2022-11-01-3219','A179-15','YLlipzBOeW', 'UB')
('SL22517-2022-11-02-3055','S128-7','KpdbVFyyBtwNxxz', 'SL')
('SL22517-2022-11-02-3057','S128-9','IDIij', 'LB')
('AC04652-2022-11-01-3222','A179-18','yLAU', 'SU')
('AC22517-2022-11-02-3119','A174-5','xT', 'SL')
('SL22517-2022-11-01-3103','S130-7','FEpD', 'SL')
('SL22517-2022-11-02-3060','S128-12','qVkbVeFxxKQ', 'LB')
('AC22517-2022-11-01-3165','A176-15','GnTSrBcPSPazgmh', 'UB')
('SL22517-2022-11-01-3104','S130-8','JgfIuHtVARFas', 'SU')
('SL04652-2022-11-01-3123','S131-3','gyjHYzZmlDwsncm', 'UB')
('AC04652-2022-11-01-3227','A180-5','DVtJYYwsL', 'SL')
('SL04652-2022-11-01-3129','S131-9','YSUw', 'LB')
('SL22517-2022-11-02-3069','S128-21','z', 'MB')
('AC22517-2022-11-02-3127','A174-13','Vvqm', 'LB')
('SL22517-2022-11-01-3112','S130-16','qlYudhjcaRd', 'SU')
('AC22517-2022-11-02-3128','A174-14','BRmmTThKzgQK', 'LB')
('AC04652-2022-11-02-3122','A174-8','UplsONj', 'LB')
('SL22517-2022-11-02-3074','S129-2','dJ', 'MB')
('SL12058-2022-11-01-3047','S127-23','uYafPlZt', 'SL')
('AC22517-2022-11-01-3174','A177-6','hjAUYAASyu', 'SU')
('AC04652-2022-11-02-3123','A174-9','jazchZjB', 'UB')
('SL04652-2022-11-02-3170','S133-2','xFsDDBYuZCrxWX', 'MB')
('AC22517-2022-11-02-3130','A174-16','mePRUZwHLmDBW', 'UB')
('AC12058-2022-11-01-3061','A171-1','YQS', 'LB')
('AC22517-2022-11-02-3131','A174-17','EVqIXs', 'SL')
('AC12058-2022-11-01-3069','A171-9','tnzuJuzBbnginZz', 'UB')
('SL12058-2022-11-01-3058','S128-10','zJ', 'MB')
('AC22517-2022-11-01-3185','A177-17','soGRPXh', 'SL')
('AC12058-2022-11-01-3071','A171-11','bNibTMKckBEm', 'SL')
('AC04652-2022-11-01-3280','A183-4','PVECVBKKN', 'UB')
('AC22517-2022-11-02-3161','A176-11','boqlVJM', 'SL')
('SL04652-2022-11-02-3217','S135-1','lQPqAAfKczPKyRo', 'LB')
('AC04652-2022-11-02-3160','A176-10','nfi', 'UB')
('SL22517-2022-11-02-3120','S130-24','apgqgwFZ', 'SU')
('SL22517-2022-11-01-3148','S132-4','QBUZR', 'LB')
('SL04652-2022-11-01-3167','S132-23','KjeDJTddPkv', 'SL')
('AC22517-2022-11-02-3168','A176-18','nKLBzDXXHotU', 'SU')
('SL04652-2022-11-01-3182','S133-14','foiFNCmRSfMX', 'UB')
('SL22517-2022-11-01-3166','S132-22','pn', 'UB')
('SL12058-2022-11-01-3117','S130-21','MXVpB', 'MB')
('SL22517-2022-11-01-3168','S132-24','lqaZthDsfNxVrLmY', 'SU')
('AC12058-2022-11-01-3131','A174-17','RXvFGsSAjoiLjR', 'SL')
('AC22517-2022-11-02-3189','A178-3','IarNqUBXNdmxNV', 'UB')
('AC12058-2022-11-01-3138','A175-6','bNpQrCQr', 'SU')
('AC04652-2022-11-01-3320','A185-8','ZunEcPQxWjuRtW', 'LB')
('AC22517-2022-11-02-3200','A178-14','PkDvuIeYgn', 'LB')
('SL22517-2022-11-01-3178','S133-10','yhzR', 'MB')
('AC12058-2022-11-01-3168','A176-18','FmJycWa', 'SU')
('SL04652-2022-11-02-3273','S137-9','S', 'LB')
('AC04652-2022-11-02-3216','A179-12','kx', 'SU')
('AC22517-2022-11-02-3218','A179-14','iupfjjnrvWsKgS', 'LB')
('AC12058-2022-11-01-3174','A177-6','rhheTCZtWM', 'SU')
('SL04652-2022-11-02-3277','S137-13','RYBCPVZcHyl', 'MB')
('AC12058-2022-11-01-3218','A179-14','iQPlelFawYqg', 'LB')
('AC22517-2022-11-02-3263','A182-5','sycDDauXg', 'SL')
('SL04652-2022-11-01-3247','S136-7','wbwDMz', 'SL')
('SL12058-2022-11-01-3190','S133-22','nQV', 'UB')
('AC22517-2022-11-01-3320','A185-8','rHArtY', 'LB')
('AC12058-2022-11-01-3225','A180-3','WIXmKabKcFVBwnAD', 'UB')
('AC22517-2022-11-02-3299','A184-5','XktEauiE', 'SL')
('AC12058-2022-11-01-3255','A181-15','oAcrxa', 'UB')
('SL04652-2022-11-01-3287','S137-23','tNtINKNKWYnZi', 'SL')
('AC22517-2022-11-02-3302','A184-8','ijdEJ', 'LB')
('AC04652-2022-11-02-3324','A185-12','uvoygmnsh', 'SU')
('AC22517-2022-11-01-3392','A189-8','DbkT', 'LB')
('AC04652-2022-11-01-3453','A192-15','dFQHmYiPTn', 'UB')
('SL04652-2022-11-01-3317','S139-5','jxoUzSdIjf', 'MB')
('AC04652-2022-11-01-3457','A193-1','raoikvZbIkRXHgNm', 'LB')
('SL04652-2022-11-02-3379','S141-19','VLXxWlESogBVO', 'UB')
('AC04652-2022-11-02-3330','A185-18','XcqWvg', 'SU')
('AC22517-2022-11-02-3362','A187-14','ggK', 'LB')
('AC22517-2022-11-01-3416','A190-14','KtazbaHFpnMMe', 'LB')
('SL04652-2022-11-01-3341','S140-5','UMCNY', 'MB')
('AC04652-2022-11-02-3347','A186-17','N', 'SL')
('AC04652-2022-11-02-3348','A186-18','RYmuTvHz', 'SU')
('AC04652-2022-11-02-3349','A187-1','qNAUwYRomcUJM', 'LB')
('AC04652-2022-11-02-3355','A187-7','FeZefkQsgKOribJ', 'LB')
('SL12058-2022-11-01-3290','S138-2','C', 'MB')
('SL12058-2022-11-01-3300','S138-12','SnHpba', 'LB')
('SL12058-2022-11-01-3301','S138-13','IqAegRgWZu', 'MB')
('SL04652-2022-11-01-3367','S141-7','QaGT', 'SL')
('SL04652-2022-11-02-3432','S143-24','IROzLef', 'SU')
('SL22517-2022-11-02-3330','S139-18','tEf', 'MB')
('SL04652-2022-11-02-3439','S144-7','FtcoUqizPsfNG', 'SL')
('AC22517-2022-11-01-3450','A192-12','VnzYZipHZ', 'SU')
('AC04652-2022-11-02-3383','A188-17','wlcdPQxFF', 'SL')
('SL04652-2022-11-02-3441','S144-9','yndT', 'LB')
('AC22517-2022-11-02-3400','A189-16','vNcKKivJPzHRe', 'UB')
('AC22517-2022-11-02-3449','A192-11','AptCeVhXfhT', 'SL')
('SL22517-2022-11-02-3387','S142-3','XQsJVr', 'UB')
('AC22517-2022-11-01-3515','A196-5','WFpvIAL', 'SL')
('AC04652-2022-11-01-3580','A199-16','hXY', 'UB')
('SL12058-2022-11-01-3366','S141-6','SxoCakUnfHf', 'UB')
('AC12058-2022-11-01-3395','A189-11','gCXKZGvtimp', 'SL')
('AC04652-2022-11-02-3439','A192-1','PrXcyGmklweEIO', 'LB')
('AC22517-2022-11-02-3461','A193-5','wHYxgYL', 'SL')
('SL04652-2022-11-01-3447','S144-15','ccaHgbFSEjr', 'SL')
('AC04652-2022-11-02-3442','A192-4','UWhnJGLx', 'UB')
('AC22517-2022-11-02-3468','A193-12','sLgarYCdN', 'SU')
('SL04652-2022-11-02-3526','S147-22','AsoakzEuWujeCxa', 'UB')
('AC04652-2022-11-02-3454','A192-16','hbiP', 'UB')
('AC04652-2022-11-01-3602','A201-2','SenLRDCdeF', 'LB')
('SL12058-2022-11-01-3389','S142-5','N', 'MB')
('AC04652-2022-11-01-3605','A201-5','EtMH', 'SL')
('AC12058-2022-11-01-3421','A191-1','nINGiyQQArt', 'LB')
('AC04652-2022-11-02-3458','A193-2','wKjGRkjd', 'LB')
('AC22517-2022-11-02-3493','A195-1','TDhhf', 'LB')
('AC12058-2022-11-01-3443','A192-5','lUzOb', 'SL')
('SL22517-2022-11-02-3430','S143-22','qSYlmTOsibCUPGsk', 'UB')
('SL22517-2022-11-02-3431','S143-23','aEQa', 'SL')
('AC12058-2022-11-01-3448','A192-10','MiYQvANV', 'UB')
('AC12058-2022-11-01-3464','A193-8','LWbnGFTzIbocbcb', 'LB')
('AC22517-2022-11-02-3534','A197-6','PkEgmgKMZtc', 'SU')
('AC12058-2022-11-01-3485','A194-11','wQVrudQRV', 'SL')
('SL12058-2022-11-01-3435','S144-3','MXAAdOlNtjHrFbA', 'UB')
('AC12058-2022-11-01-3521','A196-11','vojUFKowoGMpYW', 'SL')
('AC12058-2022-11-01-3522','A196-12','yjUiTWBgSV', 'SU')
('AC04652-2022-11-01-3698','A206-8','Uz', 'LB')
('SL22517-2022-11-01-3573','S149-21','dWPJQrLbN', 'MB')
('AC22517-2022-11-02-3599','A200-17','muQWzOgzrmiJY', 'SL')
('SL22517-2022-11-01-3578','S150-2','CIqERrJ', 'MB')
('SL12058-2022-11-01-3489','S146-9','vkjnMBJdgKPv', 'LB')
('AC12058-2022-11-01-3555','A198-9','RXwkHtxyfPevhIEN', 'UB')
('AC12058-2022-11-01-3560','A198-14','WIJmJbhjVx', 'LB')
('AC04652-2022-11-01-3726','A207-18','daiVEs', 'SU')
('AC22517-2022-11-01-3672','A204-18','oaZLLSennVR', 'SU')
('SL22517-2022-11-01-3591','S150-15','afLEUURGS', 'SL')
('AC12058-2022-11-01-3566','A199-2','vpnxaOjPoqPL', 'LB')
('SL22517-2022-11-02-3533','S148-5','UpnHkpIVVoVFSf', 'MB')
('SL22517-2022-11-01-3595','S150-19','ruDfpYzWh', 'UB')
('AC12058-2022-11-01-3575','A199-11','Tat', 'SL')
('AC22517-2022-11-01-3684','A205-12','MFFyebogZmSk', 'SU')
('SL04652-2022-11-02-3651','S153-3','Bu', 'UB')
('SL22517-2022-11-02-3541','S148-13','zOo', 'MB')
('SL22517-2022-11-01-3604','S151-4','HcOVohLR', 'LB')
('AC04652-2022-11-02-3598','A200-16','wFYFYLMYz', 'UB')
('SL04652-2022-11-02-3661','S153-13','xianJjBaMHiybDDo', 'MB')
('SL22517-2022-11-02-3548','S148-20','kGFjeZdpCvoUhQuA', 'LB')
('SL04652-2022-11-01-3580','S150-4','duYLQx', 'LB')
('SL12058-2022-11-01-3519','S147-15','jDCNbyrjcGOr', 'SL')
('SL22517-2022-11-02-3550','S148-22','KUioqPTWit', 'UB')
('SL04652-2022-11-02-3672','S153-24','gFmBgMPTTGKa', 'SU')
('SL04652-2022-11-01-3587','S150-11','aBsrT', 'UB')
('AC04652-2022-11-02-3636','A202-18','pGyDtRnomAzi', 'SU')
('SL04652-2022-11-02-3688','S154-16','zgKwQNVWtKJZ', 'SU')
('SL04652-2022-11-01-3608','S151-8','PgWO', 'SU')
('AC12058-2022-11-01-3624','A202-6','NnMCpBJZGPCDK', 'SU')
('AC12058-2022-11-01-3625','A202-7','YEXbmWGuQmjvHFx', 'LB')
('AC22517-2022-11-01-3717','A207-9','RxltiIbDsf', 'UB')
('AC04652-2022-11-01-3778','A210-16','UfzzLowTtEXRl', 'UB')
('AC04652-2022-11-01-3782','A211-2','nNiDZeoSvqjt', 'LB')
('SL04652-2022-11-02-3698','S155-2','OgsGlMpsR', 'MB')
('SL04652-2022-11-01-3614','S151-14','TIQdOkunQCfXlS', 'UB')
('AC04652-2022-11-02-3650','A203-14','Uybk', 'LB')
('AC12058-2022-11-01-3635','A202-17','wxxkm', 'SL')
('AC22517-2022-11-02-3679','A205-7','FZ', 'LB')
('SL22517-2022-11-02-3583','S150-7','CDKhYELj', 'SL')
('SL22517-2022-11-02-3584','S150-8','Huk', 'SU')
('AC22517-2022-11-02-3680','A205-8','cHhPTNwxFzc', 'LB')
('AC22517-2022-11-02-3681','A205-9','l', 'UB')
('AC04652-2022-11-01-3821','A213-5','hMgDAEyJYKAI', 'SL')
('AC22517-2022-11-01-3791','A211-11','dJDv', 'SL')
('SL22517-2022-11-01-3711','S155-15','iJRKRkDY', 'SL')
('SL22517-2022-11-02-3634','S152-10','adcWXTLZTNMS', 'MB')
('AC04652-2022-11-01-4022','A224-8','fYcS', 'LB')
('SL04652-2022-11-02-3896','S163-8','gM', 'SU')
('AC22517-2022-11-01-3948','A220-6','wMngRTOOJvzyvH', 'SU')
('SL04652-2022-11-01-3833','S160-17','VtodkxggirQ', 'LB')
('SL04652-2022-11-02-3899','S163-11','j', 'UB')
('AC04652-2022-11-01-4026','A224-12','uRvJPpCoYGmz', 'SU')
('AC12058-2022-11-01-3870','A215-18','GBRZpCbbV', 'SU')
('AC04652-2022-11-01-4054','A226-4','WvKHMIq', 'UB')
('SL22517-2022-11-02-3811','S159-19','VZMStQWBLiwXlT', 'UB')
('AC22517-2022-11-01-3982','A222-4','gptJKSGxP', 'UB')
('SL12058-2022-11-01-3789','S158-21','bUXSPLhg', 'MB')
('SL22517-2022-11-02-3815','S159-23','EWvHgNBssT', 'SL')
('SL22517-2022-11-02-3816','S159-24','E', 'SU')
('AC04652-2022-11-01-4133','A230-11','QnkluajvdP', 'SL')
('AC04652-2022-11-02-3982','A222-4','FT', 'UB')
('SL22517-2022-11-01-3951','S165-15','IETjAmDwOVrtXz', 'SL')
('AC22517-2022-11-01-4051','A226-1','npmhqtlmy', 'LB')
('AC04652-2022-11-01-4136','A230-14','fLpIdrqlR', 'LB')
('SL12058-2022-11-01-3853','S161-13','oUWKBzaDj', 'MB')
('AC04652-2022-11-02-3987','A222-9','DPji', 'UB')
('AC12058-2022-11-01-3980','A222-2','ffGrxjRdIF', 'LB')
('SL22517-2022-11-01-3956','S165-20','AhZBlAESQ', 'LB')
('SL22517-2022-11-02-3891','S163-3','Aurs', 'UB')
('SL22517-2022-11-02-3892','S163-4','YXtFhRKzRXgVzv', 'LB')
('AC22517-2022-11-01-4054','A226-4','WFnlTHYcgCsdYZ', 'UB')
('AC22517-2022-11-01-4055','A226-5','oxQCCkEYa', 'SL')
('AC04652-2022-11-01-4145','A231-5','ATK', 'SL')
('AC04652-2022-11-02-3994','A222-16','Fy', 'UB')
('SL04652-2022-11-02-4011','S168-3','yNZahjjZwc', 'UB')
('AC04652-2022-11-02-3996','A222-18','wb', 'SU')
('AC22517-2022-11-02-3980','A222-2','EP', 'LB')
('SL04652-2022-11-02-4014','S168-6','GoRMLrorRInv', 'UB')
('AC22517-2022-11-02-3982','A222-4','Uo', 'UB')
('AC04652-2022-11-02-4000','A223-4','maJIqhF', 'UB')
('AC04652-2022-11-02-4001','A223-5','YOATjJHqfOEDac', 'SL')
('AC04652-2022-11-02-4002','A223-6','WVrvPQqexwGR', 'SU')
('AC22517-2022-11-01-4062','A226-12','vGUrK', 'SU')
('SL04652-2022-11-01-3937','S165-1','eExeu', 'LB')
('AC12058-2022-11-01-3992','A222-14','SvjDZGDgcrQDZd', 'LB')
('AC12058-2022-11-01-3993','A222-15','bZ', 'UB')
('AC04652-2022-11-01-4158','A231-18','qANVqxNkHylwKI', 'SU')
('AC04652-2022-11-01-4160','A232-2','lFpfmiMMIzi', 'LB')
('AC04652-2022-11-01-4162','A232-4','VddFDJQriYMhiycE', 'UB')
('SL04652-2022-11-01-3943','S165-7','DPQ', 'SL')
('AC04652-2022-11-02-4006','A223-10','jBEcRwUBqPrp', 'UB')
('AC04652-2022-11-01-4164','A232-6','fDydFdIhOHDRu', 'SU')
('SL04652-2022-11-01-3948','S165-12','AgcJQ', 'LB')
('AC22517-2022-11-01-4072','A227-4','mfGnGnOfAiHMDq', 'UB')
('SL04652-2022-11-01-3950','S165-14','UDxQCM', 'UB')
('AC04652-2022-11-02-4012','A223-16','ORWtmPddAcL', 'UB')
('AC22517-2022-11-01-4078','A227-10','zMgwdF', 'UB')
('AC22517-2022-11-02-4001','A223-5','DxGTVSNaVwdJOfcI', 'SL')
('SL12058-2022-11-01-3919','S164-7','VUIWbkpLDVG', 'SL')
('AC22517-2022-11-01-4115','A229-11','jgWFKjjprxSAX', 'SL')
('SL22517-2022-11-01-4022','S168-14','NtWMDPmmn', 'UB')
('SL22517-2022-11-01-4023','S168-15','gTSsEHiaCY', 'SL')
('AC22517-2022-11-02-4038','A225-6','xGfTDLIgjDmVitC', 'SU')
('AC22517-2022-11-01-4116','A229-12','wRqLYXpifPzob', 'SU')
('SL04652-2022-11-02-4065','S170-9','guFKK', 'LB')
('SL22517-2022-11-02-3956','S165-20','tEYBYxDIx', 'LB')
('SL04652-2022-11-02-4066','S170-10','iyFwSyp', 'MB')
('SL12058-2022-11-01-3924','S164-12','mwrri', 'LB')
('SL22517-2022-11-02-3958','S165-22','q', 'UB')
('AC12058-2022-11-01-4054','A226-4','yurZhicSOjiE', 'UB')
('SL04652-2022-11-01-3995','S167-11','CsAkSWfpEa', 'UB')
('SL22517-2022-11-01-4036','S169-4','ptQRlBhgYTB', 'LB')
('AC22517-2022-11-02-4051','A226-1','VpRLMaH', 'LB')
('AC04652-2022-11-01-4234','A236-4','mSWSRkzefKbs', 'UB')
('AC22517-2022-11-01-4134','A230-12','JKUywXAqWHSa', 'SU')
('AC04652-2022-11-02-4087','A228-1','XLlRKq', 'LB')
('AC04652-2022-11-02-4088','A228-2','dnXpi', 'LB')
('SL04652-2022-11-02-4091','S171-11','JBA', 'UB')
('AC22517-2022-11-01-4151','A231-11','sfdG', 'SL')
('AC04652-2022-11-02-4092','A228-6','Sckqanum', 'SU')
('AC22517-2022-11-01-4153','A231-13','aviqBKC', 'LB')
('AC04652-2022-11-02-4094','A228-8','qXBxyEndhMCiQQGV', 'LB')
('AC04652-2022-11-02-4095','A228-9','QIFdO', 'UB')
('AC04652-2022-11-01-4338','A241-18','xacKnGweQhllqKQn', 'SU')
('SL04652-2022-11-01-4112','S172-8','oOo', 'SU')
('AC22517-2022-11-01-4246','A236-16','zAPuJLaIc', 'UB')
('SL04652-2022-11-02-4190','S175-14','oLpjVm', 'UB')
('SL22517-2022-11-01-4151','S173-23','oWl', 'SL')
('AC22517-2022-11-02-4165','A232-7','laChBRGyxi', 'LB')
('SL22517-2022-11-02-4097','S171-17','QCjZn', 'LB')
('SL22517-2022-11-02-4103','S171-23','Ni', 'SL')
('AC04652-2022-11-02-4201','A234-7','rHBhXjnS', 'LB')
('AC12058-2022-11-01-4199','A234-5','OqDOrcQdZ', 'SL')
('AC12058-2022-11-01-4202','A234-8','CBmwN', 'LB')
('SL04652-2022-11-02-4197','S175-21','lBavstIgDeNk', 'MB')
('SL12058-2022-11-01-4068','S170-12','DdkCDUluYqP', 'LB')
('AC04652-2022-11-01-4371','A243-15','iYnqh', 'UB')
('AC22517-2022-11-01-4281','A238-15','TUwbl', 'UB')
('AC04652-2022-11-01-4393','A245-1','Mxr', 'LB')
('AC04652-2022-11-01-4408','A245-16','umlKxr', 'UB')
('SL22517-2022-11-02-4151','S173-23','mWaBi', 'SL')
('SL22517-2022-11-01-4201','S176-1','CkCLbj', 'LB')
('SL12058-2022-11-01-4109','S172-5','lesiypMbb', 'MB')
('AC04652-2022-11-01-4411','A246-1','WpLS', 'LB')
('AC04652-2022-11-02-4253','A237-5','OOklDrgHai', 'SL')
('SL22517-2022-11-02-4160','S174-8','mjeKUlzISB', 'SU')
('SL12058-2022-11-01-4115','S172-11','ydaXYYYfyuukMZe', 'UB')
('AC04652-2022-11-01-4421','A246-11','ndMISj', 'SL')
('SL04652-2022-11-01-4185','S175-9','RHsmOa', 'LB')
('SL22517-2022-11-02-4163','S174-11','MeReIEatDFSD', 'UB')
('SL04652-2022-11-01-4187','S175-11','PuACfx', 'UB')
('SL22517-2022-11-01-4215','S176-15','T', 'SL')
('AC04652-2022-11-02-4266','A237-18','vsXaO', 'SU')
('AC04652-2022-11-02-4270','A238-4','QRMVSTzQI', 'UB')
('AC22517-2022-11-02-4277','A238-11','unhfWmkVVeDgjmCn', 'SL')
('AC04652-2022-11-02-4297','A239-13','eDLXUcBthe', 'LB')
('SL22517-2022-11-02-4193','S175-17','sGeAxoZFMCAzXsbz', 'LB')
('SL22517-2022-11-01-4241','S177-17','LfgNjiTfIvAYYGhY', 'LB')
('AC04652-2022-11-02-4298','A239-14','qKRHq', 'LB')
('AC22517-2022-11-01-4348','A242-10','JDaIG', 'UB')
('AC12058-2022-11-01-4292','A239-8','cUnRclBHrRfT', 'LB')
('SL04652-2022-11-01-4224','S176-24','hmpwFVgfUVa', 'SU')
('SL22517-2022-11-01-4244','S177-20','Goobgv', 'LB')
('SL04652-2022-11-02-4282','S179-10','PQatWkXmZKoE', 'MB')
('AC22517-2022-11-01-4369','A243-13','ETAf', 'LB')
('SL12058-2022-11-01-4182','S175-6','pXVKaBEsKqSpAMS', 'UB')
('SL04652-2022-11-01-4246','S177-22','vvJYuN', 'UB')
('SL04652-2022-11-02-4310','S180-14','BSefpjznSGXK', 'UB')
('AC22517-2022-11-01-4382','A244-8','hHsBMQQXg', 'LB')
('SL04652-2022-11-02-4372','S183-4','EyUaARvDMJ', 'LB')
('SL12058-2022-11-01-4279','S179-7','kvSxEXfTIcJexq', 'SL')
('AC04652-2022-11-01-4568','A254-14','NleifR', 'LB')
('AC04652-2022-11-02-4424','A246-14','tBnzCSUQifObxLrR', 'LB')
('AC22517-2022-11-01-4467','A249-3','OXQTRTw', 'UB')
('SL12058-2022-11-01-4288','S179-16','ThpTP', 'SU')
('SL22517-2022-11-01-4359','S182-15','FsJC', 'SL')
('AC12058-2022-11-01-4420','A246-10','WIKXBhQXrAPHPQen', 'UB')
('SL22517-2022-11-01-4360','S182-16','JqgVIFuvr', 'SU')
('AC22517-2022-11-01-4475','A249-11','AYZOmiucFkRvc', 'SL')
('SL12058-2022-11-01-4300','S180-4','QuwhYGmTrCvfqjV', 'LB')
('SL22517-2022-11-01-4372','S183-4','jJZuTJHRlQ', 'LB')
('AC22517-2022-11-01-4488','A250-6','HlvAdoqgEGBf', 'SU')
('AC04652-2022-11-02-4460','A248-14','eLsZwTOFPCEHoLiv', 'LB')
('AC22517-2022-11-01-4491','A250-9','BpaMPHUvjz', 'UB')
('SL04652-2022-11-02-4415','S184-23','IvcviqLU', 'SL')
