('SL04652-2022-11-02-4719','S197-15','zrRrZAQJGkTlsUpR', 'SL')
('AC12058-2022-11-01-6765','A376-15','hVyvPgy', 'UB')
('AC22517-2022-11-01-6758','A376-8','AYKZEJxPvabMrtcl', 'LB')
('SL04652-2022-11-01-6689','S279-17','sTjnKrGo', 'LB')
('AC04652-2022-11-01-7044','A392-6','FbOhT', 'SU')
('SL12058-2022-11-01-6583','S275-7','L', 'SL')
('SL04652-2022-11-02-6745','S282-1','FqoG', 'LB')
('SL22517-2022-11-02-6748','S282-4','MJqavkyCB', 'LB')
('SL04652-2022-11-01-6743','S281-23','NF', 'SL')
('AC22517-2022-11-01-6833','A380-11','Eve', 'SL')
('AC22517-2022-11-01-6834','A380-12','KzzZtrmsUI', 'SU')
('AC04652-2022-11-01-7091','A394-17','qtuaVmVIPG', 'SL')
('AC22517-2022-11-01-6836','A380-14','u', 'LB')
('SL22517-2022-11-02-6804','S284-12','Gcpbzuc', 'LB')
('AC22517-2022-11-01-6840','A380-18','IRKsHuAPhTZgbgHm', 'SU')
('AC12058-2022-11-01-6858','A381-18','WqsY', 'SU')
('SL12058-2022-11-01-6633','S277-9','KiExjJfrpWRYqpz', 'LB')
('AC22517-2022-11-02-6857','A381-17','WsKYLHxSOIVjgyX', 'SL')
('AC04652-2022-11-01-7099','A395-7','IL', 'LB')
('AC04652-2022-11-01-7102','A395-10','LipoknaSEbi', 'UB')
('AC04652-2022-11-02-6857','A381-17','SjkwOYcaeu', 'SL')
('SL22517-2022-11-02-6845','S286-5','Zw', 'MB')
('AC22517-2022-11-01-6870','A382-12','a', 'SU')
('SL04652-2022-11-02-6829','S285-13','rTMPDzi', 'MB')
('SL12058-2022-11-01-6679','S279-7','hBofTZmzqRZE', 'SL')
('SL22517-2022-11-01-6733','S281-13','jfMnaQbOJvLAMb', 'MB')
('AC22517-2022-11-01-6877','A383-1','xMA', 'LB')
('AC04652-2022-11-02-6874','A382-16','xNIPFveCjQLMKhij', 'UB')
('AC22517-2022-11-01-6879','A383-3','ssW', 'UB')
('AC04652-2022-11-02-6875','A382-17','vPzApdfZsQBOClGi', 'SL')
('SL12058-2022-11-01-6687','S279-15','rsuBUo', 'SL')
('AC22517-2022-11-01-6881','A383-5','fSlNfccsu', 'SL')
('SL04652-2022-11-02-6842','S286-2','qpvVKpH', 'MB')
('SL12058-2022-11-01-6690','S279-18','WqasMpILge', 'MB')
('SL12058-2022-11-01-6691','S279-19','AhRJUDvxPZbeeyiZ', 'UB')
('SL12058-2022-11-01-6692','S279-20','UYG', 'LB')
('AC04652-2022-11-02-6879','A383-3','ndCxjrfoecvSg', 'UB')
('SL22517-2022-11-02-6859','S286-19','hOyAAfSmQG', 'UB')
('SL04652-2022-11-01-6823','S285-7','cPM', 'SL')
('AC04652-2022-11-02-6885','A383-9','BulSrjaPMnN', 'UB')
('SL22517-2022-11-01-6748','S282-4','vfYkSKxHiZSCevvk', 'LB')
('SL12058-2022-11-01-6705','S280-9','nrHdGlhgDjUhVMs', 'LB')
('SL04652-2022-11-01-6833','S285-17','Brd', 'LB')
('SL12058-2022-11-01-6728','S281-8','QAQeAn', 'SU')
('AC12058-2022-11-01-6949','A387-1','gwKZKsXuYwLIbdH', 'LB')
('SL04652-2022-11-02-6901','S288-13','kbjdGivyMCc', 'MB')
('SL04652-2022-11-02-6904','S288-16','LlNWTaFWlmlJIfNf', 'SU')
('AC22517-2022-11-02-6959','A387-11','GkPriZaVlZmbvjE', 'SL')
('AC22517-2022-11-02-6960','A387-12','nBxnwaAnNl', 'SU')
('SL22517-2022-11-01-6810','S284-18','OQaTlI', 'MB')
('AC04652-2022-11-01-7210','A401-10','tYVLGocYvh', 'UB')
('AC04652-2022-11-02-6945','A386-15','mJVAGwkwhWlozA', 'UB')
('SL04652-2022-11-01-6912','S288-24','zxOotYJd', 'SU')
('SL04652-2022-11-01-6913','S289-1','Mn', 'LB')
('SL22517-2022-11-01-6836','S285-20','YFpJTI', 'LB')
('AC04652-2022-11-02-6961','A387-13','JODPOVyOCBRapDT', 'LB')
('SL04652-2022-11-02-6951','S290-15','IkEteVDMDpym', 'SL')
('SL22517-2022-11-01-6849','S286-9','v', 'LB')
('SL12058-2022-11-01-6790','S283-22','T', 'UB')
('SL12058-2022-11-01-6814','S284-22','r', 'UB')
('SL04652-2022-11-02-6976','S291-16','rapYdbF', 'SU')
('AC22517-2022-11-01-6995','A389-11','kJx', 'SL')
('AC04652-2022-11-02-7008','A390-6','kUixocuSN', 'SU')
('SL22517-2022-11-02-6995','S292-11','UM', 'UB')
('AC04652-2022-11-02-7041','A392-3','IuDOyRMXGgmwQmSL', 'UB')
('AC04652-2022-11-01-7313','A407-5','yNcrxLombqfVnWpZ', 'SL')
('AC22517-2022-11-01-7085','A394-11','ATNcRsViawCk', 'SL')
('AC04652-2022-11-01-7419','A413-3','eyKxjCQFVnkDyn', 'UB')
('SL12058-2022-11-01-6958','S290-22','LwmkAvlXW', 'UB')
('AC04652-2022-11-01-7421','A413-5','EdsZVA', 'SL')
('AC12058-2022-11-01-7154','A398-8','vv', 'LB')
('SL04652-2022-11-02-7108','S297-4','bYNt', 'LB')
('AC04652-2022-11-01-7425','A413-9','GGHuLxJ', 'UB')
('AC22517-2022-11-01-7154','A398-8','xzyQYAIjCv', 'LB')
('SL22517-2022-11-01-7016','S293-8','zQZhMatHc', 'SU')
('SL04652-2022-11-01-7110','S297-6','S', 'UB')
('SL22517-2022-11-02-7128','S297-24','JlSAAwrYBODrltP', 'SU')
('SL22517-2022-11-02-7147','S298-19','Hh', 'UB')
('SL04652-2022-11-01-7140','S298-12','YCgyDMDDCiR', 'LB')
('SL04652-2022-11-01-7141','S298-13','AFdW', 'MB')
('AC22517-2022-11-02-7240','A403-4','rb', 'UB')
('AC12058-2022-11-01-7214','A401-14','axdpJO', 'LB')
('SL22517-2022-11-02-7177','S300-1','LCCSeEVJ', 'LB')
('SL04652-2022-11-01-7167','S299-15','ZssjBfCWk', 'SL')
('SL22517-2022-11-02-7181','S300-5','xF', 'MB')
('AC04652-2022-11-01-7521','A418-15','ulopWwRCMXmMzi', 'UB')
('AC04652-2022-11-01-7522','A418-16','Jgu', 'UB')
('AC22517-2022-11-01-7263','A404-9','mSNhnQsbFtcfUKrT', 'UB')
('AC04652-2022-11-02-7238','A403-2','la', 'LB')
('AC22517-2022-11-01-7264','A404-10','ZzsrbumiLgbSGC', 'UB')
('SL04652-2022-11-01-7188','S300-12','l', 'LB')
('SL22517-2022-11-01-7119','S297-15','GmZThy', 'SL')
('SL04652-2022-11-01-7208','S301-8','Xa', 'SU')
('SL04652-2022-11-01-7209','S301-9','wNtsA', 'LB')
('SL04652-2022-11-02-7231','S302-7','jeK', 'SL')
('AC04652-2022-11-02-7254','A403-18','m', 'SU')
('AC04652-2022-11-02-7256','A404-2','IejiLon', 'LB')
('SL22517-2022-11-01-7146','S298-18','qlnxCiYrrVdWbqz', 'MB')
('AC22517-2022-11-01-7297','A406-7','asrPud', 'LB')
('AC22517-2022-11-01-7298','A406-8','FhipNqpibiS', 'LB')
('AC22517-2022-11-01-7299','A406-9','MXa', 'UB')
('SL22517-2022-11-02-7233','S302-9','MHRTzR', 'LB')
('AC12058-2022-11-01-7296','A406-6','rXcayccBpmeLUIMK', 'SU')
('SL04652-2022-11-01-7216','S301-16','QjumwJEasXc', 'SU')
('AC12058-2022-11-01-7300','A406-10','SxebGtPvJQ', 'UB')
('AC22517-2022-11-02-7332','A408-6','CyLchlxeqHo', 'SU')
('SL22517-2022-11-02-7292','S304-20','uSOfdbNC', 'LB')
('AC12058-2022-11-01-7345','A409-1','favmGJEsPUwVEyg', 'LB')
('AC04652-2022-11-02-7322','A407-14','BANZFQ', 'LB')
('AC04652-2022-11-01-7621','A424-7','IvEbPncW', 'LB')
('AC22517-2022-11-02-7397','A411-17','xgPWZXXus', 'SL')
('SL04652-2022-11-01-7294','S304-22','cDKbn', 'UB')
('SL12058-2022-11-01-7158','S299-6','mhp', 'UB')
('SL22517-2022-11-02-7316','S305-20','VMWBRd', 'LB')
('SL12058-2022-11-01-7163','S299-11','tbJZKOgFzfoB', 'UB')
('AC04652-2022-11-01-7642','A425-10','irDJAYvATywMk', 'UB')
('AC12058-2022-11-01-7373','A410-11','ZfCxGvePzROI', 'SL')
('AC04652-2022-11-02-7351','A409-7','mhXGILUjdEyxr', 'LB')
('SL04652-2022-11-01-7304','S305-8','zxDNUnNe', 'SU')
('SL22517-2022-11-02-7323','S306-3','XsxzzNyRYIbX', 'UB')
('AC22517-2022-11-01-7358','A409-14','RoMulUuzXDn', 'LB')
('SL04652-2022-11-01-7306','S305-10','claPjyGgf', 'MB')
('AC04652-2022-11-01-7644','A425-12','FflKx', 'SU')
('SL22517-2022-11-02-7328','S306-8','WNAeAWYmHZPsz', 'SU')
('AC22517-2022-11-02-7417','A413-1','bogkjD', 'LB')
('AC12058-2022-11-01-7379','A410-17','SkF', 'SL')
('AC04652-2022-11-02-7355','A409-11','r', 'SL')
('SL04652-2022-11-02-7320','S305-24','GQexeKWpVXbD', 'SU')
('AC12058-2022-11-01-7381','A411-1','LnWFushrVlDwr', 'LB')
('SL22517-2022-11-01-7228','S302-4','TxzW', 'LB')
('SL04652-2022-11-01-7317','S305-21','qIzWjJxwtuQi', 'MB')
('SL22517-2022-11-02-7334','S306-14','GHIXTUboUQb', 'UB')
('AC04652-2022-11-02-7371','A410-9','pcqeIlkmZ', 'UB')
('AC12058-2022-11-01-7395','A411-15','vwrUa', 'UB')
('AC04652-2022-11-02-7380','A410-18','KrtUyQVQGSbSAJpl', 'SU')
('SL22517-2022-11-01-7247','S302-23','pSTEQZhTG', 'SL')
('SL04652-2022-11-02-7335','S306-15','rylyCyp', 'SL')
('AC12058-2022-11-01-7398','A411-18','svgJYugjAJnAQZ', 'SU')
('SL22517-2022-11-02-7379','S308-11','SvBWnOfpFUAU', 'UB')
('AC04652-2022-11-02-7413','A412-15','FawQY', 'UB')
('AC04652-2022-11-02-7414','A412-16','Yo', 'UB')
('SL04652-2022-11-01-7360','S307-16','qcYzLHs', 'SU')
('AC22517-2022-11-02-7487','A416-17','axBHnPDe', 'SL')
('SL12058-2022-11-01-7225','S302-1','PPsrWhlUUOzjGhe', 'LB')
('AC22517-2022-11-02-7493','A417-5','urMJeWxg', 'SL')
('AC22517-2022-11-01-7434','A413-18','kPHwgsQLgbAqsfc', 'SU')
('SL22517-2022-11-01-7286','S304-14','Tj', 'UB')
('AC04652-2022-11-02-7446','A414-12','TBYrawuOOM', 'SU')
('SL12058-2022-11-01-7285','S304-13','qsZbVls', 'MB')
('SL12058-2022-11-01-7286','S304-14','DNvwRDMC', 'UB')
('AC04652-2022-11-01-7753','A431-13','n', 'LB')
('SL04652-2022-11-01-7431','S310-15','DoaJnxGyUUSyBi', 'SL')
('AC04652-2022-11-01-7756','A431-16','vDRj', 'UB')
('SL22517-2022-11-01-7361','S307-17','BSnOg', 'LB')
('AC04652-2022-11-02-7509','A418-3','WjMoUczLnclk', 'UB')
('SL22517-2022-11-01-7363','S307-19','CCloaSgjGZJZaal', 'UB')
('AC04652-2022-11-02-7515','A418-9','qyqMDrgGziPomTDd', 'UB')
('SL22517-2022-11-02-7520','S314-8','sDKLN', 'SU')
('AC22517-2022-11-02-7634','A425-2','PkimyT', 'LB')
('SL12058-2022-11-01-7367','S307-23','vpTMoaWtWG', 'SL')
('SL04652-2022-11-02-7529','S314-17','wBZjqqRfILhxIKG', 'LB')
('SL12058-2022-11-01-7375','S308-7','CKCVBOCxBDK', 'SL')
('AC12058-2022-11-01-7591','A422-13','zZvTzROzbt', 'LB')
('SL22517-2022-11-01-7433','S310-17','TIQNtPE', 'LB')
('AC22517-2022-11-01-7593','A422-15','pqDlV', 'UB')
('AC04652-2022-11-02-7601','A423-5','m', 'SL')
('AC04652-2022-11-02-7602','A423-6','KJVkJnoQHvwC', 'SU')
('SL12058-2022-11-01-7389','S308-21','RbN', 'MB')
('AC04652-2022-11-02-7606','A423-10','YIjnmHMgvxC', 'UB')
('SL04652-2022-11-02-7542','S315-6','uXgq', 'UB')
('AC04652-2022-11-01-7862','A437-14','HAAkGxfHIaOkXFz', 'LB')
('AC12058-2022-11-01-7609','A423-13','FLnTdOlAjbzPIy', 'LB')
('AC22517-2022-11-02-7662','A426-12','k', 'SU')
('SL04652-2022-11-01-7529','S314-17','VDYhUYVdfuXV', 'LB')
('SL04652-2022-11-01-7532','S314-20','uLmxJvu', 'LB')
('AC04652-2022-11-02-7618','A424-4','IR', 'UB')
('SL04652-2022-11-02-7556','S315-20','bB', 'LB')
('SL22517-2022-11-01-7479','S312-15','uppgHVzU', 'SL')
('AC22517-2022-11-02-7691','A428-5','gFUOOsiBTvNofdok', 'SL')
('AC22517-2022-11-02-7692','A428-6','HChIriCNTWP', 'SU')
('AC22517-2022-11-02-7702','A428-16','CbmFp', 'UB')
('AC22517-2022-11-01-7637','A425-5','wtIXgDicoHVlay', 'SL')
('AC22517-2022-11-01-7638','A425-6','faH', 'SU')
('AC22517-2022-11-02-7704','A428-18','h', 'SU')
('SL04652-2022-11-01-7569','S316-9','lS', 'LB')
('SL22517-2022-11-01-7495','S313-7','TlHMVz', 'SL')
('AC22517-2022-11-02-7709','A429-5','qFrYwJMA', 'SL')
('AC12058-2022-11-01-7649','A425-17','zNJHU', 'SL')
('SL22517-2022-11-02-7604','S317-20','TMJFGZzQtb', 'LB')
('AC04652-2022-11-01-7910','A440-8','RJzhWFBXjpCei', 'LB')
('SL04652-2022-11-02-7586','S317-2','mOetUZTqavLINVB', 'MB')
('AC12058-2022-11-01-7654','A426-4','zaRMtnvEmiwq', 'UB')
('AC04652-2022-11-02-7665','A426-15','i', 'UB')
('SL22517-2022-11-02-7612','S318-4','w', 'LB')
('SL04652-2022-11-01-7588','S317-4','mtIq', 'LB')
('SL22517-2022-11-01-7519','S314-7','clBpdnj', 'SL')
('AC22517-2022-11-01-7709','A429-5','ueBEukhAlF', 'SL')
('SL22517-2022-11-01-7554','S315-18','rhtTuUVqEeHz', 'MB')
('AC04652-2022-11-02-7729','A430-7','Sut', 'LB')
('SL22517-2022-11-02-7665','S320-9','wkz', 'LB')
('SL04652-2022-11-01-7635','S319-3','FuXTSkhNRisTcTgW', 'UB')
('AC04652-2022-11-01-8049','A448-3','WgCDuSqpAWJxDXU', 'UB')
('AC12058-2022-11-01-7788','A433-12','jeLJGk', 'SU')
('SL04652-2022-11-02-7739','S323-11','bFjBAtquNlaMwSXl', 'UB')
('SL12058-2022-11-01-7583','S316-23','zNshMzn', 'SL')
('AC22517-2022-11-02-7885','A439-1','OWEzSee', 'LB')
('SL04652-2022-11-01-7731','S323-3','zZyptboyQyiQtHD', 'UB')
('AC12058-2022-11-01-7795','A434-1','zrGKLxcfpMgqsL', 'LB')
('SL04652-2022-11-02-7811','S326-11','AjvyPOYLbrLB', 'UB')
('AC12058-2022-11-01-7874','A438-8','cgXTlBiLiibCAQH', 'LB')
('SL04652-2022-11-01-7818','S326-18','COxRfISTYC', 'MB')
('SL22517-2022-11-01-7766','S324-14','XWW', 'UB')
('SL22517-2022-11-02-7840','S327-16','DSAv', 'SU')
('AC04652-2022-11-01-8166','A454-12','kWMoF', 'SU')
('AC04652-2022-11-01-8167','A454-13','Kw', 'LB')
('AC04652-2022-11-01-8229','A458-3','NvXUASF', 'UB')
('AC22517-2022-11-02-8034','A447-6','vRdMuvEeRT', 'SU')
('AC04652-2022-11-01-8231','A458-5','fsV', 'SL')
('SL04652-2022-11-01-7905','S330-9','hTBAjDgkkLzUb', 'LB')
('SL04652-2022-11-01-7923','S331-3','txjbACDSEovglfQc', 'UB')
('SL22517-2022-11-02-7918','S330-22','RuHICA', 'UB')
('AC04652-2022-11-02-8012','A446-2','GEdtpwRULfbqMo', 'LB')
('SL22517-2022-11-02-7933','S331-13','WumEGBkWfP', 'MB')
('SL22517-2022-11-02-7937','S331-17','iloa', 'LB')
('AC12058-2022-11-01-8005','A445-13','FgPzFYoC', 'LB')
('SL12058-2022-11-01-7774','S324-22','AhueVdyA', 'UB')
('AC04652-2022-11-01-8265','A460-3','EGXytVoQeQSIFWK', 'UB')
('SL22517-2022-11-01-7853','S328-5','LVxUhGmhKS', 'MB')
('AC12058-2022-11-01-8013','A446-3','fiXdSAe', 'UB')
('AC04652-2022-11-02-8038','A447-10','w', 'UB')
('SL12058-2022-11-01-7789','S325-13','AzvRvuCbEZwBknUc', 'MB')
('AC22517-2022-11-01-8004','A445-12','VW', 'SU')
('SL22517-2022-11-02-7955','S332-11','bheZjC', 'UB')
('AC04652-2022-11-02-8077','A449-13','STGQzfeeMtCffw', 'LB')
('SL04652-2022-11-01-8001','S334-9','sr', 'LB')
('SL04652-2022-11-02-7998','S334-6','LwCBLChVpEHiLK', 'UB')
('AC12058-2022-11-01-8066','A449-2','AK', 'LB')
('SL04652-2022-11-02-7999','S334-7','fIHTVAW', 'SL')
('AC04652-2022-11-02-8081','A449-17','HjmJ', 'SL')
('AC22517-2022-11-01-8054','A448-8','gxNirZ', 'LB')
('SL04652-2022-11-01-8007','S334-15','ChzWOlENWF', 'SL')
('SL22517-2022-11-01-7921','S331-1','gcXFJ', 'LB')
('AC22517-2022-11-02-8124','A452-6','TkVFJcQaEXs', 'SU')
('AC04652-2022-11-01-8331','A463-15','oE', 'UB')
('SL12058-2022-11-01-7841','S327-17','mByOdreaxIA', 'LB')
('SL22517-2022-11-02-8014','S334-22','OX', 'UB')
('SL22517-2022-11-02-8018','S335-2','wbfBXGChd', 'MB')
('SL04652-2022-11-01-8020','S335-4','H', 'LB')
('AC04652-2022-11-01-8342','A464-8','eZ', 'LB')
('AC22517-2022-11-02-8131','A452-13','ONLtJMndcvuLm', 'LB')
('SL22517-2022-11-01-7932','S331-12','UnIdwGiBfDdIgENQ', 'LB')
('AC22517-2022-11-01-8062','A448-16','hisozh', 'UB')
('SL22517-2022-11-02-8025','S335-9','oY', 'LB')
('AC22517-2022-11-02-8135','A452-17','QUumKdLcms', 'SL')
('AC04652-2022-11-02-8102','A451-2','Vo', 'LB')
('AC04652-2022-11-02-8104','A451-4','DKdi', 'UB')
('SL22517-2022-11-02-8034','S335-18','cnQigQHPqWpk', 'MB')
('AC12058-2022-11-01-8091','A450-9','kfipqETYDhi', 'UB')
('SL04652-2022-11-01-8073','S337-9','qfXOScZUUV', 'LB')
('AC04652-2022-11-02-8166','A454-12','Fx', 'SU')
('SL12058-2022-11-01-7923','S331-3','P', 'UB')
('AC04652-2022-11-01-8400','A467-12','YtQsudstOeZ', 'SU')
('AC12058-2022-11-01-8140','A453-4','FnVP', 'UB')
('AC04652-2022-11-02-8172','A454-18','zPaJkuwIw', 'SU')
('AC22517-2022-11-01-8126','A452-8','zxRekb', 'LB')
('SL12058-2022-11-01-7931','S331-11','qxzYmZhaOjTF', 'UB')
('SL22517-2022-11-01-7986','S333-18','FJWsJLscAHDzC', 'MB')
('AC04652-2022-11-02-8174','A455-2','GTnyUVGDU', 'LB')
('AC12058-2022-11-01-8146','A453-10','xnbzIJEXPhg', 'UB')
('AC12058-2022-11-01-8148','A453-12','kqpz', 'SU')
('SL12058-2022-11-01-7932','S331-12','vLGD', 'LB')
('SL12058-2022-11-01-7933','S331-13','dN', 'MB')
('AC22517-2022-11-02-8207','A456-17','Vc', 'SL')
('AC12058-2022-11-01-8151','A453-15','xGjPoAarsbMkxc', 'UB')
('AC04652-2022-11-02-8187','A455-15','heqN', 'UB')
('AC12058-2022-11-01-8163','A454-9','iZwpDkm', 'UB')
('AC22517-2022-11-02-8218','A457-10','culsLerU', 'UB')
('SL04652-2022-11-01-8120','S339-8','hbIQAZzPukyacmA', 'SU')
('SL04652-2022-11-01-8121','S339-9','tjF', 'LB')
('SL12058-2022-11-01-7974','S333-6','r', 'UB')
('AC04652-2022-11-02-8208','A456-18','OZyFbcWCqOXXI', 'SU')
('SL04652-2022-11-01-8141','S340-5','vR', 'MB')
('SL04652-2022-11-02-8115','S339-3','P', 'UB')
('AC04652-2022-11-01-8446','A470-4','cCUfdoBy', 'UB')
('AC04652-2022-11-01-8447','A470-5','rSAp', 'SL')
('SL04652-2022-11-02-8118','S339-6','WtXFp', 'UB')
('SL04652-2022-11-01-8144','S340-8','VhPs', 'SU')
('SL04652-2022-11-02-8122','S339-10','hucfDnk', 'MB')
('SL12058-2022-11-01-7983','S333-15','OvfvjhWjrP', 'SL')
('AC04652-2022-11-01-8457','A470-15','etncffPfzxRop', 'UB')
('AC04652-2022-11-02-8222','A457-14','UHeIuL', 'LB')
('SL22517-2022-11-02-8182','S341-22','MSAqm', 'UB')
('AC12058-2022-11-01-8239','A458-13','LertY', 'LB')
('AC12058-2022-11-01-8242','A458-16','NXDArsX', 'UB')
('SL22517-2022-11-02-8186','S342-2','HjPxBmCpChv', 'MB')
('AC22517-2022-11-01-8235','A458-9','KEKvmoGhyYFfWw', 'UB')
('AC12058-2022-11-01-8252','A459-8','Tgn', 'LB')
('AC04652-2022-11-01-8520','A474-6','wsXecssiTcR', 'SU')
('AC12058-2022-11-01-8263','A460-1','KsSFN', 'LB')
('AC22517-2022-11-01-8251','A459-7','fUGROEcJY', 'LB')
('AC12058-2022-11-01-8298','A461-18','CLi', 'SU')
('SL22517-2022-11-02-8240','S344-8','uEbOC', 'SU')
('AC22517-2022-11-02-8405','A467-17','lyk', 'SL')
('AC22517-2022-11-01-8341','A464-7','RvHcAqKOVRUsR', 'LB')
('SL04652-2022-11-02-8297','S346-17','JaRkynFagsdmY', 'LB')
('AC04652-2022-11-02-8420','A468-14','Rj', 'LB')
('AC22517-2022-11-02-8472','A471-12','dgl', 'SU')
('AC04652-2022-11-01-8662','A482-4','lfWvLjeHTLdLIMHg', 'UB')
('AC04652-2022-11-02-8453','A470-11','WtdAVQXumX', 'SL')
('AC12058-2022-11-01-8396','A467-8','ifX', 'LB')
('SL22517-2022-11-01-8282','S346-2','NVHlDDup', 'MB')
('AC04652-2022-11-01-8674','A482-16','EKFurFD', 'UB')
('AC22517-2022-11-02-8502','A473-6','MIbHAecY', 'SU')
('AC04652-2022-11-01-8680','A483-4','hQItpnJOOKi', 'UB')
('SL12058-2022-11-01-8205','S342-21','tOghf', 'MB')
('AC04652-2022-11-02-8467','A471-7','FIxs', 'LB')
('SL04652-2022-11-02-8361','S349-9','vFkgeGejLtsQzgbI', 'LB')
('AC22517-2022-11-02-8512','A473-16','QOZJFocvDh', 'UB')
('SL04652-2022-11-02-8366','S349-14','WCtkHQmL', 'UB')
('AC22517-2022-11-02-8515','A474-1','ednxOiJVULqa', 'LB')
('AC22517-2022-11-01-8498','A473-2','HtHWcCfJn', 'LB')
('SL12058-2022-11-01-8308','S347-4','KN', 'LB')
('AC04652-2022-11-02-8604','A478-18','lOYDRSdilBLuY', 'SU')
('AC04652-2022-11-02-8625','A480-3','HLRnzkAorC', 'UB')
('AC04652-2022-11-01-8823','A491-3','GV', 'UB')
('SL04652-2022-11-02-8507','S355-11','UVjDChlNXORYzszT', 'UB')
('AC22517-2022-11-02-8660','A482-2','aZwUJnE', 'LB')
('SL22517-2022-11-01-8456','S353-8','GFuNHRCfhMO', 'SU')
('AC22517-2022-11-02-8663','A482-5','qqTYTHzoY', 'SL')
('SL04652-2022-11-01-8533','S356-13','tcrNnFxmFsSJJ', 'MB')
('SL12058-2022-11-01-8361','S349-9','MTanTD', 'LB')
('SL04652-2022-11-02-8592','S358-24','RGdHmxUWnCvTAQ', 'SU')
('SL04652-2022-11-01-8597','S359-5','dTW', 'MB')
('SL12058-2022-11-01-8442','S352-18','PYFobVjFwPIihAG', 'MB')
('AC22517-2022-11-01-8705','A484-11','XiqxLB', 'SL')
('AC22517-2022-11-02-8780','A488-14','iYrQYkjpGwNov', 'LB')
('SL12058-2022-11-01-8487','S354-15','ATYyBSg', 'SL')
('SL04652-2022-11-02-8643','S361-3','jnFvPZFkS', 'UB')
('SL04652-2022-11-02-8655','S361-15','Fyl', 'SL')
('AC04652-2022-11-01-8985','A500-3','kKckUtYvsbMK', 'UB')
('SL22517-2022-11-01-8604','S359-12','ReQethfSByxN', 'LB')
('AC12058-2022-11-01-8726','A485-14','cfLxH', 'LB')
('SL22517-2022-11-01-8620','S360-4','c', 'LB')
('SL04652-2022-11-01-8669','S362-5','dZQ', 'MB')
('AC04652-2022-11-01-9019','A502-1','kN', 'LB')
('SL22517-2022-11-02-8669','S362-5','hNpIBhPMgQKqYI', 'MB')
('SL04652-2022-11-01-8727','S364-15','NDQYFjuyRopiYx', 'SL')
('AC04652-2022-11-01-9076','A505-4','hrzRIQVSdYgiBru', 'UB')
('AC12058-2022-11-01-8792','A489-8','vfLtrlUJKRzq', 'LB')
('SL22517-2022-11-02-8716','S364-4','sWNgEKtGtrC', 'LB')
('SL04652-2022-11-01-8734','S364-22','qdZBlGh', 'UB')
('SL04652-2022-11-01-8735','S364-23','vMNS', 'SL')
('AC22517-2022-11-01-8821','A491-1','DoxQcpQXGMoqo', 'LB')
('SL22517-2022-11-01-8724','S364-12','cmhcSLNjDkfNrD', 'LB')
('AC12058-2022-11-01-8821','A491-1','Nk', 'LB')
('AC04652-2022-11-01-9112','A507-4','SBpl', 'UB')
('AC04652-2022-11-02-8884','A494-10','WGBxSuGkrypkCw', 'UB')
('SL22517-2022-11-02-8758','S365-22','AcPEVrZJTRApvZ', 'UB')
('SL04652-2022-11-02-8788','S367-4','XNxwvHPWPGgJkqPI', 'LB')
('SL04652-2022-11-02-8792','S367-8','KL', 'SU')
('AC04652-2022-11-01-9128','A508-2','XvObWEqcu', 'LB')
('SL12058-2022-11-01-8632','S360-16','ROnVPvYecGqT', 'SU')
('SL12058-2022-11-01-8633','S360-17','a', 'LB')
('AC12058-2022-11-01-8843','A492-5','yaArzrGV', 'SL')
('SL22517-2022-11-02-8791','S367-7','wNUigjHNCjFmFtrD', 'SL')
('AC22517-2022-11-02-8942','A497-14','WEFxkLlMjsGy', 'LB')
('AC04652-2022-11-01-9156','A509-12','wdpoFusAnyjLs', 'SU')
('AC12058-2022-11-01-8882','A494-8','WLAAItJxWaIGz', 'LB')
('SL22517-2022-11-01-8780','S366-20','muEJZh', 'LB')
('SL22517-2022-11-02-8811','S368-3','wcnGdcOYhtLnoI', 'UB')
('AC22517-2022-11-01-8894','A495-2','xBt', 'LB')
('SL22517-2022-11-01-8782','S366-22','mkrFnCvEM', 'UB')
('SL04652-2022-11-01-8865','S370-9','EPyOGGeiYfI', 'LB')
('AC04652-2022-11-02-8985','A500-3','c', 'UB')
('AC04652-2022-11-02-8986','A500-4','YwjKgYtPgbnBzb', 'UB')
('AC12058-2022-11-01-8934','A497-6','YsLPATjiQ', 'SU')
('SL22517-2022-11-01-8829','S368-21','WXqg', 'MB')
('SL04652-2022-11-01-8960','S374-8','dFauIaZszOUlLeNE', 'SU')
('AC04652-2022-11-01-9301','A517-13','pbmmKwONiyUzVNJU', 'LB')
('SL04652-2022-11-01-8974','S374-22','QLXPdDusWha', 'UB')
('SL12058-2022-11-01-8824','S368-16','LrSgjrvPQp', 'SU')
('SL22517-2022-11-01-8930','S373-2','kl', 'MB')
('AC22517-2022-11-02-9094','A506-4','amPcPqHjM', 'UB')
('AC22517-2022-11-02-9098','A506-8','QfrwySjpYfQPoyHa', 'LB')
('AC04652-2022-11-02-9081','A505-9','tpVbTV', 'UB')
('AC12058-2022-11-01-9032','A502-14','quMuZQSfuIjGfRoD', 'LB')
('AC04652-2022-11-02-9082','A505-10','HEAOybBuu', 'UB')
('SL22517-2022-11-02-9016','S376-16','TAtSqCIKtKOx', 'SU')
('SL04652-2022-11-01-9040','S377-16','w', 'SU')
('AC22517-2022-11-01-9181','A511-1','ZoSuCQGLAkF', 'LB')
