('AC22517-2022-11-02-3902','A217-14','hwELuFRnWxIzuk', 'LB')
('SL22517-2022-11-01-4009','S168-1','jrnclCdsFrBV', 'LB')
('SL22517-2022-11-01-4010','S168-2','VYMpr', 'MB')
('AC04652-2022-11-02-4094','A228-8','glXKCElBoOD', 'LB')
('AC22517-2022-11-02-4125','A230-3','o', 'UB')
('AC04652-2022-11-02-4096','A228-10','MF', 'UB')
('AC22517-2022-11-01-4036','A225-4','XVzd', 'UB')
('SL12058-2022-11-01-4039','S169-7','SrNzafmKhFhgp', 'SL')
('AC22517-2022-11-01-4038','A225-6','LbkKEcRhh', 'SU')
('AC12058-2022-11-01-4055','A226-5','LOQfGPhWnotwFIU', 'SL')
('SL12058-2022-11-01-4041','S169-9','RHONh', 'LB')
('AC04652-2022-11-01-4029','A224-15','cgpEgsDVGIFJaqi', 'UB')
('AC22517-2022-11-01-4040','A225-8','yvIcFfCQoAOisz', 'LB')
('SL04652-2022-11-01-4116','S172-12','fzbNdnjqUDTWw', 'LB')
('SL22517-2022-11-02-4107','S172-3','fclNiuizETugR', 'UB')
('SL12058-2022-11-01-4043','S169-11','lxefavwbe', 'UB')
('SL22517-2022-11-01-4017','S168-9','FqBvd', 'LB')
('SL04652-2022-11-02-3953','S165-17','gGNIPNDgMrCpTWO', 'LB')
('AC22517-2022-11-01-4041','A225-9','I', 'UB')
('AC22517-2022-11-02-4128','A230-6','OUcgodAEAFX', 'SU')
('SL04652-2022-11-01-4120','S172-16','Kim', 'SU')
('AC04652-2022-11-01-4034','A225-2','pOWTLjC', 'LB')
('AC04652-2022-11-02-4104','A228-18','QGkQaTIhCfCiQ', 'SU')
('SL22517-2022-11-01-4022','S168-14','ydJAlLrWR', 'UB')
('SL22517-2022-11-02-4113','S172-9','L', 'LB')
('SL04652-2022-11-02-3955','S165-19','WyxwUVy', 'UB')
('AC04652-2022-11-02-4105','A229-1','DJw', 'LB')
('AC04652-2022-11-02-4106','A229-2','UWtuYgPvyYOTCxO', 'LB')
('SL12058-2022-11-01-4050','S169-18','faBnp', 'MB')
('SL12058-2022-11-01-4051','S169-19','oawPc', 'UB')
('AC04652-2022-11-01-4039','A225-7','djjzMUzdfgMBYAo', 'LB')
('SL22517-2022-11-01-4025','S168-17','xkpJgiKHGjWXqaS', 'LB')
('AC04652-2022-11-02-4108','A229-4','JYhwDiTiUbiLBdg', 'UB')
('AC04652-2022-11-02-4111','A229-7','KkckompEZnmNPBK', 'LB')
('SL22517-2022-11-01-4027','S168-19','LQuJo', 'UB')
('SL22517-2022-11-02-4119','S172-15','pODFWnnxgter', 'SL')
('AC22517-2022-11-01-4048','A225-16','Rh', 'UB')
('SL22517-2022-11-01-4028','S168-20','cDmdm', 'LB')
('SL12058-2022-11-01-4055','S169-23','NlUyFdVcrmoIwnAD', 'SL')
('SL04652-2022-11-01-4127','S172-23','xgwCh', 'SL')
('SL04652-2022-11-02-3960','S165-24','lPmNPhyVdXQNncPv', 'SU')
('SL22517-2022-11-01-4030','S168-22','cyjCbHn', 'UB')
('AC12058-2022-11-01-4073','A227-5','aKNyeauqJ', 'SL')
('SL22517-2022-11-01-4031','S168-23','bjxJNjCzG', 'SL')
('SL22517-2022-11-02-4124','S172-20','OpErGbBEnQvBL', 'LB')
('AC22517-2022-11-01-4050','A225-18','wrVhexLcO', 'SU')
('AC12058-2022-11-01-4076','A227-8','eMvBteSvJPhJ', 'LB')
('SL04652-2022-11-01-4135','S173-7','EJuSeA', 'SL')
('AC22517-2022-11-02-4141','A231-1','IMUwqhBWhtiNQhft', 'LB')
('SL22517-2022-11-01-4033','S169-1','JljUgeQeybfJ', 'LB')
('AC12058-2022-11-01-4079','A227-11','qFbOV', 'SL')
('AC12058-2022-11-01-4080','A227-12','dAFzncaGsUnJd', 'SU')
('SL22517-2022-11-02-4132','S173-4','arrxucMaT', 'LB')
('SL22517-2022-11-02-4133','S173-5','nWNUjQVq', 'MB')
('SL12058-2022-11-01-4060','S170-4','guaspVEvwCLt', 'LB')
('AC04652-2022-11-01-4049','A225-17','djQzwyJCvtgYpz', 'SL')
('SL22517-2022-11-01-4035','S169-3','spyiXvKxxygQ', 'UB')
('SL04652-2022-11-02-3970','S166-10','VdOESBEiIvy', 'MB')
('AC12058-2022-11-01-4083','A227-15','f', 'UB')
('SL04652-2022-11-01-4139','S173-11','etZrxWicYxp', 'UB')
('AC04652-2022-11-01-4053','A226-3','T', 'UB')
('SL22517-2022-11-01-4040','S169-8','VNreEP', 'SU')
('AC22517-2022-11-01-4060','A226-10','kbeK', 'UB')
('AC22517-2022-11-02-4148','A231-8','yjxtE', 'LB')
('AC04652-2022-11-01-4054','A226-4','oZcibphklBlLH', 'UB')
('AC04652-2022-11-02-4123','A230-1','Zgz', 'LB')
('AC12058-2022-11-01-4085','A227-17','MkpGi', 'SL')
('AC22517-2022-11-02-4149','A231-9','Wi', 'UB')
('SL04652-2022-11-02-3977','S166-17','mJRbsZ', 'LB')
('SL12058-2022-11-01-4066','S170-10','WYzZkKempDeMMtn', 'MB')
('AC04652-2022-11-01-4060','A226-10','k', 'UB')
('SL12058-2022-11-01-4069','S170-13','gCLNHnObwn', 'MB')
('SL12058-2022-11-01-4070','S170-14','IPRqNF', 'UB')
('SL12058-2022-11-01-4074','S170-18','nNWupFFSPEs', 'MB')
('SL22517-2022-11-01-4051','S169-19','IIXVhOplAdANR', 'UB')
('AC22517-2022-11-01-4067','A226-17','vLpJAGUSUjRhlnU', 'SL')
('AC22517-2022-11-01-4068','A226-18','llaKttlfoKaymne', 'SU')
('SL04652-2022-11-01-4146','S173-18','dPGcXKhPem', 'MB')
('AC04652-2022-11-02-4132','A230-10','OWSQgBStSUzzJOu', 'UB')
('AC12058-2022-11-01-4092','A228-6','yQtdoihfav', 'SU')
('SL04652-2022-11-02-3982','S166-22','GprtgVDO', 'UB')
('SL22517-2022-11-01-4056','S169-24','snNezCD', 'SU')
('AC22517-2022-11-02-4156','A231-16','alkHArLQPeXVcRsc', 'UB')
('AC12058-2022-11-01-4098','A228-12','onpBZrIgYMVyeIz', 'SU')
('AC04652-2022-11-01-4071','A227-3','QqPDlvLV', 'UB')
('AC04652-2022-11-02-4138','A230-16','PG', 'UB')
('SL22517-2022-11-01-4063','S170-7','qKV', 'SL')
('AC22517-2022-11-02-4157','A231-17','taBtGxEqDU', 'SL')
('AC04652-2022-11-01-4075','A227-7','bJM', 'LB')
('AC04652-2022-11-01-4076','A227-8','VTvtpEj', 'LB')
('SL04652-2022-11-01-4155','S174-3','vnk', 'UB')
('SL22517-2022-11-02-4148','S173-20','hxfvUBNIyrwWh', 'LB')
('AC04652-2022-11-02-4143','A231-3','hyROmQcCxQX', 'UB')
('SL04652-2022-11-01-4158','S174-6','NeYZonMuQ', 'UB')
('SL22517-2022-11-01-4066','S170-10','ahYbnRvN', 'MB')
('SL22517-2022-11-02-4151','S173-23','fplFe', 'SL')
('SL22517-2022-11-01-4068','S170-12','NlldeNeMXgJgpx', 'LB')
('SL12058-2022-11-01-4080','S170-24','klkKCxktLMmBV', 'SU')
('AC22517-2022-11-02-4163','A232-5','fhYxFzZbcf', 'SL')
('AC04652-2022-11-02-4147','A231-7','woWFCPP', 'LB')
('AC22517-2022-11-01-4078','A227-10','DGJEWsz', 'UB')
('SL04652-2022-11-01-4161','S174-9','EdNaxOWMPRe', 'LB')
('SL04652-2022-11-01-4162','S174-10','hOoUrHSrCFg', 'MB')
('SL04652-2022-11-02-3997','S167-13','VhrmWUhhXoVk', 'MB')
('SL04652-2022-11-02-3998','S167-14','mCNPRRSML', 'UB')
('SL12058-2022-11-01-4085','S171-5','a', 'MB')
('SL22517-2022-11-02-4155','S174-3','X', 'UB')
('SL22517-2022-11-02-4156','S174-4','AkTCv', 'LB')
('SL22517-2022-11-02-4157','S174-5','YTOfhcEzsy', 'MB')
('AC04652-2022-11-02-4150','A231-10','mfoi', 'UB')
('SL22517-2022-11-02-4160','S174-8','K', 'SU')
('AC04652-2022-11-02-4152','A231-12','SoISqwDHyouWwOKK', 'SU')
('AC22517-2022-11-02-4168','A232-10','yVDnGToM', 'UB')
('AC12058-2022-11-01-4107','A229-3','ubf', 'UB')
('SL22517-2022-11-02-4164','S174-12','oJjVTzOOrDH', 'LB')
('SL22517-2022-11-01-4076','S170-20','ftQEqsAVH', 'LB')
('AC04652-2022-11-01-4086','A227-18','bxBPQjlRyqztdC', 'SU')
('AC22517-2022-11-02-4170','A232-12','GKEJnaPpt', 'SU')
('SL04652-2022-11-02-4002','S167-18','MLi', 'MB')
('AC22517-2022-11-01-4089','A228-3','xBpGaMU', 'UB')
('AC22517-2022-11-01-4091','A228-5','hzVsUP', 'SL')
('SL04652-2022-11-01-4175','S174-23','XKKyeD', 'SL')
('AC22517-2022-11-02-4175','A232-17','fxkjFziiJezgq', 'SL')
('SL12058-2022-11-01-4095','S171-15','FWGNtsBxG', 'SL')
('SL12058-2022-11-01-4096','S171-16','KCQnJiwOH', 'SU')
('SL22517-2022-11-01-4079','S170-23','EcHtqzjBgV', 'SL')
('AC22517-2022-11-02-4178','A233-2','LWWIsAvAJYCJd', 'LB')
('AC22517-2022-11-01-4095','A228-9','bbtDwKLRbliAzbZ', 'UB')
('AC04652-2022-11-01-4095','A228-9','OCl', 'UB')
('SL22517-2022-11-02-4173','S174-21','eTZqTIoPbpREP', 'MB')
('SL04652-2022-11-01-4178','S175-2','MWbIsWLVnuqZb', 'MB')
('SL22517-2022-11-02-4174','S174-22','HYxecFPy', 'UB')
('SL22517-2022-11-02-4175','S174-23','FLLjDxYvjFTsGGhT', 'SL')
('SL22517-2022-11-01-4084','S171-4','TVGyNHfjJcLTTuf', 'LB')
('SL12058-2022-11-01-4097','S171-17','c', 'LB')
('AC22517-2022-11-02-4181','A233-5','StsmvUBbxzDI', 'SL')
('AC04652-2022-11-01-4098','A228-12','NiZvQQsez', 'SU')
('AC12058-2022-11-01-4122','A229-18','AQoYz', 'SU')
('SL22517-2022-11-01-4088','S171-8','TdsDuM', 'SU')
('SL12058-2022-11-01-4099','S171-19','ABTxYuZEQFrpE', 'UB')
('AC12058-2022-11-01-4124','A230-2','ggWLSg', 'LB')
('SL12058-2022-11-01-4101','S171-21','kqG', 'MB')
('SL22517-2022-11-02-4179','S175-3','CbAnx', 'UB')
('AC22517-2022-11-02-4186','A233-10','OyTQTDBdvNrZdb', 'UB')
('AC22517-2022-11-01-4100','A228-14','qn', 'LB')
('AC22517-2022-11-02-4187','A233-11','rotDOAqxOqEEhlFi', 'SL')
('AC12058-2022-11-01-4127','A230-5','KUryKsKAULIJpXst', 'SL')
('SL04652-2022-11-01-4184','S175-8','xpUIG', 'SU')
('AC04652-2022-11-01-4103','A228-17','Ii', 'SL')
('AC04652-2022-11-01-4104','A228-18','ZvkcetyMKuRsbbQ', 'SU')
('AC22517-2022-11-01-4103','A228-17','T', 'SL')
('SL04652-2022-11-02-4021','S168-13','aw', 'MB')
('AC04652-2022-11-01-4106','A229-2','LiHybrGb', 'LB')
('SL22517-2022-11-02-4184','S175-8','ikVurOAgd', 'SU')
('AC04652-2022-11-01-4108','A229-4','aNBAOuiq', 'UB')
('SL04652-2022-11-02-4025','S168-17','dRzLJSphzyKsA', 'LB')
('SL04652-2022-11-01-4186','S175-10','EmHKceTEsOU', 'MB')
('SL12058-2022-11-01-4103','S171-23','fXJqnYJThXDtg', 'SL')
('SL04652-2022-11-01-4187','S175-11','ItMHroodjlBFdKUs', 'UB')
('SL04652-2022-11-02-4027','S168-19','VauPBodOO', 'UB')
('AC04652-2022-11-02-4169','A232-11','iPCOhJzYKFFkWY', 'SL')
('AC22517-2022-11-01-4106','A229-2','EfzYbpFE', 'LB')
('SL22517-2022-11-02-4187','S175-11','ltN', 'UB')
('SL12058-2022-11-01-4105','S172-1','rOLtnDYtIgG', 'LB')
('SL22517-2022-11-01-4101','S171-21','CPEhgpVAZpspgkHV', 'MB')
('AC22517-2022-11-01-4107','A229-3','SDn', 'UB')
('SL22517-2022-11-02-4189','S175-13','gWJLvLz', 'MB')
('AC22517-2022-11-01-4108','A229-4','vfUrUsDXOMis', 'UB')
('AC04652-2022-11-02-4171','A232-13','rfvRu', 'LB')
('SL22517-2022-11-02-4191','S175-15','TW', 'SL')
('SL22517-2022-11-02-4192','S175-16','JMDaZSL', 'SU')
('SL04652-2022-11-01-4190','S175-14','xtpiImMFxiX', 'UB')
('SL12058-2022-11-01-4107','S172-3','JnTaHPtHJ', 'UB')
('AC04652-2022-11-01-4114','A229-10','D', 'UB')
('AC12058-2022-11-01-4133','A230-11','J', 'SL')
('AC22517-2022-11-01-4111','A229-7','naU', 'LB')
('SL04652-2022-11-02-4033','S169-1','RETPWjdc', 'LB')
('AC12058-2022-11-01-4135','A230-13','OATkEObaqNDrRsQt', 'LB')
('SL12058-2022-11-01-4109','S172-5','IraK', 'MB')
('SL04652-2022-11-02-4035','S169-3','vYfHFqHcyLDIZqf', 'UB')
('AC04652-2022-11-02-4176','A232-18','KjcCtTPG', 'SU')
('SL22517-2022-11-01-4105','S172-1','cjMTD', 'LB')
('AC04652-2022-11-02-4177','A233-1','xxc', 'LB')
('SL22517-2022-11-02-4196','S175-20','sccNz', 'LB')
('AC12058-2022-11-01-4136','A230-14','FIoZ', 'LB')
('SL12058-2022-11-01-4113','S172-9','BeLXGnH', 'LB')
('SL04652-2022-11-01-4195','S175-19','ZOMQDnMQkVFXONvw', 'UB')
('AC22517-2022-11-02-4201','A234-7','hGQfdlCYDsColdkn', 'LB')
('AC22517-2022-11-01-4115','A229-11','sILIbsA', 'SL')
('AC22517-2022-11-01-4116','A229-12','VfsUlceVFTZZO', 'SU')
('SL12058-2022-11-01-4115','S172-11','jb', 'UB')
('AC12058-2022-11-01-4139','A230-17','isUwHQYbRTUa', 'SL')
('SL12058-2022-11-01-4116','S172-12','fAnG', 'LB')
('AC12058-2022-11-01-4140','A230-18','YJFTBZtxMaYPfcq', 'SU')
('AC22517-2022-11-02-4206','A234-12','zMFJ', 'SU')
('AC04652-2022-11-01-4118','A229-14','FJwErzNqAQEVf', 'LB')
('SL12058-2022-11-01-4117','S172-13','yhczLNmzGQWasLne', 'MB')
('SL22517-2022-11-01-4109','S172-5','QMq', 'MB')
('AC22517-2022-11-01-4118','A229-14','dK', 'LB')
('AC22517-2022-11-01-4119','A229-15','VvQwWSQsgX', 'UB')
('SL04652-2022-11-02-4039','S169-7','nuaEBeObimkFvd', 'SL')
('AC22517-2022-11-02-4207','A234-13','TZVSS', 'LB')
('AC22517-2022-11-01-4121','A229-17','lUzLGmedyWzwOgDY', 'SL')
('AC04652-2022-11-01-4122','A229-18','pNYJB', 'SU')
('SL22517-2022-11-01-4110','S172-6','xlBywoaT', 'UB')
('AC22517-2022-11-02-4209','A234-15','Ielwkt', 'UB')
('SL22517-2022-11-01-4111','S172-7','ueLq', 'SL')
('AC04652-2022-11-01-4124','A230-2','Zu', 'LB')
('SL04652-2022-11-02-4042','S169-10','xlpzs', 'MB')
('SL22517-2022-11-01-4112','S172-8','aZPRuK', 'SU')
('SL22517-2022-11-01-4113','S172-9','MA', 'LB')
('AC04652-2022-11-02-4186','A233-10','zbxAdZv', 'UB')
('SL04652-2022-11-01-4205','S176-5','ZJBPCV', 'MB')
('SL04652-2022-11-02-4044','S169-12','td', 'LB')
('AC04652-2022-11-02-4188','A233-12','MmtsRZJid', 'SU')
('SL22517-2022-11-02-4204','S176-4','EbNevK', 'LB')
('AC04652-2022-11-01-4127','A230-5','IsFaeimByQNfutDU', 'SL')
('AC22517-2022-11-01-4128','A230-6','jTVal', 'SU')
('SL04652-2022-11-01-4208','S176-8','qjQWUWTcrFmAgRM', 'SU')
('AC04652-2022-11-01-4128','A230-6','BXscLLObdPgL', 'SU')
('SL22517-2022-11-01-4117','S172-13','QxCWdpIgiYmF', 'MB')
('SL22517-2022-11-01-4118','S172-14','Ue', 'UB')
('AC04652-2022-11-02-4189','A233-13','VogtLLmaPIPDi', 'LB')
('SL04652-2022-11-01-4210','S176-10','JqUZ', 'MB')
('SL12058-2022-11-01-4127','S172-23','XQAchvFxZo', 'SL')
('AC04652-2022-11-01-4131','A230-9','L', 'UB')
('AC22517-2022-11-02-4219','A235-7','dNlukhrWlp', 'LB')
('AC04652-2022-11-02-4190','A233-14','PHpTMTTmY', 'LB')
('SL22517-2022-11-02-4208','S176-8','tiAgDNDKAPogZ', 'SU')
('AC04652-2022-11-01-4133','A230-11','G', 'SL')
('SL22517-2022-11-02-4210','S176-10','VumzaiCJwTahC', 'MB')
('AC22517-2022-11-01-4131','A230-9','htiIJJD', 'UB')
('AC22517-2022-11-01-4132','A230-10','jej', 'UB')
('SL12058-2022-11-01-4130','S173-2','dwwfD', 'MB')
('AC22517-2022-11-01-4133','A230-11','zCqJVvlJ', 'SL')
('AC04652-2022-11-02-4193','A233-17','OWthp', 'SL')
('AC22517-2022-11-01-4134','A230-12','hfJh', 'SU')
('AC22517-2022-11-02-4224','A235-12','izZehdszrNiVr', 'SU')
('AC12058-2022-11-01-4149','A231-9','pbGch', 'UB')
('SL22517-2022-11-02-4215','S176-15','JHwCI', 'SL')
('SL22517-2022-11-02-4216','S176-16','wmvpOpXCJDtyySA', 'SU')
('AC22517-2022-11-02-4226','A235-14','yxCZz', 'LB')
('AC04652-2022-11-01-4137','A230-15','AyG', 'UB')
('SL22517-2022-11-01-4128','S172-24','AMXKsL', 'SU')
('SL22517-2022-11-01-4129','S173-1','CueLT', 'LB')
('AC12058-2022-11-01-4151','A231-11','qWPRDpUQir', 'SL')
('AC22517-2022-11-02-4228','A235-16','KVyQTC', 'UB')
('SL04652-2022-11-01-4218','S176-18','cxupNGnfbXqd', 'MB')
('AC22517-2022-11-02-4230','A235-18','rgWAJtZFOdtTXIKm', 'SU')
('AC12058-2022-11-01-4154','A231-14','pOFQpROAb', 'LB')
('AC22517-2022-11-02-4234','A236-4','WRorpTtZO', 'UB')
('AC22517-2022-11-02-4235','A236-5','K', 'SL')
('AC12058-2022-11-01-4155','A231-15','Fu', 'UB')
('SL22517-2022-11-01-4134','S173-6','Ioxlmhqf', 'UB')
('AC12058-2022-11-01-4156','A231-16','MnyHv', 'UB')
('AC22517-2022-11-02-4237','A236-7','ZsbQxQcwogiBLE', 'LB')
('AC04652-2022-11-01-4146','A231-6','xmwbTvapNE', 'SU')
('SL12058-2022-11-01-4135','S173-7','yPmdXxIeHkaErvv', 'SL')
('AC04652-2022-11-02-4199','A234-5','JIsPUzQZgjScQdI', 'SL')
('SL12058-2022-11-01-4137','S173-9','OzOFWhO', 'LB')
('AC04652-2022-11-01-4148','A231-8','jZOO', 'LB')
('AC04652-2022-11-01-4149','A231-9','qmCDqoKbaqYBGnxB', 'UB')
('AC22517-2022-11-01-4149','A231-9','BrCczsIR', 'UB')
('AC04652-2022-11-01-4151','A231-11','E', 'SL')
('AC04652-2022-11-01-4152','A231-12','RMqfsFkQhx', 'SU')
('SL04652-2022-11-01-4222','S176-22','zuZM', 'UB')
('SL22517-2022-11-02-4227','S177-3','wYaK', 'UB')
('SL04652-2022-11-01-4224','S176-24','eVYKWVLsVV', 'SU')
('SL04652-2022-11-01-4225','S177-1','VKBcNCqBNNjLDT', 'LB')
('AC22517-2022-11-01-4152','A231-12','lzoS', 'SU')
('AC22517-2022-11-02-4240','A236-10','wCwaDYaTGWY', 'UB')
('AC12058-2022-11-01-4162','A232-4','ryvdKpn', 'UB')
('SL22517-2022-11-01-4141','S173-13','dODFu', 'MB')
('SL04652-2022-11-02-4064','S170-8','MbEhw', 'SU')
('AC22517-2022-11-02-4245','A236-15','z', 'UB')
('AC22517-2022-11-02-4247','A236-17','ZhHOvscHYxMnJo', 'SL')
('AC22517-2022-11-01-4155','A231-15','mlkM', 'UB')
('SL04652-2022-11-02-4066','S170-10','cNri', 'MB')
('AC22517-2022-11-01-4157','A231-17','BLoYngLxhvxvPxPH', 'SL')
('SL12058-2022-11-01-4145','S173-17','etaquRfJ', 'LB')
('SL04652-2022-11-02-4069','S170-13','hJNkkJoDReXQfpG', 'MB')
('AC22517-2022-11-01-4160','A232-2','kdbZxWPBKWoWg', 'LB')
('SL22517-2022-11-01-4143','S173-15','GuXzWl', 'SL')
('SL04652-2022-11-01-4236','S177-12','tyAEPun', 'LB')
('SL04652-2022-11-02-4072','S170-16','ukUnQje', 'SU')
('AC04652-2022-11-01-4163','A232-5','jkNwpoizwdKj', 'SL')
('AC04652-2022-11-01-4165','A232-7','RPUBfVpQ', 'LB')
('AC22517-2022-11-01-4165','A232-7','EVMs', 'LB')
('SL22517-2022-11-01-4149','S173-21','sjBtuJSP', 'MB')
('AC04652-2022-11-02-4219','A235-7','GDT', 'LB')
('AC04652-2022-11-02-4220','A235-8','wkLLnC', 'LB')
('SL22517-2022-11-02-4235','S177-11','yJoEZeG', 'UB')
('SL22517-2022-11-01-4150','S173-22','muiSuZhg', 'UB')
('SL22517-2022-11-02-4238','S177-14','jYgA', 'UB')
('SL22517-2022-11-01-4152','S173-24','vJRGKOsmNGJxKzq', 'SU')
('SL22517-2022-11-02-4239','S177-15','z', 'SL')
('AC12058-2022-11-01-4177','A233-1','HyBNIisCZOwbA', 'LB')
('AC04652-2022-11-02-4223','A235-11','ebzaHGRIQFh', 'SL')
('SL22517-2022-11-01-4154','S174-2','ipSZdRbv', 'MB')
('SL22517-2022-11-01-4155','S174-3','qQZuiXuERFpmVJ', 'UB')
('AC04652-2022-11-02-4224','A235-12','LI', 'SU')
('SL04652-2022-11-02-4081','S171-1','MMXZPQVHFQx', 'LB')
('AC04652-2022-11-01-4173','A232-15','yygOLd', 'UB')
('AC22517-2022-11-01-4174','A232-16','GVkUwJTaHbyxdsG', 'UB')
('AC12058-2022-11-01-4180','A233-4','kGuWCzLu', 'UB')
('SL22517-2022-11-02-4242','S177-18','LWQvG', 'MB')
('SL04652-2022-11-01-4246','S177-22','dEfJwgZeHFz', 'UB')
('AC04652-2022-11-02-4225','A235-13','cQciaxnV', 'LB')
('AC04652-2022-11-02-4226','A235-14','fOiDcmvAUENCJ', 'LB')
('SL22517-2022-11-01-4161','S174-9','ssxaw', 'LB')
('SL04652-2022-11-02-4087','S171-7','AZtrithAqw', 'SL')
('AC04652-2022-11-01-4176','A232-18','CagAWgCfJr', 'SU')
('SL22517-2022-11-01-4164','S174-12','jslgwOZdIZepcy', 'LB')
('AC22517-2022-11-01-4181','A233-5','AyWoFOLO', 'SL')
('SL22517-2022-11-02-4246','S177-22','WJrPK', 'UB')
('SL22517-2022-11-02-4247','S177-23','dOBnadLAaQpxMKn', 'SL')
('AC04652-2022-11-02-4231','A236-1','zxQPHoVuLVx', 'LB')
('SL12058-2022-11-01-4160','S174-8','WddywVvtZH', 'SU')
('AC04652-2022-11-01-4180','A233-4','UhVCOx', 'UB')
('AC04652-2022-11-01-4181','A233-5','fbFLIvKaAOcA', 'SL')
('AC22517-2022-11-01-4184','A233-8','Xuehz', 'LB')
('SL04652-2022-11-01-4251','S178-3','cCmfxbaP', 'UB')
('SL12058-2022-11-01-4164','S174-12','ndIU', 'LB')
('SL22517-2022-11-02-4253','S178-5','gpIKtNSOCptOC', 'MB')
('SL04652-2022-11-02-4093','S171-13','hcAtng', 'MB')
('AC22517-2022-11-01-4185','A233-9','yfNn', 'UB')
('SL04652-2022-11-02-4095','S171-15','mvUtQTCxP', 'SL')
('AC22517-2022-11-01-4187','A233-11','AhgsFZZrXWN', 'SL')
('SL22517-2022-11-02-4256','S178-8','RYtTdcGvCCtBL', 'SU')
('AC22517-2022-11-02-4260','A237-12','jHAPiXVvQaMCFsBE', 'SU')
('AC22517-2022-11-02-4261','A237-13','cDMJHIfSVKQwm', 'LB')
('AC04652-2022-11-01-4185','A233-9','f', 'UB')
('AC22517-2022-11-01-4191','A233-15','VjUBFe', 'UB')
('SL12058-2022-11-01-4168','S174-16','LctoLvYI', 'SU')
('SL04652-2022-11-01-4257','S178-9','Pyjmfz', 'LB')
('SL12058-2022-11-01-4170','S174-18','yFjptd', 'MB')
('AC04652-2022-11-01-4187','A233-11','BEBHKRbOiyN', 'SL')
('AC22517-2022-11-02-4266','A237-18','IR', 'SU')
('AC04652-2022-11-01-4188','A233-12','CgwKHszPuco', 'SU')
('SL22517-2022-11-02-4259','S178-11','rgGMkLZBZKcmPx', 'UB')
('AC12058-2022-11-01-4192','A233-16','sRr', 'UB')
('SL04652-2022-11-02-4103','S171-23','W', 'SL')
('SL22517-2022-11-02-4263','S178-15','OzmCw', 'SL')
('AC04652-2022-11-02-4244','A236-14','g', 'LB')
('AC04652-2022-11-02-4245','A236-15','iirFXIripvM', 'UB')
('SL12058-2022-11-01-4178','S175-2','EHKyDeDDQA', 'MB')
('AC04652-2022-11-01-4190','A233-14','OLRfYziWbQbcz', 'LB')
('AC04652-2022-11-01-4191','A233-15','skxhKdEAcXkoqDxg', 'UB')
('AC22517-2022-11-01-4198','A234-4','IaKT', 'UB')
('SL04652-2022-11-02-4105','S172-1','TBKWGVFPzU', 'LB')
('AC04652-2022-11-02-4249','A237-1','jYWSkxW', 'LB')
('SL04652-2022-11-01-4267','S178-19','VvTAT', 'UB')
('SL04652-2022-11-01-4268','S178-20','HPvVfu', 'LB')
('AC22517-2022-11-01-4200','A234-6','WarpYpyCDJNPN', 'SU')
('SL04652-2022-11-01-4271','S178-23','FFASu', 'SL')
('AC12058-2022-11-01-4200','A234-6','NcuCIpe', 'SU')
('AC22517-2022-11-02-4275','A238-9','zWwMKPjjAUyWC', 'UB')
('AC22517-2022-11-02-4276','A238-10','LBcKzi', 'UB')
('AC22517-2022-11-01-4202','A234-8','kAaIbrsyzL', 'LB')
('SL22517-2022-11-02-4269','S178-21','Ahwotz', 'MB')
('AC22517-2022-11-02-4277','A238-11','N', 'SL')
('AC04652-2022-11-02-4260','A237-12','ntAyJYc', 'SU')
('AC04652-2022-11-01-4198','A234-4','zEoJh', 'UB')
('AC04652-2022-11-02-4265','A237-17','PYLmZRlkYgzGyt', 'SL')
('SL04652-2022-11-02-4116','S172-12','UuKhSiCPwpjoj', 'LB')
('SL22517-2022-11-02-4273','S179-1','KbyNbxIQni', 'LB')
('AC12058-2022-11-01-4205','A234-11','aGUnvXkbEIpzQr', 'SL')
('AC22517-2022-11-02-4283','A238-17','i', 'SL')
('SL04652-2022-11-02-4120','S172-16','BJCLZdcthR', 'SU')
('AC22517-2022-11-01-4212','A234-18','fitnkvLbUaGbBg', 'SU')
('SL22517-2022-11-02-4277','S179-5','XaNsYmFjcUOLmpj', 'MB')
('SL04652-2022-11-01-4279','S179-7','kHZnJYifOY', 'SL')
('AC04652-2022-11-01-4203','A234-9','ZNqyrcgmp', 'UB')
('AC12058-2022-11-01-4207','A234-13','Zrz', 'LB')
('SL04652-2022-11-01-4281','S179-9','bHQgMGEInuZ', 'LB')
('AC04652-2022-11-02-4269','A238-3','zW', 'UB')
('AC04652-2022-11-01-4205','A234-11','F', 'SL')
('SL04652-2022-11-02-4126','S172-22','jYULXQvqbeHx', 'UB')
('SL22517-2022-11-02-4281','S179-9','odIwQalyneSsXNe', 'LB')
('SL22517-2022-11-01-4188','S175-12','Cb', 'LB')
('SL22517-2022-11-01-4189','S175-13','ccJ', 'MB')
('SL22517-2022-11-02-4283','S179-11','hDUXtIb', 'UB')
('AC22517-2022-11-02-4291','A239-7','unO', 'LB')
('SL12058-2022-11-01-4188','S175-12','VEA', 'LB')
('SL04652-2022-11-02-4130','S173-2','sWqGK', 'MB')
('AC04652-2022-11-01-4208','A234-14','HStUSYmsCbrmnlz', 'LB')
('AC12058-2022-11-01-4210','A234-16','b', 'UB')
('AC12058-2022-11-01-4211','A234-17','gjJmauQpRDsKE', 'SL')
('AC04652-2022-11-02-4271','A238-5','XyoHjB', 'SL')
