('SL12058-2022-11-01-1133','S48-5','udhGaWlU', 'MB')
('SL04652-2022-11-01-2123','S89-11','pWPLRIMIno', 'UB')
('AC22517-2022-11-01-2176','A121-16','GXqVq', 'UB')
('SL04652-2022-11-01-2126','S89-14','m', 'UB')
('SL04652-2022-11-01-2127','S89-15','nmajGLxDhcJd', 'SL')
('AC22517-2022-11-02-2137','A119-13','dH', 'LB')
('SL12058-2022-11-01-2110','S88-22','ngQSoCfMF', 'UB')
('AC12058-2022-11-01-2145','A120-3','zjCXROOPsTmGJMcE', 'UB')
('SL12058-2022-11-01-2111','S88-23','yfdA', 'SL')
('AC12058-2022-11-01-2153','A120-11','fHoVkr', 'SL')
('SL22517-2022-11-02-2160','S90-24','pdzUYWSEjZWa', 'SU')
('AC04652-2022-11-01-2254','A126-4','ExnRBSrXQnNWsy', 'UB')
('SL22517-2022-11-01-2180','S91-20','yWKabkEamREc', 'LB')
('AC04652-2022-11-01-2256','A126-6','QpQNZbXU', 'SU')
('AC04652-2022-11-01-2278','A127-10','fHrYWXPOspTd', 'UB')
('SL22517-2022-11-02-2177','S91-17','ygbgDwe', 'LB')
('SL22517-2022-11-01-2197','S92-13','YUoKyPqWQee', 'MB')
('AC04652-2022-11-02-2198','A123-2','cOLZyKQlOTUYblF', 'LB')
('AC22517-2022-11-01-2251','A126-1','AgMRVNKWu', 'LB')
('SL22517-2022-11-01-2215','S93-7','atcEzX', 'SL')
('SL12058-2022-11-01-2168','S91-8','LFn', 'SU')
('SL04652-2022-11-01-2186','S92-2','AgSCiUeFKIbgSzz', 'MB')
('SL04652-2022-11-02-2229','S93-21','rI', 'MB')
('AC22517-2022-11-01-2266','A126-16','esLLWlHzR', 'UB')
('SL22517-2022-11-02-2215','S93-7','oTlyZfszg', 'SL')
('AC22517-2022-11-02-2220','A124-6','T', 'SU')
('AC22517-2022-11-01-2268','A126-18','PWKKXHnKL', 'SU')
('AC22517-2022-11-02-2228','A124-14','cuThiM', 'LB')
('SL22517-2022-11-01-2238','S94-6','HQiWwCsnWO', 'UB')
('SL22517-2022-11-02-2218','S93-10','uCtO', 'MB')
('AC04652-2022-11-01-2328','A130-6','fSIrf', 'SU')
('SL12058-2022-11-01-2191','S92-7','T', 'SL')
('SL22517-2022-11-02-2250','S94-18','w', 'MB')
('SL22517-2022-11-01-2267','S95-11','Ja', 'UB')
('AC22517-2022-11-02-2268','A126-18','lDqt', 'SU')
('AC04652-2022-11-02-2273','A127-5','wOnavIFLPwi', 'SL')
('AC04652-2022-11-01-2370','A132-12','oSCQP', 'SU')
('SL22517-2022-11-02-2253','S94-21','sYJMZSugKFhE', 'MB')
('AC04652-2022-11-02-2276','A127-8','xFQAuflWFNbhpq', 'LB')
('AC22517-2022-11-01-2330','A130-8','rwYYthLxAaOlEW', 'LB')
('SL22517-2022-11-02-2267','S95-11','cdYq', 'UB')
('AC22517-2022-11-01-2340','A130-18','YilXm', 'SU')
('SL04652-2022-11-02-2294','S96-14','PgbwW', 'UB')
('AC12058-2022-11-01-2308','A129-4','ReO', 'UB')
('AC04652-2022-11-02-2346','A131-6','SVFmFlK', 'SU')
('SL22517-2022-11-01-2336','S98-8','Uw', 'SU')
('SL22517-2022-11-01-2337','S98-9','CmeDzOONfnQPBrcx', 'LB')
('AC12058-2022-11-01-2319','A129-15','MyRtUjuDZbkX', 'UB')
('AC12058-2022-11-01-2320','A129-16','eqrkhfhuRu', 'UB')
('SL12058-2022-11-01-2289','S96-9','LwlzkoPDvck', 'LB')
('SL04652-2022-11-01-2304','S96-24','Dzrirnp', 'SU')
('SL22517-2022-11-01-2344','S98-16','VrrcfHWLzbX', 'SU')
('AC04652-2022-11-01-2448','A136-18','haCMzaRvSC', 'SU')
('AC22517-2022-11-01-2393','A133-17','QXohlxiNVzLg', 'SL')
('AC04652-2022-11-01-2451','A137-3','WoxswSbCzjCeZgOF', 'UB')
('SL04652-2022-11-01-2312','S97-8','IEjIEbIs', 'SU')
('AC04652-2022-11-01-2453','A137-5','yPVxa', 'SL')
('AC04652-2022-11-02-2354','A131-14','yiijsyhXJUoGUXqM', 'LB')
('AC04652-2022-11-02-2355','A131-15','APnJWsp', 'UB')
('AC22517-2022-11-02-2339','A130-17','qaUtaeG', 'SL')
('AC22517-2022-11-01-2406','A134-12','nMpBgmN', 'SU')
('AC12058-2022-11-01-2336','A130-14','OhKToU', 'LB')
('SL04652-2022-11-02-2356','S99-4','zHUJcqeqhI', 'LB')
('AC22517-2022-11-02-2346','A131-6','rD', 'SU')
('AC22517-2022-11-01-2410','A134-16','Hqtgta', 'UB')
('AC22517-2022-11-01-2411','A134-17','lJcROJ', 'SL')
('AC22517-2022-11-01-2412','A134-18','EfCwxB', 'SU')
('AC04652-2022-11-02-2365','A132-7','NmGk', 'LB')
('AC22517-2022-11-02-2349','A131-9','dBZVimy', 'UB')
('AC04652-2022-11-02-2367','A132-9','WBafztfXNyFXGFK', 'UB')
('AC12058-2022-11-01-2345','A131-5','aOJpN', 'SL')
('AC22517-2022-11-01-2415','A135-3','WgiIU', 'UB')
('SL22517-2022-11-02-2350','S98-22','LjDI', 'UB')
('SL12058-2022-11-01-2310','S97-6','iLbLKlazhVulvN', 'UB')
('AC04652-2022-11-01-2476','A138-10','htUkneZoiWgPQog', 'UB')
('SL12058-2022-11-01-2311','S97-7','rVGnkQPcVYkXMTX', 'SL')
('SL22517-2022-11-02-2354','S99-2','pgWEICcKqfAgqJ', 'MB')
('AC04652-2022-11-01-2480','A138-14','vHYTwOSjwXCap', 'LB')
('SL12058-2022-11-01-2331','S98-3','P', 'UB')
('AC22517-2022-11-01-2429','A135-17','dNE', 'SL')
('AC04652-2022-11-01-2495','A139-11','prqktnvjqIj', 'SL')
('AC12058-2022-11-01-2371','A132-13','CAAnQBorGdIJZLsr', 'LB')
('SL04652-2022-11-02-2399','S100-23','JrZgADmR', 'SL')
('SL22517-2022-11-01-2404','S101-4','eHkgdBdlc', 'LB')
('AC04652-2022-11-02-2401','A134-7','TlCr', 'LB')
('SL22517-2022-11-02-2388','S100-12','UsjyNDItlZSGPUu', 'LB')
('AC12058-2022-11-01-2386','A133-10','sWUifgJVhy', 'UB')
('AC12058-2022-11-01-2388','A133-12','fZTURnzNJ', 'SU')
('SL22517-2022-11-01-2412','S101-12','BRMxbMI', 'LB')
('SL22517-2022-11-01-2413','S101-13','FsiqBKpItZud', 'MB')
('SL04652-2022-11-02-2443','S102-19','CRKVSKidYAoyphy', 'UB')
('SL04652-2022-11-01-2412','S101-12','ov', 'LB')
('AC04652-2022-11-02-2441','A136-11','pzV', 'SL')
('AC04652-2022-11-02-2447','A136-17','KqeLwXqRAgWF', 'SL')
('AC04652-2022-11-01-2555','A142-17','r', 'SL')
('AC04652-2022-11-01-2556','A142-18','KMBlJgRTxlMt', 'SU')
('SL04652-2022-11-01-2421','S101-21','cLGmIXLgRjR', 'MB')
('SL04652-2022-11-02-2508','S105-12','EHOahhZvxXGmrAB', 'LB')
('SL04652-2022-11-01-2462','S103-14','uZJysJb', 'UB')
('AC22517-2022-11-02-2486','A139-2','Pn', 'LB')
('SL04652-2022-11-01-2463','S103-15','NNQgOMJcrQMF', 'SL')
('AC22517-2022-11-02-2487','A139-3','HFa', 'UB')
('SL22517-2022-11-01-2526','S106-6','JWXserNjRyOuY', 'UB')
('AC04652-2022-11-02-2513','A140-11','tOV', 'SL')
('AC04652-2022-11-01-2613','A146-3','RJWf', 'UB')
('SL12058-2022-11-01-2457','S103-9','LTEiFbaBHNDTu', 'LB')
('SL12058-2022-11-01-2458','S103-10','hBfnPgXBAXPEEZz', 'MB')
('AC12058-2022-11-01-2511','A140-9','pHaUMrldxp', 'UB')
('SL22517-2022-11-02-2490','S104-18','zHAXr', 'MB')
('SL12058-2022-11-01-2520','S105-24','dKnDYHgAw', 'SU')
('SL22517-2022-11-02-2531','S106-11','iHHjayAdJucJbCKs', 'UB')
('AC04652-2022-11-02-2575','A144-1','YEEbsKQUHyrUaibL', 'LB')
('SL12058-2022-11-01-2538','S106-18','AkjYqNyCO', 'MB')
('SL04652-2022-11-02-2594','S109-2','zgJPHA', 'MB')
('SL04652-2022-11-01-2551','S107-7','NUPTHL', 'SL')
('AC22517-2022-11-02-2568','A143-12','d', 'SU')
('AC22517-2022-11-01-2625','A146-15','tFUeogmjebAVvfwn', 'UB')
('AC22517-2022-11-01-2626','A146-16','U', 'UB')
('SL12058-2022-11-01-2544','S106-24','xUobWNKnNnEIE', 'SU')
('AC22517-2022-11-02-2635','A147-7','SlEGfDF', 'LB')
('SL04652-2022-11-02-2652','S111-12','OvUHshiUUgnJ', 'LB')
('AC04652-2022-11-01-2751','A153-15','THoTXwb', 'UB')
('SL04652-2022-11-02-2657','S111-17','ncpvUDAlXm', 'LB')
('AC04652-2022-11-02-2661','A148-15','CfXikYWjvfxsWKiJ', 'UB')
('SL04652-2022-11-01-2633','S110-17','jRxSxTCOAyPd', 'LB')
('AC04652-2022-11-02-2663','A148-17','eUrzNztSqNVKRs', 'SL')
('AC22517-2022-11-01-2713','A151-13','PZaFfQLfFAVtXn', 'LB')
('SL04652-2022-11-01-2636','S110-20','fx', 'LB')
('SL12058-2022-11-01-2624','S110-8','SIscZFUhwRyHGSH', 'SU')
('SL04652-2022-11-02-2673','S112-9','lmrzblOdUwZjMG', 'LB')
('SL04652-2022-11-01-2640','S110-24','DiAk', 'SU')
('AC12058-2022-11-01-2643','A147-15','dcxENSR', 'UB')
('SL04652-2022-11-01-2642','S111-2','ZGBaF', 'MB')
('SL22517-2022-11-01-2683','S112-19','aafOCqvgbg', 'UB')
('SL12058-2022-11-01-2630','S110-14','ZBvPRmhecdgOg', 'UB')
('SL04652-2022-11-02-2682','S112-18','ofFfPLZrc', 'MB')
('SL04652-2022-11-01-2650','S111-10','YCTZqDYlJT', 'MB')
('SL22517-2022-11-02-2629','S110-13','GthvcPb', 'MB')
('AC22517-2022-11-01-2726','A152-8','PUrjrFyXVC', 'LB')
('AC22517-2022-11-01-2727','A152-9','ujKo', 'UB')
('AC22517-2022-11-01-2729','A152-11','ZMrcKUJJYnGZ', 'SL')
('SL22517-2022-11-01-2696','S113-8','VKzFPgqOsZO', 'SU')
('SL22517-2022-11-02-2639','S110-23','brsCKT', 'SL')
('SL22517-2022-11-01-2711','S113-23','apdnwnxputm', 'SL')
('AC22517-2022-11-01-2742','A153-6','pmqjcIruVdH', 'SU')
('SL04652-2022-11-01-2671','S112-7','DcZNDLS', 'SL')
('SL12058-2022-11-01-2665','S112-1','LcFpYkRuTBEsZ', 'LB')
('AC04652-2022-11-01-2818','A157-10','cmRPoDObrOjDWh', 'UB')
('AC22517-2022-11-02-2713','A151-13','CvpsxMHA', 'LB')
('AC22517-2022-11-01-2771','A154-17','NcjTDPOySfqPhldr', 'SL')
('SL04652-2022-11-01-2704','S113-16','RaeQTjDOMczSng', 'SU')
('AC22517-2022-11-02-2724','A152-6','YZfwyiDTUMjjguI', 'SU')
('AC22517-2022-11-01-2803','A156-13','VMsatM', 'LB')
('AC22517-2022-11-01-2804','A156-14','vxe', 'LB')
('SL04652-2022-11-02-2754','S115-18','wcd', 'MB')
('SL22517-2022-11-01-2770','S116-10','aIyvMZPyarN', 'MB')
('SL04652-2022-11-02-2756','S115-20','lfbRyXFd', 'LB')
('AC04652-2022-11-02-2747','A153-11','GAClSIvY', 'SL')
('AC04652-2022-11-01-2842','A158-16','hXJcdpVmQSeB', 'UB')
('SL12058-2022-11-01-2693','S113-5','RsJbgiiuRgu', 'MB')
('SL04652-2022-11-02-2768','S116-8','SedSEjGXFdDFu', 'SU')
('SL22517-2022-11-02-2715','S114-3','UyWBqiPdOYZzMO', 'UB')
('AC04652-2022-11-01-2861','A159-17','ZOflhhC', 'SL')
('SL22517-2022-11-01-2790','S117-6','usnmJsiUSUTl', 'UB')
('AC04652-2022-11-02-2800','A156-10','Xg', 'UB')
('AC12058-2022-11-01-2757','A154-3','eFRqhBnMZexV', 'UB')
('SL04652-2022-11-01-2811','S118-3','MkrpTTMX', 'UB')
('SL04652-2022-11-01-2813','S118-5','bBh', 'MB')
('AC04652-2022-11-02-2820','A157-12','CR', 'SU')
('SL22517-2022-11-02-2780','S116-20','XOAR', 'LB')
('SL22517-2022-11-02-2786','S117-2','WlkTEaTzdRVlwa', 'MB')
('AC22517-2022-11-02-2843','A158-17','SZtvShs', 'SL')
('AC22517-2022-11-02-2844','A158-18','yHgDPqVKknXQjT', 'SU')
('AC22517-2022-11-02-2845','A159-1','dTJJccw', 'LB')
('AC12058-2022-11-01-2805','A156-15','LuZdiGu', 'UB')
('AC22517-2022-11-02-2849','A159-5','sWfCJlQmtyB', 'SL')
('SL22517-2022-11-02-2797','S117-13','UMlYpftC', 'MB')
('AC22517-2022-11-01-2916','A162-18','xgko', 'SU')
('AC22517-2022-11-02-2853','A159-9','liTUe', 'UB')
('SL04652-2022-11-01-2834','S119-2','ObHREfvSkshcS', 'MB')
('SL22517-2022-11-01-2864','S120-8','oqmUUeluXR', 'SU')
('AC04652-2022-11-01-3016','A168-10','fCqjIhdaAtDF', 'UB')
('SL22517-2022-11-01-2912','S122-8','A', 'SU')
('SL22517-2022-11-01-2913','S122-9','NDwLw', 'LB')
('SL04652-2022-11-01-2899','S121-19','vQNwHdC', 'UB')
('AC04652-2022-11-02-2901','A162-3','mrkFXsgyLdexyzq', 'UB')
('AC04652-2022-11-01-3032','A169-8','GcKW', 'LB')
('SL22517-2022-11-02-2884','S121-4','DIVaBRpdzTUG', 'LB')
('AC04652-2022-11-02-2904','A162-6','Br', 'SU')
('SL04652-2022-11-01-2906','S122-2','ubPsHjqNZPVXj', 'MB')
('AC22517-2022-11-01-2975','A166-5','AcOmAAmZGWfuZ', 'SL')
('AC22517-2022-11-01-2976','A166-6','JxMcnTyrLvDUZw', 'SU')
('SL04652-2022-11-02-2959','S124-7','RZaRSAzrPjVHKHCm', 'SL')
('SL22517-2022-11-01-2932','S123-4','zl', 'LB')
('SL22517-2022-11-01-2933','S123-5','B', 'MB')
('SL22517-2022-11-01-2934','S123-6','IfMXpMnYuoJanmK', 'UB')
('AC12058-2022-11-01-2895','A161-15','QDRLgnDGVg', 'UB')
('AC04652-2022-11-02-2915','A162-17','x', 'SL')
('AC12058-2022-11-01-2896','A161-16','gQfKhBMdrHikDs', 'UB')
('AC04652-2022-11-02-2917','A163-1','upVtqtcF', 'LB')
('SL22517-2022-11-02-2907','S122-3','IKnQTnpDNfBHlSMO', 'UB')
('SL22517-2022-11-02-2909','S122-5','myDrqhTyVFz', 'MB')
('AC22517-2022-11-01-2999','A167-11','foFUtmGpTMuB', 'SL')
('AC04652-2022-11-01-3067','A171-7','htV', 'LB')
('AC12058-2022-11-01-2910','A162-12','BEmQNpFn', 'SU')
('AC04652-2022-11-02-2944','A164-10','pwbdDNvO', 'UB')
('SL04652-2022-11-02-3006','S126-6','DARAjknVwHCwhTB', 'UB')
('AC22517-2022-11-02-2963','A165-11','h', 'SL')
('AC04652-2022-11-01-3082','A172-4','vQGY', 'UB')
('AC22517-2022-11-02-2991','A167-3','PBqLp', 'UB')
('AC22517-2022-11-02-2992','A167-4','qiqSelmkYKN', 'UB')
('AC12058-2022-11-01-2934','A163-18','VwTx', 'SU')
('AC22517-2022-11-02-2997','A167-9','txmYB', 'UB')
('AC22517-2022-11-01-3057','A170-15','kAiwHnbWXqSmik', 'UB')
('AC04652-2022-11-02-2978','A166-8','xMZz', 'LB')
('AC12058-2022-11-01-2939','A164-5','HWgI', 'SL')
('AC12058-2022-11-01-2940','A164-6','D', 'SU')
('AC22517-2022-11-02-3005','A167-17','mUvAuKRO', 'SL')
('SL22517-2022-11-01-2999','S125-23','ljYawfDX', 'SL')
('AC22517-2022-11-01-3070','A171-10','fSuPrWUL', 'UB')
('AC22517-2022-11-01-3074','A171-14','cjLZbwzLKn', 'LB')
('SL04652-2022-11-02-3050','S128-2','ZYSPCxLiKZBaSdP', 'MB')
('SL04652-2022-11-02-3051','S128-3','AmQGxgOnEptOje', 'UB')
('SL22517-2022-11-01-3017','S126-17','YjwnrnDduCjs', 'LB')
('SL22517-2022-11-02-2989','S125-13','bFNgkwfyFMJKU', 'MB')
('SL04652-2022-11-02-3060','S128-12','yK', 'LB')
('AC04652-2022-11-01-3142','A175-10','Zelclbnsl', 'UB')
('AC22517-2022-11-02-3033','A169-9','fM', 'UB')
('SL12058-2022-11-01-2946','S123-18','eCcCfhBK', 'MB')
('SL12058-2022-11-01-2947','S123-19','F', 'UB')
('SL04652-2022-11-02-3065','S128-17','hmYxbCcoLcijk', 'LB')
('AC22517-2022-11-02-3040','A169-16','oSsXqcAbr', 'UB')
('SL04652-2022-11-02-3070','S128-22','yRoeeNAp', 'UB')
('SL04652-2022-11-01-3032','S127-8','eDCBQS', 'SU')
('AC04652-2022-11-02-3019','A168-13','b', 'LB')
('AC12058-2022-11-01-2971','A166-1','wCDJ', 'LB')
('AC12058-2022-11-01-2973','A166-3','q', 'UB')
('AC22517-2022-11-01-3098','A173-2','RTAPqmPumYR', 'LB')
('SL04652-2022-11-02-3078','S129-6','EhDhlNMsE', 'UB')
('AC22517-2022-11-02-3047','A170-5','RgYhYef', 'SL')
('AC22517-2022-11-01-3100','A173-4','LQZDHDDebLWgSskP', 'UB')
('SL12058-2022-11-01-2962','S124-10','UxhU', 'MB')
('SL22517-2022-11-01-3041','S127-17','jAid', 'LB')
('SL04652-2022-11-01-3050','S128-2','XCWeYhWDzLE', 'MB')
('AC22517-2022-11-01-3107','A173-11','AvQAcSnPKKJVAnTC', 'SL')
('SL04652-2022-11-02-3093','S129-21','HZvnMCKOehUSm', 'MB')
('SL22517-2022-11-01-3059','S128-11','oIzuO', 'UB')
('AC04652-2022-11-01-3173','A177-5','gfWyPLAOFwgdCTgY', 'SL')
('AC04652-2022-11-02-3066','A171-6','dgGNdrczHs', 'SU')
('SL04652-2022-11-01-3081','S129-9','vzL', 'LB')
('SL12058-2022-11-01-3000','S125-24','XTWxy', 'SU')
('SL22517-2022-11-02-3032','S127-8','UXaYAXDBFxrzRuA', 'SU')
('AC12058-2022-11-01-3023','A168-17','KMNNiKhgtTvawedD', 'SL')
('AC04652-2022-11-01-3198','A178-12','zqzYjtRAN', 'SU')
('SL04652-2022-11-02-3192','S133-24','R', 'SU')
('AC12058-2022-11-01-3080','A172-2','WnpwYqiZP', 'LB')
('AC04652-2022-11-02-3163','A176-13','jf', 'LB')
('SL22517-2022-11-01-3150','S132-6','saMNS', 'UB')
('AC04652-2022-11-01-3309','A184-15','mq', 'UB')
('AC22517-2022-11-01-3235','A180-13','TXHHGpYRJpkvZp', 'LB')
('AC22517-2022-11-01-3236','A180-14','qEyxBHQexaCatol', 'LB')
('SL22517-2022-11-02-3149','S132-5','qjUDuhrKb', 'MB')
('SL22517-2022-11-02-3150','S132-6','G', 'UB')
('AC22517-2022-11-02-3208','A179-4','V', 'UB')
('AC22517-2022-11-01-3255','A181-15','rkZPYCgF', 'UB')
('SL22517-2022-11-01-3188','S133-20','xOrJwQHoqkzj', 'LB')
('AC12058-2022-11-01-3163','A176-13','teWElriZh', 'LB')
('SL22517-2022-11-01-3196','S134-4','CNGzniVZnXKJyd', 'LB')
('AC04652-2022-11-02-3260','A182-2','oxd', 'LB')
('SL04652-2022-11-02-3325','S139-13','wYUahsXIfXSQAS', 'MB')
('SL12058-2022-11-01-3191','S133-23','PAvKfpkYZiaRoae', 'SL')
('AC22517-2022-11-02-3268','A182-10','dNh', 'UB')
('SL22517-2022-11-01-3240','S135-24','sLQIZIcIRwLxMc', 'SU')
('SL22517-2022-11-01-3241','S136-1','ea', 'LB')
('AC22517-2022-11-01-3323','A185-11','co', 'SL')
('SL04652-2022-11-02-3335','S139-23','DNBcNsHKQX', 'SL')
('SL22517-2022-11-01-3281','S137-17','SxFkXgykte', 'LB')
('SL22517-2022-11-01-3289','S138-1','kfHElUnmVD', 'LB')
('SL04652-2022-11-02-3380','S141-20','vAHGiRz', 'LB')
('AC12058-2022-11-01-3283','A183-7','abIHxpGYfmhGkUc', 'LB')
('SL04652-2022-11-01-3323','S139-11','XklIFBaNxMLw', 'UB')
('AC12058-2022-11-01-3286','A183-10','enevmWRm', 'UB')
('SL12058-2022-11-01-3264','S136-24','kjpdiJiuU', 'SU')
('SL04652-2022-11-02-3386','S142-2','IByFFp', 'MB')
('SL04652-2022-11-01-3328','S139-16','AeZtiYQtpHRsoh', 'SU')
('AC04652-2022-11-01-3468','A193-12','oTJDmmxco', 'SU')
('SL04652-2022-11-02-3391','S142-7','fHgMDGUupSjXaS', 'SL')
('AC12058-2022-11-01-3291','A183-15','A', 'UB')
('SL04652-2022-11-01-3335','S139-23','i', 'SL')
('SL22517-2022-11-02-3292','S138-4','onhNyeVIUGJuAiUN', 'LB')
('SL12058-2022-11-01-3272','S137-8','sLJSqlNdMCeiG', 'SU')
('SL04652-2022-11-02-3427','S143-19','DYlXkHU', 'UB')
('AC04652-2022-11-01-3505','A195-13','vyH', 'LB')
('SL22517-2022-11-01-3370','S141-10','hcDzTgZuYaSILC', 'MB')
('AC22517-2022-11-02-3407','A190-5','uuAywsiZJJ', 'SL')
('SL12058-2022-11-01-3321','S139-9','FDUeFthf', 'LB')
('SL04652-2022-11-01-3393','S142-9','H', 'LB')
('SL12058-2022-11-01-3325','S139-13','rfXSBERPNqeuQ', 'MB')
('SL04652-2022-11-01-3395','S142-11','AjnJFApjyyjfKkw', 'UB')
('AC12058-2022-11-01-3354','A187-6','zVmvxCMQxmFxrc', 'SU')
('AC22517-2022-11-02-3413','A190-11','QjGjYweLqKzfPnm', 'SL')
('SL12058-2022-11-01-3328','S139-16','uC', 'SU')
('AC12058-2022-11-01-3364','A187-16','dfONUYNvJOrefn', 'UB')
('AC22517-2022-11-02-3426','A191-6','wBAnwZBi', 'SU')
('SL22517-2022-11-01-3392','S142-8','jtTWGdkILgLuGJJd', 'SU')
('AC22517-2022-11-02-3433','A191-13','UrzOB', 'LB')
('AC04652-2022-11-01-3553','A198-7','QkCFnAsvP', 'LB')
('AC22517-2022-11-01-3497','A195-5','bEAOFXuvaHu', 'SL')
('SL22517-2022-11-02-3372','S141-12','xEYoQWQSxGJ', 'LB')
('SL04652-2022-11-01-3422','S143-14','QzIWxDBFqkL', 'UB')
('SL22517-2022-11-01-3404','S142-20','VYJLobTFzg', 'LB')
('SL12058-2022-11-01-3353','S140-17','ATuOzlO', 'LB')
('AC22517-2022-11-02-3439','A192-1','N', 'LB')
('AC22517-2022-11-02-3441','A192-3','oOxqO', 'UB')
('SL22517-2022-11-02-3379','S141-19','rNVV', 'UB')
('SL22517-2022-11-02-3380','S141-20','E', 'LB')
('AC22517-2022-11-02-3445','A192-7','VXkwaEfpMQUHYqWH', 'LB')
('SL04652-2022-11-01-3433','S144-1','wNm', 'LB')
('SL12058-2022-11-01-3361','S141-1','Z', 'LB')
('SL04652-2022-11-01-3435','S144-3','unQkGc', 'UB')
('SL04652-2022-11-02-3494','S146-14','gbjbGED', 'UB')
('AC04652-2022-11-02-3434','A191-14','KtDyPifNnFItuRN', 'LB')
('AC22517-2022-11-01-3516','A196-6','jnkGBjYGc', 'SU')
('AC22517-2022-11-02-3458','A193-2','wr', 'LB')
('AC22517-2022-11-01-3520','A196-10','rhz', 'UB')
('SL04652-2022-11-02-3507','S147-3','cpmTQVa', 'UB')
('AC22517-2022-11-01-3529','A197-1','hMgolTpNfVL', 'LB')
('SL04652-2022-11-02-3510','S147-6','ZetOPUEUijr', 'UB')
('SL22517-2022-11-01-3438','S144-6','sPCAc', 'UB')
('AC04652-2022-11-01-3590','A200-8','BNo', 'LB')
('SL22517-2022-11-01-3441','S144-9','bZCRikyMRqc', 'LB')
('SL22517-2022-11-02-3404','S142-20','DArtIdH', 'LB')
('SL04652-2022-11-01-3457','S145-1','yTdp', 'LB')
('AC12058-2022-11-01-3453','A192-15','ocl', 'UB')
('SL04652-2022-11-01-3488','S146-8','zagosYZKsgoZCG', 'SU')
('AC22517-2022-11-02-3506','A195-14','URKGgSemUUblRD', 'LB')
('SL04652-2022-11-01-3489','S146-9','KKdFNOaJx', 'LB')
('AC04652-2022-11-01-3635','A202-17','EzJZvip', 'SL')
('SL12058-2022-11-01-3417','S143-9','GUPstJMdYXcO', 'LB')
('AC04652-2022-11-02-3490','A194-16','MLhjZ', 'UB')
('AC22517-2022-11-02-3525','A196-15','oJbdHMyQj', 'UB')
('SL04652-2022-11-02-3559','S149-7','lPWIZH', 'SL')
('AC04652-2022-11-01-3646','A203-10','zMmHmqzRi', 'UB')
('AC04652-2022-11-02-3498','A195-6','bqkfSYbjromJOOF', 'SU')
('SL04652-2022-11-02-3562','S149-10','KL', 'MB')
('AC12058-2022-11-01-3471','A193-15','qkPXwbXs', 'UB')
('SL22517-2022-11-02-3460','S145-4','HuzHqpEspxVgzf', 'LB')
('AC22517-2022-11-02-3529','A197-1','FJkQg', 'LB')
('AC22517-2022-11-02-3530','A197-2','GQgdVNhi', 'LB')
('AC22517-2022-11-01-3587','A200-5','TkTylfh', 'SL')
('AC12058-2022-11-01-3475','A194-1','kePkNoNQU', 'LB')
('AC12058-2022-11-01-3477','A194-3','xKxazpjxQGS', 'UB')
('SL22517-2022-11-01-3506','S147-2','Kmwyzut', 'MB')
('SL04652-2022-11-02-3568','S149-16','zbfE', 'SU')
('AC22517-2022-11-01-3594','A200-12','lmySlVGNGpYxdtqA', 'SU')
('AC04652-2022-11-02-3507','A195-15','ULsszWNrkQ', 'UB')
('AC22517-2022-11-02-3693','A206-3','OX', 'UB')
('AC04652-2022-11-01-3806','A212-8','QfZmDQh', 'LB')
('AC22517-2022-11-01-3776','A210-14','Rb', 'LB')
('AC22517-2022-11-02-3731','A208-5','AuGXuKtqtLua', 'SL')
('AC22517-2022-11-02-3732','A208-6','RtUdTsypY', 'SU')
('AC12058-2022-11-01-3695','A206-5','s', 'SL')
('SL12058-2022-11-01-3613','S151-13','wDKLmiatGu', 'MB')
('AC22517-2022-11-02-3735','A208-9','nJ', 'UB')
('AC22517-2022-11-01-3790','A211-10','FTDyNHHEzcDTTKe', 'UB')
('AC04652-2022-11-02-3713','A207-5','qCwX', 'SL')
('SL22517-2022-11-01-3714','S155-18','JFu', 'MB')
('SL04652-2022-11-02-3768','S157-24','PqkigeMCqrLsdf', 'SU')
('AC12058-2022-11-01-3707','A206-17','maNdqxcdNfZ', 'SL')
('AC22517-2022-11-01-3796','A211-16','pkOTYNbCm', 'UB')
('SL22517-2022-11-01-3716','S155-20','bJyD', 'LB')
('AC04652-2022-11-02-3722','A207-14','HHzydoJBWZnNDV', 'LB')
('AC04652-2022-11-02-3726','A207-18','HE', 'SU')
('AC04652-2022-11-02-3727','A208-1','cqtMaUj', 'LB')
('SL04652-2022-11-01-3691','S154-19','EkNEiFQCFEPkMyL', 'UB')
('AC22517-2022-11-01-3808','A212-10','KtvfqWM', 'UB')
('SL12058-2022-11-01-3630','S152-6','n', 'UB')
('AC12058-2022-11-01-3728','A208-2','vlVLqSdcX', 'LB')
('SL22517-2022-11-02-3655','S153-7','hLddEeq', 'SL')
('AC22517-2022-11-01-3815','A212-17','fBXuHTaCCNCrT', 'SL')
('AC22517-2022-11-01-3817','A213-1','oWrtMltvPVaTBt', 'LB')
('SL12058-2022-11-01-3639','S152-15','fZWJS', 'SL')
('AC12058-2022-11-01-3736','A208-10','oXsT', 'UB')
('AC12058-2022-11-01-3738','A208-12','NrjHy', 'SU')
('SL12058-2022-11-01-3651','S153-3','KFeySkdHG', 'UB')
('AC22517-2022-11-01-3825','A213-9','qH', 'UB')
('SL22517-2022-11-01-3743','S156-23','mtnwZf', 'SL')
('AC04652-2022-11-02-3747','A209-3','RGMkbdDQbYHAE', 'UB')
