('SL12058-2022-11-01-6','S1-6','mZAbQzsEZg', 'UB')
('AC22517-2022-11-01-2254','A126-4','RwuxjzovhK', 'UB')
('SL12058-2022-11-01-2334','S98-6','hiAyBLjRiiKbmm', 'UB')
('SL04652-2022-11-01-2362','S99-10','weRHOccCTgaSy', 'MB')
('SL04652-2022-11-01-2363','S99-11','u', 'UB')
('SL22517-2022-11-02-2357','S99-5','Ekr', 'MB')
('AC12058-2022-11-01-2345','A131-5','bfBMGqVogt', 'SL')
('AC04652-2022-11-02-2304','A128-18','SRtaLxHwFe', 'SU')
('AC12058-2022-11-01-2364','A132-6','LWvU', 'SU')
('AC04652-2022-11-02-2319','A129-15','LfnyuKlNiLLzapzD', 'UB')
('SL12058-2022-11-01-2361','S99-9','ANOIJshafFgHOOb', 'LB')
('AC04652-2022-11-02-2328','A130-6','AmqOOgCbpIdL', 'SU')
('SL04652-2022-11-01-2395','S100-19','a', 'UB')
('AC12058-2022-11-01-2374','A132-16','xCjWeVyAcmNk', 'UB')
('SL22517-2022-11-01-2394','S100-18','UdTWyecotnqykbUT', 'MB')
('AC04652-2022-11-02-2334','A130-12','OsAOrctdsRHPBsOr', 'SU')
('AC22517-2022-11-02-2408','A134-14','rwRWNqWUr', 'LB')
('AC04652-2022-11-01-2427','A135-15','TLyZcENHyUk', 'UB')
('AC04652-2022-11-01-2428','A135-16','rFg', 'UB')
('AC22517-2022-11-01-2302','A128-16','KJZEgYo', 'UB')
('AC04652-2022-11-01-2434','A136-4','WfNRNZgDuG', 'UB')
('SL04652-2022-11-02-2378','S100-2','isWtc', 'MB')
('AC22517-2022-11-02-2425','A135-13','KTGJvFQNHHtjo', 'LB')
('AC04652-2022-11-01-2447','A136-17','eDHMMkhNpaqz', 'SL')
('AC12058-2022-11-01-2397','A134-3','FPmvSpZwRP', 'UB')
('AC12058-2022-11-01-2398','A134-4','lsAp', 'UB')
('AC04652-2022-11-01-2452','A137-4','ONGpipsyLp', 'UB')
('AC22517-2022-11-01-2328','A130-6','GaUmraoLgRp', 'SU')
('AC12058-2022-11-01-2415','A135-3','ZoqyuwHqYYIj', 'UB')
('SL22517-2022-11-02-2452','S103-4','c', 'LB')
('SL22517-2022-11-01-2440','S102-16','vjaSFBmTzJXGZg', 'SU')
('SL22517-2022-11-01-2445','S102-21','Z', 'MB')
('AC04652-2022-11-02-2395','A134-1','mheTpsvZBR', 'LB')
('SL22517-2022-11-02-2459','S103-11','aserBntq', 'UB')
('AC04652-2022-11-02-2396','A134-2','UOgqBrihtphHBw', 'LB')
('SL04652-2022-11-01-2443','S102-19','gt', 'UB')
('AC22517-2022-11-01-2355','A131-15','sL', 'UB')
('AC22517-2022-11-01-2356','A131-16','ubrR', 'UB')
('SL22517-2022-11-02-2463','S103-15','qhrjOfz', 'SL')
('AC22517-2022-11-02-2459','A137-11','EaNMenOLeMgd', 'SL')
('SL22517-2022-11-01-2453','S103-5','pucseip', 'MB')
('AC12058-2022-11-01-2433','A136-3','fSxOVlmruy', 'UB')
('SL04652-2022-11-02-2431','S102-7','UpStjIxf', 'SL')
('AC12058-2022-11-01-2434','A136-4','dXjeHGmz', 'UB')
('SL22517-2022-11-02-2473','S104-1','R', 'LB')
('AC04652-2022-11-01-2493','A139-9','IwYboaQjFFJIo', 'UB')
('AC12058-2022-11-01-2439','A136-9','pRNgbAUQK', 'UB')
('SL04652-2022-11-01-2459','S103-11','COWj', 'UB')
('SL04652-2022-11-01-2460','S103-12','ZHmoZANBqajPER', 'LB')
('AC22517-2022-11-02-2469','A138-3','fZef', 'UB')
('AC12058-2022-11-01-2442','A136-12','NWSLuEee', 'SU')
('SL04652-2022-11-01-2463','S103-15','d', 'SL')
('SL04652-2022-11-01-2464','S103-16','uqtgDZ', 'SU')
('AC22517-2022-11-02-2472','A138-6','qS', 'SU')
('SL22517-2022-11-01-2465','S103-17','sdo', 'LB')
('AC04652-2022-11-02-2419','A135-7','KEqXfmh', 'LB')
('SL04652-2022-11-01-2468','S103-20','dpDrouE', 'LB')
('SL12058-2022-11-01-2434','S102-10','YwBMYOiSXkUdKxe', 'MB')
('AC12058-2022-11-01-2447','A136-17','vtRYkwWAG', 'SL')
('SL22517-2022-11-02-2484','S104-12','L', 'LB')
('AC04652-2022-11-01-2504','A140-2','tq', 'LB')
('SL04652-2022-11-01-2514','S105-18','axUOgaFjRrDL', 'MB')
('SL12058-2022-11-01-2475','S104-3','avySdVcYqtABvr', 'UB')
('SL04652-2022-11-01-2520','S105-24','SyEMJwHmGCbWGVK', 'SU')
('AC04652-2022-11-01-2546','A142-8','w', 'LB')
('SL22517-2022-11-02-2525','S106-5','nkNwbhVcrnz', 'MB')
('SL22517-2022-11-02-2526','S106-6','bapv', 'UB')
('AC22517-2022-11-01-2412','A134-18','eHVqDG', 'SU')
('AC04652-2022-11-01-2554','A142-16','nbClk', 'UB')
('AC22517-2022-11-01-2418','A135-6','MJRPTSqlLaRbKHP', 'SU')
('AC22517-2022-11-02-2536','A141-16','prAmBhddW', 'UB')
('SL04652-2022-11-01-2532','S106-12','spyw', 'LB')
('SL04652-2022-11-01-2533','S106-13','BxL', 'MB')
('SL04652-2022-11-01-2535','S106-15','yZ', 'SL')
('AC22517-2022-11-01-2421','A135-9','xGgPKRDEL', 'UB')
('AC04652-2022-11-02-2471','A138-5','VMTxgsKHbSHSTht', 'SL')
('AC04652-2022-11-02-2472','A138-6','cEDdJmv', 'SU')
('SL22517-2022-11-02-2540','S106-20','W', 'LB')
('SL22517-2022-11-02-2541','S106-21','vKmVpirj', 'MB')
('SL12058-2022-11-01-2532','S106-12','txsoqjXdmQNO', 'LB')
('AC12058-2022-11-01-2557','A143-1','VVTxoEgv', 'LB')
('AC22517-2022-11-02-2588','A144-14','QvohbQGinTo', 'LB')
('SL22517-2022-11-02-2596','S109-4','jAsNA', 'LB')
('AC22517-2022-11-02-2613','A146-3','RPfmwlxBYyAeSW', 'UB')
('AC22517-2022-11-02-2614','A146-4','SlTcSKi', 'UB')
('AC12058-2022-11-01-2586','A144-12','rXDVQDlrXmvZPGoB', 'SU')
('SL04652-2022-11-02-2560','S107-16','pz', 'SU')
('SL22517-2022-11-02-2601','S109-9','h', 'LB')
('SL22517-2022-11-02-2626','S110-10','VFwHko', 'MB')
('AC22517-2022-11-02-2633','A147-5','zKYrPk', 'SL')
('AC12058-2022-11-01-2606','A145-14','RKBwZUqNldHxbFhD', 'LB')
('SL04652-2022-11-01-2630','S110-14','R', 'UB')
('SL04652-2022-11-02-2579','S108-11','bwHW', 'UB')
('AC22517-2022-11-02-2640','A147-12','XY', 'SU')
('SL12058-2022-11-01-2587','S108-19','LYDkrddNgDXoUIwu', 'UB')
('SL04652-2022-11-02-2584','S108-16','nztXMq', 'SU')
('SL22517-2022-11-02-2640','S110-24','FhbqLGAoczTb', 'SU')
('SL04652-2022-11-02-2587','S108-19','hOAcRE', 'UB')
('SL22517-2022-11-02-2643','S111-3','yamOikvLp', 'UB')
('SL04652-2022-11-02-2589','S108-21','hhrlypJaHHmTJW', 'MB')
('AC04652-2022-11-01-2679','A149-15','bdk', 'UB')
('AC22517-2022-11-02-2647','A148-1','aGiyatyHzIjahM', 'LB')
('SL04652-2022-11-02-2592','S108-24','FSSKJg', 'SU')
('SL22517-2022-11-02-2647','S111-7','wj', 'SL')
('AC22517-2022-11-01-2512','A140-10','AAh', 'UB')
('AC22517-2022-11-02-2648','A148-2','HSkbB', 'LB')
('AC22517-2022-11-02-2649','A148-3','UZAFYOlQBKmX', 'UB')
('AC22517-2022-11-02-2650','A148-4','DdDmzitaOdJYQygo', 'UB')
('AC04652-2022-11-01-2683','A150-1','VQklkNZuUfJff', 'LB')
('SL04652-2022-11-01-2645','S111-5','uiLyROOsXCRs', 'MB')
('AC04652-2022-11-02-2577','A144-3','mgcCksiYRnQ', 'UB')
('AC04652-2022-11-02-2578','A144-4','PfnxLgWaGBo', 'UB')
('SL04652-2022-11-02-2597','S109-5','DLZl', 'MB')
('SL04652-2022-11-01-2648','S111-8','RqHEkdccA', 'SU')
('AC12058-2022-11-01-2627','A146-17','utWNfb', 'SL')
('AC22517-2022-11-02-2664','A148-18','mvxWEdpFyf', 'SU')
('AC22517-2022-11-02-2668','A149-4','uMdVcJuosl', 'UB')
('AC22517-2022-11-02-2670','A149-6','wm', 'SU')
('AC12058-2022-11-01-2638','A147-10','KXHNjKQTtHZNVWP', 'UB')
('SL12058-2022-11-01-2613','S109-21','RGGOWYGVJh', 'MB')
('SL04652-2022-11-01-2659','S111-19','SnPgiL', 'UB')
('SL22517-2022-11-02-2664','S111-24','pGSyEIlxoaq', 'SU')
('AC12058-2022-11-01-2640','A147-12','iKIJcWOxD', 'SU')
('SL04652-2022-11-02-2611','S109-19','ReCg', 'UB')
('SL22517-2022-11-01-2644','S111-4','MgfpQoZhmjt', 'LB')
('AC22517-2022-11-01-2525','A141-5','BXHqzOy', 'SL')
('AC22517-2022-11-01-2526','A141-6','daGqgGkwwmKYvNU', 'SU')
('AC04652-2022-11-01-2704','A151-4','jWHyBVAIQPz', 'UB')
('AC12058-2022-11-01-2641','A147-13','rtfjhwmixfO', 'LB')
('AC22517-2022-11-02-2675','A149-11','bRCgvUlAhln', 'SL')
('AC04652-2022-11-02-2593','A145-1','mUjivsgAspB', 'LB')
('SL12058-2022-11-01-2622','S110-6','Mspkwa', 'UB')
('AC22517-2022-11-01-2533','A141-13','vjxGIXPdKTG', 'LB')
('AC22517-2022-11-01-2534','A141-14','zhuwmmFMpZvt', 'LB')
('AC04652-2022-11-02-2600','A145-8','jEeOjdsqU', 'LB')
('AC04652-2022-11-01-2713','A151-13','QFMSZwWEqTlUeVfQ', 'LB')
('SL22517-2022-11-01-2655','S111-15','ejhaHxlYlSTXOk', 'SL')
('SL22517-2022-11-01-2656','S111-16','lwFTf', 'SU')
('SL04652-2022-11-02-2624','S110-8','FfIiQhsOYRkMhPnD', 'SU')
('SL04652-2022-11-02-2625','S110-9','SSBvhInwmI', 'LB')
('SL04652-2022-11-01-2671','S112-7','bqSkMFKlallpCQB', 'SL')
('AC04652-2022-11-01-2727','A152-9','kMXvnxt', 'UB')
('AC22517-2022-11-02-2704','A151-4','rL', 'UB')
('SL04652-2022-11-02-2648','S111-8','OZaeeACOuchGX', 'SU')
('AC22517-2022-11-02-2706','A151-6','JYfSxwipYUDRoh', 'SU')
('AC22517-2022-11-01-2551','A142-13','pCP', 'LB')
('SL22517-2022-11-02-2693','S113-5','iLrJelRKGMpqjz', 'MB')
('SL22517-2022-11-02-2694','S113-6','pubNepAYpByJ', 'UB')
('AC04652-2022-11-01-2738','A153-2','bHhsUlbF', 'LB')
('AC04652-2022-11-01-2739','A153-3','hkvZBDfVrQVR', 'UB')
('SL04652-2022-11-02-2653','S111-13','GqTiJscDceDUziYx', 'MB')
('SL22517-2022-11-01-2688','S112-24','ydEqSlyoXYJusGnJ', 'SU')
('SL22517-2022-11-01-2689','S113-1','tGXkMoAZIVUZ', 'LB')
('AC04652-2022-11-01-2747','A153-11','gajVhlPnqTuRGJ', 'SL')
('SL22517-2022-11-02-2726','S114-14','dvb', 'UB')
('SL22517-2022-11-01-2708','S113-20','FCOJdDlgIYRNmx', 'LB')
('AC04652-2022-11-01-2761','A154-7','k', 'LB')
('AC12058-2022-11-01-2706','A151-6','GGmTore', 'SU')
('SL22517-2022-11-01-2712','S113-24','ZxFq', 'SU')
('AC04652-2022-11-01-2764','A154-10','MUIPslvQacE', 'UB')
('AC22517-2022-11-02-2733','A152-15','EogzcZ', 'UB')
('AC04652-2022-11-02-2670','A149-6','yrkLUiqsNfJm', 'SU')
('SL04652-2022-11-01-2736','S114-24','ONR', 'SU')
('SL22517-2022-11-01-2725','S114-13','jwVl', 'MB')
('AC04652-2022-11-02-2678','A149-14','WwjGqv', 'LB')
('AC04652-2022-11-02-2679','A149-15','nKgQnszKzP', 'UB')
('SL22517-2022-11-01-2728','S114-16','UiBYpSIRGySU', 'SU')
('SL12058-2022-11-01-2731','S114-19','TAluQ', 'UB')
('SL04652-2022-11-01-2780','S116-20','gtmyZ', 'LB')
('SL22517-2022-11-01-2766','S116-6','WdJZQaj', 'UB')
('AC04652-2022-11-02-2719','A152-1','NmgCbVSs', 'LB')
('SL22517-2022-11-01-2767','S116-7','DwGECtlmARo', 'SL')
('AC22517-2022-11-02-2781','A155-9','tyhqoqgFZnc', 'UB')
('AC22517-2022-11-01-2624','A146-14','gwgMRpSYyD', 'LB')
('SL04652-2022-11-01-2790','S117-6','HufiILjtHHmXDNGo', 'UB')
('SL22517-2022-11-02-2783','S116-23','eGCmxYvANWKssEvo', 'SL')
('SL12058-2022-11-01-2746','S115-10','a', 'MB')
('SL04652-2022-11-02-2722','S114-10','cfa', 'MB')
('SL04652-2022-11-01-2793','S117-9','AYws', 'LB')
('SL22517-2022-11-02-2789','S117-5','nks', 'MB')
('SL22517-2022-11-02-2798','S117-14','OGCyjHZGGBwzVY', 'UB')
('AC12058-2022-11-01-2762','A154-8','sTTSNomHQfsrgKXD', 'LB')
('SL04652-2022-11-02-2727','S114-15','MgQRMwNjwjiiE', 'SL')
('AC12058-2022-11-01-2765','A154-11','eMyoZCGkytmDH', 'SL')
('SL22517-2022-11-02-2804','S117-20','rlCM', 'LB')
('AC22517-2022-11-02-2798','A156-8','ar', 'LB')
('SL12058-2022-11-01-2760','S115-24','aCozcISESw', 'SU')
('AC22517-2022-11-02-2804','A156-14','VnbshTLDzey', 'LB')
('AC12058-2022-11-01-2770','A154-16','eIdujkmPQ', 'UB')
('AC22517-2022-11-02-2824','A157-16','jrDwFY', 'UB')
('AC12058-2022-11-01-2784','A155-12','WRdskf', 'SU')
('SL22517-2022-11-02-2825','S118-17','xAnxpFbmeRI', 'LB')
('AC22517-2022-11-02-2858','A159-14','SkRtHy', 'LB')
('SL22517-2022-11-02-2861','S120-5','XKnzLENqyphD', 'MB')
('SL22517-2022-11-02-2862','S120-6','sWQExZhqJwPGk', 'UB')
('AC12058-2022-11-01-2814','A157-6','yUkMJHsHn', 'SU')
('AC04652-2022-11-02-2802','A156-12','Mkx', 'SU')
('SL04652-2022-11-02-2786','S117-2','KQMcuw', 'MB')
('SL22517-2022-11-02-2876','S120-20','X', 'LB')
('AC22517-2022-11-02-2876','A160-14','vbm', 'LB')
('SL22517-2022-11-01-2848','S119-16','szoY', 'SU')
('SL12058-2022-11-01-2824','S118-16','ojSC', 'SU')
('SL04652-2022-11-02-2796','S117-12','BmrFs', 'LB')
('SL04652-2022-11-02-2797','S117-13','mqQlsxDlAAdrkN', 'MB')
('SL04652-2022-11-02-2798','S117-14','teldGOnGoQdGj', 'UB')
('AC22517-2022-11-02-2888','A161-8','IALks', 'LB')
('AC22517-2022-11-02-2889','A161-9','lQa', 'UB')
('AC22517-2022-11-02-2955','A165-3','hIntFZzkXTapPsgW', 'UB')
('AC04652-2022-11-01-2937','A164-3','brTiZOyyRnJAi', 'UB')
('SL04652-2022-11-02-2847','S119-15','zIvhSQ', 'SL')
('AC22517-2022-11-02-2957','A165-5','RmpztknrWinwAiXG', 'SL')
('SL22517-2022-11-02-2950','S123-22','G', 'UB')
('AC22517-2022-11-02-2964','A165-12','eFKhgRja', 'SU')
('SL04652-2022-11-01-2943','S123-15','oSGhBWGr', 'SL')
('AC12058-2022-11-01-2899','A162-1','VAMniZVMosxK', 'LB')
('AC22517-2022-11-02-2970','A165-18','hospSjSm', 'SU')
('AC04652-2022-11-01-2952','A164-18','PmCPDJAitKME', 'SU')
('SL04652-2022-11-02-2859','S120-3','GyXBwPK', 'UB')
('SL04652-2022-11-01-2954','S124-2','dzkTPIxdWcZasQx', 'MB')
('SL04652-2022-11-02-2862','S120-6','WIJbUAuLHq', 'UB')
('SL22517-2022-11-01-2931','S123-3','wPIkNfPdsacL', 'UB')
('AC12058-2022-11-01-2913','A162-15','zIHUqMPw', 'UB')
('SL04652-2022-11-01-2962','S124-10','LTKAYe', 'MB')
('SL04652-2022-11-01-2964','S124-12','jy', 'LB')
('AC22517-2022-11-01-2772','A154-18','kopcinX', 'SU')
('AC04652-2022-11-02-2901','A162-3','gExZtBW', 'UB')
('SL22517-2022-11-02-2976','S124-24','DBWLwe', 'SU')
('SL22517-2022-11-02-2977','S125-1','UQRFHQM', 'LB')
('AC12058-2022-11-01-2923','A163-7','LULYbVFSIJw', 'LB')
('SL22517-2022-11-01-2947','S123-19','i', 'UB')
('AC22517-2022-11-01-2778','A155-6','XZBLNkxxQftUpI', 'SU')
('AC12058-2022-11-01-2926','A163-10','Zn', 'UB')
('AC22517-2022-11-01-2779','A155-7','gAetQBWddO', 'LB')
('AC22517-2022-11-02-2996','A167-8','OrsxhsGhXYividZd', 'LB')
('AC04652-2022-11-01-2974','A166-4','lgxT', 'UB')
('SL04652-2022-11-02-2895','S121-15','bsbiTdTuRDI', 'SL')
('AC12058-2022-11-01-2957','A165-5','XrOZBTlY', 'SL')
('AC22517-2022-11-02-3025','A169-1','bWWuiumGEzji', 'LB')
('AC22517-2022-11-02-3026','A169-2','cUnY', 'LB')
('AC04652-2022-11-02-2938','A164-4','XqxWi', 'UB')
('AC22517-2022-11-02-3030','A169-6','nJ', 'SU')
('SL12058-2022-11-01-2948','S123-20','JCdH', 'LB')
('AC04652-2022-11-01-3002','A167-14','mALxw', 'LB')
('AC22517-2022-11-01-2812','A157-4','APeiYX', 'UB')
('SL04652-2022-11-01-3000','S125-24','h', 'SU')
('AC04652-2022-11-02-2948','A164-14','lSmvTBjmqTPPH', 'LB')
('SL04652-2022-11-02-2920','S122-16','lpflzN', 'SU')
('AC04652-2022-11-01-3007','A168-1','KslDzhaoEmVf', 'LB')
('SL22517-2022-11-02-3024','S126-24','gkdqMMVeBJ', 'SU')
('AC22517-2022-11-01-2820','A157-12','cyR', 'SU')
('SL04652-2022-11-02-2924','S122-20','bVfKIryzYQQP', 'LB')
('SL04652-2022-11-02-2925','S122-21','wBGOvYyy', 'MB')
('SL22517-2022-11-01-2987','S125-11','HkeNqhMLvwmX', 'UB')
('AC12058-2022-11-01-2980','A166-10','ezbOKNHBsuwBZu', 'UB')
('SL22517-2022-11-01-2989','S125-13','hXmOeC', 'MB')
('AC04652-2022-11-02-2956','A165-4','MwaH', 'UB')
('SL22517-2022-11-02-3032','S127-8','eOiPdIjtLn', 'SU')
('SL04652-2022-11-02-2934','S123-6','BWrvvNKtJ', 'UB')
('AC04652-2022-11-02-2963','A165-11','BpgwS', 'SL')
('SL22517-2022-11-01-2999','S125-23','POlPKUZqFkilh', 'SL')
('SL04652-2022-11-01-3011','S126-11','sZOXJHEVmLMlEMl', 'UB')
('AC12058-2022-11-01-2992','A167-4','LHbZVx', 'UB')
('SL22517-2022-11-02-3044','S127-20','EDHfy', 'LB')
('AC12058-2022-11-01-2995','A167-7','rslqivfjo', 'LB')
('AC04652-2022-11-02-2971','A166-1','QHz', 'LB')
('SL22517-2022-11-01-3001','S126-1','CiwIszTqWtYaFW', 'LB')
('AC04652-2022-11-02-2972','A166-2','wwLcXHYcy', 'LB')
('AC22517-2022-11-01-2841','A158-15','fFWnTgyhego', 'UB')
('AC12058-2022-11-01-3011','A168-5','rUEdDOFCvDRMYkA', 'SL')
('AC22517-2022-11-02-3080','A172-2','X', 'LB')
('AC04652-2022-11-02-2992','A167-4','cFthVrMZar', 'UB')
('AC04652-2022-11-02-2999','A167-11','vYfizP', 'SL')
('AC22517-2022-11-01-2873','A160-11','gGImWLqEAZcWja', 'SL')
('SL04652-2022-11-01-3048','S127-24','JqxNSxXxxVeNOEfG', 'SU')
('AC22517-2022-11-01-2883','A161-3','GbSQoNEYGtXnNqbp', 'UB')
('AC12058-2022-11-01-3036','A169-12','DZaNl', 'SU')
('AC12058-2022-11-01-3037','A169-13','pMmaPprDk', 'LB')
('SL22517-2022-11-02-3080','S129-8','IJwOopyFlOQOLUI', 'SU')
('AC22517-2022-11-01-2891','A161-11','MYGIvgx', 'SL')
('AC22517-2022-11-01-2894','A161-14','wRKLf', 'LB')
('AC04652-2022-11-01-3067','A171-7','RzD', 'LB')
('SL04652-2022-11-01-3059','S128-11','AdKYgGNTaITIbwT', 'UB')
('AC12058-2022-11-01-3042','A169-18','pOOtdiu', 'SU')
('SL22517-2022-11-01-3053','S128-5','mYbQjYjVERmeDIbR', 'MB')
('SL04652-2022-11-01-3066','S128-18','Ziv', 'MB')
('SL22517-2022-11-02-3093','S129-21','gXFsviPZ', 'MB')
('AC22517-2022-11-02-3117','A174-3','ZfeViNUJE', 'UB')
('SL04652-2022-11-01-3072','S128-24','hSIRviSF', 'SU')
('AC04652-2022-11-01-3075','A171-15','PekieehDQtSOTbe', 'UB')
('SL22517-2022-11-02-3098','S130-2','IRhcQVDdee', 'MB')
('AC04652-2022-11-01-3077','A171-17','xybEZPUpkxgP', 'SL')
('SL22517-2022-11-01-3060','S128-12','fB', 'LB')
('AC04652-2022-11-02-3023','A168-17','nQyVbC', 'SL')
('AC04652-2022-11-01-3079','A172-1','noaPPSZf', 'LB')
('AC12058-2022-11-01-3058','A170-16','IbnBMDivP', 'UB')
('AC04652-2022-11-02-3026','A169-2','QNkrmvttnee', 'LB')
('AC04652-2022-11-02-3027','A169-3','OVu', 'UB')
('AC04652-2022-11-02-3028','A169-4','zEDz', 'UB')
('SL04652-2022-11-02-3001','S126-1','oRGYxNqoEczeamG', 'LB')
('AC12058-2022-11-01-3061','A171-1','xZBBDPlvuCLjch', 'LB')
('AC22517-2022-11-02-3129','A174-15','vUzxFeVEARxzY', 'UB')
('AC04652-2022-11-01-3086','A172-8','kNRtqEu', 'LB')
('AC12058-2022-11-01-3064','A171-4','NErRuSMDrHRFf', 'UB')
('AC04652-2022-11-02-3034','A169-10','xNgwopn', 'UB')
('SL12058-2022-11-01-3039','S127-15','DiFkhaBHS', 'SL')
('SL22517-2022-11-01-3073','S129-1','JyT', 'LB')
('AC04652-2022-11-02-3038','A169-14','SxgtNikG', 'LB')
('AC04652-2022-11-02-3039','A169-15','mRzTQkqB', 'UB')
('AC22517-2022-11-02-3141','A175-9','jaGmbKP', 'UB')
('AC04652-2022-11-01-3092','A172-14','OBLHfVSkEMxRJ', 'LB')
('AC22517-2022-11-02-3143','A175-11','hQezgtLVsYFXak', 'SL')
('AC04652-2022-11-01-3094','A172-16','kNrKDZxmH', 'UB')
('SL12058-2022-11-01-3049','S128-1','JM', 'LB')
('AC22517-2022-11-02-3148','A175-16','aYLoRuQISSY', 'UB')
('SL04652-2022-11-01-3092','S129-20','pAkoVULbBEhU', 'LB')
('AC04652-2022-11-02-3048','A170-6','dlVtrRgxogMQGgpg', 'SU')
('SL04652-2022-11-01-3095','S129-23','AkYl', 'SL')
('SL04652-2022-11-01-3096','S129-24','wnMG', 'SU')
('AC04652-2022-11-02-3049','A170-7','J', 'LB')
('AC12058-2022-11-01-3076','A171-16','BDADVXHjcyMGU', 'UB')
('AC12058-2022-11-01-3077','A171-17','pJdIXlrAlxJNmnRO', 'SL')
('AC22517-2022-11-02-3153','A176-3','UrIYTbohqUvTAPdl', 'UB')
('SL22517-2022-11-01-3089','S129-17','Lhs', 'LB')
('AC04652-2022-11-01-3101','A173-5','cGlayYZoEVIRMb', 'SL')
('SL04652-2022-11-01-3105','S130-9','nsfARhhbKcS', 'LB')
('SL04652-2022-11-01-3107','S130-11','oKgidJd', 'UB')
('AC22517-2022-11-02-3158','A176-8','FAoToUlGycPq', 'LB')
('SL22517-2022-11-01-3093','S129-21','RjabjJBE', 'MB')
('AC22517-2022-11-01-2946','A164-12','uoaoIhHIkt', 'SU')
('AC22517-2022-11-02-3169','A177-1','EOyfbiaLWuK', 'LB')
('AC22517-2022-11-01-2948','A164-14','oDqSN', 'LB')
('SL12058-2022-11-01-3067','S128-19','pthXlv', 'UB')
('SL12058-2022-11-01-3068','S128-20','RoCxOR', 'LB')
('AC04652-2022-11-01-3121','A174-7','ukDiSV', 'LB')
('SL04652-2022-11-02-3055','S128-7','VSqjK', 'SL')
('SL04652-2022-11-01-3129','S131-9','JTW', 'LB')
('AC04652-2022-11-02-3095','A172-17','mISuADj', 'SL')
('AC04652-2022-11-02-3096','A172-18','TMg', 'SU')
('SL22517-2022-11-02-3166','S132-22','roN', 'UB')
('AC22517-2022-11-01-2969','A165-17','z', 'SL')
('SL04652-2022-11-02-3077','S129-5','XxjEXQ', 'MB')
('SL04652-2022-11-01-3148','S132-4','nmNjeFFiTLb', 'LB')
('SL04652-2022-11-02-3082','S129-10','npLNwFYY', 'MB')
('AC22517-2022-11-02-3193','A178-7','SfDmmjHmPwME', 'LB')
('SL22517-2022-11-01-3134','S131-14','WDnOLKWzxKnTRh', 'UB')
('AC22517-2022-11-01-2978','A166-8','Iv', 'LB')
('AC22517-2022-11-02-3195','A178-9','hWBjyvXQocTSbu', 'UB')
('AC12058-2022-11-01-3137','A175-5','GbLVblIxGZsd', 'SL')
('SL04652-2022-11-02-3101','S130-5','JYPzJvoouDDALg', 'MB')
('AC04652-2022-11-01-3149','A175-17','R', 'SL')
('SL22517-2022-11-02-3210','S134-18','uLqtiSyvvzZSY', 'MB')
('AC22517-2022-11-01-3024','A168-18','KbBnHBdBrCzYkvT', 'SU')
('SL12058-2022-11-01-3119','S130-23','gyIiLVrnmVkkxOb', 'SL')
('SL04652-2022-11-01-3191','S133-23','dAumpbNZ', 'SL')
('SL22517-2022-11-01-3184','S133-16','YepIzRyXkNxocj', 'SU')
('AC12058-2022-11-01-3167','A176-17','lQHBDfljUtazND', 'SL')
('AC04652-2022-11-01-3177','A177-9','DLVuopzOm', 'UB')
('AC04652-2022-11-01-3178','A177-10','iiFDWOyskWTWL', 'UB')
('AC22517-2022-11-01-3030','A169-6','PgZdBSvcQcq', 'SU')
('SL22517-2022-11-01-3217','S135-1','Fv', 'LB')
('AC22517-2022-11-01-3105','A173-9','nTBvKOksVeuMyI', 'UB')
('SL22517-2022-11-02-3283','S137-19','ShcQgp', 'UB')
('AC04652-2022-11-02-3210','A179-6','SA', 'SU')
('AC22517-2022-11-01-3116','A174-2','zDBZidAtpaEULM', 'LB')
('SL22517-2022-11-01-3255','S136-15','ujoKYZWJdIt', 'SL')
('AC04652-2022-11-02-3217','A179-13','dfDZVd', 'LB')
('AC12058-2022-11-01-3247','A181-7','LZuTBq', 'LB')
('SL12058-2022-11-01-3197','S134-5','NMtmfQrNTy', 'MB')
('SL22517-2022-11-01-3261','S136-21','W', 'MB')
('AC04652-2022-11-02-3219','A179-15','qdmwPdwhGFXdRLC', 'UB')
('SL22517-2022-11-01-3263','S136-23','Wf', 'SL')
('AC04652-2022-11-02-3222','A179-18','jupGhzctCTHzecQ', 'SU')
('SL04652-2022-11-02-3210','S134-18','tjeGxh', 'MB')
('SL22517-2022-11-01-3267','S137-3','OgW', 'UB')
('SL04652-2022-11-02-3211','S134-19','wkBUgmSWRrdFENbf', 'UB')
('AC22517-2022-11-02-3334','A186-4','lAwOeADdVsNg', 'UB')
('SL04652-2022-11-01-3306','S138-18','ybDqgwrjjFFL', 'MB')
('SL12058-2022-11-01-3226','S135-10','u', 'MB')
('SL22517-2022-11-01-3284','S137-20','ygQ', 'LB')
('SL22517-2022-11-01-3286','S137-22','jU', 'UB')
('AC12058-2022-11-01-3287','A183-11','nsMgb', 'SL')
('SL04652-2022-11-02-3234','S135-18','sKmmQcwUvwUBuu', 'MB')
('SL04652-2022-11-01-3311','S138-23','Lm', 'SL')
('SL04652-2022-11-02-3272','S137-8','IEmfKG', 'SU')
('AC22517-2022-11-02-3390','A189-6','chXzU', 'SU')
('AC04652-2022-11-01-3329','A185-17','OVsiwJlrzpdKaFk', 'SL')
('AC12058-2022-11-01-3328','A185-16','TNtQ', 'UB')
('SL22517-2022-11-01-3336','S139-24','Z', 'SU')
