('SL12058-2022-11-01-3','S1-3','nV', 'UB')
('SL22517-2022-11-01-1331','S56-11','Uoj', 'UB')
('AC04652-2022-11-01-1356','A76-6','KndxZPsbOyT', 'SU')
('AC22517-2022-11-02-1369','A77-1','gMKWEqPQbNTwmtdI', 'LB')
('SL04652-2022-11-01-1348','S57-4','ZplQ', 'LB')
('SL04652-2022-11-01-1349','S57-5','OLV', 'MB')
('AC04652-2022-11-01-1363','A76-13','YwvGLtVpwRYHi', 'LB')
('AC12058-2022-11-01-1347','A75-15','AcMJ', 'UB')
('AC22517-2022-11-01-1321','A74-7','QCHtM', 'LB')
('AC04652-2022-11-01-1367','A76-17','fCSBV', 'SL')
('AC04652-2022-11-01-1368','A76-18','Iua', 'SU')
('SL04652-2022-11-01-1353','S57-9','eEKim', 'LB')
('AC12058-2022-11-01-1353','A76-3','RGCOwM', 'UB')
('SL04652-2022-11-01-1354','S57-10','teFTrRnOIZYUe', 'MB')
('SL12058-2022-11-01-1332','S56-12','lUdloqnDSuqwN', 'LB')
('AC12058-2022-11-01-1359','A76-9','iHcpCDtXzkow', 'UB')
('SL22517-2022-11-01-1354','S57-10','Ckg', 'MB')
('SL22517-2022-11-02-1396','S59-4','TzIYmqB', 'LB')
('SL22517-2022-11-01-1382','S58-14','LWgEVZNxfFHp', 'UB')
('SL22517-2022-11-02-1427','S60-11','BeWQyiBZ', 'UB')
('AC12058-2022-11-01-1437','A80-15','imTXSIjUMX', 'UB')
('SL04652-2022-11-02-1403','S59-11','hlBhhl', 'UB')
('AC04652-2022-11-01-1446','A81-6','hHiQn', 'SU')
('AC04652-2022-11-01-1447','A81-7','YCib', 'LB')
('AC04652-2022-11-01-1449','A81-9','e', 'UB')
('SL04652-2022-11-02-1408','S59-16','rGubsBn', 'SU')
('AC04652-2022-11-02-1416','A79-12','DaKJY', 'SU')
('AC22517-2022-11-02-1490','A83-14','ZtB', 'LB')
('AC22517-2022-11-01-1431','A80-9','UoTcWUYKalgo', 'UB')
('SL04652-2022-11-02-1433','S60-17','CMHGeFUnMOCbcrs', 'LB')
('SL12058-2022-11-01-1429','S60-13','wuKEkrEvInggVK', 'MB')
('SL04652-2022-11-01-1478','S62-14','XmLxv', 'UB')
('SL22517-2022-11-02-1504','S63-16','qDtgCWjMyMp', 'SU')
('AC12058-2022-11-01-1480','A83-4','VmkyGSF', 'UB')
('AC12058-2022-11-01-1484','A83-8','BVPnmHsqHZNuIfH', 'LB')
('SL04652-2022-11-01-1483','S62-19','NhfZHdNeHWSsHHvB', 'UB')
('SL04652-2022-11-01-1484','S62-20','wnwDjksBnZAN', 'LB')
('SL22517-2022-11-01-1455','S61-15','wYwU', 'SL')
('SL12058-2022-11-01-1442','S61-2','WRuDvuppM', 'MB')
('SL22517-2022-11-02-1513','S64-1','TRLzCjQ', 'LB')
('SL04652-2022-11-01-1485','S62-21','qXyMPIWURAWXQg', 'MB')
('SL22517-2022-11-02-1515','S64-3','f', 'UB')
('SL04652-2022-11-02-1479','S62-15','YrgfV', 'SL')
('AC04652-2022-11-02-1462','A82-4','IBZCbenGfvvtFzeH', 'UB')
('AC12058-2022-11-01-1511','A84-17','pEumgBOJ', 'SL')
('AC22517-2022-11-01-1469','A82-11','UAmPrW', 'SL')
('AC22517-2022-11-02-1541','A86-11','EaVYxO', 'SL')
('SL04652-2022-11-02-1486','S62-22','qfWGRRQvoRFYvwK', 'UB')
('SL22517-2022-11-01-1495','S63-7','mNBBZmkmyZZVNu', 'SL')
('SL04652-2022-11-02-1489','S63-1','vhndyERVIohBa', 'LB')
('SL04652-2022-11-02-1490','S63-2','IfThUxsg', 'MB')
('SL04652-2022-11-01-1521','S64-9','LeJNttatPvjqjw', 'LB')
('AC12058-2022-11-01-1525','A85-13','yAPYVNfJvoqN', 'LB')
('AC22517-2022-11-01-1477','A83-1','WjLPrDdc', 'LB')
('SL04652-2022-11-02-1497','S63-9','GHCXNKKygUeCigm', 'LB')
('SL04652-2022-11-02-1498','S63-10','ceWT', 'MB')
('SL22517-2022-11-01-1503','S63-15','EhnX', 'SL')
('AC22517-2022-11-01-1482','A83-6','jooraEpvLL', 'SU')
('SL22517-2022-11-01-1509','S63-21','yCOyCmJLVWj', 'MB')
('SL22517-2022-11-02-1565','S66-5','os', 'MB')
('AC04652-2022-11-02-1478','A83-2','SFWSZhVtoxr', 'LB')
('AC12058-2022-11-01-1534','A86-4','w', 'UB')
('AC04652-2022-11-02-1484','A83-8','wefxPwOGzSRbOBp', 'LB')
('SL04652-2022-11-01-1534','S64-22','qM', 'UB')
('SL22517-2022-11-02-1570','S66-10','kyHNeZ', 'MB')
('SL04652-2022-11-01-1538','S65-2','OTvByA', 'MB')
('AC04652-2022-11-01-1552','A87-4','ACtJHuSO', 'UB')
('SL04652-2022-11-02-1517','S64-5','vzpWphR', 'MB')
('SL22517-2022-11-02-1576','S66-16','rv', 'SU')
('AC12058-2022-11-01-1545','A86-15','KvQ', 'UB')
('AC22517-2022-11-01-1491','A83-15','ohUv', 'UB')
('AC04652-2022-11-02-1497','A84-3','oNl', 'UB')
('SL22517-2022-11-02-1579','S66-19','ZXrrQEadXRUb', 'UB')
('AC04652-2022-11-01-1556','A87-8','yyNHJdKJDtQaSfx', 'LB')
('AC22517-2022-11-02-1576','A88-10','HuoIacve', 'UB')
('AC12058-2022-11-01-1549','A87-1','tRReMCQhbwcSw', 'LB')
('SL04652-2022-11-01-1545','S65-9','LABNgyn', 'LB')
('SL12058-2022-11-01-1512','S63-24','fC', 'SU')
('SL12058-2022-11-01-1514','S64-2','wzGwMpRMhtZwWUyE', 'MB')
('AC04652-2022-11-02-1504','A84-10','SiiIQtyqhOKskEg', 'UB')
('AC22517-2022-11-02-1579','A88-13','TuCcNl', 'LB')
('AC22517-2022-11-01-1496','A84-2','FuYGYGNhQpg', 'LB')
('SL22517-2022-11-02-1585','S67-1','yHjoucMC', 'LB')
('AC12058-2022-11-01-1561','A87-13','uDpkR', 'LB')
('AC04652-2022-11-02-1508','A84-14','r', 'LB')
('SL04652-2022-11-01-1558','S65-22','QTDpG', 'UB')
('SL12058-2022-11-01-1520','S64-8','qPj', 'SU')
('AC22517-2022-11-02-1583','A88-17','uwTjEfycNWlOm', 'SL')
('AC04652-2022-11-02-1510','A84-16','CNesEAtveBXz', 'UB')
('AC04652-2022-11-01-1568','A88-2','OGBpHvCBphJAvGi', 'LB')
('AC04652-2022-11-01-1570','A88-4','rnSzNOnNkUp', 'UB')
('AC22517-2022-11-01-1504','A84-10','ce', 'UB')
('AC22517-2022-11-01-1506','A84-12','ktrTYWZOV', 'SU')
('AC04652-2022-11-01-1576','A88-10','ZJDVyOgfaIxYgaI', 'UB')
('SL12058-2022-11-01-1531','S64-19','FcJ', 'UB')
('SL12058-2022-11-01-1537','S65-1','ovTSITluwYXp', 'LB')
('SL12058-2022-11-01-1538','S65-2','hiqjszRNF', 'MB')
('SL22517-2022-11-01-1553','S65-17','YUF', 'LB')
('AC22517-2022-11-02-1597','A89-13','DkqDkhr', 'LB')
('AC12058-2022-11-01-1582','A88-16','XZo', 'UB')
('AC04652-2022-11-01-1596','A89-12','RdbChA', 'SU')
('SL12058-2022-11-01-1546','S65-10','HrBfvg', 'MB')
('AC22517-2022-11-02-1603','A90-1','BslvBUjeHm', 'LB')
('SL04652-2022-11-01-1580','S66-20','KIDhhnmAID', 'LB')
('SL22517-2022-11-02-1616','S68-8','IH', 'SU')
('SL04652-2022-11-02-1554','S65-18','ORR', 'MB')
('SL22517-2022-11-02-1621','S68-13','OJddSOweRlMm', 'MB')
('SL12058-2022-11-01-1561','S66-1','hGQHTwrPXmVy', 'LB')
('SL04652-2022-11-01-1589','S67-5','FJfFx', 'MB')
('SL12058-2022-11-01-1563','S66-3','TxUKgnQ', 'UB')
('AC04652-2022-11-01-1615','A90-13','jllHJ', 'LB')
('SL22517-2022-11-01-1581','S66-21','sPBQUGePf', 'MB')
('AC12058-2022-11-01-1601','A89-17','AIcictnHYZl', 'SL')
('SL22517-2022-11-01-1584','S66-24','agRRjWrc', 'SU')
('AC22517-2022-11-02-1641','A92-3','JTy', 'UB')
('AC12058-2022-11-01-1629','A91-9','GKxD', 'UB')
('AC04652-2022-11-01-1654','A92-16','LVjfFBy', 'UB')
('AC22517-2022-11-02-1645','A92-7','PtFxhJAV', 'LB')
('SL22517-2022-11-01-1623','S68-15','LhEJT', 'SL')
('AC22517-2022-11-02-1648','A92-10','ll', 'UB')
('SL04652-2022-11-02-1596','S67-12','GceXCnLTMCryJg', 'LB')
('SL22517-2022-11-02-1666','S70-10','Val', 'MB')
('AC12058-2022-11-01-1673','A93-17','XDibAdcnurKBy', 'SL')
('AC04652-2022-11-02-1610','A90-8','ocnc', 'LB')
('AC22517-2022-11-02-1703','A95-11','kqPYEtecuttTn', 'SL')
('AC04652-2022-11-01-1704','A95-12','bTkGv', 'SU')
('AC04652-2022-11-01-1742','A97-14','koJd', 'LB')
('AC22517-2022-11-01-1650','A92-12','XPQ', 'SU')
('AC04652-2022-11-01-1744','A97-16','UPENmA', 'UB')
('AC12058-2022-11-01-1704','A95-12','jzQSuu', 'SU')
('SL12058-2022-11-01-1688','S71-8','WjtCUY', 'SU')
('SL22517-2022-11-02-1743','S73-15','vfICFiFg', 'SL')
('SL12058-2022-11-01-1692','S71-12','ZnxwYryKdaWj', 'LB')
('AC04652-2022-11-01-1753','A98-7','YPVuiDAmcRNCAvF', 'LB')
('SL04652-2022-11-01-1703','S71-23','UNDrKySnkqFVmY', 'SL')
('AC04652-2022-11-02-1647','A92-9','HCNTzRk', 'UB')
('SL22517-2022-11-01-1717','S72-13','BNbOMn', 'MB')
('AC22517-2022-11-02-1756','A98-10','oHtVxuZAUyE', 'UB')
('AC22517-2022-11-02-1757','A98-11','iJWdlqChTA', 'SL')
('AC22517-2022-11-02-1758','A98-12','YGDXIqClRY', 'SU')
('AC22517-2022-11-02-1759','A98-13','YF', 'LB')
('SL04652-2022-11-02-1694','S71-14','PCmyzkWkDy', 'UB')
('AC04652-2022-11-02-1652','A92-14','iK', 'LB')
('SL22517-2022-11-02-1750','S73-22','UCFVY', 'UB')
('AC04652-2022-11-01-1765','A99-1','jphKy', 'LB')
('AC04652-2022-11-02-1653','A92-15','mfdf', 'UB')
('SL12058-2022-11-01-1703','S71-23','QxnGSeFyH', 'SL')
('AC22517-2022-11-01-1671','A93-15','TeJAbsKnmnvtLAE', 'UB')
('SL22517-2022-11-01-1736','S73-8','X', 'SU')
('SL04652-2022-11-01-1723','S72-19','RxUZubZIYs', 'UB')
('SL22517-2022-11-02-1755','S74-3','fQKMwQmitRjFB', 'UB')
('AC04652-2022-11-01-1776','A99-12','MlsmSIrpJ', 'SU')
('AC04652-2022-11-01-1777','A99-13','wlSDCTwLs', 'LB')
('SL04652-2022-11-02-1717','S72-13','CIrsPqwOQQRfAOZ', 'MB')
('AC22517-2022-11-02-1784','A100-2','sjUcmW', 'LB')
('SL22517-2022-11-02-1770','S74-18','Y', 'MB')
('AC22517-2022-11-02-1790','A100-8','tFRQOV', 'LB')
('AC04652-2022-11-01-1802','A101-2','UvcWJCcg', 'LB')
('SL04652-2022-11-02-1731','S73-3','ceieICnr', 'UB')
('AC22517-2022-11-02-1802','A101-2','UgqzCjDk', 'LB')
('SL22517-2022-11-01-1773','S74-21','BOSDtpQhWTaRWgw', 'MB')
('SL22517-2022-11-02-1784','S75-8','tHbNET', 'SU')
('SL12058-2022-11-01-1744','S73-16','ScwDa', 'SU')
('SL04652-2022-11-02-1740','S73-12','HVNws', 'LB')
('AC04652-2022-11-01-1814','A101-14','vSaZJHlLbQS', 'LB')
('AC22517-2022-11-02-1807','A101-7','FwdAgvxqBpvYzjDQ', 'LB')
('SL22517-2022-11-01-1782','S75-6','vylFkciYDBBwqc', 'UB')
('SL04652-2022-11-02-1743','S73-15','hK', 'SL')
('SL22517-2022-11-02-1796','S75-20','VNk', 'LB')
('SL22517-2022-11-02-1797','S75-21','GYOyJqTCc', 'MB')
('AC12058-2022-11-01-1769','A99-5','B', 'SL')
('AC04652-2022-11-01-1830','A102-12','wYptBCvRZne', 'SU')
('AC12058-2022-11-01-1779','A99-15','GpoSmXPSKiR', 'UB')
('SL22517-2022-11-02-1812','S76-12','S', 'LB')
('AC12058-2022-11-01-1781','A99-17','fpaw', 'SL')
('SL22517-2022-11-01-1804','S76-4','BvLdp', 'LB')
('SL22517-2022-11-01-1805','S76-5','rVoKehBM', 'MB')
('SL12058-2022-11-01-1767','S74-15','sGgaJbqD', 'SL')
('SL04652-2022-11-01-1769','S74-17','ucfxcfRNMK', 'LB')
('AC04652-2022-11-02-1764','A98-18','FaHw', 'SU')
('AC12058-2022-11-01-1835','A102-17','JDNcyZZoDzB', 'SL')
('AC22517-2022-11-01-1767','A99-3','mZHlk', 'UB')
('AC12058-2022-11-01-1837','A103-1','XkHhq', 'LB')
('AC22517-2022-11-02-1872','A104-18','d', 'SU')
('SL22517-2022-11-02-1856','S78-8','EkLSHWbsW', 'SU')
('AC22517-2022-11-01-1777','A99-13','kkHi', 'LB')
('SL04652-2022-11-01-1829','S77-5','QRcnJyDjmsV', 'MB')
('SL04652-2022-11-02-1816','S76-16','guKPgVi', 'SU')
('SL04652-2022-11-01-1844','S77-20','JOuluX', 'LB')
('AC22517-2022-11-01-1790','A100-8','tcOpBxWnUU', 'LB')
('SL22517-2022-11-02-1870','S78-22','XZJEODdnE', 'UB')
('SL22517-2022-11-01-1877','S79-5','LWvFeDlyJz', 'MB')
('SL04652-2022-11-01-1852','S78-4','gYttVtW', 'LB')
('AC04652-2022-11-02-1791','A100-9','OpSELJoN', 'UB')
('AC04652-2022-11-02-1794','A100-12','XPAyUjvePib', 'SU')
('AC12058-2022-11-01-1873','A105-1','y', 'LB')
('AC04652-2022-11-02-1837','A103-1','JT', 'LB')
('AC22517-2022-11-02-1943','A108-17','wmfX', 'SL')
('AC04652-2022-11-01-1957','A109-13','FBSGnOoexoeDcF', 'LB')
('SL04652-2022-11-02-1879','S79-7','kexOd', 'SL')
('SL22517-2022-11-01-1937','S81-17','gfpaSOmMfrj', 'LB')
('AC04652-2022-11-01-1959','A109-15','dWSSNIKoyPwhIKqg', 'UB')
('SL12058-2022-11-01-1882','S79-10','kbJl', 'MB')
('AC22517-2022-11-02-1949','A109-5','NhlCquTYc', 'SL')
('SL22517-2022-11-01-1939','S81-19','IgeTs', 'UB')
('SL04652-2022-11-01-1925','S81-5','YOH', 'MB')
('AC04652-2022-11-01-1962','A109-18','yKtueNKXJjMfBX', 'SU')
('SL22517-2022-11-02-1943','S81-23','VycMXSjnuDBcbq', 'SL')
('SL04652-2022-11-01-1931','S81-11','xkrXfzxOh', 'UB')
('AC22517-2022-11-01-1859','A104-5','xYULikZtQzea', 'SL')
('SL04652-2022-11-02-1888','S79-16','XN', 'SU')
('AC22517-2022-11-01-1861','A104-7','uOOg', 'LB')
('AC12058-2022-11-01-1930','A108-4','od', 'UB')
('AC22517-2022-11-01-1869','A104-15','UTQYkAgrDhqAZhSy', 'UB')
('SL12058-2022-11-01-1895','S79-23','HpA', 'SL')
('SL22517-2022-11-02-1961','S82-17','BMpSapkhDEZmlwuG', 'LB')
('SL04652-2022-11-01-1948','S82-4','kRVNPluGcAviRXzR', 'LB')
('SL04652-2022-11-01-1949','S82-5','HztmOlzSXGRbzF', 'MB')
('AC04652-2022-11-02-1871','A104-17','e', 'SL')
('AC12058-2022-11-01-1943','A108-17','u', 'SL')
('AC22517-2022-11-01-1876','A105-4','pyzxDbVCdl', 'UB')
('SL04652-2022-11-02-1903','S80-7','iagD', 'SL')
('SL04652-2022-11-01-1951','S82-7','EwkikMk', 'SL')
('SL04652-2022-11-02-1905','S80-9','ibQzFH', 'LB')
('AC04652-2022-11-01-1983','A111-3','otnhYpOtoGNirtB', 'UB')
('SL04652-2022-11-02-1906','S80-10','pElACWWIcxB', 'MB')
('SL04652-2022-11-01-1956','S82-12','fcvZY', 'LB')
('SL04652-2022-11-01-1957','S82-13','yfmQuDb', 'MB')
('SL22517-2022-11-02-1972','S83-4','jtIzaBNHK', 'LB')
('SL22517-2022-11-02-1973','S83-5','VYX', 'MB')
('SL12058-2022-11-01-1912','S80-16','UB', 'SU')
('SL22517-2022-11-01-1968','S82-24','eSMoixgTGDqpjFu', 'SU')
('AC12058-2022-11-01-1949','A109-5','udqJFRzSLVWu', 'SL')
('SL12058-2022-11-01-1913','S80-17','BZ', 'LB')
('SL12058-2022-11-01-1915','S80-19','YhqMfCVgca', 'UB')
('AC22517-2022-11-02-1990','A111-10','XKKmCMyi', 'UB')
('SL12058-2022-11-01-1923','S81-3','VL', 'UB')
('SL04652-2022-11-01-1973','S83-5','RMc', 'MB')
('AC22517-2022-11-01-1894','A106-4','AYHlLIQHdIbjMNh', 'UB')
('AC04652-2022-11-02-1893','A106-3','feiWYzzAlZaeQy', 'UB')
('AC22517-2022-11-02-1997','A111-17','oD', 'SL')
('SL22517-2022-11-02-2006','S84-14','mEVAykTwxosMFJn', 'UB')
('AC04652-2022-11-02-1911','A107-3','QTQRiHWkysSLm', 'UB')
('AC22517-2022-11-01-1905','A106-15','FDPGQBOOxFu', 'UB')
('AC12058-2022-11-01-1982','A111-2','ZbLVUeb', 'LB')
('AC04652-2022-11-01-2013','A112-15','fg', 'UB')
('SL22517-2022-11-01-1998','S84-6','yGFNGfIs', 'UB')
('AC04652-2022-11-02-1918','A107-10','milwXEH', 'UB')
('AC22517-2022-11-01-1912','A107-4','XdiAQBMZaVDUhl', 'UB')
('AC22517-2022-11-01-1913','A107-5','e', 'SL')
('SL04652-2022-11-01-2003','S84-11','nEdeSVNEL', 'UB')
('SL12058-2022-11-01-1957','S82-13','cwH', 'MB')
('AC12058-2022-11-01-1991','A111-11','BoacAmYiavuC', 'SL')
('AC12058-2022-11-01-2048','A114-14','DWlIP', 'LB')
('AC22517-2022-11-02-2091','A117-3','fAwaOxl', 'UB')
('SL12058-2022-11-01-2087','S87-23','QRbNpbyPV', 'SL')
('AC22517-2022-11-01-2032','A113-16','MqwupyEqu', 'UB')
('AC22517-2022-11-01-2036','A114-2','YOoGjbFuE', 'LB')
('SL22517-2022-11-01-2127','S89-15','eH', 'SL')
('SL22517-2022-11-02-2139','S90-3','ZE', 'UB')
('AC04652-2022-11-01-2169','A121-9','UFdrh', 'UB')
('AC04652-2022-11-02-2080','A116-10','FgTyBZd', 'UB')
('AC04652-2022-11-02-2081','A116-11','FfASZGYREk', 'SL')
('AC22517-2022-11-01-2066','A115-14','cWfkz', 'LB')
('SL04652-2022-11-01-2162','S91-2','nFcOxeTLGGM', 'MB')
('AC22517-2022-11-02-2169','A121-9','wvHMpaprGUpD', 'UB')
('AC04652-2022-11-01-2192','A122-14','VGxEoetaZd', 'LB')
('SL04652-2022-11-01-2167','S91-7','YHnQptY', 'SL')
('AC04652-2022-11-02-2091','A117-3','Zslzewa', 'UB')
('SL04652-2022-11-01-2168','S91-8','chxeJg', 'SU')
('AC04652-2022-11-02-2092','A117-4','rkrEbwwwKRMlf', 'UB')
('SL22517-2022-11-02-2167','S91-7','nTfxTak', 'SL')
('SL04652-2022-11-02-2134','S89-22','hRBvYODlmM', 'UB')
('SL22517-2022-11-02-2169','S91-9','ImhwTmupuCmTB', 'LB')
('SL04652-2022-11-02-2135','S89-23','vRAZPVzUwsE', 'SL')
('AC12058-2022-11-01-2133','A119-9','eZShckRVQzOk', 'UB')
('AC12058-2022-11-01-2134','A119-10','qzDnUl', 'UB')
('SL12058-2022-11-01-2133','S89-21','iKFliNXe', 'MB')
('AC12058-2022-11-01-2138','A119-14','qBmUdYpw', 'LB')
('SL04652-2022-11-01-2173','S91-13','uwJjD', 'MB')
('AC04652-2022-11-02-2103','A117-15','bcRNPklHUNJx', 'UB')
('AC12058-2022-11-01-2145','A120-3','bFjzYvUiz', 'UB')
('AC04652-2022-11-02-2112','A118-6','eIyFkcIiMXla', 'SU')
('SL04652-2022-11-01-2183','S91-23','RAg', 'SL')
('SL04652-2022-11-01-2184','S91-24','MDoJzhiJIlCuD', 'SU')
('SL04652-2022-11-02-2148','S90-12','DXKbva', 'LB')
('SL12058-2022-11-01-2143','S90-7','XPTozMmloH', 'SL')
('SL04652-2022-11-01-2185','S92-1','RfeFCsyXukHIOv', 'LB')
('SL04652-2022-11-02-2150','S90-14','ugyWXN', 'UB')
('SL22517-2022-11-01-2182','S91-22','EbbvSNgNZ', 'UB')
('SL04652-2022-11-02-2152','S90-16','QkLAZBDcST', 'SU')
('AC04652-2022-11-02-2118','A118-12','ROKbVolgcpxxNRVI', 'SU')
('AC22517-2022-11-02-2206','A123-10','XlFRMtNW', 'UB')
('AC04652-2022-11-01-2254','A126-4','t', 'UB')
('AC04652-2022-11-02-2160','A120-18','w', 'SU')
('SL22517-2022-11-02-2224','S93-16','GAfOVzkK', 'SU')
('AC04652-2022-11-02-2161','A121-1','Hi', 'LB')
('SL22517-2022-11-02-2225','S93-17','lPrC', 'LB')
('SL22517-2022-11-02-2227','S93-19','QHtzsZs', 'UB')
('SL22517-2022-11-02-2228','S93-20','tRoG', 'LB')
('SL04652-2022-11-02-2207','S92-23','ZSVSGDyCHgGHUMmW', 'SL')
('SL22517-2022-11-02-2232','S93-24','MHmFPothlUzL', 'SU')
('SL22517-2022-11-01-2227','S93-19','l', 'UB')
('AC12058-2022-11-01-2203','A123-7','A', 'LB')
('AC22517-2022-11-01-2149','A120-7','eNP', 'LB')
('AC04652-2022-11-01-2267','A126-17','HMAsblF', 'SL')
('SL04652-2022-11-01-2245','S94-13','EKdUJGc', 'MB')
('SL12058-2022-11-01-2208','S92-24','vajKxhuoNrUB', 'SU')
('AC04652-2022-11-01-2302','A128-16','ZnXAAKFxMLMx', 'UB')
('AC04652-2022-11-02-2200','A123-4','BLBwadP', 'UB')
('SL22517-2022-11-02-2283','S96-3','pvtYgASdeCdBDiK', 'UB')
('SL22517-2022-11-02-2284','S96-4','otcEkHG', 'LB')
('SL22517-2022-11-02-2285','S96-5','FZWDqFMWMDchPinB', 'MB')
('SL04652-2022-11-01-2292','S96-12','vsAFPYVrmxziWEPc', 'LB')
('AC04652-2022-11-02-2217','A124-3','hkigHcBjVkAEYGux', 'UB')
('AC22517-2022-11-01-2193','A122-15','MwqEUDb', 'UB')
('SL04652-2022-11-02-2270','S95-14','IKF', 'UB')
('SL12058-2022-11-01-2259','S95-3','iaYuERuReoXGGp', 'UB')
('AC04652-2022-11-01-2324','A130-2','VtewghBFLZy', 'LB')
('AC22517-2022-11-01-2198','A123-2','O', 'LB')
('SL04652-2022-11-01-2302','S96-22','FdBEkarSDTThxtX', 'UB')
('AC04652-2022-11-01-2330','A130-8','EtSO', 'LB')
('SL22517-2022-11-02-2310','S97-6','YK', 'UB')
('SL12058-2022-11-01-2274','S95-18','AYkAzvjy', 'MB')
('AC22517-2022-11-01-2210','A123-14','oxCZkWIvBz', 'LB')
('AC22517-2022-11-02-2352','A131-12','k', 'SU')
('AC04652-2022-11-01-2369','A132-11','RFqMwf', 'SL')
('AC22517-2022-11-01-2242','A125-10','jUvSwTXwQCTLz', 'UB')
('AC12058-2022-11-01-2320','A129-16','jFBsWbvputYO', 'UB')
('AC04652-2022-11-02-2274','A127-6','wgqaHZjZlmhQKgls', 'SU')
('AC04652-2022-11-01-2373','A132-15','xCMBvrmEvgaPk', 'UB')
('SL04652-2022-11-01-2344','S98-16','YxDSCHVRtcCVwtp', 'SU')
('AC04652-2022-11-02-2276','A127-8','DgVxCvUfByDzt', 'LB')
('SL12058-2022-11-01-2321','S97-17','l', 'LB')
('AC12058-2022-11-01-2331','A130-9','lsJXd', 'UB')
('AC22517-2022-11-02-2366','A132-8','QqTmc', 'LB')
('SL22517-2022-11-01-2346','S98-18','LbRIQzVMuH', 'MB')
('AC22517-2022-11-01-2249','A125-17','qRCGJeqdk', 'SL')
('AC12058-2022-11-01-2334','A130-12','V', 'SU')
('SL04652-2022-11-01-2354','S99-2','sxor', 'MB')
('SL04652-2022-11-02-2324','S97-20','EzbERF', 'LB')
('SL04652-2022-11-02-2328','S97-24','gTznJyoEYgYJ', 'SU')
('AC12058-2022-11-01-2339','A130-17','OnbPobvcWfh', 'SL')
('SL22517-2022-11-01-2367','S99-15','pKiqZTLKX', 'SL')
('AC04652-2022-11-02-2324','A130-2','VsDaEJEOPB', 'LB')
('AC12058-2022-11-01-2372','A132-14','NqaLVvfvDkko', 'LB')
('SL22517-2022-11-01-2392','S100-16','mKQYXtfv', 'SU')
('AC22517-2022-11-01-2289','A128-3','NPWCzFQpipsmYoro', 'UB')
('SL22517-2022-11-01-2393','S100-17','nmS', 'LB')
('AC22517-2022-11-02-2399','A134-5','Ihn', 'SL')
('AC04652-2022-11-01-2421','A135-9','lSSYvUNkP', 'UB')
('AC04652-2022-11-01-2422','A135-10','CdU', 'UB')
('SL12058-2022-11-01-2371','S99-19','rQtqZUfq', 'UB')
('SL22517-2022-11-02-2398','S100-22','FhN', 'UB')
('AC22517-2022-11-02-2405','A134-11','UXcL', 'SL')
('SL22517-2022-11-02-2401','S101-1','OSoFkogYP', 'LB')
('SL12058-2022-11-01-2375','S99-23','QtcxfgiiQ', 'SL')
('SL12058-2022-11-01-2376','S99-24','cQOr', 'SU')
('SL04652-2022-11-02-2375','S99-23','bQA', 'SL')
('SL04652-2022-11-02-2397','S100-21','tylDfrwIuemlI', 'MB')
('AC12058-2022-11-01-2402','A134-8','dfAbMgKdmBwF', 'LB')
('SL04652-2022-11-02-2405','S101-5','U', 'MB')
('AC22517-2022-11-02-2442','A136-12','zZdoTcKit', 'SU')
('SL22517-2022-11-02-2436','S102-12','TtZkJR', 'LB')
('SL22517-2022-11-01-2433','S102-9','fGnA', 'LB')
('SL04652-2022-11-01-2425','S102-1','njeXLovCpHDju', 'LB')
('AC04652-2022-11-01-2463','A137-15','fOCahUVpbemknmQ', 'UB')
('SL04652-2022-11-02-2410','S101-10','JwrcptnkNNP', 'MB')
('SL12058-2022-11-01-2402','S101-2','gX', 'MB')
('AC22517-2022-11-01-2342','A131-2','Aj', 'LB')
('AC22517-2022-11-01-2343','A131-3','RYjaoQwkxYGsR', 'UB')
('AC12058-2022-11-01-2416','A135-4','kViKIcmrwaP', 'UB')
('SL04652-2022-11-01-2431','S102-7','DAOjUgabp', 'SL')
('SL12058-2022-11-01-2408','S101-8','roPiVRGmmqZ', 'SU')
('SL04652-2022-11-02-2417','S101-17','GNlrHob', 'LB')
('AC12058-2022-11-01-2423','A135-11','kozMcJtIoieoaVXs', 'SL')
('SL12058-2022-11-01-2411','S101-11','orI', 'UB')
('AC04652-2022-11-02-2392','A133-16','YoJICOZP', 'UB')
('SL22517-2022-11-02-2457','S103-9','aSspoL', 'LB')
('SL04652-2022-11-01-2523','S106-3','OVdsfPVhcip', 'UB')
('AC04652-2022-11-01-2571','A143-15','vlBHVdSRpTDU', 'UB')
('AC04652-2022-11-02-2478','A138-12','GevWIKUu', 'SU')
('AC04652-2022-11-01-2573','A143-17','yHGmgumCyVzTfirP', 'SL')
('SL22517-2022-11-01-2531','S106-11','MSBhBFRCx', 'UB')
('AC12058-2022-11-01-2539','A142-1','PBkIoSEtpuWhJXla', 'LB')
('SL12058-2022-11-01-2512','S105-16','qy', 'SU')
('AC04652-2022-11-01-2585','A144-11','wlyBiYeE', 'SL')
('AC04652-2022-11-02-2492','A139-8','JF', 'LB')
('SL22517-2022-11-01-2539','S106-19','IwhZp', 'UB')
('SL04652-2022-11-01-2555','S107-11','ZEs', 'UB')
('AC04652-2022-11-02-2496','A139-12','DUkKkdx', 'SU')
('AC04652-2022-11-02-2500','A139-16','NTlmtcenA', 'UB')
('AC04652-2022-11-02-2501','A139-17','SzYoVMG', 'SL')
